forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:15+00:00,2025-11-05 00:00:00+00:00,-10.35427,-10.394469,-10.660514,-11.202086,-12.09257,-11.342503,-12.119144,-13.959446,-15.35476,-14.49005,-14.742195,-14.331264,-14.540161,-14.681711,-14.977524,-12.892677,-10.715898,-10.705373,-10.911686,-12.002659,-13.75524,-12.68511,-11.808661,-11.305075,-14.131037,-13.709624,-12.870809,-12.814158,-12.516615,-13.428279,-13.592103,-13.314045,-13.288078,-11.340637,-12.02764,-12.423866,-12.466477,-12.356915,-11.790789,-9.636602,-8.5886755,-8.081918,-8.247207,-9.665302,-10.552533,-10.313174,-9.839517,-9.218247,-9.619708,-7.4889646,-7.396658,-6.717338,-6.3120756,-6.0827894,-5.8143525,-5.838402,-5.5313706,-5.50612,-5.2469635,-5.4823728,-4.9637833,-5.1748357,-5.8090043,-5.765597,-5.652611,-7.2089844,-7.623862,-8.58586,-10.563483,-10.771098,-9.714432,-8.1677,-7.753531,-6.9177384,-6.85047,-6.4912667,-6.6694274,-6.945979,-6.8532944,-6.9892907,-7.8594213,-7.8477077,-7.7997346,-7.501082,-7.230689,-7.0322323,-6.807599,-6.2585144,-6.2548914,-5.6588316,-4.976289,-4.9289756,-5.0485168,-5.5130625,-5.3021674,-4.443229,-4.632801,-4.6932583,-4.560593,-4.8286467,-4.7606907,-4.9476714,-4.7315497,-4.710287,-4.7259865,-4.7755756,-4.810166,-4.7136927,-4.5545893,-4.733291,-4.6996045,-4.8858356,-5.2239723,-6.4434333,-7.658371,-8.552324,-8.555683,-8.384099,-8.1444645,-7.693856,-7.6673326,-7.728428,-7.87058,-7.8590384,-7.6889577,-7.6587405,-7.634162,-7.6615014,-7.8938665,-8.126248,-8.253223,-8.149757,-8.15246,-8.289067,-8.885358,-9.070702,-8.639429,-7.816832,-7.521141,-7.735176,-7.8382525,-7.6720505,-6.689958,-5.707572,-5.7708797,-6.526464,-7.59627,-8.175404,-8.35839,-8.418533,-8.489009,-8.569356,-8.613903,-8.621876,-8.525191,-8.134697,-7.996864,-8.046746,-8.313689,-8.814624,-8.673435,-8.133529,-7.567073,-7.4643297,-7.1360345,-6.9709578,-6.3069925,-5.745943
2025-11-06 02:15:10+00:00,2025-11-06 00:00:00+00:00,-13.306317,-13.101391,-12.586381,-12.145898,-12.568605,-12.640214,-13.387326,-13.419626,-13.607942,-12.7816725,-12.087123,-11.958713,-12.044319,-12.070641,-11.915914,-11.529303,-9.039302,-9.841935,-9.0612955,-8.728812,-9.31698,-9.196434,-9.558115,-9.341238,-10.45861,-10.493925,-10.1683855,-11.297808,-11.486719,-11.511741,-11.296836,-11.167908,-10.746151,-10.580364,-10.648242,-10.511291,-10.343004,-10.319478,-10.485882,-9.019163,-7.012722,-6.6855693,-7.4763064,-7.540766,-9.341238,-10.00035,-10.080775,-9.867894,-10.560029,-7.050433,-7.2943115,-6.973123,-6.600799,-6.3547034,-6.4000254,-6.4000254,-6.0636635,-6.1205482,-6.0217195,-5.9355063,-5.5709853,-5.539494,-5.663869,-5.4138794,-5.763341,-6.3643107,-6.4342575,-6.6680284,-7.567073,-8.498814,-8.821462,-7.540723,-8.076378,-7.9238763,-7.7826543,-7.86354,-7.1666946,-5.431668,-4.6630893,-4.406163,-4.480523,-4.6645446,-5.049949,-4.976429,-5.410839,-5.6180997,-5.962742,-7.1705174,-8.39506,-9.52914,-10.457559,-10.810392,-10.599571,-9.656156,-9.570693,-9.1044235,-8.668924,-8.60208,-8.686446,-8.554035,-8.630436,-8.65443,-8.63755,-8.719064,-8.905418,-8.905418,-9.045193,-9.045193,-8.899396,-9.132847,-8.823498,-8.623943,-8.716925,-8.40514,-7.9123535,-8.004155,-8.000475,-7.7496805,-7.7928653,-7.89796,-8.026387,-8.02382,-8.219959,-8.239178,-8.118299,-8.161552,-8.213624,-8.319626,-8.099153,-8.182233,-7.873594,-7.77327,-7.3826857,-7.356654,-7.137372,-7.330521,-7.35273,-7.081685,-6.923908,-6.7369194,-6.997595,-6.7887635,-7.1469097,-7.179834,-7.341109,-6.95743,-6.7056255,-6.7356167,-6.8502393,-6.773719,-6.929479,-7.047892,-7.367795,-7.5049086,-7.5506153,-7.4592032,-7.2941227,-6.9892907,-6.6906767,-6.34948,-6.2548914,-6.1740384,-6.689958,-7.1646852,-7.424978,-7.2185826,-7.0393667,-6.7106714
2025-11-07 02:12:22+00:00,2025-11-07 00:00:00+00:00,-8.946813,-9.415901,-9.561961,-10.209814,-10.119448,-9.916741,-9.139556,-9.832648,-9.724888,-9.857325,-9.832124,-10.005848,-9.728319,-9.981367,-9.964253,-7.8435354,-6.9548926,-7.1180015,-7.980646,-9.225597,-11.350829,-11.151194,-11.191119,-10.192121,-10.891219,-11.2214985,-11.721526,-11.933435,-11.9758215,-12.399754,-12.9086485,-12.729342,-12.729342,-12.457695,-11.4425,-10.955206,-10.541043,-9.772909,-10.319034,-9.066592,-8.180513,-7.896422,-6.7910595,-5.549033,-5.665091,-6.6567974,-8.973501,-9.544661,-10.808413,-7.4379168,-6.8391147,-6.8945017,-6.535997,-6.297506,-5.2937965,-4.7484303,-4.5966825,-4.522905,-4.953874,-5.578391,-6.199358,-6.7256303,-7.0376124,-7.2423954,-8.077555,-9.643665,-10.786454,-10.639336,-10.838648,-10.542227,-9.961381,-9.628522,-9.515056,-9.61041,-9.388738,-9.381489,-9.381489,-9.483974,-9.574357,-9.608235,-9.6493,-9.832741,-9.835203,-9.844093,-9.766792,-8.9986,-9.5215225,-9.648382,-9.364763,-9.370969,-8.813377,-9.2970495,-9.043899,-8.586443,-8.420138,-7.735176,-8.926618,-8.758962,-8.86488,-8.665572,-8.888415,-8.981842,-8.803871,-8.659144,-8.712608,-8.479585,-8.388375,-8.144869,-7.1961393,-7.3349113,-7.950921,-7.6050615,-7.796963,-7.9052076,-7.4126287,-7.331799,-7.713991,-7.6314073,-7.5825114,-7.921144,-7.860086,-7.57238,-7.6494584,-7.52191,-7.724534,-7.9043865,-8.084253,-8.264135,-8.118299,-7.980636,-7.567641,-7.2618756,-6.8962607,-6.929479,-7.118554,-7.528447,-7.3843513,-7.3690977,-7.45715,-8.041526,-8.416584,-8.295192,-8.287764,-8.239615,-8.255425,-8.101023,-8.070169,-7.922951,-8.068076,-8.049077,-8.086294,-7.880513,-8.039286,-7.8449597,-7.682956,-7.7955956,-7.65882,-7.3519907,-7.208182,-7.006202,-6.7043767,-6.966559,-7.498935,-8.082561,-8.497519,-7.5941653,-5.8033056,-4.802869
2025-11-08 02:04:43+00:00,2025-11-08 00:00:00+00:00,-11.281363,-11.049134,-11.170718,-12.230165,-12.823819,-12.429604,-12.500708,-12.543719,-12.500708,-12.290643,-11.437687,-10.36379,-10.319478,-10.541043,-10.917158,-9.592461,-7.5816317,-7.7339864,-7.7438517,-9.389921,-9.8273735,-10.831862,-10.871775,-11.350829,-11.7913885,-11.049134,-11.060954,-11.955214,-12.044319,-11.317405,-11.279388,-11.259551,-11.744793,-11.915345,-12.0040455,-10.359914,-10.435876,-10.397058,-10.013794,-7.6513376,-7.9939933,-7.8285127,-7.3315997,-7.494094,-8.837641,-10.211314,-11.098262,-11.388182,-12.894309,-6.671976,-6.747176,-6.7617893,-6.6200595,-6.5813904,-6.641112,-6.7069426,-6.778671,-6.7629814,-6.606509,-6.0524807,-6.0637503,-6.2051234,-6.324286,-6.3093824,-6.2159424,-5.947619,-5.7135267,-5.94123,-6.053568,-6.145952,-6.1037507,-4.2308536,-5.7856708,-6.079903,-5.999558,-5.946845,-6.092015,-6.154787,-6.2254663,-5.976124,-6.251591,-6.3893356,-5.338792,-5.213017,-5.3911014,-5.5748096,-5.7260675,-5.3137956,-5.342177,-5.0699935,-4.96217,-5.0510144,-4.8000236,-4.828283,-5.1763077,-3.1407568,-4.881057,-4.816932,-4.879351,-4.874536,-4.7825007,-4.930433,-4.853342,-4.9459944,-4.513529,-4.4564624,-4.6433697,-4.9704823,-4.8254905,-4.8298516,-5.413039,-5.05354,-5.366958,-5.2798157,-5.517133,-5.887239,-5.6199427,-5.536497,-5.1631136,-5.3964753,-5.552633,-5.768109,-5.9630957,-6.1269226,-6.3031707,-6.1065416,-5.946324,-5.6080923,-5.3793755,-5.3820066,-5.54831,-5.896086,-6.150744,-6.297506,-6.5338283,-6.527544,-6.1231966,-6.26215,-6.1384053,-6.621723,-7.012225,-6.9296913,-6.8305273,-7.114382,-7.424255,-7.40177,-7.3056574,-7.1508975,-7.118554,-7.27497,-7.3517118,-7.3927603,-7.70929,-7.6693974,-7.4764647,-6.9863067,-6.527999,-6.316834,-6.645737,-6.696602,-6.3993573,-6.241012,-6.145952,-6.59229,-6.893128,-6.6881795,-6.59229,-6.99027
2025-11-09 02:09:51+00:00,2025-11-09 00:00:00+00:00,-10.169437,-9.699382,-9.226848,-9.830487,-8.964997,-8.982829,-8.086379,-8.930307,-9.330193,-9.667272,-9.466378,-8.789561,-8.518438,-9.592326,-9.873394,-7.7277293,-7.3324137,-7.164165,-6.653306,-6.901885,-8.149514,-8.849079,-9.181223,-9.6465845,-10.974626,-11.984642,-12.011174,-12.4883175,-12.227497,-12.360512,-12.536329,-12.333521,-12.896937,-13.077738,-13.93089,-13.978976,-13.978976,-14.021074,-13.928339,-11.656049,-10.797148,-10.71061,-10.704827,-10.577216,-10.376366,-11.08426,-11.08426,-10.973863,-12.507115,-6.7056255,-6.7356167,-6.8502393,-6.9892907,-7.0009956,-7.0662136,-6.8534074,-6.894456,-6.894456,-7.0322323,-6.42883,-5.5293036,-5.6701026,-6.9966784,-6.9282484,-6.7134643,-6.581298,-6.520319,-6.6253853,-6.071153,-6.0959854,-6.4836173,-5.2729096,-6.4241734,-6.3924847,-6.262654,-6.4101195,-6.27115,-6.395346,-6.527087,-6.435941,-5.756753,-5.849642,-5.819358,-6.5486174,-6.4891124,-6.3636384,-6.3173943,-5.7471514,-6.079301,-5.7135267,-6.113777,-5.9771514,-6.0551248,-5.887239,-6.4547033,-5.9771514,-6.057381,-6.2101903,-5.9933977,-6.079903,-6.1329017,-6.1514683,-6.3093824,-6.319228,-6.682813,-7.0919127,-7.4764647,-7.367795,-6.22491,-6.2897835,-6.9863067,-6.717338,-6.3122196,-6.176103,-5.513074,-5.0783396,-4.964257,-4.6707196,-3.7589352,-3.7412317,-3.7693412,-3.8613412,-3.6822498,-3.7411199,-3.6486497,-3.7275229,-3.5377734,-3.2962196,-2.9060762,-2.7193918,-3.011504,-3.1671271,-3.4728026,-3.674334,-4.0027623,-4.2298703,-4.2584195,-3.6942928,-3.56972,-3.9406064,-4.3245964,-2.9798594,0.25468737,2.3786864,2.8269315,2.2711842,1.279991,0.7763137,1.1234845,1.6725187,1.7496791,1.433759,0.76778793,0.08159252,-0.35955307,-0.9837174,-1.6384873,-2.8047998,-4.310906,-5.5821924,-6.3605742,-7.1282816,-7.8901834,-8.626614,-9.219123,-9.555384,-9.883511,-10.27061
2025-11-10 02:15:23+00:00,2025-11-10 00:00:00+00:00,-8.84835,-9.794314,-10.624044,-10.648242,-11.262224,-11.35894,-11.8319645,-11.73796,-11.782305,-11.780532,-11.661804,-11.642369,-11.911845,-11.86693,-12.128021,-10.276984,-8.990629,-8.84835,-8.842878,-8.870877,-8.2443075,-8.973501,-8.851151,-8.814893,-10.618864,-11.426336,-11.516522,-11.273821,-11.296836,-10.927295,-11.167908,-11.660171,-11.629009,-11.306089,-11.403125,-11.60493,-11.60493,-11.512732,-12.490848,-11.613169,-8.659564,-8.976592,-8.620992,-9.91199,-10.322094,-10.712142,-11.563048,-12.394659,-13.98986,-7.895049,-7.693856,-7.8220453,-8.039286,-7.8901834,-8.077555,-8.4781885,-8.531147,-8.547048,-7.6293454,-7.8590384,-7.6889577,-7.566214,-8.819984,-8.143464,-8.249433,-8.118622,-8.071447,-8.581457,-8.493002,-8.980028,-8.493002,-7.498935,-7.883831,-8.448412,-8.363345,-8.156592,-7.908089,-7.8667355,-7.7694955,-7.9943185,-8.028099,-8.1163225,-6.9403806,-7.1282816,-8.440422,-8.410591,-8.032201,-7.704182,-7.8548903,-7.179834,-6.9058156,-5.639618,-5.2159142,-5.0481377,-5.2159142,-5.290288,-5.209149,-3.9879785,-4.18627,-5.5922203,-5.174974,-5.1498914,-5.0554385,-4.96695,-5.022877,-4.2337747,-4.215448,-4.3127036,-4.1716757,-3.9437573,-4.4969487,-4.229671,-4.3473554,-4.1774836,-4.7445226,-4.7595177,-4.716167,-4.134319,-3.4268243,-2.4256384,-1.4533486,-0.08359075,0.5190244,-0.054944947,-1.8732146,-4.631063,-6.4648304,-6.0516043,-4.862246,-4.3397946,-5.093989,-6.328021,-7.4467,-8.646992,-9.790176,-10.50743,-10.206933,-9.489448,-9.14568,-10.108791,-12.450999,-14.783049,-14.493074,-13.376003,-12.413163,-11.993686,-11.531559,-11.353438,-11.352839,-11.1741905,-11.085826,-11.153938,-11.137425,-11.205677,-11.373523,-11.49596,-11.470294,-11.394382,-11.22577,-11.071414,-10.73696,-10.69055,-10.968401,-11.280991,-11.876837,-11.493532,-10.760878,-10.18178
2025-11-11 02:07:58+00:00,2025-11-11 00:00:00+00:00,-9.786176,-10.154437,-10.715898,-11.99405,-12.244251,-11.103526,-10.952169,-10.441592,-9.815332,-9.939305,-10.42328,-10.5196495,-10.708209,-10.797148,-10.367276,-9.381538,-7.1540465,-7.074768,-6.895364,-6.8656077,-8.3211155,-8.491045,-9.276796,-10.00035,-12.536861,-12.261416,-12.763826,-12.507115,-12.755912,-12.78653,-13.356026,-12.935304,-13.020562,-13.105825,-12.8578205,-12.429604,-12.823819,-12.423866,-12.852289,-12.199648,-10.076703,-9.578094,-9.184519,-9.381742,-11.048616,-10.890384,-12.167618,-11.998562,-14.069942,-8.44859,-8.40514,-8.448412,-8.37667,-8.332881,-8.540455,-8.715293,-9.0667095,-9.245019,-9.512514,-9.646274,-9.735454,-9.655137,-9.029018,-7.895049,-8.332069,-8.004155,-7.8332734,-6.997595,-7.090521,-7.13205,-7.215111,-6.1881557,-7.0197225,-7.528447,-7.404333,-7.6494584,-7.41988,-7.611555,-7.634614,-7.5771503,-7.347545,-7.2159705,-7.4880157,-6.251591,-7.6693974,-6.297861,-7.714744,-6.9089365,-7.0798335,-7.454871,-7.331799,-7.6314073,-8.490699,-8.327638,-7.918428,-8.416175,-9.156376,-9.057013,-8.495208,-7.017795,-6.2862577,-4.910849,-3.8143327,-3.7845426,-3.458941,-3.1016831,-2.999682,-3.233708,-2.47497,-3.324168,-3.1860597,-2.9219155,-1.2516258,2.0645375,2.6231565,3.2067904,2.8459883,2.7324,4.0078197,5.2481112,5.5193,5.2060986,4.908989,4.5544076,4.4633183,4.4196916,4.374109,4.0762477,3.7783852,3.4308746,3.1336882,2.834027,2.631587,2.432285,2.3824594,2.432285,2.4856644,2.5372593,2.5355287,2.4876137,2.5817616,2.426994,2.2274566,1.8842012,1.6893973,1.8386981,1.9904424,2.0401495,1.6424917,1.141957,0.89311856,1.0974988,1.6405573,1.9265581,1.868804,1.6121405,1.4033431,0.9148247,0.45940474,0.10012131,0.23429652,0.35821584,0.39705932,-0.05226852,-0.7736351,-1.3619176,-1.0569649,-0.34467763
2025-11-12 02:09:58+00:00,2025-11-12 00:00:00+00:00,-9.52566,-10.493925,-10.493925,-11.077086,-11.493803,-11.677866,-11.487978,-11.29747,-11.254304,-11.497892,-11.585303,-11.454188,-12.095602,-11.427574,-11.155722,-10.229547,-8.194513,-8.1117935,-7.9101834,-8.199112,-9.276796,-11.461841,-11.697037,-11.721395,-13.061056,-12.896021,-12.846243,-13.299638,-13.423324,-13.547022,-13.794458,-14.041951,-14.537091,-14.208277,-14.540497,-14.332849,-14.623731,-14.83268,-14.247713,-14.111927,-11.510175,-11.222505,-10.892141,-11.006141,-10.040562,-10.15363,-10.113751,-10.201427,-12.778764,-6.6061254,-6.7850533,-6.7944484,-6.600799,-6.579027,-6.8558264,-6.9892907,-7.0009956,-7.0009956,-7.3973327,-6.3434205,-6.435941,-6.396837,-7.339707,-6.1269226,-7.0587716,-6.390097,-6.241012,-6.2656655,-6.55891,-6.223032,-6.7887635,-5.474526,-6.888463,-7.041168,-7.3158526,-7.061836,-6.5109253,-6.2174606,-4.551955,-4.3901167,-4.363763,-4.5494595,-4.575425,-5.0137486,-5.1530485,-5.431668,-6.113764,-5.5441594,-5.6201315,-5.482852,-5.127839,-4.665218,-4.1968827,-3.8989286,-3.630666,-1.5735513,-3.7602768,-3.7155356,-3.8633382,-3.7141347,-3.6816523,-3.6760502,-3.775126,-3.8343391,-2.859274,-2.9020584,-2.7193918,-2.7756176,-2.306046,-1.4044502,-0.67777276,1.4156021,3.0607724,3.2084904,1.7479997,1.7009468,1.239666,0.9253493,0.7886923,0.5190244,0.28757775,-0.06545413,-0.2603218,-0.243369,0.25382385,0.9438044,1.4879048,1.4384416,1.0921967,0.8448758,0.54333097,0.33932564,-0.035606045,-0.44599712,-0.8704863,-1.1119052,-1.2458665,-1.4954078,-1.6238549,-1.7428778,-1.8016301,-1.7557921,-1.7510724,-1.6366174,-1.9300894,-2.1713617,-2.1775718,-2.4400885,-2.6971953,-2.988033,-3.2304065,-3.5697417,-3.9575717,-4.151494,-4.199975,-4.151494,-3.9405558,-3.8095388,-3.8114424,-3.6115515,-3.2805152,-3.169068,-3.0584307,-3.1627133,-3.680431,-3.5470734,-3.2527168,-2.9478302
2025-11-13 02:27:18+00:00,2025-11-13 00:00:00+00:00,-11.055587,-12.063533,-10.755833,-10.408435,-10.247692,-10.394577,-10.931854,-12.102986,-13.161457,-13.230086,-13.997102,-13.836908,-14.096825,-15.250687,-15.709216,-14.691306,-12.106773,-11.9811735,-11.327702,-10.764659,-10.592433,-11.167306,-11.167306,-11.310902,-12.980394,-12.9369545,-12.351837,-11.678172,-12.640214,-12.755912,-12.661367,-13.83464,-14.125236,-14.985598,-15.026608,-15.280213,-15.039006,-15.24678,-15.24678,-14.09029,-12.035747,-11.627834,-11.1269045,-9.839517,-8.288718,-5.7270193,-6.599652,-7.3785934,-7.854542,-7.532564,-7.1734076,-6.3924847,-5.9545,-5.3650756,-5.3347893,-5.0122104,-4.2244973,-4.093906,-4.4669013,-4.700045,-4.215448,-5.0731072,-4.994205,-5.3268027,-5.20161,-5.2237353,-5.2189064,-5.2599916,-5.0061965,-4.5868645,-4.62879,-3.7286997,-3.868352,-4.169487,-3.9278538,-4.2298703,-4.0142474,-3.8774316,-3.9568868,-3.63652,-3.5564885,-3.4354439,-1.4333637,-1.8579274,-0.92511463,-0.11370112,0.9253493,1.2860276,1.7178901,1.210056,1.2921861,0.98032314,0.66684043,0.48768878,0.6864931,2.2713435,6.1938567,5.1246862,3.2873237,3.112107,3.0706682,2.535096,2.208106,2.2890692,2.042048,1.6034791,1.2158754,1.4033431,0.9313969,0.5366848,0.3699305,0.9100889,0.76613283,0.24899653,-0.20269507,-0.5110138,-0.97671944,-1.3273607,-1.4130496,-1.1719553,-1.4064662,-1.6032766,-1.6394684,-1.7433711,-1.8965231,-2.089803,-2.3314102,-2.3578985,-2.6178741,-2.612148,-2.8323262,-2.95783,-3.027354,-2.8605971,-2.5153024,-2.2824366,-2.0132005,-1.9737445,-2.012005,-2.198894,-1.973342,-1.5975816,-1.4807806,-1.459532,-1.4931306,-1.5963928,-1.5602419,-1.480704,-1.4996877,-1.2636702,-0.89716065,-0.1521117,0.66834086,1.4218246,1.9631397,2.437676,2.7771368,2.875146,2.6820195,2.6443655,2.6935058,2.4951239,2.1742659,2.0189908,2.1222684,2.5886877,3.2547615,3.875477
2025-11-14 02:10:40+00:00,2025-11-14 00:00:00+00:00,-8.737523,-9.900488,-10.112109,-9.905734,-10.247692,-10.008065,-10.13689,-10.889085,-12.739481,-13.537778,-13.83464,-13.481978,-13.248021,-13.233729,-12.930901,-11.747248,-9.836313,-9.625171,-8.74015,-8.769588,-8.450576,-8.714392,-8.9152155,-9.017276,-10.45861,-10.785471,-10.842279,-11.342503,-11.216765,-10.547408,-9.435675,-8.415584,-8.180957,-7.1700025,-7.3457026,-7.2986045,-7.1540465,-6.8320723,-6.5265965,-5.939595,-3.5400193,-3.0714004,-2.8436024,-2.9561098,-4.3204923,-5.1912465,-5.821247,-5.9743834,-7.392267,-3.4777389,-3.2748551,-3.32173,-3.0996528,-3.215154,-2.0579834,-1.6074944,-1.5945452,-1.9541357,-2.143523,-3.1238785,-2.8619716,-2.438083,-2.9008431,-2.5502493,-2.3290484,-0.2396092,0.8387171,0.5177693,0.060205642,0.2507125,1.0211242,2.0824122,3.1316147,3.5810368,1.9900907,2.7338674,1.9938331,1.1775143,0.94432586,0.7271162,0.7187752,0.11773353,-0.47514823,-0.73665744,-1.1902812,-0.9477727,-0.8596347,-1.352719,-1.6444694,-1.2440073,-1.4554958,-1.6260065,-1.6122389,-1.8899124,-1.9507014,-2.1209674,-2.04357,-1.979624,-2.2258177,-2.3432949,-2.4400885,-2.5517805,-2.6971953,-2.79414,-3.0079556,-3.0460572,-2.9978049,-2.79414,-2.8811684,-2.6860576,-2.2960196,-1.6032766,-1.0234046,-0.8839741,-1.0959803,-1.693615,-2.532796,-2.4695868,-1.5104798,-0.5339946,-0.48545206,-0.875055,-1.3045557,-1.4056791,-0.51682943,0.54808694,1.3213196,1.3115001,1.3115001,1.121549,0.97172064,0.9114999,0.66150004,0.12269186,-0.6071428,-1.0915071,-1.3811357,-1.6084316,-1.7170159,-1.5647413,-1.1747491,-0.8585335,-0.8178068,-0.81119823,-1.1858364,-2.0740764,-3.3656573,-4.506359,-5.2938623,-5.7843375,-6.225969,-6.6189523,-7.112095,-7.3605714,-7.7085776,-7.959578,-7.918051,-7.4996686,-6.8000965,-6.1879754,-5.737117,-5.634528,-5.459129,-5.5351677,-5.624801,-5.3911014,-4.838726,-4.107603
