forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:27:00+00:00,2025-11-05 00:00:00+00:00,-8.264868,-8.103316,-7.284777,-7.4440613,-6.768,-7.6834264,-8.206754,-7.6804566,-7.678655,-7.225953,-8.025097,-7.7085376,-7.497706,-7.6769986,-7.945964,-6.6933756,-5.9463086,-5.9628887,-5.972979,-8.739292,-10.506792,-11.250977,-11.444845,-12.14314,-13.644493,-14.134813,-13.085148,-13.036645,-12.988998,-11.663045,-10.2175455,-9.946591,-8.999013,-8.062237,-7.7979145,-7.5204196,-7.32313,-7.158284,-7.158284,-5.767815,-4.551158,-4.0780916,-7.0349746,-7.911534,-8.124862,-8.084409,-8.1653185,-7.4995794,-6.3481183,-5.3140745,-5.1738157,-4.7853117,-4.579165,-4.463724,-4.300766,-4.0534515,-3.7632852,-3.4763713,-3.344101,-3.0374377,-3.2166214,-3.3848612,-3.6577513,-3.5845442,-5.1375356,-6.0380087,-6.8860583,-9.015246,-9.7529,-8.913206,-8.731864,-7.2511897,-6.0870776,-5.9949923,-6.1816316,-5.9170117,-5.850621,-5.8030305,-5.9743414,-5.8030305,-5.9537797,-5.761535,-5.9840527,-5.9365773,-5.8547626,-5.82756,-5.5846114,-4.6421947,-4.6494,-3.7536497,-2.625879,-2.8263905,-2.8671176,-3.3546324,-3.3750336,-2.6689906,-2.2312937,-2.543224,-2.5052297,-2.8127735,-2.9037387,-3.0033686,-3.1113257,-3.3645306,-3.4426801,-3.5280163,-3.4882176,-3.7124639,-3.6577513,-3.4655535,-3.33825,-2.4247072,-3.0467198,-2.900975,-2.6740685,-2.9898145,-3.1864192,-3.664442,-3.7168067,-3.1207757,-3.1085486,-3.03652,-3.1082644,-3.0398843,-3.0656981,-3.2272844,-3.3509493,-3.4360578,-3.2572324,-3.315242,-3.564928,-3.5713148,-3.6179302,-3.2631311,-2.7133653,-2.479664,-2.5954697,-3.15269,-4.1354847,-4.942286,-5.1232147,-4.8715725,-4.5185285,-3.9628842,-3.613662,-3.8590786,-4.071222,-4.552957,-4.525227,-4.728833,-4.8074484,-5.0784507,-5.2591357,-5.3946595,-5.575371,-6.035154,-6.186963,-6.0787044,-6.0285587,-5.6262236,-4.911587,-4.9048777,-4.660824,-5.173038,-5.6553903,-5.4506674,-4.9657445,-4.702981
2025-11-06 01:14:49+00:00,2025-11-06 00:00:00+00:00,-11.854892,-12.774095,-12.706964,-12.864569,-12.770674,-12.512514,-11.538391,-9.777724,-9.046084,-9.062362,-9.39927,-10.380063,-10.524205,-10.112723,-9.336176,-7.513171,-6.254093,-6.2186413,-6.985044,-10.400833,-9.9660635,-9.768509,-9.102111,-8.859786,-9.814838,-9.441847,-9.292048,-8.704116,-8.338228,-9.03354,-9.337832,-9.384843,-8.780149,-8.424795,-8.41869,-7.970037,-8.05997,-8.23985,-7.9562144,-6.377479,-6.1872864,-5.4646854,-5.321567,-5.4633074,-4.9657445,-4.841386,-4.4434543,-4.4942083,-4.3914676,-4.577019,-4.5183225,-4.345129,-4.5215626,-4.16015,-4.151438,-4.019344,-4.121216,-3.8140495,-3.5845442,-3.595009,-3.6132767,-3.3968139,-2.9750564,-2.5938551,-2.10229,-2.5854628,-3.8782358,-4.829641,-4.9854803,-4.9437766,-4.661912,-3.201468,-2.071403,-2.9473526,-3.973009,-4.466859,-5.0496483,-5.2278533,-5.2242446,-5.3043094,-5.4842377,-5.49182,-5.5748487,-5.7351885,-5.759086,-5.8819547,-5.7369504,-4.4461627,-5.489827,-5.704418,-6.275341,-6.8440566,-6.7799935,-7.123328,-7.289456,-7.114139,-6.7032275,-7.2023115,-6.791774,-6.2893343,-6.3530474,-6.249139,-6.321754,-6.0723987,-6.073273,-6.3451867,-6.3551297,-6.3730435,-6.3529253,-6.627051,-6.3399262,-4.8639345,-6.179393,-5.9921403,-6.553747,-7.372528,-8.115287,-8.408083,-7.8687806,-6.601396,-6.253114,-6.1288104,-6.333474,-6.3335495,-6.441784,-6.7080197,-6.8411508,-7.1296144,-7.3404856,-7.651021,-7.5168376,-7.572017,-7.32938,-7.1962147,-6.796773,-6.547116,-6.051469,-5.790189,-6.0440574,-6.187851,-7.033146,-6.992731,-6.3927083,-5.332951,-5.1247644,-5.1348968,-5.5601635,-5.8345532,-5.998126,-5.631185,-5.6219544,-5.5378265,-5.7588267,-5.9356465,-6.068271,-6.156694,-6.112481,-6.068271,-5.5545974,-5.22847,-4.7804885,-4.9048777,-5.374902,-5.5462556,-6.2697864,-6.187851,-5.5047784,-4.9137836
2025-11-07 01:12:02+00:00,2025-11-07 00:00:00+00:00,-9.2027445,-8.688747,-9.080556,-9.81081,-8.908738,-9.048328,-8.990073,-8.686614,-9.185222,-9.062362,-8.557767,-8.686073,-8.423655,-8.149909,-7.8205385,-6.377479,-5.739556,-4.9413466,-4.928299,-4.396532,-5.600934,-6.8581724,-7.141054,-6.338212,-8.187298,-9.316299,-9.300525,-9.547619,-9.648269,-9.770974,-9.611176,-9.642182,-9.394771,-9.222601,-8.641506,-8.463251,-9.04671,-9.357743,-9.220947,-8.069505,-5.21107,-4.2423015,-3.262861,-4.306699,-6.0135527,-6.433684,-5.0688853,-3.9209995,-3.0644095,-3.9143817,-4.2935495,-4.422102,-4.9545565,-5.2278533,-4.940643,-5.2139626,-5.051953,-5.1197205,-5.2110496,-5.195146,-5.415636,-5.553338,-5.553338,-4.4010053,-5.6750693,-5.6176667,-5.8894157,-6.129496,-6.179294,-6.382143,-6.214215,-5.875008,-5.606138,-6.1139784,-6.3708577,-6.64309,-6.6962757,-6.8297343,-6.795478,-6.840285,-6.8160605,-7.13068,-7.4902997,-7.9159284,-8.617226,-9.3694,-9.280237,-8.14854,-10.334722,-10.764942,-10.808387,-10.352244,-9.837502,-10.45341,-10.715499,-8.913206,-7.642296,-7.329101,-7.4838414,-7.2556543,-7.3404856,-7.78283,-8.221148,-8.889469,-9.224692,-9.192485,-8.831908,-8.455055,-8.442022,-8.222416,-7.83751,-7.273083,-7.0031652,-7.0540724,-6.417542,-7.1376243,-7.789112,-7.6286273,-7.178343,-6.445935,-6.019577,-6.253114,-6.355199,-6.7388024,-6.8355236,-7.098045,-6.948207,-6.899681,-6.8642206,-6.7523966,-7.0186744,-7.1962147,-7.1074414,-6.7523966,-6.554645,-5.930289,-5.4754953,-5.2900534,-5.710563,-6.1372576,-6.3235736,-6.750292,-6.228819,-5.5007663,-5.076054,-4.923826,-5.1738157,-5.5434184,-5.718956,-5.960739,-6.3030705,-6.433778,-7.0496545,-7.000297,-6.948207,-7.1296144,-6.8298464,-6.1151776,-5.222333,-4.75648,-4.6494,-5.508187,-6.1537085,-6.8845162,-6.6491213,-6.404948,-5.2974296,-4.730391
2025-11-08 01:04:27+00:00,2025-11-08 00:00:00+00:00,-7.5665216,-7.9406824,-8.275155,-8.348549,-8.615505,-8.642391,-8.353023,-8.648981,-8.5753355,-8.5753355,-8.735727,-8.557767,-7.962356,-8.137128,-8.663379,-6.6214705,-5.29914,-5.378685,-6.1653643,-5.948513,-5.4449663,-5.972979,-5.972979,-6.6826887,-7.4310865,-8.961553,-9.48127,-9.957644,-9.642182,-10.033574,-10.47641,-10.869549,-10.543886,-10.105447,-10.036797,-9.889742,-10.157324,-9.808429,-9.068381,-9.575688,-9.34779,-9.436766,-9.882207,-5.8784256,-6.459048,-6.0855494,-6.549701,-6.0440574,-5.091905,-4.6972666,-4.338017,-4.019344,-4.0984716,-4.1254864,-4.1747303,-4.1867895,-4.323374,-4.940643,-5.349484,-5.575371,-6.162779,-6.7111387,-6.950893,-5.979853,-6.769493,-6.80836,-6.4661164,-6.2930336,-6.3927083,-6.911914,-6.7906933,-5.848633,-4.6533995,-4.8414454,-4.8749824,-4.5083404,-4.7760577,-5.3168526,-5.489827,-5.666,-5.6262236,-4.9545565,-5.0040035,-4.8844132,-5.153842,-5.33348,-5.468217,-4.9161973,-4.562013,-4.3612285,-4.7457743,-5.9011116,-6.201516,-6.911914,-6.4863358,-5.9723196,-5.039573,-5.214668,-4.8678865,-5.104652,-5.5434184,-5.5779114,-5.49363,-5.183108,-5.445508,-5.362176,-5.33348,-5.513132,-5.3946595,-5.62055,-5.348326,-4.8206816,-4.7367916,-4.662053,-5.0402803,-5.338898,-6.242202,-6.6694903,-6.0649505,-5.2071056,-5.209961,-4.998772,-5.2577815,-5.2362704,-5.5873003,-5.631185,-5.718956,-5.982294,-5.930289,-6.282735,-6.7674613,-6.9084506,-7.1296144,-6.9084506,-6.3777676,-6.2017736,-5.791172,-6.129496,-6.7081094,-7.422684,-7.949621,-8.517846,-7.6799517,-7.1686397,-6.3903275,-5.7799225,-5.0169115,-4.978146,-4.909931,-5.222333,-5.490146,-5.8026376,-6.4291625,-7.0186744,-7.32938,-8.014526,-7.9702706,-7.527773,-6.73154,-6.3773766,-6.3810225,-7.3901677,-8.19706,-8.993547,-9.544534,-9.0706835,-8.029881,-6.590952
2025-11-09 01:09:37+00:00,2025-11-09 00:00:00+00:00,-6.1322265,-7.295824,-8.134091,-8.659576,-8.559386,-8.647302,-8.646884,-8.8643465,-8.8197775,-8.725441,-7.6630545,-8.590106,-9.460934,-12.005809,-13.224818,-7.962356,-9.426021,-10.1116495,-8.772403,-10.622685,-10.668887,-11.655152,-13.013696,-14.705957,-15.457211,-15.380196,-15.67757,-15.397232,-15.925471,-17.090132,-16.395185,-15.97617,-16.060764,-16.324293,-16.615217,-16.824509,-16.314583,-16.568449,-16.119984,-14.5389,-13.8603735,-13.044209,-12.400611,-8.971463,-9.43553,-9.394174,-10.872156,-8.043957,-7.020574,-6.091928,-6.2895727,-6.112481,-6.086861,-6.5988674,-7.3168445,-8.005021,-8.629787,-8.396014,-7.5192227,-7.3845725,-7.306563,-7.28499,-7.3737693,-6.9042892,-6.6403823,-6.019577,-5.8784256,-6.761545,-7.5182137,-7.5990767,-7.1376243,-6.4672,-6.0446615,-6.659073,-6.5112815,-6.5971107,-6.7891994,-6.8695445,-6.8355236,-6.6408134,-7.098045,-7.273083,-7.2556543,-6.943757,-7.1738496,-7.0186744,-6.9634256,-5.820709,-5.9213157,-5.504083,-5.366173,-6.3345327,-6.9255133,-7.341231,-8.246235,-8.115287,-6.939174,-6.917464,-6.6403823,-6.7891994,-6.8695445,-7.2233157,-7.2233157,-6.913129,-6.6847224,-6.3777676,-6.441784,-5.675627,-5.033281,-4.024037,-3.113305,-2.3357754,-2.31966,-2.233734,-2.2380192,-2.8095782,-3.459705,-4.112911,-3.719763,-3.358934,-3.1207757,-3.4821653,-3.373408,-3.6928387,-3.660797,-3.333272,-2.9945004,-2.8831985,-2.6630695,-2.6545272,-2.7924294,-3.1216369,-3.2272844,-2.5713644,-1.7353585,-1.0461808,-0.9221423,-1.0167967,-1.2021986,-0.39889112,0.47066575,1.492909,2.0043583,2.4503236,2.3621314,2.124608,1.6242511,1.0047002,0.15014006,-0.7943516,-1.6267326,-2.144543,-2.7095046,-3.5977445,-4.9093127,-6.5669723,-8.18704,-9.461404,-10.550529,-11.480477,-12.108005,-12.616095,-13.014801,-12.812852,-12.762672,-12.549577,-13.288326,-14.383854
2025-11-10 01:15:02+00:00,2025-11-10 00:00:00+00:00,-9.563023,-11.366441,-12.066824,-12.199277,-12.370521,-12.413334,-12.748608,-12.620747,-12.83587,-13.05194,-12.922294,-13.095158,-12.83587,-13.095158,-13.099098,-11.643627,-9.853342,-9.77036,-10.8254595,-10.936435,-10.577273,-10.457581,-10.457581,-11.016265,-12.164759,-12.99543,-13.320875,-13.187969,-12.979305,-13.104501,-12.962296,-13.189471,-13.0557,-12.44135,-12.527375,-12.490218,-12.471831,-12.340364,-12.558156,-11.474343,-11.087348,-10.834083,-10.541586,-8.87304,-9.274629,-9.234784,-9.553592,-8.650908,-7.558248,-7.853566,-7.7597094,-8.147362,-8.761178,-8.804082,-8.804082,-8.405851,-8.621293,-8.543238,-8.802904,-8.743646,-8.743646,-8.656732,-8.308385,-7.894259,-7.298855,-6.6436133,-6.445935,-6.549701,-7.300507,-7.1376243,-8.205774,-7.9930315,-6.8860583,-6.8296537,-6.5106716,-6.4682508,-6.617542,-7.128219,-7.2860475,-7.5443907,-7.548246,-7.440418,-6.923027,-5.4500523,-4.64589,-4.41363,-4.581638,-4.1983376,-3.5499997,-2.9898145,-3.201468,-3.5867214,-4.860374,-4.776982,-3.2903666,-3.4644568,-3.212658,-3.42109,-3.5058508,-3.5156214,-3.304044,-3.1982646,-3.3582876,-3.3175135,-3.5431986,-4.2123737,-3.2710521,-2.81361,-2.2984235,-3.2140584,-3.8489208,-3.214865,-2.2749486,-1.1389966,-0.7245794,0.4974161,1.7352431,1.8134996,0.14799102,-2.4039633,-4.733173,-6.7077847,-8.559882,-9.507396,-8.834876,-7.253505,-6.596691,-7.064268,-8.010548,-8.72076,-8.514157,-7.863879,-7.8868756,-8.712183,-10.102004,-11.313761,-12.269363,-13.744768,-14.859082,-15.708568,-15.164983,-14.997774,-14.740094,-14.349445,-14.098232,-13.397462,-12.883754,-12.356667,-11.704339,-11.042323,-10.654666,-10.294889,-9.868973,-9.465768,-9.387591,-9.314979,-9.268689,-9.295222,-9.411816,-9.095505,-8.694883,-7.946733,-7.649112,-7.3490195,-6.9429107,-6.4242373,-6.215937,-6.5030484
2025-11-11 01:07:44+00:00,2025-11-11 00:00:00+00:00,-9.923578,-10.531401,-10.985189,-10.9596405,-10.917073,-10.831945,-10.872832,-11.12754,-10.675427,-10.230555,-10.406559,-10.193754,-10.458705,-10.591194,-10.679526,-9.448103,-8.779446,-8.385099,-9.406738,-9.382083,-10.898403,-11.173441,-12.248416,-11.172632,-12.934191,-12.962333,-13.6174965,-13.077864,-13.403858,-13.42404,-14.106529,-13.801953,-14.095964,-14.179982,-13.92795,-13.820863,-13.571351,-13.274326,-13.132257,-12.129269,-11.452325,-11.880524,-11.175948,-6.508452,-7.1376243,-7.5182137,-8.39115,-7.7078214,-7.072366,-6.553747,-6.554314,-6.398593,-6.4419885,-6.70239,-6.520922,-6.520922,-6.4855566,-6.50909,-6.5030484,-6.156694,-6.156694,-6.3708577,-6.086861,-5.455656,-5.4737816,-5.5934052,-6.088284,-6.376038,-6.302219,-7.300507,-7.3819585,-7.2535167,-6.516965,-6.957602,-6.8555737,-7.029373,-7.288789,-7.8175926,-7.975059,-8.621293,-8.135342,-7.6232114,-7.1855626,-6.5030484,-6.3974147,-6.0730667,-5.981226,-5.49363,-6.296139,-5.7477818,-4.702981,-4.7877073,-3.9254856,-3.3651834,-3.7623177,-3.2444053,-1.094449,1.295754,2.8360207,3.763309,4.197998,4.241352,3.8635328,4.8260493,4.8224707,4.3307004,3.7206287,5.6531262,5.6040654,5.4823723,5.5803585,5.573534,4.000487,3.2294323,3.2897043,2.7900033,2.5698547,2.333622,1.9103643,1.5520048,1.3351053,1.3234063,1.5162458,1.4705107,1.1993232,0.7098802,0.6970345,1.2377863,2.051223,2.6420505,2.6951797,2.4963567,2.2827244,1.7930743,1.2261399,1.1041552,1.6295125,2.38861,2.8952048,3.0871377,2.8250113,2.6658323,2.4008567,2.1723745,1.8159235,1.729589,1.450276,1.3924512,1.2263658,1.1751003,1.1014363,1.0692142,0.9541922,0.7608345,0.6120708,0.41007876,0.3560941,0.26168206,0.16516942,0.25728753,0.42084533,0.0202628,-0.5568997,-1.3677764,-1.9055705,-2.4783618,-2.269796,-2.038126
2025-11-12 01:09:42+00:00,2025-11-12 00:00:00+00:00,-10.114051,-10.572345,-11.121205,-10.77343,-10.151105,-10.321284,-10.468566,-10.824151,-10.694142,-10.555577,-10.512072,-10.816643,-11.07775,-11.07775,-11.07775,-10.159141,-9.428078,-9.229424,-9.24354,-10.01884,-9.847527,-10.585099,-11.599975,-12.414852,-13.801666,-13.734443,-14.034505,-13.740384,-13.613823,-13.486848,-13.088208,-12.8922205,-12.535514,-12.370521,-12.413334,-12.798719,-12.742459,-12.7854805,-12.914549,-11.726058,-10.781808,-11.080922,-9.974066,-5.2071056,-6.4672,-7.7078214,-7.870789,-7.6226363,-7.558248,-8.375681,-8.152345,-8.203532,-8.535112,-9.091774,-9.229526,-9.739784,-10.122602,-9.946337,-8.395628,-7.4313617,-6.518196,-5.8995495,-4.9990444,-4.419109,-4.534419,-4.143615,-3.545008,-3.108724,-3.1241202,-3.2903666,-3.4173706,-3.42191,-3.299633,-3.597061,-3.2594545,-3.2140584,-3.5271869,-3.333272,-3.2653499,-3.6727445,-3.7632852,-3.6299381,-3.7315617,-3.5676405,-3.4763713,-3.4307382,-3.2272844,-2.5412693,-2.9599617,-2.7173781,-2.7343755,-2.7142053,-2.1948318,-1.9350629,-1.7619704,-1.4190605,-1.1607704,-1.2746636,-1.3159374,-1.1069775,-0.69421,2.043373,2.0660117,1.5290576,1.1800101,0.79922044,3.3625197,5.555004,4.3322563,4.1270795,3.1441264,3.3470604,2.9054267,2.1482067,3.480291,3.3961298,3.4504895,3.1730623,2.8638706,2.449297,2.1179934,1.7366267,1.0651233,0.82439137,0.7749179,0.95709085,1.1293235,1.114672,0.7411444,0.64409626,0.60837185,0.48086524,0.43733642,0.48086524,0.6568233,0.6568233,0.48556307,0.12909247,-0.16192381,-0.45430547,-0.8159161,-1.242002,-1.4253234,-1.5008075,-1.430743,-1.3641382,-1.2031199,-1.1393919,-0.82531136,-0.6005687,-0.38797286,-0.13862742,0.037912793,0.11031247,-0.0030605805,-0.37497628,-0.55454487,-0.6301893,-0.71575767,-0.69608754,-0.52405536,-0.21997623,-0.08602029,-0.4381829,-0.74627763,-1.2021986,-1.0392575,-0.9564708
2025-11-13 01:27:04+00:00,2025-11-13 00:00:00+00:00,-12.538086,-11.965526,-11.99393,-11.519642,-12.144998,-11.829647,-11.408808,-12.301613,-12.468443,-12.284896,-11.968303,-11.796323,-12.0113,-11.839316,-11.496916,-10.5307255,-9.292048,-8.771899,-9.690423,-8.637553,-7.626173,-9.92655,-13.016049,-14.955888,-16.595068,-16.044403,-15.792919,-15.65773,-15.537413,-15.5001,-15.751629,-15.994302,-14.887994,-13.438418,-13.438418,-13.521911,-14.150978,-14.022997,-13.480164,-12.40844,-8.605098,-4.7164063,-0.97431743,-2.8095782,-3.20571,-3.480982,-4.1588645,-4.15505,-3.710326,-3.7890081,-3.6485338,-3.660797,-3.6162007,-3.7621572,-3.873386,-3.8283706,-3.7833576,-3.873386,-3.3121982,-3.2309058,-3.2482116,-3.1815379,-2.9840584,-2.359232,-2.4570045,-1.7886204,-1.3547132,-1.1574091,-1.5456324,-1.9362599,-1.7619704,-1.6044405,-0.47300237,0.31792656,3.3011107,5.2923393,5.627294,5.889654,5.826968,4.4823136,4.522864,5.011837,5.5025606,6.178717,6.3133807,6.266245,4.961595,3.792483,2.889047,2.4209151,1.846513,4.6799817,5.5313673,3.814017,3.1366594,3.3888717,3.3961298,2.9401875,3.3496952,3.5714731,2.329431,1.8815087,2.3780181,3.153807,2.978158,1.5436469,1.9648857,2.1693377,1.6887449,1.2191852,0.43256253,0.16352089,1.5917431,1.6336234,1.4526694,1.3635089,0.94293344,0.62952524,0.62952524,1.0375623,1.3374497,1.7868396,2.5574596,2.891826,2.7883663,2.449297,2.2937503,2.3139775,2.3730369,2.2524598,1.9592354,1.3700424,1.1947521,1.2604516,1.5174847,1.6400384,1.7201198,1.5106678,1.1732323,0.6642034,-0.16400416,0.13251698,1.9913281,3.523165,4.2574716,4.1104755,3.627673,3.2727258,3.4468565,3.988746,4.151676,3.8077383,3.2979913,2.9544978,2.8898587,2.8658571,2.8260994,2.8754966,2.964523,2.9232867,2.7345212,2.316784,2.0054758,1.6143891,1.2793777,1.4199113,1.9837242,2.641189
2025-11-14 01:10:23+00:00,2025-11-14 00:00:00+00:00,-11.232379,-11.734959,-11.965526,-11.99393,-12.864569,-12.478652,-12.752469,-11.726058,-11.64088,-10.374832,-9.297547,-8.176953,-7.9362874,-7.75868,-7.669881,-6.488507,-5.330493,-4.7196007,-4.7738695,-3.642185,-4.123256,-2.8045366,-2.456629,-2.6838937,-3.6035054,-4.9821944,-5.81513,-6.3628874,-6.5385065,-6.864836,-6.1473956,-5.434602,-5.1990566,-5.061581,-5.5881405,-5.614795,-5.6131196,-5.876737,-5.8317513,-4.218812,-2.7520525,-2.1313062,-1.6611539,-0.7214101,-0.8535459,-1.5278203,-2.1260471,-1.5456324,-0.99206614,-0.7573899,-0.31842417,-0.19282924,0.3409442,1.1654476,2.648353,3.2763174,3.487523,3.5242906,4.6669836,4.2104874,3.839141,3.6199,3.5528204,3.5037925,3.0894282,2.88304,2.133428,4.7295375,5.0414224,3.1224804,3.4682517,3.9838655,1.7711126,1.0651233,1.7600759,1.7600759,0.81196576,0.9314174,0.7625062,0.41607746,0.90565985,0.95764095,1.0897728,0.9215846,0.77395386,0.50430304,0.30669075,0.4929928,0.04995578,0.23495491,0.115768485,0.31680584,0.59664595,0.22320278,0.9982961,1.5579767,2.0554261,3.7184763,3.690551,4.0320997,3.9682295,4.1296844,3.6411765,3.1050103,2.1586535,1.7849209,1.8835441,3.2979913,3.4423592,3.2897043,2.5128508,2.3934197,1.4984186,0.3278051,-0.79076564,-0.4547566,0.62588435,1.2434161,1.5965061,1.7500069,1.5051062,0.645725,-0.8494127,-1.8779701,-2.3541207,-2.1879437,-2.2193396,-2.1637642,-2.2370274,-2.2640371,-2.3616824,-2.5295527,-2.5295527,-2.3912063,-2.2120507,-2.0649781,-2.287579,-2.8324273,-3.5353787,-4.2597528,-5.2339635,-5.9277487,-6.294126,-6.747042,-6.6776476,-6.369358,-5.9596086,-5.458032,-5.1874523,-4.563467,-4.206084,-3.57569,-2.996469,-2.566204,-2.6603045,-2.7071323,-2.9563963,-2.9070473,-2.8619165,-2.8371704,-3.0654278,-3.3107505,-3.933164,-4.5815277,-5.260574,-5.781958,-5.873995,-5.971949
