forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:12+00:00,2025-11-05 00:00:00+00:00,19.083395,21.316135,19.13426,10.195057,10.446206,15.273505,13.684735,14.512064,15.281989,16.434305,16.09969,13.849477,13.849477,10.495713,11.013882,7.5170207,12.245294,10.538843,6.763786,8.12197,18.11841,14.84318,13.237039,12.864649,7.2805495,11.384198,8.225035,13.779114,12.413476,13.18308,15.856354,13.891522,14.81259,16.311613,15.542662,15.256526,12.620554,11.165805,10.446206,7.8954163,5.00128,10.308831,24.50381,25.582806,24.569832,22.033648,25.942488,27.117346,21.2522,20.523155,15.596767,15.807239,14.48972,15.124284,16.08761,15.778518,15.941944,16.746773,17.25373,18.079027,17.935081,18.218275,16.992609,13.276144,10.233123,6.696387,3.8939953,2.0991426,9.0,14.84318,16.676977,15.807239,7.0911775,2.9024127,2.8116899,5.04,8.913181,11.440979,13.53236,15.629971,16.279802,16.299694,15.94601,16.489416,16.279802,15.990646,15.876775,14.336861,12.261157,11.753876,14.88242,17.373497,19.386593,14.081477,13.18308,10.24578,4.8433046,7.2,15.941944,16.58346,15.379206,12.261157,11.200571,9.504272,5.154415,0.8049845,5.3517847,9.220499,6.830519,5.315336,8.64,7.42159,12.10157,11.753876,12.245293,12.074766,11.183201,10.464797,11.200571,12.229406,12.538134,11.090103,9.19939,7.24486,5.634891,3.7064266,2.0991426,1.1384199,1.835647,2.5455842,1.2979984,2.0364676,3.396233,2.3051248,0.5091169,1.484318,1.4399999,4.3349743,7.386582,9.931042,12.229406,13.746156,13.830749,13.397612,11.592895,7.4128532,2.7416782,3.219938,3.6,2.9024127,2.9024127,2.7416782,1.9386592,1.9386592,3.219938,5.154415,6.763786,7.4128532,7.5942082,6.989936,5.8603754,3.8939953,2.1897945,1.484318,4.5820518,7.145796,8.404285,8.891343
2025-11-06 02:15:06+00:00,2025-11-06 00:00:00+00:00,8.557102,13.584932,5.2416787,4.198285,9.107359,13.276144,15.1884165,19.164717,18.278645,21.178896,20.570463,19.969458,15.683774,13.551501,12.594856,6.193674,5.5887027,20.545246,26.072052,25.842384,21.129883,21.599998,25.570139,25.929996,19.09358,17.533146,14.88242,11.928989,13.32,14.332341,19.08,22.238562,17.87718,8.891343,6.379216,4.379589,8.4042845,12.904882,10.829959,7.24486,1.484318,1.609969,5.937272,14.003028,17.057314,17.654688,15.9134655,14.654254,10.948973,4.32,9.605998,14.336861,16.179987,16.75064,17.709658,17.87718,17.595861,17.49615,17.174677,17.595861,17.238699,16.45007,15.94601,13.584932,12.599998,15.530151,18.289274,18.971008,20.188908,16.09969,11.542478,8.4042845,4.198285,5.5887027,11.367109,13.397612,9.360001,8.654986,7.5170207,7.9932966,10.514218,5.6233797,2.2768397,1.835647,9.387651,9.107359,5.771239,7.289445,11.384198,12.738099,14.081477,14.05845,13.556282,12.620554,9.422101,7.5685663,7.928177,11.183201,11.269782,10.1887,9.826088,7.4128532,5.634891,3.6179552,1.8,2.2768397,3.4152596,2.1897945,0.35999998,0.5091169,0.71999997,1.4399999,4.510787,7.145796,8.942214,11.480557,13.783817,14.799459,14.05845,12.096214,9.290511,5.3517847,2.4149535,4.379589,4.6938252,3.7064266,3.8268526,5.3999996,6.989936,8.78872,10.383987,11.792404,12.594856,12.10157,11.298495,11.983188,15.575981,20.674156,24.408424,26.518099,28.019936,27.438046,23.277834,17.654688,13.627795,11.770403,12.738099,14.8257065,15.7908325,16.311613,16.645864,16.45007,15.941944,15.459054,15.315873,15.0038395,14.693999,14.20062,13.70839,12.594856,10.883676,8.669949,6.1305785,3.219938,0.8049845,3.6,7.386582,10.799999
2025-11-07 02:12:18+00:00,2025-11-07 00:00:00+00:00,16.923828,14.830076,16.454008,17.654686,11.440978,11.542478,14.05845,13.324863,12.783802,12.768586,15.463246,16.311613,10.823973,10.30883,5.7599998,7.072878,5.8048253,2.2768397,1.835647,8.891344,15.315873,17.399586,17.25373,16.981165,11.983188,7.8954163,12.783802,14.480773,12.287555,12.413477,11.159999,11.304229,12.144331,12.074766,9.3669195,10.028439,10.966713,12.074766,12.015589,8.473393,13.910169,12.783802,10.538843,11.165805,11.928989,10.446206,14.021525,14.277983,10.182337,3.4152596,12.387348,15.580141,15.03835,14.618837,14.529915,14.529915,13.246826,10.739832,9.826088,9.387651,2.6208394,4.3498964,7.653705,8.373386,9.983106,13.089354,13.493999,14.658676,13.570615,11.923557,10.685391,10.587918,8.161764,6.989936,7.289445,7.4128532,3.396233,1.8,3.096837,1.484318,0.8049845,0.8049845,1.2979984,0.71999997,2.5455842,3.7585104,4.39436,3.219938,3.8773184,6.696387,10.009036,13.044722,14.113652,13.755579,15.281989,14.773164,8.534353,4.802999,4.0249224,6.12,7.2,7.491114,8.913181,10.296251,11.681987,11.885453,12.181624,12.783802,13.891522,14.021525,14.081477,11.4862,7.7043357,9.673221,18.35647,19.453327,20.288164,20.49156,17.935081,14.404499,11.609651,9.885262,11.212135,14.20062,15.617529,16.42247,16.746773,17.072504,17.072504,16.746773,16.58346,16.299694,15.876775,15.077082,13.891522,12.287555,10.514218,8.942214,6.439876,2.1897945,4.39436,8.404285,10.195057,10.233123,8.78872,4.6800003,2.5455842,6.6087217,8.942214,10.464797,11.592894,11.983188,12.10157,12.24,12.904882,13.584932,13.979872,13.779114,13.281023,11.4862,7.928177,3.8773184,3.096837,5.8603754,9.826088,12.387348,12.475961,11.304229
2025-11-08 02:04:41+00:00,2025-11-08 00:00:00+00:00,7.5170207,10.823973,21.434364,19.48661,11.212135,10.182337,13.493999,13.684735,11.503113,11.726277,12.864649,13.363711,13.339445,11.525623,10.105681,5.2416787,10.8955765,12.964998,11.874544,11.090103,14.186923,16.575644,15.986593,15.30741,10.44,8.759178,4.452954,4.5820518,3.9763298,6.28713,6.638072,1.484318,8.587338,4.1046314,6.696387,9.178235,9.6932955,4.39436,5.1544156,7.5942073,12.758432,14.168641,15.137133,14.512064,14.480773,13.779114,13.684735,14.48972,12.538134,7.491114,8.913181,4.5536795,3.6,4.3349743,2.4149535,1.484318,2.16,1.1384199,1.2979984,2.5959969,2.2768397,2.1897945,1.835647,2.2768397,3.8268526,5.1165614,8.404285,12.496718,15.03835,18.626305,17.873556,15.408671,8.161764,5.634891,1.2979984,4.896529,6.1305785,5.0911684,7.42159,10.009036,11.681987,11.983188,13.392774,14.480773,15.077082,15.379206,15.379206,12.904882,10.495713,17.283749,28.876396,32.726357,24.693481,24.195107,26.739542,22.476227,16.394829,17.935081,15.807239,13.363711,13.854155,14.917212,15.646544,16.904673,17.238699,16.923828,16.299694,16.179987,16.575644,16.279802,14.88242,11.983188,8.161764,3.7585104,2.4149535,5.95906,10.195057,13.246826,12.738099,10.195057,7.653705,5.1919937,2.6208394,1.8,3.671294,6.28713,8.534353,9.826088,11.119281,11.609651,12.10157,12.10157,11.983188,12.096214,12.031756,10.703569,7.145796,2.5455842,3.6179552,7.729527,12.096214,14.291592,13.276144,11.113451,8.759178,5.771239,2.5959969,3.219938,6.638072,9.957108,12.261157,12.538134,11.808878,11.090103,11.090103,10.799999,10.514218,10.233123,9.957108,8.161764,3.319036,2.8116899,8.14587,11.709688,14.512064,15.530151,14.255272,11.457958
2025-11-09 02:09:49+00:00,2025-11-09 00:00:00+00:00,11.525623,7.7879906,4.0249224,4.73506,6.193674,7.9526596,7.8954163,9.107359,9.220499,1.9386592,8.311245,9.007196,7.10031,6.297428,7.5170207,4.39436,14.113653,14.039999,14.982228,13.684735,14.654254,14.007655,14.8257065,15.683774,12.682018,9.726664,7.8954163,6.9153743,11.212135,10.883676,10.00256,8.287822,7.8954163,8.714677,7.9932966,4.5820518,2.8116899,1.2979984,1.1384199,3.0758414,0.8049845,8.049845,12.57426,11.720751,13.783817,16.29174,16.08761,17.388409,9.085988,5.6233797,2.8116899,3.096837,3.9763298,5.904439,7.7879906,7.42159,10.514218,11.304229,11.384198,12.10157,11.983188,12.4811535,12.904882,11.4862,9.19939,9.339208,16.78156,21.370783,20.696087,18.626305,19.513195,8.913181,9.19939,15.315873,13.70839,13.891522,14.578888,16.516901,17.076298,15.941944,15.990646,14.77755,14.386494,14.654254,14.8257065,14.88242,14.20062,12.287555,9.178235,1.9386592,2.0364676,7.7043357,10.296251,10.630672,11.269782,13.905509,8.707238,4.5820518,7.754637,13.513193,15.30741,14.81259,14.039999,14.986553,14.81259,15.0038395,15.141414,15.141414,14.654254,14.8257065,14.693999,12.10157,9.085988,4.6102495,2.7416782,3.0758414,8.942214,12.984975,13.237038,11.480557,7.9932966,2.9024127,6.9899354,12.10157,13.202726,12.413477,11.4862,11.592894,12.031756,11.753876,10.514218,8.891343,7.754637,6.638072,6.130579,9.028754,18.875126,31.765793,41.26831,43.738148,42.86873,40.582714,35.42846,28.657898,23.710857,22.66857,23.86341,26.161375,29.957968,34.574997,37.868507,38.322674,37.503983,36.2082,33.70377,30.244286,28.137634,27.36947,27.952787,28.901073,30.684587,34.025234,36.869694,39.640884,42.039925,42.2567,39.496777,35.031162
2025-11-10 02:15:19+00:00,2025-11-10 00:00:00+00:00,13.392774,9.957108,8.4963045,4.379589,2.9024127,0.35999998,5.0528407,2.8116899,4.8965297,1.08,3.8939953,1.5273507,4.379589,6.130579,7.7043357,5.1919937,2.7416782,8.209263,9.449572,9.449572,10.703569,13.684735,14.707222,15.617529,12.10157,9.673221,7.386582,5.904439,1.5273507,7.7879906,11.525623,11.726277,11.183201,10.8955765,11.879999,12.429127,9.726665,11.928989,10.948973,6.5693827,7.968939,1.2979984,2.5959969,5.00128,8.287822,12.594856,13.979872,13.849477,9.885262,6.763786,13.830749,14.88242,13.608762,13.70839,14.973577,15.459054,15.459054,14.693999,14.20062,14.168641,12.783802,12.24,11.792404,9.957108,5.3999996,2.16,6.1305785,10.739832,15.7908325,18.089775,16.055355,12.261157,9.793059,5.04,4.3498964,9.085988,13.324863,14.081477,13.70839,15.379206,14.693999,14.88242,13.684735,14.512064,14.336861,13.53236,13.202726,12.181624,9.178235,5.0911684,1.8,3.096837,9.422101,16.992609,15.683774,12.181625,5.1919937,8.654986,10.587917,10.829958,11.165805,11.435313,10.799999,9.957108,9.826088,10.144082,9.531505,9.007196,8.049845,16.595179,30.802622,39.966484,36.158054,38.03243,40.541176,40.46919,40.641754,40.643345,40.377815,40.01024,40.42593,42.347084,44.861546,47.472248,51.1922,55.702366,55.441166,45.502632,30.735231,21.413193,20.456745,23.132626,27.322077,33.231335,40.57633,47.051323,51.4082,55.022316,56.262596,53.712437,48.970585,44.5848,41.046314,37.669487,34.296494,30.817343,27.36947,24.464113,21.980644,20.188908,18.709612,17.906157,17.414474,16.79314,16.179987,15.277749,14.689588,14.186923,13.896187,12.313894,9.673221,6.763786,4.0249224,4.1046314,10.44,14.618837,14.4,11.384198
2025-11-11 02:07:56+00:00,2025-11-11 00:00:00+00:00,10.805998,9.449572,7.2,7.2,3.4152596,11.440978,11.440979,11.726277,11.304229,11.165805,11.5199995,12.620554,11.659777,12.496719,11.659777,8.4042845,11.440978,11.966953,10.1376915,9.178235,5.3999996,15.072783,15.986593,14.654254,9.585739,7.8954163,1.8,9.107359,10.390226,12.620554,12.261158,10.805999,11.542478,11.609651,11.542478,11.525623,11.609651,11.503113,11.177405,8.759178,4.6800003,2.1897945,7.968939,8.699793,12.682018,15.5843,15.496736,15.856356,12.605142,2.8116899,2.5455842,6.638072,11.988594,14.88242,14.386494,11.91812,12.594856,13.18308,14.480773,14.021525,13.217443,13.397612,11.681987,10.086427,6.193674,2.5455842,1.1384199,4.6938257,8.4963045,14.003028,14.799459,12.074766,6.4799995,2.0364676,6.618519,9.220499,10.296251,9.826088,10.00256,11.609651,12.7279215,12.879752,13.0447235,12.10157,12.55879,11.269782,9.83268,7.5685663,2.1897945,12.6462,21.659918,26.642431,32.096577,30.75209,31.122828,31.262014,23.770906,13.755579,10.829958,12.620554,16.981165,18.72346,12.864649,10.041354,9.227524,8.350138,3.5455887,2.8116899,5.4477882,6.6185193,13.891522,13.397612,17.429354,26.987997,30.960001,33.636406,33.68069,29.96662,19.881649,11.901798,15.546833,14.480773,8.891344,4.802999,4.829907,6.5693827,8.225035,8.587338,7.386582,5.937272,7.653705,14.24163,20.418695,23.411074,25.772078,28.576382,32.023815,35.43578,37.003025,36.061146,34.07091,31.68818,28.820242,25.050413,21.749481,17.902534,14.003029,11.770403,12.904882,15.575981,17.49615,17.654688,17.10284,16.831684,17.10284,17.148247,16.92383,16.641972,15.580141,13.004922,6.8777895,0.8049845,6.638072,9.931042,11.212135,10.97262,8.161764,3.319036
2025-11-12 02:09:55+00:00,2025-11-12 00:00:00+00:00,8.287822,10.97262,1.8,10.086427,11.609651,11.966954,10.829958,12.074766,11.91812,11.525623,10.636766,10.948973,11.681987,12.181624,13.237039,9.0,6.763786,4.452954,8.557102,11.609651,12.24,13.281023,11.043261,7.42159,10.799999,9.793059,5.0911684,9.422101,11.183201,12.979984,13.849477,14.33234,14.48972,13.661038,15.141414,15.629971,14.494192,12.9249525,11.212135,6.5693827,7.8954163,2.16,4.39436,10.587917,11.384198,11.923557,10.8955765,15.137133,7.5942082,6.130579,7.072878,10.028439,10.948973,12.7279215,14.20062,15.077082,14.57889,14.693999,14.8257065,14.336861,14.007655,14.168641,13.684735,11.753877,7.289444,6.9247384,15.281989,18.0036,19.08,20.268991,21.710716,17.727943,15.273505,18.391735,17.294992,14.685176,14.799459,15.141414,14.88242,15.192682,14.982228,14.693999,13.891522,12.57426,11.113451,10.829958,9.983106,8.534353,3.563818,1.4399999,3.7064266,8.4963045,11.246759,13.849477,11.440978,17.884428,21.2522,16.394829,11.542478,11.609651,10.799999,7.5942073,5.0528407,4.198285,0.35999998,4.829907,3.671294,5.495161,3.6179552,7.10031,9.021574,30.282827,34.50746,37.44346,33.231335,33.75948,34.387066,34.152596,34.04808,32.957207,30.351225,23.795427,15.517629,10.829958,10.233123,10.948973,11.480557,11.988594,12.229406,12.7279215,13.246826,13.513193,13.551501,13.044722,12.261157,10.97262,8.669949,5.904439,1.9386592,4.39436,11.753876,15.546833,14.003028,9.0,4.2136917,1.609969,6.989936,11.298495,12.594856,12.181624,11.384198,10.1887,8.854829,7.0911775,5.692099,5.00128,4.6938252,3.8773184,3.219938,4.452954,7.289445,10.948973,14.904173,20.291357,26.309572,30.222849,28.528723,24.087738
2025-11-13 02:27:15+00:00,2025-11-13 00:00:00+00:00,10.195057,6.696387,3.2599385,5.937272,10.08,10.823973,12.783802,12.594856,12.72283,12.57426,12.768586,11.620809,11.177405,11.367109,10.1376915,7.5942073,9.826088,7.42159,12.57426,14.973576,13.202726,10.041354,17.0763,14.57889,7.928177,7.5685663,5.904439,3.219938,6.6087217,6.5693827,10.990322,11.91812,11.525623,11.770403,11.246759,11.592894,12.245293,11.885453,10.948973,8.557102,6.489992,0.71999997,12.641076,15.990646,17.57744,18.581022,20.12461,20.291357,12.313894,15.124284,13.684735,13.138765,13.779114,13.854155,13.684735,13.584932,14.480773,15.077082,14.57889,14.8257065,14.654254,14.007655,12.57426,9.107359,4.896529,0.5091169,5.904439,8.161764,9.531505,13.004922,28.817993,30.430117,27.44513,31.810638,23.40277,16.766108,12.074766,10.739832,9.585739,8.557102,6.4096174,3.5455887,1.2979984,2.4149535,4.802999,6.9899354,6.489992,8.534353,16.24394,25.189713,26.729847,32.058197,40.00538,40.25888,46.00822,38.753124,34.488674,33.626774,28.916763,27.943514,27.397867,20.172853,10.829959,10.538843,10.00256,12.096214,12.287555,11.808878,13.237038,13.608762,13.830749,12.738099,10.514218,10.137692,15.484185,17.518356,19.386591,20.60823,20.65848,19.486609,17.551615,13.661038,9.36,7.729527,8.587338,10.00256,10.315115,9.0,6.989936,5.937272,4.73506,3.8268526,3.8773184,2.968636,0.8049845,0.8049845,2.968636,6.151683,9.885262,16.520823,25.809765,31.394394,29.62518,23.871555,18.345877,14.759999,13.570615,13.392774,11.792404,10.594036,10.948973,12.522619,14.84318,15.175612,12.9249525,10.182337,9.19939,8.913181,8.669949,9.178235,11.304229,14.654254,17.58481,18.919704,19.386593,19.05281,17.25373,14.973577
2025-11-14 02:10:37+00:00,2025-11-14 00:00:00+00:00,12.538134,9.504273,4.198285,10.1887,9.1641035,8.766573,6.519877,10.1376915,9.178235,9.693296,11.090103,11.592895,11.525623,12.24,10.00256,6.763786,2.7416782,1.2979984,11.726277,15.2947035,18.504139,20.674156,22.73707,21.746502,14.33234,9.6932955,3.4152596,3.2599385,3.2599385,4.829907,9.0645685,11.013882,12.413477,11.91812,11.27553,11.726277,12.181625,13.276144,11.435313,7.628263,5.4119864,5.991594,13.708391,19.878391,20.63023,20.056877,18.374111,15.30741,19.8,21.647945,25.942488,25.922499,24.693481,17.76081,11.503113,8.311245,5.6920996,3.7585104,3.8268526,2.968636,3.9763298,3.96,4.379589,1.1384199,19.376562,26.574244,25.071098,23.358423,27.103003,35.069984,42.85361,34.366333,35.27449,27.416782,28.08923,19.493261,11.090103,11.966953,12.387348,11.808878,11.592894,12.599998,13.217443,12.4811535,11.923557,11.525623,12.229406,11.200571,9.178235,10.8955765,12.979984,14.764389,13.849476,10.739832,13.004921,15.379206,16.516901,15.496736,10.538843,7.628263,6.28713,3.0547013,4.802999,4.510787,3.6,6.6185193,7.8954163,6.8777895,5.315336,1.484318,2.9024127,2.6208394,8.217153,18.388212,27.959743,32.409996,35.428463,37.388042,37.52471,36.150883,33.90313,30.05515,26.064596,21.53089,14.869351,7.8954163,7.072878,7.928178,7.2359104,6.5693827,6.0347,5.4833565,4.39436,3.096837,2.1897945,2.7416782,5.0911684,8.225035,10.799999,13.70839,18.64369,22.691425,23.042812,21.626984,19.110542,15.876775,12.641076,11.090103,10.739832,10.883676,11.298495,11.609651,12.10157,12.594856,12.979984,13.608762,13.551501,13.324863,12.599998,9.885262,4.2136917,4.510787,10.703569,15.03835,17.713316,18.079027,13.479583,5.991594
