forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 01:27:01+00:00,2025-11-05 00:00:00+00:00,-7.7792344,-8.200649,-8.569152,-9.010236,-8.604591,-8.752428,-8.740499,-8.492111,-9.496391,-8.982706,-9.38642,-9.362535,-9.3640995,-9.726165,-9.510296,-8.20956,-6.254997,-6.1580334,-6.1214437,-9.185989,-11.020622,-11.759782,-11.914968,-12.691314,-13.692654,-14.907586,-14.646895,-13.906868,-14.028007,-12.747622,-10.596495,-10.552329,-9.546895,-9.091794,-9.092589,-8.688466,-8.621351,-8.850566,-8.988102,-6.6914783,-5.440709,-4.2211857,-6.28432,-8.250599,-8.461503,-8.421034,-8.50197,-7.840882,-6.699343,-5.6749215,-5.5375032,-5.151625,-4.947998,-4.834961,-4.6742816,-4.428038,-4.139976,-3.8560736,-3.7266583,-3.4226658,-3.6035967,-3.7726958,-4.043926,-3.9622471,-5.503921,-6.3959618,-7.2355533,-9.352174,-10.084639,-9.247463,-9.068699,-7.594661,-6.440036,-6.3529334,-6.542672,-6.2808576,-6.2158203,-6.1708407,-6.340895,-6.1708407,-6.322876,-6.1318173,-6.3543773,-6.3080826,-6.2274137,-6.20134,-5.959456,-5.013465,-5.012977,-4.114147,-2.9846017,-3.180268,-3.2192547,-3.7050736,-3.7272975,-3.0277224,-2.5996745,-2.9152858,-2.880649,-3.1893108,-3.2813349,-3.3820024,-3.4909735,-3.7451928,-3.824312,-3.9105985,-3.872617,-4.09599,-4.043926,-3.854221,-3.7260787,-2.8071387,-3.4222283,-3.2731013,-3.0425348,-3.3530393,-3.5452728,-4.020211,-4.074211,-3.4840283,-3.4758296,-3.4074967,-3.4826899,-3.4175017,-3.44534,-3.607928,-3.732569,-3.8186266,-3.6416018,-3.7005045,-3.9510918,-3.95917,-4.0057907,-3.6501117,-3.0985525,-2.8611608,-2.9709044,-3.519978,-4.4945545,-5.2949486,-5.4722357,-5.2205276,-4.871085,-4.3219137,-3.9783998,-4.2265077,-4.4411874,-4.9242105,-4.898781,-5.103534,-5.1832457,-5.454293,-5.635008,-5.7705536,-5.9512944,-6.4100747,-6.5608044,-6.451396,-6.3988914,-5.994,-5.2752194,-5.2609477,-5.0116053,-5.5180516,-5.9961367,-5.791351,-5.3106995,-5.0537744
2025-11-06 01:14:49+00:00,2025-11-06 00:00:00+00:00,-12.123338,-13.827231,-13.823847,-13.819196,-13.974994,-13.904996,-12.185934,-11.51227,-10.474899,-10.531133,-10.876404,-11.630699,-11.381539,-11.41187,-10.450001,-8.335194,-6.991144,-6.2010565,-6.938283,-9.904001,-10.405577,-9.266263,-9.54522,-9.386906,-9.954555,-10.016451,-9.8624,-9.651991,-9.224145,-9.497181,-9.707924,-10.17503,-10.118075,-9.745342,-9.81984,-9.858981,-9.952484,-10.009557,-9.874591,-8.171385,-6.4198136,-5.782063,-5.6116614,-5.808404,-5.3106995,-5.1863046,-4.7903247,-4.8430614,-4.7474136,-4.937701,-4.8818703,-4.711353,-4.8891206,-4.5301323,-4.5226173,-4.391669,-4.494699,-4.1896844,-3.9622471,-3.9737322,-3.9929993,-3.7784398,-3.358485,-2.9724257,-2.4754233,-2.9513316,-4.2340555,-5.178582,-5.332498,-5.290782,-5.0108104,-3.5587504,-2.4409935,-3.3183134,-4.3441577,-4.839263,-5.419797,-5.600394,-5.5990276,-5.6801896,-5.861203,-5.869821,-5.9518294,-6.114237,-6.1391273,-6.2629824,-6.1189046,-4.821901,-5.856285,-6.0653515,-6.630075,-7.1935415,-7.1275086,-7.4688973,-7.6350718,-7.461745,-7.059732,-7.562087,-7.1558056,-6.657242,-6.72222,-6.620701,-6.6956196,-6.4484043,-6.450334,-6.722291,-6.733266,-6.7521896,-6.733054,-7.0072207,-6.7210197,-5.238658,-6.5432954,-6.3516364,-6.906822,-7.7181683,-8.454415,-8.744817,-8.210192,-6.9526873,-6.611118,-6.491293,-6.698775,-6.701465,-6.8109736,-7.0772605,-7.2104177,-7.497686,-7.707316,-8.016596,-7.8837037,-7.9401774,-7.6987395,-7.56555,-7.166031,-6.9137855,-6.4124794,-6.14307,-6.38932,-6.5287557,-7.3694363,-7.32901,-6.7336755,-5.6820297,-5.479214,-5.4926367,-5.9195604,-6.1955156,-6.36058,-5.99634,-5.9884377,-5.905586,-6.12663,-6.3034825,-6.4361353,-6.5245743,-6.4803534,-6.4361353,-5.9236164,-5.5961676,-5.1440945,-5.2609477,-5.7239895,-5.891377,-6.610718,-6.5287557,-5.8498898,-5.2646303
2025-11-07 01:12:03+00:00,2025-11-07 00:00:00+00:00,-8.894729,-9.593272,-9.82515,-9.962841,-9.702983,-9.433729,-9.531989,-9.510538,-9.73201,-9.681081,-9.9697,-9.95486,-9.680903,-9.827995,-9.451798,-7.796346,-6.1972475,-5.2486362,-5.6540656,-5.072463,-5.1228695,-6.5591807,-6.8440895,-6.793928,-8.402678,-9.178083,-9.953961,-9.702983,-9.7895975,-9.995301,-9.707924,-9.687715,-9.761316,-9.815275,-9.684831,-9.723576,-9.858981,-9.813845,-9.680903,-8.685384,-6.388097,-4.683918,-3.9538238,-4.659201,-6.3566613,-6.774662,-5.415929,-4.27683,-3.431681,-4.2830863,-4.663556,-4.7944994,-5.3258834,-5.600394,-5.317521,-5.5898275,-5.430897,-5.499667,-5.591009,-5.5760746,-5.7975445,-5.935266,-5.935266,-4.776737,-6.0402346,-5.978581,-6.245724,-6.4824634,-6.530473,-6.7315044,-6.563529,-6.227911,-5.968506,-6.479234,-6.7374926,-7.011067,-7.0667334,-7.201403,-7.1682973,-7.213111,-7.1900115,-7.504685,-7.8643675,-8.288947,-8.989221,-9.740358,-9.651179,-8.512862,-10.685146,-11.109442,-11.148353,-10.689598,-10.172067,-10.782409,-11.041384,-9.247463,-7.9919963,-7.6873584,-7.8451734,-7.6211452,-7.707316,-8.148432,-8.584086,-9.24963,-9.583398,-9.552717,-9.194982,-8.819442,-8.807761,-8.589424,-8.205721,-7.637219,-7.359743,-7.403612,-6.7629094,-7.4764504,-8.122998,-7.9624624,-7.517179,-6.7933564,-6.374248,-6.611118,-6.7162776,-7.10142,-7.199566,-7.4621434,-7.3136353,-7.2664227,-7.2322426,-7.1216455,-7.387975,-7.56555,-7.47676,-7.1216455,-6.922605,-6.296835,-5.837836,-5.6462154,-6.0597415,-6.4803996,-6.6621456,-7.08649,-6.569734,-5.8498864,-5.432165,-5.2845864,-5.5375032,-5.908556,-6.084129,-6.324595,-6.6655927,-6.796327,-7.41089,-7.36297,-7.3136353,-7.497686,-7.20033,-6.4867163,-5.593708,-5.1253457,-5.012977,-5.8627315,-6.501049,-7.2256327,-6.987795,-6.7435474,-5.6424813,-5.083001
2025-11-08 01:04:27+00:00,2025-11-08 00:00:00+00:00,-7.857516,-7.8798714,-8.38689,-8.908361,-8.73548,-8.56466,-8.696635,-8.697253,-8.8930025,-8.911317,-8.829658,-9.028344,-9.098985,-8.994433,-8.942257,-7.6130476,-5.9272013,-5.5651836,-6.4658866,-6.562427,-5.9779882,-5.894517,-6.6578794,-6.812988,-7.818362,-8.620699,-9.473478,-9.870283,-10.263279,-10.059847,-10.352268,-10.706794,-10.56325,-10.217915,-10.553143,-10.40519,-10.41812,-10.183749,-10.458285,-9.665368,-8.433701,-9.466343,-9.845803,-6.2276483,-6.8044286,-6.430824,-6.8929653,-6.38932,-5.449635,-5.0635624,-4.708034,-4.391669,-4.473065,-4.5022345,-4.5525255,-4.565603,-4.702208,-5.317521,-5.725371,-5.9512944,-6.5387993,-7.0861735,-7.324867,-6.3477,-7.127618,-7.1615005,-6.8154974,-6.6383667,-6.7336755,-7.2481666,-7.1269083,-6.1916914,-5.0125875,-5.206435,-5.242612,-4.8795853,-5.1473517,-5.684568,-5.856285,-6.0324907,-5.994,-5.3258834,-5.376503,-5.25803,-5.527505,-5.7071733,-5.8419347,-5.286321,-4.9255724,-4.7187853,-5.094692,-6.241931,-6.5400515,-7.2481666,-6.8249555,-6.3154163,-5.394001,-5.5739846,-5.23151,-5.469698,-5.908556,-5.944386,-5.8613796,-5.553281,-5.8169246,-5.7347393,-5.7071733,-5.886857,-5.7705536,-5.996482,-5.7252707,-5.191983,-5.100387,-5.0196805,-5.3911614,-5.6839614,-6.580749,-7.0056643,-6.4058213,-5.556149,-5.5644307,-5.358038,-5.620073,-5.601344,-5.9524465,-5.99634,-6.084129,-6.3475227,-6.296835,-6.6493526,-7.1341753,-7.2764797,-7.497686,-7.2764797,-6.7456913,-6.567046,-6.152126,-6.4824634,-7.0535607,-7.7615986,-8.283561,-8.849166,-8.016447,-7.512085,-6.7415633,-6.137814,-5.3819404,-5.347054,-5.281249,-5.593708,-5.8615694,-6.174119,-6.7995696,-7.387975,-7.6987395,-8.382773,-8.338509,-7.895924,-7.099534,-6.742686,-6.7406077,-7.739799,-8.5385685,-9.327829,-9.873207,-9.399195,-8.36385,-6.934231
2025-11-09 01:09:38+00:00,2025-11-09 00:00:00+00:00,-6.373156,-7.176373,-7.518482,-8.698395,-8.624917,-8.66876,-8.7759695,-8.821084,-8.911599,-8.850566,-8.903213,-9.03395,-8.734076,-9.9998665,-10.178826,-8.777555,-7.9860206,-8.78383,-8.894841,-10.309663,-11.620002,-11.380382,-13.097747,-14.94673,-15.069225,-15.310772,-15.859512,-16.358582,-16.118086,-15.950668,-15.9975395,-16.424078,-17.1459,-17.1459,-17.1459,-17.316113,-17.479574,-17.401127,-17.228514,-16.452002,-14.16378,-13.495066,-13.252256,-9.310857,-9.769963,-9.725789,-11.198101,-8.38057,-7.373768,-6.4558125,-6.654864,-6.4803534,-6.4559817,-6.9668345,-7.6809893,-8.366469,-8.98989,-8.757551,-7.88477,-7.7514114,-7.6746697,-7.654341,-7.7431393,-7.269708,-6.9984765,-6.374248,-6.2276483,-7.102622,-7.854659,-7.9355516,-7.4764504,-6.8104396,-6.397608,-7.013903,-6.8693457,-6.9567437,-7.150376,-7.2321887,-7.199566,-7.006178,-7.4621434,-7.637219,-7.6211452,-7.310508,-7.5419297,-7.387975,-7.333933,-6.1897807,-6.282298,-5.860297,-5.718944,-6.679881,-7.2666407,-7.68012,-8.582915,-8.454415,-7.290555,-7.27402,-6.9984765,-7.150376,-7.2321887,-7.584589,-7.584589,-7.2757816,-7.0500975,-6.7456913,-6.8109736,-6.0482464,-5.4091153,-4.403821,-3.4967525,-2.7153094,-2.6916828,-2.5995333,-2.5981758,-3.1651413,-3.8119912,-4.463551,-4.073863,-3.7178252,-3.4840283,-3.846876,-3.7407398,-4.061501,-4.031888,-3.7077358,-3.372111,-3.2628121,-3.0445921,-3.03699,-3.17491,-3.503224,-3.607928,-2.9528756,-2.1176956,-1.4284238,-1.301466,-1.3919718,-1.5740227,-0.77173054,0.095735304,1.1139432,1.6206708,2.0606751,1.9685876,1.7288516,1.2277476,0.60814714,-0.24506284,-1.1874377,-2.0183792,-2.5362408,-3.101259,-3.9888172,-5.298949,-6.9543467,-8.571161,-9.841993,-10.927272,-11.852997,-12.4758005,-12.978578,-13.372835,-13.169214,-13.117335,-12.904185,-13.641373,-14.7353735
2025-11-10 01:15:03+00:00,2025-11-10 00:00:00+00:00,-10.031122,-10.684099,-11.930465,-12.489523,-12.581811,-12.884266,-12.520423,-12.693969,-13.323094,-13.050163,-13.279342,-13.279342,-13.410599,-13.054031,-13.232986,-12.790992,-10.222743,-9.736436,-11.044962,-11.46025,-11.236153,-10.382583,-10.502262,-11.100892,-12.738337,-12.911021,-13.234718,-13.471062,-13.68101,-13.277105,-13.449138,-13.703497,-13.575822,-13.605401,-13.609198,-13.935733,-14.06038,-13.847458,-14.0003805,-13.381018,-11.24308,-10.8287325,-10.799807,-9.207284,-9.606203,-9.566346,-9.885263,-8.987719,-7.907924,-8.208694,-8.118069,-8.505812,-9.118181,-9.161097,-9.161097,-8.764362,-8.979856,-8.90332,-9.163047,-9.105261,-9.105261,-9.018326,-8.671345,-8.254191,-7.653845,-6.994917,-6.7933564,-6.8929653,-7.639382,-7.4764504,-8.542441,-8.332122,-7.2355533,-7.184526,-6.870286,-6.826305,-6.9740257,-7.4831653,-7.644294,-7.902698,-7.9081,-7.8017397,-7.287087,-5.820277,-5.018327,-4.7882776,-4.957398,-4.570695,-3.9173684,-3.3530393,-3.5587504,-3.9390397,-5.207359,-5.1239424,-3.642613,-3.818492,-3.574505,-3.787129,-3.873209,-3.8842497,-3.67507,-3.5727055,-3.73164,-3.693065,-3.918788,-4.579872,-3.6408672,-3.1845453,-2.6727123,-3.5862403,-4.218844,-3.5858738,-2.6469655,-1.5152665,-1.0986023,0.12035145,1.3543386,1.4307077,-0.23408847,-2.784489,-5.112069,-7.0849476,-8.93523,-9.882904,-9.214397,-7.639264,-6.9857097,-7.4533396,-8.398092,-9.107554,-8.903391,-8.256892,-8.280623,-9.103013,-10.487261,-11.692673,-12.640865,-14.106048,-15.212543,-16.056587,-15.512848,-15.345592,-15.089816,-14.702772,-14.454915,-13.758661,-13.249085,-12.725771,-12.076899,-11.418092,-11.032462,-10.674632,-10.250575,-9.849163,-9.771872,-9.700132,-9.653837,-9.679493,-9.794287,-9.476041,-9.071322,-8.318604,-8.016005,-7.7117686,-7.3026247,-6.783833,-6.57844,-6.8697095
2025-11-11 01:07:44+00:00,2025-11-11 00:00:00+00:00,-9.775353,-10.566784,-11.177601,-11.305717,-11.476854,-11.371619,-11.213543,-11.294683,-11.600335,-11.612573,-11.770776,-11.635024,-11.902841,-12.081406,-12.21534,-11.381539,-9.146668,-8.399526,-8.894729,-10.030106,-10.682352,-11.876168,-12.751902,-13.327914,-12.365143,-13.458584,-13.866224,-13.657827,-13.657034,-14.290498,-14.543969,-15.093331,-15.2750025,-15.317494,-15.185313,-15.526932,-15.375758,-14.943282,-14.959879,-14.224441,-12.114538,-11.599928,-12.059466,-6.851705,-7.4764504,-7.854659,-8.725234,-8.046823,-7.4199605,-6.906822,-6.9123883,-6.7596827,-6.8030877,-7.0635467,-6.883492,-6.883492,-6.8495235,-6.8744264,-6.8697095,-6.5245743,-6.5245743,-6.7374926,-6.4559817,-5.820776,-5.833159,-5.947971,-6.437563,-6.7213955,-6.6454115,-7.639382,-7.720857,-7.594742,-6.8682337,-7.312507,-7.2137194,-7.389107,-7.6485834,-8.174368,-8.33347,-8.979856,-8.49682,-7.987422,-7.5496798,-6.8697095,-6.7665963,-6.4434066,-6.35274,-5.8613796,-6.654153,-6.100652,-5.0537744,-5.136638,-4.2778935,-3.720879,-4.1164284,-3.6017005,-1.4638587,0.91383106,2.4456093,3.3655775,3.7969625,3.8384185,3.4672043,4.423773,4.4195657,3.9309797,3.3242903,5.244934,5.195871,5.0747395,5.1727295,5.16883,3.5900543,2.8179283,2.877166,2.3779714,2.159391,1.9247733,1.5037447,1.1477156,0.9320193,0.9197091,1.1107687,1.0638739,0.7921077,0.3026474,0.28868648,0.82729244,1.6381608,2.2275014,2.281124,2.0838075,1.8717247,1.3842092,0.81949353,0.69807935,1.2211932,1.9770895,2.4821525,2.6751103,2.416177,2.2598197,1.9978268,1.7718606,1.4173696,1.3303603,1.0497171,0.9899863,0.82266355,0.7696087,0.69421756,0.65978503,0.54264593,0.34826115,0.19949518,-0.0014773894,-0.054944128,-0.14987692,-0.2469045,-0.15375267,0.014742001,-0.37706053,-0.9460609,-1.7500639,-2.2830105,-2.8526826,-2.6462476,-2.4185987
2025-11-12 01:09:42+00:00,2025-11-12 00:00:00+00:00,-10.406795,-10.704945,-11.202065,-11.220174,-10.920733,-10.811481,-11.224328,-11.426282,-11.705063,-11.733385,-11.952635,-12.347755,-12.655024,-12.523331,-12.525275,-12.17286,-9.8624,-9.27349,-9.461408,-9.748655,-10.405577,-10.863933,-11.334078,-12.039752,-13.970406,-14.624775,-14.567634,-14.36129,-14.405106,-14.403956,-14.31106,-13.873536,-13.862338,-13.7892065,-13.86657,-14.16797,-13.878477,-14.137942,-13.870756,-13.478433,-11.305326,-11.004673,-10.911449,-5.556149,-6.8104396,-8.046823,-8.209844,-7.9639745,-7.907924,-8.727438,-8.507546,-8.5604,-8.893655,-9.447211,-9.583284,-10.093674,-10.47659,-10.301987,-8.758606,-7.79689,-6.88862,-6.2722087,-5.37379,-4.7903376,-4.8993464,-4.5041995,-3.9023728,-3.4643612,-3.4780715,-3.642613,-3.7696471,-3.7759368,-3.6614985,-3.963135,-3.6304712,-3.5862403,-3.8994255,-3.7077358,-3.6419604,-4.049419,-4.139976,-4.0076485,-4.110305,-3.9473565,-3.8560736,-3.8104336,-3.607928,-2.9177628,-3.329719,-3.0832748,-3.096118,-3.074472,-2.553455,-2.2951531,-2.122022,-1.7819494,-1.533742,-1.6509546,-1.6932852,-1.4821664,-1.0734998,1.651315,1.6716993,1.1409495,0.7927021,0.41020796,2.970589,5.1468077,3.922371,3.7150693,2.7305737,2.9387956,2.497148,1.7445507,3.0709271,2.9878664,3.0433555,2.7676563,2.4596431,2.046269,1.7155684,1.3348079,0.66454047,0.4237935,0.37367612,0.554602,0.72561675,0.7103613,0.3374178,0.24036464,0.2052476,0.0789742,0.036074013,0.0789742,0.25370064,0.25370064,0.08430381,-0.26890594,-0.5564305,-0.844261,-1.2008641,-1.6233246,-1.8066728,-1.884039,-1.8166449,-1.7525704,-1.5947242,-1.5332522,-1.2213079,-0.9979392,-0.7866819,-0.5392856,-0.36462682,-0.29344597,-0.4074243,-0.7787589,-0.9577306,-1.0321445,-1.1158069,-1.0934653,-0.91786027,-0.60990715,-0.47175708,-0.81842405,-1.1214062,-1.5740227,-1.4133347,-1.3347929
2025-11-13 01:27:04+00:00,2025-11-13 00:00:00+00:00,-12.659056,-14.527696,-12.911021,-12.086291,-12.463804,-11.88003,-12.03319,-12.4612875,-12.5325365,-13.013909,-13.273228,-13.446131,-13.258126,-13.214723,-13.04263,-12.650509,-10.254562,-9.488723,-10.749212,-9.168716,-8.904773,-11.412458,-13.36633,-15.454617,-17.525873,-16.79228,-16.625616,-16.16097,-16.16097,-16.116257,-16.320093,-16.7809,-15.776354,-15.323432,-14.773296,-15.657961,-15.699783,-15.27775,-15.319796,-14.689241,-12.040348,-5.6540656,-2.2052112,-3.1651413,-3.5579321,-3.831457,-4.507626,-4.5056987,-4.0708137,-4.1537814,-4.017186,-4.031888,-3.9872835,-4.1355786,-4.247941,-4.2029195,-4.157897,-4.247941,-3.689859,-3.6095738,-3.62788,-3.5621748,-3.3656256,-2.7367427,-2.8278747,-2.1569161,-1.7203337,-1.5202445,-1.9056352,-2.2948225,-2.122022,-1.965937,-0.8422947,-0.054788236,2.9132009,4.8961244,5.2296968,5.487437,5.4228826,4.088214,4.1231565,4.6115003,5.100957,5.772847,5.9046483,5.858637,4.5580797,3.3933933,2.4963036,2.036375,1.4646642,4.278975,5.123734,3.4030492,2.7246332,2.976335,2.9878664,2.5378077,2.945491,3.1637762,1.9251789,1.4796976,1.9737675,2.747814,2.5727434,1.1437447,1.5618327,1.7610358,1.2815472,0.81140894,0.030668003,-0.23379149,1.189916,1.2343878,1.0554546,0.9676921,0.5492617,0.23733115,0.23733115,0.64389837,0.9423465,1.3896514,2.1569698,2.4894428,2.3853567,2.046269,1.8901018,1.9091259,1.9670119,1.8458537,1.5526177,0.96455866,0.7898492,0.8561481,1.1137973,1.2382133,1.3215588,1.1170479,0.78425986,0.27944198,-0.54420537,-0.24861246,1.6008297,3.1220865,3.849797,3.7027962,3.2228804,2.8697412,3.0426567,3.5816305,3.7428806,3.3989322,2.8897245,2.54622,2.4804783,2.455399,2.4151113,2.4645092,2.5540679,2.5144556,2.3290963,1.9162788,1.6090018,1.2215272,0.8896053,1.0301532,1.5901457,2.2420225
2025-11-14 01:10:23+00:00,2025-11-14 00:00:00+00:00,-12.2845335,-13.04912,-12.911021,-13.1095085,-12.942584,-12.799466,-12.43113,-12.504105,-12.188466,-11.739699,-10.587864,-10.118075,-9.774836,-9.774836,-9.729834,-8.829963,-6.2800493,-5.0328803,-5.4919534,-4.06624,-3.3539734,-2.7142231,-2.4351132,-2.6898837,-3.7689428,-4.7773433,-5.621441,-6.3380585,-6.4643297,-6.6543255,-6.5664606,-6.2092543,-6.1812143,-6.1013136,-5.8265457,-6.002391,-6.1130075,-6.4367037,-6.455713,-5.6051693,-3.1261852,-2.4618742,-2.1167257,-1.0841545,-1.2133954,-1.8847107,-2.4814448,-1.9056352,-1.36021,-1.1302904,-0.6956165,-0.5720462,-0.042042073,0.779864,2.2603724,2.8875751,3.0933356,3.1265419,4.2672853,3.8121033,3.442108,3.2221565,3.1557665,3.1081495,2.7006626,2.4985578,1.7555745,4.3369675,4.6337748,2.7114983,3.057277,3.5713377,1.3680491,0.66454047,1.3564006,1.3564006,0.4094686,0.52591556,0.3564165,0.011139971,0.49843422,0.54875183,0.6792755,0.51215184,0.3645171,0.093267635,-0.10434827,0.08631893,-0.34938726,-0.16371034,-0.2815475,-0.079097874,0.2022055,-0.16336395,0.60849243,1.1643589,1.6568888,3.310784,3.28458,3.6261432,3.5634527,3.7237308,3.2369864,2.6990156,1.7556106,1.3831048,1.4830126,2.8897245,3.0288088,2.877166,2.10456,1.9879807,1.0978625,-0.06592298,-1.1799519,-0.8470548,0.22658011,0.8385169,1.1876355,1.3379587,1.0920373,0.23521782,-1.2544069,-2.2793715,-2.7549179,-2.5906055,-2.623214,-2.5688183,-2.6426651,-2.670249,-2.7678986,-2.9352028,-2.9352028,-2.7979896,-2.619942,-2.4728644,-2.6920514,-3.2313094,-3.9287212,-4.64851,-5.617692,-6.308781,-6.6752124,-7.1291394,-7.0624604,-6.757537,-6.3516865,-5.853709,-5.585172,-4.9637666,-4.6082444,-3.9808078,-3.404387,-2.9762597,-3.0708864,-3.1182327,-3.3669846,-3.317634,-3.2719793,-3.245629,-3.4699373,-3.7103221,-4.3272767,-4.971127,-5.6460814,-6.1648493,-6.2568984,-6.3557763
