forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:26+00:00,2025-11-05 00:00:00+00:00,175.75,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,144.0,314.75,394.25,590.0,618.0,257.0,315.0,228.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,169.0,345.0,487.0,579.0,607.0,582.0,490.0,343.0,156.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,136.0,297.0,355.0,554.0,501.0,568.0,484.0,348.0,177.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,140.0,308.0,443.0,553.0,577.0,563.0,481.0,345.0,173.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,138.0,312.0,456.0,571.0,596.0,560.0,489.0,367.0,197.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,68.0,191.0,331.0,440.0,503.0,505.0,447.0,333.0,177.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,156.0,275.0,355.0,390.0,394.0,385.0,325.0
2025-11-06 02:15:27+00:00,2025-11-06 00:00:00+00:00,18.25,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,152.25,331.0,477.5,580.0,613.0,584.0,492.0,345.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,161.0,326.0,463.0,555.0,594.0,567.0,478.0,336.0,152.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,142.0,318.0,463.0,558.0,595.0,526.0,426.0,286.0,159.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,138.0,317.0,459.0,541.0,571.0,513.0,468.0,301.0,130.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,103.0,272.0,425.0,546.0,588.0,561.0,479.0,344.0,178.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,209.0,364.0,417.0,376.0,309.0,255.0,188.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,91.0,180.0,289.0,395.0,439.0,401.0,299.0
2025-11-07 02:12:38+00:00,2025-11-07 00:00:00+00:00,178.25,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,144.0,317.75,439.0,528.0,468.0,471.0,257.0,298.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,158.0,331.0,470.0,537.0,573.0,519.0,425.0,327.0,133.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,138.0,314.0,458.0,553.0,590.0,560.0,478.0,345.0,173.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,117.0,307.0,455.0,548.0,574.0,566.0,481.0,308.0,171.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,307.0,404.0,496.0,504.0,461.0,392.0,286.0,149.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54.0,168.0,306.0,424.0,503.0,519.0,468.0,354.0,188.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,130.0,224.0,300.0,348.0,355.0,322.0,247.0
2025-11-08 02:04:57+00:00,2025-11-08 00:00:00+00:00,171.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,144.25,321.0,460.25,550.0,600.0,566.0,471.0,304.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,157.0,328.0,473.0,563.0,595.0,560.0,467.0,319.0,145.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,109.0,283.0,407.0,515.0,503.0,453.0,453.0,345.0,173.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,133.0,310.0,391.0,551.0,590.0,565.0,480.0,322.0,128.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,129.0,303.0,448.0,565.0,592.0,557.0,483.0,359.0,189.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,67.0,224.0,407.0,527.0,571.0,550.0,477.0,349.0,180.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,189.0,336.0,436.0,475.0,455.0,381.0,265.0
2025-11-09 02:10:07+00:00,2025-11-09 00:00:00+00:00,169.75,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,141.25,318.0,463.75,564.0,597.0,567.0,477.0,332.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,158.0,319.0,461.0,542.0,582.0,559.0,471.0,299.0,139.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,91.0,253.0,369.0,457.0,501.0,355.0,142.0,237.0,123.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,129.0,294.0,413.0,547.0,548.0,510.0,414.0,242.0,109.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,123.0,295.0,437.0,522.0,501.0,432.0,351.0,245.0,121.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,233.0,423.0,548.0,593.0,559.0,454.0,302.0,143.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,68.0,225.0,406.0,519.0,554.0,529.0,464.0,346.0
2025-11-10 02:15:40+00:00,2025-11-10 00:00:00+00:00,166.75,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,134.5,314.25,458.0,558.0,587.0,558.0,465.0,314.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,144.0,312.0,465.0,548.0,574.0,558.0,371.0,224.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,118.0,256.0,338.0,243.0,506.0,450.0,431.0,287.0,124.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0,249.0,434.0,528.0,295.0,203.0,447.0,57.0,57.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,124.0,301.0,448.0,573.0,607.0,559.0,439.0,279.0,127.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,68.0,227.0,397.0,467.0,439.0,379.0,324.0,244.0,130.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,188.0,340.0,395.0,357.0,288.0,223.0,150.0
2025-11-11 02:08:10+00:00,2025-11-11 00:00:00+00:00,164.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,124.75,291.75,418.25,465.0,547.0,464.0,404.0,264.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,88.0,272.0,437.0,542.0,562.0,550.0,466.0,321.0,124.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,108.0,294.0,339.0,470.0,560.0,543.0,460.0,327.0,156.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,30.0,48.0,56.0,75.0,70.0,20.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,71.0,184.0,376.0,480.0,506.0,480.0,423.0,318.0,166.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,205.0,390.0,512.0,557.0,538.0,470.0,346.0,177.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,142.0,262.0,344.0,378.0,372.0,340.0,264.0
2025-11-12 02:10:16+00:00,2025-11-12 00:00:00+00:00,153.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,99.75,238.0,319.5,411.0,484.0,378.0,414.0,167.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,134.0,313.0,455.0,546.0,579.0,544.0,458.0,241.0,125.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.0,69.0,113.0,141.0,301.0,115.0,65.0,184.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,81.0,110.0,222.0,118.0,170.0,141.0,89.0,72.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,21.0,89.0,185.0,249.0,257.0,212.0,115.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,44.0,67.0,90.0,111.0,135.0,176.0,184.0,110.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,202.0,379.0,487.0,513.0,479.0,400.0,279.0
2025-11-13 02:27:29+00:00,2025-11-13 00:00:00+00:00,158.5,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,125.0,295.75,400.5,540.0,572.0,538.0,448.0,314.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,247.0,440.0,409.0,224.0,262.0,392.0,303.0,128.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,117.0,68.0,26.0,46.0,53.0,35.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,53.0,154.0,234.0,182.0,87.0,142.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,120.0,283.0,348.0,350.0,333.0,329.0,284.0,160.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,41.0,50.0,47.0,41.0,35.0,27.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,115.0,213.0,301.0,367.0,394.0,385.0,316.0
2025-11-14 02:10:54+00:00,2025-11-14 00:00:00+00:00,96.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.5,103.5,210.0,502.0,540.0,502.0,310.0,307.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,107.0,271.0,241.0,352.0,363.0,84.0,60.0,104.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,32.0,40.0,47.0,41.0,35.0,30.0,20.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,85.0,134.0,162.0,171.0,111.0,155.0,204.0,115.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,116.0,238.0,287.0,277.0,245.0,213.0,163.0,86.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,132.0,241.0,317.0,353.0,356.0,339.0,275.0,149.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,120.0,167.0,192.0,196.0,183.0,144.0
