forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:28+00:00,2025-11-05 00:00:00+00:00,19.373001,17.023,16.123001,15.422999,14.723,13.922999,13.523,11.922999,11.723,11.073,11.473,11.672999,12.922999,12.672999,13.073,13.422999,11.273,9.422999,11.422999,11.723,11.773,11.373,10.773,9.623,8.223,7.523,6.523,6.123,6.023,5.6730003,5.4230003,5.073,5.1730003,5.323,5.073,5.023,4.9230003,4.1730003,3.523,3.073,5.2229996,6.873,8.422999,10.323,12.373,14.823,15.323,14.422999,13.172999,12.176,11.476,10.776,10.125999,9.875999,9.476,10.176,10.125999,10.676,10.676,10.176,10.226,9.125999,9.426,9.676,10.226,11.276,12.026,13.625999,14.825999,15.526,16.076,15.926,15.476,14.276,13.276,12.476,11.875999,11.426,10.976,10.625999,10.325999,10.026,9.776,9.526,9.325999,9.075999,8.875999,8.976,10.325999,11.476,12.825999,14.125999,15.426,16.476,17.126001,17.376001,17.026001,15.375999,14.426,13.726,13.125999,12.575999,12.026,11.625999,11.526,11.375999,10.976,10.575999,10.325999,10.125999,9.875999,9.926,11.375999,12.726,14.026,15.526,16.976,18.026001,18.526001,18.676,18.376001,17.476,16.176,15.075999,14.426,14.026,13.625999,13.226,12.875999,12.526,12.226,11.926,11.726,11.426,11.226,11.476,12.625999,14.276,15.776,17.026001,18.176,18.926,19.176,19.026001,18.626001,17.826,16.776001,15.825999,15.176,14.676,14.276,13.976,13.726,13.526,13.325999,13.176,12.976,12.625999,12.276,12.375999,13.226,14.476,15.776,17.126001,18.526001,19.376001,19.476,19.026001
2025-11-06 02:15:30+00:00,2025-11-06 00:00:00+00:00,9.672999,7.9729996,7.023,6.873,6.6730003,6.523,6.373,6.4230003,6.2229996,6.123,6.573,6.773,6.773,6.273,5.523,5.373,6.9729996,8.573,9.973,11.723,13.523,15.523,16.223,15.973,14.873,12.473,11.672999,11.172999,10.973,10.873,10.873,10.823,10.922999,10.422999,10.073,9.922999,9.823,9.573,10.023,9.973,11.523,12.823,14.172999,15.373,16.473001,17.173,17.173,16.673,15.823,14.526,13.526,12.926,12.176,11.625999,11.026,10.676,10.375999,9.976,9.726,9.476,9.176,8.976,8.875999,9.075999,10.575999,11.726,12.926,13.976,15.125999,16.126,16.776001,16.876001,16.526001,15.125999,14.276,13.426,12.776,12.276,11.976,11.676,11.625999,11.125999,10.776,10.476,10.125999,9.825999,9.625999,9.726,11.325999,12.676,13.926,15.426,16.826,18.076,18.626001,18.676,17.876001,16.226,15.325999,14.575999,13.825999,13.375999,13.026,12.776,12.426,12.226,12.026,11.776,11.426,11.375999,11.325999,11.426,12.875999,14.125999,15.476,16.776001,18.026001,18.826,18.926,18.576,18.076,17.426,16.676,15.875999,15.075999,14.325999,13.676,13.276,13.026,12.776,12.426,12.075999,11.776,11.375999,11.026,11.226,12.325999,13.926,15.476,16.876001,18.176,19.026001,19.326,19.126001,18.576,17.426,15.875999,14.526,13.676,13.026,12.476,11.926,11.476,11.176,11.176,11.375999,11.526,11.526,11.476,11.825999,12.726,14.026,15.276,16.576,17.826,18.526001,18.376001,17.626001
2025-11-07 02:12:40+00:00,2025-11-07 00:00:00+00:00,15.672999,12.873,11.422999,10.773,10.823,10.523,9.823,9.523,9.223,9.773,10.323,10.123,9.123,7.9230003,7.6730003,7.623,10.273,12.573,14.123,14.922999,14.473,14.723,15.422999,15.573,14.873,12.523,11.373,10.473,8.973,8.422999,7.7229996,7.273,7.023,6.873,6.523,6.1730003,5.4230003,4.9230003,4.6730003,4.623,6.773,9.422999,11.422999,13.873,16.423,17.973001,18.423,18.423,17.173,15.325999,14.325999,13.575999,12.875999,12.426,11.976,11.426,11.075999,10.726,10.426,10.125999,9.926,9.676,9.426,9.476,11.026,12.226,13.375999,14.726,15.926,17.126001,17.926,18.176,17.726,15.776,14.875999,14.075999,13.476,12.926,12.776,12.476,12.226,12.026,11.776,11.426,11.075999,10.776,10.526,10.625999,12.226,13.776,15.075999,16.426,17.576,18.376001,18.826,19.026001,18.326,16.476,16.076,15.726,15.026,14.325999,13.926,13.276,12.875999,12.375999,12.276,11.776,11.526,11.375999,11.176,11.226,12.776,14.625999,16.276001,17.776001,19.126001,19.926,20.076,19.676,18.926,17.676,16.026001,14.676,13.875999,13.325999,12.825999,12.276,11.776,11.325999,10.926,10.526,10.276,9.926,9.726,10.125999,11.625999,13.776,15.726,17.226,18.476,19.326,19.776001,19.876001,19.376001,17.976,16.026001,14.375999,13.476,12.875999,12.375999,11.825999,11.276,10.875999,10.575999,10.325999,10.325999,10.476,10.875999,11.625999,13.176,15.176,16.476,16.576,16.026001,15.375999,14.776,14.125999
2025-11-08 02:04:59+00:00,2025-11-08 00:00:00+00:00,17.323,14.323,12.223,10.873,10.223,9.973,9.473,9.073,8.223,7.573,7.1730003,6.6730003,6.373,5.873,5.523,5.1730003,7.273,10.922999,12.922999,15.273,17.423,18.523,19.023,19.223001,17.723001,14.473,12.422999,11.422999,10.473,9.672999,9.073,8.523,8.123,7.623,7.2229996,6.9729996,6.773,6.623,6.373,6.023,7.623,11.723,14.123,16.423,18.673,20.223001,21.023,21.123001,19.523,16.626,15.825999,14.926,14.226,13.776,13.375999,12.976,12.575999,12.125999,11.875999,11.625999,11.276,11.026,10.825999,10.976,12.825999,14.526,15.575999,16.976,18.176,18.926,19.376001,19.626001,18.776001,16.826,16.526001,15.926,14.926,14.325999,13.875999,13.375999,12.875999,12.526,12.426,12.125999,11.526,11.276,11.125999,10.875999,12.676,14.875999,16.776001,18.126001,19.176,20.076,20.426,20.476,19.326,17.526001,16.676,15.075999,14.026,13.476,12.875999,12.325999,11.776,11.375999,10.976,10.575999,10.325999,10.026,9.776,9.726,11.625999,13.776,15.276,16.726,17.976,18.826,19.226,19.276001,18.776001,17.476,15.726,14.226,13.325999,12.776,12.226,11.676,11.226,10.825999,10.575999,10.426,10.276,9.825999,9.426,9.625999,11.026,13.125999,14.976,16.476,17.726,18.226,17.426,15.875999,14.625999,14.176,14.026,13.825999,13.375999,12.825999,12.476,12.476,12.676,12.776,12.676,12.526,12.426,12.325999,12.276,12.476,13.176,14.176,15.075999,15.825999,16.526001,16.876001,16.826,16.426
2025-11-09 02:10:09+00:00,2025-11-09 00:00:00+00:00,17.423,13.672999,11.523,10.273,9.373,8.672999,8.123,7.7229996,7.4230003,7.1730003,7.073,6.823,6.6730003,6.4729996,6.323,5.873,7.1730003,11.123,13.573,15.873,18.123001,19.773,20.723001,20.923,19.323,15.123,12.873,11.973,11.473,10.973,11.123,10.573,10.672999,10.223,9.523,8.723,8.023,8.922999,8.422999,8.073,8.823,12.973,15.973,18.873001,21.223001,23.073,22.823,21.923,20.023,18.076,16.976,15.825999,15.176,14.625999,14.125999,14.026,13.426,13.026,12.575999,12.325999,11.926,11.875999,11.575999,11.726,13.176,15.226,16.526001,18.376001,19.626001,19.926,19.976,19.726,18.476,17.126001,16.176,15.125999,13.875999,12.676,11.976,11.426,10.976,10.726,10.325999,9.976,9.726,9.526,9.426,9.476,11.026,12.526,13.875999,16.076,17.926,18.026001,17.776001,16.926,15.825999,14.625999,13.825999,13.176,12.976,12.476,11.726,11.125999,10.625999,10.375999,10.075999,9.325999,8.926,8.875999,8.776,8.326,7.876,7.626,8.375999,8.426,8.426,8.276,7.826,7.126,6.426,5.7260003,4.9760003,4.176,3.276,2.326,1.676,1.6259999,1.826,1.876,1.4760001,0.926,0.426,-0.074,-0.52400005,-0.47399998,0.476,1.926,3.126,3.7259998,4.026,4.176,4.326,4.326,4.126,3.626,2.9759998,2.376,1.976,1.676,1.426,1.176,0.926,0.776,0.676,0.676,0.676,0.576,0.476,0.876,2.126,3.8260002,5.626,7.526,9.476,10.726,10.976,10.575999
2025-11-10 02:15:43+00:00,2025-11-10 00:00:00+00:00,18.423,14.172999,12.073,11.023,10.323,9.723,9.672999,9.523,9.223,8.773,8.023,7.4729996,7.573,7.2229996,7.373,7.023,8.373,12.273,15.373,18.623001,21.223001,23.373001,23.173,22.223001,20.273,16.623001,15.023,14.773,13.922999,12.422999,12.172999,11.823,11.473,11.773,11.273,11.273,10.172999,9.773,9.922999,10.073,10.373,13.823,16.423,18.223001,19.823,21.523,21.173,20.423,18.773,17.426,16.576,15.176,14.825999,14.075999,13.375999,12.875999,12.526,11.726,11.125999,10.625999,10.375999,10.125999,9.926,10.075999,11.575999,13.125999,15.276,16.976,18.076,18.776001,18.076,17.476,16.376,14.825999,13.676,12.676,12.176,11.926,11.575999,10.926,10.575999,9.926,9.276,9.476,8.276,7.9760003,8.176,7.826,8.076,7.176,7.4760003,8.026,6.576,7.126,7.4760003,6.826,5.426,5.076,4.626,4.076,3.0760002,2.676,2.126,1.6259999,1.2260001,0.976,0.826,0.626,0.476,0.176,-0.12400001,0.075999975,0.976,2.176,3.2259998,3.926,4.426,4.776,5.076,5.276,5.176,4.626,3.776,3.126,2.8260002,2.676,2.526,2.326,2.076,1.976,2.026,2.176,2.326,2.376,2.426,2.9759998,4.326,6.176,7.926,9.526,10.976,11.976,12.226,11.926,11.426,10.676,9.726,8.875999,8.226,7.7260003,7.2260003,6.7260003,6.276,5.926,5.676,5.526,5.376,5.126,4.876,5.2260003,6.676,8.726,10.325999,11.125999,11.476,11.476,11.075999,10.375999
2025-11-11 02:08:11+00:00,2025-11-11 00:00:00+00:00,19.823,15.623,13.573,13.073,12.823,12.573,12.273,11.922999,11.473,11.073,10.473,10.073,9.473,9.473,9.422999,8.873,7.873,11.422999,14.473,17.373001,18.623001,20.923,20.873001,20.123001,18.123001,15.473,14.823,14.422999,14.023,13.373,12.723,12.473,11.523,10.823,11.422999,10.922999,10.422999,9.873,10.023,9.873,12.023,13.672999,16.723001,18.723001,19.523,19.573,18.823,17.673,15.823,15.176,13.825999,13.026,12.426,12.125999,11.726,11.875999,11.875999,11.325999,11.226,11.176,10.226,9.926,9.325999,9.176,8.926,9.325999,11.726,13.575999,14.526,13.976,10.976,11.276,9.726,8.976,7.776,6.826,6.926,6.526,6.326,6.076,5.926,5.526,5.426,4.826,4.176,3.526,3.8260002,3.776,3.9759998,4.476,5.376,6.376,7.2260003,7.076,6.626,6.426,6.676,5.9760003,5.426,5.026,4.476,3.9759998,3.626,3.376,3.126,2.9759998,2.876,2.676,2.4759998,2.376,2.376,2.576,3.8260002,5.026,6.376,7.4760003,8.526,9.226,9.575999,9.625999,9.476,9.075999,8.426,7.876,7.426,7.026,6.676,6.326,5.9760003,5.7260003,5.576,5.4760003,5.376,5.076,4.826,5.076,6.2260003,7.926,9.526,10.926,12.276,13.125999,13.476,13.325999,12.676,11.176,9.125999,7.4760003,6.676,6.326,6.026,5.676,5.426,5.276,5.276,5.326,5.426,5.526,5.676,5.576,5.176,4.576,4.026,3.626,3.3260002,3.126,3.0760002,3.0760002
2025-11-12 02:10:18+00:00,2025-11-12 00:00:00+00:00,18.073,15.523,14.223,13.623,13.373,12.873,12.473,11.723,11.073,10.623,10.573,9.623,9.672999,9.672999,9.023,8.223,9.273,10.473,11.773,16.123001,18.773,17.223001,16.223,15.773,15.573,14.223,13.123,12.773,13.023,12.823,12.172999,11.823,11.473,10.123,10.172999,9.873,9.773,10.273,10.922999,11.223,12.723,14.973,16.273,16.923,16.223,15.172999,15.223,11.323,10.773,10.776,9.426,9.426,9.776,9.276,9.476,9.776,9.226,8.226,7.526,7.276,6.776,6.626,6.376,6.4760003,6.176,6.076,5.9760003,6.926,7.276,7.826,8.426,8.976,9.075999,8.875999,8.625999,8.576,8.625999,9.026,9.075999,8.976,8.776,7.926,7.9760003,8.426,8.426,7.4760003,7.176,7.126,8.125999,8.926,9.476,10.075999,10.676,11.575999,12.176,12.226,11.726,10.926,10.676,10.726,10.625999,10.825999,10.825999,10.676,10.526,9.976,9.426,8.726,7.776,6.676,6.676,7.126,8.125999,9.375999,10.526,10.726,10.575999,10.325999,10.176,9.976,9.776,9.575999,9.375999,9.176,8.875999,8.576,8.326,8.226,8.176,8.125999,8.026,7.876,7.7260003,7.576,7.376,7.426,7.776,8.326,8.776,9.026,9.125999,9.125999,8.976,8.676,8.375999,8.125999,7.876,7.626,7.376,7.126,6.9760003,6.9760003,7.126,7.2260003,7.276,7.326,7.326,7.176,6.9760003,7.026,7.526,8.276,8.976,9.526,9.976,10.276,10.375999,10.325999
2025-11-13 02:27:31+00:00,2025-11-13 00:00:00+00:00,17.123001,15.773,14.273,14.172999,14.123,13.922999,13.473,13.172999,12.672999,12.523,12.373,12.123,10.373,10.723,10.373,10.223,12.073,13.823,15.623,16.173,15.723,14.223,13.922999,12.973,11.672999,9.623,9.172999,8.573,7.9230003,7.9230003,7.4729996,7.6730003,7.823,7.873,7.323,7.023,7.1730003,7.073,6.823,6.773,7.7229996,9.672999,10.773,12.073,12.873,13.523,10.523,11.973,10.973,10.276,10.075999,9.926,9.926,9.625999,9.625999,9.726,9.526,9.776,9.825999,9.726,9.426,9.075999,9.075999,9.325999,9.726,10.125999,10.976,11.726,12.526,12.375999,12.125999,12.176,12.125999,11.926,11.825999,11.526,10.526,9.875999,9.625999,9.575999,9.726,6.4760003,6.526,6.126,5.826,5.626,5.626,6.026,6.626,6.926,7.4760003,7.776,7.876,7.626,7.526,7.776,7.7260003,7.326,7.126,7.026,6.376,6.176,5.9760003,5.676,5.4760003,5.426,5.426,5.676,5.826,5.926,5.826,5.876,6.076,5.776,5.926,6.376,7.026,7.526,7.7260003,7.776,7.626,7.076,6.326,5.676,5.326,5.176,4.9760003,4.776,4.576,4.326,3.926,3.426,3.026,2.626,2.326,2.376,3.026,4.026,4.926,5.7260003,6.426,6.876,6.876,6.576,6.276,6.126,6.026,5.776,5.276,4.626,4.026,3.4759998,2.926,2.576,2.426,2.4759998,2.526,2.576,2.626,2.876,3.376,4.126,4.876,5.776,6.776,7.4760003,7.776,7.826
2025-11-14 02:10:56+00:00,2025-11-14 00:00:00+00:00,13.823,10.573,10.323,9.922999,9.073,8.723,8.773,8.922999,8.623,8.773,7.6730003,8.123,8.422999,8.523,8.573,8.422999,8.723,9.172999,9.922999,10.573,11.323,12.473,12.523,12.873,11.172999,9.172999,8.623,8.223,7.823,7.623,8.073,7.773,7.273,6.773,6.823,6.9729996,7.323,7.073,7.4230003,7.373,8.023,8.573,8.973,10.523,10.922999,12.073,12.473,11.723,10.973,13.226,13.075999,12.776,11.325999,11.026,10.825999,10.226,9.976,9.776,9.426,9.176,8.976,7.826,6.7260003,6.926,6.7260003,6.626,6.676,6.876,6.526,7.026,7.426,8.226,8.226,7.626,6.776,6.4760003,6.276,5.9760003,5.826,5.876,5.426,4.326,3.776,3.376,2.9759998,3.676,3.626,3.5760002,3.526,4.026,4.476,5.326,6.026,6.426,6.4760003,5.776,5.176,4.526,3.926,3.176,2.4759998,1.876,1.3759999,1.076,0.776,0.676,0.426,0.426,0.376,0.326,0.426,0.676,1.726,3.0760002,4.276,4.9760003,5.426,5.676,5.776,5.676,5.326,4.626,3.676,2.876,2.376,2.076,1.826,1.676,1.576,1.526,1.4760001,1.426,1.3759999,1.176,0.976,1.076,1.776,2.8260002,3.876,4.826,5.7260003,6.376,6.7260003,6.826,6.676,6.2260003,5.526,4.9760003,4.676,4.476,4.326,4.126,3.876,3.7259998,3.626,3.5760002,3.526,3.426,3.3260002,3.176,2.776,2.326,2.126,2.526,3.176,3.676,3.876,3.926
