forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:29+00:00,2025-11-05 00:00:00+00:00,151.1893,168.23174,180.0,185.44025,214.69522,226.63654,237.72438,248.74942,243.43501,221.18582,176.42374,150.9455,138.36655,157.1663,150.2552,161.11382,152.30061,159.5671,161.83395,165.96373,164.5213,162.38733,161.8472,163.70589,169.91946,178.0909,203.9625,186.3401,282.80426,292.6714,292.08722,289.70807,286.5349,287.68448,291.80148,294.1791,293.1986,293.49857,292.1095,297.68097,299.35767,301.75943,299.44534,296.17523,291.10492,288.8248,296.56497,287.3541,270.0,293.9625,285.25516,233.13002,185.19434,198.43504,180.0,172.87508,161.56496,165.37909,167.00539,162.18102,162.64589,165.96373,170.75397,176.00917,165.67725,163.61038,164.47583,172.99883,176.36713,180.89516,180.0,177.06439,174.95764,169.3804,167.66092,160.55988,159.62349,155.43285,162.12122,155.85446,157.01126,164.05453,163.0724,160.55988,164.05453,167.4712,224.9999,275.7105,304.50858,329.03632,330.64233,349.21573,336.0375,316.73566,309.8055,307.87503,295.8663,293.4287,303.6901,319.7637,3.0127327,20.854538,22.380184,25.016869,26.564985,28.30066,32.005356,351.87,59.03632,206.56499,147.99466,144.46223,162.12122,170.53775,173.6599,173.79665,170.75397,169.82455,171.6342,175.76369,194.03627,235.0079,258.40784,266.6982,270.0,271.14572,270.0,265.91446,257.79956,252.07199,251.0295,252.64589,256.75946,259.82455,262.5687,266.6982,272.04535,278.53067,281.84204,280.954,278.39285,274.927,270.0,263.79663,255.61856,246.3706,234.6887,224.9999,222.27362,224.9999,224.9999,221.76021,216.57312,216.57312,222.79738,235.0079,244.7989,248.96242,250.42677,250.86626,252.25523,253.30067,254.05453,254.21918,254.40712,252.89719,250.1447,243.43501
2025-11-06 02:15:32+00:00,2025-11-06 00:00:00+00:00,171.67444,181.68465,291.03757,266.49652,275.52744,293.08514,292.08722,289.85532,294.14554,291.57138,285.6423,286.26028,282.09473,282.30798,296.56497,296.56497,306.50153,293.87527,293.49857,290.3533,291.4478,290.85452,283.39252,292.47946,300.96368,360.0,78.6901,128.15727,173.29025,176.186,164.74483,171.86998,161.56496,154.7989,156.0375,156.80139,159.14546,161.0295,159.44388,160.49747,160.51378,162.03076,163.57062,175.60138,179.1575,175.85545,180.0,178.66782,177.27374,177.27374,165.32356,173.6599,168.9965,168.3664,174.95764,172.14677,173.8846,168.23174,169.21574,169.99208,158.96242,146.3099,142.12495,159.44388,170.53775,270.0,325.30478,327.8043,328.39255,324.46225,320.52756,323.74606,331.38962,323.13,333.43503,355.23645,355.60138,7.59456,3.3664,355.91446,346.75946,4.085537,355.60138,337.3801,26.564985,14.036275,138.01286,161.56496,140.19447,142.59457,161.56496,96.00892,154.72232,167.125,172.40544,175.91446,191.76826,180.0,182.4895,186.3401,224.9999,296.56497,241.92761,261.87,264.55975,287.3541,307.47626,305.9098,295.01685,300.37906,296.56497,296.56497,297.21603,294.67685,292.83368,295.34613,298.92633,300.7354,301.4295,299.74478,296.56497,289.9832,278.88058,271.78986,275.35574,283.627,286.38962,282.875,274.63538,266.906,256.373,241.8215,236.3099,247.61981,261.15826,267.87894,267.99048,267.03912,266.98727,272.12103,279.46225,282.80426,276.95285,265.60138,255.2564,249.77505,246.44772,242.24155,236.68936,228.12221,218.15727,199.0257,172.40544,157.249,156.3706,161.0295,167.66092,172.87508,178.21013,187.35228,201.4478,218.65984,228.36655,228.01286,224.9999,222.35739,224.11868,226.78989
2025-11-07 02:12:43+00:00,2025-11-07 00:00:00+00:00,276.3401,270.0,158.74942,143.74608,146.3099,149.03632,170.53775,184.76355,156.80138,149.74365,163.30067,171.25392,162.47433,158.19853,158.45895,162.64589,158.36905,161.81087,162.22859,163.65175,165.4655,161.56496,162.68826,161.14674,164.62369,168.04344,165.5102,160.88019,163.21727,169.7779,173.15732,167.31963,168.23174,155.77226,104.03627,161.56496,167.4712,99.46225,270.0,281.88864,282.926,277.38596,278.97253,279.61966,285.80258,287.6502,294.30453,319.7637,23.629398,338.74942,16.389616,12.094739,44.999897,55.304783,44.999897,82.875084,83.659904,150.2552,149.03632,145.30478,164.05453,166.86597,157.69374,159.59003,161.91646,162.58194,157.10942,147.3391,151.85849,148.49579,144.86572,174.80566,153.43501,165.96373,180.0,282.26477,297.18103,287.3541,305.36255,303.2749,301.7014,297.824,289.9832,286.1444,293.9625,293.38525,294.67685,299.1974,299.74478,299.60434,301.53473,292.01132,298.21725,300.96368,294.44394,293.4287,295.76926,289.0936,284.6209,279.09018,284.47034,282.33908,268.4089,270.0,271.3639,279.24603,276.48297,268.45187,260.53775,261.87,271.43207,275.5721,276.3401,268.80655,272.4895,266.09958,255.96373,245.43285,239.03632,231.63248,218.991,199.79897,180.0,167.66092,163.61038,162.07199,164.05453,169.28693,176.98727,181.46877,180.0,175.101,173.08887,178.15244,187.59456,200.77234,214.59235,225.97093,231.91118,230.9645,227.6426,224.9999,225.9391,228.94528,230.19447,229.39879,227.38597,227.60262,230.71062,236.88864,246.25049,255.06853,263.82993,268.6361,271.3019,273.90042,277.9434,283.70697,289.74692,294.10223,294.86368,293.9625,293.05133,292.8906,293.0255,291.80148,290.77234,286.92758
2025-11-08 02:05:01+00:00,2025-11-08 00:00:00+00:00,162.7341,171.78731,168.31065,163.10127,168.87085,168.887,168.27492,173.51703,171.11942,125.21768,122.00535,123.6901,135.0001,90.0,285.06854,281.0937,289.3846,284.03625,285.10114,281.84204,289.6539,291.3707,298.49554,300.57913,312.8789,44.999897,239.0363,277.59454,14.036275,44.999897,326.3099,299.74478,336.0375,351.4693,306.25394,26.564985,335.55606,46.54811,67.3801,315.0001,224.9999,168.69011,125.837746,123.34073,128.82983,122.471176,159.44388,180.0,192.26476,141.34016,161.07526,154.1337,142.76509,130.60121,154.44008,175.23645,206.56499,308.08884,301.60745,301.21835,290.92456,296.56497,294.56717,287.81897,289.5732,290.0953,295.94223,294.22772,292.71445,288.06055,286.5874,287.6502,288.00424,292.6199,293.4287,283.49576,272.3859,254.74483,264.2895,270.0,255.96373,252.25523,261.11942,260.83774,256.373,263.04712,263.51703,268.75467,269.01227,267.99048,272.08252,276.3401,288.43503,281.59213,278.36578,286.1135,272.86234,271.63654,285.4222,258.23172,254.3577,247.75093,229.89915,227.4896,206.56499,173.41815,162.18102,157.8336,162.75845,160.0168,168.69011,167.79955,175.36462,201.80147,232.43134,235.40765,231.58191,229.23648,230.01317,231.76613,234.78232,240.06857,246.57129,254.57777,260.83774,265.10098,266.906,265.23645,261.6342,257.66092,257.27563,257.27563,260.83774,268.26434,276.5197,281.59213,281.3099,280.0079,280.49142,284.57425,290.85452,295.90643,295.76926,291.3707,284.03625,282.80426,282.09473,284.47034,288.43503,294.77512,300.25635,300.96368,299.98157,299.74478,300.37906,299.5387,301.5042,303.6901,307.64767,309.0355,309.3693,309.52258,309.52258,312.5104,315.0001,317.0454,315.0001,307.23492
2025-11-09 02:10:10+00:00,2025-11-09 00:00:00+00:00,310.36444,116.56499,15.945477,345.06854,357.95462,352.87506,325.84024,345.06854,356.3087,336.5713,20.924576,348.6901,341.56494,338.74942,320.52756,336.0375,25.346138,357.27374,352.23492,351.02744,357.3975,10.304792,345.9637,300.96368,273.57626,270.0,242.02061,107.818985,180.0,184.76355,191.30989,258.23172,288.06055,296.56497,289.1791,293.9625,310.0302,310.426,297.824,294.10223,293.55228,290.85452,285.78082,297.75842,295.94223,294.77512,293.70264,294.44394,294.34106,296.56497,295.34613,295.1148,291.80148,287.24155,286.50443,285.94547,287.24155,277.3523,273.27042,279.46225,277.49576,281.5601,291.80145,292.4428,292.3802,292.3802,293.07043,292.83368,291.03757,293.7495,297.5972,303.6901,295.01685,286.6993,236.3099,243.43501,265.42615,257.4712,263.88458,229.89915,234.24602,222.39738,197.6502,156.3706,143.13002,155.37645,169.8754,177.95464,175.76369,174.2895,197.10281,213.6901,219.47243,206.56499,180.0,182.29056,209.4758,254.74483,254.05453,256.67545,260.53775,258.9965,266.82022,262.69434,270.0,271.97488,266.98727,255.96373,266.186,230.19447,243.43501,245.55606,300.37906,299.24872,284.74362,287.74475,291.16132,290.37653,288.92474,285.25516,281.3099,278.42688,277.1249,278.53067,288.43503,311.98712,323.97253,315.0001,302.90524,296.56497,298.61035,301.75943,307.30402,311.3477,314.02905,315.83023,317.29062,317.86246,319.18503,320.57224,321.49933,322.4958,320.4774,318.27057,314.145,310.60123,307.64767,304.7779,302.96942,301.86594,300.06848,298.30066,296.0033,294.34106,293.70264,293.55228,294.10223,297.1496,302.00534,304.33026,304.33026,304.01938,302.00534,300.34317,297.09546,296.02954,294.86368,296.56497
2025-11-10 02:15:45+00:00,2025-11-10 00:00:00+00:00,302.7352,329.03632,281.3099,48.366554,291.03757,353.6599,319.89914,308.65982,345.9637,37.568665,26.564985,350.9098,310.0302,278.13,282.09473,293.4287,291.16132,297.4075,285.7087,288.00424,275.85593,281.0937,276.84268,284.93146,278.97253,284.8265,290.77234,343.3007,350.53775,352.87506,321.34018,320.90613,300.96368,44.999897,44.999897,270.0,192.5288,265.91446,255.96373,263.15732,265.76367,281.5601,284.38144,273.6913,274.66678,261.02747,270.0,195.25517,160.34608,293.1986,277.59454,276.0089,270.0,256.373,255.96373,235.84026,236.76828,223.60289,200.22495,165.2564,157.1663,165.37909,184.76355,194.62091,187.12492,200.85454,236.97612,255.52966,242.5925,234.6887,243.43501,248.5522,259.1145,259.8754,256.50424,252.25523,257.00537,254.87593,252.64589,259.8754,259.8754,252.18102,276.70975,274.23633,284.5345,304.82455,278.13,282.99463,283.7363,292.78244,290.43292,287.74475,281.5601,281.3099,288.43503,296.56497,306.46933,282.5288,294.62354,297.47433,294.14554,297.4075,296.56497,291.80148,289.29013,289.1791,291.3707,291.80148,288.43503,285.94547,286.38962,281.3099,289.0936,294.30453,285.4222,295.64096,313.36346,327.72437,330.64233,321.34018,309.8055,270.0,153.43501,140.19447,129.80553,99.46225,44.999897,15.524177,3.3664,1.2730018,1.1934711,2.4366064,3.7313232,4.969664,5.0795207,5.3144655,2.8623457,360.0,356.42374,351.57312,344.05453,338.74942,344.05453,353.6599,356.3087,354.47253,349.8754,342.25522,332.3541,320.52756,311.18582,311.42358,316.73566,319.89914,321.34018,323.13,325.0079,329.03632,334.65387,341.56494,350.53775,3.179772,13.240531,20.556128,29.744795,36.86998,38.65983,40.601215
2025-11-11 02:08:13+00:00,2025-11-11 00:00:00+00:00,291.99118,299.74478,299.57773,298.70584,302.7352,351.2539,351.87,311.63345,355.60138,60.94549,206.56499,229.39879,190.78426,237.65257,273.094,265.13556,268.89832,268.6981,275.38922,276.58185,275.82623,279.46225,44.999897,140.71062,188.13002,195.94547,188.53069,182.86235,166.75948,166.60748,149.53453,160.20103,173.08887,162.12122,158.83867,168.69011,165.96373,165.96373,166.2392,166.82744,170.13426,168.11136,159.22766,160.34608,163.73972,165.37909,165.37909,170.13426,173.6599,264.2895,261.87,244.44008,248.5522,251.56496,266.53183,263.9911,272.4895,261.02747,262.8751,258.31067,259.3804,263.29025,268.53122,271.43207,277.1249,284.03625,292.24908,289.13373,289.23077,296.56497,297.97937,292.06796,309.09384,308.92755,297.3498,297.25525,300.37906,292.93213,295.5599,308.65982,311.98712,331.38962,311.98712,309.8055,305.53775,296.56497,312.5104,313.995,317.91092,318.36655,315.80682,315.7638,316.73566,319.68597,324.2932,320.1945,318.01285,315.0001,313.95847,309.61066,305.7068,305.21768,306.3269,304.046,306.60718,302.57404,301.86594,302.57404,301.1849,303.6901,313.36346,314.16977,309.9575,312.5104,311.82007,310.10083,308.08884,305.83774,306.02747,306.25394,307.56866,306.46933,308.2902,309.09384,312.8789,319.39877,327.26477,347.00537,21.801476,53.13002,104.03627,155.55606,171.02745,170.13426,167.00539,164.05453,162.12122,161.56496,161.07526,161.07526,162.55272,163.61038,163.61038,161.56496,159.44388,157.249,153.43501,154.44008,180.0,280.6196,298.88647,304.3804,307.07315,309.22565,313.11182,316.9749,319.82083,318.62158,315.7638,311.82007,310.23627,308.82983,308.82983,312.64667,318.27057,321.70978,319.26797,313.2101
2025-11-12 02:10:19+00:00,2025-11-12 00:00:00+00:00,306.86996,212.47118,180.0,150.2552,170.53775,201.80147,152.10283,162.89719,149.03632,170.21767,158.5522,145.17545,154.8852,158.45895,160.70985,163.5399,167.90526,162.07199,162.18102,172.14677,172.87508,157.61983,165.96373,169.50858,167.4712,162.89719,166.50426,169.21574,185.19434,180.0,173.6599,180.0,233.74606,199.65392,244.98314,258.6901,285.94547,8.130019,290.85452,299.29126,297.072,293.33405,292.71445,284.26456,294.7024,302.15228,307.56866,15.255177,32.005356,310.426,311.18582,300.57913,295.5599,299.4758,295.5599,295.64096,295.82092,301.21835,302.3474,303.17853,299.98157,299.74478,306.57312,314.02905,313.09085,311.05472,301.60745,298.21725,300.96368,297.97937,297.47433,303.6901,304.1145,306.02747,315.0001,312.08908,308.8845,309.8055,304.9921,305.9098,308.15726,302.82855,302.3474,301.5042,297.2995,302.3474,307.47626,310.426,310.2363,299.35767,294.67685,292.83368,294.30453,293.9625,292.24908,280.0079,261.87,165.96373,158.96242,157.1663,153.43501,170.53775,165.96373,163.0091,164.74483,163.0091,145.17545,143.74608,135.0001,135.0001,285.94547,306.02747,289.6539,296.05344,302.12497,301.53473,301.75943,300.96368,296.56497,290.55612,287.1028,289.85532,295.1148,300.37906,299.5387,297.2995,296.56497,298.88647,304.21576,309.28937,310.60123,312.1375,312.27362,311.49637,312.08908,310.73203,308.48022,307.09293,305.2725,304.69522,304.7779,304.50858,300.65057,294.22772,281.3099,270.0,264.2895,255.96373,246.80138,231.34016,224.9999,230.19447,234.46223,234.46223,236.3099,233.13002,251.56496,270.0,296.56497,333.43503,347.4712,356.42374,354.2895,345.9637,334.79892,323.13,320.1945,319.39877
2025-11-13 02:27:33+00:00,2025-11-13 00:00:00+00:00,162.64589,168.31065,162.89719,166.86597,174.2895,151.38963,148.39255,156.80138,176.42374,208.30066,192.99461,241.69934,209.7448,217.87505,255.96373,270.0,270.0,275.94678,291.57138,288.85324,293.38525,309.40063,290.72565,289.74692,285.6423,279.09018,293.1986,299.98157,296.56497,293.49857,286.6993,299.24872,291.4478,287.81897,296.56497,292.1095,288.43503,286.55716,297.1496,300.06848,307.14676,294.10223,294.34106,292.0363,284.67642,307.74686,313.95847,303.6901,302.3474,309.28937,301.32864,306.02747,304.28693,304.28693,294.44394,290.55612,295.5599,300.96368,302.27563,307.40543,305.83774,309.8055,313.1524,309.47244,323.13,340.3461,344.7448,63.435013,90.0,113.962494,137.29063,146.3099,165.96373,149.03632,171.6342,166.50426,165.52966,166.32867,164.98158,164.05453,172.50424,174.47255,174.80566,199.9832,301.5042,280.84027,285.80258,297.47433,289.79895,295.67676,304.50858,302.00534,296.56497,298.523,296.0033,298.7397,305.53775,298.49554,293.6294,300.96368,292.16638,254.74483,267.33704,259.59235,271.023,284.03625,287.2816,277.69595,276.78888,288.43503,278.74606,312.27362,288.92474,293.9625,297.072,292.8906,288.03436,282.68036,278.74606,277.49576,276.17007,276.5197,276.91113,277.3523,278.13,276.58185,274.76355,270.0,267.6141,265.23645,270.0,277.4313,284.03625,288.43503,288.9705,290.37653,292.6199,293.38525,295.27768,295.20108,295.1148,294.14554,292.16638,291.80148,292.24908,304.50858,322.43134,340.3461,344.7448,336.8014,315.0001,305.53775,306.02747,308.15726,310.60123,312.70938,312.70938,313.0251,311.63345,309.28937,306.52896,304.50858,304.07724,303.2749,302.7352,302.00534,298.61035,293.1986
2025-11-14 02:10:57+00:00,2025-11-14 00:00:00+00:00,305.21768,257.00537,273.814,288.43503,277.4313,289.0936,283.13403,288.43503,289.35907,290.3232,297.4075,285.06854,287.74475,290.22495,285.6423,296.56497,292.751,297.2995,300.46545,302.6609,313.4519,259.69522,285.94547,308.15726,337.3801,280.30478,213.6901,156.80138,341.56494,347.4712,298.0724,298.30066,310.2363,332.24155,336.3706,338.9624,345.9637,341.56494,135.0001,135.0001,149.03632,158.74942,152.35411,158.5522,154.23073,166.75948,155.29759,159.04414,160.9422,169.8754,160.9743,167.125,171.6342,164.05453,176.72958,199.9832,252.47433,305.75397,288.43503,291.1248,291.03757,291.3707,286.22028,283.17255,284.28113,292.69382,292.3287,299.51138,302.8557,300.01828,293.55228,290.72565,290.92456,292.93213,282.99463,288.43503,290.22495,279.46225,233.13002,264.55975,259.9921,270.0,275.90604,309.47244,310.60123,281.88864,277.76508,295.01685,305.13428,299.98157,283.49576,287.74475,288.06055,289.6539,287.1028,279.21094,278.74606,277.30566,270.0,268.15244,271.97488,275.90604,270.0,258.23172,249.77505,250.55988,265.42615,262.40546,265.91446,262.23492,274.23633,278.88058,275.7105,291.318,299.35767,298.0724,292.16638,286.92758,285.52417,284.03625,278.13,248.19853,219.80553,212.00534,200.55612,180.0,168.69011,224.9999,263.6599,278.13,284.93146,295.01685,302.00534,304.9921,306.15826,304.1145,299.1974,292.06796,287.96924,287.928,290.13638,291.80148,290.85452,286.38962,282.99463,281.3099,276.3401,270.0,239.0363,213.6901,200.55612,219.80553,262.8751,282.5288,285.94547,288.43503,270.0,153.43501,180.0,210.96368,263.6599,289.44012,297.55273,302.00534,306.46933,308.991,304.3804,292.3802
