forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:41:10+00:00,2025-11-05 00:00:00+00:00,1000.4233,1000.7955,1000.92865,1001.3623,1000.9168,1000.7785,1000.2531,999.65076,999.83813,999.841,1000.0656,999.3225,998.95056,998.56573,997.5866,995.5035,993.70245,991.3916,988.9387,986.33545,982.80304,982.27295,980.3901,979.77057,980.8766,982.7955,984.6622,986.4135,987.5342,988.6156,989.8075,991.37775,992.9261,994.37634,996.10266,997.3977,998.5491,999.7819,1000.3325,1001.3653,1001.6788,1001.5867,1001.5741,1001.869,1002.83075,1002.99304,1002.9618,1003.11456,1003.30493,1002.6404,1002.6372,1002.2347,1001.7495,1001.16925,1001.12445,1000.4237,999.7034,999.1542,997.7197,996.1373,994.87195,993.5627,991.9672,990.1977,988.9875,987.603,986.48773,985.52563,984.867,984.2496,983.57886,983.51855,983.0414,982.39343,981.6125,981.5459,981.5286,981.73676,982.0435,982.32684,982.21985,982.8186,983.27576,984.0189,985.2123,986.2014,986.7521,987.47974,988.0018,988.32306,988.9721,989.8358,990.8523,991.5437,992.77936,993.43695,993.6183,993.80585,993.9872,994.4631,994.64435,994.7305,994.2234,994.34515,993.4856,993.49805,992.9423,992.7882,992.6506,992.193,990.95764,990.0854,988.50616,986.65344,985.39954,984.5662,984.039,983.6781,983.26416,983.0168,983.05835,983.4862,984.301,985.02893,985.77515,986.53033,987.19366,987.66296,988.03723,988.50995,989.1693,989.8255,990.4055,990.82416,991.1636,991.40405,991.3465,991.09216,991.1109,991.48535,992.1329,992.6849,993.0562,993.23364,993.42053,993.4174,993.31915,993.23364,993.16376,993.0081,993.0362,993.2453,993.63855,993.9364,994.2283,994.52313,994.7322,994.97253,995.1327,995.0867,994.73035,994.07245,993.68854,993.5718,993.63043,993.7906,994.15594,994.52136
2025-11-06 02:33:09+00:00,2025-11-06 00:00:00+00:00,983.8677,985.0978,986.02924,986.56415,987.9709,989.3838,989.9951,990.89215,991.5834,992.8584,994.6126,996.3516,997.6847,998.7753,999.7675,1000.1825,1000.96893,1001.53107,1001.8196,1001.9211,1001.9211,1001.6871,1001.86194,1002.2967,1002.9658,1002.6677,1001.7895,1000.80975,1000.3215,1000.1342,999.6396,999.44617,999.3761,998.4852,997.42584,996.47394,995.60486,993.5927,992.1114,990.37195,988.0453,986.0392,983.55255,982.54285,981.8737,980.5985,980.12714,980.13025,980.34454,982.98346,983.0008,983.22656,983.23517,983.258,983.72974,984.7655,985.2108,986.055,986.8591,987.5329,988.29004,989.1692,989.8457,990.5253,991.6479,991.9956,992.4751,993.0559,993.8393,994.334,995.02527,995.4245,995.32623,995.42755,995.8178,995.824,995.62115,995.61835,995.41223,995.3017,995.0037,994.42004,993.7287,993.2282,992.6415,992.6352,992.15576,990.78107,990.02185,987.7602,986.6488,985.8791,986.63513,987.4775,987.87665,987.8859,987.9779,987.77515,987.6893,987.30505,987.2836,987.4864,987.28674,987.763,988.42975,988.8015,988.98883,988.8625,989.31976,990.0843,990.17334,989.98303,989.6085,989.206,988.8955,988.97833,989.3528,989.62555,989.8921,990.1584,990.2313,990.0221,989.6193,989.30865,988.97876,988.7405,988.51825,988.3282,988.2526,988.2716,988.4715,988.67114,988.97876,989.2072,989.54346,989.6924,989.75525,989.624,989.67694,989.89813,990.2023,990.5003,990.6938,990.97943,991.1666,991.3573,991.64594,991.6366,991.4276,991.01886,990.6163,990.1185,989.5288,988.8438,988.16516,987.3974,986.72797,986.35925,986.095,985.72626,985.0501,984.1743,983.701,983.6482,983.8958,984.32495,984.9149,985.5822
2025-11-07 02:31:04+00:00,2025-11-07 00:00:00+00:00,1001.453,1000.68304,1001.36487,999.99194,1000.3882,999.9094,999.532,999.24023,999.83307,999.4399,998.7644,997.9938,996.6458,995.3438,993.37744,990.99805,989.29407,987.1544,985.2674,984.1541,983.38715,981.3103,980.6454,980.58185,980.6861,980.2116,979.17004,979.47375,979.8671,980.3361,980.7237,981.30786,982.26544,982.89233,983.817,985.5544,987.6114,989.2183,989.66034,990.83374,991.41724,991.8199,992.124,992.81213,993.68756,994.3505,995.01984,995.69226,996.27264,996.88696,996.6812,996.95764,997.0655,996.72723,996.57947,996.7056,996.168,995.48303,994.81964,993.6274,993.05273,993.0622,992.6529,991.76746,991.4159,989.5123,988.7593,988.737,989.8476,990.414,990.70905,991.735,993.19696,993.7906,994.5555,994.8348,994.6259,994.90204,994.98193,995.66693,995.6576,994.25635,994.8366,994.4186,994.3998,994.40295,994.23126,993.95514,994.0848,993.35425,993.1882,993.08984,993.3355,993.8381,994.0231,994.58746,994.77435,994.7459,994.7521,994.8442,994.8247,994.815,994.96344,995.3437,995.43225,995.6354,995.7433,995.7496,996.15234,996.64813,996.3531,995.9586,995.57544,994.7484,994.39496,994.109,993.99255,993.77155,993.5506,993.2282,992.8103,992.21136,991.5201,990.72437,989.81226,988.89355,987.8889,986.90594,986.03357,985.26544,984.6974,984.3345,983.97186,983.6089,983.34393,982.99304,982.57275,982.06555,981.82056,981.90985,982.1639,982.5161,982.97815,983.6336,984.1015,984.4796,984.66724,984.95044,985.2333,985.51624,985.88806,986.3496,986.90283,987.5544,988.2945,989.12946,989.7957,990.4072,990.844,991.1853,991.13,990.77936,990.7027,990.9854,991.54156,991.98694,992.3154,992.6337
2025-11-08 02:19:39+00:00,2025-11-08 00:00:00+00:00,980.4718,981.64606,980.68024,980.41144,980.6253,981.331,981.33966,981.6927,982.84656,984.1472,985.28613,985.75696,987.5092,989.0515,990.28094,991.2641,992.1396,992.02905,992.21045,993.3749,994.26556,994.9446,995.522,996.2867,996.7378,996.90625,996.5832,997.4615,997.747,997.5505,997.0621,997.16034,996.9607,996.672,996.2695,996.1681,995.96204,995.76544,994.792,993.9137,993.2318,991.8277,990.5437,989.3391,989.3267,988.8194,988.3217,987.43097,987.71625,986.9969,987.99835,989.10236,989.7161,990.2872,991.14685,991.50543,991.0905,991.4708,991.55975,991.6263,991.87964,992.2634,991.8893,991.73083,991.16974,990.5863,990.29144,990.0918,990.3773,990.46594,990.5484,990.6435,990.52936,990.2282,989.8886,989.73285,989.4685,989.42645,989.2138,989.10565,988.8044,988.6995,988.6964,988.62744,988.9514,989.2753,989.14014,988.8014,988.7256,988.2597,988.1993,988.3351,988.7441,989.4197,989.7496,990.2282,990.5893,990.48175,990.7227,990.6498,989.9079,989.51483,989.0266,988.63654,988.042,987.56287,986.8501,986.1744,985.895,985.2472,984.39935,983.53906,982.863,981.77856,980.9921,980.8938,981.0904,981.3884,981.6956,982.0057,982.3158,982.5213,982.6289,982.8283,982.9238,983.11426,983.302,983.5876,983.97186,984.4389,984.9768,985.5049,986.0575,986.6627,987.1977,987.6247,987.6433,987.5544,987.5544,988.0334,988.6018,989.27124,989.84235,990.51483,991.09216,991.5774,991.9644,992.3544,992.6462,992.8396,993.1283,993.51514,993.90204,994.37787,994.93286,995.5796,996.25165,996.8795,997.53876,997.98206,997.90576,997.6141,997.4143,997.5952,997.8681,998.13794,998.2206,998.2049
2025-11-09 02:40:43+00:00,2025-11-09 00:00:00+00:00,996.06665,996.4125,996.7994,997.7792,997.5826,998.18164,997.9914,997.30023,997.59827,997.5031,997.6173,997.32245,997.5128,997.6111,997.427,996.97003,996.6113,996.4054,995.89514,994.89966,993.91675,993.1274,992.5282,991.8433,991.862,990.6389,989.24396,989.06323,989.05664,989.1363,989.27594,989.6343,990.59485,991.26355,992.0241,992.2802,992.84735,992.8409,992.55566,993.05035,993.35803,992.8733,992.0903,991.8872,991.97925,991.8744,991.5764,991.27826,991.4813,990.5127,990.11316,989.3577,989.0892,988.83606,988.50464,988.7114,988.5712,988.5258,988.3557,988.16266,988.2609,988.61786,988.5971,988.45544,988.2973,988.0311,988.0789,988.3227,988.9155,989.15656,989.3671,990.1172,990.4431,990.3929,990.52997,990.4707,990.21796,990.298,989.7904,989.5748,989.15625,988.94836,988.8065,988.3182,988.1061,987.9468,987.2039,986.4423,985.79083,984.64484,983.8584,983.3332,983.10596,983.5115,983.93854,984.5524,984.94293,985.2406,985.8214,985.9046,985.8984,986.3192,986.85693,987.52637,987.9841,988.4445,989.028,989.52264,990.1702,990.69904,990.9641,991.2131,991.0407,990.7175,990.7175,991.108,991.6764,992.2236,992.638,993.033,993.45245,993.8202,994.11816,994.41614,994.7141,994.917,995.2149,995.6115,996.0047,996.57837,997.31696,998.2354,998.9958,999.7322,1000.4082,1000.8744,1000.9247,1000.8642,1000.8799,1001.2605,1001.8187,1002.2662,1002.6973,1003.0202,1003.2602,1003.24066,1003.13916,1003.0347,1002.9199,1002.8056,1002.79236,1002.88434,1002.97595,1003.0708,1003.1562,1003.1464,1003.15936,1003.1197,1003.1024,1002.8877,1002.2724,1001.4571,1000.7113,1000.31177,999.98267,999.742,999.6854,999.71405
2025-11-10 02:33:11+00:00,2025-11-10 00:00:00+00:00,990.95874,991.5173,991.6696,991.36536,991.6413,991.22906,990.7377,991.3274,992.21185,991.7869,991.9739,991.75824,991.8437,991.5489,991.35864,991.46344,991.27313,990.3952,989.9988,989.4946,989.5835,989.8591,989.9412,989.72534,989.8043,989.6965,988.8251,988.7268,988.41907,988.1176,987.715,987.6136,987.59406,987.58136,987.7745,987.9679,988.5509,988.75397,988.28845,988.4737,988.32184,987.9891,988.12836,988.12836,988.35626,988.35,988.77216,989.4632,989.7422,989.8422,990.00946,989.7969,989.48236,989.4548,988.8422,988.67426,987.93585,988.13715,987.3963,986.90485,986.8097,986.74866,986.1961,985.42834,985.24097,984.2642,983.7635,983.84015,984.344,984.75574,985.2441,985.5297,986.055,986.23645,986.21783,986.4513,986.65106,987.2224,987.7078,988.18066,988.6566,989.37756,989.97986,990.6741,991.4635,992.3637,992.86456,993.1688,993.47626,992.9082,993.03436,993.3324,993.8148,994.34216,994.9614,995.8744,996.4325,997.09784,997.7164,998.08374,998.42224,998.5802,998.9441,999.3009,999.49084,999.5822,999.6054,999.6155,999.82513,1000.17816,1000.1643,999.764,999.5285,998.7794,998.1342,997.7257,997.29236,997.0587,997.03674,997.1163,997.294,997.57025,997.8431,998.3094,998.87054,999.4254,1000.06213,1000.771,1001.46625,1002.2714,1003.1908,1004.12317,1004.9092,1005.37885,1005.7994,1005.90686,1005.7847,1005.4462,1005.28467,1005.38617,1005.6586,1005.9247,1006.0861,1006.13916,1006.094,1005.85504,1005.4228,1005.08856,1004.7574,1004.53125,1004.3117,1004.20325,1004.10504,1003.90857,1003.60065,1003.2926,1002.9195,1002.6059,1002.2255,1001.6314,1000.7094,999.6694,998.70886,998.21106,997.7958,997.3709,996.74304,996.11194
2025-11-11 02:22:03+00:00,2025-11-11 00:00:00+00:00,989.6721,990.6452,988.86365,988.7558,987.96,987.5635,986.7774,986.0607,986.44727,986.631,986.2219,985.52454,985.9176,985.74335,985.67413,986.18774,986.39734,986.2231,986.31494,987.1299,988.2267,988.6294,988.9528,989.88153,990.6013,990.78503,990.38556,990.14734,989.8246,989.2476,988.8035,988.4422,988.30176,987.52783,986.82117,986.3205,985.737,984.97845,984.0233,983.9591,983.97156,983.5844,982.7056,982.7242,983.1236,983.6182,983.91003,984.5029,985.0065,986.66345,986.85077,987.23145,987.8154,988.6814,988.95966,989.47375,989.63556,989.7969,990.1484,990.29956,990.5211,991.09845,991.3262,991.351,991.66754,990.9856,991.39417,991.59375,992.27295,992.8409,993.3186,993.9787,994.41266,994.66864,995.40967,995.5509,995.7377,995.8976,995.8654,996.1995,996.2713,996.6286,996.7596,997.2474,998.1085,998.8555,999.2791,999.4698,999.72314,999.45026,999.558,999.76086,1000.1477,1000.5032,1001.19446,1001.7265,1002.0374,1002.30023,1002.50745,1002.537,1002.41254,1002.29126,1002.6644,1003.02435,1003.2857,1003.3675,1003.2623,1003.557,1004.05835,1004.3843,1004.4954,1003.8033,1003.5627,1002.41833,1002.05383,1001.8509,1001.82227,1001.7873,1001.63776,1001.38007,1000.94806,1000.3619,999.5983,998.8379,998.16284,997.5892,996.82556,995.8841,994.752,993.5183,992.1703,990.7177,989.26825,987.92584,986.48505,985.23785,983.98083,982.81934,981.75616,980.8833,980.20404,979.6413,979.1255,978.72516,978.56635,978.7077,979.0898,979.7868,981.11475,982.75574,984.31036,985.5852,986.77686,987.96277,989.4311,990.89355,992.26355,993.44,994.52136,995.5138,996.2267,996.8503,997.5507,998.51215,999.54736,1000.57245,1001.57495,1002.4659
2025-11-12 02:24:58+00:00,2025-11-12 00:00:00+00:00,989.65015,988.42004,989.30457,988.39777,988.25525,988.8035,988.0966,988.2611,987.9241,987.6231,986.45593,986.5357,985.9115,985.2486,984.6039,984.3245,983.96533,983.48926,982.81323,982.60144,983.00055,982.9022,983.02216,983.4398,984.10034,984.51196,984.6841,985.4429,986.0048,986.3918,986.2873,986.8739,987.4544,988.34216,988.71674,989.38916,990.16614,990.76526,990.89154,991.61383,992.26575,992.64954,993.1226,993.7608,994.6799,995.32416,995.9683,996.3746,996.9067,997.46295,997.8241,998.17267,998.3208,998.4062,998.4882,999.3629,999.05524,999.4451,999.2451,999.5466,999.8444,999.9545,999.68854,999.3929,998.57336,997.7289,997.1511,996.8932,996.9758,997.30975,997.9257,998.5028,998.6262,998.59454,998.946,998.6383,998.5768,998.5608,998.3542,998.5444,998.7344,998.53467,998.2399,998.2399,998.0497,998.216,997.7164,997.0157,996.4983,995.17224,993.8148,992.6506,992.0545,991.8145,990.7053,989.6271,988.38855,986.8593,985.419,983.86487,981.73596,979.61584,978.66003,977.78143,977.0128,976.12537,975.9045,976.28876,977.44415,978.7159,979.0804,979.72144,979.84375,979.7244,979.9987,980.2638,980.60046,981.1298,981.85864,982.68225,983.4161,983.9717,984.3402,984.7113,985.08875,985.47253,985.8529,986.43024,987.0041,987.6762,988.3387,988.998,989.68896,990.3393,991.0202,991.4885,991.6366,991.6737,991.78735,992.1652,992.62274,993.0736,993.6228,994.172,994.6252,994.99304,995.1706,995.4497,995.72864,995.9154,996.10223,996.2926,996.38745,996.48254,996.56793,996.55194,996.66626,996.93335,997.2282,997.3128,996.98206,996.53687,996.1621,996.03906,995.9865,996.2254,996.85706,997.78314
2025-11-13 02:42:46+00:00,2025-11-13 00:00:00+00:00,985.1848,986.16785,986.3428,987.58997,988.2687,988.17035,988.29865,988.67944,989.06323,989.84296,990.31256,990.7151,991.00366,991.32074,991.915,992.35156,992.65894,993.2363,993.734,993.9428,994.84515,995.4381,996.02155,996.58636,997.25555,997.93414,997.8547,997.9593,998.3148,998.29913,998.18164,998.77765,998.69507,999.10266,999.23004,999.54407,999.934,999.9403,999.54156,999.8842,999.63025,999.167,998.9829,998.9579,999.3165,999.28516,999.43396,999.37646,999.3943,1000.38763,1000.07336,999.6706,999.1664,998.891,998.9698,998.767,998.3739,997.984,997.4927,997.30273,996.945,996.53705,995.8397,994.82733,993.1295,991.90125,990.276,988.67236,987.2929,985.5942,983.84607,982.3096,980.48083,979.1586,977.2217,975.78827,974.2444,973.1519,972.1967,972.0171,971.89624,972.06146,972.5619,973.39777,974.0391,975.25836,976.17004,976.8493,976.9956,976.7007,976.7928,977.2546,977.9901,978.52246,979.3339,979.98505,980.53156,980.92474,981.02,981.05084,980.76825,981.25665,981.2073,981.4772,981.91693,982.2885,982.8563,983.6145,984.57526,985.29175,986.04517,986.5862,986.9183,986.9521,987.3792,987.95966,988.71533,989.4709,990.3245,991.0766,991.8318,992.2979,992.6723,993.14795,993.7313,994.4193,995.101,995.67786,996.3468,996.9205,997.5892,998.2611,998.9619,999.71405,1000.3986,1000.8767,1001.04047,1001.099,1001.2281,1001.51996,1001.8855,1002.3461,1002.8131,1003.3749,1003.84424,1004.1269,1004.22205,1004.4123,1004.60266,1004.8912,1005.1765,1005.4494,1005.8172,1005.99164,1006.0709,1006.058,1006.0709,1006.32446,1006.8028,1006.87146,1006.42645,1005.7692,1005.28674,1005.1638,1005.2157,1005.27356,1005.3473,1005.3283
2025-11-14 02:26:04+00:00,2025-11-14 00:00:00+00:00,996.8204,996.66266,997.6393,998.07324,998.3085,998.7808,998.57477,998.8602,999.14844,999.5259,1000.033,1000.14417,1000.33136,1000.55,1000.3811,1000.4497,1000.1765,999.23956,998.79694,998.67725,998.95056,998.7069,999.0782,999.29663,999.4399,999.5288,998.3368,997.839,998.0356,997.747,997.4552,997.059,996.46606,995.3849,994.5096,994.2179,993.72644,993.0634,991.9368,990.6129,988.71094,986.7872,984.38025,981.99963,979.4406,978.28754,976.5031,974.58105,973.3469,975.11554,973.48267,971.56024,970.9916,970.77167,971.2772,971.698,971.9813,972.44824,972.9576,973.4021,973.9565,974.7042,975.6426,975.75903,975.93445,975.9074,976.28253,976.7622,977.4319,977.6813,978.41235,979.05725,979.62866,979.7207,979.8924,979.68317,979.5913,979.87354,980.15265,980.6318,980.91705,981.30084,981.68134,982.2649,983.0445,983.8592,984.5179,985.2495,985.8092,985.95984,986.4699,987.2836,988.37115,989.13617,990.10925,991.0642,991.9457,992.5291,992.8943,993.36664,993.5569,993.9372,994.05145,994.83777,995.24646,995.67126,995.9443,996.4833,997.35175,998.2872,998.7842,999.07117,999.33246,999.3787,999.59985,999.8825,1000.3342,1000.7826,1001.32587,1002.0627,1002.61145,1003.084,1003.56604,1003.9497,1004.2225,1004.4953,1004.68555,1004.91046,1005.24963,1005.4746,1005.7569,1006.02014,1006.3118,1006.854,1007.4208,1007.7813,1007.5326,1006.98285,1006.6016,1006.67236,1007.01636,1007.2647,1007.43036,1007.70013,1007.8778,1008.06195,1008.2491,1008.338,1008.23004,1008.11914,1008.01764,1008.0209,1008.0303,1008.03986,1008.0367,1008.1318,1008.2427,1008.4772,1008.7269,1008.6784,1008.23944,1007.5048,1006.9424,1006.6354,1006.40204,1006.2576,1006.1005,1005.9371
