forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:41+00:00,2025-11-05 00:00:00+00:00,8.714999,7.715,7.015,6.215,5.665,5.315,4.665,4.315,4.165,4.265,3.815,2.765,2.765,4.465,6.8650002,11.815,14.264999,15.514999,16.165,16.465,16.765001,16.015,14.415,14.014999,13.764999,13.665,13.665,11.065,8.464999,6.8650002,6.415,6.465,5.315,4.915,4.415,4.065,3.165,5.465,5.765,7.215,7.315,7.565,7.315,7.1150002,6.915,6.6150002,5.065,3.365,2.665,2.692,2.642,1.392,0.94200003,0.642,0.442,0.14199999,-0.007999986,-0.10800001,0.69200003,1.092,2.092,4.542,6.742,8.692,9.642,11.042001,11.292001,11.992001,12.192,12.042001,11.542001,11.442,11.242001,11.142,10.692,10.942,11.442,11.542001,12.442,12.942,13.092,13.092,12.842,12.742001,12.592,12.842,12.542001,12.392,11.942,14.742001,16.142,16.741999,16.542,14.392,12.892,11.092,9.992001,9.092,8.442,9.842,9.792001,9.842,8.092,7.492,7.092,6.942,6.492,6.3919997,6.792,8.192,9.792001,10.842,12.592,13.592,12.192,13.092,14.142,14.542001,13.942,12.742001,11.292001,9.492001,7.3919997,5.692,4.592,3.892,3.442,3.4919999,3.842,3.842,3.0419998,1.942,1.342,1.8920001,2.942,3.692,3.692,3.392,2.9919999,2.692,2.292,1.792,1.042,0.192,-0.508,-0.908,-1.1079999,-1.1079999,-0.8579999,-0.45799997,-0.15800002,-0.15800002,-0.258,-0.40800002,-0.80799997,-1.258,-1.058,0.392,2.5419998,4.342,5.492,6.342,6.6419997,6.292,5.442,4.492,3.4919999,2.442
2025-11-06 02:15:48+00:00,2025-11-06 00:00:00+00:00,15.165,13.714999,13.065,11.165,9.464999,8.514999,7.515,6.3650002,5.565,5.315,4.915,4.265,3.565,5.565,6.915,7.3650002,7.265,7.665,7.6150002,7.665,7.1150002,6.565,5.1150002,4.065,3.9650002,3.165,1.815,0.965,0.365,-0.035000004,-0.285,-0.835,-0.835,-0.335,-0.185,-0.535,-0.335,1.415,5.315,8.115,10.315,12.014999,12.764999,13.014999,13.115,12.415,11.115,10.165,10.264999,10.742001,10.692,10.142,10.592,11.242001,11.392,11.742001,11.992001,11.992001,11.892,11.692,11.692,12.242001,13.442,14.442,16.642,18.042,19.042,19.192,18.542,15.842,12.492001,11.692,11.092,10.342,9.642,9.342,9.292001,9.192,8.092,7.492,7.042,6.942,8.592,8.692,8.892,10.242001,12.192,13.992001,12.142,12.992001,13.892,13.642,13.442,13.492001,12.942,11.692,11.192,10.642,10.242001,9.542001,8.792001,8.192,7.942,7.742,7.542,7.3919997,5.842,5.6419997,4.492,4.442,4.992,5.542,6.192,6.842,7.192,6.8919997,6.192,5.292,4.142,2.842,1.692,0.842,0.192,-0.308,-0.55799997,-0.6079999,-0.908,-1.7080001,-2.7080002,-3.408,-3.7080002,-3.7080002,-3.158,-1.7080001,0.242,1.792,2.592,2.942,3.142,3.2419999,3.142,2.842,2.2419999,1.392,0.642,0.041999996,-0.40800002,-0.70799994,-0.758,-0.6079999,-0.358,-0.007999986,0.392,0.742,0.742,0.642,0.992,2.2419999,3.892,5.442,6.692,7.742,8.392,8.442,8.092,7.492,6.492,5.242
2025-11-07 02:13:55+00:00,2025-11-07 00:00:00+00:00,4.565,3.815,3.615,3.2150002,1.915,1.2650001,0.915,0.415,0.265,0.215,0.215,0.16499999,0.065,1.7650001,4.565,8.815,11.065,12.365,13.365,13.464999,13.464999,12.865,11.365,10.764999,10.115,10.464999,9.915,9.815,9.565,9.815,10.264999,10.615,10.665,10.665,10.714999,9.514999,8.964999,10.014999,11.115,11.665,11.815,11.565,11.665,11.315,10.615,10.014999,8.365,6.715,5.815,8.142,7.192,7.042,6.1419997,7.1419997,7.742,5.742,5.342,5.692,5.592,6.942,5.742,7.8919997,10.192,10.542001,11.642,11.942,12.192,12.392,12.792001,12.442,12.142,12.042001,11.942,11.392,9.992001,9.542001,9.792001,9.942,9.042001,7.242,6.792,5.992,4.942,3.7419999,3.7419999,3.9919999,4.6419997,5.6419997,6.342,6.442,6.292,6.292,5.992,4.592,2.192,0.89199996,0.342,-0.258,-0.058,-0.258,-0.658,-1.058,-1.558,-1.758,-1.7080001,-1.6579999,-1.6079999,-1.808,-1.6579999,0.14199999,1.8920001,3.842,5.342,6.192,6.292,6.242,5.842,5.092,3.842,2.2419999,1.192,0.992,1.292,1.742,2.342,3.092,3.642,3.892,3.942,3.892,3.5419998,3.092,3.192,4.242,5.792,7.242,8.392,9.342,10.042001,10.292001,10.242001,10.142,10.042001,9.842,9.492001,8.792001,7.842,7.192,7.042,7.1419997,6.992,6.3919997,5.592,4.8919997,4.242,3.692,3.592,4.292,5.492,6.442,7.042,7.3919997,7.542,7.3919997,7.042,6.492,5.692,4.742
2025-11-08 02:05:13+00:00,2025-11-08 00:00:00+00:00,12.815,12.214999,11.264999,10.565,10.464999,10.514999,10.565,10.964999,10.714999,10.615,9.615,9.315,9.365,10.964999,11.964999,12.565,13.415,13.665,14.115,14.065,13.764999,12.815,10.514999,9.565,7.765,7.415,8.115,7.915,7.015,6.265,5.065,4.815,5.015,4.465,4.415,5.065,5.515,5.815,5.965,8.365,11.264999,13.115,14.615,13.365,13.165,11.865,11.365,11.514999,12.115,11.442,11.342,11.292001,10.942,11.192,11.342,9.792001,9.192,8.942,7.8919997,4.492,3.7919998,4.6419997,5.492,6.6419997,7.192,7.742,7.442,6.3919997,4.742,3.4919999,2.892,2.642,0.94200003,-0.007999986,-0.95799994,-1.808,-2.058,-2.2580001,-1.758,-1.458,-1.3579999,-1.7080001,-1.1079999,-1.9079999,-2.0080001,-1.458,0.041999996,1.392,2.4919999,1.842,2.692,2.392,1.742,1.992,1.092,1.342,1.042,0.89199996,1.442,0.842,0.041999996,-0.55799997,-0.95799994,-1.6579999,-0.95799994,-0.45799997,0.14199999,0.292,0.792,2.4919999,3.142,3.692,5.492,7.242,8.342,8.542001,8.092,7.592,7.042,6.442,6.092,6.242,6.692,6.942,6.8919997,6.6419997,6.192,5.442,4.492,3.7419999,3.2919998,2.9919999,3.142,3.942,5.1419997,6.192,7.042,7.692,7.942,7.492,6.542,5.6419997,4.792,3.9919999,3.342,2.9919999,2.842,2.642,2.342,1.992,1.842,2.092,2.4919999,2.592,1.942,0.94200003,0.542,1.142,2.292,3.442,4.542,5.592,6.1419997,5.942,5.192,4.192,2.842,1.242
2025-11-09 02:10:21+00:00,2025-11-09 00:00:00+00:00,9.565,8.764999,8.365,9.014999,9.415,9.315,8.665,7.965,6.965,7.065,6.6150002,6.065,5.815,6.6150002,7.765,10.365,13.514999,16.065,16.515001,15.315,14.865,14.115,13.665,13.165,13.165,13.214999,13.115,12.714999,12.514999,12.464999,12.365,12.264999,11.565,10.915,10.165,7.915,5.3650002,5.315,5.965,6.6150002,6.8650002,6.265,5.565,5.165,4.415,3.4650002,2.415,1.2650001,0.665,0.192,-0.8579999,-1.6079999,-1.9580001,-2.108,-2.2080002,-2.408,-2.7080002,-2.908,-3.158,-3.2080002,-3.058,-1.8579999,-0.358,1.142,2.4919999,1.992,2.892,3.342,3.942,2.942,2.142,1.792,1.292,1.942,1.592,0.542,1.092,0.492,-0.10800001,-0.70799994,-0.658,-0.758,-0.15800002,0.14199999,0.242,1.6420001,2.842,1.8920001,1.742,2.092,2.2419999,3.7419999,5.092,4.992,4.942,4.6419997,4.842,4.742,4.6419997,4.542,4.6419997,4.242,4.392,3.592,4.492,4.192,3.5419998,2.592,3.342,4.242,5.542,6.542,7.342,7.742,7.992,7.742,7.192,6.3919997,5.342,4.092,3.0419998,2.442,2.042,1.742,1.542,1.492,1.292,0.842,0.292,-0.058,-0.258,-0.308,0.192,1.592,3.5419998,4.992,5.6419997,5.842,5.6419997,5.042,4.092,3.0419998,1.942,0.792,-0.15800002,-0.658,-0.95799994,-1.158,-1.408,-1.558,-1.758,-1.9580001,-2.108,-2.2580001,-2.558,-2.808,-2.5080001,-1.258,0.492,2.142,3.592,4.942,5.692,5.542,4.792,3.892,2.842,1.6420001
2025-11-10 02:16:01+00:00,2025-11-10 00:00:00+00:00,11.464999,11.214999,11.065,10.764999,10.665,10.665,11.014999,9.514999,9.115,8.815,8.464999,8.264999,7.965,7.915,7.665,8.065,8.014999,7.965,7.215,6.915,5.065,3.415,2.4650002,1.665,0.615,0.16499999,-0.23500001,-0.285,-0.135,-0.285,-0.285,-0.285,-0.23500001,-0.185,-0.285,-0.485,-0.435,-0.285,-0.08500001,0.515,0.815,1.815,2.7150002,3.115,3.365,2.515,1.9649999,1.065,1.315,1.742,1.292,1.142,0.642,0.242,0.041999996,0.492,0.592,-0.358,0.442,0.842,0.492,1.442,3.142,5.192,6.592,7.242,7.242,6.992,7.1419997,5.692,4.492,3.842,3.342,4.392,4.842,3.9919999,4.8919997,4.592,4.492,4.6419997,4.492,4.492,3.2919998,4.742,4.042,4.542,5.6419997,5.842,5.792,6.942,7.1419997,6.942,6.442,5.592,4.092,3.7419999,3.2419999,2.942,2.342,2.442,2.442,3.5419998,3.392,3.4919999,1.242,0.89199996,0.192,-0.80799997,-0.908,1.242,3.7419999,5.992,7.592,8.642,9.342,9.142,8.342,7.542,6.842,6.092,5.442,4.942,4.592,4.242,3.892,3.642,3.592,3.9919999,4.592,4.942,4.742,4.242,3.642,2.7419999,1.742,1.492,2.7919998,4.842,6.1419997,5.992,5.092,3.942,2.642,1.092,-0.20799997,-1.158,-1.9580001,-2.558,-2.9580002,-3.2080002,-3.408,-3.558,-3.658,-3.758,-4.008,-4.208,-3.8580003,-2.5080001,-0.6079999,1.192,2.7919998,4.292,5.1419997,4.942,4.092,3.2419999,2.642,2.042
2025-11-11 02:08:24+00:00,2025-11-11 00:00:00+00:00,1.065,0.215,-0.23500001,-0.335,-0.285,-0.23500001,-0.435,-0.535,-0.585,-0.335,-0.335,-0.335,-0.535,-0.335,-0.08500001,0.765,1.415,1.7650001,2.315,2.765,3.065,2.165,0.865,0.16499999,-0.08500001,0.16499999,0.365,0.365,0.615,0.265,-0.185,-0.135,0.16499999,0.215,0.215,0.16499999,0.215,0.865,1.415,2.365,5.315,5.165,5.565,5.6150002,5.915,5.565,4.8650002,4.6150002,3.865,4.742,5.1419997,4.992,4.992,4.492,4.6419997,4.492,4.342,4.292,4.6419997,4.492,4.042,4.242,5.792,7.042,7.692,7.992,8.092,7.992,7.842,6.592,5.1419997,4.492,4.092,3.842,3.2919998,3.192,4.742,4.292,3.142,1.192,0.492,-0.007999986,-0.20799997,-0.308,-0.45799997,1.542,4.392,5.042,5.6419997,5.442,6.442,6.292,6.042,4.792,2.842,1.842,1.142,-0.15800002,-1.1079999,-1.558,-1.808,-1.9079999,-1.9580001,-2.108,-2.308,-2.358,-2.358,-2.408,-2.5080001,-1.208,0.442,2.092,3.192,4.142,4.842,4.742,4.192,3.342,2.092,0.592,-0.508,-0.95799994,-1.058,-1.008,-0.908,-0.658,-0.45799997,-0.45799997,-0.508,-0.358,0.242,1.042,1.842,2.642,3.392,3.9919999,4.192,4.242,4.392,4.8919997,5.492,6.1419997,6.592,7.092,7.992,9.842,12.192,13.892,14.592,14.642,14.242001,13.292001,11.842,10.542001,9.442,8.442,7.6419997,7.042,6.6419997,6.492,6.742,7.242,7.442,7.1419997,6.542,5.792,4.842,3.7419999
2025-11-12 02:10:32+00:00,2025-11-12 00:00:00+00:00,1.2149999,0.665,0.565,1.415,1.2149999,0.415,0.415,0.114999995,0.114999995,0.315,0.065,0.16499999,-0.23500001,0.765,1.615,2.415,3.765,5.765,6.065,5.1150002,5.465,5.315,4.3650002,3.9650002,3.665,2.765,2.2150002,2.115,1.865,1.615,1.365,1.315,1.065,1.915,1.915,2.4650002,2.515,3.365,4.915,5.915,6.815,7.215,7.3650002,6.8650002,6.815,5.215,3.515,2.9650002,2.165,2.9919999,3.2419999,3.0419998,3.2919998,4.092,4.192,3.942,3.842,2.092,2.892,1.142,2.842,2.9919999,3.692,4.092,5.742,5.6419997,7.442,7.242,7.842,6.842,4.992,4.442,3.142,2.392,2.642,2.342,1.342,-0.007999986,-1.058,-1.058,-1.008,-1.408,-1.6579999,-1.9079999,-2.058,-0.758,1.342,3.4919999,4.942,6.292,7.242,7.542,7.342,5.792,4.142,4.142,2.7419999,3.092,3.192,3.692,4.6419997,5.492,6.442,7.242,7.542,7.842,8.092,8.842,9.592,11.042001,13.842,12.892,13.342,12.542001,12.542001,12.042001,11.342,10.392,9.042001,7.442,6.042,4.992,4.142,3.5419998,3.2919998,3.2919998,3.2419999,2.9919999,2.692,2.442,2.092,1.742,1.842,2.7419999,4.092,5.242,6.042,6.592,6.8919997,6.842,6.442,5.742,4.492,2.942,1.6420001,0.94200003,0.592,0.242,-0.10800001,-0.40800002,-0.658,-0.8579999,-1.008,-1.008,-0.908,-0.658,-0.10800001,0.94200003,2.342,3.342,3.842,4.042,3.7919998,2.892,1.592,0.642,0.392,0.442
2025-11-13 02:27:44+00:00,2025-11-13 00:00:00+00:00,5.1150002,4.665,3.565,2.915,2.515,2.115,1.7650001,1.565,1.2650001,1.9649999,1.165,1.415,0.615,2.265,5.715,5.265,6.565,7.215,7.315,7.415,5.8650002,4.915,3.115,2.415,2.415,1.7650001,1.2650001,1.015,1.115,0.665,0.365,0.315,0.215,0.16499999,0.065,0.065,0.465,1.115,2.765,3.115,4.015,5.515,5.215,5.065,4.765,3.915,2.415,1.2149999,0.665,0.041999996,-0.6079999,-0.908,-1.158,-1.258,-0.908,-0.758,0.392,-0.55799997,-1.7080001,-1.8579999,-1.9079999,0.292,2.842,4.842,6.442,7.442,8.642,10.092,9.992001,7.342,5.692,6.742,7.342,7.692,8.092,8.392,8.392,8.742001,9.292001,9.742001,9.692,10.242001,10.142,10.592,11.292001,13.042001,12.742001,10.742001,7.8919997,9.492001,9.192,8.792001,8.742001,7.492,5.992,5.192,4.692,4.342,3.842,3.442,2.9919999,2.692,2.2419999,1.742,2.2419999,2.2419999,2.5419998,1.992,1.692,2.5419998,3.7919998,4.842,5.842,6.542,6.792,6.692,6.242,5.542,4.542,3.342,2.292,1.592,1.092,0.69200003,0.442,0.242,-0.007999986,-0.508,-1.1079999,-1.6079999,-2.108,-2.5080001,-2.058,-0.058,2.7419999,5.1419997,6.6419997,7.742,8.192,7.942,7.092,5.992,4.492,2.692,1.292,0.592,0.292,0.09200001,-0.10800001,-0.258,-0.358,-0.45799997,-0.55799997,-0.6079999,-0.758,-0.908,-0.40800002,1.142,3.2919998,5.1419997,6.542,7.6419997,8.142,7.842,6.992,5.842,4.292,2.4919999
2025-11-14 02:11:11+00:00,2025-11-14 00:00:00+00:00,4.065,3.165,2.665,2.7150002,2.015,1.4649999,2.4650002,1.365,0.965,0.615,0.365,0.315,0.315,1.665,4.315,6.465,7.965,9.165,9.665,10.115,10.115,8.865,6.315,4.765,3.665,2.9650002,2.665,2.315,1.615,1.2149999,0.865,0.565,0.565,0.515,0.465,0.365,0.415,1.815,3.415,5.165,7.065,8.565,10.014999,10.815,10.214999,9.264999,8.865,8.165,7.515,7.6419997,7.742,8.242001,8.692,9.292001,9.892,11.192,10.992001,11.892,12.392,12.342,11.292001,9.892,8.742001,8.092,7.6419997,6.992,6.992,7.742,7.592,6.692,4.992,3.9919999,3.2919998,3.2919998,3.092,2.4919999,2.142,1.8920001,1.692,1.542,0.992,0.842,0.89199996,0.592,0.592,1.242,1.942,3.942,4.942,5.842,6.092,5.942,5.6419997,4.442,2.892,1.842,1.392,1.742,1.542,1.142,0.592,0.192,0.342,-0.358,-1.058,-1.408,-1.508,-1.3579999,-1.258,1.192,3.392,5.1419997,6.3919997,7.092,7.692,7.3919997,6.6419997,5.542,4.042,2.292,0.89199996,0.242,-0.058,-0.258,-0.508,-0.658,-0.758,-0.80799997,-0.80799997,-0.80799997,-1.158,-1.558,-1.1079999,0.89199996,3.7419999,6.042,7.442,8.292,8.592,8.092,6.942,5.692,4.342,2.842,1.6420001,0.992,0.592,0.292,-0.007999986,-0.308,-0.508,-0.658,-0.80799997,-0.8579999,-1.1079999,-1.308,-0.8579999,0.842,3.2919998,5.342,6.792,7.8919997,8.392,7.942,6.842,5.792,4.842,3.942
