forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:43+00:00,2025-11-05 00:00:00+00:00,1005.42676,1005.10223,1006.0489,1006.3257,1006.57587,1006.6283,1005.8136,1005.78687,1005.8676,1006.34564,1006.1481,1006.24915,1005.56903,1005.061,1004.0423,1002.8362,1001.43744,999.01355,995.90155,993.7337,991.73865,989.6306,987.5449,986.72534,985.7372,984.6586,983.5801,984.2488,986.6413,989.12665,990.39606,991.84955,993.69604,995.26135,997.02844,998.7909,1000.15845,1001.61444,1002.92725,1004.11725,1004.9163,1005.32446,1005.13794,1005.83386,1007.00397,1007.7414,1007.76685,1007.8162,1008.28296,1008.3738,1008.5576,1008.34186,1007.8296,1008.0201,1007.7286,1007.841,1007.1496,1006.89886,1006.6385,1005.64636,1004.55536,1003.8011,1003.1651,1001.92303,1000.3196,998.31604,996.40564,994.26965,992.98505,992.60443,993.08344,992.8625,992.0593,991.67065,991.2732,990.87585,990.09375,989.70953,989.52466,989.039,988.85187,989.1589,989.0685,989.47833,989.964,990.4034,990.67755,991.12225,991.921,991.8056,991.7913,991.94556,992.52826,993.63586,994.69196,995.9957,996.69775,997.4565,997.73596,998.46185,998.8486,998.7389,998.9302,999.42194,999.22003,999.0136,998.5023,998.3004,998.599,998.322,998.1699,996.8296,995.9976,994.1487,992.6434,991.66125,990.9408,990.4118,990.08466,989.95056,990.01227,990.372,990.8302,991.47516,992.1967,993.008,993.5455,993.6333,993.5455,993.6468,994.01526,994.5724,995.0529,995.3826,995.63776,995.87714,995.9912,996.0944,996.2789,996.7396,997.3804,998.0271,998.88025,999.7397,1000.406,1000.7828,1000.97125,1001.06775,1001.1756,1001.19385,1001.11804,1000.8557,1000.59766,1000.4269,1000.6222,1000.9994,1001.298,1001.6301,1001.8809,1001.9274,1001.56714,1001.09924,1000.7129,1000.59204,1000.74817,1000.9065,1001.2684,1001.6324
2025-11-06 02:15:52+00:00,2025-11-06 00:00:00+00:00,987.4423,987.51135,986.5063,986.7275,987.80774,990.13605,991.28296,993.41705,994.774,996.04285,997.12067,998.2073,999.7944,1000.93384,1002.1807,1003.17944,1003.8536,1004.2378,1004.60455,1005.6035,1005.98535,1006.31866,1006.6376,1006.99664,1008.0626,1008.0581,1007.463,1006.9716,1006.66846,1006.2733,1005.8783,1005.5819,1005.77496,1005.49457,1005.30835,1004.9199,1004.71124,1003.982,1002.6614,1001.5354,1000.11444,997.80164,995.8681,993.83746,991.83826,990.4466,990.04504,990.1141,990.22156,992.58325,992.1059,992.2868,991.88324,991.9882,992.07855,992.0913,992.08264,992.26556,992.6477,993.27264,993.7816,994.20654,994.45044,994.4596,995.1203,995.0152,995.33014,995.81805,996.5802,997.19336,997.9258,998.731,998.8991,999.5293,999.8043,1000.09235,999.989,1000.0879,1000.08386,999.9721,999.667,999.4649,999.3621,998.9063,998.5089,998.5717,998.6146,998.23,997.24603,995.5601,995.3772,993.5083,993.00775,992.77545,992.7652,993.0617,993.4279,993.3126,993.3949,993.0878,992.6779,992.58136,992.8671,992.83777,992.7201,992.78516,992.4869,992.2849,993.45294,994.022,993.9295,993.4704,992.97644,992.5878,992.2055,992.28284,992.54425,992.80597,993.1725,993.53674,993.8021,993.7619,993.5217,993.39355,993.2948,993.31067,993.4141,993.6876,994.1496,994.5197,994.8044,994.9997,995.1144,995.26355,995.4298,995.4814,995.30597,995.11725,995.11945,995.51013,996.0919,996.77637,997.47705,998.0829,998.67993,999.05963,999.3315,999.51117,999.6052,999.70624,999.6052,999.2014,998.6962,998.1932,997.68805,997.28174,996.80383,996.3726,995.86835,995.2422,994.278,993.1934,992.30646,991.91565,991.8169,991.92,992.1303,992.44165
2025-11-07 02:13:57+00:00,2025-11-07 00:00:00+00:00,1006.7857,1005.8496,1005.9212,1005.49896,1005.8827,1005.7839,1005.29004,1004.89056,1005.5863,1005.7839,1005.7839,1005.4787,1005.0858,1003.8718,1002.3628,1001.55524,999.7387,998.1193,996.2974,995.4247,994.35065,992.44165,991.44305,991.3358,990.7262,990.0217,988.6425,988.2579,988.17175,988.17175,988.0791,988.1823,988.36096,988.03516,988.45984,989.40967,990.78015,991.6259,992.09656,993.09534,994.05634,994.7015,995.2818,995.9479,997.0005,997.7588,998.7291,999.6782,1000.4026,1002.52014,1002.5179,1002.7134,1002.73285,1002.82275,1002.9742,1003.0641,1002.7677,1002.417,1002.22565,1002.0281,1001.71,1001.7691,1001.3293,1000.93616,1000.1059,999.2019,998.12335,997.1854,997.29266,997.59753,997.4863,997.57855,997.6902,997.6879,997.68396,997.3791,997.0866,997.05066,996.8983,997.0768,995.66547,995.0556,996.22577,995.014,995.785,996.5599,995.76056,996.4699,996.53094,996.1767,995.9813,996.5653,997.1258,997.46216,998.0829,998.732,999.0957,999.163,999.4343,999.3242,999.22076,999.31506,999.5013,999.692,1000.0156,1000.6957,1001.07904,1001.37537,1001.9544,1002.5675,1002.7346,1002.5103,1002.27814,1001.40045,1001.23584,1001.14996,1001.14996,1001.23773,1001.30383,1001.45483,1001.419,1001.3023,1000.9973,1000.50116,999.81854,998.84644,997.9753,997.1107,996.2479,995.47546,994.8827,994.37976,993.89264,993.4376,992.9979,992.547,991.87036,991.084,990.49554,990.2163,990.1342,990.24146,990.5273,991.09894,991.4731,991.6557,991.7373,991.8212,991.80383,991.6878,991.6682,991.84204,992.2133,992.5863,993.1616,993.8396,994.5333,995.157,995.6971,995.93365,995.76215,995.28754,995.09216,995.3713,995.9316,996.48303,996.92194,997.3535
2025-11-08 02:05:16+00:00,2025-11-08 00:00:00+00:00,989.97144,990.25104,990.0217,989.52765,989.1536,989.3826,988.7963,988.60486,989.1641,989.42456,989.85767,990.55585,991.69495,992.7231,993.3811,994.2749,994.7645,995.0735,994.96216,995.82214,997.46185,998.18835,999.3924,1000.3345,1001.0831,1001.2561,1001.61786,1002.19257,1002.4081,1002.325,1002.01526,1002.11176,1001.9815,1001.5641,1001.4584,1001.4584,1001.95013,1001.26776,1000.5899,999.703,998.7288,997.2872,995.68054,994.3715,993.88354,992.89545,992.26874,991.79584,991.82764,995.7265,995.4132,995.512,995.12726,994.24646,993.44354,993.2375,993.0438,992.1709,992.706,992.57043,993.644,993.4376,993.22736,992.75494,992.0484,991.65326,991.84863,991.83777,992.03314,992.1167,992.75995,993.6134,993.9529,993.9258,994.0965,994.1655,994.0533,994.3587,993.9999,993.8874,993.6807,993.66266,993.4583,993.54803,993.8511,994.18365,994.2018,993.93475,993.47906,992.7134,992.538,992.83435,993.5036,994.267,995.20544,996.14984,996.64624,997.15826,997.43384,997.342,997.49054,997.21466,997.1112,997.14276,996.7073,996.19745,995.9956,995.6789,995.4883,994.7159,993.8564,992.8997,991.8509,990.5031,989.5505,989.06085,988.758,988.65485,988.6614,988.86975,989.0739,989.267,989.55255,989.74365,989.74805,989.75446,989.7589,989.95197,990.23975,990.5296,990.9178,991.4074,991.7983,992.2877,992.77734,992.9727,992.77954,992.3909,992.19775,992.48975,992.9772,993.4623,993.9453,994.52454,995.0053,995.3892,995.773,996.0563,996.3301,996.5972,996.8732,997.2592,997.74835,998.14124,998.52496,998.91095,999.3195,999.7758,1000.2538,1000.5158,1000.44556,1000.1577,1000.0545,1000.32916,1000.8842,1001.4348,1001.97375,1002.6062
2025-11-09 02:10:23+00:00,2025-11-09 00:00:00+00:00,999.71704,999.6848,1000.03815,1001.24115,1001.82294,1001.7175,1001.509,1000.9975,1001.4448,1002.0108,1001.6,1002.19037,1002.2914,1001.9973,1001.5191,1001.5327,1000.9575,1000.0953,998.92303,997.9811,997.9193,997.2212,996.13666,995.6493,994.8721,993.99786,993.63043,993.53595,992.85724,992.2749,991.30615,991.32086,992.01904,992.42053,992.85724,993.59393,994.1217,994.52344,994.66345,995.24756,994.6591,994.0838,993.0915,992.68976,992.6683,992.4467,992.2251,992.4975,993.2591,993.7975,993.4566,993.32416,993.196,992.8931,992.78284,992.8816,992.39465,992.4014,992.489,992.58777,992.6728,993.001,992.65295,992.2937,991.72095,991.24274,991.17035,991.64905,992.6191,993.3824,994.41736,995.47925,995.9797,996.39276,996.88226,997.06384,997.22504,997.5759,997.7307,997.4278,997.4368,997.15155,997.0528,997.12024,997.11365,996.66205,996.11633,995.35223,994.57513,993.47314,992.5885,991.8905,991.69727,991.5919,991.5876,991.7938,992.0089,992.0157,992.31647,992.4065,992.2242,992.2242,992.6063,993.1132,993.48627,993.673,994.0615,994.56635,995.24695,995.84393,996.04156,996.0197,996.2282,995.6509,995.7518,995.96716,996.48083,996.8782,997.3411,997.7843,998.23364,998.4965,998.7655,998.94275,999.0323,998.93353,999.0323,999.2277,999.42303,999.81805,1000.3072,1000.99194,1001.4993,1001.94,1002.2005,1002.3505,1002.19073,1001.82196,1001.7298,1002.29395,1003.03326,1003.7765,1004.3351,1004.7031,1004.9767,1004.9631,1004.8575,1004.65295,1004.44403,1004.23254,1004.1203,1004.10425,1004.1866,1004.274,1004.3585,1004.35156,1004.4715,1004.7381,1004.93475,1004.8223,1004.1027,1002.98083,1002.1196,1001.8038,1001.74927,1001.7887,1001.91986,1002.2385
2025-11-10 02:16:04+00:00,2025-11-10 00:00:00+00:00,995.3182,995.53107,994.74915,994.2662,994.861,993.87756,993.8841,994.2855,993.8024,994.37805,994.06635,993.95685,993.7507,993.755,993.16223,993.0741,992.6789,991.6975,990.99493,990.69464,991.06146,991.2308,991.7973,991.96405,992.74554,993.3139,992.782,992.86084,992.73486,992.63184,992.5284,992.5284,992.8337,993.1257,993.3232,993.4173,993.91113,994.00995,993.6351,993.6195,993.3322,993.1571,993.15936,993.1839,993.28485,993.57434,993.9314,994.8203,995.9002,995.5442,995.95966,996.09436,996.0315,996.5432,996.42444,996.6151,996.155,995.944,995.7083,995.412,995.5174,995.2591,994.8143,993.8531,993.27783,991.99365,991.2999,991.10455,991.1925,991.1925,991.50195,991.88824,992.37787,992.57324,992.9575,993.06494,993.0715,993.0715,993.3766,993.7805,993.89264,994.16254,994.371,995.17914,996.1604,996.8406,997.1855,997.42004,997.36005,996.7911,996.9006,997.09186,997.8606,998.4848,999.29047,1000.4133,1000.9747,1001.45276,1001.93524,1002.14856,1002.4404,1002.70276,1002.983,1003.4768,1003.56647,1004.0467,1004.4327,1004.81604,1005.503,1005.97577,1005.88434,1005.56274,1004.9239,1003.95557,1003.3583,1003.038,1002.9942,1002.9521,1002.92316,1002.9951,1002.97284,1002.7547,1002.5392,1002.3282,1002.1193,1001.91486,1002.007,1002.3996,1002.9922,1003.6791,1004.5428,1005.50037,1006.28613,1006.92456,1007.39044,1007.6513,1007.404,1006.95013,1006.6693,1006.75256,1007.00885,1007.3527,1007.7786,1008.39014,1008.72253,1008.7912,1008.5819,1008.3772,1008.07654,1007.7803,1007.484,1007.2839,1007.08636,1006.98553,1006.87726,1006.77155,1006.6893,1006.55457,1006.44244,1006.02124,1005.0808,1003.931,1003.0575,1002.74786,1002.7145,1002.58203,1002.26086,1001.8412
2025-11-11 02:08:26+00:00,2025-11-11 00:00:00+00:00,991.7002,992.74854,992.15594,991.64624,991.0424,991.5342,990.5103,990.23206,990.7328,990.72125,991.2175,990.6091,990.68726,990.568,990.315,990.5396,990.452,990.1626,990.1647,990.75726,991.83044,992.6047,993.3995,994.194,995.3861,996.0728,996.0728,996.26587,996.4679,996.3781,996.40063,996.2931,996.29755,995.80804,995.5117,995.11664,994.8203,994.1492,993.2871,992.9188,992.2647,991.60406,990.6162,990.51746,990.82684,991.31647,991.3055,991.2878,991.4043,993.27124,993.4623,993.37225,993.3831,993.9781,994.49414,995.076,995.3348,995.6312,995.6224,995.81744,996.23254,996.8231,996.91315,996.9263,996.72437,996.3444,996.26575,996.4568,996.8406,997.42676,997.8463,998.8666,999.2927,999.291,999.861,999.9351,999.9122,1000.1902,1000.3764,1000.5692,1000.56696,1000.75543,1000.94824,1001.17786,1001.6807,1002.2385,1002.4969,1002.4691,1002.3116,1001.7361,1001.44855,1001.8393,1002.29834,1002.8133,1003.6213,1004.1888,1004.57025,1004.85297,1005.0413,1004.8391,1004.73584,1004.82776,1004.8208,1005.3099,1005.4064,1005.50037,1005.59,1005.38116,1006.0655,1006.51587,1006.38696,1006.156,1005.5116,1004.55725,1003.88336,1003.8701,1004.234,1004.48816,1004.5305,1004.56323,1004.61414,1004.6989,1004.7034,1004.61414,1004.42346,1004.03503,1003.6494,1003.06604,1002.38135,1001.69904,1001.01685,1000.2335,999.4503,998.5636,997.6747,996.395,994.43085,992.27374,990.51135,989.73236,989.447,989.06085,988.47473,987.78973,987.0064,986.1174,985.23047,984.5631,984.24585,984.2478,984.702,985.66907,987.0873,988.51337,989.8663,991.22986,992.6016,993.9893,995.291,996.3908,997.1917,997.892,998.6802,999.6553,1000.619,1001.67224,1002.7101,1003.73584
2025-11-12 02:10:34+00:00,2025-11-12 00:00:00+00:00,994.2074,992.95886,994.22217,994.33026,994.53217,995.73114,995.03284,995.5029,995.8193,995.6264,995.0338,994.62054,994.3289,994.0439,993.46686,993.10516,992.2756,991.13196,990.2364,990.1376,990.63153,990.7173,990.80725,990.715,990.9213,990.92993,990.83563,991.51404,991.7929,991.659,991.36914,991.75775,992.2161,992.782,993.2805,993.7675,994.2479,994.68335,994.9737,995.60144,996.141,996.32983,996.4308,996.81976,997.5772,998.3499,999.2105,1000.07513,1000.68866,1001.26215,1001.7469,1001.72424,1002.007,1002.02057,1002.2134,1002.58356,1002.6593,1003.0408,1003.12103,1003.21277,1003.70447,1004.1774,1003.89075,1003.37616,1002.645,1001.2025,1000.52814,1000.2231,1000.28284,1000.2172,1000.50555,1000.70526,1000.52344,1000.50555,1000.45593,1000.7966,1000.5852,1000.7966,1000.8057,1000.97595,1000.946,1000.7277,1000.5234,1000.7162,1000.90924,1001.07904,1001.1608,1000.6555,999.83734,998.5046,997.6393,996.65344,996.1247,995.9319,996.0628,995.3579,994.5677,994.04926,993.0393,991.993,991.21155,989.63116,988.25073,986.36505,985.08093,983.8188,982.84216,982.3594,981.9751,982.2976,982.8502,982.9888,983.2221,983.2366,983.62756,984.0904,984.731,985.37585,986.1316,986.8918,987.5526,988.1125,988.4725,988.8434,989.13074,989.42926,989.7165,990.18365,990.63965,991.30383,992.1743,993.05634,993.95905,994.7003,995.46356,995.91876,995.9604,995.8924,995.9031,996.3842,997.04254,997.69434,998.4334,999.26184,999.9077,1000.3808,1000.6727,1000.868,1000.96674,1001.06995,1001.17346,1001.37317,1001.5729,1001.77515,1001.77515,1001.77515,1001.69464,1001.8387,1002.00073,1001.8589,1001.3148,1000.465,999.89197,999.57806,999.5367,999.5978,999.87,1000.24286
2025-11-13 02:27:46+00:00,2025-11-13 00:00:00+00:00,992.3743,992.86615,992.3835,993.47015,993.15155,994.03625,993.145,993.8231,994.79987,994.97284,995.3345,995.83276,996.0506,996.286,996.27106,996.4136,996.6372,996.5666,996.5644,997.2582,998.2332,998.7846,999.5289,1000.2749,1001.0073,1001.4629,1001.3461,1001.63794,1001.5345,1001.73206,1002.02625,1002.22815,1002.71765,1002.6166,1003.1104,1003.5099,1003.8062,1003.9413,1003.5439,1003.4825,1003.1116,1002.3345,1001.71533,1001.6911,1001.8488,1002.2241,1002.2665,1002.44836,1002.8277,1003.8653,1003.5412,1003.33026,1002.72595,1002.7146,1002.5033,1002.69604,1002.5904,1002.1906,1001.99084,1001.6946,1001.6006,1001.76135,1001.04193,1000.4203,999.6747,997.8328,996.7728,995.7187,994.6983,993.68176,992.82526,991.6989,990.6413,989.04535,987.8798,986.3081,984.6464,982.7894,981.1338,979.7748,978.9112,977.9448,977.3818,978.0536,978.134,978.8747,980.3189,980.99365,981.34,980.8375,980.6928,981.0819,981.832,982.6591,983.87604,984.83105,985.3949,985.97424,986.4103,986.5003,986.41705,986.7066,986.53156,986.56256,986.8611,987.1618,987.6469,988.3228,989.1084,990.24396,990.78204,991.21643,991.53485,991.6489,991.8527,992.61926,993.5676,994.5202,995.3892,996.2669,997.044,997.62317,998.00696,998.4852,998.9565,999.5218,1000.0914,1000.7692,1001.44904,1002.14246,1002.64795,1003.06604,1003.5961,1004.2477,1005.0089,1005.5605,1005.6966,1005.6221,1005.7275,1006.00397,1006.4607,1006.9123,1007.55695,1008.39624,1008.9573,1009.258,1009.384,1009.50305,1009.6088,1009.80853,1009.9052,1010.0017,1010.19226,1010.3788,1010.64307,1010.8041,1011.09595,1011.44684,1011.73047,1011.7953,1011.32544,1010.6384,1010.1422,1010.039,1010.02594,1010.1026,1010.2577,1010.4035
2025-11-14 02:11:13+00:00,2025-11-14 00:00:00+00:00,1001.072,1001.54803,1001.9476,1001.7302,1002.0916,1002.8617,1002.26215,1002.6887,1003.728,1003.9164,1004.013,1004.6011,1005.0881,1005.43866,1005.51044,1005.1795,1004.82825,1004.06213,1003.29767,1003.29767,1003.27594,1002.65485,1002.52545,1002.70544,1003.2872,1003.25183,1002.4415,1002.14294,1001.8422,1001.91644,1001.6402,1001.42444,1001.2452,1000.4616,999.6691,999.667,999.75885,999.0923,998.3425,997.49133,996.1329,994.5676,993.0133,991.6433,990.0692,988.17267,986.48676,984.9062,983.4329,985.3181,983.2395,981.1694,979.5076,977.66345,977.0946,976.73596,976.5531,976.4315,976.9191,977.7647,978.5279,979.0114,979.75934,979.9591,979.9591,979.98254,979.9865,980.4531,981.2951,982.12384,983.16254,984.0362,984.61804,984.89453,985.16437,985.03424,985.1108,984.9893,985.3733,985.9189,985.8377,986.24176,986.5449,987.0319,987.9032,988.7222,989.4668,989.9126,990.1518,989.97565,990.5666,991.3547,992.7117,994.0419,995.0841,996.155,997.2124,997.57367,998.06976,998.3774,998.7499,999.1629,999.3516,1000.1594,1000.638,1001.01733,1001.1048,1001.70874,1002.4969,1003.48676,1004.1199,1004.3328,1004.5749,1004.4496,1004.6165,1004.89966,1005.2641,1005.729,1006.29974,1007.06744,1007.63995,1008.1135,1008.4906,1008.78467,1008.91046,1008.9532,1009.0744,1009.25867,1009.6199,1009.9814,1010.4366,1011.0889,1011.58276,1012.05316,1012.4624,1012.6473,1012.2896,1011.6088,1011.20917,1011.28186,1011.63513,1011.9884,1012.3455,1012.6058,1012.87964,1012.9809,1013.0953,1013.09973,1013.08417,1012.958,1012.9332,1013.1123,1013.29395,1013.48,1013.4664,1013.4571,1013.3812,1013.5577,1013.6633,1013.55206,1012.91064,1011.9532,1011.27014,1010.9522,1010.9065,1010.8604,1010.8162,1010.8681
