forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:45:04+00:00,2025-11-05 00:00:00+00:00,5.9474998,5.1475,3.9475,3.1975,2.5475001,1.9975,1.6474999,1.5975,1.5475,1.4975,1.7475,2.2475002,2.3975,4.1974998,6.1475,6.8475,7.9975,8.7975,7.4474998,6.9474998,6.1475,5.8475,5.3975,5.1974998,4.8475,4.1475,2.8475,2.3475,3.0475001,3.2975001,3.2975001,3.2975001,3.2475002,2.9475,2.3975,1.4475,1.0475,1.1975,2.0975,2.8975,3.3475,3.4975002,2.9475,2.8475,2.5475001,1.8974999,1.2475,0.9975,0.7475,-1.0,-1.2,-1.3,-1.1,-1.3,-1.05,-0.65,0.45,1.25,2.05,2.25,2.55,3.75,5.15,6.7,8.3,7.9,6.35,6.05,6.15,6.75,7.2,7.5,8.0,8.7,9.05,9.05,9.1,9.3,9.15,9.45,9.6,9.7,9.25,7.9,6.8,7.15,6.25,5.2,4.55,5.55,5.55,4.85,4.35,3.75,3.25,2.75,2.0,0.35,-0.35,-0.7,-0.35,-0.4,0.3,0.4,0.25,0.0,-0.95,-0.45,-0.4,0.95,0.6,0.8,0.8,0.65,1.05,1.2,1.4,1.6,1.95,2.3,2.55,2.65,2.65,2.35,1.55,0.45,-0.45,-1.0,-1.4,-1.75,-2.1,-2.45,-2.55,-2.3,-1.85,-1.45,-1.2,-1.0,-0.95,-1.05,-1.2,-1.5,-1.9,-2.4,-2.8,-3.0,-3.05,-3.05,-2.95,-2.8,-2.5,-2.05,-1.45,-1.05,-1.05,-1.15,-1.05,-0.45,0.4,1.2,1.95,2.6,2.95,2.75,2.25,1.75,1.5,1.25
2025-11-06 02:39:07+00:00,2025-11-06 00:00:00+00:00,3.3975,3.2975001,2.7475002,2.5975,2.8975,3.2475002,3.2975001,3.3475,3.5475001,3.4975002,3.0475001,2.3475,1.1474999,1.8475,2.3475,2.7975001,2.7475002,2.2475002,2.7975001,2.2475002,2.0475001,1.4475,0.94750005,0.94750005,0.4475,0.047500003,-0.052500002,-0.1525,0.14750001,0.3475,0.4975,0.8475,0.64750004,0.5475,0.5475,0.7975,0.94750005,1.9475,3.9975002,4.1475,5.2974997,6.0474997,7.6475,8.747499,7.1475,6.8475,7.0474997,7.2475,7.5975,8.9,9.25,9.9,10.3,10.35,10.3,9.5,9.05,8.75,8.2,7.4,6.75,5.2,4.75,4.25,4.25,4.3,4.8,5.1,5.35,5.1,4.65,4.45,4.25,4.0,3.7,2.85,2.1,1.35,1.9,1.95,1.9,1.95,2.15,2.35,2.3,1.95,1.65,1.4,2.5,2.55,2.95,2.3,1.9,2.1,1.85,1.85,1.9,1.8,1.9,2.1,2.25,2.3,2.3,2.35,2.25,1.4,1.15,0.7,0.2,0.1,-0.05,-0.05,0.1,0.1,-0.4,-0.7,-1.05,-1.4,-1.75,-2.1,-2.45,-2.8,-3.1,-3.5,-4.0,-4.6,-4.95,-5.0,-4.9,-4.7,-4.5,-4.25,-3.8,-3.05,-2.15,-1.25,-0.35,0.55,1.15,1.4,1.35,1.25,1.0,0.65,0.4,0.35,0.35,0.25,-0.1,-0.5,-0.7,-0.45,0.05,0.45,0.55,0.6,0.85,1.65,2.7,3.35,3.15,2.55,2.4,3.2,4.45,5.3,5.3,4.85
2025-11-07 02:35:39+00:00,2025-11-07 00:00:00+00:00,-0.1025,-0.7525,-0.55249995,-0.7025,-0.9025,-0.45250002,-0.4025,-0.5025,-0.5025,-0.3525,-0.0024999976,0.1975,0.2475,1.4975,3.7975001,5.3475,6.7974997,6.9975,6.7475,7.4975,7.3975,6.4474998,6.2974997,6.1475,7.9474998,8.7975,8.8475,9.0475,9.5475,9.497499,9.3475,9.3475,8.8975,8.0975,4.9474998,2.9975002,2.0475001,1.3475,0.89750004,0.5475,0.5975,0.9975,0.69750005,0.4475,0.2475,-0.1525,-0.3025,-0.2525,-0.2525,2.6,2.05,1.65,1.95,1.85,0.6,0.4,0.75,0.6,1.05,1.5,1.1,1.15,1.35,2.5,2.55,3.9,4.35,4.55,4.35,4.9,5.25,5.65,3.25,2.15,1.8,1.55,1.5,1.3,0.9,0.75,0.45,-0.2,-0.7,-0.85,-0.95,-1.0,-0.15,0.5,0.7,0.6,0.35,-0.05,-0.6,-0.6,-1.0,-1.75,-2.2,-2.75,-3.35,-3.8,-4.15,-3.85,-4.5,-4.6,-4.7,-4.5,-4.65,-4.65,-4.45,-3.3,-1.7,-0.2,1.55,3.05,4.1,4.35,4.1,3.7,3.15,2.45,2.0,2.05,2.35,2.45,2.15,1.7,1.45,1.55,1.8,2.15,2.6,3.1,3.35,2.9,2.2,2.25,3.9,6.35,7.95,7.95,7.1,6.35,5.9,5.55,5.2,4.9,4.6,4.3,3.95,3.6,3.2,2.75,2.3,1.75,0.9,-0.05,-0.5,0.0,1.05,1.9,2.3,2.5,2.5,2.4,2.1,1.6,0.6,-0.65
2025-11-08 02:23:52+00:00,2025-11-08 00:00:00+00:00,7.1475,7.6974998,8.4475,8.6475,8.997499,9.3475,9.3475,9.3975,8.7975,7.7974997,7.2475,6.1475,3.2475002,2.8475,2.8475,2.4975002,2.2975001,1.9975,1.9975,1.8475,1.5975,1.2475,0.7475,0.5975,0.14750001,-0.1525,-0.1025,-0.1025,-0.0024999976,-0.1025,-0.20250002,-0.2525,-0.3025,-0.3525,-0.45250002,-0.6525,-0.7025,-0.9025,-1.2525,-1.3025,-1.5525,-1.7525,-1.4525,-1.6525,-1.4525,-1.7025,-2.1525,-2.0525,-1.7525,1.65,2.0,6.1,4.75,1.15,0.65,-0.2,-0.95,-1.25,-1.5,-1.8,-2.35,-2.55,-2.45,-1.85,-1.65,-1.6,-1.65,-1.75,-1.85,-2.1,-2.35,-2.65,-2.85,-3.35,-3.95,-4.5,-5.3,-5.95,-6.3,-6.55,-6.55,-6.4,-6.5,-6.4,-6.25,-5.7,-4.9,-3.9,-3.35,-2.55,-2.1,-1.65,-1.9,-1.7,-2.05,-2.9,-3.35,-3.4,-3.65,-3.35,-3.35,-3.55,-2.5,-2.35,-1.8,-0.7,0.55,0.55,0.5,0.45,1.0,1.5,1.65,2.15,2.7,2.55,2.15,1.85,1.85,1.95,2.1,2.4,2.8,3.0,2.95,2.75,2.45,2.05,1.6,1.2,0.9,0.7,0.6,0.75,1.0,1.2,1.3,1.4,1.35,1.15,0.8,0.55,0.4,0.3,0.15,0.0,-0.15,-0.4,-0.85,-1.4,-1.85,-2.0,-2.05,-2.2,-2.75,-3.4,-3.5,-2.45,-0.85,0.45,1.1,1.45,1.5,1.2,0.65,0.1,-0.3,-0.65
2025-11-09 02:44:37+00:00,2025-11-09 00:00:00+00:00,-1.3025,-1.7025,-1.4525,-1.5025,-1.5025,-2.0525,-2.6025,-2.0024998,-1.2025,-1.1025001,-0.9524999,-0.80249995,-0.6525,-0.5025,-0.4025,-0.3525,-0.052500002,-0.20250002,-0.55249995,-0.7025,-0.9524999,-1.1025001,-1.2025,-1.5025,-1.5525,-1.4525,-1.1025001,-0.5025,-0.1525,-0.45250002,-0.55249995,-1.4025,-2.4025,-3.0525,-3.7024999,-4.0525002,-4.3525,-4.4025,-4.2525,-4.0025,-3.7024999,-3.3025,-3.5024998,-3.6025,-3.6525,-3.9525,-4.1525,-4.2525,-4.1525,-3.5,-3.9,-4.6,-5.7,-6.6,-6.9,-7.0,-7.0,-6.95,-6.95,-6.95,-6.9,-6.1,-4.8,-3.85,-3.2,-3.05,-2.55,-2.5,-2.0,-2.45,-4.2,-6.4,-6.05,-5.2,-6.2,-5.75,-5.15,-4.25,-3.15,-1.85,-2.0,-2.25,-0.85,0.5,0.05,0.4,0.85,1.5,1.9,2.45,2.7,2.5,2.0,1.5,1.1,1.45,1.95,2.05,1.85,2.0,1.75,1.5,0.7,1.2,0.8,-0.15,-1.05,-0.95,-1.6,-1.05,0.45,1.45,2.05,2.4,2.3,2.1,1.7,1.3,1.0,0.75,0.25,-0.65,-1.75,-2.65,-3.05,-3.25,-3.5,-3.9,-4.35,-4.65,-4.9,-5.0,-4.7,-3.6,-2.05,-0.75,0.05,0.6,0.85,0.7,0.2,-0.5,-1.55,-2.85,-3.75,-3.95,-3.8,-3.75,-3.95,-4.2,-4.45,-4.7,-4.9,-5.05,-5.2,-5.25,-4.9,-3.85,-2.4,-1.15,-0.35,0.2,0.55,0.75,0.75,0.45,-0.4,-1.5
2025-11-10 02:38:02+00:00,2025-11-10 00:00:00+00:00,-1.1525,-0.9025,-1.4525,-1.3025,-0.9524999,-0.55249995,-0.60249996,-1.0025,-1.3525001,-2.0525,-2.6025,-2.8525,-3.1525,-3.0525,-2.8525,-2.7524998,-2.4025,-2.2024999,-2.5024998,-2.7524998,-2.7024999,-2.8525,-3.2024999,-3.5525,-3.8025,-4.0025,-4.2025003,-4.3025002,-4.3025002,-4.5025,-4.6025,-4.7525,-4.9025,-5.1025,-5.2525,-5.4025,-5.4525003,-5.2025003,-5.0025,-4.6525,-4.2025003,-2.7524998,-1.7525,-1.2025,-1.0025,-1.7025,-2.2524998,-2.0024998,-2.2524998,-5.0,-4.95,-5.25,-5.35,-5.65,-4.6,-2.3,-3.4,-1.75,-0.7,0.2,0.0,0.0,0.15,0.3,0.4,0.55,0.65,0.75,0.8,0.8,0.6,0.6,0.4,0.6,0.95,0.75,0.2,0.85,0.95,0.8,0.65,0.7,0.5,0.25,0.1,0.1,0.25,0.55,0.9,0.75,0.8,0.85,0.8,0.65,0.3,0.35,-0.55,-3.4,-3.3,-2.5,-3.15,-3.25,-3.75,-5.85,-7.15,-7.7,-7.8,-6.55,-6.5,-4.5,-2.3,-0.8,0.05,0.65,0.65,0.65,0.4,0.15,-0.05,-0.3,-0.55,-0.7,-0.85,-1.3,-2.25,-3.5,-4.9,-6.5,-8.2,-9.45,-10.3,-10.7,-10.15,-8.0,-4.85,-2.4,-1.15,-0.55,-0.35,-0.55,-1.2,-2.1,-3.5,-5.15,-6.55,-7.45,-8.0,-8.5,-8.9,-9.15,-9.35,-9.45,-9.45,-9.5,-9.95,-10.4,-10.0,-7.9,-4.85,-2.45,-1.2,-0.55,-0.35,-0.65,-1.4,-2.2,-2.95,-3.75
2025-11-11 02:25:57+00:00,2025-11-11 00:00:00+00:00,-2.6525,-2.8525,-3.1025,-3.3025,-3.6025,-3.6525,-3.9025,-4.1025,-4.3525,-4.5525002,-4.7525,-4.9025,-4.9525003,-4.7525,-4.5025,-4.0525002,-3.8525,-3.9525,-3.8525,-3.7024999,-3.0525,-2.8525,-2.6025,-2.1525,-1.7525,-1.4025,-0.9025,-2.0525,-3.5024998,-2.7524998,-2.3025,-1.8525001,-1.6525,-1.1025001,-0.7025,-0.6525,-0.45250002,-0.1525,0.3475,1.1975,1.2475,1.6975,2.0475001,2.0975,1.5475,1.3475,1.1975,1.5475,1.5475,0.85,1.25,1.1,1.0,0.8,0.75,0.7,0.15,-2.85,-4.25,-3.65,-4.1,-1.75,0.0,0.5,1.35,1.0,1.35,1.6,1.3,0.95,0.5,0.3,-1.0,-1.55,-3.3,-4.5,-5.5,-6.2,-6.35,-4.8,-5.0,-5.7,-5.95,-6.3,-7.5,-5.8,-2.7,-0.5,0.3,0.5,0.65,0.75,0.45,-0.9,-2.5,-3.15,-4.4,-5.1,-5.9,-6.2,-6.85,-7.6,-7.7,-8.0,-8.25,-8.25,-8.65,-8.45,-8.45,-6.7,-4.05,-2.3,-1.4,-0.9,-0.55,-0.65,-1.1,-1.8,-2.9,-4.2,-5.1,-5.2,-4.85,-4.5,-4.35,-4.2,-3.85,-3.1,-2.15,-1.35,-0.9,-0.65,-0.4,0.0,0.35,0.7,0.95,1.1,1.25,1.45,1.65,1.75,1.8,1.75,1.7,1.65,1.55,1.4,1.05,0.65,0.5,0.75,1.25,1.65,1.75,1.8,1.75,1.7,1.6,1.55,1.65,1.75,1.75,1.65,1.4,0.75,-0.6,-2.3
2025-11-12 02:29:07+00:00,2025-11-12 00:00:00+00:00,-1.1525,-0.60249996,-0.3525,-0.9524999,-3.1025,-3.3525,-2.2024999,-1.2525,-1.1025001,-0.2525,-0.3025,-0.3525,-0.1525,-0.20250002,0.1975,0.7975,0.89750004,1.0975,1.6474999,1.9975,1.6474999,1.2475,0.64750004,0.7975,1.4975,1.3974999,1.2475,0.5975,0.3475,0.2975,0.2475,0.2475,0.1975,0.2475,0.1975,0.1975,0.1975,0.14750001,0.14750001,0.1975,0.2975,0.5975,0.4975,0.3975,0.3975,0.2975,-0.052500002,-0.20250002,-0.60249996,-1.15,-0.1,0.0,-2.15,-3.9,-4.65,-4.95,-5.15,-5.2,-5.35,-5.4,-5.4,-3.9,-1.65,0.05,1.2,1.95,2.0,1.4,1.0,0.45,0.15,-0.15,-0.45,-1.2,-3.35,-4.15,-4.3,-4.6,-4.9,-5.35,-5.55,-5.6,-5.7,-5.7,-5.8,-4.4,-2.6,-1.25,0.0,0.8,1.15,0.95,0.85,0.3,-0.05,-0.15,0.0,0.0,-1.0,0.15,0.1,0.35,0.3,0.45,0.7,0.65,0.75,1.0,1.3,1.75,2.35,2.85,3.75,5.4,4.65,4.25,3.4,2.55,1.85,1.15,0.45,-0.2,-0.85,-1.35,-1.65,-1.85,-2.05,-2.25,-2.4,-2.55,-2.9,-3.25,-3.2,-2.4,-1.2,-0.15,0.65,1.3,1.6,1.45,0.9,0.3,-0.45,-1.3,-1.95,-2.25,-2.35,-2.45,-2.65,-2.85,-3.05,-3.2,-3.3,-3.4,-3.6,-3.8,-3.55,-2.4,-0.8,0.5,1.35,1.9,2.05,1.6,0.75,-0.05,-0.7,-1.35
2025-11-13 02:46:41+00:00,2025-11-13 00:00:00+00:00,1.7975,2.2475002,1.8475,1.4475,1.0475,0.7475,0.5475,0.3475,-1.1025001,-1.3525001,-1.2025,-1.2525,-1.8025,-1.2525,0.64750004,1.5975,1.8974999,1.8475,2.3975,2.1475,1.5475,0.7975,0.3475,-0.0024999976,-0.2525,0.1975,-0.5025,-1.0525,-1.5025,-1.9525,-3.0024998,-2.7524998,-3.0024998,-2.7524998,-2.9025,-3.1025,-3.2524998,-2.8025,-1.3525001,-0.3025,0.64750004,0.7475,0.5975,0.1975,-0.1525,-0.1525,-1.0025,-1.5025,-2.5024998,-3.65,-4.1,-4.85,-5.0,-5.05,-5.05,-5.05,-5.0,-5.0,-5.0,-4.65,-4.0,-2.85,-1.2,-0.05,0.3,1.55,1.9,0.85,1.65,1.2,0.55,0.6,1.15,1.1,1.6,2.05,2.05,2.6,5.4,7.6,8.7,7.75,7.05,6.1,4.45,3.5,3.45,4.05,4.35,4.0,3.25,2.95,2.1,0.8,-0.35,-0.2,-1.1,-1.5,-1.7,-1.85,-1.5,-1.2,-1.15,-1.5,-1.05,-0.9,-1.5,-1.45,-2.05,-1.7,-0.55,0.4,1.1,1.5,1.55,1.5,1.2,0.75,0.0,-0.95,-1.7,-2.05,-2.2,-2.25,-2.25,-2.2,-2.2,-2.4,-2.65,-2.7,-2.5,-2.1,-1.5,-0.55,0.6,1.6,2.3,2.8,3.0,2.75,2.25,1.75,1.4,1.1,0.85,0.7,0.65,0.55,0.45,0.35,0.2,-0.05,-0.4,-0.7,-1.2,-1.65,-1.55,-0.4,1.3,2.7,3.5,3.95,4.0,3.55,2.7,1.85,1.05,0.3
2025-11-14 02:30:20+00:00,2025-11-14 00:00:00+00:00,1.5975,1.4975,0.7975,-0.1525,-1.2025,-1.2525,-1.3025,-1.3525001,-1.3525001,-1.2525,-1.2525,-1.3025,-1.2525,-0.9524999,0.7475,1.7475,2.6475,3.4475,3.8975,4.0475,2.2475002,1.7975,0.69750005,0.69750005,0.4475,-0.1025,-0.1525,-0.6525,-0.1525,-0.2525,-0.20250002,-0.20250002,-0.55249995,-0.7525,-0.5025,-0.1525,-0.052500002,-0.052500002,0.5475,1.1975,1.7975,2.5975,3.2475002,3.6975,3.0475001,2.5475001,2.4475,2.8475,3.1475,1.05,1.2,1.2,1.0,1.25,1.4,1.85,2.3,3.2,3.45,3.15,3.2,2.7,2.15,2.75,2.15,1.65,1.8,1.6,1.1,0.35,-0.25,-0.5,-1.4,-1.8,-2.0,-2.1,-2.35,-2.65,-2.95,-2.95,-3.2,-3.2,-3.25,-3.3,-3.4,-2.55,-1.45,-0.4,0.25,0.9,1.2,1.45,1.35,1.05,0.8,0.7,0.65,0.4,0.15,0.05,-0.85,-1.65,-1.85,-1.6,-1.55,-1.5,-1.35,-1.45,-2.05,-1.4,0.15,1.65,2.6,3.05,2.85,2.4,1.6,0.75,-0.1,-0.95,-1.4,-1.2,-0.65,-0.2,0.0,0.1,0.2,0.3,0.35,0.3,-0.1,-0.6,-0.65,0.25,1.65,2.75,3.25,3.5,3.4,2.9,2.1,1.45,1.15,1.05,0.95,0.85,0.75,0.7,0.65,0.65,0.65,0.6,0.55,0.5,0.25,0.0,0.15,1.05,2.35,3.45,4.2,4.75,4.85,4.3,3.25,2.25,1.3,0.3
