forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:54+00:00,2025-11-05 00:00:00+00:00,9.867499,8.867499,7.8175,7.0175004,6.4175,5.9675,5.0675,4.8175,5.1175003,5.6675,6.5675,7.6175003,8.0175,8.9175,11.7175,14.2175,16.1175,17.2175,17.7175,17.7675,15.7675,12.8175,11.4175,9.867499,8.7175,7.2675004,5.7675004,4.5675,3.8675,3.0175,2.8174999,2.2175,2.4175,1.8675,1.4675,0.8175,0.2675,-0.0325,3.1175,6.7175,9.2175,11.0175,12.0675,12.6675,13.0175,12.9675,11.367499,8.867499,7.1175003,7.7305,7.8305,7.9805,8.0305,7.9305,8.080501,8.330501,8.4305,9.080501,9.7805,10.4805,11.2305,12.2805,12.6805,13.6305,14.3805,14.0305,13.6305,13.330501,13.5305,14.7305,14.1305,12.9305,12.0305,11.4305,10.7805,10.6305,9.9305,8.7805,8.0305,7.3805003,6.9805,6.3805003,5.7305,6.1805,6.2805004,6.5305004,7.0305004,7.7305,8.2805,8.1805,8.2305,8.3805,8.4305,8.5305,7.5805,6.6805,7.1805,6.5305004,7.1305003,7.0805,6.8805003,6.7305,6.9805,6.7305,6.3805003,2.2805,1.0304999,1.2305,1.4305,1.1305,1.1805,1.5304999,2.2805,2.6805,2.6805,2.4305,1.9305,1.2305,0.28050002,-0.7695,-1.5195,-1.6695,-1.4695001,-1.3195,-1.3695,-1.4195,-1.6695,-2.1695,-2.8195,-3.2695,-3.3695,-3.2195,-2.9695,-2.5695,-1.9695001,-1.2695,-0.2695,0.88049996,1.6805,1.9305,1.8305,1.5805,1.2305,0.6805,0.1305,-0.46949998,-1.1195,-1.6695,-2.0695,-2.3695,-2.6695,-2.9195,-3.1695,-3.4195,-3.8195,-4.2194996,-4.0695,-3.0695,-1.5695,-0.0695,1.2804999,2.5805,3.5305,4.0305004,4.2305,4.1305003,3.5805,2.7305
2025-11-06 02:16:08+00:00,2025-11-06 00:00:00+00:00,8.9175,7.7675004,6.2175,5.1175003,4.4175,4.1175003,4.0175004,3.8675,3.4675,2.7175,2.1675,1.5675,0.8175,0.9675,4.7175,8.0175,10.6675,12.367499,13.1675,13.7675,13.867499,13.7175,11.9175,9.4675,7.5675,6.2675004,6.1675,6.1675,6.4675,6.7175,6.3175,6.0175004,6.3675003,6.8675003,8.1675,9.6675,6.8175,8.617499,9.4675,10.2675,11.117499,11.8175,12.0175,13.2675,13.0175,12.617499,11.1675,9.867499,9.5175,11.4305,10.6305,9.9805,9.4305,8.4805,7.3305,6.6805,5.9805,5.5805,5.2305,5.0305004,4.8805003,5.4305,7.3805003,8.7805,9.4305,9.4805,9.3805,9.3805,9.2305,9.3805,8.9805,7.4305,6.5305004,7.6305003,6.9305,6.5805,6.8805003,6.3305,6.3805003,6.4805,6.4805,6.5305004,6.6305003,3.2805,1.6305,1.5805,1.6805,2.0305,2.2305,2.5305,3.2305,3.4805,4.1305003,3.0805,1.7305,0.1805,0.5805,-0.0695,-0.3195,-0.4195,-0.9695,-1.9695001,-2.3695,-2.5195,-1.9695001,-1.6695,-2.4695,-3.2695,-3.5695,-3.5695,-2.9195,-1.6695,-0.5195,0.4805,1.3805,1.1305,0.38050002,-0.36949998,-0.9195,-1.4695001,-1.9195,-2.2695,-2.5695,-2.7695,-2.7695,-2.7195,-2.7195,-2.9195,-3.2695,-3.5695,-4.0195,-4.5195,-4.5195,-3.7195,-2.4195,-1.1695,0.0305,1.2305,2.0805,2.3805,2.3805,2.4805,2.9305,3.5305,4.0305004,4.3305,4.5305004,4.7805004,5.0805,5.4305,5.6305003,5.6305003,5.4805,5.2805004,4.9805,4.6305003,4.6305003,5.1805,6.0305004,7.1305003,8.580501,10.1805,11.330501,11.6805,11.5305,11.080501,10.1305,8.8805
2025-11-07 02:14:12+00:00,2025-11-07 00:00:00+00:00,8.2675,6.7175,6.3675003,6.3675003,7.0675,6.7175,7.0175004,6.5175004,6.2675004,6.4675,7.6675,8.9175,9.5175,8.117499,8.617499,9.617499,11.1675,12.1675,12.2675,13.4175,13.9175,13.3175,11.5175,9.7675,9.0175,8.8175,8.1675,7.1675,6.2675004,5.9675,6.0175004,5.7675004,5.6175003,5.5175004,5.2675004,4.9675,4.1175003,4.1175003,4.2175,4.5675,4.2675004,4.8675003,5.5675,5.8175,5.7175,5.5175004,5.0675,4.2175,4.3175,8.6305,7.9305,7.1305003,6.7305,7.1805,7.8305,7.7305,5.7305,5.0805,2.9305,2.1805,1.7804999,1.9805,2.4305,3.0305,3.8305,4.1305003,4.6805,5.3805003,5.2305,3.9305,2.5805,1.7305,0.7305,-0.3195,-1.1195,-1.7195001,-2.3195,-2.6195,-2.5195,-2.4195,-2.8195,-2.8695,-2.8195,-2.4695,-2.4695,-2.0195,-0.61950004,0.7305,1.7804999,2.9805,3.5805,3.4805,3.5805,2.9305,1.9305,0.88049996,0.0805,-0.9195,-1.6695,-1.8695,-2.0695,-2.0195,-2.3695,-2.6195,-2.6695,-2.8195,-3.2695,-3.2195,-3.1695,-2.2195,-0.0695,1.6305,2.8305,3.4305,3.7805,4.5305004,5.2805004,5.8805003,6.1805,6.2805004,6.3805003,6.5805,6.7805004,6.9305,7.0805,7.1805,7.1805,6.9805,6.6805,6.3805003,6.0305004,5.6805,5.7305,6.2805004,7.2305,8.4305,10.2305,12.2805,13.580501,13.6305,12.9305,12.0305,10.9305,9.580501,8.4805,7.8805003,7.4805,6.9805,6.1805,5.2805004,4.4305,3.6805,2.9805,2.3805,1.7305,1.1805,1.2804999,2.3805,4.1305003,5.7305,7.0305004,8.1305,8.830501,8.9805,8.6805,7.9805,6.6805,4.9805
2025-11-08 02:05:28+00:00,2025-11-08 00:00:00+00:00,11.617499,10.2175,8.9175,7.7175,7.1175003,6.4675,6.1175003,6.9675,6.3675003,5.5675,4.7175,5.2175,5.3675003,5.4675,5.9175,6.0175004,6.0675,6.2175,6.6175003,6.1675,5.7175,5.5675,5.1675,4.9175,4.6175003,4.4675,4.3175,4.0675,3.0175,2.3675,2.2175,1.9175,1.3675,1.0675,0.4175,0.2675,0.1675,-0.0325,-0.1325,0.11750001,0.4175,0.6675,0.51750004,0.6675,0.6675,0.1675,0.0675,0.1675,-0.2325,-1.0195,-1.4195,-2.3195,-3.1195,-3.3195,-3.0195,-2.1695,-2.7695,-3.5195,-3.6695,-3.7695,-3.1195,-4.1194997,-2.4695,-1.9195,-1.1195,-0.86950004,-0.5195,-0.16950001,-0.0695,-0.119500004,-1.9195,-3.4195,-3.2195,-3.0195,-2.5695,-2.6695,-1.5695,-2.4695,-2.6195,-2.4695,-2.4195,-2.6695,-3.2195,-3.4195,-3.2195,-2.7695,-1.5195,-0.36949998,1.0805,2.2305,3.2805,4.2305,3.5305,1.1305,-0.16950001,0.4305,1.7804999,2.2305,2.6305,3.5305,4.1305003,4.6805,5.0305004,5.2805004,5.2305,5.0305004,4.3305,4.0305004,3.4305,3.3805,4.2305,5.8305,6.8305,7.2305,7.1305003,7.0805,6.8305,6.4805,6.1305003,5.7805004,5.2805004,4.6305003,3.9305,3.3305,2.9305,2.6305,2.3305,2.0305,1.7804999,1.5304999,1.1805,0.88049996,0.9805,1.8305,3.1805,4.4305,5.6305003,6.7305,7.4805,7.7305,7.5305004,6.9805,5.7805004,4.2305,2.9805,2.3805,2.1305,1.9305,1.6305,1.3805,1.1305,0.9305,0.7805,0.63049996,0.3305,-0.0195,0.1805,1.1805,2.6305,4.1805,5.7805004,7.4805,8.7805,9.6805,10.1805,10.1805,9.2805,7.8305
2025-11-09 02:10:34+00:00,2025-11-09 00:00:00+00:00,4.6175003,4.6175003,4.3175,4.1675,4.4175,3.7175,3.4175,2.2675,2.0674999,1.8675,1.4675,0.61749995,0.2675,0.2175,0.2675,0.2675,0.4175,0.4675,0.6675,1.4675,2.4175,2.3675,1.3175,0.11750001,-0.082499996,-0.3325,-0.4325,-0.4325,-0.4825,-0.3825,-0.4325,-0.3825,-0.3325,-0.3825,-1.0825,-1.6325,-3.2325,-4.3824997,-4.5825,-2.9825,-2.2325,-1.3325,-0.6825,-0.4325,-0.5325,-0.63250005,-1.9325,-3.0825,-2.7825,-3.4695,-2.9695,-2.7695,-2.6195,-1.7695,-1.7195001,-2.7195,-3.4195,-4.4195,-4.2695,-4.6194997,-4.8694997,-4.5695,-3.5695,-2.3195,-1.1695,-0.2195,0.3305,0.7305,0.28050002,-0.119500004,-0.61950004,0.0805,1.1305,1.3305,1.3805,2.1305,2.6805,2.9305,2.8805,2.9305,3.0305,2.9305,2.6305,2.1805,1.8305,1.5805,1.7305,2.3305,3.0805,4.4805,5.1805,5.5805,5.3305,4.6805,3.8805,3.2805,3.2305,3.1805,2.9805,2.6305,2.4805,2.5805,2.3305,2.2305,1.7305,1.2804999,1.0805,0.8305,0.5805,0.8305,2.8805,5.1305003,7.0305004,8.4305,9.1805,9.4305,9.1305,8.4305,7.0305004,5.2305,3.8805,3.4805,3.5805,3.6805,3.6305,3.5305,3.4305,3.3305,3.1805,3.0305,2.7305,2.3805,2.5305,3.4305,4.7805004,6.1305003,7.5305004,8.9305,9.9805,10.4805,10.580501,10.2305,9.2305,7.7805004,6.6305003,6.1305003,5.8805003,5.7805004,5.7305,5.7305,5.8305,5.9305,6.0805,6.2305,6.3305,6.4305,6.7305,7.1805,7.7805004,8.830501,10.6805,13.0305,14.8805,16.030499,16.7305,16.880499,16.0805,14.6805
2025-11-10 02:16:21+00:00,2025-11-10 00:00:00+00:00,-0.0325,-0.3325,-0.4825,-0.3325,-0.3325,-0.4325,-0.4825,-0.63250005,-0.9325,-1.6325,-3.0325,-3.5825,-3.2325,-3.3325,-3.0325,-2.3825,-1.8825,-1.5325,-1.2325001,-1.1825,-1.2325001,-1.5325,-2.6325,-3.3825,-3.4325001,-3.4325001,-3.3325,-3.4325001,-3.6825001,-3.5325,-2.9825,-2.7325,-2.1325,-2.2325,-1.6825,-0.5325,-1.2325001,-1.5325,-1.4825001,-0.98249996,-0.4325,-0.082499996,1.0174999,1.2674999,2.3174999,2.2675,1.2175,2.3174999,2.6175,1.2804999,1.4805,1.6305,2.0805,2.2305,2.3805,2.2805,1.9805,1.5805,1.3805,1.2305,1.2305,1.7804999,2.0305,2.8305,3.6305,4.9305,5.6805,5.3805003,4.9305,4.7305,4.7305,4.3305,3.7305,1.4305,0.88049996,0.6805,0.4805,0.4805,0.4805,0.5305,0.7305,0.5305,0.5305,0.4305,0.3305,0.9305,2.8805,5.3305,7.3305,8.5305,9.330501,9.580501,9.5305,8.8805,6.4805,5.0305004,4.2805004,4.0805,4.6805,5.2805004,5.5305004,5.7805004,5.8805003,5.3305,4.9805,4.5305004,3.9805,3.5805,3.1805,3.3805,5.3805003,5.9305,6.7305,8.1805,9.1805,9.580501,9.7305,9.6305,9.330501,8.830501,8.4305,8.330501,8.330501,8.330501,8.3805,8.3805,8.2805,7.8805003,7.3305,6.8805003,6.5805,6.4305,6.3305,6.3805003,6.4805,6.5805,6.6305003,6.6305003,6.6805,6.7305,6.8305,6.8305,6.7805004,6.6805,6.5805,6.5305004,6.4805,6.3805003,6.2305,6.0305004,5.9305,6.0805,6.2805004,6.4805,6.4805,6.4305,6.5305004,6.8805003,7.3305,7.7805004,8.1305,8.5305,8.9805,9.7305,10.5305,11.0305,10.9305,10.4805
2025-11-11 02:08:37+00:00,2025-11-11 00:00:00+00:00,-2.1825001,-1.9325,-2.0825,-2.6825001,-2.6325,-2.3325,-2.3825,-2.2825,-1.8325,-1.7325001,-2.0825,-2.3325,-2.5325,-2.7325,-2.1825001,-1.4325,-0.73249996,0.1675,0.6675,0.8175,1.2674999,1.7674999,1.7674999,0.51750004,0.9175,0.8175,0.51750004,0.51750004,0.86749995,2.3675,2.6675,2.1675,1.8175,2.1175,2.4675,1.9675,1.6175,1.6175,3.7175,5.2675004,6.4175,7.6175003,8.117499,8.5675,8.5675,8.117499,6.6675,4.7675004,3.7675,2.9305,2.9805,2.8805,2.9305,3.1805,3.0305,2.6805,2.4805,2.5805,2.4305,2.4805,1.7305,1.6805,4.0305004,6.7805004,8.830501,9.9305,10.4805,10.6805,10.4805,9.7305,7.6305003,5.3805003,4.5805,4.1805,4.0805,4.0305004,4.1305003,4.7805004,5.2305,5.1305003,4.3805003,4.1805,3.7805,3.9805,3.3805,3.3805,5.3305,7.2805004,8.830501,10.2305,11.1305,11.6305,11.830501,11.5305,9.1305,7.4805,6.5805,5.7805004,5.1305003,4.6805,4.1805,3.7305,3.3805,3.1805,2.9805,2.7305,2.4805,2.3805,2.5805,2.8805,5.0305004,7.4805,9.5305,11.2805,11.330501,12.1805,12.7805,13.080501,12.830501,12.2805,12.0305,12.4805,13.1805,13.830501,14.1805,14.3805,14.6305,14.9305,15.2805,15.4305,15.2305,14.9305,14.9305,15.580501,16.530499,17.280499,17.530499,17.5805,17.780499,18.380499,19.130499,19.3305,18.630499,17.4305,16.0805,14.6305,13.080501,11.7805,10.9805,10.4805,9.9805,9.3805,8.830501,8.2305,7.4305,6.6305003,6.3305,6.9305,8.080501,9.2305,10.4305,11.7305,12.4305,12.2805,11.580501,10.830501,10.1305,9.3805
2025-11-12 02:10:46+00:00,2025-11-12 00:00:00+00:00,-0.2825,-1.9325,-2.6825001,-2.5825,-2.4325001,-2.0325,-0.4325,0.2175,-0.1825,-0.4325,-0.73249996,-0.4325,-0.4825,0.3175,2.2675,3.9175,5.5675,6.3675003,6.6675,6.6175003,6.7675004,6.0175004,4.7675004,3.3174999,2.5674999,2.4175,2.0674999,1.7175,1.4675,1.3675,1.3175,1.1175,1.0174999,0.76750004,0.51750004,0.2675,0.0675,0.11750001,2.5674999,5.1675,6.9175,7.8175,8.4175,8.867499,9.2675,8.5175,6.5675,4.8175,3.5674999,5.6805,5.8305,5.9305,5.9305,5.8805003,6.3305,6.5805,5.7305,4.8805003,4.3805003,4.1305003,3.9805,4.0805,6.1805,8.580501,10.6305,12.3805,13.6805,14.580501,14.8805,14.580501,12.080501,10.7305,10.080501,9.5305,8.830501,8.4305,8.080501,7.8805003,7.7305,7.6305003,7.6305003,7.6805,7.9305,8.0305,8.2805,8.7805,10.7305,12.7805,15.3805,17.130499,18.780499,18.9805,19.0805,19.1805,18.030499,17.0805,16.880499,16.630499,16.130499,15.2805,14.2805,12.830501,11.1805,10.1805,9.6305,8.7305,7.9305,7.2305,6.8305,6.8805003,8.3805,9.8805,10.9305,11.8805,12.1305,12.2305,11.9305,11.1805,9.580501,7.4805,5.7805004,4.7805004,4.1805,3.6805,3.2305,2.9305,2.6805,2.4305,2.2305,2.0305,1.6805,1.2804999,1.4305,2.4805,3.9805,5.3305,6.2305,6.9305,7.4305,7.7305,7.7805004,7.5805,6.9305,6.0305004,5.0805,4.1305003,3.1805,2.5805,2.5805,2.9305,3.2805,3.4805,3.6805,3.6805,3.3305,2.7805,2.4305,2.2805,2.2805,2.6305,3.5305,4.7805004,5.6805,6.0805,6.1805,5.8305,4.7805004,3.2805
2025-11-13 02:27:57+00:00,2025-11-13 00:00:00+00:00,3.9175,3.6675,3.3174999,2.6675,2.1675,2.0175,2.0674999,2.0674999,1.6675,1.2175,1.0174999,1.0174999,0.5675,0.5675,3.0175,5.7175,7.7175,8.7675,9.5675,10.3175,10.5675,10.1675,7.9675,5.4675,4.1175003,3.2175,2.5175,1.9175,2.6175,3.3675,3.7675,3.9175,3.9675,3.9675,3.7675,2.3675,1.5174999,1.0174999,3.5175,7.3175,11.367499,12.8175,14.367499,15.5675,15.3175,15.0675,13.5675,11.3175,11.0675,8.6305,8.330501,8.1305,8.080501,8.2805,8.4305,8.6305,8.9805,9.2305,9.4805,9.9805,10.3805,11.2305,12.7305,14.580501,15.9305,16.9305,17.2305,18.280499,19.030499,19.1805,18.3305,17.4305,16.530499,15.5305,14.330501,13.3805,12.5305,12.080501,11.1305,10.580501,9.580501,8.4805,7.4305,6.4805,5.6305003,5.4305,6.1805,6.8805003,7.8305,8.5305,8.9305,8.8805,8.2805,7.6305003,6.0305004,4.8805003,4.1305003,3.0305,2.4305,2.1305,1.9305,1.6805,1.5304999,1.2804999,0.7305,0.3305,0.63049996,0.0305,-0.16950001,-0.119500004,1.8305,3.9805,5.2305,6.2805004,6.7805004,7.1305003,7.2305,6.9805,6.2805004,5.2305,4.3305,3.7805,3.3305,2.7805,1.9805,1.1305,0.38050002,-0.16950001,-0.5695,-0.9195,-1.4195,-1.8695,-1.7695,-0.8195,0.6805,2.1805,3.5805,4.9805,6.0305004,6.6805,6.9305,6.7305,5.7305,4.1805,2.9305,2.2805,1.8805,1.5805,1.3805,1.2305,1.0805,0.88049996,0.63049996,0.4305,0.2305,0.0305,0.28050002,1.1305,2.4305,3.7305,5.0805,6.4305,7.4805,8.1305,8.4305,8.2305,7.1305003,5.4805
2025-11-14 02:11:26+00:00,2025-11-14 00:00:00+00:00,5.2175,4.2175,3.4175,3.5674999,3.5674999,4.3675003,4.7675004,4.6675,3.8174999,3.1175,2.2675,1.4675,1.2175,1.0174999,3.6175,7.7175,11.617499,13.3175,14.617499,15.7675,16.4675,16.5175,14.0675,11.8175,10.3175,9.3175,8.7175,8.5175,8.9175,9.5175,10.1675,10.367499,10.4675,10.617499,10.867499,11.4675,12.117499,12.5675,14.0675,15.617499,16.7675,17.5175,17.417501,17.9675,18.2175,17.2675,15.1675,13.4675,11.9175,13.8805,12.9305,12.1305,10.9305,10.0305,8.8805,7.8805003,7.8305,7.0805,6.1305003,5.3305,4.5805,4.3805003,5.6805,6.6305003,7.4805,8.2805,8.6305,8.4805,8.1305,7.0305004,5.3805003,4.3305,3.8305,2.9305,2.0305,1.5805,1.2804999,1.2804999,1.2305,1.0805,0.7805,0.28050002,-0.4195,-0.86950004,-1.1195,-1.0695,0.9305,3.0305,4.2305,5.1805,5.9805,6.5305004,6.6805,6.3805003,4.8805003,4.0305004,3.0805,2.4305,2.0305,2.3805,2.1805,1.8805,1.4305,0.5805,-0.3195,-0.6695,-0.8195,-1.3695,-1.8695,-1.8195,0.0305,1.9305,3.3805,4.5305004,5.4805,6.1305003,6.4305,6.2805004,5.2805004,3.7805,2.5305,1.9305,1.5805,1.2804999,0.9805,0.7805,0.5805,0.38050002,0.2305,0.1305,-0.0695,-0.2195,-0.0195,0.8305,2.0805,3.2805,4.4805,5.6305003,6.4805,6.9305,7.0805,6.7805004,5.8305,4.5305004,3.4305,2.8805,2.6305,2.3805,2.0805,1.7804999,1.5304999,1.4305,1.3805,1.2804999,0.9805,0.63049996,0.7805,1.7804999,3.2305,4.6805,6.0305004,7.3305,8.080501,8.080501,7.5305004,6.8805003,5.9805,4.9805
