forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:27:59+00:00,2025-11-05 00:00:00+00:00,187.76508,190.1246,191.68935,189.78233,180.0,186.3401,186.17007,184.63538,181.73567,175.91446,174.50777,179.01227,183.814,190.38881,200.26578,210.4257,214.93102,221.93343,230.84457,239.74365,257.90524,259.136,312.3804,308.38657,305.75397,305.042,311.24133,309.3327,309.15543,311.51663,308.65982,306.34756,303.94363,299.24872,305.13428,305.31128,305.2725,304.33026,305.78906,301.53473,293.05133,286.92758,277.1249,270.0,263.21112,253.14151,217.56866,171.86998,156.80139,143.61555,153.43501,160.55988,168.11136,173.21112,174.92049,173.6599,175.42616,174.61078,176.98727,180.0,182.64249,187.12492,192.33908,199.76726,204.22774,212.47118,219.22566,221.2846,221.18582,232.90707,222.58046,230.19447,244.39786,258.17853,249.27435,245.85446,244.35904,219.47243,189.86574,192.26476,221.82008,270.0,287.6502,299.4758,312.27362,331.9276,342.18103,340.20102,340.9064,342.64587,333.43503,324.86572,324.6887,315.0001,317.1211,302.47116,296.56497,315.0001,5.19435,94.08554,115.20109,143.97253,124.3804,137.38599,133.83095,147.99466,171.46931,207.21602,183.01273,212.73521,216.6342,248.58696,300.10123,303.45334,295.76926,299.0545,299.1974,299.4758,302.4123,307.04254,310.29205,307.87503,302.55,297.95087,296.11386,296.13095,295.74066,296.17523,297.2995,297.97937,297.25525,297.25525,296.2219,296.2219,295.8663,293.7204,285.61105,275.63058,268.4089,266.77554,267.47394,269.13196,269.11862,269.10486,270.0,273.6913,278.53067,281.88864,281.94415,277.4313,271.3639,260.53775,249.59003,241.85849,234.3235,227.6426,223.21011,224.14499,228.27058,232.02834,237.20047,243.43501,247.21756,247.79646,247.98866,244.5367,237.09476,224.9999
2025-11-06 02:16:16+00:00,2025-11-06 00:00:00+00:00,308.11832,301.32864,301.6512,308.9458,311.30853,317.0454,317.6026,313.4519,306.38446,303.40784,302.12497,301.60745,304.3804,304.8754,304.3804,304.69522,300.52963,290.85452,289.6539,277.1249,271.54813,264.09396,239.74365,163.0724,144.78232,142.12495,141.34016,148.17259,154.09355,158.74942,165.96373,167.125,164.2913,167.09259,165.37909,163.73972,170.03625,176.94717,188.13002,201.33693,191.48196,209.4758,210.96368,223.06943,225.70723,232.69597,231.51978,225.90929,220.31403,217.14677,203.42871,199.09358,180.0,213.6901,232.43134,241.69934,259.8754,297.64587,319.39877,327.26477,321.8427,322.12494,322.69595,320.52756,342.64587,10.784258,21.801476,26.564985,35.217674,42.878906,36.253937,52.431335,56.3099,72.64589,83.659904,95.44024,92.86235,100.00792,90.0,128.65984,106.699326,102.80426,136.97493,132.27362,177.27374,146.97614,172.87508,227.12111,251.56496,249.22766,313.4519,304.21576,313.56796,315.0001,320.4774,315.0001,303.6901,300.76263,311.72943,314.16977,317.4896,322.12494,322.52374,321.34018,317.0454,313.91916,309.8055,297.21603,283.32455,319.7637,29.604366,21.801476,8.297059,360.0,337.3801,326.88864,318.53238,310.81497,304.5626,298.61035,293.9625,293.45905,294.37646,294.92844,294.92844,294.8293,294.37646,295.0674,296.18805,295.79596,295.38788,293.6821,288.12195,272.16104,249.19313,234.11777,229.18501,227.23119,225.78473,224.19316,222.43619,218.08882,207.09547,195.35019,188.97255,190.56096,195.81926,201.29742,204.90474,209.14798,213.147,216.67444,218.95592,221.00899,222.33694,222.33694,222.97864,223.63614,225.69019,227.1211,229.28925,231.49931,233.74606,237.45,242.52565,247.06787,252.824,258.31067
2025-11-07 02:14:20+00:00,2025-11-07 00:00:00+00:00,100.619606,129.80553,119.74479,131.18582,141.84273,150.01845,161.56496,159.07542,165.5792,169.3804,162.80138,166.67546,166.14856,170.77019,184.70776,188.59583,219.80553,219.6678,189.90411,210.32352,220.39983,230.44037,234.24602,248.96242,245.72557,264.2073,282.6996,284.03625,281.5601,278.36578,284.03625,289.35907,305.67648,309.61066,308.08884,300.7354,306.3269,301.5042,304.1145,304.1145,306.57312,312.70938,320.1945,317.6026,303.02386,299.35767,304.69522,281.3099,59.03632,97.12492,99.46225,117.64589,101.3099,105.25517,135.0001,156.0375,174.4279,174.2895,205.8663,226.39711,274.96964,275.44025,244.17906,319.89914,324.46225,329.65683,330.25522,334.65387,328.13406,324.16226,323.13,335.55606,332.3541,334.9164,332.24155,315.97092,319.39877,322.52374,309.40063,316.08084,304.7779,292.0363,289.9832,289.5732,292.8906,292.71445,292.4428,296.56497,289.0578,294.51962,300.06848,295.79596,299.14798,301.79886,299.0545,304.90256,309.8055,289.23077,279.16226,291.3369,292.9638,292.9638,286.22028,275.49222,266.6982,255.20319,239.589,225.78473,221.63345,218.65984,219.2894,226.73567,224.9999,216.86998,212.22873,206.13094,200.659,198.43504,200.18588,204.50739,208.24963,210.69965,214.13599,217.36674,220.33307,223.29869,225.56718,227.29063,229.12769,229.86458,228.81418,227.02136,226.39711,226.43204,228.62158,233.74606,245.15764,257.00537,264.5227,266.8637,266.68228,268.29022,272.52606,277.32632,281.00348,284.78278,287.9495,290.37653,292.08722,293.4047,294.04422,295.0674,294.96277,295.30136,294.36243,292.93213,291.41302,291.41302,291.99118,291.61484,289.6539,286.96622,284.69736,283.13403,281.49652,281.88864,284.99512,290.55612
2025-11-08 02:05:35+00:00,2025-11-08 00:00:00+00:00,203.55228,222.35739,230.19447,292.8906,286.8215,287.5925,299.0545,316.16904,324.46225,321.009,329.42084,332.44727,354.80566,11.76827,13.495748,15.255177,50.710617,49.398785,44.999897,62.525658,59.03632,61.389645,65.55606,55.6196,59.03632,69.44388,74.3577,79.87539,59.03632,74.74483,62.354122,80.53775,83.88459,78.366394,81.57312,71.564964,68.19853,65.55606,62.24156,60.1012,56.3099,28.810698,16.557161,14.534496,13.324542,2.0699892,1.5481218,5.19435,6.1465325,346.50424,320.0425,332.4028,326.97614,326.3099,319.84406,315.0001,315.0001,317.4896,313.26434,307.40543,310.2363,306.86996,330.25522,349.69522,27.897186,32.471172,60.255207,19.290138,11.3098955,354.95764,337.4794,324.6887,317.6026,315.72513,312.5104,312.3574,299.57773,280.0079,265.60138,243.43501,221.00899,234.78232,306.52896,298.76755,290.6745,288.77814,294.34106,265.42615,251.56496,247.30617,240.12408,231.51978,223.26433,217.14677,212.47118,207.21602,213.36638,203.19861,211.32863,199.50253,200.32323,197.81898,197.81898,201.99118,208.36896,212.85571,218.04709,223.63614,224.9999,227.72638,231.04408,238.57048,243.86905,246.66594,250.0168,254.82703,258.51804,262.5687,265.23645,268.45187,271.5275,277.0283,282.875,287.4028,288.69907,287.61267,287.03784,288.99673,290.659,292.28564,293.4287,294.14554,293.31772,290.44962,285.5726,281.65927,279.60513,278.48886,279.18875,280.9806,284.87573,288.1528,291.97455,296.99576,300.11365,301.47678,300.96368,300.11365,299.35767,299.0545,298.70584,299.29126,299.29126,299.8988,301.1849,304.07724,304.50858,305.36255,304.9921,302.3474,295.82092,286.8585,278.36578,271.73566,266.3087,259.1145,244.7989,202.6199
2025-11-09 02:10:39+00:00,2025-11-09 00:00:00+00:00,83.659904,96.340096,116.56499,37.875053,79.69521,105.945465,79.69521,97.12492,119.05451,100.00792,57.528828,77.90526,90.0,47.72637,79.380394,60.255207,97.12492,254.74483,175.60138,31.328646,19.722366,18.725883,16.620846,7.0283103,7.695961,8.615564,10.22212,17.020617,12.528798,6.441515,11.888645,12.8477125,8.2593565,13.134034,22.78244,5.1172233,12.225114,13.535882,11.725089,9.637469,345.52966,347.074,348.887,312.18436,308.50067,311.72943,313.2101,315.88132,320.79282,318.69147,313.95847,297.824,290.37653,281.9761,270.0,250.55988,271.43207,299.0545,302.10623,292.3287,295.74066,297.84747,295.30136,293.07043,270.0,252.47433,248.19853,245.29759,234.7275,224.9999,217.11694,211.18492,212.73521,201.12479,212.85571,210.411,204.36244,205.64096,207.5972,209.60435,214.90257,216.86998,218.33337,221.55252,223.69812,233.49846,239.19862,247.52052,252.1212,259.69522,265.85544,273.46817,275.9644,272.6025,275.04236,275.8773,280.1542,283.43103,287.162,285.83246,290.77234,289.3349,287.8504,288.43503,286.50443,286.50443,285.06854,287.1028,289.72235,289.72235,286.79846,288.74142,281.49652,273.75165,274.76355,272.91077,272.96088,274.0141,275.01303,276.0089,278.97253,285.94547,295.2531,301.79886,306.86996,310.8553,314.06088,315.0001,312.5104,313.6029,317.86246,324.6887,328.39255,331.69934,333.43503,337.06787,340.9064,342.8972,346.50424,350.9098,355.23645,2.6025116,22.380184,53.74608,75.25639,93.366394,114.775116,135.0001,132.27362,124.69522,118.072395,116.56499,116.56499,119.357666,120.46546,123.6901,126.384445,127.30403,127.694305,129.55963,135.0001,140.71062,143.97253,143.13002,136.8476,135.0001,138.17992,141.34016
2025-11-10 02:16:29+00:00,2025-11-10 00:00:00+00:00,17.818983,356.36713,0.95482427,2.2604558,11.481962,8.017007,7.016412,9.309866,5.0423646,7.4313188,354.36942,7.7217383,360.0,3.3018,357.83896,351.41644,341.56494,333.88614,327.6804,322.9434,314.32605,317.66306,312.7974,312.5104,315.0001,316.90915,315.0001,311.56625,302.61923,285.4222,273.0664,271.97488,277.88306,285.06854,290.55612,285.852,288.43503,290.7942,285.852,285.0184,272.29056,242.03786,236.49654,227.00955,221.76021,213.43988,212.10623,210.80138,209.5114,207.64589,214.33028,210.17343,213.07068,217.97166,218.82983,220.10085,218.82983,224.9999,229.28925,235.78424,239.67648,242.19862,247.1663,256.39944,261.87,258.87085,261.74066,265.53293,268.23764,274.08554,281.46948,283.82867,284.6568,288.43503,291.03757,294.30453,295.38788,295.7099,295.67676,294.7024,293.1986,293.7495,292.5431,294.7024,292.3802,292.78244,291.03757,290.3232,287.52567,281.12915,278.53067,281.68933,281.72507,282.17145,283.44864,284.34937,282.68036,280.4374,276.70975,275.52744,270.0,274.39862,261.2539,258.6901,250.82089,231.34016,220.60121,194.03627,200.85454,185.44025,186.84268,197.92801,211.21834,224.9999,233.39284,237.09476,240.4613,245.22488,252.89719,261.57312,267.79745,274.76355,284.03625,302.7352,340.3461,17.52567,34.286938,41.00899,44.999897,49.969803,60.018444,75.46551,87.95464,90.0,88.45188,87.13766,85.60138,83.659904,81.38444,82.64771,84.2895,88.025116,91.97489,95.7105,99.16227,102.33907,103.627014,104.82652,106.85848,107.35411,109.53674,110.55613,112.98875,111.801476,109.85531,106.14441,102.99462,102.680374,102.09474,103.39252,106.31393,109.74693,114.102234,117.75845,121.60746,124.992096,125.16652,123.9591
2025-11-11 02:08:42+00:00,2025-11-11 00:00:00+00:00,304.69522,296.92758,293.58704,293.11423,299.827,308.19873,293.6294,282.61932,281.3099,281.00348,278.85788,279.11777,280.49142,282.23608,282.09473,284.5603,285.3956,253.0091,241.44048,227.12111,223.1524,214.50858,208.14151,199.74693,196.69933,200.09532,207.09547,205.14474,203.86018,206.11385,210.61853,214.82455,214.24908,213.9766,211.32863,233.13002,253.0724,252.51192,248.06146,248.06146,245.50145,248.08507,254.21918,268.84268,268.15244,265.91446,278.74606,282.89374,283.57043,290.92456,293.7204,290.659,290.77234,292.5431,271.10168,267.83896,271.1233,273.23962,279.2932,283.29858,283.78162,281.5138,282.63336,282.926,284.69736,280.06064,278.88058,276.4415,278.25934,279.61966,279.63748,278.74606,282.99463,286.09088,292.3802,293.1986,296.05344,294.77512,297.824,296.56497,298.0724,292.3802,299.1974,307.47626,317.29062,321.07245,311.3477,322.00122,316.00497,315.0001,312.8789,322.25314,323.13,327.8043,329.42084,336.8014,344.7448,360.0,2.4894993,6.0089183,14.931467,16.699326,32.005356,84.805664,131.18582,128.65984,122.471176,132.27362,137.72638,118.30067,154.98314,154.7989,162.47433,171.86998,180.0,180.0,177.6141,175.60138,174.47255,173.6599,174.4279,174.92049,176.34785,178.83089,181.19347,184.96965,190.08054,196.1135,202.4428,207.55272,209.4758,209.8759,212.22873,219.28938,227.02136,233.49846,237.60017,241.23244,244.7989,247.4569,250.34608,253.66388,257.7749,261.74066,268.05856,282.65256,306.60718,326.3099,331.6071,330.8026,332.02063,338.4985,347.4712,353.82993,360.0,5.19435,11.689341,23.498587,39.47243,52.594578,48.814175,39.47243,37.875053,48.57643,63.435013,74.931465,81.57312,85.76369
2025-11-12 02:10:53+00:00,2025-11-12 00:00:00+00:00,194.7436,209.16751,207.05052,207.69939,207.55272,206.56499,206.56499,206.56499,211.15924,212.38066,214.28693,213.36638,213.6901,217.87505,229.63554,220.48593,239.30035,251.11382,265.76367,258.31067,264.64426,271.43207,275.94678,276.07236,282.72433,282.60016,286.38962,284.97293,288.43503,289.44012,286.06006,281.3099,287.928,294.5074,296.2413,296.56497,293.58704,291.80145,292.6199,291.1399,289.85532,284.03625,282.43954,277.88306,272.77014,273.0664,271.273,268.53122,263.82993,271.46878,268.56793,272.86234,278.32556,282.875,284.93146,288.43503,283.39252,259.9921,243.43501,240.2552,227.4896,208.30066,220.91429,209.7448,216.25392,239.9315,270.0,286.92758,288.43503,304.50858,315.0001,6.3401003,63.435013,47.72637,82.40546,107.10281,124.69522,124.69522,135.0001,147.26479,137.4896,151.92761,147.99466,152.10283,148.57048,156.2505,157.8336,167.27565,169.56258,173.21112,177.39749,184.86443,189.27252,193.7608,193.78162,198.12195,205.2011,214.50858,225.65846,234.03938,241.46011,252.1496,263.6599,280.30478,296.56497,299.74478,308.45374,312.7974,306.86996,307.56866,306.15826,297.25525,285.75125,281.53458,279.81924,278.42688,278.58353,279.81924,284.30032,291.19412,296.56497,300.7841,303.9766,306.86996,309.66782,312.58044,314.145,313.1524,309.98682,306.25394,303.23172,300.37906,297.3498,296.56497,297.2995,297.97937,296.56497,293.6294,292.751,294.90472,300.25635,304.9921,310.91428,320.7106,336.0375,350.53775,33.6901,90.0,116.56499,131.18582,131.63345,119.05451,95.7105,73.300674,75.96373,81.86999,78.6901,64.98315,47.290634,29.054508,6.842679,348.0239,340.25308,338.682,339.90466,339.90466,336.8014,333.97046
2025-11-13 02:28:03+00:00,2025-11-13 00:00:00+00:00,263.6599,258.0707,284.03625,284.93146,284.6209,284.5002,276.3401,284.78278,296.18805,300.411,293.6294,288.75873,293.5747,295.67676,295.01685,295.4975,292.3802,285.52417,281.61145,280.52072,279.60513,277.8532,277.76508,282.5288,284.03625,285.59286,286.8215,288.03436,292.01132,297.12122,299.57773,299.93143,297.2995,290.55612,282.72437,267.95465,192.99461,188.74608,202.93213,200.55612,195.6423,195.25517,189.46225,190.78426,180.0,173.6599,156.0375,124.50858,142.59457,128.15727,146.3099,171.02745,168.11136,177.13765,177.13765,162.47433,172.23492,161.56496,169.11452,167.4712,165.52966,168.9965,175.4861,182.79265,192.5288,197.02061,199.09358,203.9625,210.80138,213.42484,219.09386,223.75471,235.359,244.57317,250.29193,255.12427,261.46933,276.11542,282.80426,300.96368,299.1974,304.3804,311.53168,304.24908,303.6901,310.71075,312.1375,301.89075,291.4478,294.22772,289.0257,278.13,280.954,281.12915,282.2251,285.10114,287.90454,288.43503,289.76724,290.97357,293.1986,293.07043,290.3232,290.89783,291.80148,293.5747,295.67676,297.5119,297.072,294.34106,291.57138,289.88525,287.0206,284.03625,281.72507,281.0937,279.65982,279.46225,277.90707,277.8532,277.1249,283.39252,291.80148,299.0545,299.74478,296.56497,296.56497,296.56497,315.0001,315.0001,323.13,326.3099,326.3099,326.3099,326.3099,322.59457,318.36655,315.0001,312.1375,313.53125,315.0001,315.0001,312.8789,312.27362,303.6901,290.55612,270.0,246.80138,230.19447,215.53777,206.56499,200.55612,195.94547,195.94547,194.03627,201.80147,208.61037,222.27362,235.49141,246.80139,260.9098,273.9451,282.33908,286.38962,287.928,288.43503,287.24155,286.92758
2025-11-14 02:11:33+00:00,2025-11-14 00:00:00+00:00,268.09088,275.7105,233.13002,193.49574,189.86574,252.64589,299.98157,303.6901,300.96368,267.27374,202.6199,191.30989,199.09358,189.0902,188.13002,189.46225,191.6336,203.80595,203.80595,193.24052,186.91113,189.78233,175.23645,182.12105,185.7105,182.12105,188.13002,184.23631,186.3401,185.90605,187.85323,182.12105,178.0909,178.15244,189.72751,199.8553,193.70699,195.94547,198.08354,202.3287,202.55728,208.67305,207.58194,206.93945,213.46541,224.4544,238.91255,251.07526,255.49979,266.98727,270.0,276.0089,283.24054,295.51382,306.02747,308.991,316.5911,319.26797,313.4926,302.55,301.29297,308.21106,300.7841,296.1468,295.74066,285.4222,283.60056,280.30478,279.46225,281.3099,284.6568,288.69907,292.1095,293.87527,293.08514,288.99673,289.3349,290.6745,290.89783,289.29013,292.4259,294.37646,295.42682,295.34613,296.56497,297.0308,297.55273,293.05133,287.0206,284.57425,285.94547,284.03625,278.47107,274.08554,268.4089,271.73566,277.8532,284.5345,285.4222,281.3099,279.78235,280.49142,287.74475,300.57913,313.36346,310.91428,312.27362,318.36655,326.3099,326.3099,317.29062,313.0251,316.63654,315.0001,309.55963,310.81497,313.53125,315.0001,313.0251,309.8055,300.96368,290.55612,270.0,224.9999,201.80147,188.13002,180.0,180.0,174.80566,174.80566,169.6952,160.0168,153.43501,163.30067,173.6599,188.13002,224.9999,360.0,4.398633,7.12493,7.12493,14.931467,38.65983,71.564964,97.59455,108.43504,118.30067,123.690094,126.027466,126.027466,122.471176,116.56499,111.03758,108.43504,106.38962,107.52566,105.945465,102.26476,99.090195,96.340096,92.045364,88.025116,86.05489,84.093956,84.093956,86.05489,90.0,94.76356
