forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:11+00:00,2025-11-05 00:00:00+00:00,-4.9245,-4.5606937,-3.831885,-2.7962325,-2.4628031,-1.1151489,-0.8158185,-1.0347784,-0.7981061,0.013735443,0.3304724,1.0730861,2.3625891,4.5622253,6.8662014,7.810482,8.040869,8.04853,7.8330984,7.598188,7.2327266,7.472558,6.658851,2.7879558,2.0059123,1.981181,1.8923388,1.3469486,0.7382067,0.687521,0.08560685,-0.42308488,-0.40563887,0.16885535,0.36646873,-0.80135363,-1.2744962,0.31680435,1.5576838,1.9882351,1.696819,2.14699,0.38722336,-0.046536326,-1.7291178,-3.2317028,-3.8840413,-5.618692,-4.769148,-2.3649673,-1.5457892,-1.5457892,-2.2257898,-2.395808,-2.3649673,-2.7198465,-2.8017824,-2.8893452,-2.2937562,-0.002231488,3.6186893,6.752994,8.057964,9.560829,10.756308,11.153883,11.887862,12.003958,11.982937,12.229866,12.617378,12.518938,12.636177,12.369221,11.128405,10.99849,10.542651,9.665791,8.696584,8.428029,7.4261556,6.5360374,5.5227523,5.0913234,4.918975,5.171867,5.2256927,4.725334,4.324303,4.10802,3.6663244,3.116709,3.1423073,2.9740415,3.5334086,3.507209,3.561461,3.7579293,3.8286912,4.3992577,4.4155984,4.6915903,5.106577,5.4009514,5.6462574,5.4217005,4.9125395,4.674231,1.9411715,1.24831,0.65047956,-1.3039002,-2.7412157,-3.5794904,-3.6556005,-4.3564234,-5.1631145,-5.349667,-5.2497334,-4.9744096,-4.673504,-4.215512,-3.8750339,-3.5540478,-3.6533778,-3.8999395,-4.1477203,-4.446038,-4.8986626,-5.2007127,-5.09011,-4.937372,-4.7893095,-4.7588053,-4.9685397,-5.2438006,-5.3555007,-5.367812,-5.5246944,-5.434568,-5.1968517,-5.0146317,-5.0077634,-5.164952,-5.3813825,-5.2919173,-5.2143855,-5.020812,-4.9459577,-5.151819,-5.2209053,-5.2007127,-5.2428217,-5.2870293,-5.5797577,-5.825773,-5.9762654,-5.9498434,-6.1959996,-6.5009108,-7.147106,-7.913093,-8.566197,-9.3310585,-10.082046,-10.170352,-9.562549,-8.953279
2025-11-06 02:17:34+00:00,2025-11-06 00:00:00+00:00,3.369464,1.860384,1.8517468,-0.4913298,-1.6143297,-1.8869057,-1.5935739,-1.0959822,-0.819098,-0.6427704,-0.5064525,-0.6216175,-1.2144924,0.17211986,1.5725474,2.231629,2.4394782,1.8879405,-1.0298165,-3.472961,-5.0328803,-5.7278795,-6.760922,-8.231261,-8.445859,-6.1532893,-4.6681004,-3.9729068,-3.9538233,-3.9867454,-4.5799375,-4.2177873,-4.20986,-4.3001323,-4.4881687,-4.836168,-3.891746,-0.8589748,6.316266,7.6216183,8.22423,9.871456,11.232412,11.156403,11.182841,11.034722,10.077448,9.268319,8.234652,10.705464,10.096302,9.665791,8.795349,7.507414,5.6996365,4.5183086,3.742257,3.586132,3.9162128,4.26113,4.3239994,4.4589567,4.7865605,4.6250377,4.5481896,4.3809514,4.345461,4.297912,4.058112,4.3888907,4.634698,5.188775,5.4217005,5.1774673,5.151338,5.392152,5.569596,5.7365165,5.785711,5.638127,5.107259,4.7083344,5.507666,5.754256,5.497521,5.7539687,5.8840995,1.8376062,1.7453862,1.6967444,2.2900822,1.3489401,-0.44371277,-0.6369524,-0.36947888,0.09607729,-0.44128814,-1.3491342,-1.595223,-2.3670814,-1.8780326,-2.0231571,-1.9331177,-2.4738646,-3.119361,-3.5165958,-3.6655598,-3.6034603,-4.8174953,-4.9867263,-4.4929104,-4.002429,-3.1093383,-3.7518733,-5.340035,-5.863403,-6.165419,-6.1084466,-5.131282,-4.180056,-3.702852,-4.197072,-5.2830315,-6.1589513,-6.353214,-6.2609096,-6.17744,-6.261167,-6.1905546,-6.280995,-6.5212016,-6.714767,-6.865401,-6.641149,-6.3788877,-6.1315403,-6.0546346,-6.2648225,-6.416223,-6.387268,-6.1079564,-5.722802,-5.38783,-5.1968517,-4.6855135,-4.2701616,-3.6365478,-3.1346245,-2.5873578,-2.2078528,-1.9232452,-1.6618001,-1.7093171,-1.5935359,-1.5763142,-1.3606826,-1.2171409,-0.75053424,-0.16570571,0.32118005,0.90767324,1.2892936,1.5760063,1.5310119,1.1087259,0.7121392,0.46298343,0.38207093
2025-11-07 02:15:36+00:00,2025-11-07 00:00:00+00:00,-4.4252768,-4.032952,-4.019325,-3.514912,-2.6054518,-2.0482316,-1.8976313,-2.695301,-3.8871653,-4.3001323,-5.201459,-5.664003,-5.391424,-3.112006,1.5102775,5.768824,11.381121,11.145778,11.480261,11.876817,12.466605,11.951275,11.232229,8.825064,7.808874,7.167703,6.5903015,5.4263844,4.8190117,4.4548116,4.0806108,3.3881965,2.9489703,3.1513662,4.297778,4.3949585,4.3971863,4.6954107,4.792103,5.1346498,4.785975,4.584046,4.757736,4.5617485,4.584046,4.604188,4.5730224,4.3183303,4.0806108,4.903761,4.3302197,4.169482,4.491065,4.6250377,4.9142118,4.956983,4.5303717,4.4155984,5.6840124,5.3747735,3.598934,2.3417194,1.2300277,1.7818179,1.1809502,0.6410836,-0.14768437,-1.3493472,-1.7809112,-0.96415603,-1.4582806,-2.3093781,-3.4135225,-3.5845199,-2.6338892,-4.9631014,-6.2607126,-6.2543364,-6.0875936,-5.982075,-5.7491975,-4.9867263,-4.3987207,-4.3987207,-4.692363,-4.996993,-5.244275,-6.64257,-8.193503,-9.526179,-10.389314,-11.067991,-11.165562,-9.716177,-8.781789,-7.3513913,-6.663273,-4.179207,-4.4545317,-5.310922,-6.206212,-6.968419,-8.568764,-8.948803,-8.691326,-8.59092,-8.493459,-8.451012,-8.594979,-8.747166,-8.5235,-8.269319,-8.210448,-8.160242,-7.6609035,-7.16746,-6.9523573,-6.405007,-6.0715456,-5.979954,-5.559764,-5.052219,-4.4565153,-3.9567106,-3.5532472,-3.2465644,-2.9905975,-2.7854848,-2.4348068,-2.3360376,-2.1511338,-2.2062454,-1.7932025,-1.1686541,-0.5546016,0.14926405,0.7987083,1.4284091,1.71432,1.0215288,0.08705671,-0.9038253,-1.0455518,-1.3266073,-1.5120465,-2.0600123,-2.6128736,-2.8941607,-3.0145411,-2.9582946,-3.0394733,-3.1813345,-3.2811403,-3.4328308,-3.5362585,-3.6169474,-3.6099932,-3.4677875,-3.6517162,-3.7718923,-3.9657469,-4.4035134,-4.8457985,-5.094689,-5.2338247,-5.4117894,-5.637114,-5.7171154
2025-11-08 02:06:48+00:00,2025-11-08 00:00:00+00:00,9.320057,7.2620974,6.641,6.0559115,5.3946743,5.144627,5.0098267,5.168647,4.8719153,5.690374,4.440516,3.8455307,3.7495909,4.5892606,4.9830275,5.9682493,6.15403,6.497438,6.3255224,6.350263,5.9306865,5.2785997,4.565296,4.0219674,3.8333225,3.9322374,3.783864,3.9322374,4.2365184,4.7949753,5.143742,4.646472,4.6953273,4.9920125,4.844799,4.944447,5.0939183,5.0939183,4.596003,4.346558,2.398061,1.8621979,1.7141207,1.5027081,1.2159998,0.72116494,0.42327267,-0.023570744,-0.51782686,-0.34237358,-1.4776446,-1.9773371,-2.271121,-3.1113527,-3.8052738,-4.7399874,-5.282856,-4.410391,-4.2053084,-4.410391,-3.9216335,-4.2501116,-4.0975947,-3.853825,-3.1142128,-2.7145338,-2.0269895,-2.9607475,-3.4568021,-5.0232096,-6.06609,-6.526525,-8.540595,-9.276791,-8.022039,-7.5637693,-4.8445544,-4.002432,-5.315821,-5.364591,-4.544619,-4.843965,-5.2870293,-4.987067,-5.642636,-6.275351,-5.053408,-4.1582847,-3.2189734,-2.58607,-2.5601735,-3.186885,-3.939795,-4.3766093,-2.2192633,-2.185116,-1.723961,-3.4156346,-3.3780196,-3.0913208,-2.2698662,-1.9827393,-1.4969528,-1.3128352,-1.121449,-1.0736037,-0.92182785,-0.72248894,-0.5822649,0.087668665,0.90881604,1.732593,2.5461707,2.1179476,2.1663094,1.7494258,1.0883625,0.55777925,-0.0737337,-0.54641956,-1.0041248,-1.1471654,-1.2127407,-1.2603385,-1.5286292,-1.9446819,-2.317722,-2.503563,-2.6451778,-2.7422376,-2.938946,-3.090932,-3.179829,-2.9829638,-2.8023427,-2.8102648,-2.818181,-2.9513235,-2.8893452,-2.7988636,-2.7069287,-2.6589503,-2.689737,-2.9027998,-2.880206,-2.7208886,-2.549852,-2.6179674,-2.7754889,-3.0528994,-3.380454,-3.6217322,-3.6811826,-3.9228451,-4.08239,-4.0709214,-4.0996194,-4.0409985,-3.7360702,-3.7453325,-3.710662,-3.8284707,-4.22671,-4.517882,-4.7889843,-4.833464,-4.5315123,-4.193163
2025-11-09 02:11:51+00:00,2025-11-09 00:00:00+00:00,4.5831547,5.1924458,4.692817,4.692817,4.8417454,4.8913875,5.094348,5.193566,5.0440955,3.9497674,4.888196,4.94213,4.9920125,4.545855,3.7449286,2.3824997,2.1486394,1.9127084,1.564642,1.7058237,0.7216603,0.6715165,0.22577736,-0.66779876,-1.225215,-1.4795606,-1.4716216,-1.5287786,-0.76601386,-0.8156044,-1.1655301,-1.3103036,-1.0139669,-1.7579764,-2.013729,-2.0630126,-2.1686249,-2.217845,-1.609752,-1.261922,-1.7085681,-2.3978553,-2.7720764,-3.3707037,-4.1622634,-5.226959,-5.942563,-7.0941286,-7.5306764,-7.19048,-7.120457,-4.850066,-4.4929104,-4.7399874,-4.543933,-3.8042896,-3.6061485,-3.7648695,-4.795017,-5.191319,-5.9244857,-6.5178294,-5.945354,-5.5303574,-4.905373,-4.5771275,-4.3734565,-3.8972063,-3.6062462,-3.9929473,-2.6425107,-2.0223124,-2.740296,-3.9514647,-3.5691612,-3.2824514,-2.59716,-1.9729592,-1.684889,-1.4928497,-1.6841906,-1.3493472,-1.3011839,-1.0163897,-0.80362564,-0.6729578,0.3789288,1.4966104,1.8018008,1.9269943,2.2487545,2.4425695,2.8263717,2.9379306,1.9581037,1.1392732,0.8271195,0.5834279,0.23313335,0.05499098,-0.18765104,-0.07744216,-0.1229075,-0.14928514,-0.27592167,-0.405139,-0.41403332,-0.66010696,-0.74966055,-0.73322135,-0.34709495,-0.2608818,-0.5546016,-0.78798753,-0.9085561,-1.0192834,-0.9276343,-0.72436523,-0.34377688,-0.26339263,-0.44260186,-0.7705704,-0.9640499,-1.253021,-1.4456757,-1.5420051,-1.5901701,-1.6865022,-1.7346686,-1.87917,-1.9414601,-2.1121602,-2.0152237,-1.5901701,-1.2603385,-0.97438794,-0.8286996,-0.8625069,-0.81019783,-0.87190145,-1.0048506,-0.7461763,-0.53942597,-0.3156361,-0.47403073,-0.9087658,-1.480945,-1.8147458,-2.0531888,-2.0531888,-1.9101216,-1.8993903,-1.7140995,-1.462431,-1.0513457,-0.30847016,0.3000904,0.7442115,1.0790056,1.4937251,2.2130773,2.9703531,3.6856458,4.4391913,5.428857,6.029596,6.3851295,6.4562716
2025-11-10 02:17:46+00:00,2025-11-10 00:00:00+00:00,-0.7159438,-0.86519486,-0.9147855,-0.72265536,-1.1131486,-1.0165766,-0.97718894,-2.0151427,-1.8162951,-2.1585689,-2.4564857,-3.7869523,-3.307669,-4.0810943,-3.4430063,-3.170515,-3.7870274,-4.501131,-4.7276406,-5.186734,-6.13352,-6.226587,-7.6668262,-7.9242616,-10.305202,-10.012895,-6.7534084,-6.658924,-6.0542593,-5.5178294,-4.9028916,-4.287869,-3.759657,-3.245857,-2.844988,-2.4981816,-2.1089163,-1.9542091,-2.3094316,-2.9023705,-3.7750053,-3.7978709,-3.6874194,-3.1629667,-2.9658933,-3.6374116,-3.0843122,-3.7809222,-4.6123915,-4.0857406,-3.5575979,-3.1270268,-3.179829,-2.9944272,-2.581894,-2.1606283,-1.8863524,-1.6624348,-1.4403602,-1.0991981,-0.71647674,-0.2779082,0.72866046,1.6830183,1.9365306,2.4893348,2.5614023,3.2268279,2.8344982,2.062855,1.070805,-0.38874748,0.23258403,0.13597448,0.17628092,0.55527043,0.33951437,-0.5124624,-0.8185563,-1.1894412,-1.4835675,-1.5676917,-1.5558374,-1.6936593,-1.7920965,-1.5186037,-0.8185557,-0.35597265,0.13189206,-0.002231488,-0.18523091,-0.3086702,-0.5862304,0.2889499,0.21073917,-0.068946384,-0.2447495,-0.2898347,-0.3893292,-0.24463099,-0.193617,-0.21245757,-0.4988291,-0.87983793,-0.7375738,-0.7849947,-0.9087658,-0.8343827,-1.0656039,-1.060785,-0.7673394,-1.146265,-0.5026807,-0.48379183,-0.34377688,0.18482141,0.85118806,1.6132147,2.3082104,2.8313696,3.3741817,3.9396281,4.33585,4.6258807,4.384124,3.9027684,3.613088,3.6588068,3.8877733,4.107367,4.2204356,4.1513815,4.0536585,3.799653,3.4997258,3.1302588,2.839521,2.690336,2.5864983,2.322347,2.3052409,2.1894073,2.046455,2.0188386,2.0354478,2.1924164,2.4905455,2.5385222,2.4797986,2.209776,1.7849828,1.2833152,0.90340424,0.6659442,0.6659442,0.808422,1.3568498,2.4007065,3.8337321,5.155183,6.409623,7.4889035,8.491484,9.201832,9.634833,9.799634,9.6512985,9.453517
2025-11-11 02:09:54+00:00,2025-11-11 00:00:00+00:00,-8.818135,-7.890673,-6.9570503,-4.8215227,-5.118867,-4.673276,-4.4262004,-4.5744452,-4.381384,-4.2327743,-4.7721066,-4.9694524,-4.9694524,-5.0236506,-5.314819,-4.7623057,-4.6947775,-4.9817357,-3.9279475,-3.6374116,-3.781257,-3.4038582,-3.6530993,-3.846129,-4.126586,-3.857595,-3.355474,-3.1800315,-3.055218,-2.6655803,-2.3320477,-1.3053848,-0.6503923,-0.09388332,0.42736074,0.7350777,1.2481471,1.5521082,2.490691,3.308015,3.6036181,3.8180563,3.6378891,3.1396303,2.4919713,1.4912927,0.29293135,-0.28187838,-0.23585896,-0.35007346,-0.61104083,-0.6992465,-0.9612368,-0.8847148,-0.9974687,-0.9156219,-0.9005467,-1.0943915,-0.96415603,-0.7875048,-0.4645981,-0.3936933,0.54025394,1.147051,1.2201865,0.475189,-0.12582806,-0.7917619,-0.51825947,-0.94731605,-0.81051046,-0.81467235,-0.8319746,-0.94157916,-1.0176778,-0.9629005,-0.87167794,-0.69460946,-0.56132895,0.16591427,0.46282142,0.80448097,0.9182555,0.88648003,0.7050354,0.60513693,0.28713617,-1.2183118,-1.8757483,-2.5924473,-3.0953655,-2.996685,-3.0861351,-2.4118626,-1.8082954,-1.7717057,-1.6386559,-1.4085306,-1.7913295,-1.9283351,-2.0209725,-1.8310021,-1.5172118,-1.6623868,-1.6274917,-1.7728888,-1.9182892,-2.1947188,-2.339907,-2.1347413,-1.9469095,-1.6041021,-1.0009917,0.19640969,1.3469644,2.5530913,4.110667,5.194724,5.7885547,5.878041,6.2476764,7.265169,8.662374,9.738638,10.570642,11.313701,11.811879,11.959608,11.713395,11.491185,11.434166,11.282757,11.20734,11.059932,11.189136,11.286077,11.6524515,12.095153,12.453648,12.465743,12.613843,12.528975,12.795124,12.925159,13.195309,13.441785,13.431006,13.297523,12.772248,11.859465,10.791134,9.589729,8.054598,6.98543,6.4106,6.348452,6.24942,5.913491,5.625898,5.2725224,4.956175,4.7395363,4.585831,4.8178215,5.5332866,6.2752285,7.6125817,8.757641
2025-11-12 02:12:06+00:00,2025-11-12 00:00:00+00:00,-5.862875,-4.355901,-4.1138554,-4.3769884,-4.0992637,-3.519869,-3.0785697,-2.7908466,-2.0211086,-2.005659,-1.9810206,-1.8240892,-1.6687497,-1.2744962,0.5747994,2.0905445,3.3592365,3.8942716,3.7724454,3.0830247,1.8967669,1.0623689,-0.44726396,-0.9471937,-0.5693186,-0.76764834,-1.0742437,-1.1454129,-1.3319081,-1.3237773,-1.3730586,-1.4162792,-1.3133066,-1.2119511,-1.2119511,-1.2119511,-1.1121823,-0.86519486,0.59808046,1.845845,2.664801,2.519433,1.6798141,1.2992796,0.46585542,0.24795015,0.42196167,-0.12851498,-0.387367,-0.8460561,-1.0699499,-1.16438,-1.2118052,-1.3827103,-1.1169548,-1.098682,-1.1460191,-0.54641956,-0.54733145,-0.58075,-0.7714099,-0.5782464,0.2625612,0.21621865,0.51861125,1.5457131,2.5527277,3.692672,4.4934616,5.3716288,5.3809114,5.399265,5.2373457,5.42652,5.4713387,5.4222093,5.3429556,5.2613587,5.2761207,5.3382797,5.398612,5.6626773,5.817208,6.3210115,6.620999,7.2192698,8.885171,10.079254,10.97474,12.179502,12.813501,13.227621,13.275677,13.516978,13.443151,13.382183,13.519492,13.275038,13.311961,13.248488,13.163076,13.141371,13.041798,12.900398,11.909034,9.684215,8.514031,7.4956894,7.030552,6.607893,5.7716026,2.584256,-0.50610626,-0.6931599,-0.662423,-1.4765916,-2.5031452,-3.2471528,-3.9205852,-4.648442,-5.294856,-5.6268754,-5.513799,-5.422062,-5.3432174,-4.976573,-4.8221097,-4.920595,-4.929648,-5.118092,-5.2734013,-5.2188997,-5.2915187,-5.1975107,-5.481904,-5.7871213,-6.238182,-6.5811086,-6.998273,-7.4859138,-7.4423165,-7.23545,-6.137433,-5.140466,-4.0115075,-3.0609446,-2.523608,-1.9034762,-1.5459352,-0.97791356,-0.87390363,-0.9697527,-1.0176778,-1.1135299,-0.9148171,-0.67873436,-0.7752056,-1.0590675,-1.6580614,-2.1604168,-2.7583914,-3.3626623,-4.041593,-4.458344,-5.1261134,-5.2473373,-5.065864,-5.013944
2025-11-13 02:29:15+00:00,2025-11-13 00:00:00+00:00,-0.97262514,-1.0477442,-2.2470999,-1.862311,-1.9842012,-1.8884733,-1.690517,-1.5987068,-1.6294585,-1.7844025,-1.9225271,-1.5109364,-1.5109364,-0.91513914,0.96796113,2.1112704,2.3750281,1.8390013,0.20186219,-1.2652173,-2.58621,-2.6038778,-3.0346959,-3.6944175,-3.227588,-2.6838346,-2.6397848,-2.2773705,-2.3320477,-2.85341,-4.733691,-6.08126,-5.2678304,-6.0329123,-3.049254,-1.6475948,-2.3809388,-2.42983,-1.2406989,-0.67555124,-0.15407361,-0.9399044,-1.6530927,1.0886859,3.616812,4.802448,5.352763,5.255026,6.477992,3.9847817,4.107367,4.5690556,5.1953673,5.952323,6.3567834,6.7107377,7.1134305,8.057735,9.505724,10.152595,10.741438,11.178037,11.412452,11.891982,12.373919,12.568297,12.953062,12.889155,13.006055,12.796451,12.635854,12.55108,12.710807,12.568297,12.809017,12.8839,12.9663925,12.624327,11.097772,9.167427,8.091377,7.1803555,6.38159,3.507209,1.0933636,-2.3860826,-1.8281685,-5.3656807,-5.7196,-6.383958,-7.19169,-7.793923,-8.842799,-7.8783464,-8.404222,-8.356839,-8.056699,-7.4394994,-6.987634,-6.7766213,-6.889119,-7.285414,-7.7780423,-8.182331,-8.118174,-7.9835644,-7.538455,-7.356811,-7.319256,-6.908767,-6.636047,-6.202465,-6.1797166,-6.5976534,-6.7466545,-6.880605,-6.657325,-6.5329313,-6.2667675,-5.8616424,-5.23847,-4.572155,-3.8925292,-3.1969202,-1.9762688,-0.95358,-0.58596754,-1.3039094,-2.5659328,-3.52522,-4.0560546,-4.4061947,-4.586931,-4.4214106,-4.200608,-4.2121634,-4.3140903,-4.31623,-4.4412546,-4.7260046,-5.0828705,-5.180196,-4.7762003,-4.4064665,-4.251175,-4.2759547,-4.199683,-4.286003,-4.676806,-4.9267755,-5.226918,-5.4646897,-5.498418,-5.488018,-5.528763,-5.284655,-5.237735,-5.0842614,-4.7883196,-4.603521,-4.5948358,-4.785086,-4.813771,-5.02541,-4.980505,-4.633121,-4.10303,-3.6882544
2025-11-14 02:12:47+00:00,2025-11-14 00:00:00+00:00,-0.5583389,-1.0568577,-1.5720657,-1.8678387,-1.9664427,-2.2773705,-2.5690548,-1.7392678,-1.7722855,-1.4518845,-1.0442373,-1.690517,-1.1743547,-0.9995066,-0.48274684,0.7270934,0.9898099,0.41629848,0.13586587,0.64882714,3.3621294,4.810285,4.522834,4.452714,4.8097506,5.4864664,6.1964774,5.9013176,5.8697305,5.8852954,5.948249,5.9976373,6.096416,6.4421372,7.443464,8.284099,10.290564,11.939904,13.4288435,14.068797,14.291049,14.655328,14.802823,14.8836155,14.85656,13.800344,13.264124,12.342325,10.878813,11.671407,10.598792,8.630304,7.0763164,7.013723,6.655607,5.2544575,3.7058399,2.6422818,1.0456882,0.58658737,-0.4036483,-2.762396,-2.5255756,-4.5897636,-5.6818953,-6.9499273,-7.7475243,-8.885896,-8.33294,-8.227255,-8.109237,-7.9670353,-7.841794,-7.318893,-7.1232257,-6.868336,-6.8891177,-6.930535,-7.318483,-7.8163953,-7.9835644,-7.682443,-7.586103,-7.332994,-7.0489264,-7.001439,-6.8370166,-6.6243005,-6.770522,-6.588731,-6.6662636,-6.6723766,-6.5822353,-6.5306644,-5.747766,-5.5914035,-5.6141753,-5.5494037,-5.243685,-5.1036572,-4.9159565,-4.6384993,-4.7795444,-4.8825383,-4.7989607,-4.7514124,-4.81175,-4.9551063,-5.1661177,-4.97305,-4.989159,-4.96288,-5.313393,-5.422062,-5.816207,-6.078725,-6.0335364,-5.770772,-5.328264,-4.728558,-4.555613,-4.3905263,-4.3280544,-4.4214106,-4.6132317,-4.854693,-5.146344,-5.289747,-5.237735,-5.1407714,-5.332617,-5.524469,-5.4771495,-5.2744718,-4.929648,-4.743411,-4.557451,-4.5606933,-4.6351767,-4.448797,-4.5428004,-4.0902796,-3.4884734,-3.1583347,-2.8666687,-2.6597593,-2.7685847,-2.7005854,-2.6953185,-2.9398887,-3.0356126,-2.9829638,-3.1267924,-3.0773594,-3.1270268,-3.179829,-3.175127,-3.139103,-3.211089,-3.4253807,-3.8111064,-4.4535303,-4.5428004,-3.3709342,-1.6861455,-0.19363344,1.3283228,2.8181317
