forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:11+00:00,2025-11-05 00:00:00+00:00,964.32916,965.1033,964.00745,964.23755,965.1343,964.18036,963.63776,963.46967,963.4099,963.53986,963.62305,963.92474,965.0704,966.38324,968.65625,970.8595,972.64636,972.7873,972.88586,972.88745,973.2449,973.25287,972.8955,972.65497,972.8289,973.0827,973.2559,972.9767,972.5309,972.0315,971.46204,970.5641,969.9424,969.30255,968.58496,968.1354,967.43494,966.87256,966.70013,966.73804,966.5828,965.61584,964.3568,963.3272,962.6329,961.7131,960.77094,959.8867,959.2502,957.7537,957.29407,956.89624,957.29266,956.90216,956.9632,956.789,957.5752,957.6076,957.9885,958.6914,959.26013,960.4545,961.54285,962.56433,963.2657,963.82153,964.25714,963.9854,963.6511,963.5477,963.5258,963.0749,963.37103,963.5973,963.71405,963.82227,964.19476,963.96326,963.7317,963.2225,962.96594,962.31995,961.8108,962.3484,962.61755,962.91125,963.342,963.9457,964.0174,964.74304,964.7191,964.91785,965.40216,965.72766,966.9644,968.0304,968.9972,970.2847,971.4389,972.8334,974.9361,976.79663,978.1348,979.5904,980.7428,981.6447,982.57245,983.8703,984.7965,986.08356,987.0335,987.95984,987.92194,987.78625,987.0957,986.43524,985.64276,985.01227,984.6374,984.51636,984.44617,984.5956,984.7897,984.9155,984.7658,984.4442,984.1315,983.9997,983.8773,983.6596,983.4235,983.0067,982.7863,982.7119,982.72626,982.4097,981.6916,980.7227,979.6767,978.5494,977.2484,976.16254,975.36926,974.684,974.25116,974.16693,974.3492,974.46216,974.3149,974.0037,973.60596,973.1993,972.69775,972.20496,971.69464,971.193,970.8819,970.8901,971.08514,971.0581,970.56934,969.8572,968.9275,967.8504,966.6699,965.70844,965.26227,965.1321
2025-11-06 02:17:35+00:00,2025-11-06 00:00:00+00:00,971.9336,972.8798,971.7455,971.1898,970.57996,970.8091,970.30164,969.42957,968.7478,968.6106,967.90173,967.2448,967.3483,966.9074,966.7347,966.313,965.9204,965.3075,964.4838,963.2785,962.3621,960.91187,960.28644,960.37897,960.83813,960.73505,960.40717,960.1116,960.20996,960.61774,961.0067,960.9616,961.0524,960.6926,960.9072,961.60785,962.59753,963.30884,963.7918,964.5543,965.1943,965.78656,965.99963,965.6233,965.0001,964.28357,963.7684,963.235,963.14185,962.33734,962.6964,962.8948,962.94354,962.36743,962.1061,961.3117,961.2561,960.82166,960.57324,960.7053,960.6555,960.89905,961.58685,962.28046,962.79626,963.2103,963.82855,964.17847,965.1321,965.99786,966.4569,967.0697,968.0162,968.9468,969.9972,971.54236,973.1241,974.3867,975.62067,976.9695,978.37616,979.4711,980.33905,981.90686,982.97064,984.2598,985.41815,986.41943,986.63666,986.4806,986.12354,985.34875,984.8143,984.4862,984.356,984.46454,984.96155,984.8083,985.19293,985.292,985.3141,985.0691,985.0143,984.9865,984.7598,984.50543,983.8522,983.6925,983.66473,983.90344,984.2723,984.1327,983.59985,982.6179,981.1288,979.7741,978.35754,977.0828,976.03357,975.11597,974.3751,973.9086,973.5281,973.07825,972.45496,971.7623,971.0439,970.2744,969.4788,968.7702,968.131,967.5693,967.0936,966.9028,966.88275,966.6769,966.1734,965.472,964.7425,963.9447,963.1312,962.4637,962.14276,961.96356,961.9377,962.14105,962.5905,962.8816,962.91113,962.87854,962.9323,963.04877,963.2515,963.55743,963.8549,964.2555,964.7397,965.54,966.5176,967.24896,967.4712,967.4353,967.23584,966.77234,966.1415,965.7524,965.6781,965.9261
2025-11-07 02:15:37+00:00,2025-11-07 00:00:00+00:00,958.2884,958.63116,958.58307,958.7257,959.19116,959.14636,959.5785,960.10034,960.3323,960.36475,960.98645,960.8206,960.6982,960.84906,962.5119,964.11444,964.61755,965.1669,965.9437,966.2752,965.88416,965.0492,964.4714,964.23773,964.43384,964.5418,964.1277,963.78876,963.57745,963.223,962.5532,962.00964,961.6223,960.89655,960.66376,960.73303,961.1315,962.00525,962.7658,963.9618,965.44275,966.30054,966.98535,967.6927,968.4631,968.51086,968.8274,968.9236,969.4392,968.8883,969.9103,971.2264,972.9285,974.02515,974.88306,975.95685,976.9876,978.04114,978.834,980.29126,981.23596,982.16504,983.2376,984.0735,984.43335,984.5931,984.4662,983.655,982.9726,982.9813,983.20575,983.2969,983.86176,984.52765,984.59033,984.66174,984.6558,985.0386,984.756,984.62396,984.8439,984.7208,984.3316,983.96094,983.86597,983.75275,984.4074,984.13794,983.58014,982.5825,981.2684,979.53485,978.1113,976.9494,975.75665,974.5875,973.908,973.22485,972.516,972.1096,971.6426,970.829,970.02423,969.21045,968.631,967.5758,967.0049,966.7721,966.15845,966.1246,966.19275,966.13947,965.97,965.93225,965.0288,964.2246,963.3241,962.7676,962.6678,963.00354,963.2793,963.6651,964.1061,964.3807,964.5134,964.4973,964.55927,964.67554,964.8782,965.0973,965.41125,965.8371,966.425,967.2868,968.3018,968.98474,969.2792,969.2293,969.1037,968.77716,968.2838,968.04596,968.1741,968.55164,968.9091,969.3573,969.8956,970.322,970.6118,970.6938,970.7922,970.8118,970.8481,970.8926,970.825,970.86926,970.97266,971.4636,972.21173,972.6278,972.64825,972.5227,972.14526,971.5101,970.72217,970.08606,969.77826,969.71405
2025-11-08 02:06:49+00:00,2025-11-08 00:00:00+00:00,962.5454,962.4947,962.72955,963.3937,962.73694,961.94666,961.7602,960.8939,960.1552,960.16595,959.79584,959.8148,960.2477,961.09656,962.3306,964.2233,965.5731,966.3475,966.79407,967.4066,968.1294,968.3915,968.57367,968.86896,969.6631,970.4931,971.4367,972.65137,973.9874,974.95795,975.21796,975.8402,976.63416,977.816,978.46185,979.12463,980.24414,981.313,982.1311,983.2335,984.17194,984.6073,985.11945,984.9391,984.92206,984.9395,984.87854,984.9804,985.2065,983.5211,983.7667,983.8217,984.274,984.15533,984.2265,984.0304,984.1742,983.9289,983.7111,983.67413,983.6947,984.1232,984.818,985.0935,984.5375,983.71423,982.90326,981.4068,980.0211,978.9809,977.7774,976.57153,975.8621,975.403,974.69464,973.79584,973.1217,972.2482,971.4178,970.6047,969.6958,968.6922,967.6285,966.7807,966.2013,966.00244,965.7936,965.45636,964.7862,964.24023,963.30536,962.26935,961.51013,961.1181,961.0454,961.0341,961.8814,962.36993,962.8518,963.44476,963.7516,963.8104,963.82275,964.51794,964.9353,965.6299,966.15906,967.0773,967.96136,969.1309,970.3047,971.179,971.5984,971.73126,971.51025,971.30304,971.00824,970.8736,970.91473,971.1178,971.37213,971.5722,971.8373,972.02344,972.30396,972.5925,972.70734,972.64825,972.4071,972.26086,972.176,972.1857,972.2809,972.59906,973.0094,973.18256,972.8636,972.3967,971.68494,970.8175,969.89197,969.10345,968.7263,968.57117,968.48315,968.55316,968.77466,968.8213,968.6613,968.4056,968.15814,968.0059,967.7662,967.6217,967.3658,967.11743,967.0388,967.3525,967.747,967.9183,967.5386,966.928,966.1215,965.1665,964.11926,963.22266,962.58417,961.99457
2025-11-09 02:11:51+00:00,2025-11-09 00:00:00+00:00,968.2342,969.58435,969.9187,971.3385,973.36,973.7445,974.5679,975.183,976.17694,976.9993,977.5863,978.24225,979.5786,980.59534,981.5488,982.5198,983.2828,983.6735,984.1428,983.7717,984.0575,984.2566,984.412,984.506,984.7157,985.49426,985.8573,985.97,985.81464,985.76245,985.42444,985.4843,985.7146,985.62146,986.0088,985.9243,985.8873,986.0297,986.3689,986.77386,986.6629,986.2078,985.23785,984.22925,983.26154,982.0418,980.6573,979.5854,978.3972,975.8331,974.9774,974.2269,973.5622,972.8536,972.0404,971.2449,970.23267,969.12494,967.6978,967.14417,966.6599,966.5561,966.34735,965.792,965.12933,964.7097,964.0438,962.7131,961.5874,961.2749,960.9559,960.93097,961.8893,963.0002,963.578,963.96466,964.4379,964.25244,964.2865,964.60913,965.5064,965.8986,966.5759,967.34814,967.6949,968.6822,969.65765,970.33435,970.37354,970.5232,969.99304,969.23785,968.66516,968.32404,968.38055,968.2351,968.4166,968.84814,969.051,969.1671,968.9801,969.0086,968.6727,968.35376,968.49097,968.1717,967.82117,967.3118,967.13324,967.57544,968.1151,968.1389,967.9815,967.4594,966.5831,965.53046,964.39935,963.5255,963.2209,963.17804,963.1859,963.12897,963.1277,962.9597,962.5138,961.90186,961.2735,960.61255,959.9427,959.29767,958.78064,958.495,958.2503,958.3322,958.47095,958.53107,958.3334,957.8681,957.3323,956.5429,955.61127,954.8252,954.20044,953.72174,953.45593,953.44836,953.6618,953.8526,953.9103,953.9453,953.98016,953.91956,953.94653,953.8627,953.74744,953.7198,953.62695,953.7709,953.8584,953.9129,953.686,953.32837,952.71,951.4501,950.01917,949.3759,950.2127,951.9019
2025-11-10 02:17:47+00:00,2025-11-10 00:00:00+00:00,983.85114,983.5694,983.2001,983.22784,983.9014,983.07166,983.71204,983.54333,984.3148,984.19196,984.51587,984.19635,984.2727,984.6607,985.5031,985.89124,985.8121,985.7649,985.08075,984.24585,983.5467,982.2323,981.1165,980.10425,978.63855,977.8558,977.1282,976.1241,975.2151,974.3595,973.073,971.855,970.8535,969.57526,968.3393,967.5261,966.4803,965.7797,965.6184,965.65735,965.82513,965.53046,965.1662,964.95905,964.96375,964.59283,964.7787,965.1907,965.23486,963.85565,964.5905,965.17175,965.33386,965.12665,965.8588,966.727,967.5085,968.15784,968.60834,969.4143,970.0465,970.75684,971.7237,972.4959,972.70856,972.6599,972.1615,971.54974,970.9453,970.85,970.62854,970.157,970.39514,970.78577,970.9638,970.94257,970.9543,970.7587,970.5708,970.2349,969.7251,969.4927,968.69727,968.43066,968.1875,968.1621,968.5555,968.4424,967.6376,967.05414,965.76556,964.40173,963.30084,962.6947,962.4919,961.708,961.3836,961.303,961.1902,960.9028,960.5359,959.668,959.1727,958.7019,958.13055,957.75793,957.3933,957.5266,957.41473,957.3983,957.79877,957.7997,957.70557,957.38336,956.66174,955.72,954.657,953.72504,953.1226,952.8347,952.5618,952.5094,952.4567,952.4916,952.41595,952.23724,952.05066,951.7528,951.44696,951.07605,950.64813,950.25146,949.8624,949.5686,949.378,949.17975,949.1641,949.1486,948.9504,948.2265,947.23175,946.77325,947.03406,947.734,948.7916,950.37134,952.2131,953.7396,954.51746,954.98157,955.4206,955.9832,956.521,956.9551,957.26886,957.4874,957.92114,958.6824,959.6676,960.3479,960.4781,960.2991,959.9644,959.53864,958.95215,958.6745,958.76044,959.0503
2025-11-11 02:09:55+00:00,2025-11-11 00:00:00+00:00,975.6671,975.03485,974.3943,973.76245,972.0508,971.60144,970.28754,969.13745,968.0138,966.4405,965.5934,964.88434,964.1147,963.52673,964.01935,964.7766,965.11066,965.0236,964.64154,964.874,965.5051,965.39136,965.2423,965.3333,966.03094,966.93677,967.35706,967.36505,967.5537,967.83344,968.1634,968.40656,968.35754,968.2635,968.80084,969.32007,969.5448,969.8206,970.4011,971.76086,972.9207,973.02014,972.35516,971.83685,971.96985,972.1039,971.446,970.3219,969.0534,969.966,970.13574,970.0274,970.03064,969.62463,969.4286,969.29144,969.17114,968.4071,967.9532,968.05963,967.8638,967.81323,968.2755,968.2804,968.1236,967.6498,966.85455,965.69995,965.12585,964.79877,964.6823,964.47284,964.7188,964.8853,965.0359,965.00244,965.1182,964.8381,964.4953,964.2313,964.0373,963.7646,963.3093,963.32184,963.2554,963.67285,964.2614,964.87897,964.7659,964.6157,963.93713,962.8684,962.061,961.7677,961.5729,961.08636,960.8594,960.70844,960.70056,960.57336,960.62933,960.4703,960.4922,960.2925,960.236,960.24384,960.15796,960.4372,960.6288,961.05,961.2248,961.5645,961.38385,961.4855,960.7593,960.0941,959.2577,958.7131,958.6921,958.9585,959.2264,959.3218,959.4224,959.38135,959.15186,958.8759,958.489,958.0857,957.7695,957.4683,957.3814,957.421,957.51636,957.61176,957.6662,957.6403,957.3271,956.93286,956.2927,955.12146,953.8088,952.9202,952.99646,953.686,953.96936,953.6397,953.00635,952.5214,952.3382,952.30597,952.21075,951.9572,951.5288,951.243,951.0115,950.8257,950.9106,951.35675,952.0738,952.7111,953.14905,953.3952,953.80774,954.29126,954.83044,955.3867,956.087,956.78485
2025-11-12 02:12:07+00:00,2025-11-12 00:00:00+00:00,963.7772,964.51294,964.5474,964.97974,965.66406,965.1623,965.8009,965.4585,965.236,965.7217,966.77747,966.86426,967.66754,968.662,970.0812,971.20667,971.907,971.9766,971.791,971.663,971.8821,971.7768,971.4209,970.7667,970.1826,970.22424,970.4328,970.41235,970.2878,969.9388,969.155,968.7598,968.4595,968.2964,967.9257,967.66693,967.46814,967.6244,967.49927,967.96564,967.87775,967.92316,967.7325,967.3033,966.89185,966.2034,965.59644,965.2836,964.9195,964.8773,965.1459,965.2236,965.3167,965.03094,964.88715,964.65576,964.5117,964.0027,963.6975,963.67755,963.57855,963.98816,964.66266,965.0412,964.94165,964.781,964.07697,963.30084,962.61456,962.0882,961.86707,961.44434,961.4075,961.4869,961.4153,961.4789,961.21674,960.4623,960.08014,959.7919,959.6241,959.75977,959.2835,959.16394,959.2814,959.8122,960.0027,960.5888,960.406,960.2985,960.02734,959.30255,958.85876,958.6906,958.5394,958.05896,958.11914,958.27057,958.3978,958.6993,958.5632,958.03845,957.966,957.78986,957.6056,957.4941,957.301,957.4509,957.18317,957.7175,957.91174,958.1548,958.1515,957.6898,957.2163,956.5361,955.78516,955.1099,954.624,954.1152,953.8636,953.83997,953.8795,954.05414,954.18134,954.3402,954.4672,954.4195,954.2446,954.2521,954.3464,954.44025,954.88416,955.7108,956.69684,957.6191,958.1993,958.7139,959.0686,959.3681,959.51013,960.092,961.2243,962.6915,964.095,965.4863,966.906,968.1735,969.2131,970.0946,970.81085,971.43115,972.05927,972.5322,972.9271,973.34845,973.8147,974.6291,975.5827,976.2272,976.2064,975.8719,975.37726,974.9069,974.28076,973.9252,973.7565,973.7519
2025-11-13 02:29:15+00:00,2025-11-13 00:00:00+00:00,969.5747,969.3392,968.73816,968.78076,969.47266,969.21063,969.01495,968.3345,967.9225,967.9071,968.07324,967.7281,967.8838,968.00494,968.4441,968.9714,969.236,968.99524,968.72296,968.19135,968.0514,967.4669,967.0669,966.54156,966.46136,966.65216,966.5956,966.33136,966.1065,966.1993,966.093,965.91895,965.5021,965.0552,965.0512,965.1672,964.9219,965.01184,965.40924,965.97815,966.34564,966.533,966.2831,966.2498,966.18536,965.8295,965.5055,964.9022,964.16565,962.22516,962.29645,962.2806,961.83527,961.2396,960.55554,959.92596,960.0777,960.0777,959.8162,959.69037,959.6499,960.0537,960.35547,960.6687,960.4518,960.023,959.5623,958.9937,958.5925,958.5198,958.4558,958.22626,958.60364,959.1364,959.46936,960.11017,960.6393,960.66675,960.9328,960.8176,961.55005,961.25964,960.99426,961.669,961.9293,962.3799,962.92303,963.50366,963.4176,963.2875,962.4555,961.17694,960.30273,959.8262,959.7473,959.22186,959.08875,959.33856,959.1698,958.3422,958.33026,957.9865,957.833,956.9598,956.4676,956.095,955.24646,954.51013,954.28253,954.50574,955.236,955.72906,956.24316,956.67267,956.6959,957.1418,957.6464,958.2775,959.24725,960.3473,961.45807,962.7007,963.8524,964.9473,965.702,966.2989,966.73065,967.1012,967.3164,967.6263,968.0134,968.4092,968.88446,969.6562,970.5068,971.0109,971.0891,970.8266,970.4228,969.7918,969.0302,968.51685,968.6454,969.11523,969.5537,969.7543,969.83264,969.9278,970.12634,970.3508,970.5666,970.5666,970.5666,970.4714,970.4714,970.3762,970.5141,970.9011,971.5202,971.8864,971.85,971.6607,971.28406,970.67365,969.88715,969.2752,969.02795,969.0341
2025-11-14 02:12:48+00:00,2025-11-14 00:00:00+00:00,964.3722,965.0477,964.9196,964.8375,964.71796,964.28613,964.0521,963.46936,963.42,963.4658,963.445,963.1881,963.44684,963.6506,964.359,964.6868,964.8923,965.0161,965.2263,965.0591,965.0825,964.34546,963.9334,963.616,963.3875,963.2286,962.89996,961.94324,961.58954,961.6026,961.0441,960.46063,959.7735,959.12744,958.87036,958.8115,959.02997,958.99634,959.5058,959.74396,960.4893,961.1143,961.29395,961.1594,961.1297,961.1601,961.267,961.255,961.31525,960.29535,960.63605,961.0788,961.2896,961.3415,961.71906,961.6991,961.90204,962.0428,962.15796,962.1163,962.517,963.0379,963.6143,963.9421,964.0543,963.4873,962.85284,961.77167,960.79395,960.70654,960.6203,960.2629,960.03534,960.0789,959.9888,959.50934,959.1412,958.84314,958.396,957.88684,957.38605,957.55975,956.3472,956.0701,955.71423,955.6272,955.92554,955.9703,955.78503,955.551,955.2731,954.84283,954.7583,955.4456,956.4848,957.1582,958.9451,960.5091,962.1728,963.43353,964.3693,964.88086,965.52094,965.76227,965.87396,966.487,966.80585,967.37463,967.8566,968.4865,969.1809,970.0249,969.965,969.86664,968.9527,968.16864,967.2295,966.60455,966.4512,966.61224,966.90094,967.2649,967.64557,967.8191,967.6484,967.2612,966.7959,966.3731,965.86304,965.56085,965.4316,965.41437,965.44867,965.5845,965.76984,965.7386,965.4576,964.95294,964.35236,963.45776,962.2691,961.4774,961.1235,961.1659,961.15936,961.2386,961.3485,961.292,960.98975,960.617,960.12463,959.50433,958.8761,958.3593,958.0655,957.9784,957.8995,958.02716,958.1548,958.3067,958.2842,958.17395,958.06366,957.8101,957.6511,957.7464,958.3735,959.3523
