forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:15+00:00,2025-11-05 00:00:00+00:00,998.8183,999.0693,999.5824,998.4628,999.3913,998.74445,998.2194,997.80634,998.0935,998.05865,997.74365,997.6173,997.80994,998.2962,998.87695,999.21783,999.70624,999.65814,998.8888,998.6714,998.44086,998.45685,998.2446,998.199,998.51044,998.9965,999.5148,999.5727,999.5325,999.38696,999.09906,999.05096,998.817,998.57605,998.44684,998.5101,998.48895,998.36993,998.9184,999.14026,998.8699,998.04254,996.6649,995.83307,994.887,994.10223,993.2887,992.6832,992.35443,991.5822,991.45795,991.24524,990.6338,990.13043,989.6302,989.0517,988.9303,988.3903,987.98816,987.488,987.47125,987.3532,987.9001,988.4244,988.0642,987.892,987.6012,987.1548,986.8605,987.1423,987.5791,988.0677,988.6561,989.7999,990.36597,990.8256,991.1564,991.2167,991.3747,991.63074,991.69745,991.4806,991.44904,991.2285,991.68024,991.9529,993.0238,993.6624,993.2484,992.7952,992.0168,991.1132,990.6739,990.7719,991.10974,991.82715,992.73596,993.7501,995.187,996.62744,997.53644,998.47577,999.13806,1000.30756,1001.50226,1002.5139,1003.6467,1005.6554,1007.3437,1008.731,1010.2983,1011.53723,1012.0719,1012.25903,1011.7485,1011.5132,1011.06683,1010.97253,1011.29895,1011.8745,1012.4565,1012.85614,1013.259,1013.57837,1013.8259,1013.8933,1013.9641,1013.937,1013.8197,1013.70215,1013.76135,1013.8241,1013.9453,1014.2578,1014.72815,1014.80005,1014.47003,1013.84686,1012.9857,1011.88824,1010.5622,1009.56775,1008.9675,1008.60626,1008.3696,1008.4014,1008.6619,1008.7338,1008.5081,1008.1917,1007.8754,1007.65686,1007.53644,1007.3219,1006.99414,1006.5722,1006.3048,1006.42474,1006.595,1006.4865,1005.9023,1005.03033,1004.0115,1002.93616,1001.7216,1000.829,1000.31934,999.93585
2025-11-06 02:17:41+00:00,2025-11-06 00:00:00+00:00,998.58215,998.87866,998.5141,998.7546,999.3904,999.24493,998.2168,997.6717,997.914,997.9843,997.35834,997.5333,997.915,998.18115,998.6982,998.37946,998.1655,997.4871,996.75006,995.352,994.00726,992.6306,992.00397,991.6927,992.0602,991.99817,991.8377,990.89557,990.66644,990.44354,990.0993,989.6804,989.055,988.7373,988.96735,989.22723,989.8621,990.5174,990.57635,990.447,990.4813,990.5107,990.62024,990.2916,989.7632,989.4215,989.3264,989.3417,990.0271,988.6032,988.82745,989.1659,989.5008,989.4497,989.6084,989.6688,989.35767,989.10645,989.06854,989.4398,989.42584,989.81445,990.5579,990.69037,990.6699,990.6305,989.9585,989.12976,988.77216,989.15186,989.6802,990.4316,991.32886,992.81964,994.081,995.9274,997.07587,997.79816,998.1277,998.7997,999.59064,1000.79517,1001.8487,1003.4151,1004.8719,1006.17816,1007.45917,1008.51544,1009.45184,1009.99994,1009.85803,1009.4732,1009.2808,1009.67285,1010.4788,1011.0262,1011.8004,1012.72784,1013.2706,1013.32336,1013.52637,1013.55164,1013.5093,1013.6741,1013.7529,1013.6355,1013.714,1013.5967,1013.777,1014.25476,1014.8477,1014.69086,1014.37555,1013.93396,1013.0515,1012.0486,1010.8172,1009.82275,1009.2226,1008.75494,1008.5177,1008.4584,1008.62836,1008.5119,1008.09375,1007.4836,1006.87714,1006.3648,1005.7586,1005.3481,1005.02,1004.7942,1004.53033,1004.4583,1004.3415,1004.0294,1003.32574,1002.5276,1001.49225,1000.30927,998.8922,997.9186,997.45575,997.33685,997.2306,997.25244,997.2912,997.3436,997.22095,997.0146,996.9201,996.9444,997.0776,997.1862,997.33307,997.4623,997.73834,998.20825,998.8311,999.0708,998.83514,998.21454,997.56165,996.8683,996.23956,995.746,995.74396,995.9755
2025-11-07 02:15:42+00:00,2025-11-07 00:00:00+00:00,990.6731,990.674,990.3244,989.0918,989.8204,988.70526,989.4465,989.21027,989.06195,988.53125,988.69006,987.9293,987.70624,987.3039,987.99677,988.82983,988.73566,988.7514,989.25006,989.71246,989.5226,989.1772,989.0383,989.5443,990.3409,990.6148,991.1134,991.23566,991.7562,991.6917,991.4545,991.3893,991.6419,991.73303,991.6035,991.5515,991.90826,992.1743,992.66797,993.048,993.3022,993.55115,993.3571,993.1237,992.57355,992.3045,992.18115,992.4915,993.00446,991.975,993.1616,994.68353,996.3396,997.17053,997.60547,998.0436,999.2094,1000.10223,1000.7388,1001.8402,1003.1441,1004.48334,1005.90936,1007.3865,1007.7271,1007.7915,1007.72534,1007.3477,1007.12695,1007.80225,1008.40967,1009.24133,1010.3903,1011.209,1011.63513,1011.97833,1012.42676,1012.581,1012.81775,1012.9255,1013.16125,1013.4241,1013.28735,1013.45575,1013.6282,1014.10986,1014.692,1014.6156,1014.3849,1013.93726,1012.87415,1011.389,1010.2597,1009.7732,1008.94617,1008.2397,1008.4806,1008.4289,1008.1955,1008.0788,1007.6683,1007.2578,1006.7495,1006.04474,1005.35535,1004.85834,1004.4399,1004.4285,1004.504,1004.03296,1004.23474,1003.9934,1003.3116,1002.68896,1001.34296,1000.17413,999.06824,998.1926,997.89514,997.9203,997.97034,997.9839,998.12683,998.1018,997.92377,997.6724,997.60614,997.8021,998.0819,998.3512,998.3889,998.5099,998.68756,999.3509,1000.2664,1000.7043,1000.47406,999.8662,999.22186,998.5359,997.8165,997.32605,997.31635,997.6344,997.9832,998.31036,998.6718,998.9385,999.0966,999.2615,999.4261,999.59796,999.675,999.8537,1000.0252,1000.2002,1000.4135,1000.8861,1001.39276,1001.7155,1001.5599,1001.2128,1000.7395,1000.036,999.2082,998.6196,998.4311,998.57495
2025-11-08 02:06:53+00:00,2025-11-08 00:00:00+00:00,989.1536,990.4535,989.7853,989.84625,990.76587,990.30896,989.59534,990.0376,990.077,990.2591,990.0251,989.913,990.06366,990.02875,990.72485,991.4249,991.8443,991.671,991.503,991.5135,991.3615,991.1494,991.0102,991.52045,993.05066,994.59534,996.2393,997.5305,998.6451,998.8632,998.9688,999.9174,1000.7325,1001.55756,1002.0919,1003.2139,1004.93445,1006.35297,1007.7614,1008.6433,1009.242,1009.6886,1009.8408,1009.87665,1009.9604,1010.1241,1010.44696,1011.3537,1012.3319,1010.51056,1010.9075,1011.63904,1012.1743,1012.3024,1012.309,1012.3263,1012.4799,1012.2489,1012.1202,1012.38275,1012.9467,1013.4168,1014.19086,1014.5176,1014.4902,1013.95197,1013.0811,1011.781,1010.94196,1010.26324,1009.63916,1009.3063,1009.23096,1009.0696,1009.02826,1008.8099,1008.407,1007.80786,1007.20917,1006.6137,1006.01465,1005.31006,1004.51166,1004.30444,1003.9955,1003.7282,1003.8391,1003.3075,1002.3315,1001.4215,999.7913,998.0337,996.928,996.14667,995.61975,995.50836,995.95624,995.89795,995.8488,995.6146,995.397,995.2817,995.42896,995.7089,996.1642,996.3984,996.5696,996.9578,997.3323,998.1055,998.8104,999.439,999.41675,999.4928,999.1278,998.60114,997.93097,997.604,997.6889,998.11786,998.47656,998.9055,999.27026,999.6386,999.8001,999.86694,999.9373,1000.01086,1000.0881,1000.18964,1000.32947,1000.39514,1000.6532,1001.08624,1001.61743,1001.9626,1001.9455,1001.64685,1001.2327,1000.5075,999.5723,998.8889,998.6242,998.7114,998.8077,999.0346,999.4708,999.62256,999.3957,998.9866,998.6787,998.4722,998.3707,998.2661,998.242,998.3124,998.4277,998.7198,999.1496,999.2901,998.9383,998.38794,997.70575,996.8833,996.02856,995.3199,994.9176,994.6583
2025-11-09 02:11:55+00:00,2025-11-09 00:00:00+00:00,991.2494,992.62885,993.7393,994.83936,996.00604,996.89777,997.3051,997.64166,998.6677,999.798,1000.8268,1001.84076,1003.64526,1004.9525,1006.4984,1007.53253,1008.4727,1008.7087,1008.56305,1008.6208,1008.8276,1009.38666,1009.9134,1010.4069,1011.28754,1012.2005,1012.9247,1013.2525,1013.5917,1013.6288,1013.37164,1013.51776,1013.6633,1014.02026,1014.1889,1014.8432,1015.39557,1015.7675,1016.17834,1016.40784,1016.6355,1016.08563,1015.40607,1014.80505,1014.0799,1013.4195,1012.621,1012.1522,1011.98224,1009.895,1009.7592,1009.5369,1009.3372,1008.6479,1008.15814,1007.5552,1007.0543,1006.3536,1005.84875,1005.3439,1004.6584,1004.4324,1004.4308,1004.01874,1003.34344,1002.33844,1000.70105,998.96014,997.7426,996.7651,996.3296,996.3196,996.5596,997.069,996.9794,996.6505,996.608,996.58014,996.71375,996.89215,997.039,996.9578,996.8564,997.25183,997.82227,998.6935,999.3985,999.7227,999.5249,999.0056,998.1436,997.33923,996.7107,996.52734,996.4003,996.4559,996.8199,997.07025,997.11084,997.3507,997.3166,997.5023,997.4819,997.6711,997.75525,997.5385,997.43353,997.52814,997.3355,998.0355,998.16547,998.246,998.21216,997.94727,996.8827,996.0825,995.06024,994.3703,994.1741,994.11523,994.286,994.5343,994.91345,995.09644,995.06665,994.93854,994.8139,994.69586,994.58124,994.4632,994.42975,994.3926,994.48395,994.81506,995.2742,995.36084,994.9923,994.4448,993.6708,992.6615,991.52814,990.6483,990.2942,990.2942,990.2995,990.4312,990.56885,990.72266,990.6996,990.49036,990.3726,990.3331,990.28674,990.24,990.0886,989.8422,989.72394,989.8555,990.1155,990.08716,989.4769,988.5781,987.5611,986.52405,985.5689,984.5785,983.72943,982.9455
2025-11-10 02:17:53+00:00,2025-11-10 00:00:00+00:00,1010.41425,1010.32245,1011.91425,1011.5716,1011.5083,1011.36865,1011.7494,1011.79803,1012.3248,1012.56525,1013.0125,1013.27155,1013.72644,1013.9813,1014.9945,1015.2338,1015.36597,1015.39514,1014.7071,1014.10547,1013.66266,1013.579,1012.9658,1012.2903,1011.72943,1011.8471,1011.8926,1011.23706,1011.0071,1010.29486,1009.0319,1008.6135,1008.21,1007.7052,1007.1176,1007.1176,1007.0197,1006.63934,1006.7649,1006.0701,1005.3031,1004.2301,1003.00665,1002.01715,1000.80365,999.7451,999.1299,998.8962,998.9646,997.13257,996.89514,996.92615,997.0656,997.16705,997.2908,997.2001,997.3716,997.64124,997.73834,998.207,998.7005,999.5649,1000.36096,1000.8403,1000.85004,1000.90717,1000.12744,999.1244,998.6829,998.2906,998.2549,998.5069,998.75714,999.0001,999.253,999.40106,999.55554,999.5242,999.30743,999.58417,999.57697,999.374,999.171,999.0765,999.07996,999.47546,999.98926,999.9271,999.5259,998.8071,997.7173,996.5062,995.66156,995.10455,994.6518,994.5142,994.9068,995.2142,994.9817,994.834,994.7158,994.38513,994.3516,994.071,993.88135,993.6953,993.6753,993.73303,993.70306,994.0681,994.4263,994.4782,994.29913,993.99786,992.9203,991.91766,990.70245,989.7369,989.2942,989.2024,989.1194,988.96655,988.92426,988.8819,988.9377,988.89825,988.86224,988.53156,988.20105,987.7787,987.4578,987.14386,986.84625,986.77155,986.71,986.3446,985.4685,984.3899,983.1151,981.74915,980.3863,979.2224,978.27454,977.6271,977.5259,978.2354,979.3947,980.55927,981.3468,982.04236,982.7505,983.6681,984.6029,985.4533,985.93274,986.3282,986.7413,987.5603,988.4949,989.1458,989.2319,988.9359,988.61847,988.17554,987.6139,987.29956,987.3032,987.55536
2025-11-11 02:09:59+00:00,2025-11-11 00:00:00+00:00,1009.82904,1010.73474,1009.2021,1009.0593,1008.6298,1008.3927,1007.172,1006.8629,1006.56903,1005.62,1005.51447,1004.92303,1003.93225,1003.3446,1004.13776,1004.2191,1003.7607,1002.87427,1001.62494,1000.63116,999.70776,998.74384,997.73315,997.5847,998.1377,998.56213,998.335,998.0935,998.419,998.4156,998.4297,998.32007,998.1649,998.2093,998.55817,998.81226,999.1498,999.3128,1000.3182,1001.52405,1001.99884,1001.588,1000.5357,1000.1482,1000.0177,1000.25635,999.8609,999.5949,999.2043,998.8852,999.13806,999.39404,999.461,999.3353,999.3108,999.5803,999.465,999.26215,999.05884,999.2411,999.2411,999.73804,1000.1507,1000.4683,1000.10443,999.677,998.5907,997.0852,996.6044,996.3132,996.03687,995.8978,995.9258,996.0686,996.1201,996.1777,996.0562,996.1304,996.3669,996.36035,996.59,996.4753,996.15424,996.4145,996.6576,997.117,997.71606,997.982,997.83655,997.46313,996.57245,995.55414,994.89575,994.6046,994.26587,994.11206,994.3251,994.553,994.53986,994.6312,994.59125,994.45624,994.43286,994.7104,994.8016,995.0045,995.0689,995.10925,995.1356,995.59515,995.88354,996.0621,996.01184,995.54425,994.74255,993.8288,992.7847,991.99054,991.6037,991.36,991.3402,991.47986,991.64606,991.82574,991.72107,991.53156,991.3419,991.15924,990.87854,990.6755,990.52765,990.4538,990.5116,990.826,991.1738,991.3255,990.97656,990.42773,989.7711,988.9997,988.01904,987.32916,986.93384,986.7278,986.6231,986.61664,986.70483,986.70135,986.70795,986.61664,986.4301,986.1427,985.65894,985.26324,984.7467,984.22046,984.0011,984.3899,985.1877,985.7077,985.8616,985.7404,985.6057,985.36316,985.1104,985.00275,985.29535,985.9268
2025-11-12 02:12:11+00:00,2025-11-12 00:00:00+00:00,997.544,998.043,997.77795,996.7944,997.4005,997.1731,997.4213,996.8818,997.15814,997.6749,998.1543,998.2021,998.7649,999.1461,1000.32465,1001.06195,1001.3197,1001.00323,1000.46747,1000.0894,999.77576,999.7069,999.49786,999.73267,1000.0529,1000.35034,1000.8603,1001.1766,1001.5237,1001.29987,1000.4739,1000.4283,1000.4841,1000.7643,1000.638,1000.7218,1001.0124,1001.3971,1002.2208,1002.4664,1002.4021,1002.1005,1001.3411,1000.7253,1000.15906,999.65906,999.23145,998.90936,998.569,997.0592,997.1141,997.1752,997.15125,996.8506,996.7794,996.89105,996.99243,996.9687,996.8371,997.08356,997.2286,997.59344,997.88513,998.06,997.82654,997.3619,996.67053,995.5475,994.6996,994.32935,993.9875,993.8404,994.0504,994.2853,994.34705,994.3236,994.0229,993.61066,993.4345,993.51917,993.71216,993.7734,993.71954,993.4732,993.54407,994.0208,994.4874,994.44824,994.3154,993.85626,992.77216,991.5474,990.59814,990.12634,989.7753,989.54376,989.58154,989.6992,989.86584,990.114,989.88104,989.567,989.3161,989.13336,989.336,989.17474,989.3208,989.3787,989.4634,989.65265,989.92584,989.89886,989.6755,989.3259,988.54095,987.7235,986.8715,986.1753,985.90765,985.8956,985.9017,986.056,986.331,986.51447,986.606,986.80524,986.7988,986.6846,986.5638,986.5381,986.5937,986.84534,987.12646,987.65283,988.215,988.4985,988.2246,987.77167,987.2826,986.9426,986.6668,986.538,986.7175,987.1392,987.67847,988.46356,989.4636,990.47284,991.5927,992.6246,993.73663,994.7163,995.5792,996.4544,997.14685,997.75104,998.39026,999.36285,1000.2737,1001.02405,1001.24646,1001.1101,1000.9439,1000.539,1000.00507,999.7074,999.9978,1000.4275
2025-11-13 02:29:19+00:00,2025-11-13 00:00:00+00:00,999.5796,999.8626,999.4928,1000.1029,1000.439,1000.4002,999.9695,999.74866,999.91644,1000.483,1000.4761,999.9094,1000.5776,1001.0782,1001.94073,1002.3101,1002.40265,1002.1295,1001.46265,1000.8635,1000.25714,999.75397,999.43396,999.406,999.5365,999.6463,999.9784,999.54254,999.6845,999.7351,999.5924,999.56506,999.55817,999.4431,999.53424,999.9333,1000.0313,1000.22736,1000.7256,1000.8031,1000.7694,1000.3083,999.22797,998.4978,997.9503,997.35846,996.93134,996.51196,996.3823,995.2528,995.2328,995.32434,995.20966,994.78076,994.57465,994.39166,994.57776,994.43976,994.22015,994.18646,994.25415,994.7205,994.9842,994.93854,994.6096,994.16034,992.9874,991.6804,990.737,990.1733,989.8164,989.5063,989.5905,989.80383,990.0457,989.98346,989.6467,989.25446,989.359,989.359,989.5256,989.2828,988.8672,988.73254,988.6959,989.3248,989.80444,989.8889,989.6593,989.3036,988.52826,987.4261,986.5896,986.10516,985.9668,985.75635,985.64136,986.0673,986.2898,986.64606,986.9109,986.6819,986.459,986.459,986.5471,986.4159,986.3148,986.1966,986.4674,986.84973,987.58734,987.9857,988.06335,987.7204,986.74945,986.2282,985.7649,985.53827,985.6084,985.9114,986.34406,986.94653,987.7805,988.51245,989.1299,989.7432,990.2577,990.77527,991.29205,991.81854,992.3446,992.87714,993.44763,994.26337,995.2184,996.00793,996.4618,996.64886,996.60065,996.29926,995.75885,995.45483,995.54114,995.9559,996.2992,996.7017,997.1339,997.5864,997.9617,998.26263,998.4622,998.45874,998.3607,998.3573,998.74243,999.2257,999.72626,1000.06494,1000.417,1000.5628,1000.58295,1000.58984,1000.39374,999.9947,999.48785,999.17975,999.16974,999.35895
2025-11-14 02:12:53+00:00,2025-11-14 00:00:00+00:00,997.7422,998.6306,997.38104,997.7065,997.95325,997.42255,997.01685,997.1925,997.1825,997.85504,998.0376,997.7331,998.0307,998.13226,998.81213,998.581,998.4256,998.0588,997.76624,997.0517,996.10846,995.3299,994.7065,994.981,995.44714,995.7578,995.78015,994.8481,994.63196,994.8048,994.68994,994.3857,994.1562,993.63245,993.59875,993.85913,994.42365,994.32245,994.42035,994.28937,994.2636,994.09186,993.31085,992.5956,991.8606,991.3731,990.839,990.50696,990.4898,989.405,989.3235,988.9605,988.64655,988.552,988.7416,988.79706,988.70435,988.51306,988.2666,988.3444,988.6994,989.05756,989.4534,989.6467,989.6108,989.35065,988.3481,987.3258,986.6986,986.30927,986.0818,985.974,986.2405,986.5937,986.7607,986.73425,986.73114,986.6231,986.73334,986.67346,986.8429,986.8261,986.69794,986.47833,986.55963,987.12775,987.8065,988.0126,987.8118,987.2911,986.4388,985.64557,984.9893,984.69495,985.1209,985.2689,985.88385,986.51514,987.25745,987.88806,987.9467,988.0997,988.824,989.52783,990.1359,990.67303,991.1923,991.71497,992.2575,993.30066,994.17566,994.5918,994.7908,994.9792,994.44165,993.9335,993.28174,992.77216,992.66644,992.7984,992.9577,993.2796,993.635,993.9937,994.34875,994.6122,994.77765,994.8415,994.8109,994.6991,994.62506,994.4701,994.4973,994.8894,995.36926,995.6533,995.64996,995.35236,994.8587,994.07446,993.0976,992.2187,991.7319,991.4413,991.1503,990.9511,990.74817,990.2545,989.0747,987.70215,986.8198,987.0228,987.817,988.2126,987.8139,987.0194,986.715,987.3945,988.46936,989.1694,989.0106,988.37494,987.83356,987.3934,987.1423,987.05426,987.3964,988.09753
