forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:27+00:00,2025-11-05 00:00:00+00:00,13.004921,11.525623,15.941944,21.915693,21.188072,18.416384,14.044615,15.119999,15.119999,13.004921,13.363711,10.495713,11.013882,12.144331,8.350138,17.76081,10.703569,5.1919937,14.587776,19.930477,20.00512,20.592503,20.421871,14.512064,12.397806,13.684735,15.856354,14.76439,13.276144,13.392774,10.948973,10.97262,10.97262,10.233123,8.404285,7.42159,5.3999996,7.42159,13.104198,24.651457,23.806318,21.758419,23.749088,26.052162,28.054604,26.807312,23.906818,17.309973,15.137133,17.339897,17.64,21.24305,26.437336,25.56,23.084955,19.134262,17.283749,14.440443,9.007196,8.473393,11.525623,9.36,10.105681,17.10284,15.646544,11.435313,16.79314,23.03156,23.933907,23.400002,20.898611,14.332341,11.304229,11.720751,12.074766,9.779817,7.5599995,5.8048253,5.2416787,6.0347,4.0249224,2.0364676,1.2979984,3.7585104,4.452954,4.802999,6.519877,8.350138,11.966953,12.413477,14.021525,15.978484,15.905319,18.043148,17.283749,13.479583,13.755579,18.792551,12.72283,13.004922,23.185787,24.269983,29.374763,35.900864,34.51685,33.68069,33.04361,33.549606,34.567497,31.698402,30.676142,33.847656,30.962095,29.162226,27.72,27.009598,26.700743,25.325686,21.38897,16.039202,12.074766,10.661107,10.661107,10.308831,9.605998,8.905908,7.771331,6.28713,4.452954,2.6208394,1.1384199,0.0,1.484318,3.396233,5.8603754,8.14587,9.931042,11.457958,12.738099,14.264361,15.273505,15.03835,12.287555,9.178235,8.473393,9.449572,10.829959,11.792404,11.966953,11.885453,11.901798,12.261158,12.620554,13.339445,15.158522,17.373497,19.602652,22.19773,24.858253,26.903828,28.241077,29.07989,29.46947,28.99062,28.220417,27.345785,26.525429,25.671307
2025-11-06 02:17:58+00:00,2025-11-06 00:00:00+00:00,9.47012,17.57744,14.05845,14.904173,11.592894,11.681987,13.324863,14.773164,12.475961,10.799999,7.8954163,6.618519,6.6087217,7.2,6.28713,15.978484,16.071491,17.81909,20.418695,25.277023,27.551172,26.6327,23.762726,14.113653,12.397806,15.158522,15.986595,15.463246,14.81259,12.181625,12.9249525,12.9249525,10.495713,8.311245,6.489992,4.5536795,9.585739,10.703569,12.959999,19.855558,16.42247,15.596767,16.746773,15.745627,17.654686,16.981165,13.37825,9.904906,7.92,4.896529,7.69592,8.557102,9.178235,8.404285,6.9153743,5.495161,4.3349743,4.198285,4.0249224,6.6087217,5.3999996,7.8954163,7.5685663,10.495713,13.049689,14.799459,19.513195,19.93048,22.461807,23.686249,27.776047,30.413076,26.282465,24.130743,11.212135,3.7585104,5.937272,8.854829,13.584932,28.460497,29.317352,29.168886,26.903828,27.943512,37.612675,35.90086,33.2781,36.40453,34.03095,32.686733,30.657122,29.168886,28.988384,28.483257,27.44749,21.41319,16.171976,12.641076,10.931203,10.483357,10.587917,11.503113,10.829959,9.726665,9.726665,9.346143,9.028754,7.928178,8.28,8.049845,7.5170207,10.24578,9.6932955,7.9526596,6.618519,6.725354,8.049845,9.021574,8.404285,7.42159,8.350138,9.6932955,11.043261,12.0694,13.627795,15.226764,17.283749,19.829433,22.862125,25.153671,26.6327,28.054604,29.237675,30.926489,32.396,34.04047,35.43578,36.58918,37.19342,36.54665,34.936695,33.014175,30.631746,28.146843,26.183659,25.862436,26.282465,26.052162,24.031178,21.03152,18.775301,18.416384,18.806337,18.448023,15.546833,11.542478,9.746631,12.429127,17.377226,20.620806,20.730501,19.319628,18.39878,18.39878,18.043148,17.22742,14.578888,11.304229
2025-11-07 02:15:59+00:00,2025-11-07 00:00:00+00:00,10.009036,12.783802,16.954432,14.039999,12.224107,11.090103,8.427383,9.346143,9.3669195,11.165805,9.0645685,6.130579,5.937272,7.8954163,7.928178,16.394829,16.055353,16.267857,17.76081,18.25026,16.09969,13.084402,15.1884165,10.315115,6.2145634,9.47012,8.707237,8.39657,5.8048253,5.00128,4.510787,5.692099,3.8939953,4.6102495,0.0,2.968636,4.6102495,8.759178,5.8048253,10.661107,13.217443,15.629971,16.923828,23.584808,22.657131,22.180206,27.155552,19.734436,15.03835,17.377226,7.8954163,7.7043357,12.031756,22.870626,27.748037,29.257614,29.07989,31.104082,27.44749,30.918108,34.404022,33.46645,32.142982,33.74796,33.40055,31.810638,31.845251,31.526215,31.782108,31.63087,29.237675,24.087738,17.518356,13.493999,12.074766,11.659777,10.948973,10.495713,10.08,9.746631,9.007196,8.12197,8.427383,7.771331,7.92,5.4477882,5.0911684,6.9247384,8.209263,7.491114,8.373386,8.287822,8.825508,8.78872,9.422101,7.6367526,8.759178,10.495713,10.823973,12.287555,13.363711,17.283749,20.188908,23.535301,25.455843,27.402597,30.009838,30.36403,31.70658,32.83705,34.862427,36.785236,37.10795,38.322674,37.351627,36.2243,34.298386,32.385994,30.351225,27.77838,25.862436,24.798223,24.216522,23.023119,21.129885,18.94024,16.75064,15.273505,13.75558,12.6462,11.542478,11.165805,11.183201,12.682018,15.03835,16.676977,17.076298,17.114204,16.42247,15.459054,13.849477,11.592895,9.0,6.519877,6.193674,6.696387,7.4128532,7.42159,6.489992,5.2416787,4.452954,4.452954,5.1544156,5.506941,5.4119864,5.0911684,5.1544156,5.3999996,6.379216,6.792466,6.4096174,7.072878,7.928178,8.4042845,8.905908,9.0,9.255571,9.178235
2025-11-08 02:07:07+00:00,2025-11-08 00:00:00+00:00,7.42159,7.754637,7.42159,5.4833565,5.6002855,4.6938257,3.7064266,7.2805495,6.1305785,2.8116899,1.1384199,3.8773184,5.506941,8.373386,4.829907,6.489992,11.753877,17.49615,20.06334,27.792374,28.673721,29.168886,24.066206,18.35647,11.753877,9.387651,9.693296,19.346441,26.61323,24.826952,23.565567,21.659918,24.216522,26.932714,29.301876,28.467329,28.112288,32.409996,31.1686,32.219494,35.455887,32.688713,33.3559,33.033802,33.014175,32.343952,30.659237,24.884306,17.377226,12.144331,11.542478,11.183201,10.495713,10.239453,9.779817,10.1376915,10.239453,10.041354,10.308831,9.565437,9.511088,9.904906,11.885453,15.84409,14.799459,13.276144,12.758432,11.681987,10.495713,9.220499,6.4096174,1.08,4.452954,7.208994,8.287822,9.826088,10.538843,11.928989,13.004921,14.404499,19.917469,23.266697,25.699057,28.387545,30.302078,31.786186,32.83705,35.309376,37.16902,38.67278,39.76656,36.871452,35.42846,33.64989,31.624725,27.682571,25.171696,23.157824,20.633371,18.584509,16.343367,10.853866,9.746631,9.422101,10.823973,11.183201,9.422101,8.473393,7.771331,5.771239,5.7599998,6.725354,5.154415,2.2768397,4.0249224,6.725354,9.0,10.028439,9.511088,8.654987,8.587338,9.021574,9.021574,9.339208,9.339208,9.178235,9.178235,9.83268,10.495713,10.587917,10.308831,10.086427,9.47012,8.557102,7.8954163,8.373386,10.239453,12.599999,14.512064,16.327497,17.533146,17.193533,13.556282,9.605998,8.435069,8.404285,8.39657,8.766573,8.825508,9.3669195,9.746631,10.495713,11.183201,11.901798,11.901798,11.901798,12.287555,13.849476,16.676977,18.899143,20.858265,22.73707,23.990698,24.798225,25.140787,24.023088,20.12461,15.379206
2025-11-09 02:12:07+00:00,2025-11-09 00:00:00+00:00,21.99538,20.833395,13.722565,9.0645685,9.726665,16.263872,20.172853,20.898611,22.61419,27.402597,31.427404,30.563978,33.353954,28.766228,30.244286,35.452232,34.597477,33.26252,32.37999,31.700449,31.450073,31.450073,29.522196,24.014996,17.015474,14.417988,15.188415,14.512064,15.188415,14.77755,13.339445,12.7279215,12.783802,10.137692,11.165805,13.5515,11.620809,8.825508,15.281989,21.2522,20.774214,18.161278,16.279802,11.384199,10.315115,8.913181,6.6185193,5.95906,6.696387,8.427383,9.0645685,9.779817,10.239453,11.792404,13.441071,15.4800005,18.36353,22.81957,26.6327,29.723444,31.355152,31.983318,32.343952,35.309376,37.16902,39.241653,39.76656,36.707645,36.233242,33.48774,33.190357,30.853073,28.576382,26.309572,23.584808,21.542923,19.602652,17.057314,15.986595,11.620809,9.885262,9.726665,10.464798,8.049845,7.5942073,9.726665,6.87779,7.8954163,10.163227,9.227524,7.289445,4.0249224,1.609969,2.0364676,2.4149535,2.1897945,3.5455887,6.9247384,7.127636,7.2,6.9247384,6.130579,6.2145634,5.8603754,5.0142193,5.6920996,6.9153743,6.489992,7.289445,8.587338,8.587338,13.979871,16.954432,17.643673,17.227419,18.806337,20.188908,20.418695,17.208603,12.074766,9.220499,9.290511,10.636766,12.413476,14.05845,15.745627,17.518356,19.652176,22.19773,24.387177,25.86494,26.987997,28.054604,29.427662,30.735231,32.072342,33.497414,35.143818,35.80688,35.16225,33.68069,32.136932,30.955812,30.096085,29.627363,30.619051,32.402,33.87062,34.2303,33.841915,33.481937,32.791634,32.49785,31.845251,31.452133,31.37168,31.338614,31.698402,32.791634,33.190357,33.2781,33.449017,32.846916,31.667723,30.096085,28.162956,27.359999,26.341572
2025-11-10 02:18:11+00:00,2025-11-10 00:00:00+00:00,9.227524,12.6462,21.24,16.923828,13.084402,13.910169,13.493999,10.799999,9.6932955,10.829959,12.522619,12.522619,13.202726,11.043261,17.518356,20.883104,19.45333,18.03237,16.299694,14.264361,12.979984,11.966953,10.514218,6.1094027,2.1897945,4.5536795,7.9932966,8.759178,8.089993,7.8625183,9.565437,10.587917,10.495713,11.609651,12.6462,14.05845,13.324863,17.414476,23.319553,32.489876,34.726475,34.387066,34.22841,35.230373,34.56187,32.33193,23.83624,19.734436,14.759999,21.434364,19.959719,18.129137,16.62249,14.081478,9.9571085,10.08,8.64,7.928178,6.162207,5.7599998,6.162207,4.0249224,4.3349743,3.2599385,2.2768397,3.7064266,6.792466,9.028754,8.942214,7.491114,7.172949,10.009036,9.220499,8.759178,9.3669195,9.007196,10.1376915,10.24578,9.178235,9.220499,6.9153743,6.489992,6.8777895,8.39657,8.39657,9.659814,10.00256,15.256526,17.935081,20.598795,22.81957,23.40277,22.963936,23.051247,19.245697,22.45315,21.575987,22.884789,22.59699,23.4,24.590923,25.772078,25.812277,25.812277,27.595823,27.645092,29.69727,29.598919,30.259275,30.962095,30.239998,31.421213,36.161636,36.432995,36.94168,37.37244,36.932915,36.302925,34.925568,32.97293,30.500309,27.193705,24.130743,22.91026,24.57511,27.722336,30.676142,32.09052,32.76198,33.127823,33.151287,33.151287,32.809414,32.431984,32.41799,32.072342,32.2034,32.19938,31.559088,29.301878,26.758923,26.415268,29.337238,33.565056,35.428463,31.39233,25.0064,18.899143,14.20062,24.627787,35.902668,38.183765,36.066536,31.731092,24.94413,16.75064,13.441071,16.75064,23.803596,29.522196,33.24498,35.747112,37.212578,36.322556,33.88019,31.796375,30.659237,30.124065
2025-11-11 02:10:16+00:00,2025-11-11 00:00:00+00:00,0.8049845,4.39436,7.7879906,7.9932966,8.854829,8.707237,10.948973,10.24578,11.367109,13.556282,14.869351,17.294992,19.652176,23.319553,26.576681,34.22841,35.09954,33.667217,33.70377,34.76377,34.177254,29.308508,23.219301,14.003029,12.620554,12.964998,12.6462,9.826088,1.08,3.6179552,10.308831,9.339208,9.931042,4.6102495,2.5959969,5.315336,6.0347,6.151683,4.8965297,2.3051248,4.198285,2.6208394,1.609969,2.8116899,3.0758414,3.8268526,3.9763298,7.9526596,9.693296,8.891344,7.928177,9.686609,7.145796,9.220499,6.297428,6.9247384,5.634891,7.10031,8.12197,8.891344,9.227524,8.311245,9.793058,17.462784,18.374111,19.959719,23.157824,23.219301,22.668568,23.224882,19.296133,12.015589,9.47012,11.013882,10.823973,10.661107,12.0694,12.57426,12.9249525,13.202726,13.009903,14.241629,15.111424,16.700275,17.698677,17.771753,19.652176,23.42491,24.923338,26.124195,27.248457,28.241077,28.119204,27.219902,24.033876,20.898611,15.905319,20.240196,22.346113,23.78453,24.84,24.144165,24.162945,24.850431,24.842607,24.842607,25.919998,25.20257,24.522316,24.863468,25.6233,29.834423,31.956972,32.79361,33.58821,33.161064,32.023815,30.421598,27.897097,24.826952,22.35481,21.41319,21.068459,20.393293,18.947083,18.391735,18.391735,19.469976,21.24305,22.366402,22.033648,21.316135,21.349546,23.219301,25.86494,27.047956,25.699057,22.530937,20.265795,19.164719,19.134262,19.562946,20.037485,20.523157,21.129885,22.73707,24.735432,25.842384,24.884306,23.219301,22.33161,22.33161,22.725668,23.14103,23.893261,24.967499,25.942488,26.795223,28.483257,29.973106,31.087412,31.367548,31.39233,31.060303,30.817343,30.319181,29.215502,27.504095
2025-11-12 02:12:25+00:00,2025-11-12 00:00:00+00:00,9.107359,13.1041975,14.05845,16.299694,13.138765,10.086427,7.9526596,9.085988,11.113451,10.1887,10.739832,10.97262,9.726664,11.457958,7.7879906,6.489992,6.28713,1.8,2.8116899,3.6179552,6.6185193,6.9899354,6.0347,8.891344,11.200571,11.269782,9.178235,8.209263,9.114471,9.028754,6.4096174,3.396233,4.73506,9.931042,1.8,2.9024127,4.6800003,3.671294,4.3498964,11.440978,18.733839,24.216522,24.569832,25.40743,27.607563,27.333935,22.805367,18.0036,14.917212,14.05845,15.517629,16.563911,17.283749,17.654688,18.014393,17.643673,15.856356,16.203999,17.283749,18.733839,18.089775,18.733839,19.803272,22.81957,25.729298,25.38702,25.744402,26.474077,27.381308,26.339111,23.749088,20.478907,19.559633,18.72346,17.654688,21.2522,22.862125,23.623243,23.97989,22.253124,23.441502,24.923338,25.772078,26.758923,26.552288,26.999998,27.345785,28.916763,31.559086,30.871965,31.178993,29.574827,28.963785,27.169865,23.675304,19.93048,19.770523,25.582806,25.620771,20.46941,14.4,11.923557,9.904906,10.105681,10.086427,10.105681,10.105681,10.182337,11.013882,10.464798,13.441071,15.03835,19.0392,21.046917,22.206486,23.34455,23.906818,22.89611,18.709612,13.324863,11.27553,13.661038,18.161278,21.897945,23.933907,25.60053,26.282465,25.721743,24.798223,23.452555,21.518847,19.562946,18.709612,20.696085,23.795427,26.141552,26.980793,27.511158,28.00837,27.86921,27.09822,25.922499,23.0653,20.49156,20.380579,22.932877,26.574244,28.712116,27.859905,25.161398,23.400002,22.734219,22.253124,21.434364,20.275383,19.164719,18.374111,18.391735,19.416653,19.829433,19.469975,19.191748,18.681883,18.35647,18.204042,17.399586,15.463246,13.049689
2025-11-13 02:29:31+00:00,2025-11-13 00:00:00+00:00,10.948973,5.6002855,6.28713,7.754637,9.793058,9.028754,7.491114,8.557102,7.9036193,7.8954163,5.1165614,0.8049845,3.2599385,5.4119864,4.3349743,9.83268,17.731598,19.45333,20.883104,21.96295,20.532627,21.746504,17.28,12.429127,12.72283,11.753877,12.4811535,12.57426,11.620809,11.966954,12.0694,11.503113,10.966713,10.495713,11.631956,12.313893,11.966953,12.313893,15.84409,26.717722,28.119204,27.009598,27.475807,28.236486,28.820242,27.475807,22.59699,14.587776,10.823973,20.633371,22.963936,23.97989,25.509243,25.509243,25.153671,24.149532,24.503809,25.630886,26.758923,27.607563,27.852928,28.038431,29.175552,30.513052,33.326744,31.259941,32.151043,31.65135,30.599998,25.77962,23.090569,17.193533,17.015474,23.441502,22.805367,21.096123,17.287498,14.88242,11.792404,9.021574,3.6179552,5.937272,11.269782,14.654254,16.08761,18.581022,19.134262,21.30093,21.42227,18.947083,16.454008,15.328561,13.363711,11.177405,8.714677,8.39657,6.8777895,6.725354,9.0,10.1376915,8.4042845,7.208994,6.87779,8.669949,10.137692,10.239453,11.252519,10.703569,11.165805,12.605142,13.138765,21.129885,22.881958,23.565569,23.277834,23.708124,23.86341,22.057161,17.555305,11.966953,10.195057,11.770403,14.618837,17.294992,19.8,21.96,23.039999,22.691425,21.288757,19.559633,17.873556,16.520823,15.281989,15.256526,15.646544,15.941944,15.137133,14.039999,13.1041975,12.522619,11.966954,11.525623,11.165805,10.805998,10.514218,9.957108,9.422101,8.654987,7.928177,6.9247384,6.151683,5.2416787,4.452954,3.6,4.0249224,5.6233797,7.10031,7.42159,7.42159,7.69592,7.8625183,8.225035,9.511088,11.983188,15.077082,16.575644,14.618837,10.948973
2025-11-14 02:13:07+00:00,2025-11-14 00:00:00+00:00,12.475961,12.594856,12.181625,14.618837,15.137133,13.339445,10.495713,10.948973,9.9571085,9.504273,11.440979,12.55879,12.303366,12.758432,13.276144,23.828083,25.772078,25.346148,26.476522,27.698952,26.405453,25.417631,21.518847,14.440443,13.039754,13.363711,14.830076,16.215992,15.517629,14.113653,14.154915,14.917212,15.5843,13.324863,12.964998,12.24,11.367109,12.620554,11.525623,21.288757,21.261345,18.775303,15.281989,12.7279215,10.009036,13.684735,9.904906,3.396233,8.473393,14.578888,12.979984,10.948973,8.350138,9.0,11.367109,11.570515,13.627795,14.48972,16.485485,18.79255,18.947083,19.85556,20.018072,22.238562,21.900904,21.175835,21.518847,21.659918,22.461807,21.26744,19.959719,17.651016,17.026896,18.888851,20.172853,21.03152,19.35314,14.458382,14.986553,17.974781,17.654688,17.884428,18.837324,20.390114,17.884428,17.654688,18.899143,20.87379,19.586117,21.24305,24.442911,24.130743,24.248613,24.066206,16.904673,11.966954,10.495713,8.473393,6.489992,5.4119864,8.854829,11.177405,14.24163,18.58451,22.553936,20.172853,19.803272,19.652176,18.35647,18.448023,17.193533,17.238699,15.990646,14.693999,13.854155,13.237039,13.1041975,12.768586,12.57426,12.72283,12.287555,11.720751,11.681987,11.726277,12.324414,14.8257065,15.408671,9.83268,7.145796,11.367109,10.365251,8.78872,9.36,8.699793,9.0,11.966953,17.114204,23.023117,27.238941,29.162222,29.627365,27.698954,22.366402,15.021105,11.113451,10.703569,11.440979,12.287555,14.021525,16.135872,15.876775,9.983106,1.9386592,4.8433046,5.771239,9.422101,11.631956,10.308831,13.089354,18.289274,21.24305,23.087763,24.066206,24.985659,26.649727,27.852928,26.072052,23.219301
