forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:32+00:00,2025-11-05 00:00:00+00:00,20.880499,19.7305,18.6805,18.030499,17.280499,16.880499,16.5805,16.130499,15.830501,15.580501,15.0305,14.1305,13.2305,12.6805,14.080501,17.4805,20.130499,22.4805,23.7305,24.630499,24.780499,24.1805,22.9305,21.1805,18.880499,17.7305,16.880499,15.7305,14.7305,13.9305,13.330501,12.6805,11.9305,11.3805,10.830501,10.2805,9.9305,9.830501,12.1805,16.7305,20.030499,22.530499,24.130499,24.9805,25.130499,24.880499,24.380499,22.8305,20.280499,19.45,19.15,21.1,20.9,20.6,20.35,20.3,19.95,19.5,19.0,17.65,15.75,14.5,15.1,17.8,20.3,21.65,22.65,22.85,22.75,22.25,21.45,19.3,16.5,15.35,14.4,13.75,13.25,12.9,12.55,12.15,12.15,11.8,11.65,11.3,10.9,10.65,12.1,15.25,17.85,19.9,21.4,22.5,23.2,23.1,21.25,17.85,16.55,15.6,15.05,14.2,13.4,13.25,12.05,9.55,6.65,4.7,3.25,2.0,1.25,0.35,0.55,1.2,2.45,3.85,5.0,6.0,6.8,7.0,6.15,4.7,3.45,2.65,2.05,1.55,1.15,0.9,0.65,0.4,0.15,-0.05,-0.4,-0.75,-0.55,0.5,2.05,3.85,5.95,8.3,10.25,11.7,12.8,13.05,12.0,10.1,8.5,7.55,6.85,6.35,6.1,6.05,6.0,5.9,5.8,5.75,5.55,5.3,5.6,6.5,7.9,9.8,12.55,15.75,18.35,20.05,21.2,21.35,20.05,17.8
2025-11-06 02:18:06+00:00,2025-11-06 00:00:00+00:00,19.3305,17.630499,16.8305,15.9805,15.4805,14.7305,13.8805,13.2805,12.6805,11.830501,11.330501,10.830501,10.6805,10.330501,12.0305,16.4805,19.9305,22.630499,24.530499,25.8305,26.4805,26.0805,25.2305,23.4805,20.880499,18.9805,17.630499,16.280499,15.330501,14.830501,14.1305,13.580501,13.830501,13.580501,12.0305,11.830501,12.580501,11.1305,12.6805,15.4805,18.0805,20.9305,22.6805,23.530499,23.8305,23.780499,23.280499,21.1805,18.0805,16.05,15.15,14.35,13.6,13.15,12.8,12.5,12.25,12.0,11.85,11.65,11.3,11.1,12.6,15.75,18.5,20.6,22.15,23.05,23.1,22.45,20.25,17.5,15.45,14.6,14.1,12.65,12.05,11.65,12.55,11.1,8.95,7.65,6.0,5.55,4.7,3.25,2.1,3.0,4.1,5.05,5.95,6.65,7.15,7.25,6.75,5.7,4.35,3.4,2.55,2.1,1.8,1.35,1.0,0.7,0.5,0.25,-0.05,-0.45,-0.8,-1.05,0.8,3.05,4.95,6.7,8.5,9.95,11.15,11.55,10.65,8.9,7.45,6.6,6.0,5.65,5.7,5.95,6.2,6.25,6.3,6.3,6.2,6.05,6.3,7.05,8.2,9.8,12.1,14.85,17.15,18.8,19.95,20.3,19.4,17.65,16.25,15.65,15.35,15.05,14.75,14.45,14.0,13.35,12.55,11.75,10.85,10.0,9.75,10.45,11.8,13.5,15.8,18.45,20.65,22.15,23.15,23.3,22.05,19.9
2025-11-07 02:16:06+00:00,2025-11-07 00:00:00+00:00,21.880499,20.1805,19.130499,18.5805,18.280499,17.6805,16.780499,16.280499,15.5305,14.8805,14.580501,13.830501,13.1805,12.6805,14.080501,16.280499,18.530499,20.5805,22.5805,23.5805,23.9305,23.6805,23.0805,21.0805,17.9805,15.9805,14.5305,13.1305,12.1305,11.2305,10.6805,10.080501,9.5305,9.080501,8.7305,8.1805,7.6305003,7.1805,8.7805,14.8805,18.9305,21.2305,22.880499,23.7305,23.880499,21.0805,20.8305,18.4805,16.1805,14.6,13.55,12.05,11.35,11.9,11.65,10.45,9.4,8.7,8.3,7.35,6.1,4.85,3.6,4.2,5.35,6.35,7.15,7.8,8.05,7.8,7.05,5.85,4.45,3.55,2.65,1.9,1.2,0.65,0.2,-0.1,-0.5,-0.85,-1.15,-1.4,-1.6,-2.0,-0.3,2.15,4.1,5.7,7.25,8.95,9.95,10.6,10.45,8.5,6.6,5.9,5.45,5.2,5.45,5.8,5.85,5.95,6.1,6.1,6.2,6.4,6.35,6.5,7.45,9.75,12.3,14.8,16.7,18.45,19.85,20.2,18.75,16.25,14.35,13.75,13.75,13.7,13.5,13.3,12.95,12.3,11.5,10.75,10.0,9.35,9.2,9.75,10.75,12.3,14.65,17.5,19.8,21.25,22.15,22.2,20.85,18.65,16.8,15.8,15.15,14.65,14.35,14.15,13.95,13.55,13.15,12.75,12.3,11.9,11.95,12.6,13.75,15.15,17.05,19.2,21.05,22.5,23.6,23.85,22.7,20.75
2025-11-08 02:07:13+00:00,2025-11-08 00:00:00+00:00,17.880499,16.0805,14.6805,13.8805,13.1805,11.9805,11.1805,10.8805,9.9805,9.4805,8.7805,8.4805,7.8805003,7.3805003,9.1305,15.1305,18.9805,21.5805,22.030499,22.4805,21.880499,20.6805,19.030499,17.2305,14.7805,13.9805,13.3805,12.7305,11.6305,10.830501,9.5305,8.7305,7.9305,7.0805,6.3305,5.9305,5.9805,4.0805,5.0305004,5.7805004,6.3305,6.0805,6.5805,7.3805003,7.7305,7.5805,7.0805,6.3805003,4.7805004,4.3,3.3,2.55,1.8,1.2,0.75,0.35,-0.1,-0.35,-0.7,-1.1,-1.55,-1.85,-0.3,2.4,4.35,5.95,7.3,8.05,8.9,9.4,9.45,7.85,6.15,5.55,5.1,4.85,4.7,4.95,5.1,5.35,5.55,5.65,5.75,6.05,6.25,6.35,7.3,9.75,12.4,14.8,16.75,18.3,19.55,20.3,19.7,17.7,14.55,13.3,12.65,12.55,13.05,11.95,11.25,11.05,10.55,10.35,10.0,9.6,9.25,9.1,10.65,13.15,15.35,17.7,19.5,20.8,21.6,21.55,20.05,17.7,15.75,14.65,14.0,13.4,12.9,12.5,12.1,11.7,11.35,11.0,10.55,10.1,10.2,11.1,12.5,14.25,16.55,19.15,21.3,22.8,23.8,23.95,22.8,20.8,19.15,18.35,17.95,17.55,17.1,16.7,16.3,15.95,15.6,15.3,14.95,14.6,14.7,15.3,16.35,17.75,19.9,22.4,24.45,25.8,26.7,26.7,25.25,22.95
2025-11-09 02:12:12+00:00,2025-11-09 00:00:00+00:00,17.130499,15.580501,13.4805,12.080501,10.830501,10.9305,10.830501,10.1305,9.1805,8.2805,7.8305,7.1805,6.2305,4.9805,5.1805,5.8805003,6.1305003,7.5805,8.1305,8.330501,8.330501,8.2305,7.7305,6.7805004,5.1805,4.0305004,2.9805,1.9305,0.7805,-0.0195,-0.8195,-1.4695001,-1.5695,-1.8195,-3.0195,-4.0195,-4.9694996,-5.5195,-3.1695,1.2804999,2.7305,4.2305,5.7305,6.9305,7.9305,8.3805,8.330501,7.4305,5.1305003,4.9,4.45,4.15,4.15,4.4,4.55,5.0,5.2,5.35,5.7,6.1,6.15,6.3,7.2,9.8,12.5,14.95,17.0,18.8,20.1,20.4,20.0,18.25,14.95,14.0,14.45,14.45,14.3,13.05,12.35,11.65,11.05,10.6,10.15,9.55,9.5,9.1,10.45,13.3,15.7,17.85,19.5,20.75,21.5,21.6,21.15,18.45,16.65,16.0,15.45,14.85,14.25,13.8,13.5,13.3,13.15,12.95,12.8,12.75,12.7,12.75,13.7,16.6,18.9,20.95,22.45,23.8,24.7,24.75,23.3,20.95,19.05,18.05,17.4,17.15,17.35,17.85,18.2,18.25,18.15,18.05,17.95,17.85,17.95,18.25,18.75,19.65,21.35,23.5,25.2,26.2,26.8,26.85,26.05,24.7,23.65,23.3,23.25,23.05,22.5,21.8,21.15,20.7,20.3,19.85,19.15,18.35,17.9,18.1,18.7,19.15,19.3,19.3,19.4,19.75,20.15,20.35,20.35,20.15
2025-11-10 02:18:19+00:00,2025-11-10 00:00:00+00:00,5.4305,4.3305,3.1305,2.5305,1.8805,0.88049996,0.1305,-0.36949998,-1.0695,-1.4695001,-1.8695,-2.9195,-4.2695,-5.1695,-3.2195,1.0805,2.7805,4.2805004,5.5805,6.6805,7.7305,8.2305,8.0305,7.2805004,4.8805003,3.7805,2.5305,1.7305,1.3805,1.3805,1.6805,1.9305,2.2305,2.2805,2.3805,2.8805,3.4805,3.9805,6.0805,9.2305,12.1305,14.9805,17.030499,19.030499,20.280499,20.880499,20.8305,18.630499,15.080501,14.25,13.65,13.9,12.85,12.15,11.7,11.2,10.8,10.25,9.8,9.25,9.0,8.95,10.45,13.3,15.75,18.05,19.7,20.85,21.45,21.5,20.85,17.85,15.6,14.6,13.75,13.05,12.65,12.45,12.2,12.05,11.75,11.6,11.55,11.2,11.05,11.1,12.35,15.6,18.45,21.2,22.35,23.4,24.4,24.55,23.9,21.45,18.95,17.8,18.45,20.0,19.95,19.95,19.65,19.6,19.1,18.75,18.2,17.6,17.4,17.15,17.35,19.15,21.05,23.0,24.6,25.85,26.7,26.8,25.5,23.35,21.75,21.25,21.25,21.25,21.05,20.85,20.55,20.05,19.5,19.05,18.9,18.9,18.9,18.65,18.35,18.55,19.65,21.2,22.25,22.3,21.8,21.2,20.7,20.05,18.9,16.75,14.1,11.85,10.35,9.25,8.7,8.95,9.75,10.3,10.15,9.75,9.6,9.85,10.4,11.1,12.15,13.45,14.5,15.3,15.9,16.0,15.25,14.0
2025-11-11 02:10:21+00:00,2025-11-11 00:00:00+00:00,6.2305,4.8805003,3.9805,3.4305,3.4305,3.9305,3.8305,4.0805,4.4305,4.3805003,4.7805004,4.9305,5.0305004,5.2805004,7.4805,10.6305,13.3805,16.1805,18.4305,20.3305,21.5805,22.1805,22.130499,19.630499,16.380499,14.080501,12.2305,11.0305,10.1805,9.580501,8.9305,7.6805,7.2305,6.7305,6.4805,6.0305004,5.5805,5.1305003,6.9305,12.330501,15.9805,19.3305,21.880499,23.4805,23.9805,23.880499,23.0805,20.280499,17.3305,14.85,14.15,13.6,13.25,12.95,12.7,12.55,12.35,12.05,11.8,12.25,12.05,12.4,13.05,16.1,19.35,21.4,23.0,23.85,24.8,24.85,23.85,21.2,19.8,18.75,18.45,18.15,17.4,17.9,17.95,17.25,17.25,16.85,16.75,16.1,15.65,15.65,16.4,18.45,20.8,22.9,24.75,26.0,26.75,27.0,26.45,24.3,22.5,22.1,21.85,21.4,21.35,21.2,20.65,20.25,19.85,19.45,18.85,18.2,17.65,17.2,17.55,19.1,21.0,22.6,23.75,23.5,22.5,21.6,21.15,20.8,20.7,21.0,21.45,21.6,21.0,20.05,19.25,18.75,18.35,18.0,17.5,17.05,16.9,17.25,17.95,18.75,19.6,20.5,21.3,22.1,22.8,22.9,22.05,20.6,19.45,19.0,18.9,18.65,18.1,17.45,16.85,16.5,16.25,15.85,15.05,14.15,13.6,13.55,13.9,14.65,16.2,18.2,19.75,20.55,20.95,20.7,19.55,17.85
2025-11-12 02:12:31+00:00,2025-11-12 00:00:00+00:00,18.130499,16.030499,14.1305,13.330501,12.2805,11.080501,10.6805,10.330501,9.6305,9.3805,8.8805,7.8305,7.1805,6.5305004,7.5805,11.9305,15.8805,19.0805,21.4805,22.9305,23.4305,23.530499,23.030499,20.4305,17.0805,15.080501,13.7805,13.1305,12.2805,11.8805,11.3805,10.580501,9.9805,9.580501,9.1305,9.0305,8.9305,8.9805,10.580501,15.1805,18.7305,21.4805,23.630499,25.030499,25.780499,25.880499,25.2305,23.0805,20.880499,18.55,17.85,17.7,17.85,18.4,18.05,17.65,17.25,17.25,16.65,16.25,15.85,15.45,16.1,18.55,20.7,22.8,24.8,26.25,27.0,27.15,26.7,24.3,21.3,20.2,20.85,21.3,21.15,20.8,20.35,20.25,20.05,19.65,19.25,18.9,18.45,18.05,18.4,20.45,22.6,24.75,26.5,27.7,28.45,28.65,28.1,25.65,22.9,21.7,21.85,22.25,21.4,20.65,19.95,19.45,19.0,18.95,18.7,18.4,18.0,17.7,18.15,19.95,22.4,24.8,26.55,27.95,28.85,28.9,27.45,25.15,23.2,22.05,21.25,20.8,20.85,21.2,21.15,20.35,19.15,18.15,17.4,16.8,16.75,17.5,18.8,20.2,21.75,23.4,24.6,25.35,25.65,25.15,23.45,20.95,18.55,16.55,14.7,12.9,11.1,9.4,8.0,7.05,6.35,5.75,5.05,4.5,4.2,4.3,4.75,5.55,7.0,8.8,10.4,11.65,12.7,13.0,12.15,10.55
2025-11-13 02:29:36+00:00,2025-11-13 00:00:00+00:00,18.030499,15.7805,14.1805,13.0305,12.1305,11.2805,10.5305,9.9305,9.5305,9.3805,9.6305,9.4305,9.1305,9.3805,11.330501,14.4305,17.780499,20.880499,23.380499,24.8305,25.5805,25.7305,25.380499,23.0805,20.3305,19.030499,18.3305,17.780499,17.780499,17.630499,17.130499,16.5805,16.030499,15.6305,15.3805,14.9805,14.1805,13.6305,15.5305,18.630499,21.030499,22.9305,24.4805,25.630499,26.5805,26.7305,26.380499,24.380499,21.780499,21.7,21.55,21.1,20.8,20.35,20.05,19.95,19.8,19.5,19.0,18.65,18.35,18.0,18.15,20.05,22.35,24.7,26.55,27.85,28.55,28.9,28.25,26.05,23.45,22.4,22.55,20.75,19.3,18.8,18.45,17.9,17.25,16.6,15.65,14.55,13.7,13.15,13.7,15.2,17.05,18.95,20.55,21.7,22.6,23.5,23.95,21.2,18.8,17.8,17.05,16.45,15.95,15.5,15.4,15.3,15.15,14.85,14.6,14.45,14.45,14.5,15.55,19.25,23.3,25.35,26.45,27.65,28.2,27.65,25.45,22.15,19.3,17.5,16.15,14.75,13.15,11.5,10.1,9.1,8.35,7.65,6.85,6.15,5.9,6.2,6.9,8.1,10.05,12.4,14.35,15.65,16.55,16.75,15.85,14.25,12.95,12.25,11.8,11.5,11.35,11.4,11.45,11.5,11.6,11.75,11.8,11.9,12.25,13.2,14.4,15.2,15.1,14.6,14.5,15.35,16.6,17.45,17.45,17.05
2025-11-14 02:13:13+00:00,2025-11-14 00:00:00+00:00,22.6805,21.4805,20.280499,19.380499,19.030499,18.530499,18.030499,17.530499,16.880499,16.4805,16.030499,15.3805,14.580501,13.830501,15.4805,18.630499,21.130499,22.6805,24.4805,25.9305,26.9805,27.5805,27.380499,24.8305,21.4305,19.130499,17.7305,17.2305,17.1805,16.5805,15.9805,15.330501,14.9805,14.8805,15.330501,15.1805,15.7305,15.6805,16.4305,20.3305,23.0805,26.030499,28.3305,29.630499,30.3305,30.5805,30.030499,26.9805,23.6805,20.15,18.4,17.8,17.25,16.55,16.0,15.35,14.85,14.4,13.55,12.75,12.25,11.8,12.6,14.65,17.1,19.25,21.1,22.4,23.15,23.4,23.0,20.55,18.8,18.1,17.45,17.05,16.4,15.65,15.0,14.75,14.55,14.45,14.45,14.4,14.2,13.95,14.9,18.15,21.4,24.4,26.0,26.55,26.85,26.7,25.6,22.15,19.6,18.65,17.35,16.15,15.2,13.35,11.2,9.95,8.6,7.95,7.3,6.9,6.45,6.05,6.6,8.25,10.5,12.8,14.75,16.0,16.8,17.05,16.4,15.2,14.2,13.8,13.6,13.45,13.25,13.1,13.0,13.0,13.1,13.25,13.5,13.85,14.1,14.1,14.05,14.25,14.9,15.8,16.5,16.9,17.1,17.05,16.5,15.7,15.0,14.65,14.4,14.35,14.45,14.75,14.95,15.05,15.15,15.15,15.05,14.9,14.85,14.85,15.0,15.6,17.1,19.0,20.45,21.15,21.35,20.8,19.05,16.55
