forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:24+00:00,2025-11-05 00:00:00+00:00,182.04536,153.43501,165.17348,164.24876,164.74483,153.43501,136.46873,130.60121,151.8215,132.13753,150.5242,128.2902,33.6901,30.963696,12.875007,31.930645,34.574257,36.591183,38.43733,39.61066,39.61066,43.36347,43.7812,44.215275,43.995014,44.999897,42.709366,33.6901,29.981556,36.469334,46.468742,50.194473,46.54811,41.42357,39.09386,22.380184,42.709366,29.357658,61.389645,141.009,172.87508,180.0,180.0,178.9191,178.18173,182.72626,191.12915,189.72751,189.46225,154.72232,165.52966,155.55606,82.234924,62.70051,82.30404,96.340096,119.74479,34.9921,349.04596,350.53775,348.40787,340.70987,332.8504,341.87805,343.73972,348.6901,351.31372,352.46063,350.39487,342.18103,332.87878,326.3099,325.6196,313.1524,310.60123,300.25635,273.814,244.65387,250.70985,237.09476,232.59457,212.00534,194.7436,201.25058,206.56499,205.7099,216.02747,222.39738,236.3099,278.36578,304.7779,293.0255,300.76263,329.47037,340.3461,334.72232,320.59937,326.3099,324.2932,326.68936,346.42953,345.68893,347.66092,347.8632,349.74884,349.89502,348.80493,346.60748,344.38895,344.05453,343.2173,348.54126,350.94217,354.55975,354.98697,353.6599,350.18076,347.34744,345.32355,343.1415,340.9064,336.5014,332.3541,326.3099,319.7637,308.65982,282.5288,253.30067,233.13002,227.12111,226.8476,226.73567,224.9999,220.60121,214.21576,208.88649,205.2011,204.10223,203.19861,206.56499,210.01828,209.0545,196.82149,174.14407,156.0375,155.43285,164.47583,172.09293,175.101,178.31535,178.26433,176.53185,173.29025,171.6342,173.08887,176.42374,181.78987,187.12492,191.9761,197.44728,200.55612,203.9625,204.70241,203.45905,201.25058,198.43504,194.30031,189.65982
2025-11-06 02:17:53+00:00,2025-11-06 00:00:00+00:00,38.418083,47.045418,49.899166,44.999897,42.27363,42.13753,40.601215,50.710617,47.12111,46.97493,27.758451,2.7262611,30.963696,32.73523,90.0,146.3099,164.05453,175.91446,181.33218,186.3401,189.46225,189.95056,191.30989,201.37068,195.25517,243.43501,181.84756,267.27374,250.55988,271.90912,283.39252,262.5687,280.88547,316.9749,335.85446,343.8107,353.6599,353.9911,360.0,360.0,1.6365454,3.2704222,17.744766,341.87805,339.56708,336.94867,338.19852,343.1415,349.11453,344.05453,333.43503,243.43501,212.00534,208.61037,174.2895,135.0001,143.13002,159.44388,160.0168,168.69011,177.95464,187.85323,213.6901,227.72638,247.8905,272.86234,292.20352,325.35898,338.65414,343.44284,344.81412,347.4712,341.02948,323.53067,300.37906,308.2902,341.1138,347.81635,342.99197,338.5323,341.1752,340.62576,342.64587,346.88354,344.05453,342.25522,343.2287,346.45206,346.47684,346.13895,345.41104,343.52304,342.072,342.09546,341.00323,340.76923,330.4613,331.8215,327.38077,316.2188,323.47104,324.6887,325.78424,341.56494,349.50858,327.99466,312.27362,360.0,33.6901,63.435013,139.39879,168.11136,182.3859,197.35411,195.7087,198.43504,200.09532,196.82149,184.18483,165.2564,152.176,155.22488,163.5399,170.72748,174.50777,177.87895,181.02301,184.92702,189.61966,192.22511,193.13403,192.63336,192.63336,194.26454,196.69933,198.71184,202.1095,205.52965,208.24963,211.09724,213.45334,212.90524,204.62355,189.86574,177.39749,177.13765,183.27042,189.16228,185.7105,178.15244,174.47255,178.15244,187.35228,190.95403,185.7105,175.91446,169.11452,168.69011,173.15732,177.6141,180.0,180.0,183.01273,188.53069,195.25517,197.6502,196.69933,194.03627
2025-11-07 02:15:54+00:00,2025-11-07 00:00:00+00:00,205.4633,224.9999,284.03625,224.9999,230.52757,267.27374,266.82022,329.03632,146.3099,294.77512,28.610369,311.98712,347.27563,351.87,349.50858,349.46088,347.19574,349.82455,330.1012,329.65683,325.954,319.26797,332.90454,348.0239,354.09393,337.75092,18.435053,227.29063,235.49141,239.9315,255.2564,260.53775,248.19853,124.992096,140.19447,143.61555,90.0,69.44387,333.43503,257.27563,326.3099,332.9495,345.59995,1.4320632,360.0,357.54602,348.87085,340.86627,338.9624,317.1211,311.05472,315.9391,351.76447,347.95746,349.9507,350.10614,346.75946,348.04343,341.7748,342.94296,344.05453,344.85895,345.4655,349.53088,352.04257,353.517,350.99158,347.85574,347.55002,348.83514,348.19757,350.18076,338.4985,335.69547,337.249,345.9637,343.3007,347.27563,353.88458,357.79745,345.9637,341.56494,327.99466,328.39255,290.55612,279.46225,275.7105,224.9999,198.43504,213.6901,210.96368,209.93143,200.22495,202.03629,203.02553,171.38443,158.19853,159.14546,165.96373,172.7469,177.08922,181.81827,185.8773,190.3758,193.65044,195.03787,193.65044,195.18588,195.83246,197.03786,198.16605,198.43504,204.77512,216.20955,213.91747,214.641,213.42484,210.411,203.70265,189.72751,178.15244,178.0909,185.35573,190.6196,189.46225,184.08554,182.29056,187.76508,200.22495,205.2011,194.93147,171.25392,149.74365,140.71062,135.0001,128.65984,120.256355,113.19862,107.35411,103.24053,96.70974,93.366394,90.0,87.27374,84.805664,84.805664,84.805664,87.3975,90.0,94.96966,97.43131,92.4895,87.5105,82.56869,80.53775,83.41815,85.76369,92.045364,97.853226,105.945465,116.56499,128.04709,139.18501,147.99466,155.37645,160.82089,159.14546,152.24155
2025-11-08 02:07:03+00:00,2025-11-08 00:00:00+00:00,350.53775,6.581848,26.564985,116.56499,203.19862,201.80147,230.19447,198.43504,161.56496,129.80553,130.10085,122.61923,133.1524,303.6901,284.74362,274.48453,319.70792,343.49554,345.66452,346.52682,340.55988,336.3706,331.8439,329.74365,322.3523,312.7974,324.78232,347.1644,351.87,352.69434,340.78723,337.30615,336.94867,3.1363046,346.32867,353.75818,4.2052836,4.92703,10.007925,8.017007,351.30457,351.20267,346.2637,346.25092,345.06854,347.19574,346.79892,350.81122,360.0,348.3664,354.80566,360.0,358.0251,353.15732,353.41815,348.6901,340.8209,344.93146,345.9637,336.8014,334.53668,338.19852,338.19852,356.82022,338.9624,307.87503,299.74478,239.0363,210.25635,200.22495,201.03758,182.20255,157.8905,152.78398,153.43501,160.86626,168.27492,174.89792,180.0,185.35573,191.6336,195.73207,197.48808,199.11981,201.52266,199.48622,199.76726,200.92458,206.88686,216.86998,220.36446,221.112,219.47243,220.48593,211.37296,195.25517,185.04236,189.72751,202.93213,218.2902,258.6901,261.87,153.43501,140.19447,135.0001,16.389616,39.09386,29.248732,29.248732,44.999897,42.13753,44.999897,53.13002,52.523746,58.781662,60.068577,60.64234,62.70051,67.52052,75.46551,83.15732,92.29056,98.42689,104.5345,107.74477,109.98319,111.801476,113.198616,116.56499,117.552734,120.57915,123.6901,130.10085,135.0001,138.01286,145.17545,156.80138,171.38443,181.54813,192.99461,204.77512,210.0685,205.8663,190.88548,174.55975,174.80566,184.57384,192.5288,197.81898,203.19862,209.0545,214.21576,222.13753,226.46873,224.9999,218.2902,214.3804,213.6901,211.42952,212.27562,212.00534,213.6901,213.31064,212.27562,211.60745,209.8988,205.97433,200.22495
2025-11-09 02:12:03+00:00,2025-11-09 00:00:00+00:00,332.5925,312.1375,307.23492,349.28693,354.80566,346.21838,339.56708,348.6901,355.73218,1.0608971,359.20428,0.9240338,359.13196,354.14407,350.53775,358.13235,358.74097,353.03183,348.4399,347.54175,346.45206,346.95435,348.40787,352.87506,2.93562,8.426887,2.2025495,357.79745,11.689341,10.885482,350.13425,320.52756,309.55963,318.01288,328.67136,321.34018,316.73566,292.83368,317.29062,344.24875,348.92984,337.93204,320.82635,270.0,219.28938,198.43504,199.65392,189.78233,168.3664,155.43285,149.74365,158.40463,165.20319,172.01076,177.03912,183.57626,189.72751,193.85144,195.52417,196.9276,196.62083,197.90454,197.6502,200.11267,208.44283,215.04945,217.8158,221.87778,222.27362,212.94922,207.03078,192.72435,186.00891,195.7087,224.9999,230.52757,221.18582,209.7448,171.86998,151.38963,63.435013,49.76371,46.73567,52.695976,60.524208,54.688713,64.35905,82.875084,88.31535,91.78987,100.30479,107.92801,112.38018,118.7397,116.56499,116.56499,115.76928,121.26367,127.694305,133.53127,131.63345,117.64589,125.837746,135.0001,127.875046,139.89915,131.82008,130.81499,124.286934,129.80553,126.384445,137.86247,140.44037,152.10283,159.27437,161.96562,161.91646,161.22188,158.42863,150.64235,143.13002,141.95291,143.84172,146.76828,149.03632,151.2603,149.8587,142.81522,133.95847,131.05472,138.69148,149.23735,158.19853,164.05453,169.7779,175.7322,183.86539,191.71245,195.25517,194.7746,192.26476,189.26015,185.7105,181.31688,178.69807,179.4032,181.0708,183.4832,186.88162,190.52773,193.7909,195.16452,195.43971,195.35019,195.10963,194.31108,193.47318,193.17256,194.03627,194.18433,195.04645,196.42226,195.86577,189.7617,180.65105,178.4725,203.05133,258.2749
2025-11-10 02:18:06+00:00,2025-11-10 00:00:00+00:00,346.293,353.4803,356.3087,348.6901,333.43503,327.72437,337.75092,340.70987,338.6293,339.6768,336.0375,331.55716,318.57642,311.18582,319.39877,347.90527,354.2895,352.6477,329.42084,315.0001,311.18582,311.18582,194.03627,197.10281,192.26476,162.25523,156.2505,159.22766,160.0168,169.3804,165.06853,170.27249,169.3804,165.17348,163.85559,162.03076,169.82455,167.79955,173.82993,200.17073,214.41843,213.02388,209.56026,218.77419,240.78085,231.34018,231.84273,316.33215,338.83865,228.81418,260.53775,352.87506,29.744795,73.300674,46.636536,28.072395,24.304548,25.769283,28.072395,28.886486,33.231728,42.397392,47.862484,53.530666,65.09527,76.42955,93.691315,98.42689,96.581856,109.653915,114.62355,121.60746,126.15828,125.13428,120.963684,127.568665,137.60262,135.0001,133.60289,139.39879,137.86247,127.23492,139.9698,141.34016,145.30478,141.63248,136.46873,147.99466,160.34608,165.06853,165.42575,166.93068,170.09589,180.0,181.12328,183.17976,170.27249,154.09355,152.78398,150.64235,141.34016,138.12222,139.39879,138.23979,145.88548,152.78398,160.34608,172.23492,180.0,181.24533,178.80653,185.80663,192.20045,199.06929,198.43504,197.24155,193.42184,190.3048,187.28886,184.18483,181.39716,179.35626,177.68633,177.32463,178.4235,181.05116,182.62634,183.15065,183.15065,183.67442,184.67734,186.1154,186.62068,184.19759,180.54564,178.8656,181.14574,185.19434,191.30989,204.77512,233.97253,258.6901,249.77505,213.23172,200.13638,267.95465,306.38446,313.4519,316.89648,320.6673,320.46387,311.32538,296.88684,288.64963,290.48044,296.56497,299.74478,296.83395,291.21805,287.42996,288.62796,292.22507,294.85156,297.06104,299.67297,301.6863,301.60745,300.96368
2025-11-11 02:10:12+00:00,2025-11-11 00:00:00+00:00,149.03632,139.39879,140.71062,149.74365,162.40749,162.40749,166.32867,168.11136,166.32867,166.60748,168.69011,170.31128,165.2564,168.9965,176.906,198.43504,216.34755,220.95541,225.60301,234.3601,249.3255,275.31445,284.4208,313.26434,357.5105,9.462248,360.0,5.9060555,5.7105074,348.6901,298.30066,273.3664,317.29062,333.43503,15.255177,15.068549,15.642312,291.25058,290.55612,14.036275,49.398785,120.96369,153.43501,168.69011,159.14546,156.0375,139.08571,108.43504,115.820946,115.01687,121.82741,128.15727,142.12495,141.34016,138.99101,145.71307,148.67137,147.99466,142.69597,141.95291,142.69597,135.0001,135.0001,148.49579,154.02567,165.06853,177.39749,182.54475,184.28908,192.20045,185.7105,180.0,177.39749,182.4895,174.55975,162.64589,152.24155,141.84273,124.3804,130.10085,139.89915,142.69597,148.39255,155.37645,152.52565,149.03632,150.01845,154.98314,162.47433,167.73524,171.25392,180.0,188.42688,197.6502,208.1785,199.44012,162.3498,155.55606,158.74942,155.13632,171.86998,178.40889,180.0,181.54813,184.63538,185.55287,187.32631,186.70975,188.00464,185.52745,187.23683,187.53935,196.89873,199.44012,200.19443,198.23949,193.57045,190.6603,191.30989,193.67133,196.47696,199.11981,201.31798,201.68236,197.2659,188.6731,176.34785,168.9591,166.32867,165.96373,168.11136,171.67444,176.26868,183.3018,190.73885,192.72435,188.25935,180.0,172.14677,167.77489,164.66666,162.89719,162.07199,162.0505,161.56496,160.6651,158.96242,157.52052,158.4985,160.0168,162.21602,167.1523,173.11838,179.029,183.87845,189.78233,197.47487,210.411,228.09415,240.25522,242.62238,241.58743,245.22488,260.2725,279.33493,291.93854,296.56497,299.4758
2025-11-12 02:12:21+00:00,2025-11-12 00:00:00+00:00,64.65388,86.63361,67.06787,38.65983,32.61924,26.564985,27.40749,31.328646,34.215755,32.61924,38.290207,354.80566,10.124612,5.527458,13.627024,29.744795,44.999897,67.24899,90.0,100.71308,114.102234,119.74479,119.53869,108.43504,101.97612,105.945465,115.11481,118.30067,121.60746,130.0302,123.690094,130.81499,133.53127,123.11135,140.71062,136.54811,120.96369,130.60121,133.60289,166.37299,178.69807,177.45525,178.89832,183.94511,186.14653,188.48886,187.85323,181.43207,171.86998,164.3577,167.90526,173.6599,169.11452,180.0,191.76826,192.80426,185.19434,171.57312,166.86597,172.87508,180.0,177.87895,175.42616,177.95464,178.26433,176.82024,175.71092,177.39749,180.0,188.32556,200.32323,207.89717,169.3804,154.44008,170.9098,189.78233,194.03627,187.12492,176.53185,169.6952,169.11452,184.57384,198.43504,204.30453,215.13428,224.9999,220.60121,220.0302,228.46832,232.65057,238.67136,247.98866,258.6901,264.2895,270.0,274.39862,308.2902,329.9315,349.69522,49.398785,57.99466,93.366394,96.84268,83.15732,83.41815,87.79745,90.0,77.00539,62.65021,67.24899,84.95764,96.519714,107.52566,132.61403,141.34016,166.86597,193.24052,208.61037,220.0302,237.72438,252.89719,180.0,115.20109,113.749504,123.6901,215.53777,247.1663,233.97253,215.53777,207.824,211.86594,219.47243,228.57643,235.0079,241.55717,249.67677,263.34567,278.61557,289.1791,295.52966,301.23917,308.5302,319.0446,329.9668,337.78235,341.80075,344.2679,345.3791,345.5559,344.66666,343.66388,343.11313,341.56494,340.9064,340.86627,341.56494,345.65063,353.6599,3.5762644,11.5345955,17.650223,25.277687,32.347424,35.134277,36.86998,37.694313,44.999897,53.13002
2025-11-13 02:29:28+00:00,2025-11-13 00:00:00+00:00,112.61991,104.03627,109.53674,118.1785,128.92755,126.46933,126.86998,137.72638,146.3099,119.74479,123.02387,126.027466,126.027466,126.46933,107.650215,149.53453,164.05453,158.45895,159.90468,158.62932,161.56496,166.80939,161.91646,154.1337,151.92761,150.46132,157.01126,162.55272,154.98314,148.17259,141.34016,136.39711,130.81499,122.61923,111.3707,122.471176,135.0001,147.26479,156.80138,196.55714,215.39488,211.86594,207.75845,205.97433,207.75845,207.1496,207.21602,204.62355,212.61923,148.57048,155.55606,172.64772,176.53185,172.87508,165.06853,152.70052,150.46132,172.64772,189.21095,197.96924,203.80595,210.96368,212.19571,213.6901,231.34016,230.4774,232.3057,242.52565,255.96373,288.43503,297.4075,309.28937,331.9276,348.3664,3.2704222,12.094739,17.354122,15.018415,27.758451,30.465475,30.465475,25.201094,35.217674,47.91091,37.116943,40.971645,50.572224,60.018444,65.344124,73.70589,70.70986,73.66389,77.1523,81.02746,80.13426,65.695465,57.99466,54.090195,55.840256,54.246033,61.92762,67.83361,80.53775,92.385895,78.6901,104.5345,125.753975,154.35904,161.56496,156.3706,152.10283,207.3498,240.94548,256.93066,264.19336,269.076,272.91077,278.42688,288.43503,303.6901,321.1466,340.8209,357.95462,7.3522935,10.22212,9.13011,8.914849,12.011466,15.945477,18.886187,19.983198,19.025702,19.093594,22.93213,26.564985,31.263678,34.69522,38.047092,44.999897,53.13002,61.389645,70.8209,77.735245,84.805664,90.0,92.385895,90.0,90.0,90.0,91.97489,94.08554,98.42689,105.06854,109.798965,109.798965,108.43504,106.26028,106.9276,105.945465,111.801476,123.02387,133.53127,140.19447,143.84172,144.86572,145.84026,144.09018,140.19447
2025-11-14 02:13:03+00:00,2025-11-14 00:00:00+00:00,140.44037,147.26479,157.52052,155.55606,168.69011,159.22766,141.63248,133.60289,129.28938,132.27362,135.0001,127.30403,133.66785,129.55963,146.97614,173.4803,201.03758,196.26028,189.46225,184.39862,171.57312,176.05489,180.0,164.74483,173.8846,190.78426,194.03627,185.7105,156.0375,156.80139,158.19853,152.10283,120.963684,123.6901,122.73522,145.49142,109.653915,137.29063,146.3099,224.9999,285.25516,277.1249,360.0,33.6901,112.61991,90.0,354.80566,319.63553,352.40543,331.69934,336.3706,351.2539,18.03438,18.886187,25.942251,33.6901,37.184795,39.173653,32.195713,34.69522,41.49638,46.169064,44.999897,65.29759,69.10216,75.96373,81.46932,78.88701,83.11838,86.05489,83.796646,75.17348,68.19853,68.96242,68.96242,71.99575,81.70294,92.66295,91.59111,91.54813,93.366394,94.5139,98.74608,101.88863,110.55613,119.98155,118.1785,146.76828,171.02745,209.19739,229.53786,231.91118,230.4774,249.14546,262.8751,339.44388,349.3804,341.56494,1.9748993,2.2905633,357.58054,357.1845,360.0,10.007925,12.407412,14.036275,19.179106,18.435053,24.567156,14.931467,16.189287,43.09086,42.954597,44.999897,48.814175,54.865723,61.26031,67.61982,71.564964,77.27565,83.88459,92.29056,105.945465,110.22495,98.530685,78.231735,67.83361,64.98315,62.02062,62.744755,64.17907,67.52052,73.49557,83.88459,93.691315,102.33907,112.751015,122.73522,128.15727,123.2749,115.34614,114.34108,122.471176,133.63614,141.20343,147.05078,154.2901,159.19313,157.69374,150.75127,136.97493,131.18582,131.98714,136.33215,144.6887,157.06787,167.4712,169.50858,169.50858,177.95464,200.55612,218.85338,231.49931,245.55606,260.98074,271.76236,279.95056,288.8248
