forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:35+00:00,2025-11-05 00:00:00+00:00,94.57384,66.03751,49.185013,43.36347,40.364468,24.775122,10.61961,354.47253,336.3706,330.06857,335.6589,353.82993,8.130019,18.435053,17.61267,29.649773,34.743248,35.537766,41.00899,42.064255,49.899166,56.309914,59.93151,67.01126,75.46551,81.86999,105.945465,116.56499,133.60289,152.35411,157.8336,184.57384,186.3401,198.43504,208.44283,205.64096,203.42871,207.89717,207.824,209.95352,218.65984,217.87505,223.91916,228.36655,224.9999,232.90707,232.25313,201.80147,340.3461,0.80690974,11.142857,8.2593565,7.7650824,11.142857,9.782338,359.04517,357.3975,347.84506,344.7448,347.1644,341.7914,345.06854,343.0724,340.3461,351.54504,360.0,5.2738123,4.3159466,1.3638979,356.72958,345.9637,307.87503,249.44386,197.52567,181.84756,165.96373,163.17851,174.80566,177.06439,193.39252,194.93147,192.38075,195.75124,207.97939,227.29063,254.74483,327.99466,357.97867,13.4162035,13.920995,12.26477,7.495768,4.853018,2.7262611,5.9060555,4.5738406,15.185891,9.637469,9.188767,5.8559217,14.931467,10.573479,28.249653,15.708701,19.592375,14.995138,10.407656,8.297059,6.980963,6.980963,2.93562,360.0,355.76367,357.45523,353.04715,354.14407,358.45187,1.7898695,8.130019,35.537766,122.00535,135.0001,135.0001,138.50363,153.43501,178.21013,196.38962,201.25058,201.54105,201.80147,202.52061,204.86368,208.21725,215.53777,223.60289,229.70793,237.52882,250.25307,266.42374,278.74606,290.22495,302.47116,341.56494,111.801476,122.00535,138.81418,161.56496,180.0,192.5288,205.7099,215.13428,224.9999,233.42688,237.09476,235.92276,230.90614,226.97493,223.02507,219.09384,216.32692,212.9694,210.96368,209.29126,208.8107,208.39293,205.1148,190.88548,156.0375
2025-11-06 02:18:10+00:00,2025-11-06 00:00:00+00:00,78.31066,78.231735,79.69521,120.0685,160.55988,210.46547,168.69011,200.55612,184.76355,172.40544,209.4758,208.88649,197.92801,207.824,207.09547,216.86998,222.4208,229.89915,228.07755,248.19853,247.96371,329.53452,2.7262611,30.963696,29.054508,37.875042,19.653913,8.615564,4.184834,342.8972,318.991,331.69934,343.61038,353.517,338.19852,338.74942,341.1138,347.4712,330.9455,348.40787,350.21765,59.53454,121.75944,17.241547,19.179106,30.256361,224.9999,188.13002,184.23631,172.87508,161.56496,150.42226,152.90453,169.15974,184.39862,191.82146,187.35228,198.43504,206.56499,245.85446,309.8055,334.1337,348.26144,2.4366064,0.4658101,354.01514,359.53036,357.48868,359.48846,356.0354,5.023991,0.69867855,7.6505675,357.70944,8.3102,3.433568,0.6295844,358.727,3.0127327,357.79745,349.90256,353.38663,354.7262,354.61078,351.87,351.2539,344.84586,352.1999,356.94717,358.53122,355.36462,354.4471,358.26434,359.029,360.0,5.4402504,21.801476,33.6901,48.814175,67.61982,118.61037,147.26479,164.05453,182.29056,195.06854,199.65392,201.80147,201.80147,201.25058,186.17007,182.60251,180.0,202.38017,213.89621,217.18478,221.56627,223.11183,223.60289,220.36446,213.6901,210.0685,214.77791,222.35739,228.36655,230.04251,229.14471,229.14471,228.27058,227.41954,227.41954,230.7928,235.30478,239.47037,239.9315,239.74365,243.43501,261.2539,301.4295,336.5014,353.88458,9.782338,23.962492,44.999897,71.564964,90.0,101.768265,118.30067,159.44388,220.60121,252.89719,273.17978,305.21768,332.52567,343.61038,343.1415,340.3461,334.44006,330.5242,327.99466,324.46225,315.0001,248.19853,175.23645,161.56496,151.92761,143.74608,138.36655,135.0001
2025-11-07 02:16:10+00:00,2025-11-07 00:00:00+00:00,25.114815,21.501507,27.979382,23.962492,14.036275,355.10098,356.42374,335.77228,339.82925,337.4794,335.77228,337.1663,343.2173,336.92957,331.9276,341.31256,358.45187,4.610574,3.9004252,356.82022,349.11453,327.99466,277.59454,243.43501,195.25517,169.8754,170.27249,157.52052,152.59251,172.87508,172.14677,191.76826,198.43504,212.19571,224.9999,262.8751,325.56094,345.4889,10.007925,9.761711,9.971998,8.560813,12.528798,15.068535,10.244031,10.573479,9.323526,9.637469,16.699326,8.8805895,13.240531,9.323526,12.380747,356.98727,352.40543,355.48608,357.3975,8.583544,5.8066354,7.853233,6.6324186,356.72958,345.9637,343.0724,350.98074,351.11942,352.23492,351.75375,351.75375,354.2895,358.31534,11.94416,41.877792,61.26031,68.19853,76.50425,92.60251,114.22774,135.0001,153.43501,170.9098,185.90605,176.05489,189.21095,190.71307,182.93561,177.20735,189.90411,200.18588,208.20154,212.00534,216.38445,218.53021,220.13542,219.22566,209.8988,210.34317,220.23628,224.9999,226.54811,221.37842,222.92996,228.21558,228.44748,224.9999,225.80684,230.35587,233.39284,233.67308,242.176,270.0,291.3707,344.2913,357.20734,347.4712,4.398633,21.801476,33.340725,39.47243,46.005,50.59937,54.46224,56.82148,59.743652,69.14546,90.0,95.19434,18.435053,346.50424,340.14468,338.45895,338.74942,340.55988,344.47583,349.5626,355.60138,6.3401003,21.161337,36.158287,47.72637,58.671368,74.3577,91.90912,103.671326,110.55613,115.34614,119.93143,124.592354,127.875046,130.23628,131.34769,132.39738,132.13753,133.36346,140.52757,154.7989,163.61038,163.61038,160.55988,158.74942,161.56496,164.3577,168.31065,172.64772,176.53185,176.53185,167.27565,152.59251
2025-11-08 02:07:16+00:00,2025-11-08 00:00:00+00:00,219.17365,210.96368,150.01845,138.99101,136.2188,152.44728,173.08887,183.27042,224.9999,223.7812,289.50253,317.95087,327.6002,347.06195,356.33228,7.454213,356.14328,355.2853,2.533513,358.9088,352.73685,350.13425,349.57935,351.11942,354.55975,346.75946,354.2895,354.40076,355.9859,360.0,342.64587,329.9315,324.2932,322.12497,341.56494,335.55606,335.32315,334.1337,331.38962,342.52515,354.64426,346.8094,349.5626,350.77017,351.77335,352.53952,353.9911,357.13766,21.801476,49.398785,63.435013,76.37299,93.57626,114.775116,128.65984,146.97614,162.3498,186.84268,186.3401,181.9091,172.40544,159.86362,162.12122,164.62369,173.15732,183.01273,197.03786,202.6199,205.79597,209.63829,211.4295,199.74693,190.17545,193.0919,200.69553,201.37068,202.6199,209.98155,215.13428,215.6399,212.27562,212.73521,215.3113,218.82983,223.36346,233.13002,248.45895,273.814,341.02948,356.98727,1.5074003,14.444078,9.752367,8.530679,27.121223,28.610369,21.037588,25.201094,46.332153,80.53775,81.86999,63.435013,41.185837,26.564985,360.0,351.4693,3.8140097,5.7105074,353.9911,3.179772,18.435053,30.256361,65.09527,97.35229,118.1785,120.141304,117.25525,114.56716,113.38525,112.30626,114.775116,123.6901,136.78989,147.3391,159.14546,173.21112,185.44025,193.70699,200.55612,204.77512,205.34613,202.8337,201.54105,203.02553,206.56499,209.60435,213.11136,216.09837,218.21107,219.80553,220.46214,218.41809,208.88649,192.72435,181.73567,176.72958,175.36462,178.4926,185.85593,195.75124,205.34613,213.31064,220.91429,230.38934,244.17906,261.11942,275.35574,283.13403,289.0936,289.1791,278.53067,252.64589,229.39879,217.87505,213.11136,209.0545,201.80147,194.47034
2025-11-09 02:12:14+00:00,2025-11-09 00:00:00+00:00,357.79745,342.64587,353.29025,4.289077,1.3638979,336.9745,344.53873,338.45895,331.8215,317.38596,315.0001,337.01126,342.40747,357.6141,356.49652,0.90936255,356.68228,350.67648,342.7341,353.50073,350.1665,351.09836,354.80566,358.21014,15.708701,34.69522,39.55964,38.290207,33.023872,13.392516,3.179772,272.12103,280.88547,316.5481,14.743609,276.58185,263.15732,247.61981,215.21768,180.0,181.273,178.0909,192.72435,197.40279,206.9276,209.53868,209.7448,204.77512,193.70699,197.6502,206.02953,208.61037,211.89075,215.53777,217.04256,215.6399,212.94922,214.46088,218.04709,219.80553,223.4089,229.39879,239.47037,248.19853,276.0089,328.73633,354.80566,14.534496,32.61924,19.057802,17.474865,30.735416,26.564985,24.102238,31.184912,46.97493,46.27295,52.765083,28.30066,12.99463,360.0,20.924576,31.263678,47.862484,73.49557,82.40546,94.39862,115.46331,135.0001,147.52882,147.0306,151.1893,150.83249,153.43501,152.04913,145.56096,142.12495,144.90411,147.0306,151.60707,159.90468,165.96373,178.4926,194.03627,197.87878,181.59111,185.19434,183.57626,180.0,180.0,169.3804,165.52966,166.26372,164.84589,168.69011,172.56868,177.5105,182.72626,194.03627,216.38445,233.74606,208.61037,149.03632,136.54811,143.97253,161.56496,180.0,203.19861,231.7098,242.52565,230.19447,213.6901,203.55228,203.19861,206.56499,210.411,213.6901,215.83774,216.75937,216.76447,216.3395,215.90982,214.56259,213.26144,212.39137,211.34952,210.7499,211.20045,214.8754,220.98573,224.49303,223.89838,221.18582,218.50067,217.77574,218.85338,220.31403,219.64413,219.20718,232.35231,285.25516,319.32513,331.1893,342.216,358.81885,13.091906,15.561579,10.375799
2025-11-10 02:18:23+00:00,2025-11-10 00:00:00+00:00,29.054508,40.601215,38.65983,299.74478,267.6141,280.1246,300.96368,313.36346,321.70978,347.19574,15.945477,356.6336,48.814175,216.02747,209.7448,171.11942,159.77505,159.04414,178.99493,191.09369,195.94547,200.37651,201.80147,164.74483,128.36752,124.82456,113.749504,165.4655,192.5288,201.03758,214.50858,216.57312,218.8845,226.00499,228.23979,229.23648,244.05775,256.373,288.92474,288.88617,321.009,324.0578,342.58194,343.70587,339.88733,342.5972,352.98358,10.007925,18.435053,32.660904,46.90914,54.865723,68.19853,62.447273,52.124958,42.510403,41.98713,53.972538,63.435013,77.735245,90.0,137.4896,123.6901,121.75944,135.0001,144.16226,151.85849,151.47697,155.22488,159.22766,156.21796,152.92801,150.2552,147.61934,153.43501,152.10281,158.00882,163.5399,171.67444,172.87508,170.07382,170.07382,170.31128,168.9591,171.25392,172.69434,183.094,202.06795,216.25392,216.52895,220.10085,221.42357,240.94548,259.21576,283.24054,12.528798,75.96373,129.80553,167.90526,169.3804,171.86998,186.84268,173.15732,181.9091,191.0035,199.35909,204.67685,215.83774,224.16977,226.5911,224.9999,224.23619,224.9999,224.51036,219.06258,221.34767,224.27486,225.69861,224.9999,222.96909,219.97087,215.36255,208.1785,203.9625,208.4741,214.65138,217.71605,217.82281,217.11694,217.37589,219.3327,222.0317,225.42436,229.3324,234.53654,244.11302,277.9695,336.21796,352.2882,347.4712,336.7368,331.04004,337.6198,350.9098,0.6227405,358.4725,345.2032,323.39282,305.21768,293.1986,287.74475,289.90384,294.44394,297.19803,297.49905,296.56497,297.52515,300.71884,305.6186,309.88953,314.18164,317.4896,319.2975,319.9555,320.1945,319.9207,318.63306,315.59058
2025-11-11 02:10:24+00:00,2025-11-11 00:00:00+00:00,142.81522,144.46223,143.84172,176.30869,197.96924,207.89717,211.18492,217.34943,224.09071,228.94528,237.99466,254.87593,262.8751,262.40546,316.8476,315.0001,338.19852,337.21756,329.9315,332.1028,340.0168,347.57407,351.15826,11.76827,49.76371,52.431335,73.300674,75.46551,93.945114,122.471176,262.40546,275.7105,291.80148,283.13403,308.2902,282.33908,308.0471,310.60123,313.36346,282.99463,213.02386,174.80566,181.02301,185.38922,182.81549,183.3664,181.76236,174.92049,163.44286,147.3391,151.38963,149.589,156.3706,161.56496,175.36462,183.27042,185.19434,186.3401,183.69131,187.12492,180.0,194.93147,202.24907,193.24052,199.65392,224.9999,11.3098955,44.999897,55.0079,61.389645,85.23644,92.4895,90.0,86.82024,108.43504,59.743652,60.64234,65.22488,56.3099,17.102825,23.198618,20.556128,28.610369,90.0,90.0,77.4712,153.43501,165.96373,172.87508,165.2564,160.34608,161.11382,165.06853,165.42575,165.42575,136.08084,128.23387,140.9645,163.5399,186.63242,205.4633,213.07068,213.38853,201.97456,205.01686,215.53777,220.91429,217.09291,206.0753,205.2011,208.36896,214.41843,216.7242,213.08485,212.08215,211.56177,210.84651,208.77971,203.53236,192.90741,180.0,178.83089,183.63287,186.25394,186.84268,187.8001,188.24623,187.23683,186.22574,187.12492,195.94547,209.57774,215.83774,206.56499,192.01146,185.29,189.75235,196.55714,199.9832,200.64706,200.32323,199.35909,194.93147,30.963696,26.564985,33.111355,51.842735,70.01681,36.027473,9.865748,349.3804,323.39282,303.17853,296.2413,295.37772,297.42865,299.98157,304.03217,309.0355,313.7456,317.92505,322.65057,325.45984,325.2221,322.56134,321.8427,324.6887,333.9967
2025-11-12 02:12:34+00:00,2025-11-12 00:00:00+00:00,15.642312,15.708701,32.195713,19.093594,28.886486,35.537766,22.380184,321.34018,327.38077,335.69547,335.09525,324.24603,318.81418,322.76508,332.52567,328.39255,26.564985,113.62939,143.13002,145.22209,152.35411,156.80139,165.20319,163.0091,160.0168,159.22766,148.39255,150.01845,158.83867,165.96373,178.36346,195.06854,204.30453,231.63248,210.65059,197.35411,207.3498,210.1413,228.50363,242.81897,286.50443,303.6901,300.96368,310.2363,332.02063,338.19852,355.91446,360.0,351.2539,155.55606,123.690094,116.56499,90.0,216.86998,240.2552,273.814,299.74478,306.86996,299.74478,308.65982,303.02386,292.83368,285.25516,295.34613,296.56497,275.7105,230.19447,180.0,180.0,176.30869,172.87508,160.90642,141.7098,145.78424,163.0724,178.02512,202.751,205.82094,218.92755,244.17906,235.84026,255.96373,289.6539,306.52896,311.7602,306.86996,303.17853,319.18503,340.46326,354.47253,360.0,11.3098955,36.027473,55.840256,76.908104,82.50424,88.4089,80.21766,69.44387,63.435013,86.186005,117.89718,126.86999,143.13002,48.814175,51.34017,53.84173,66.80139,77.27565,97.76508,100.491425,106.26028,132.5104,145.88548,147.72438,184.48453,213.48619,223.83095,226.43204,227.17476,227.58585,228.6679,229.39879,230.93153,234.21094,238.17259,243.43501,249.09195,255.66454,262.0566,268.45187,277.00116,288.43503,297.64587,303.6901,308.991,317.2312,324.58286,331.14444,332.9874,332.56036,336.92957,351.46933,8.488864,17.715889,18.904669,16.476961,13.431052,12.030577,9.462248,7.12493,6.0723705,4.763556,4.864438,2.6629453,1.5481218,3.5762644,15.42223,32.195713,46.27295,59.420856,86.98728,120.46546,136.46873,140.59937,140.7106,135.0001,125.837746
2025-11-13 02:29:39+00:00,2025-11-13 00:00:00+00:00,156.3706,151.2603,160.46326,166.42955,159.22766,164.05453,180.0,209.98155,211.60745,229.18501,216.15828,214.69522,201.4478,202.1664,236.3099,220.91429,242.02061,272.4895,308.65982,322.12494,315.0001,324.46225,315.0001,311.98712,333.43503,333.43503,312.5104,301.75943,292.6199,275.7105,271.78986,271.63654,289.44012,306.25394,307.47626,317.29062,306.15826,310.2363,312.39737,302.00534,287.24155,260.9098,233.53067,233.42688,235.49141,227.12111,217.87505,198.43504,198.9705,154.23073,174.2895,167.66092,169.04597,202.93213,230.82635,238.49579,247.61981,252.1212,249.22766,261.38443,285.25516,309.8055,326.68936,336.3706,342.072,347.3196,350.53775,1.5481218,17.92802,44.999897,63.970474,75.57919,85.4861,93.691315,78.231735,46.169064,49.53785,29.744795,60.255207,74.248764,73.81073,66.5713,70.01681,77.79955,80.21766,81.11942,85.91447,97.495766,109.17911,119.87591,128.33337,136.43204,142.73352,146.82147,152.6502,139.93929,120.256355,118.024414,125.80344,137.83418,151.5259,162.3498,171.30458,204.28581,232.36467,233.47105,237.72438,242.176,251.81085,254.18074,273.12207,315.0001,333.9967,343.96,348.83514,351.76447,351.31372,353.85345,2.0825295,18.03438,35.217674,45.909298,51.709793,54.057793,54.90411,52.523746,52.765083,57.99466,65.37646,72.25524,77.00539,79.50858,85.91447,99.78234,115.820946,128.65984,142.00122,154.02567,160.0168,157.98866,152.48808,146.3099,137.66306,128.10762,123.20658,126.30459,134.23619,143.61555,148.13406,149.03632,152.78398,157.93205,162.89719,170.53775,181.24533,190.40765,196.38962,198.08354,196.4601,192.09474,181.30193,170.53775,166.46413,172.76317,181.56932,184.34315,177.70944,165.76268
2025-11-14 02:13:16+00:00,2025-11-14 00:00:00+00:00,190.78426,216.02747,253.61038,260.53775,249.67677,262.6477,275.04236,285.52417,284.03625,290.37653,294.56717,295.27768,298.3929,302.47116,304.9921,307.47626,315.97092,317.2026,297.64587,267.27374,250.70985,220.60121,199.65392,184.57384,171.86998,195.42223,214.21576,222.5104,224.9999,241.11351,246.3706,270.0,263.29025,276.84268,273.6913,302.00534,297.97937,273.6913,268.15244,317.5638,354.2073,22.905807,23.106356,29.835459,36.292717,44.443825,55.750916,57.380775,47.385983,49.236485,55.407658,62.59251,65.695465,66.80139,66.19405,83.659904,99.72751,104.82652,113.42871,118.30067,112.93214,120.57915,115.01687,125.13428,127.64769,130.48593,134.29277,143.13002,144.16226,147.40742,148.64297,139.49724,116.56499,116.90602,124.50858,130.19199,135.55618,144.74356,150.8658,161.09534,184.87918,216.46933,221.05472,222.75424,226.77144,233.84172,243.85321,287.52567,308.01157,316.87173,326.76828,331.0601,338.5522,345.61856,354.8719,0.97099817,1.3638979,5.0795207,30.618525,48.621593,50.856018,50.194473,40.9143,36.86998,37.30404,39.289394,37.694313,46.468742,50.710617,59.743652,75.96373,94.39862,115.46331,127.99879,136.97493,144.3235,147.14429,145.53912,135.65846,120.65059,110.97357,110.44964,114.44395,117.89718,119.24873,118.767555,119.74478,122.471176,126.11943,130.15593,135.0001,138.94528,142.59457,144.90411,147.61934,149.98172,153.43501,157.30617,158.70258,156.91484,154.17906,151.1893,146.05637,137.2312,130.73203,130.31403,136.04153,145.40765,163.14153,183.01273,197.59251,209.29126,220.97165,235.9806,267.27374,306.1933,322.27493,322.66672,317.1611,313.91916,315.55618,319.66693,322.43134,323.49847,322.73352,319.7637,309.8055,287.1028
