forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:58+00:00,2025-11-05 00:00:00+00:00,1001.9594,1001.74365,1001.0425,999.7463,998.95416,997.769,996.6809,994.8948,992.81665,992.91833,993.3106,992.81573,992.1271,991.52856,991.6291,992.7373,993.0376,993.6328,994.14136,994.8475,995.72034,996.4298,997.1842,997.19446,997.8861,998.97955,999.9611,1000.55084,1001.9447,1003.44006,1004.53845,1005.53375,1006.5179,1007.40845,1008.00574,1008.10425,1008.1075,1007.9095,1007.8137,1007.1229,1006.64294,1006.25916,1006.3672,1005.29034,1004.57465,1004.4992,1004.9922,1004.9,1005.38043,1006.0755,1006.1812,1007.26526,1008.2435,1009.4312,1009.9165,1010.69556,1010.97217,1011.9487,1012.5648,1012.6391,1013.1307,1013.4298,1013.4333,1013.8265,1014.93506,1015.56616,1015.7994,1016.31964,1016.23486,1016.146,1015.8437,1015.73376,1015.90607,1016.1648,1016.4489,1016.82263,1017.0093,1016.9044,1016.89685,1016.8955,1016.793,1016.78723,1016.6838,1016.3775,1015.6742,1015.87067,1015.06665,1015.46423,1015.8828,1015.51935,1015.25494,1014.8875,1013.91394,1013.52985,1013.1377,1012.831,1012.7084,1012.5972,1012.79254,1012.48566,1012.77216,1012.3714,1012.6629,1012.4577,1012.35297,1012.3444,1012.63586,1012.6293,1012.6249,1012.9198,1012.91437,1013.0103,1013.4221,1013.6591,1013.6937,1013.4233,1013.0507,1012.7661,1012.6636,1012.74963,1012.8331,1013.11334,1013.4905,1013.77155,1013.95734,1014.14655,1014.2393,1014.3387,1014.4412,1014.542,1014.7373,1015.03,1015.2247,1015.31836,1015.4135,1015.51715,1015.93567,1016.3623,1016.68854,1016.7141,1016.43915,1016.254,1016.0552,1015.84595,1015.6334,1015.5158,1015.49255,1015.4744,1015.46356,1015.45685,1015.3511,1015.1459,1014.9417,1014.6379,1014.33545,1013.93475,1013.5337,1013.22784,1012.92206,1012.5299,1012.0602,1011.50244,1010.74115,1009.6741,1008.5033,1007.32184,1006.3245,1005.5166
2025-11-06 02:18:47+00:00,2025-11-06 00:00:00+00:00,999.71967,1000.3003,1000.69257,1001.2859,1002.57184,1004.2594,1005.1276,1006.2179,1007.0162,1007.4886,1008.2856,1008.6854,1008.58295,1008.6877,1008.5851,1008.2762,1007.98865,1007.42645,1007.2532,1006.2844,1005.2055,1004.313,1004.39575,1004.3841,1003.88837,1004.67596,1005.06415,1005.75366,1006.33746,1007.12506,1008.90576,1010.2758,1011.3553,1012.04974,1012.8264,1013.91754,1014.91907,1015.1134,1015.70764,1016.60876,1016.9102,1017.72833,1018.4426,1018.7477,1018.36365,1018.8684,1019.34503,1019.0575,1019.4411,1016.8345,1017.4113,1017.4952,1017.38586,1017.58044,1017.778,1017.1771,1016.7787,1016.96844,1017.2577,1016.45496,1015.5512,1015.5489,1015.5458,1015.3412,1015.86273,1015.6057,1015.43964,1014.972,1014.2975,1013.61755,1012.92303,1012.7157,1012.595,1012.37994,1013.05316,1013.052,1013.1361,1013.4387,1013.3295,1013.4221,1013.4181,1013.60895,1014.0011,1013.9957,1013.99347,1014.2903,1014.2858,1014.5809,1015.09753,1015.3336,1015.3673,1015.29596,1015.01685,1014.7314,1014.7378,1014.9343,1014.80414,1014.86816,1015.1555,1015.54675,1015.7402,1016.23175,1016.6279,1016.62695,1016.82263,1017.11194,1017.20807,1016.9108,1017.017,1017.31616,1017.10864,1017.2135,1017.72363,1017.8447,1017.8674,1017.6014,1017.1401,1016.76447,1016.7625,1016.8463,1017.0282,1017.31055,1017.59186,1017.87726,1017.97125,1018.0706,1018.0693,1017.96893,1017.8686,1017.86316,1017.94855,1018.02936,1018.1104,1017.9902,1017.8697,1017.66516,1017.58466,1017.42,1017.15204,1016.4821,1015.5116,1014.7291,1014.1317,1013.5245,1013.111,1012.8887,1012.6598,1012.4394,1012.0351,1011.6398,1011.14185,1010.63696,1010.1302,1009.6269,1009.22705,1008.9298,1008.63165,1008.42615,1008.41864,1008.3214,1008.34326,1008.4753,1008.4049,1008.12823,1007.74963,1007.46216,1007.2643,1007.257
2025-11-07 02:16:42+00:00,2025-11-07 00:00:00+00:00,1004.9931,1004.6877,1004.5892,1004.4804,1005.8499,1008.32324,1011.1002,1011.9871,1012.0771,1012.6613,1013.058,1013.6401,1013.4314,1013.626,1014.21136,1014.9146,1015.8159,1015.9275,1016.84686,1017.55585,1018.06134,1018.1781,1017.8903,1017.3003,1017.18494,1017.35156,1017.6248,1017.5124,1017.3985,1017.3919,1017.5839,1017.4791,1017.17883,1016.9835,1016.4875,1015.6914,1015.3953,1015.09814,1014.6952,1014.1872,1013.8978,1014.03766,1014.27106,1013.798,1013.1276,1012.94965,1012.6632,1012.15765,1011.8344,1013.96045,1014.04596,1014.139,1014.13666,1014.3517,1014.6379,1014.8249,1014.82043,1014.9131,1015.2014,1015.19385,1015.3903,1015.79016,1016.0851,1016.58075,1017.29443,1017.82965,1018.0652,1018.092,1017.7167,1017.43646,1017.2449,1017.3402,1017.2078,1017.36847,1017.8556,1018.04346,1018.13873,1018.334,1018.6291,1018.52185,1018.71533,1018.5133,1018.7089,1018.50464,1018.3996,1018.40076,1017.8984,1018.09155,1018.7112,1018.9457,1018.87964,1018.91693,1018.0329,1017.07,1016.399,1015.9994,1015.8624,1015.94305,1016.52704,1016.72046,1016.7182,1016.70984,1016.67676,1016.5538,1016.655,1016.65314,1016.7351,1016.72327,1016.4196,1016.32336,1016.037,1015.9484,1016.154,1015.86664,1015.2915,1014.617,1013.846,1013.0643,1012.46606,1011.8579,1011.4456,1011.2287,1011.2075,1011.09,1010.8782,1010.768,1010.5594,1010.3521,1010.24603,1010.04065,1009.8364,1009.7317,1009.52844,1009.322,1009.21594,1009.0225,1008.95074,1008.8902,1008.6262,1008.1526,1007.57513,1006.99005,1006.4953,1006.0923,1005.7858,1005.5734,1005.45703,1005.34406,1005.1399,1004.9399,1004.7392,1004.6354,1004.63,1004.62585,1004.52106,1004.4173,1004.31696,1004.12006,1003.82855,1003.63916,1003.5548,1003.57465,1003.396,1002.923,1002.3523,1002.16473,1002.5511,1003.22205
2025-11-08 02:07:43+00:00,2025-11-08 00:00:00+00:00,1017.41656,1015.7901,1017.2617,1016.7465,1016.9331,1016.23114,1016.5193,1016.1163,1015.7133,1015.8204,1015.4259,1014.9312,1014.22876,1014.22565,1014.32275,1014.3183,1014.4266,1014.4518,1014.3813,1014.005,1013.33276,1012.951,1012.86304,1012.365,1012.144,1012.02454,1012.21387,1012.4019,1012.29614,1012.3911,1012.38916,1012.2831,1012.18054,1012.47644,1012.6744,1012.77057,1012.96716,1013.4596,1013.9471,1014.2342,1014.7325,1015.26733,1015.83057,1015.9584,1015.975,1016.08673,1016.19354,1016.18835,1016.17285,1017.0798,1017.6622,1017.6545,1017.74536,1017.6436,1017.8405,1017.83386,1018.02936,1018.32666,1018.41614,1018.2088,1017.9106,1017.8099,1017.9115,1017.8089,1018.0284,1018.1624,1017.7916,1017.2376,1016.8763,1016.49335,1016.65485,1016.7342,1016.54584,1016.79846,1017.3898,1017.5969,1017.77246,1017.8424,1018.03033,1017.92456,1018.2162,1018.2088,1018.2008,1017.7968,1017.5913,1017.6863,1017.38354,1016.9829,1017.09875,1016.9424,1016.47577,1015.9038,1014.6288,1013.44836,1012.4565,1011.8506,1011.32947,1010.99695,1010.87506,1011.0577,1010.95154,1010.5376,1010.23175,1009.7263,1009.62244,1009.6202,1009.6202,1009.42365,1009.02386,1009.0261,1008.82947,1008.826,1009.0479,1009.2815,1009.31165,1009.22797,1008.94055,1008.6487,1008.2551,1007.75806,1007.45776,1007.5498,1007.73694,1007.8279,1007.62494,1007.2261,1007.0254,1007.12036,1007.315,1007.41095,1007.41223,1007.315,1007.316,1007.3116,1007.30426,1007.4015,1007.7051,1008.014,1008.2236,1008.13586,1007.84906,1007.5571,1007.15546,1006.7473,1006.4394,1006.5324,1006.82434,1006.9206,1006.7218,1006.4258,1006.23016,1006.1339,1006.03766,1005.9414,1005.8453,1005.8497,1005.8528,1005.8547,1005.9553,1006.0578,1006.3611,1006.6679,1006.8784,1006.80066,1006.42896,1006.2456,1006.14215,1006.12665
2025-11-09 02:29:34+00:00,2025-11-09 00:00:00+00:00,1011.9338,1011.815,1011.89,1011.67944,1011.7735,1012.06805,1012.06805,1011.96686,1011.568,1011.66736,1011.7681,1011.86615,1011.9655,1012.561,1013.1552,1013.7471,1014.2486,1014.6839,1015.13025,1015.159,1015.07196,1015.1838,1015.29144,1015.4861,1015.6694,1016.03125,1016.6077,1016.99567,1017.1722,1017.45636,1017.7469,1017.8345,1017.82684,1018.1228,1018.0179,1017.80927,1017.9154,1018.01886,1018.1088,1018.103,1018.4069,1018.84344,1019.08215,1018.80743,1018.4056,1018.6338,1018.9393,1018.9375,1019.02527,1016.21924,1016.5882,1016.9695,1017.055,1017.6372,1017.43085,1017.5293,1017.3423,1017.0616,1016.9664,1016.47034,1016.35913,1016.15265,1015.8459,1015.4419,1015.45276,1014.9869,1014.42236,1013.8524,1012.67303,1011.5818,1010.5864,1009.88556,1008.9659,1008.7417,1008.83484,1008.82,1008.4255,1008.4201,1007.80853,1007.4198,1007.2144,1006.7218,1006.9108,1006.4908,1006.3794,1005.877,1006.0705,1005.5856,1005.79504,1005.40283,1004.8225,1004.9196,1004.6161,1003.5259,1002.7254,1001.82764,1001.1244,1000.52356,1000.4242,999.9293,999.1364,998.4481,997.66046,996.37366,995.87665,994.3866,993.7932,993.7955,993.3979,994.07776,994.9574,995.93976,998.3209,998.72815,999.2282,999.44434,999.3672,999.27936,999.3716,999.5521,999.7296,1000.1024,1000.4739,1000.8518,1001.0462,1001.0506,1001.1511,1001.2415,1001.42926,1001.52106,1001.61926,1001.6227,1001.6271,1001.43365,1001.24274,1001.1477,1001.2484,1001.3465,1001.4424,1001.3377,1001.23267,1001.2283,1001.427,1001.82684,1002.2265,1002.72345,1003.2195,1003.7152,1004.11176,1004.5071,1004.804,1004.9034,1004.80615,1004.6097,1004.21655,1003.72626,1003.03613,1002.04755,1000.9586,1000.27075,1000.27966,1000.58966,1001.10394,1001.63416,1002.1705,1002.7888,1003.3759,1003.8477
2025-11-10 02:18:58+00:00,2025-11-10 00:00:00+00:00,1016.16223,1016.1235,1015.9985,1015.5859,1016.0648,1016.45056,1017.1387,1017.33075,1016.92145,1017.0173,1017.212,1017.00775,1016.6254,1017.03613,1017.63434,1017.73376,1017.74146,1018.16394,1018.7745,1018.9827,1019.0115,1019.2357,1019.3517,1019.34973,1019.4155,1019.7716,1019.9422,1020.0212,1020.0058,1019.9927,1020.0791,1020.0669,1019.7585,1019.55206,1019.14453,1018.6373,1018.2343,1017.8298,1017.3262,1016.72534,1016.3389,1015.78406,1015.3464,1014.38043,1013.30096,1012.6125,1011.72095,1010.6266,1009.8175,1008.3144,1008.30554,1008.01074,1007.813,1007.5126,1007.6057,1006.7088,1006.50903,1005.918,1005.51294,1005.0137,1004.70264,1004.411,1003.7161,1003.41895,1003.3325,1003.05566,1003.08075,1002.5976,1001.4161,1000.23895,999.3451,997.9485,997.2442,996.7212,997.3198,996.22644,996.3133,994.8179,992.62256,990.4203,989.735,989.5381,992.23157,993.8917,995.479,996.4677,997.55347,998.94946,1000.0416,1000.34735,1000.55676,1000.83594,1000.9105,1001.12,1001.34357,1001.82324,1002.1107,1002.39075,1002.8736,1002.9543,1002.94336,1003.2284,1003.41815,1003.32336,1003.2328,1003.14307,1003.33215,1003.43365,1003.0374,1003.02734,1002.6593,1002.358,1002.559,1002.56116,1002.56116,1002.2662,1001.873,1001.6786,1001.98,1002.5798,1002.9795,1003.17706,1003.1748,1003.2733,1003.3727,1003.5737,1003.5747,1003.3771,1002.9804,1002.6845,1002.58954,1002.59393,1002.5008,1002.3086,1002.1174,1002.1268,1002.43787,1003.04803,1003.4586,1003.6678,1003.87604,1003.9799,1004.17645,1004.36993,1004.36365,1004.2592,1003.9566,1003.5557,1002.95935,1002.2667,1001.4746,1000.5863,999.698,998.7083,997.51416,996.31824,995.81494,996.4992,997.87524,999.0595,999.956,1000.65936,1001.06537,1001.0749,1000.688,1000.3929,1000.28406,1000.0673
2025-11-11 02:10:47+00:00,2025-11-11 00:00:00+00:00,1017.22736,1016.5961,1018.1585,1018.04407,1018.93555,1019.12537,1020.01355,1019.12537,1018.73004,1018.4331,1018.13367,1017.6335,1016.93445,1016.5324,1016.42664,1016.4177,1016.3228,1015.6423,1015.1648,1014.28955,1013.3105,1012.4212,1011.33105,1010.2353,1009.4293,1009.1099,1008.59906,1008.0944,1007.6892,1007.4842,1007.2841,1006.5776,1005.7846,1004.9819,1004.27856,1003.6756,1002.8751,1002.5747,1002.6731,1002.5747,1002.37683,1002.1048,1001.57245,1001.00964,1000.51263,1000.52826,1000.1316,999.23883,998.332,1000.0213,998.9237,998.81396,998.31067,997.31134,997.1157,996.0223,995.31604,994.5178,993.2265,992.63104,990.93805,991.10754,992.02216,994.4056,995.69775,996.5914,996.61456,997.6283,997.0163,997.21515,997.61176,997.80927,998.3932,999.16614,999.7562,1000.3464,1000.4414,1000.7138,1000.902,1001.1946,1001.69055,1002.17554,1003.1651,1002.8669,1003.0537,1003.2481,1003.53973,1003.8325,1004.243,1004.87775,1005.11,1005.3387,1005.0594,1004.7675,1004.4737,1004.3762,1004.44824,1004.70264,1005.2851,1005.7711,1005.8642,1006.16327,1006.36115,1006.35443,1006.94635,1005.8651,1006.4494,1006.46686,1006.5707,1006.9673,1006.7685,1006.7695,1006.7726,1006.8786,1007.08185,1006.78674,1006.3924,1006.0954,1005.99475,1005.8945,1005.9916,1006.18915,1006.38794,1006.5868,1006.6873,1006.6896,1006.5912,1006.3924,1006.1936,1005.996,1005.79913,1005.60474,1005.5085,1005.5116,1005.6133,1005.6164,1005.52234,1005.3289,1005.23175,1005.2276,1005.3195,1005.41125,1005.5032,1005.595,1005.78625,1006.1775,1006.6678,1007.06,1007.45447,1007.7492,1008.042,1008.32904,1008.7124,1008.9983,1009.2875,1009.4787,1009.8695,1010.3564,1010.94354,1011.54236,1012.06274,1012.5952,1012.9252,1012.9516,1012.876,1012.7893,1012.7862,1012.8725
2025-11-12 02:13:01+00:00,2025-11-12 00:00:00+00:00,1009.34393,1009.2147,1008.2059,1007.1081,1007.3015,1007.59515,1007.4917,1006.4924,1005.99,1005.48956,1004.997,1004.4016,1003.89606,1003.5913,1003.6831,1003.8788,1003.8819,1004.1198,1004.25635,1004.19385,1003.7207,1003.14276,1002.2604,1001.94763,1001.43115,1001.4073,1001.8908,1001.87604,1001.4678,1000.56683,999.3697,998.77765,997.78265,997.1913,996.8847,995.00446,994.40405,994.3152,993.6243,992.22437,991.82263,992.1501,992.9815,993.3944,993.7818,993.97345,994.0638,993.3461,992.6231,999.91376,1000.99646,1001.2865,1002.0733,1002.37555,1003.2692,1003.47125,1003.7461,1004.3416,1004.7432,1004.8405,1004.83325,1005.01154,1005.20496,1005.6956,1006.09863,1006.6234,1006.85406,1007.1743,1007.39813,1007.01215,1007.0131,1007.20154,1007.37946,1007.85846,1008.05005,1008.342,1008.53656,1008.5344,1008.6329,1008.233,1008.23395,1008.03516,1008.23395,1008.33246,1008.03204,1007.73157,1007.6291,1007.5308,1007.73157,1007.6366,1007.3407,1007.0443,1006.3549,1005.4633,1004.5718,1004.07166,1003.36957,1003.16766,1002.8676,1002.66534,1002.16644,1001.6681,1001.26953,1000.9723,1000.67316,1000.2746,1000.2746,1000.17615,999.7785,999.48035,999.0817,999.0836,998.9802,999.20404,999.1247,998.8315,998.4339,997.935,997.3322,996.6271,996.02136,995.61523,995.30865,995.1036,995.00195,995.1026,995.30145,995.79846,996.3936,997.28284,998.36255,999.53705,1000.8123,1002.286,1003.7605,1005.0469,1006.0551,1006.77606,1007.39484,1007.6111,1007.7243,1007.8291,1008.1219,1008.50433,1008.9833,1009.65405,1010.41974,1011.09106,1011.6728,1012.0605,1012.45013,1012.641,1012.735,1012.928,1013.2205,1013.6136,1013.9095,1014.10706,1014.4064,1014.6131,1015.0297,1015.4531,1015.6773,1015.6025,1015.2289,1015.043,1014.9405,1015.0258
2025-11-13 02:30:09+00:00,2025-11-13 00:00:00+00:00,1003.11566,1002.99774,1002.3857,1003.0729,1001.87604,1002.2683,1002.0632,1000.57404,1000.274,999.781,999.2768,999.5791,998.878,998.1803,998.07874,997.8808,997.8871,998.00964,998.7359,998.8393,999.353,999.565,999.7463,1000.11993,1000.7084,1001.19495,1001.9839,1002.67126,1003.76776,1003.7656,1004.86005,1004.95215,1005.14777,1006.23804,1006.32446,1005.90674,1006.09705,1006.68445,1007.269,1007.86206,1008.2597,1008.5928,1009.0222,1009.1555,1009.27295,1009.4854,1009.593,1009.79596,1009.97284,1009.53577,1009.6373,1010.13336,1010.2297,1010.32587,1010.4221,1010.40906,1010.5898,1010.593,1010.49036,1010.1931,1009.8032,1009.40564,1009.4033,1009.2014,1009.2014,1008.915,1008.61676,1008.2236,1007.4464,1006.3603,1005.35895,1004.6609,1004.06036,1003.356,1002.75653,1002.2582,1001.56146,1000.9597,1000.342,999.54236,999.2402,998.7419,998.5412,998.1446,997.54285,997.15155,996.76154,996.7636,996.76685,997.0703,997.36536,997.56415,997.1772,996.78394,996.3949,996.403,996.20105,996.09,996.17883,996.1758,996.0741,995.8735,995.57837,995.4758,995.1786,995.1649,995.2749,995.17426,995.2717,995.66815,996.4495,997.1538,998.92035,1000.4891,1001.5815,1002.67346,1003.47296,1004.2726,1004.87427,1005.37695,1005.972,1006.7521,1007.5251,1008.2022,1008.7861,1009.2755,1009.66516,1010.05597,1010.3484,1010.64215,1011.0362,1011.53094,1011.92505,1012.3145,1012.6038,1013.0046,1013.4272,1013.8629,1014.1954,1014.22723,1014.058,1013.97473,1013.9703,1014.0535,1014.2307,1014.6019,1014.96826,1015.4406,1015.82477,1016.21576,1016.5081,1016.60175,1016.5973,1016.4934,1016.3871,1016.081,1015.7757,1015.27216,1014.5718,1013.97894,1013.4992,1012.92896,1012.1578,1010.9851,1009.51294,1008.1324,1006.93884,1005.73724
2025-11-14 02:13:45+00:00,2025-11-14 00:00:00+00:00,999.4255,998.0172,1001.0943,1001.3894,1001.27203,1001.268,1002.2692,1002.0632,1002.36774,1002.6596,1003.45483,1003.6483,1004.2393,1004.43585,1005.11914,1005.70575,1005.2996,1005.3488,1005.8721,1006.19006,1006.0008,1006.10114,1006.49054,1006.8746,1007.2618,1007.6518,1008.1447,1008.3382,1008.5369,1008.53467,1009.0307,1009.2286,1009.2286,1009.22546,1009.22546,1009.422,1009.62085,1009.51825,1009.51697,1009.51385,1009.4166,1009.13245,1009.34393,1008.95667,1008.4524,1007.76825,1006.8859,1005.8982,1005.0902,1003.5611,1003.13367,1002.53406,1001.63324,1000.8337,999.8334,998.8413,998.1455,997.05554,996.8524,996.35864,995.66815,995.16895,994.66473,994.75446,994.96295,994.7757,994.88666,995.1036,994.31366,994.0058,993.69385,993.29224,993.1906,993.08905,993.08905,993.08813,993.08905,993.4867,993.78394,993.88336,993.98145,994.2787,994.57684,994.96704,995.3637,995.77057,996.3651,997.16754,998.465,999.4603,1000.6562,1001.944,1002.24884,1002.67816,1002.9813,1003.8689,1004.1405,1004.89703,1005.6016,1006.08887,1006.4778,1006.7846,1007.17773,1007.37024,1007.5668,1007.9545,1008.5212,1008.5136,1008.806,1009.2036,1009.61,1010.00665,1010.6074,1011.12854,1011.35144,1011.3752,1011.3006,1011.216,1011.3133,1011.39996,1011.5826,1011.8604,1012.13354,1012.5093,1012.99066,1013.47644,1013.86383,1014.2547,1014.5474,1014.74274,1014.6389,1014.43665,1014.33844,1014.4468,1014.6581,1014.77075,1014.7818,1014.6923,1014.4085,1013.93475,1013.16656,1012.6845,1012.3832,1012.2688,1012.2536,1012.2393,1012.3234,1012.40985,1012.3974,1012.3876,1012.37866,1012.3707,1012.364,1012.2593,1012.056,1011.85376,1011.65063,1011.6418,1011.83026,1011.8291,1011.7444,1011.4696,1011.1937,1010.71796,1010.2406,1009.75574,1009.2588,1008.8523
