forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:35+00:00,2025-11-05 00:00:00+00:00,4.4698415,3.0584075,1.4617695,1.8850497,1.2966479,1.273631,1.0826048,1.273631,1.6023055,1.2265939,1.5973912,1.3990203,2.0836234,2.0560718,3.4068284,3.5387497,3.614047,3.5150044,4.0102115,3.7264714,2.4391437,2.828931,2.4320138,2.39143,2.4318583,3.3414233,3.8121302,2.6107678,2.4255142,1.9798003,1.8807518,1.9191486,0.6942235,0.1044651,-0.0908936,0.15922292,0.110412,0.47539696,0.71978515,0.5643844,1.5936215,3.0038726,3.7754037,4.3145213,4.4383564,4.5469894,4.645902,4.7034864,4.059732,3.1586862,3.9067583,4.1815515,4.3894987,4.3894987,4.3917193,4.441941,4.541469,4.640998,4.5905356,4.5905356,4.5408316,3.7952654,4.242606,4.4414234,4.5880704,4.385082,3.3378499,2.7521577,2.019289,0.99250877,0.7175156,0.48385242,0.9561308,1.0699372,1.2312181,1.1195307,1.0602299,1.2240864,1.3693894,1.5960747,1.854009,2.0521054,1.7505525,1.2502706,0.9466922,0.47110134,0.09678779,-0.3330795,0.19874242,0.10252001,0.22870752,0.8191451,1.6223859,2.0066938,2.0066938,2.546638,3.2786965,2.6577482,2.5446372,2.592022,2.4772663,1.9348241,1.8078291,1.5529226,1.425257,1.3907368,1.1232498,0.72349375,0.6758295,0.29450503,0.32521155,0.22954458,0.77783984,1.0072652,1.3466935,1.2232723,1.1621456,1.1564668,1.8329864,2.7384393,2.8634632,2.6544867,2.140051,1.5736059,1.4363703,1.2919694,1.1435248,1.1511431,1.1071192,1.1055758,1.0584443,1.0584443,1.0584443,0.95802534,1.0754269,1.3734732,1.8602196,2.306887,1.972603,1.7449375,1.2000118,1.3741853,2.0530887,2.7846417,2.8119965,2.6552386,1.962856,1.3554423,1.1569048,1.0175636,0.8782158,0.7191461,0.30012545,0.13409185,0.10252001,-0.17806958,-0.12156173,-0.06900429,0.013438287,0.25713113,0.85880965,1.4393694,1.2180885,0.8624459,0.5602654,0.2949973,0.5315662,1.0608745
2025-11-06 02:37:23+00:00,2025-11-06 00:00:00+00:00,4.166727,3.7409153,3.5117798,3.0038726,1.8674554,2.111589,2.230725,2.5124896,2.47851,2.491633,2.0044482,1.5936215,1.348573,0.37763995,-0.32889682,0.20803368,0.84255075,2.2296867,3.0892968,3.071351,3.3044431,3.1876545,4.228429,4.4358244,4.215992,4.0432076,4.0029626,4.0029626,3.796235,3.8051314,3.8051314,3.8616507,3.9660165,4.4185596,4.618106,3.3907552,0.5985103,1.0838165,1.5136925,1.2200248,1.4667116,1.726241,0.9825699,0.64942133,0.8540059,0.6086073,0.40936223,-0.14019096,0.032677297,0.106377706,-0.016673937,-0.09540145,-0.08724347,-0.20881742,-0.1375534,-0.31312346,-0.57749164,-0.57749164,-0.7945851,-0.8922165,-1.2083855,-1.504941,-1.9551241,-2.3974748,-2.3752263,-2.3833807,-2.3389072,-2.359687,-1.3858778,-0.545256,-0.05874968,0.9494233,1.52984,0.9519134,1.0103109,1.0280246,0.60705024,-0.08103222,-0.046047065,-0.2826783,-0.14069752,-0.2520127,-0.3201182,-0.2970485,-0.5349978,-0.6301808,-0.7951743,-0.7951743,0.11274634,0.3208504,0.66508096,0.88925177,0.961132,0.69442666,1.0092882,2.3611884,3.0460303,2.286887,2.068971,2.0803459,1.0915669,0.78531456,0.8122558,0.672591,0.4863627,0.30012545,0.3674031,0.18075584,-0.16551611,-0.56205815,-0.60852915,-0.77685845,-0.11477928,0.26695696,0.35353324,0.73708785,0.6698091,1.2605995,1.8218404,2.3901143,2.7010005,2.6103961,2.1155066,1.8461634,1.765595,1.718231,1.6663264,1.4207827,1.3896842,1.2255484,1.1524457,1.3774334,1.4374889,1.4042608,1.5965728,1.8405997,2.3914363,2.8604727,2.563712,2.1643384,1.8000852,1.5709965,2.1417758,2.7633595,2.9800777,3.0637515,2.7815614,2.52508,2.3581283,2.3174205,2.3215978,2.1298964,1.6959474,1.3584114,1.1655269,1.0690825,1.0208591,0.9687069,0.8238067,1.0217923,1.43717,1.5748938,1.4063702,1.1509697,0.8598616,0.815079,1.1254851,1.8052086
2025-11-07 02:33:59+00:00,2025-11-07 00:00:00+00:00,4.1094694,4.692574,4.6359277,4.695358,4.5371428,4.151388,4.2005873,4.685321,5.1491523,4.932282,5.347224,5.0804567,4.893182,4.278707,2.747782,1.1841972,3.2165668,3.2108188,3.1555204,2.6809647,3.0161378,2.4379365,2.6465251,2.4552717,2.4394865,0.95149875,0.736282,-0.44730738,-0.7338457,-1.5074975,-2.146281,-2.0314023,-2.079494,-2.5284805,-2.1785522,-2.1756787,-2.13061,-2.1756787,-2.1756787,-2.1756787,-0.34391683,2.1538765,3.1876545,4.705813,6.1083755,5.696611,4.822487,4.4779696,4.9468155,0.25261757,0.48760706,0.98062223,1.3142203,1.2817856,1.0277622,0.7497878,0.36914587,0.13122927,0.13122927,0.036060035,-0.154285,-0.4398171,-0.5825897,-0.6301808,-0.084536955,0.0034134751,0.35353324,0.88925177,1.2000118,1.0524825,1.1820608,2.71324,2.721449,2.189429,2.206236,2.376938,2.4689243,2.2328815,1.7653548,1.3423023,0.9633662,0.6281711,0.20646529,-0.17806958,-0.41191033,-0.7860881,-0.87963885,-1.0326982,-0.34374407,-0.18502659,0.019576387,-0.10605351,-0.15743177,0.4476408,0.274785,1.6568856,1.8482151,1.1739502,1.0773981,1.1104586,0.998465,0.62603545,0.7406668,0.39324594,0.3674031,0.4766041,0.14928298,0.53996533,0.53298694,0.81881905,0.93227357,1.1500546,1.9023999,2.0089705,2.137969,2.1549098,1.9107945,2.1776328,2.7384393,3.2276044,3.673113,3.7660236,3.4922607,2.9849083,2.5870845,2.1560128,1.7728119,1.638421,1.5484531,1.5032326,1.5030717,1.3584114,1.2137488,1.0170066,0.727205,0.68324834,0.99497974,0.75977874,-0.12557682,-0.545256,-0.102970675,-0.014525719,0.28578463,0.2199972,0.79056776,1.346244,1.364899,1.3598273,1.2954214,1.3142203,1.1232498,0.8367826,0.43750468,0.036060035,-0.3201182,-0.8033126,-0.9786069,-1.1101803,-1.1513481,-0.86793834,-0.31837165,0.7406668,1.2962416,1.5871271,1.3633132,1.5478007,1.6400409,1.9171206
2025-11-08 02:22:19+00:00,2025-11-08 00:00:00+00:00,1.1295499,-0.06781606,-0.20412159,-0.05996346,-1.0328245,-1.0841292,-1.3712088,-1.8729252,-2.8609009,-3.2444098,-3.7086697,-3.5523977,-3.8026767,-3.5996728,-4.1831274,-3.8566265,-2.8206232,-0.7016751,2.7243161,3.5042245,4.520318,4.2166266,3.882841,3.5446289,3.1436486,0.6824479,-0.29625815,-0.1803774,-0.07229334,-0.28007352,-1.14963,-1.5634468,-1.8858814,-1.931947,-2.487216,-2.487216,-3.2190084,-3.6113951,-3.6569118,-3.9755523,-3.8845084,-2.1955996,2.440946,4.2811737,2.571034,1.1580501,0.58859724,0.81661963,-0.2576331,1.8313768,1.5016798,1.5104889,1.5518794,1.3777523,1.2840624,1.0376574,0.8624319,0.53446305,0.055756114,-0.13130283,-0.28590706,-0.42591837,-0.365141,-0.5192621,-0.20685352,0.114663206,0.07391459,-0.23758306,-0.1670551,-0.027754657,0.35374177,1.3486705,1.9063588,1.2710645,1.5570334,1.5518794,1.4714383,1.1511431,0.9641806,1.0280246,1.0828242,1.0755069,1.1861359,0.9584222,0.82264704,0.87063694,0.58710694,0.3948193,0.81635076,1.3119954,1.5320481,1.5263667,1.3116555,1.3046336,1.3558445,2.2476666,3.1979342,2.501838,2.3745086,2.1968734,2.2008426,1.9825593,1.5529226,1.057126,0.6758295,0.5328367,0.2739811,0.34217143,0.35930103,0.26379967,0.012392285,-0.37733427,-0.40591902,-0.9321789,-1.4716744,-1.5065088,-0.9548993,-0.27987427,0.26450884,0.5015723,1.0456886,1.162637,0.998465,0.82488203,0.90035087,1.3682675,1.4860501,1.1303997,0.42717728,0.1551399,0.5065717,1.218736,1.4374889,1.1105807,0.779388,0.5165391,0.681375,0.90204334,0.673667,0.678259,1.2880335,1.5549545,1.5762603,1.5440098,1.3735677,1.8070871,2.0477657,2.462306,2.9818044,3.2869556,3.9479184,4.6712546,5.4617877,5.9942927,6.3386455,6.781371,6.9077926,6.8095436,6.563921,6.465671,6.6621714,6.8354416,7.0269694,6.8091683,6.2259245,5.661456,5.1501226,4.839802
2025-11-09 02:43:08+00:00,2025-11-09 00:00:00+00:00,3.1146805,1.3873512,1.3494427,0.49991423,0.32526758,0.06596288,0.09119071,-0.43342462,-0.90874875,-1.1564443,-1.7036315,-2.2669291,-2.4387107,-2.8629942,-3.2895012,-3.7666197,-3.793467,-2.012627,2.334762,2.0413134,0.89780146,0.2570817,0.5997623,0.84670615,-0.14361931,-3.2019434,-4.406866,-3.4979446,-3.2609718,-3.7171142,-4.8960795,-5.7052946,-5.8780866,-6.0076933,-6.0076933,-6.3965797,-5.9266906,-5.7578526,-5.3735633,-5.5497246,-5.2601414,-2.2947683,-1.4037611,-0.9550903,-0.40407264,0.87972087,0.7009126,-0.18702325,0.0950246,1.8070871,1.5104889,1.8461634,1.4870757,1.6205434,1.8938472,1.9348241,1.868615,1.8368266,2.0327742,1.8405997,1.977727,2.153058,2.3188431,2.1059105,2.5870845,2.8137457,2.7028198,2.489486,2.4992676,2.398186,2.042227,2.0875134,2.7490315,2.6577482,2.9089835,2.842784,2.6525486,2.3166971,2.4772663,2.369253,2.369253,2.6107917,3.1460073,3.5488753,3.238415,2.8940842,2.4912937,1.9149377,1.8938472,1.4870757,1.4481189,0.9826672,0.4571793,0.5472645,0.7738323,0.9964149,1.5871271,0.78531456,2.1384606,1.9594795,1.4860501,1.8078291,0.48575863,1.3416795,1.1946084,0.64894867,1.1173047,2.042763,2.0181725,2.007511,1.1585673,2.772123,2.9987526,3.1480494,2.7996888,3.1480494,3.497035,3.5467403,2.7001572,1.157385,0.10588895,-0.29273027,-0.53473926,-0.63427764,-0.93289405,-1.2812821,-1.7292128,-2.1862025,-2.8838103,-3.5438259,-4.5415735,-5.5892167,-6.187877,-6.038211,-5.4894414,-4.8648357,-4.284679,-3.9849474,-3.5953777,-3.2638543,-3.1026764,-2.7791138,-2.134646,-1.6049987,-1.3681487,-1.9120702,-2.8657196,-3.4712021,-3.0332983,-2.1862025,-1.5882583,-1.5384299,-1.5483603,-1.6481328,-1.698019,-1.698019,-1.5483603,-1.1991577,-0.5610284,-0.16148382,0.08823119,0.14775586,0.44706762,0.9958037,1.8362281,2.3356528,2.5853648,2.7770004
2025-11-10 02:36:18+00:00,2025-11-10 00:00:00+00:00,1.1522633,-1.9418508,-4.841617,-4.939435,-3.1092777,-2.6067698,-3.3314965,-5.3643923,-6.144493,-6.674611,-6.195137,-5.998096,-5.9020963,-5.7479696,-5.96975,-5.822057,-5.2439713,-2.6295226,-0.78001404,0.0950246,0.64961886,1.4164828,0.7048243,0.60572445,1.0148641,0.4811029,0.13938767,-0.18999971,-0.695225,-1.1086594,-1.1489412,-1.1957937,-1.0300479,-0.89092976,-0.9373019,-0.74579483,-0.9552247,-0.6992195,-0.8207801,-1.3270576,-0.6127113,0.6656438,0.74325347,0.4665856,0.12284189,-1.8864261,-1.8864261,-1.7794126,-1.5266467,2.4709826,2.794,2.5391889,2.3476045,2.2381914,2.1771874,1.9370338,1.7923828,1.8848885,2.224493,2.2800918,2.0912507,1.8124775,1.6245029,1.4834049,1.1779071,1.1700822,0.94817334,1.5420537,1.5307006,1.5885528,0.49325916,-0.3155615,0.4740033,0.4376066,0.011333962,0.55404055,1.7488309,1.6006616,0.72483534,-0.25865257,0.020747814,0.8694746,2.0947406,3.7723768,4.8362837,3.1978154,2.9958105,2.5254543,1.7752324,1.2120802,-1.535447,-0.4423925,-0.18151857,-0.6011677,0.563421,-0.46270922,-0.17657413,0.6875461,0.2615614,-0.9690404,-2.420141,-2.6527805,-4.8542805,-4.8648357,-5.053142,-5.0639296,-4.3571315,-4.838163,-4.7652893,-4.39191,-4.018697,-3.8888764,-3.8476107,-3.5108764,-3.4762597,-2.763873,-1.7694386,-1.2339339,-1.1596375,-1.3591155,-1.4077237,-1.3315692,-1.042021,-1.0195177,-1.2177858,-1.3246509,-1.4305918,-1.380822,-1.1319727,-0.88312453,-0.7338163,-0.49204072,-0.3923854,-0.29273027,-0.14324777,0.056061625,0.40485188,0.9958037,1.4946524,1.9934988,2.3979056,2.846335,3.294761,3.889093,4.038743,3.889093,3.4900234,2.9412997,2.0433834,0.9459188,0.39718252,0.60415965,1.1608238,1.7583071,2.005463,2.2533903,2.4021456,2.2502012,1.9978639,1.898939,2.2038043,2.5526257,2.89616,2.8494546,2.8011563,2.5526502,2.3040926,1.999299
2025-11-11 02:24:28+00:00,2025-11-11 00:00:00+00:00,0.30974135,-0.7174236,-0.83643806,-0.8659582,-0.98353857,-0.8726375,-1.057307,-1.2952576,-0.8622736,-0.7923702,-0.7923702,-1.1649995,-1.6308433,-1.7432253,-1.9878913,-1.4910835,0.42400587,2.1406362,2.8088877,2.6165576,2.0480568,0.93205404,-0.12689053,-0.34492922,0.15500821,0.3908333,2.1380017,1.777778,0.65117556,-0.14906946,-0.47361156,-0.35108745,0.6600887,1.493638,1.6355602,1.3990203,1.1724174,1.0854815,1.1325204,1.3613001,1.8806827,2.827374,2.885706,2.4967098,1.8299911,1.6464164,0.06420385,0.8808227,1.5771211,2.0803459,2.1368163,2.592022,2.6985435,1.330908,0.20700125,-0.37618095,1.2919694,1.4797283,1.8552223,2.8119538,2.8744462,3.5094774,3.866077,3.6885595,3.8070223,4.481449,4.9483304,4.991833,4.82982,4.8627973,4.0054193,4.12482,3.6253746,3.9671397,2.7963707,2.1074998,1.6997046,1.7583071,1.1839565,0.8491803,0.8587788,1.8996474,1.7003433,0.8461487,1.1522536,1.4366874,0.65970707,-0.9050621,-1.4085355,-1.5747163,-1.6643254,-2.0574625,-2.5057747,-2.3836062,-2.6530359,-2.985174,-2.1533604,-3.2241106,-3.525209,-3.6682034,-3.870428,-3.9231288,-3.854436,-3.9527593,-3.9527593,-3.946062,-3.6577923,-3.421388,-3.432824,-3.2504878,-3.568674,-3.5308826,-3.0699544,-2.6958802,-3.0872045,-3.0724475,-2.9607193,-2.7043636,-2.1398356,-1.7027377,-1.2965134,-1.1689326,-1.2535049,-1.2458078,-0.90327704,-0.42598635,-0.0056295996,0.22559774,0.50337523,0.7307713,1.0049559,1.0536221,1.0337654,0.6658296,0.1391256,0.05062017,0.54675883,1.3584114,1.7012616,1.8124775,1.6921084,1.7669375,2.1837468,2.4972506,2.7899117,2.7567627,2.5346549,1.999299,1.6864005,1.3017329,0.91228306,0.46746022,0.021966832,-0.37468836,-0.57280415,-0.57310784,-0.6248324,-0.77783376,-0.84083533,-1.0760968,-1.3784796,-1.9424317,-2.6358736,-3.1452868,-3.6870484,-4.161636,-4.8401804,-5.9046583
2025-11-12 02:27:34+00:00,2025-11-12 00:00:00+00:00,2.8394384,0.78855985,1.7640907,1.4498914,0.96940076,-0.025830152,-1.7978525,-3.464708,-4.519894,-4.654982,-3.7824671,-2.9452467,-2.8996224,-2.9908712,-2.3033693,-2.2544227,-1.9357115,-0.70004493,-0.2510231,1.0248483,1.5720798,2.0685403,2.4053597,2.3949506,2.7714546,3.0914402,3.8101878,3.1122408,2.2472575,2.6367729,2.5771766,0.62698555,0.4168032,0.7217976,0.9182126,0.8706356,0.8166064,0.80109847,1.508803,1.6965538,2.8936162,4.8750186,6.0279465,4.53382,4.2497873,4.544979,3.9182189,3.6728792,3.4461024,6.570409,6.6079125,5.90502,4.153409,4.577708,4.3398547,4.4291496,4.400056,4.0751705,3.3892198,3.4360092,3.2343786,2.7017438,2.0555592,1.2602397,2.2382655,2.1277993,1.502021,0.9739368,0.25348815,-0.06804812,-0.09712262,0.75977874,2.1856713,2.6107917,2.763119,2.6621053,2.3281162,1.8840985,1.6454746,1.2559222,1.0616051,1.1129061,1.0616051,1.0580668,1.0526665,1.1591326,1.1260649,1.1927284,1.3942755,1.1383101,0.5813172,-0.022707483,-0.682309,-0.69668543,0.0034134751,0.43452072,1.8082875,1.8883579,1.9212866,1.7349167,1.3883966,0.76842684,0.20101835,0.002650305,-0.093962766,-0.33550072,-0.41865388,-0.387011,-0.40647057,-0.18643445,0.17622042,1.1332773,1.9941748,2.2500873,1.6875138,2.1298964,2.5577035,2.846031,3.1322644,3.2823627,3.1174543,2.8804364,2.624122,2.255118,2.092835,2.0270221,1.791521,1.5482823,1.2482827,1.0371323,0.7755068,0.68476224,0.9244131,1.7160536,2.584052,2.9958105,2.984904,2.6918793,2.5473819,2.6470332,2.7499228,2.8508623,2.7988234,2.7397807,2.6828477,2.5913997,2.4021456,2.4035056,2.5508583,2.6503901,2.846335,2.7916477,2.4923427,2.385596,2.2357683,2.1858258,2.1858258,1.9494734,1.8070233,1.7583071,1.8567305,2.0491247,2.198603,2.0025814,1.8471298,1.5482823,1.5698525,1.5211194
2025-11-13 02:45:12+00:00,2025-11-13 00:00:00+00:00,2.486942,2.2314727,2.820907,3.6022193,3.7880511,4.048015,3.9993646,4.580376,3.1724367,2.96358,1.824784,1.6023055,2.0963414,3.1794667,3.6310842,3.3143637,3.290983,2.9687042,3.9107814,4.0991426,3.7266848,3.5398183,4.6621428,4.559994,5.0625005,7.238234,5.928214,5.3614554,6.87132,7.096934,6.2658195,6.246719,5.3768044,4.068993,3.9948373,3.9182189,3.4275348,2.4541585,1.6722435,1.2062913,1.9860314,4.3360763,5.2155294,5.917246,5.82189,5.722875,5.8605437,5.8192525,6.1080136,2.2745397,1.9697299,1.6505628,1.4185979,1.1725538,0.8772959,0.6912109,0.69999826,0.35462096,0.058578167,-0.2868108,-0.4841791,-0.6815493,-0.9282652,-1.4357569,-1.2942442,-1.6862726,-2.6272416,-3.422591,-3.8587127,-3.8172288,-3.9226243,-3.3783612,-2.6988077,-3.4972064,-3.431305,-2.8536768,-2.4223053,-2.2544363,-2.1731086,-1.9332169,-1.7251022,-1.5773464,-1.385952,-1.4341162,-1.2896247,-1.6733664,-0.747193,1.4062222,2.9489868,2.6943192,2.5581212,2.5097566,2.625806,2.8368492,2.9147022,2.9147022,2.7195098,2.5016942,2.6487582,2.8979921,3.0496857,3.1480494,3.0982838,3.0982838,3.1452863,3.0982838,2.9489868,2.6006243,2.501092,2.796509,2.6968586,2.4923427,2.2357683,2.3356528,2.442458,2.542227,2.6419952,2.6918793,2.542227,2.4355383,2.2357683,2.0859408,1.986056,1.7862855,1.4866297,1.137031,0.6875461,-0.0019003119,-0.79100746,-1.4803619,-1.878524,-2.036716,-2.146996,-2.3589885,-2.5229998,-2.8339808,-3.2475574,-3.8871074,-4.6995687,-5.280168,-5.937514,-6.553514,-6.904274,-6.8107276,-6.872554,-7.1506963,-7.5254445,-8.03603,-8.1129465,-8.118315,-8.084372,-8.11957,-8.0592165,-8.157051,-8.254888,-8.147782,-8.196765,-8.385811,-8.37801,-8.245748,-7.713203,-7.2451496,-7.397719,-7.4869866,-7.2926507,-6.8418536,-5.800193,-4.59233
2025-11-14 02:28:45+00:00,2025-11-14 00:00:00+00:00,4.9418426,5.5301156,4.595222,4.216628,5.804428,5.561228,4.8709717,3.4965947,3.8963225,3.0892968,2.58841,2.8922555,3.3314228,3.358821,1.3059398,1.4282234,3.1128125,3.2209344,2.927325,2.5987122,3.266897,2.872054,2.3498764,1.4656192,0.9814302,-0.06781606,-0.7948513,1.2574191,0.5985103,-0.31216362,-1.1891276,-2.0400715,-2.704722,-3.5209,-3.7808063,-4.365679,-4.755536,-4.3056,-5.0477686,-4.1921935,-3.2811718,-0.20412159,0.9588171,2.4504695,3.3231394,3.5829203,3.6502264,3.6056645,2.8629432,1.312429,1.5812014,1.5512913,1.494031,1.3489162,1.1070517,0.816803,0.816803,0.5868389,0.57492024,0.5823003,0.4921661,0.7315158,0.7585688,1.2066482,2.7433236,4.0663757,3.7134662,3.5574458,3.9121926,3.7538993,3.1423342,2.3581283,2.0795076,2.524315,3.0780227,3.2450793,3.643535,3.5959387,2.7996888,2.7499228,1.3317776,1.1933827,1.7583071,1.6087743,1.5365723,2.1858258,2.1358833,2.1858258,2.1358833,1.9934988,2.035998,2.035998,2.1358833,2.143152,2.2429214,2.385596,1.986056,1.9361134,1.5365723,1.3867445,1.336802,0.4546788,0.10588895,-0.093420394,-0.43520096,-0.5916962,-0.64152396,-0.55064166,-0.6913517,-0.60052735,-0.8000704,-0.8998421,-0.8275441,-0.5776466,-0.4423925,-0.6234256,-0.85544044,-1.021704,-0.74353534,-0.08724347,0.22531119,0.3093007,0.39555684,-0.13300276,-1.5634061,-3.4550235,-4.9146094,-5.810537,-6.208732,-6.557154,-6.855805,-7.240678,-7.4395514,-7.8513174,-8.215756,-8.036175,-6.8003187,-5.2486453,-4.2660413,-4.0705304,-4.342731,-4.3591943,-4.0601616,-3.7621262,-3.7385824,-3.973957,-4.505243,-4.837698,-4.976412,-5.025704,-5.025704,-5.0749965,-5.0749965,-5.173581,-5.420047,-5.616501,-5.76457,-5.8139267,-5.715214,-5.6243567,-5.2065787,-4.9435587,-5.1601477,-5.91059,-7.532454,-8.385115,-7.972787,-6.646219
