forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:45+00:00,2025-11-05 00:00:00+00:00,1.15745,1.5187111,2.5853574,2.3229494,3.069366,3.7207594,3.5128362,3.1094353,1.6744049,0.37066936,-0.0959671,1.2030612,2.3731022,2.706597,2.6997254,3.4588077,3.65454,4.160029,4.045041,4.4454236,3.647023,3.446884,3.541251,3.8374171,2.1305,2.6006956,2.7386885,2.4305003,2.2305,2.1804998,2.0894368,2.538919,2.6305003,2.0305,2.0394943,2.6887462,2.838573,2.6006956,2.994676,2.7003467,3.3438635,3.4000943,4.587277,4.6368585,5.2161236,5.402981,5.5899935,5.639757,5.9305,4.695826,4.89579,4.995318,5.0438333,5.3381715,4.2394505,2.940955,1.6923934,0.7934247,0.5936535,1.3927376,0.8433677,0.9830001,1.2512145,1.0431387,1.9421064,1.5568435,2.1049297,1.8490018,1.8490018,1.8554126,1.8984009,2.459177,2.2582319,0.68299997,1.033,0.9432533,0.45305395,0.859273,0.57028854,-0.41838726,-1.0126268,-1.2677518,-1.9918194,-2.4782329,-2.9671614,-3.0347106,-2.4634554,-2.0045252,-0.47825792,1.1880167,1.5141035,1.265833,1.1767228,1.5109116,1.698409,2.2273638,1.9782319,1.0692693,0.77039087,0.51989174,0.60723996,0.2125211,0.10581051,0.04660555,-0.16191724,-0.2486743,-0.014472504,0.06978303,0.11886477,0.11886477,0.15168454,0.10266912,0.5292015,1.9648172,2.9479024,3.302376,3.5548458,3.6074061,3.8496392,3.482785,3.0939696,2.2867901,1.4323889,0.9196661,0.89340264,1.2541224,1.4655116,1.6112863,1.6598775,1.7084675,1.5766779,1.4426557,1.4998355,1.5088583,1.4042575,1.6541286,2.7058158,4.291117,5.3452377,5.5404043,5.211708,5.115003,5.302816,5.3500614,5.3201613,5.26325,5.254832,5.1464543,4.8890247,4.62832,4.413275,4.3420234,4.5354714,4.437341,4.219252,3.8757997,3.5248537,3.1031907,2.7288063,2.6606522,3.26332,3.937754,4.3368754,4.2329717,3.8292644,4.077003,5.154962,5.938761
2025-11-06 02:37:38+00:00,2025-11-06 00:00:00+00:00,3.541251,3.6993349,3.298134,3.5496569,4.2305,4.1305003,3.5971982,3.6431656,3.151533,2.7304997,2.8805003,1.34849,2.0805004,2.3890915,3.0944438,3.5877063,3.9923513,3.947777,4.339369,4.6934223,4.8204813,4.6362157,4.3259177,4.587277,4.333577,4.7901173,5.435558,4.2804995,4.4805,2.9805,2.9805,1.7305001,0.9305,0.28050002,-0.20793083,-0.6074756,-0.35776004,-0.347607,-0.3974926,0.1416702,0.09172721,-0.50758934,-0.35776004,0.09172721,-0.083334856,0.25885844,1.1805,0.88049996,-0.40770307,0.75961953,0.90909976,1.008753,0.75961953,-0.031077748,-0.080846384,-0.8771522,-1.8565266,-2.2546668,-2.9245558,-3.1956499,-3.1956499,-2.7670283,-2.758784,-2.6046464,-1.292378,0.39642394,0.69053996,0.0655924,-0.0753638,0.24357283,0.47001883,1.1193999,0.72064835,0.11384011,-0.3471021,-0.56829727,-0.8286559,-1.1227736,-1.0115817,-1.130441,-1.0816239,-1.2512839,-1.2512839,-1.3000324,-1.2512839,-1.2512839,-1.2281209,-1.0820878,-0.43526652,0.87639576,1.8394768,2.100436,2.4240227,3.1354365,3.5882027,3.4192972,2.4499655,1.2711424,0.82960314,0.7868367,0.58845073,0.6992724,0.7780273,0.8284371,0.7812149,0.68731964,0.5464702,0.8775683,1.1583627,1.4264591,1.4428687,1.7300436,3.207098,4.251832,4.5653667,4.5283933,4.268075,4.220889,4.8039207,5.22347,5.5162773,5.5898356,5.487589,5.5412245,5.637822,5.837589,5.9874134,5.9374714,5.7876472,5.487997,4.8428626,4.0979357,3.5498643,3.0470543,2.7829998,2.541416,2.558607,2.7038677,2.616631,2.065963,1.2068385,0.58506656,1.5353874,2.8568482,3.1837819,2.3066804,0.81283337,-0.2724987,-0.3234677,0.1975816,0.72462326,1.2177668,1.5088583,1.4124187,-0.12880029,-2.2722666,-3.7681158,-3.4618974,-2.2307813,-0.81626016,0.9246093,2.9871085,4.426975,4.828069,4.874771,4.801398,5.43995,5.974467
2025-11-07 02:34:13+00:00,2025-11-07 00:00:00+00:00,3.571142,5.2054167,5.4301486,6.5305,6.280499,2.6805,2.7805002,2.8305001,1.2305001,1.6305001,1.34849,1.4305001,1.3304999,1.0305,1.1805,1.1805,1.3304999,1.3805002,1.2305001,1.3805002,1.2903553,1.1405269,1.2804999,1.2305001,1.0406417,-0.5956354,-1.6314166,-2.0116274,-2.4737701,-3.8790734,-5.087666,-6.8746533,-6.121631,-5.5275197,-5.433286,-5.2919407,-4.03223,-4.041765,-4.2136726,-3.673685,-3.2629151,-1.1971034,2.710653,4.302409,5.172706,5.727726,6.376166,5.8011875,2.0931706,0.62181073,0.070541896,-0.077669986,-0.2258831,-0.3869669,-0.2978881,0.02070075,-0.1265461,-0.17562874,-0.093393214,-0.044377342,-0.19142596,-0.19142596,-0.06250377,0.13328919,0.7674621,2.4671953,3.919398,3.7216072,4.122241,4.547738,5.542234,5.8499727,4.2221775,2.181885,1.6441792,1.2875245,1.6347357,1.5853224,1.7192086,1.5360823,1.3445435,1.3479466,1.5825125,1.6247771,1.9816548,2.2025714,2.5155756,2.7519987,3.4672658,4.541247,5.303294,5.145255,4.3619604,5.273331,7.0120735,7.442176,7.2494445,7.1585164,7.2368035,7.3829994,7.28589,7.136066,7.086126,7.036185,6.936301,6.8364186,6.4868293,6.337004,5.737705,5.537939,4.838753,4.589044,4.49368,4.6469693,4.781726,5.032783,5.1737976,5.311345,5.516736,5.46587,5.2426457,4.4350924,3.3271933,2.4813716,2.0971825,1.9755429,1.9351635,1.9755429,2.0971825,1.9028277,1.3063484,0.39648002,-0.5292871,-1.5399238,-2.600514,-2.722104,-1.5460628,0.29585007,1.7644933,2.5502586,3.0965211,3.9668388,5.4565477,6.354552,6.4320354,5.413494,3.8496392,2.69248,2.534903,2.6830316,3.0238693,3.284263,3.386279,3.3891525,3.2442095,3.1865122,2.84746,2.4671953,1.9910353,1.7464715,1.9320728,2.3533516,2.8474555,3.31841,3.7070658,3.948053,4.7227626,5.207575
2025-11-08 02:22:30+00:00,2025-11-08 00:00:00+00:00,0.4108978,0.7331093,-0.24289303,-1.2305164,-2.194072,-3.898642,-5.2768197,-3.785808,-4.6323943,-5.5815177,-6.693315,-7.048894,-6.8210073,-4.388861,-4.386275,-3.8712728,-3.1904955,-0.5028682,3.4320002,5.543819,6.0912385,6.020094,6.08568,5.4909115,2.4697573,1.126984,0.81300956,0.56904554,0.042784274,0.81300956,0.7815061,0.6351434,0.369474,0.051910307,0.09723568,-0.4230476,-0.55828494,-0.60336626,-0.8068397,-1.063505,-0.44724837,0.40654966,1.2151076,2.0233696,1.7972456,1.8418659,0.11837607,-0.45453715,-0.28793982,2.8323014,1.9176971,1.2538751,1.1491468,1.2302662,1.1835165,0.979536,1.136769,1.3914838,1.6767614,1.934262,2.2025714,2.277765,2.3018577,2.3873749,3.1881623,3.8973577,3.4169445,3.2098358,3.5444639,5.904355,7.2028747,7.3798275,7.2359486,7.136066,7.186008,6.9862437,6.8365498,6.686595,6.337004,5.9374714,5.238288,4.838753,4.49368,4.3939137,3.9982872,3.6516752,3.3962412,2.8475177,2.9021392,2.900683,2.805741,2.5877407,2.3355594,2.2389205,2.3234246,3.5548458,4.0147057,3.311802,2.134827,0.7768766,-0.6730823,-1.6138599,-1.6634479,-1.3403102,-0.7029676,0.0417705,0.7470194,1.2244651,1.463172,1.3831726,1.5266411,1.58708,2.3253267,4.264077,4.663108,5.1757007,5.5501313,5.915738,6.2838607,6.5667067,6.262634,5.2743073,3.6741452,2.3364494,1.5323011,0.80950713,0.6692438,0.914905,1.4890492,2.0497048,2.0497048,2.0024924,1.723886,1.2037182,0.96175325,0.90301377,2.0016546,3.7439866,4.86056,4.784108,4.066122,3.8184555,3.9340246,4.480938,4.939193,5.704717,6.3479657,6.921587,7.246157,7.493409,7.6417575,7.812369,7.671752,7.7820234,7.88449,8.085219,8.184834,7.9850698,7.536519,7.186981,7.0873365,7.187346,7.0875807,6.937935,6.8364186,6.6366534,6.239582,5.9901695
2025-11-09 02:43:18+00:00,2025-11-09 00:00:00+00:00,-1.6710597,-2.8486493,-0.9005571,-0.75589025,-0.5330842,-0.063626125,0.07480609,-0.088733956,-0.0395525,0.051910307,-0.0010586263,-0.091458246,-0.1818612,-0.22706538,-0.091458246,-0.46812513,-0.40230232,0.3616208,0.81821173,1.4898554,1.982263,1.087296,0.5633586,0.42197943,-0.76310337,-0.76333857,-0.50984013,-0.033077713,0.67683166,0.77843463,1.2576562,0.57476497,-0.09393197,-0.4941056,-0.04292451,0.118616305,-0.57901496,-0.34543818,-0.23352736,-0.58813703,-0.35630947,2.3812082,6.9126763,8.464977,9.031331,9.030499,8.7305,7.7805004,7.1804996,6.7365365,6.7365365,6.7365365,6.686595,6.5367703,6.6366534,6.287063,5.1943736,5.238288,4.589044,4.389277,4.1444964,3.2905505,3.0408392,3.1407237,3.0544899,3.2510293,3.671143,4.12011,4.2833714,4.111413,3.7265851,3.7729275,4.290144,3.715355,3.7202783,3.7863228,4.377847,5.0207767,3.8011765,2.9962363,3.118715,3.0203085,2.1943583,2.0421665,2.3571615,2.7492042,3.2655194,3.5337563,4.032325,4.327522,4.9377413,5.812048,6.1329246,6.6375012,6.5891123,6.4882135,6.2366962,5.5153246,5.2078857,4.960929,4.7734985,4.696734,5.0408115,5.441458,5.46587,5.524496,5.1584954,4.5894156,4.2410774,4.633169,4.7429566,4.892746,3.6456602,1.1929669,0.5437106,-0.005661615,-0.15549068,-0.2054337,-0.25537673,-0.3053198,-0.40520594,-0.8938557,-1.5324506,-2.0716333,-2.3702583,-2.479197,-2.4403288,-2.2906692,-1.8535606,-1.7037303,-1.8036171,-2.1908963,-2.3904424,-2.4403288,-2.303052,-2.203165,-2.1908963,-2.0805652,-1.8314217,-1.582279,-1.1432855,-0.90463746,-1.0544672,-1.40407,-1.7536738,-2.103278,-2.4528828,-2.6027133,-2.3529954,-1.9534475,-1.6537868,-1.8915778,-2.2798808,-2.379539,-2.1303942,-1.5423739,-1.1044103,-1.0544672,-1.1044103,-0.95458066,-0.50509214,0.283,0.783,1.1330001,1.4329998,1.533,1.4329998,1.0431387
2025-11-10 02:36:33+00:00,2025-11-10 00:00:00+00:00,-4.2679853,-4.559731,-4.075219,-3.9011905,-3.737718,-4.0884495,-5.33746,-4.702398,-4.733804,-5.5359583,-5.44192,-4.864155,-4.5487647,-3.7555883,-2.9450395,-0.95399255,2.8299065,7.3785157,9.130234,9.380918,8.9305,7.4805,6.8804994,6.4305005,6.1305,5.4305,5.1305,5.535442,5.6353245,4.6368585,2.5290332,1.7957151,1.3173052,1.0405295,0.11032686,-0.58034176,-0.54469097,-0.6402089,0.2500973,0.6820342,2.4647768,5.191793,6.5388565,6.6581635,7.450284,8.041032,8.06373,7.231321,5.7299757,0.42661595,2.3221,3.8816314,4.353124,4.684526,4.73173,4.5243163,4.5163975,5.1733017,5.751183,5.688487,5.870222,6.165779,6.0830884,6.3297086,6.639701,7.424179,5.8057294,5.0204644,5.5248213,4.8342814,5.220726,5.8451867,5.9607334,5.3904333,4.7064323,4.3044033,4.1404185,3.9246628,4.0223875,3.565695,3.5255497,1.1598024,0.914905,1.7018671,3.80123,2.541416,2.3486757,1.6502925,1.5006384,0.70247984,0.9519051,1.6424507,0.8433677,0.44382492,0.44382492,0.24405326,0.04428139,-0.40520594,-0.75480783,-0.95458066,-1.1044103,-1.3541268,-1.2042971,-1.2042971,-1.7918049,-1.8535606,-2.103278,-1.9534475,-1.5539002,-1.4540135,-1.7536738,-1.5039568,-1.1044103,-0.90463746,-0.90463746,-0.80475104,-0.70486474,-0.65492153,-0.65492153,-0.51699996,-0.467,-0.267,0.033000007,0.18300003,0.033000007,-0.21700001,-0.36699998,-0.167,0.133,0.43300003,0.58300006,0.68299997,0.783,0.8830001,0.9830001,1.0830001,1.1830001,1.2830001,1.4830002,1.7829999,2.1829998,2.433,2.5329998,2.5329998,2.4829998,2.4829998,2.433,2.383,2.283,2.1829998,2.133,2.1829998,2.333,2.4829998,2.7329998,2.8910124,2.940955,2.6413004,2.333,1.8329998,1.3330001,0.6935392,0.30339816,0.4606581,1.008753,1.2578856,1.10156,0.6435963
2025-11-11 02:24:38+00:00,2025-11-11 00:00:00+00:00,6.1945105,7.2343135,5.760122,6.3862004,6.280499,5.39094,4.061762,2.118447,2.2405162,2.1276119,0.6385429,-0.6079215,-1.2919551,-2.1799743,-2.4203002,-1.8995066,-1.3838005,0.58352214,2.9123075,4.395572,5.623055,7.47861,7.977029,5.946216,3.4177687,3.274599,4.39899,5.4358783,6.2745724,5.7299757,5.807375,5.4552617,5.0095487,4.1057515,3.548253,2.5131972,1.2031355,1.0617433,1.9424306,1.5829475,1.7253971,2.3471236,3.1314518,4.4406304,5.603847,5.0255427,4.505907,7.7335525,6.71041,4.708652,3.7270303,3.7265851,3.6787493,3.6304698,3.1865122,3.0993562,2.8655024,3.001242,3.3381498,3.437359,3.195925,3.1481185,3.3891525,4.353124,4.1962576,4.9210515,4.960929,5.0788374,5.405451,5.623922,5.5408635,5.637822,5.088463,3.944962,3.390435,2.84107,2.7911274,2.84107,2.149138,1.6424507,1.583,2.099254,1.4073647,0.094224334,0.6027095,0.053971343,-0.82738274,-1.4597915,-0.5683687,0.70783174,0.68800694,0.72585607,-0.041999348,-1.0050344,-1.2421577,-1.0085346,-0.32511,-0.92234397,-0.813721,-0.54395974,-0.8681525,-1.6972848,-2.233777,-2.6163373,-2.6885853,-2.470072,-2.0338213,-1.6662351,-1.3000324,-0.6440017,0.13297033,1.0673727,1.4619614,1.611263,1.8129878,2.208465,2.5070639,2.8523135,3.0969381,3.1468217,3.390435,3.540261,3.6900883,3.8399138,3.9897406,4.0896244,4.1895084,4.1895084,4.1395664,4.1895084,4.439218,4.64333,4.7929797,4.693213,4.589044,4.1395664,3.4403772,2.541416,1.842221,1.4426802,1.2429097,1.0431387,0.89331037,0.7934247,0.6935392,0.6435963,0.73300004,0.6330001,0.48300007,0.094224334,-0.2054337,-0.70486474,-1.3927156,-1.7419188,-1.8812503,-1.7317644,-1.7730107,-2.064357,-2.4063363,-2.60042,-2.5976357,-2.646851,-2.4520566,-2.2665727,-2.2012653,-2.005169,-1.8653871,-2.0053039
2025-11-12 02:27:45+00:00,2025-11-12 00:00:00+00:00,3.9873648,5.8860407,5.752103,5.7507133,4.9797964,4.2019963,3.6181989,3.1770487,2.8153002,2.227823,1.4807624,0.27734622,-1.3140211,0.04525833,0.07057232,-0.06912258,0.57339245,1.8115734,1.6486375,2.3747475,5.607008,4.8692775,3.461604,1.6302738,-0.017480947,-0.913428,-0.20363131,-0.06551964,0.2558553,1.3214246,1.2746766,0.2775604,-0.16041225,-0.06790354,-0.7627489,0.15365116,0.39459747,1.2196676,1.6710243,2.8322613,3.3216674,2.8461127,2.7034376,3.2047153,4.8557897,7.40361,5.612406,3.5224183,1.8518081,5.837589,6.1372385,6.18718,4.8452983,4.788812,4.543564,3.7454278,3.5957763,3.296474,3.4960093,3.545893,3.5957763,3.6456602,3.5957763,3.5902035,3.0544899,3.3041782,3.6011543,3.479118,3.8248837,3.8140166,3.6660242,3.4193673,2.993016,2.856481,2.491184,2.7558947,2.99717,2.947286,3.0470543,3.1906662,3.0470543,2.8554263,2.7077081,2.6580026,2.7061284,2.6563623,2.55683,2.6065962,2.8554263,3.253553,3.6516752,3.751205,4.197584,4.1943793,4.294146,4.7430964,4.8428626,4.892746,5.142162,5.29181,5.1940646,5.1446095,5.1943736,5.293711,5.241927,5.0385213,5.088463,5.1384053,5.2830005,5.2329993,5.2882304,5.438055,5.388113,5.388113,5.487997,5.487997,5.537939,5.537939,5.637822,5.737705,5.5412245,4.796262,3.8493755,3.197076,3.289773,3.784359,4.3360524,4.5897565,4.8450184,4.796262,4.446706,3.7989883,3.151265,2.797634,2.2987914,1.9920489,1.5425656,1.1430242,0.8433677,0.6935392,0.5936535,0.49376783,0.34393913,0.053971343,-0.1455705,-0.49476966,-0.9437417,-1.3428297,-1.8314217,-2.5552957,-2.9971702,-3.3939261,-3.7906876,-4.0882616,-4.0449247,-3.9037364,-3.9037364,-4.0945807,-4.237051,-4.281815,-4.08084,-3.8338425,-3.6448035,-3.6230593,-3.7865396,-3.9298956,-3.9058204,-3.7983916
2025-11-13 02:45:21+00:00,2025-11-13 00:00:00+00:00,-2.155831,0.14030354,0.9743668,1.3459356,1.7702032,2.2562428,2.458286,2.802665,2.3177922,2.2241268,2.0225616,1.6018949,1.6152438,4.5818453,2.7581213,3.3476334,4.7845683,5.8736453,6.560463,5.7038355,7.3042154,6.7723722,8.830948,8.4805,7.7805004,7.0805,6.6805005,5.4805,5.0859656,4.2897873,4.0291743,4.740602,4.1963816,3.6898136,4.047307,3.9459703,3.4508092,3.2519875,1.9264964,0.23390327,0.64793545,2.194556,2.735088,2.8156261,3.0426593,3.1621017,3.3120067,2.1762712,0.2958624,2.7061284,2.5070639,2.5070639,2.8056607,2.432705,2.3056672,2.383371,2.3500297,2.4096694,2.2110846,1.7138966,1.7056019,0.7552578,0.50374585,0.4450221,0.32944554,0.7742322,1.2396991,1.5961963,2.0392513,2.9024653,3.2621338,3.443767,3.9452496,4.1624856,4.5735145,4.196882,4.196882,4.2961693,4.4450984,4.5401745,4.4846115,4.5341306,4.237014,4.1800194,3.7519097,3.3927112,2.9162223,2.40414,2.1286337,2.3146331,3.1125062,3.7500875,3.8009703,4.00003,4.4479117,4.64333,4.589044,4.539103,4.3968816,4.3981476,4.3981476,4.2972326,3.7491636,3.4028487,3.1550615,3.1550615,3.2047672,3.5018659,3.2544723,3.4532943,3.4028487,3.898637,4.0896244,4.383,4.133,2.9329996,1.2429097,-0.005661615,-0.50509214,-0.6049784,-0.65492153,-0.75480783,-0.8546942,-0.95458066,-1.1543535,-1.4924879,-1.7918049,-2.2407827,-2.652657,-3.0022624,-2.9023752,-2.7396488,-2.689762,-3.3382914,-4.1010265,-4.500579,-4.1734066,-3.3071718,-2.699607,-2.3524532,-2.253267,-2.058767,-1.9649333,-1.9720926,-1.9310788,-1.8416915,-1.7536738,-1.8535606,-2.1908963,-2.7186558,-3.1511397,-3.1014857,-2.952524,-3.2007937,-4.243547,-5.544333,-6.4392314,-6.588383,-6.378805,-5.9114995,-4.986631,-4.00489,-3.3962336,-3.2427278,-3.1649346,-3.0228596,-2.9899015,-2.8905218
2025-11-14 02:28:57+00:00,2025-11-14 00:00:00+00:00,7.033687,5.7804995,7.280501,6.5804996,5.590161,5.6804996,5.885033,5.44069,5.7304997,5.4855,5.5305,5.2304997,4.5304995,2.4517617,3.3438635,2.501285,3.003459,2.798422,2.3569734,2.3547108,2.3529737,2.4562464,2.7467537,3.0950356,3.2195725,3.1883812,2.58751,1.2452418,0.7671463,-0.95319843,-2.3722427,-2.7876084,-3.0546248,-3.2294748,-2.6200907,-2.3828955,-2.5819612,-1.8611082,-0.89398533,0.20210218,2.2249308,3.7524056,5.388311,6.0048885,6.201124,6.225581,6.686433,7.131585,6.557386,5.1446095,5.045082,4.944426,4.8918843,4.8918843,5.289022,5.4379473,5.292349,5.0438333,4.693313,3.6507995,2.755189,2.5072656,2.3089256,2.8068354,3.2014456,4.146035,4.238,4.354649,4.1598053,4.0645423,4.541247,4.951878,5.2445517,4.994129,4.796262,4.3981476,4.298619,4.3479795,4.5964994,4.746497,4.7954736,4.9885798,5.133,4.788812,3.6955435,2.7477496,2.5482128,2.8475177,3.1407237,2.99717,2.8475177,2.4572973,2.3486757,2.0919335,1.7423362,1.6424507,2.1418762,2.4415312,2.2489069,2.291704,2.3915884,2.1918187,1.9829998,2.0919335,1.9496001,1.7922786,1.8830001,1.1929669,0.8149832,0.11822814,-0.33657855,-0.34511277,-0.6780746,-1.1126528,-1.2114565,-1.0657779,-0.77431405,-0.57694286,-0.26968756,-0.22505856,-0.09568501,-0.05560461,-0.24534158,-0.29522717,-0.444884,-0.7352003,-0.93451196,-1.0435135,-1.3428297,-1.40407,-1.4540135,-1.4540135,-1.5922602,-1.6920327,-1.9310788,-2.1214044,-2.163781,-2.3028605,-2.3987434,-2.5060766,-2.5809083,-2.593468,-2.5703993,-2.44921,-2.4020467,-2.163781,-2.114069,-1.922322,-1.8314217,-1.8812503,-1.9310788,-1.9809077,-2.171175,-2.4123414,-2.7539096,-3.002178,-3.1511397,-3.0088933,-2.768427,-2.6191134,-2.6049488,-2.646103,-2.7525017,-2.7670283,-2.8386006,-2.85292,-2.869374,-2.8204803
