forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:29:39+00:00,2025-11-05 00:00:00+00:00,1006.23865,1006.03784,1005.3377,1003.938,1002.8386,1000.93964,999.8401,998.7408,996.94165,996.44183,996.3425,995.24286,994.1436,993.8441,994.8434,995.3432,995.2426,995.54254,996.34344,996.5444,997.34283,997.64276,998.7408,999.6395,999.93964,1001.0381,1002.2376,1002.9383,1003.93854,1005.1381,1006.438,1008.0375,1009.0371,1010.23663,1011.2353,1011.73444,1011.53455,1011.5359,1011.1354,1010.4356,1008.93677,1008.139,1008.0393,1007.2395,1006.4398,1007.04034,1008.0396,1008.43945,1008.6384,1009.7384,1011.1372,1011.9363,1012.8354,1013.83466,1014.8343,1015.13354,1015.8327,1016.4321,1017.0317,1017.5315,1017.731,1018.23083,1018.4304,1018.7303,1019.7303,1020.631,1020.9318,1021.5323,1021.5323,1021.6322,1021.6322,1021.6322,1021.93146,1022.52997,1022.8296,1023.1291,1023.1287,1023.1281,1023.2271,1023.2271,1023.427,1023.22675,1023.02686,1022.3271,1021.92694,1021.5268,1021.32684,1021.2266,1021.32684,1020.7284,1020.03064,1020.0318,1019.1337,1018.73444,1018.2346,1018.0345,1018.23303,1017.7326,1018.03253,1017.53235,1016.9329,1016.93256,1016.93256,1016.63245,1016.4325,1016.3325,1016.6321,1016.5321,1016.53186,1016.63184,1016.6315,1016.7314,1017.13165,1017.33276,1017.4347,1017.23596,1016.937,1016.73804,1016.7377,1016.83746,1017.03644,1017.3357,1017.6348,1017.93414,1018.0339,1018.13385,1018.23376,1018.3334,1018.43335,1018.53296,1018.7326,1018.8323,1019.03217,1019.1318,1019.3317,1019.532,1019.93243,1020.433,1020.7337,1020.5348,1020.1363,1019.9366,1020.0363,1020.3356,1020.6345,1020.8341,1020.934,1021.0336,1021.1336,1021.2335,1021.2335,1020.93365,1020.63354,1020.23364,1019.9338,1019.7338,1019.43396,1019.0335,1018.7332,1018.23303,1017.73395,1017.235,1016.536,1015.537,1014.338,1013.2387,1012.2391,1011.2391
2025-11-06 02:18:18+00:00,2025-11-06 00:00:00+00:00,1001.7415,1001.94086,1002.8409,1003.04047,1004.53955,1005.939,1007.3383,1009.13635,1009.5362,1010.3367,1011.2359,1011.63617,1011.5355,1011.73535,1011.5353,1011.23553,1010.7367,1009.53815,1009.3376,1007.7393,1006.5398,1006.4396,1007.03906,1007.5385,1007.73816,1008.3382,1009.6359,1010.03546,1011.1329,1011.8328,1013.13214,1013.93207,1014.6322,1015.331,1016.6301,1017.4298,1018.1296,1018.5295,1019.62976,1020.42847,1021.0283,1021.8296,1023.0292,1023.0304,1023.428,1023.92883,1023.93005,1024.13,1024.9291,1023.0298,1023.5296,1023.32904,1023.42834,1023.5274,1023.52704,1023.3265,1023.2265,1023.3265,1023.22614,1022.5262,1021.62646,1021.32623,1021.32623,1020.6261,1021.1263,1020.52814,1020.23047,1020.0324,1019.03375,1018.3346,1017.73517,1017.2344,1017.1335,1017.4324,1017.3324,1017.2324,1017.1325,1017.2322,1017.33185,1017.2322,1017.3316,1017.5311,1017.731,1017.8307,1017.73065,1017.8307,1017.9306,1018.4302,1019.0303,1019.23145,1019.1335,1019.3346,1018.9357,1018.6364,1018.73676,1018.6364,1018.73517,1018.93414,1019.6333,1020.0324,1020.432,1020.7321,1020.93207,1020.83215,1020.93207,1021.0321,1021.332,1021.332,1021.43164,1021.7315,1021.93146,1022.13104,1022.9307,1023.53094,1023.5312,1023.53156,1023.332,1023.332,1023.5319,1023.93176,1024.2312,1024.4307,1024.5295,1024.6292,1024.7291,1024.9297,1024.93,1024.8297,1024.6295,1024.5292,1024.6289,1024.8281,1024.9279,1024.8275,1024.527,1024.2267,1024.0275,1023.8288,1023.42957,1022.8308,1022.13165,1021.43225,1020.93207,1020.43164,1020.03125,1019.73126,1019.4314,1019.13116,1018.6311,1018.1309,1017.5305,1016.93036,1016.4302,1015.83044,1015.3304,1014.83057,1014.33075,1013.73114,1013.1318,1012.73224,1012.7332,1012.9338,1013.0347,1012.83575,1012.63666,1012.43744,1012.33746,1012.2371
2025-11-07 02:16:16+00:00,2025-11-07 00:00:00+00:00,1009.1379,1008.0383,1008.7384,1008.93774,1010.33685,1012.7357,1015.23315,1016.0329,1015.8327,1016.3325,1017.1307,1017.4315,1017.5315,1017.73065,1018.6301,1019.52985,1019.9299,1020.532,1021.83276,1022.73236,1022.9329,1023.3332,1023.2332,1022.9327,1022.93207,1023.13007,1023.4286,1023.3271,1023.3265,1023.3261,1023.82587,1023.72595,1023.626,1023.42664,1022.9268,1022.42676,1022.0272,1021.6271,1020.92694,1020.3276,1020.0283,1019.7297,1019.3315,1019.1335,1018.6349,1018.13696,1017.73737,1017.13696,1016.6359,1018.73224,1019.13153,1019.03156,1018.2318,1018.8319,1018.83167,1019.13116,1018.9312,1018.93097,1019.1309,1019.3305,1019.33014,1019.63,1019.82996,1020.22974,1021.1298,1021.7308,1021.9327,1022.03406,1021.8353,1021.7359,1021.8363,1022.0358,1022.13495,1022.33356,1022.63245,1022.93207,1023.03174,1023.33124,1023.23126,1023.1313,1023.23126,1023.13104,1023.231,1023.13104,1022.73114,1022.4313,1022.4319,1022.4319,1022.9311,1022.73114,1022.73175,1022.83215,1022.83215,1022.43286,1022.2335,1022.1336,1022.23315,1022.133,1022.53253,1022.33295,1022.5329,1022.7321,1022.9317,1022.8314,1022.9311,1022.9311,1022.9307,1022.9307,1022.9307,1022.92975,1022.8292,1022.7289,1022.6293,1022.3304,1021.8312,1021.3317,1020.6322,1020.0324,1019.4326,1018.8323,1018.3321,1017.93195,1017.6321,1017.33215,1017.0319,1016.83203,1016.53186,1016.23193,1015.9317,1015.63184,1015.4315,1015.23157,1014.93146,1014.53125,1014.13104,1013.73114,1013.4326,1013.23425,1012.9359,1012.4377,1011.83923,1011.3404,1011.0405,1010.83984,1010.6393,1010.5391,1010.53876,1010.53815,1010.63806,1010.83765,1010.83765,1010.7377,1010.53815,1010.2382,1009.8384,1009.4385,1009.0387,1008.8384,1008.6384,1008.43884,1008.2389,1008.0393,1007.93964,1007.8397,1007.7393,1007.8391,1008.139,1008.5385
2025-11-08 02:07:21+00:00,2025-11-08 00:00:00+00:00,1023.0321,1022.3304,1023.3287,1023.02856,1023.2271,1022.7273,1022.8279,1022.42834,1022.1285,1022.1285,1021.4287,1021.2288,1020.5291,1020.3295,1020.2295,1020.1296,1020.42944,1020.13116,1019.7325,1019.3336,1018.6352,1018.2356,1017.8365,1017.2363,1016.9354,1016.8349,1017.03424,1017.23413,1017.13416,1017.1338,1017.0339,1016.9339,1017.0339,1017.23376,1017.33374,1017.5337,1017.8332,1018.53235,1019.1318,1019.6316,1020.2311,1020.9328,1021.63513,1021.83594,1022.0358,1022.3355,1022.33514,1022.1352,1022.1342,1021.63416,1022.23315,1022.33295,1022.63245,1022.83215,1022.93207,1023.132,1023.2316,1023.13165,1023.13226,1022.73236,1022.43225,1022.33234,1022.0321,1021.3327,1021.7327,1021.9327,1022.33295,1022.63306,1022.43384,1022.2345,1021.83435,1021.8341,1021.9333,1022.33234,1023.33124,1023.7311,1023.83075,1024.3302,1024.2302,1024.8297,1025.0294,1024.7295,1024.9291,1025.029,1024.8289,1024.4283,1024.2277,1024.3276,1024.228,1023.82916,1023.0304,1022.6312,1021.5319,1020.5326,1019.5333,1019.03314,1018.333,1018.1325,1017.73224,1017.6317,1017.33124,1016.7314,1015.8312,1015.5309,1015.23096,1015.1307,1014.9307,1014.9305,1014.9305,1014.33075,1014.13104,1013.93146,1014.3317,1014.133,1014.0346,1013.7356,1013.3368,1012.9375,1012.7379,1012.63763,1012.6374,1012.6374,1012.73694,1012.73694,1012.63666,1012.5367,1012.4367,1012.2371,1012.03723,1011.8379,1011.6387,1011.5396,1011.43994,1011.539,1011.6374,1011.8361,1011.9363,1012.13684,1012.1376,1012.1376,1011.93787,1011.7383,1011.33844,1010.839,1010.4391,1010.2392,1010.13885,1010.03894,1009.93854,1009.93835,1009.8384,1009.838,1009.83765,1009.7377,1009.5378,1009.3382,1009.2382,1009.4382,1009.838,1010.2375,1010.43744,1010.7377,1010.83765,1010.9376,1010.93726,1010.93726,1010.8373,1010.7373
2025-11-09 02:29:15+00:00,2025-11-09 00:00:00+00:00,1016.0358,1016.0352,1016.63434,1016.33374,1016.4335,1016.6334,1016.6334,1016.4335,1016.2335,1016.2335,1016.3335,1016.4335,1016.73334,1017.63306,1018.432,1019.03156,1019.63135,1020.13336,1020.73566,1020.837,1020.83624,1021.13617,1021.4364,1021.63635,1021.8353,1022.23315,1022.7327,1023.0327,1023.2326,1023.53253,1023.5328,1023.73267,1023.8326,1024.1326,1024.2332,1024.1329,1024.033,1023.9326,1024.1326,1024.2324,1024.5327,1025.1326,1025.632,1025.7319,1025.632,1025.9319,1026.0312,1026.0306,1026.0297,1021.3333,1021.8325,1022.0325,1022.6322,1023.03174,1023.1313,1023.4309,1023.231,1023.43054,1023.43054,1023.1303,1023.1297,1022.92914,1022.62866,1022.3288,1022.22906,1021.9301,1020.93146,1020.7321,1019.73285,1018.3334,1017.0339,1016.4337,1015.53345,1015.133,1014.93304,1014.5332,1014.2333,1013.83307,1013.333,1012.8328,1012.7338,1012.83405,1012.2346,1012.0347,1011.9343,1011.33374,1010.93353,1010.8332,1011.13306,1010.434,1010.0351,1009.9358,1009.3347,1008.5348,1007.5354,1006.93555,1006.4355,1006.03534,1005.73535,1005.3356,1004.5359,1003.93567,1003.2359,1002.03644,1001.33704,1000.1378,1000.4373,999.9375,1000.7366,1001.2364,1001.9358,1002.1361,1003.136,1003.5359,1003.73645,1003.93665,1004.0366,1004.1366,1004.2365,1004.23627,1004.33594,1004.5355,1004.73517,1004.93475,1005.0341,1005.03375,1005.0334,1005.13336,1005.3333,1005.4332,1005.4332,1005.4332,1005.4336,1005.53357,1005.63354,1005.73346,1005.9334,1006.2333,1006.43286,1006.5326,1006.5323,1006.63196,1006.8319,1007.2317,1007.5313,1007.93054,1008.33,1008.72925,1008.9292,1009.12915,1009.12915,1009.0294,1008.92944,1008.6295,1008.3294,1008.02954,1007.3298,1006.0299,1004.5302,1003.43085,1003.03357,1003.1367,1003.4387,1004.13885,1005.23773,1006.13684,1006.7362,1007.2358
2025-11-10 02:18:30+00:00,2025-11-10 00:00:00+00:00,1021.03754,1020.5355,1021.23425,1021.13336,1021.7325,1022.1324,1023.2326,1023.0327,1022.83276,1022.9333,1023.0333,1022.9329,1022.53314,1022.733,1023.2332,1023.73267,1024.2322,1024.8323,1025.5325,1025.9323,1025.9319,1026.0319,1026.1318,1026.2314,1026.2305,1026.4299,1026.4296,1026.6294,1026.5292,1026.3291,1026.4283,1026.5286,1026.2273,1026.0267,1025.7262,1025.2257,1024.8256,1024.4252,1023.82526,1023.2255,1022.8263,1022.12885,1021.53033,1020.83093,1019.8323,1019.1331,1018.03314,1017.13324,1016.2328,1014.23425,1013.7341,1013.4336,1013.23303,1012.63293,1012.63257,1011.9328,1011.1334,1010.83356,1011.1338,1010.9339,1010.2344,1009.83453,1009.3345,1008.23486,1008.43475,1008.0356,1007.9365,1007.5373,1005.93787,1005.4392,1004.73944,1003.64154,1003.0401,1002.4403,1002.3407,1002.0418,1001.24164,1000.3402,998.0413,995.84247,994.2424,993.6423,995.3417,996.3404,997.1397,998.0401,998.73914,1000.73755,1002.7368,1003.7367,1004.1366,1004.6364,1004.6368,1004.9363,1005.33594,1005.6358,1005.8354,1006.1349,1006.53455,1006.63446,1006.4346,1006.73444,1006.63446,1006.63446,1006.5348,1006.23486,1006.3346,1006.43475,1006.2352,1006.2352,1006.13525,1006.23486,1006.4342,1006.5342,1006.5338,1006.53357,1006.4336,1006.4336,1006.6338,1006.9344,1007.2345,1007.4344,1007.6341,1007.7337,1007.8337,1007.9333,1007.8333,1007.6337,1007.23425,1006.9346,1006.7341,1006.4336,1006.23364,1005.934,1005.53516,1005.4361,1005.6373,1006.03845,1006.4392,1006.8395,1007.3389,1007.7388,1008.0383,1008.33795,1008.4379,1008.43756,1008.33734,1007.83716,1006.73755,1005.3377,1003.83826,1002.5394,1001.14075,999.642,997.4428,995.14325,994.1433,995.7415,998.63916,1001.1371,1002.4362,1003.3363,1004.0361,1004.4362,1004.6364,1004.83673,1005.0366,1005.1362
2025-11-11 02:10:28+00:00,2025-11-11 00:00:00+00:00,1024.2316,1023.63086,1025.3289,1025.029,1025.6294,1025.7294,1026.7288,1026.029,1025.7285,1025.2286,1025.0278,1024.6282,1023.8284,1023.42834,1023.32806,1023.1275,1022.82764,1022.2298,1021.9305,1021.1308,1019.93146,1018.8319,1017.83295,1016.733,1015.9327,1015.23193,1014.6316,1014.03143,1013.43164,1013.03143,1012.83154,1012.23145,1011.73224,1011.03217,1010.13226,1009.3322,1008.2329,1007.5338,1007.1343,1006.8337,1006.4342,1005.93494,1005.1362,1004.538,1003.93915,1003.5403,1003.5399,1003.4391,1003.73706,1005.84076,1005.8414,1005.141,1004.74115,1004.3406,1003.2407,1002.74054,1001.34106,1000.24146,998.8416,997.2419,996.04333,995.44354,996.0426,997.44147,999.54175,1001.1402,1001.93964,1002.0393,1002.8386,1002.9383,1002.6387,1003.63904,1003.6387,1004.4378,1004.8369,1004.93726,1005.4371,1005.6364,1005.836,1006.53577,1007.13525,1008.0346,1008.33386,1007.9333,1008.5331,1008.9323,1008.8318,1009.3316,1009.83167,1009.9329,1010.3341,1010.6346,1009.9358,1009.63617,1009.5369,1009.8368,1009.8365,1009.8361,1010.2359,1010.1354,1010.3347,1010.23413,1010.434,1009.93445,1009.3353,1008.9358,1008.9364,1009.3372,1009.3372,1009.4366,1009.23663,1009.0371,1009.237,1009.4366,1009.5369,1009.43695,1009.1373,1009.03735,1009.0377,1009.2376,1009.4372,1009.7368,1010.036,1010.3357,1010.4356,1010.5362,1010.53656,1010.4362,1010.33594,1010.2353,1010.33496,1010.43463,1010.53467,1010.6342,1010.6342,1010.7342,1010.83453,1010.83514,1010.8355,1010.7355,1010.63556,1010.6352,1010.6352,1010.8348,1011.0345,1011.5337,1012.0328,1012.63196,1013.1314,1013.5307,1013.9301,1014.33,1014.7298,1015.1297,1015.5296,1015.92914,1016.32904,1016.7285,1017.12775,1017.4276,1017.7279,1018.02844,1018.32855,1018.5295,1018.6301,1018.8303,1019.03064,1019.13055
2025-11-12 02:12:39+00:00,2025-11-12 00:00:00+00:00,1015.3341,1014.6328,1013.83246,1012.9328,1012.13275,1012.4324,1012.532,1012.0318,1011.5327,1011.0329,1010.6327,1010.3331,1009.8333,1009.33374,1009.2335,1008.8343,1008.43475,1008.43634,1008.73804,1008.64,1008.23987,1007.64014,1007.23987,1007.04,1006.8395,1006.83875,1006.83875,1006.5389,1006.03906,1005.3393,1004.53955,1003.5399,1002.44006,1001.7403,1000.9406,1000.24084,999.14124,998.6414,998.3418,997.14197,996.4428,996.7433,997.6424,998.0426,998.04285,998.2431,997.7433,996.9426,996.14136,1004.33997,1004.9394,1005.43896,1005.6389,1006.23834,1007.33734,1007.43695,1008.236,1008.6353,1009.3347,1009.8343,1009.634,1009.73395,1009.9339,1009.9342,1010.43427,1010.6346,1010.8348,1011.43585,1010.83673,1010.937,1010.4368,1010.5368,1010.7367,1010.83673,1011.1366,1011.1366,1011.23627,1011.0366,1010.93665,1010.6368,1010.5368,1010.33685,1010.4368,1010.33685,1010.2369,1010.4368,1010.2369,1010.5368,1010.6368,1010.83673,1010.83673,1010.9364,1010.4366,1009.5369,1009.0371,1008.5373,1008.23737,1007.9375,1007.53766,1007.23773,1007.03784,1006.538,1006.2381,1006.0382,1005.6383,1005.23846,1005.1385,1004.93854,1004.4387,1004.23846,1003.8386,1003.9382,1003.938,1004.23785,1004.23785,1004.1379,1003.838,1003.6377,1003.43744,1003.3372,1003.037,1002.5369,1002.03674,1001.5369,1001.1367,1000.83685,1000.8366,1001.33606,1002.23535,1003.235,1004.2346,1005.4342,1006.5338,1007.5338,1008.53406,1009.4341,1010.4337,1011.4337,1012.2334,1012.83344,1013.23364,1013.6335,1014.033,1014.4326,1014.9317,1015.53125,1016.2306,1016.8301,1017.3299,1017.6295,1017.9294,1018.02905,1018.12897,1018.2289,1018.4292,1018.62976,1018.93,1019.22986,1019.5295,1019.82935,1020.2295,1020.63,1020.93024,1021.0303,1021.0303,1021.0299,1021.02954,1021.1292
2025-11-13 02:29:44+00:00,2025-11-13 00:00:00+00:00,1008.04,1007.83936,1007.1396,1007.5395,1006.8395,1007.1386,1006.7391,1006.139,1005.63916,1004.9394,1004.33997,1003.93976,1003.03986,1002.0402,1002.0402,1002.2401,1002.04047,1001.94086,1002.3417,1003.4409,1004.0411,1005.1375,1006.03595,1005.9359,1006.03625,1006.03534,1007.33484,1008.4341,1008.73395,1009.33374,1010.23315,1010.2334,1010.1329,1010.6317,1011.0319,1010.9329,1011.03314,1011.4349,1011.8354,1012.3356,1012.4351,1012.9359,1013.5367,1013.7372,1013.8372,1014.23676,1014.53674,1014.6363,1014.73566,1012.7363,1013.2364,1013.23615,1013.3362,1013.53613,1013.4361,1013.53613,1013.53613,1013.53613,1013.4361,1013.3358,1013.03595,1012.83575,1012.5359,1012.6358,1012.7357,1012.5359,1012.33594,1012.2359,1011.63617,1010.8361,1010.3363,1009.63617,1009.23627,1008.8365,1008.3366,1007.93677,1007.5369,1006.83716,1006.0375,1005.4377,1004.93787,1004.2381,1003.9382,1003.53876,1002.839,1002.23914,1001.63904,1001.33954,1001.43945,1001.23987,1001.3401,1001.5404,1001.1405,1000.74066,1000.44104,1000.3408,1000.2405,1000.2395,1000.23895,1000.2386,1000.5385,1000.33856,1000.53827,1000.33795,1000.4379,1000.7368,1001.6363,1002.43506,1002.9345,1003.7338,1004.4336,1005.1337,1006.034,1006.73444,1007.23486,1007.73505,1008.23486,1008.83466,1009.5344,1010.3341,1011.1334,1011.93317,1012.73285,1013.43225,1014.0318,1014.53125,1014.9307,1015.3304,1015.73016,1016.0298,1016.32965,1016.7288,1017.0288,1017.3283,1017.72815,1018.02844,1018.4292,1018.93,1019.23083,1019.431,1019.431,1019.531,1019.63074,1019.82996,1020.02966,1020.4287,1020.82837,1021.22784,1021.6273,1022.0272,1022.22687,1022.2265,1022.026,1021.72546,1021.5256,1021.2253,1020.8251,1020.1247,1019.32404,1018.42413,1017.725,1016.9263,1015.92725,1014.42834,1012.63,1011.031,1009.731,1008.53094
2025-11-14 02:13:21+00:00,2025-11-14 00:00:00+00:00,1004.5409,1004.83923,1005.538,1006.5363,1006.4367,1007.1365,1007.3364,1007.33606,1007.83624,1008.1361,1007.93616,1007.83563,1008.33606,1008.43695,1009.1371,1009.1373,1009.03735,1009.13763,1009.838,1009.8384,1009.7384,1010.0376,1010.2375,1010.43744,1010.83704,1011.33685,1011.73694,1011.83673,1012.13684,1012.3368,1013.0365,1013.23615,1013.23615,1013.23615,1013.3362,1013.5364,1013.83624,1013.83624,1013.93616,1014.1361,1014.236,1013.9359,1014.03595,1014.03595,1013.73596,1013.4361,1012.83636,1012.0366,1011.13696,1009.5362,1009.0364,1008.337,1007.53766,1006.4373,1005.63794,1004.6383,1003.73865,1002.9389,1002.3392,1001.5394,1000.6394,1000.0394,999.5396,999.5396,999.4396,999.13995,999.3408,999.44055,998.94037,998.64014,998.24023,998.0401,997.9401,997.8402,997.94037,998.04034,998.04034,998.24,998.43994,998.43994,998.83984,999.13995,999.3402,999.6398,999.8395,1000.13934,1000.4392,1001.1392,1002.13885,1002.93854,1003.73865,1004.7386,1005.1381,1005.637,1006.7362,1008.3357,1009.43524,1010.23474,1011.234,1011.83356,1012.433,1012.8328,1013.2323,1013.5322,1013.9318,1014.2317,1014.53125,1014.8312,1015.03107,1015.3306,1015.5305,1015.8302,1016.3306,1016.732,1016.5325,1016.83295,1017.13324,1017.3331,1017.43274,1017.5321,1017.7316,1018.03094,1018.4304,1018.8301,1019.12994,1019.33014,1019.63,1019.9299,1020.22974,1020.42944,1020.32916,1020.1292,1020.02893,1020.0293,1020.0299,1020.1302,1020.23047,1020.33075,1020.2311,1019.7315,1019.0318,1018.532,1018.43176,1018.4314,1018.5311,1018.6304,1018.6301,1018.7293,1018.8291,1018.82874,1018.82874,1018.7284,1018.6284,1018.42847,1018.2285,1018.02905,1017.72906,1017.42883,1017.1287,1016.9284,1016.7288,1016.6295,1016.4302,1016.13104,1015.73175,1015.43225,1015.3323,1015.4315
