forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:30:11+00:00,2025-11-05 00:00:00+00:00,242.24155,244.5367,246.0375,209.35765,202.8337,206.56499,218.15727,219.47243,231.009,235.71307,226.8476,239.53453,228.01286,218.15727,212.27562,210.46547,213.6901,224.51036,226.97493,228.42397,236.91513,243.43501,244.7989,250.30128,254.90837,292.6714,294.32556,293.31772,288.12195,291.19412,291.47684,287.6502,290.55612,282.75754,282.03058,280.73883,281.72507,280.68484,290.85452,298.67307,295.74066,283.34872,287.52567,296.56497,286.46008,276.63242,292.3802,293.6294,273.17978,224.9999,199.65392,187.59456,173.29025,165.96373,150.64235,141.34016,129.09386,127.40543,138.81418,146.3099,149.03632,154.5367,163.30067,171.6342,172.30405,168.69011,198.43504,209.85892,214.69522,232.94339,228.5324,232.90707,229.76372,226.54811,219.95749,229.39879,258.6901,243.43501,233.74606,227.60262,261.57312,292.83368,276.84268,277.1249,276.3401,271.90912,259.69522,256.75946,264.14407,271.90912,268.45187,277.59454,289.79895,296.56497,302.47116,285.25516,234.46223,224.9999,206.56499,210.25635,221.63345,180.0,149.03632,184.76355,165.96373,165.06853,146.3099,153.43501,167.4712,140.19447,153.43501,200.69553,223.60289,235.53912,239.03632,249.73422,262.34946,271.68463,274.89902,274.83032,274.83032,275.8773,278.13,277.59454,274.76355,269.06082,265.38943,262.6477,259.7779,258.87085,258.6901,260.53775,263.34567,269.076,274.39862,278.48886,278.48886,276.80896,275.11722,273.3664,270.8303,270.0,270.8303,272.52606,273.41653,272.6425,270.0,267.08923,263.9911,259.8754,257.692,257.24246,258.9063,259.59235,258.92984,256.60748,254.98158,255.96373,258.4654,260.36252,262.8751,266.12155,268.09088,271.00507,274.39862,274.96964,270.0,256.50424
2025-11-06 02:18:56+00:00,2025-11-06 00:00:00+00:00,276.60474,273.48926,290.7942,288.19925,290.26578,307.208,309.28937,290.0953,295.08356,283.7363,277.9434,276.63242,276.07236,280.1246,287.8504,290.18588,294.97388,294.5074,293.9625,288.13818,284.99512,283.0919,278.13,255.96373,233.97253,220.91429,216.25392,180.0,158.19853,175.23645,14.036275,39.805527,56.3099,33.6901,31.328646,35.537766,39.805527,37.568665,175.23645,180.0,174.55975,173.85347,180.0,216.25392,210.1413,216.60716,228.17992,226.54811,233.88057,239.47037,243.9967,244.23071,248.19853,234.6887,235.0079,228.01286,219.80553,216.86998,223.02507,239.53453,242.10283,244.7989,255.96373,261.11942,258.6901,259.28693,255.61856,255.96373,264.47256,274.39862,266.186,252.89719,228.81418,213.6901,209.0545,185.19434,185.7105,192.99461,165.96373,176.186,150.2552,147.99466,135.0001,122.00535,131.98714,141.1155,160.55988,170.53775,190.08054,217.77574,238.70702,248.5522,252.18102,243.43501,240.01845,240.25522,268.26434,270.0,283.57043,282.09473,277.66672,279.46225,276.70975,272.20255,271.84756,276.0089,279.46225,271.273,268.85425,260.34018,259.9921,264.98697,267.83896,264.98697,260.53775,261.3269,263.85345,267.43628,276.76608,293.05133,305.67648,301.75943,290.80685,280.1246,268.9584,255.69969,246.80139,249.3255,257.57407,262.8751,264.80566,266.53183,267.3975,268.31534,268.36346,268.3865,267.6141,266.08182,264.36942,261.38443,257.7749,253.20154,247.5572,239.9315,231.1155,222.79738,214.15974,210.37904,214.9921,223.09087,228.36655,231.34016,233.56905,236.3099,240.25522,245.15764,249.22766,251.8472,254.29129,256.373,258.3664,260.2725,261.31372,262.1999,262.30405,262.30405,262.8751,263.29025
2025-11-07 02:16:50+00:00,2025-11-07 00:00:00+00:00,288.43503,263.29025,224.9999,171.86998,153.43501,110.55613,360.0,57.99466,60.94549,27.552727,41.42357,10.885482,357.6141,30.963696,145.71307,172.99883,177.13765,174.19337,172.40544,173.6599,184.66678,219.61066,218.92755,216.32692,204.86368,207.40749,242.96922,245.22488,251.0295,222.27362,192.09474,232.3057,260.38034,265.73218,267.1845,263.88458,266.186,265.60138,260.36252,267.79745,274.31595,272.43658,265.81516,258.3664,261.57312,266.3087,273.17978,254.74483,284.03625,149.74365,161.56496,143.13002,150.64235,144.46223,147.26479,137.12111,138.81418,141.34016,140.19447,135.0001,124.50858,137.12111,150.5242,191.30989,197.35411,213.6901,236.97612,240.01845,253.0091,287.6502,283.39252,295.27768,304.1145,304.8754,313.91916,322.52374,322.12497,310.81497,303.02386,302.7352,313.91916,314.02905,321.7661,311.3477,295.76926,288.9705,288.8,291.41302,289.79895,279.1301,283.81503,282.42593,281.88864,286.79846,285.46127,282.5288,277.76508,273.9908,285.25516,278.65247,271.3019,265.13556,259.9921,259.8754,263.23392,262.1468,264.80566,263.5413,264.50778,266.6982,266.76038,266.3087,263.5585,260.69012,259.046,255.2564,250.55988,244.48618,235.95401,225.9391,217.40543,212.27562,209.7448,212.12497,219.6678,229.28925,236.57516,239.67648,240.5929,243.03436,246.91484,251.56496,254.8141,255.59995,255.61856,255.96373,258.5507,262.50424,264.5963,262.8751,258.84537,255.5792,254.8141,255.01831,258.0707,265.10098,274.96964,282.61932,286.29413,287.3541,288.71182,289.8322,288.99673,289.59238,289.9832,290.43292,290.55612,290.17075,289.0936,289.0578,290.55612,292.83368,294.51962,294.51962,294.05734,293.1986,292.3287,291.4478
2025-11-08 02:07:50+00:00,2025-11-08 00:00:00+00:00,198.43504,226.04153,221.87778,245.85446,203.6294,200.32323,227.60262,249.44386,270.0,271.06088,285.25516,237.26477,210.96368,227.72638,256.50424,272.6025,257.90524,250.82089,255.06853,265.23645,272.29056,287.1028,4.398633,68.19853,47.290634,53.13002,81.25392,64.5367,334.17905,104.420815,142.43134,126.027466,90.0,27.897186,33.6901,32.005356,60.64234,34.50859,109.025696,130.69543,207.75845,195.52417,221.34767,226.88817,235.88548,237.52882,215.2725,237.6804,244.23071,281.72507,284.30032,293.1986,298.70584,302.96942,297.8972,289.0257,297.25525,297.8972,302.90524,304.1145,302.00534,296.56497,296.56497,281.0409,271.14572,271.023,267.95465,265.9859,265.9859,267.91748,272.12103,272.12103,271.10168,268.85425,285.3763,286.8585,306.11945,297.12122,288.43503,286.5874,273.87845,267.95465,264.40076,261.34753,257.19574,259.46088,265.76367,284.03625,281.12915,274.76355,269.2361,267.58054,268.36346,270.90936,267.91748,259.21576,246.44772,242.81897,233.13002,236.3099,230.90614,229.89915,229.89915,226.8476,229.02835,229.39879,230.04251,232.02834,237.20047,240.37634,244.61214,251.31255,255.06853,255.78412,260.9098,262.9717,264.2895,265.66776,269.076,272.96088,275.01303,272.86234,270.0,268.33975,269.19308,272.41946,274.08554,275.11722,275.44025,276.65433,277.72174,278.53067,279.46225,278.53067,276.65433,275.7105,276.5462,277.23682,278.00464,277.1249,276.3401,276.4415,277.59454,278.97253,281.113,284.74362,288.43503,290.659,289.90384,286.79846,284.85864,284.03625,283.7608,283.7608,284.85864,286.26028,288.43503,292.20352,295.20108,297.8972,298.85556,298.523,297.09546,293.70264,287.1028,282.5288,279.46225,280.30478
2025-11-09 02:29:40+00:00,2025-11-09 00:00:00+00:00,190.3048,299.0545,135.0001,354.2895,44.999897,61.69934,36.253937,50.906155,40.236294,59.03632,17.102825,318.36655,83.659904,41.63345,67.3801,119.05451,122.00535,116.56499,129.3693,154.39786,193.39252,216.86998,220.60121,228.57643,246.54095,259.8754,262.8751,254.98158,260.13425,258.92984,283.32455,308.4181,331.9276,332.6502,326.3099,334.2901,318.50363,317.2026,317.8156,316.9749,313.95847,311.98712,306.11945,300.17343,298.61035,298.00906,302.3998,307.87503,306.02747,295.90643,292.1095,286.8585,289.85532,291.25058,297.8972,290.13638,275.19434,268.9191,263.88458,265.07297,264.47256,268.15244,268.33975,273.094,275.06354,274.34317,270.75385,268.4725,268.36346,266.58347,265.23645,266.49652,251.14674,248.42863,240.42226,237.61934,226.97493,239.0363,237.87503,239.98172,236.0035,234.46223,239.23735,237.26477,241.63104,240.64233,240.37634,246.57129,254.29129,262.9717,264.5227,269.18155,276.42865,275.7927,278.13,276.61337,273.57626,270.0,270.88138,271.84756,271.84756,273.87845,273.814,274.927,280.56094,280.92276,278.13,278.13,278.58353,280.49142,284.7968,281.3099,285.10114,285.4787,285.94547,285.10114,283.81503,283.34872,286.88687,291.99118,295.14474,293.1986,288.77814,286.38962,287.41806,289.79895,292.20352,294.62354,297.0505,298.523,299.60434,300.76263,301.37296,303.36636,306.1933,308.65982,310.10083,312.4362,313.2101,314.0907,315.9391,316.00497,316.16904,318.01288,318.81415,317.29062,312.27362,306.02747,294.44394,279.46225,270.0,275.19434,286.6993,291.80148,285.25516,270.0,270.0,288.43503,330.9455,345.9637,333.43503,317.72638,302.7352,296.56497,290.55612,284.93146,275.7105,255.96373
2025-11-10 02:19:07+00:00,2025-11-10 00:00:00+00:00,252.25523,262.09293,245.43285,265.36462,249.62347,244.65387,235.22209,233.39284,255.96373,277.76508,299.1675,312.4362,311.98712,310.46216,302.7352,303.07068,304.90256,298.9509,299.35767,284.5345,287.176,290.77234,297.95087,290.07162,284.99512,293.5747,291.4478,292.83368,284.74362,289.0578,277.59454,279.9041,275.52744,280.92276,270.0,258.6901,255.96373,257.61926,256.14856,258.6901,257.85574,255.774,259.75598,261.67444,261.1933,256.94473,251.31255,247.5741,243.82477,245.77226,236.3099,237.72438,226.8476,233.13002,240.12408,239.82657,241.92761,240.94548,241.92761,245.82089,245.82089,250.34608,256.373,256.71512,261.87,264.8719,267.8253,271.4502,271.5693,272.52606,273.46817,270.0,269.04517,268.26434,274.61057,279.1301,279.78235,275.2738,278.61557,285.03787,290.55612,291.63095,284.7968,284.30032,276.70975,277.38596,281.88864,288.16605,290.659,292.13553,290.659,292.9638,294.90472,296.13095,297.95087,299.1675,301.60745,297.824,290.55612,284.03625,276.84268,267.6141,254.05453,245.77226,243.43501,237.72438,239.42085,245.22488,245.85446,251.56496,255.96373,265.36462,255.06853,263.29025,257.3196,254.47583,252.1212,251.56496,253.49556,255.96373,260.53775,266.53183,273.094,277.49576,283.24054,291.4478,299.4758,307.30402,311.98712,316.5481,322.12494,330.64233,348.6901,13.240531,27.645891,33.111355,32.471172,31.429514,29.357658,33.6901,34.50859,40.9143,47.12111,54.46224,64.98315,75.96373,86.423744,93.366394,96.340096,99.46225,99.46225,96.70974,93.57626,90.0,90.0,92.86235,97.76508,106.9276,117.552734,122.00535,121.60746,117.34979,114.30454,112.109505,109.98319,110.924576,117.89718,126.32692
2025-11-11 02:10:53+00:00,2025-11-11 00:00:00+00:00,283.13403,278.36578,276.70975,273.31772,276.84268,277.3995,275.4037,275.33206,276.0089,272.97366,277.65054,278.36578,262.34946,256.75946,256.2637,255.8219,257.53506,260.13425,259.9921,261.30457,264.4279,262.9717,255.3432,250.46326,246.92957,242.04912,241.0491,236.65927,227.72636,218.45374,214.0194,218.65984,219.5226,224.23619,231.48305,235.14546,235.6196,238.39255,244.04129,244.04129,247.06787,246.52899,248.33397,249.52763,250.67671,256.14856,256.67545,256.34955,261.11942,271.4502,274.2053,275.8773,278.68628,282.80426,282.99463,284.99512,275.28998,278.42688,274.57382,273.43356,272.43658,273.43356,278.27582,281.84204,282.2251,284.47034,284.6568,283.627,284.6568,286.62082,290.659,292.83368,294.84235,292.93213,289.79895,284.85864,284.67642,282.68036,281.59213,288.43503,284.4208,283.24054,290.37653,288.92474,284.8265,282.72437,284.38144,295.14474,303.42484,306.50153,312.39737,314.29276,310.8553,316.73566,315.90927,314.06088,310.60123,325.954,327.17145,325.78424,319.0857,315.0001,309.8055,293.1986,284.03625,281.3099,273.57626,273.814,278.13,287.1028,302.7352,288.43503,294.77512,303.17853,296.56497,293.9625,288.43503,280.78424,273.3664,257.00537,236.3099,213.6901,197.10281,183.814,172.87508,162.64589,156.3706,151.92761,150.2552,153.43501,160.55988,169.21574,184.57384,210.37904,229.14471,237.60017,242.6502,247.86446,252.42865,255.52966,258.51804,261.2539,264.0356,265.7947,269.1697,273.31772,277.53934,282.80426,290.13638,299.98157,308.21106,312.39737,313.7812,315.0001,316.88815,319.18503,321.17017,323.36578,326.65927,328.5705,326.3099,322.81522,321.07245,326.3099,337.3801,352.23492,8.97255,32.005356
2025-11-12 02:13:07+00:00,2025-11-12 00:00:00+00:00,254.64981,246.54095,235.66972,232.65057,227.9109,231.34016,226.04153,226.78989,226.97493,227.81563,231.66663,237.60017,242.28159,243.77809,245.55606,244.04129,245.77226,251.36533,252.18102,250.48404,254.05453,255.43968,251.31255,258.3664,256.56897,251.56496,264.88278,258.84537,259.76526,264.1227,263.9911,265.3014,265.10098,263.9459,266.53183,269.1697,267.27374,271.68463,279.2298,280.75092,281.3099,278.32556,278.4033,279.972,281.05637,279.92618,275.47726,271.81827,272.86234,296.56497,297.072,294.34106,291.80148,290.22495,293.6294,284.93146,279.78235,276.3401,270.0,267.70944,262.5687,258.23172,268.36346,273.90042,281.53458,278.8203,268.53122,268.02512,277.3523,284.03625,298.0724,303.6901,327.26477,285.94547,320.1945,282.09473,266.186,262.8751,258.6901,270.0,270.0,265.23645,264.80566,259.69522,243.43501,239.0363,247.3801,246.3706,243.43501,244.65387,241.55717,237.26477,233.61555,213.6901,183.01273,180.0,199.9832,206.56499,236.68936,235.6196,239.65683,245.29759,253.11313,250.9422,253.55954,261.38443,272.8155,275.2738,294.5901,295.67676,301.60745,301.15924,299.4758,302.22873,294.1791,291.99118,289.0578,288.74142,291.99118,298.523,303.36636,302.00534,298.21725,295.46332,295.46332,297.12122,297.12122,297.12122,296.0033,294.86368,293.0255,291.54105,290.22495,293.0255,297.64587,298.61035,296.05344,290.28265,286.1135,283.0919,279.92618,277.90707,273.814,270.0,266.42374,275.19434,303.6901,336.8014,345.9637,339.44388,344.05453,11.3098955,59.03632,77.4712,80.53775,78.6901,76.75947,77.4712,80.53775,79.99209,75.068535,63.435013,44.999897,14.036275,327.99466,312.27362,318.1799,322.52374
2025-11-13 02:30:15+00:00,2025-11-13 00:00:00+00:00,260.21765,270.0,263.9911,258.23172,260.9422,259.54013,261.2539,264.64426,268.12216,263.51703,253.61038,248.19853,259.91946,276.76608,278.68628,280.24402,282.31943,281.95654,281.68933,284.38144,281.4493,282.3625,283.1906,286.07364,281.65927,282.63336,281.72507,277.81522,278.13,277.1249,277.1249,250.0168,240.5242,240.5242,236.97612,230.19447,231.7098,242.35411,267.6141,271.06088,272.77014,270.8303,274.39862,271.94144,271.0809,260.9098,255.96373,250.70985,249.27435,293.1986,274.76355,241.69934,250.0168,243.43501,237.99466,239.0363,233.13002,235.30478,228.36655,212.47118,222.5104,221.63345,220.23628,215.53777,219.28938,198.43504,177.27374,171.46931,165.2564,177.13765,206.56499,227.72636,238.8611,246.42528,252.96214,255.55592,257.125,257.84506,266.77554,270.98773,272.8155,275.52744,289.0936,294.90472,296.13095,308.8114,301.90805,301.39023,298.0724,297.58194,296.2219,294.1932,293.9625,291.3707,293.6294,293.31772,289.2496,288.99673,286.6993,283.13403,283.34872,282.03058,284.03625,285.94547,287.87878,284.93146,281.49652,280.56094,282.8477,281.68933,282.42593,286.33612,287.87878,285.94547,284.69736,283.57043,280.68484,279.65982,280.4374,285.06854,288.43503,285.94547,274.39862,261.2539,252.89719,241.69934,238.39255,235.30478,237.26477,240.2552,245.22488,255.96373,270.0,279.46225,282.99463,284.93146,288.43503,292.24908,294.62354,293.7495,292.6199,289.9832,288.43503,285.94547,281.3099,276.3401,270.0,270.0,270.0,275.7105,281.3099,286.6993,286.6993,286.6993,275.7105,264.2895,253.30067,254.74483,265.23645,274.08554,285.52417,292.24908,295.64096,292.93213,286.50443,280.88547,277.1249,272.72626
2025-11-14 02:13:51+00:00,2025-11-14 00:00:00+00:00,287.8504,289.29013,289.0257,290.55612,295.76926,209.0545,226.8476,232.59457,221.18582,222.70937,232.43134,224.9999,228.01286,228.01286,242.52565,245.55606,249.90468,256.82745,253.44284,245.37645,247.98866,251.56496,251.56496,250.70985,243.43501,237.99466,237.26477,221.98714,209.7448,224.9999,243.43501,281.3099,240.94548,224.9999,222.87889,220.60121,227.29063,235.30478,227.29063,223.72705,218.36752,220.0302,220.85529,218.65982,219.2894,224.21526,229.76372,236.3099,233.13002,250.23274,256.32867,257.4712,260.40692,270.0,275.44025,292.83368,287.78397,282.99463,291.61484,300.81564,298.0724,295.42682,294.7174,295.46332,290.26578,295.01685,288.6768,289.76724,294.37646,296.56497,293.31772,287.3541,287.3541,286.18927,284.47034,283.81503,281.84204,284.03625,286.60706,284.5345,278.42688,272.91077,272.86234,273.75165,272.8155,277.3523,280.3888,281.12915,284.25006,288.69907,289.29013,290.89783,292.01132,292.0363,290.37653,290.55612,284.74362,280.0079,273.01273,263.29025,251.56496,248.74942,247.61981,248.74942,241.92761,239.03632,237.99466,252.64589,246.3706,244.98314,264.80566,278.13,288.43503,293.9625,298.30066,301.32864,303.02386,304.50858,304.69522,303.6901,299.74478,296.56497,296.56497,296.56497,296.56497,291.80148,291.80148,288.43503,296.56497,293.1986,285.94547,278.13,270.0,281.3099,306.86996,329.03632,336.8014,343.3007,344.7448,349.69522,360.0,14.036275,39.805527,66.037506,79.69521,90.0,96.340096,104.03627,102.5288,95.19434,94.76356,94.39862,98.74608,102.99462,102.99462,107.10281,105.945465,104.93147,106.38962,108.43504,119.05451,126.384445,131.82008,128.65984,120.57915,115.55992,115.46331,117.75845
