forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:30:16+00:00,2025-11-05 00:00:00+00:00,234.78232,228.01286,243.43501,242.24155,229.08571,217.87505,202.38017,200.22495,204.77512,167.4712,157.3801,184.76355,186.3401,106.699326,168.9965,177.87895,187.76508,193.84071,194.03627,196.78273,209.53868,208.76755,204.77512,217.87505,235.49142,241.03244,247.06787,288.62796,288.9705,287.47485,287.52567,285.25516,286.88687,295.08356,295.40768,280.71307,280.84027,288.12195,300.81564,304.41843,304.18616,302.2756,301.4295,299.98157,296.56497,299.42737,306.15826,286.38962,284.03625,236.3099,180.0,180.0,175.60138,175.60138,162.47433,176.98727,174.2895,165.37909,162.25523,161.56496,161.56496,180.0,188.24623,190.17545,195.66823,197.79608,197.98743,192.44998,192.04256,189.96375,191.45872,194.40005,196.83755,197.98743,198.65799,199.55835,207.23506,220.23628,221.85495,224.34154,234.34457,218.2902,218.08882,211.21834,208.49554,230.90614,245.89777,251.14674,277.81522,289.1791,280.88547,281.3099,292.24908,306.86996,335.55606,325.30478,335.22488,319.39877,311.98712,305.53775,270.0,218.65984,203.19862,161.56496,147.99466,167.4712,164.47583,158.74942,156.3706,151.69934,145.30478,166.75948,192.09474,214.07724,230.90614,241.97559,254.3577,263.21112,269.34146,275.25372,279.89386,284.03625,286.95538,288.00424,286.23242,282.29526,278.85788,277.49576,277.59454,276.93427,275.5529,274.08554,274.0282,275.12808,277.76508,280.04196,284.03625,289.11307,292.70288,294.49188,295.97433,294.8293,287.8504,275.38922,261.87,256.2392,253.61038,253.20154,251.24126,250.27763,250.27763,251.89613,254.64981,257.5926,257.0926,256.2637,257.4712,264.2895,272.00952,276.3401,276.1465,274.3322,272.6425,273.57626,274.68582,275.01303,272.33725,265.48608
2025-11-06 02:19:04+00:00,2025-11-06 00:00:00+00:00,213.6901,256.14856,257.10626,293.10635,289.6539,284.93146,292.9058,293.6821,283.39252,283.13403,281.00348,276.78888,276.63242,286.88687,299.84583,305.628,305.9098,301.8274,301.39023,300.51016,306.02747,304.046,327.52884,313.1524,312.5104,296.56497,220.60121,192.09474,167.4712,153.43501,146.3099,146.3099,153.43501,129.09386,122.00535,135.0001,136.46873,146.3099,180.0,180.0,178.61967,176.28479,175.66777,189.68872,187.54933,191.30989,194.38142,198.20857,201.0924,219.22566,206.56499,209.35765,209.63829,210.19153,217.77574,216.86998,220.15593,221.87778,231.95291,224.9999,180.0,213.02386,239.0363,262.09293,270.0,273.094,272.9356,278.53067,282.20044,280.78424,221.18582,213.11136,232.3057,238.67136,231.34016,220.91429,204.77512,224.9999,186.3401,153.43501,146.3099,150.9455,146.3099,140.71062,148.67137,147.17146,171.15826,196.82149,196.18927,197.44728,227.4896,231.34016,245.05612,274.18484,273.9908,272.77014,282.61932,286.92758,287.52567,270.924,276.70975,285.80258,289.53674,294.94388,289.9832,291.03757,296.09537,287.19864,281.76825,280.08054,288.12195,288.13818,290.6745,295.67676,296.56497,288.8,280.30478,273.6913,269.10486,264.64426,266.36713,280.2221,299.21915,307.33328,301.35703,288.43503,278.23553,272.41946,266.36713,261.1797,258.87085,258.5305,260.29343,264.4279,269.34146,273.77222,276.8181,279.3601,280.30478,279.00842,275.47726,270.89514,264.61078,254.62369,241.2603,229.574,223.95847,217.99878,207.89717,195.94547,189.46225,194.7436,203.02553,209.7448,212.12497,214.90257,217.50421,221.55252,224.9999,228.57643,231.981,235.40765,239.4525,244.15567,248.4985,251.83395,255.00487,258.6901
2025-11-07 02:16:57+00:00,2025-11-07 00:00:00+00:00,173.6599,147.26479,184.76355,161.56496,171.86998,177.5105,143.97253,79.69521,109.653915,106.38962,110.55613,86.82024,118.8107,140.44037,171.08516,181.84756,181.48784,175.65685,173.06575,171.54506,168.0707,169.6952,171.74065,174.19337,180.0,185.7105,184.5139,184.49707,196.88687,195.35019,187.59456,206.56499,227.38597,250.9743,273.814,272.20255,275.90604,284.38144,287.7005,290.55612,294.0755,294.1791,292.01132,289.9832,285.94547,288.43503,298.61035,94.08554,96.70974,116.56499,125.537766,126.86999,109.290146,121.42952,123.6901,131.00899,130.426,128.65984,131.34769,124.82456,127.23492,140.35587,158.40463,151.69934,167.34744,185.49223,203.02553,207.40749,242.52565,281.9761,300.96368,296.56497,273.01273,306.15826,318.53238,305.75397,294.0755,300.76263,308.65982,318.01288,313.0251,321.78894,329.3494,320.57224,312.8789,317.7928,323.44745,321.45877,315.55618,307.9422,301.60745,303.4654,300.69965,302.47116,290.6745,294.37646,291.03757,290.85452,288.13818,286.96622,286.44046,284.03625,282.75754,278.65247,277.00116,270.0,263.51703,251.56496,255.96373,258.92984,275.7927,278.8067,275.8773,273.17978,270.0,266.36713,260.36252,251.96562,236.3099,209.98155,188.61557,184.08554,186.70975,190.73885,195.81926,203.78204,208.88649,211.55133,213.20659,214.91948,215.75398,217.26648,221.37842,229.60017,238.3393,243.75871,247.80966,251.7828,253.10126,251.34203,247.6593,244.7989,245.69547,248.19853,249.19313,244.39786,238.52321,235.78424,238.70702,244.74687,251.87805,262.1468,272.8155,279.16226,279.78235,277.5237,277.81522,282.8477,288.1781,290.72565,291.80148,293.00888,293.49857,294.04422,293.78204,293.45905,291.80145,287.96924
2025-11-08 02:07:56+00:00,2025-11-08 00:00:00+00:00,180.83029,187.90707,190.95403,194.79681,190.00792,221.18582,214.33028,212.19571,201.25058,219.80553,244.98314,255.06853,255.37909,285.12405,295.94223,295.27768,289.35907,292.83368,288.43503,275.19434,280.30478,305.83774,44.999897,72.47434,93.012726,107.35411,108.43504,85.91447,133.02507,139.53786,138.46832,135.0001,138.01286,137.12111,79.380394,43.26433,61.189304,70.559875,138.17992,139.49724,146.08253,141.89238,143.65245,153.82477,146.57516,171.52895,221.05472,256.2392,271.90912,277.66672,291.99118,270.0,278.27582,290.13638,303.92984,298.0724,304.641,304.136,309.6854,315.83023,314.11868,306.6342,311.3477,316.16904,313.22855,293.6294,286.92758,289.4862,278.36578,275.9644,279.32352,277.76508,272.68372,270.0,261.87,254.84587,249.82925,253.61038,247.21756,245.4099,272.86234,286.1135,282.6996,279.9041,274.5377,262.52853,265.3014,267.76886,273.814,275.64044,286.55716,285.52417,274.08554,270.0,270.0,264.2895,257.24246,251.1752,234.09018,221.34767,212.73521,223.83095,205.90645,205.82094,192.875,203.19861,202.01134,209.8759,211.53474,215.65541,216.86998,224.37048,229.9938,247.80966,241.38963,254.38895,271.70978,282.1549,278.13,266.24835,255.49979,250.9422,248.58696,250.20103,257.4712,267.13766,272.72626,273.75165,273.0664,271.0809,268.9191,267.91748,269.029,275.2738,281.76825,284.38144,282.23608,277.8532,275.25372,276.2634,279.33493,281.8024,282.1549,281.9761,281.3099,281.84204,281.88864,282.5288,283.78162,284.5345,285.80258,285.6423,284.6209,283.0919,282.68036,281.88864,284.38144,290.69553,297.4075,301.39023,305.25644,308.5302,310.69543,310.3998,307.07315,303.6901,297.75842,289.44012
2025-11-09 02:29:45+00:00,2025-11-09 00:00:00+00:00,137.29063,156.80138,126.027466,17.52567,92.86235,130.60121,83.659904,20.224945,33.6901,35.837746,46.8476,62.354122,82.56869,78.6901,159.07542,159.27437,157.3801,149.47037,146.97614,152.10281,149.74365,153.43501,180.0,189.46225,164.47583,177.13765,229.08571,238.62704,278.13,267.3975,258.0239,275.35574,285.52417,275.7105,274.76355,283.32455,300.37906,321.5819,322.00122,308.08884,309.66782,311.18582,311.72943,304.62424,300.25635,299.74478,300.01828,304.3804,311.42358,305.07382,306.46933,306.1933,297.75842,293.49857,292.01132,283.17255,277.81522,276.4587,270.0,271.0416,268.977,267.3575,272.86234,272.6025,276.98096,281.42706,287.86017,283.44864,280.53912,277.64032,270.74405,266.186,264.88278,257.90524,246.0375,241.1893,239.47037,245.9245,216.52895,214.04597,212.00534,199.35909,212.38066,214.04597,204.86368,212.79953,218.991,231.34016,232.92683,250.34608,243.86905,269.1575,274.61057,279.46225,273.22446,271.90912,270.86804,279.32352,275.7105,263.6599,260.0959,263.9459,263.9459,260.21765,270.0,284.26456,281.3099,266.76038,261.41647,260.18076,264.7262,281.88864,290.04532,293.8865,296.906,296.56497,293.87527,290.22495,286.09088,279.86575,275.5721,276.17007,278.36578,280.6196,277.59454,271.97488,268.02512,264.47256,261.87,263.9911,270.0,279.68872,289.23077,299.87592,308.25446,312.32452,313.5057,313.53125,316.00497,323.44745,335.85446,346.70142,349.59235,344.6237,340.55988,338.83865,336.5713,334.2307,328.73633,322.12497,317.29062,313.87677,311.63345,309.40063,305.9098,302.3474,306.25394,319.68597,332.9692,338.70258,337.3801,332.62238,328.2011,326.0035,325.56094,325.84024,327.52884,334.79892
2025-11-10 02:19:15+00:00,2025-11-10 00:00:00+00:00,308.65982,196.38962,245.37645,288.43503,288.9705,284.03625,285.52417,277.59454,278.13,270.0,273.9908,258.9965,260.78903,262.8751,268.6981,271.273,267.6141,277.8532,288.99673,279.30988,281.3099,284.74362,290.85452,297.072,284.03625,284.6209,280.17545,277.90707,273.57626,274.08554,275.90604,264.68555,265.10098,258.11136,253.14151,248.42863,256.46414,266.98727,261.51114,263.91156,256.34955,260.78903,262.46063,264.1227,265.23645,263.38663,254.19742,240.57263,222.5104,252.58194,236.97612,242.35411,240.70874,242.90453,218.45374,214.9921,210.76265,227.4896,217.64769,212.12497,218.08882,223.36346,228.99101,236.3099,250.88017,241.76265,262.40546,274.61057,275.9644,270.8425,270.85507,273.63287,272.96088,264.7262,265.7947,264.88278,264.98697,268.9584,267.7543,270.0,273.814,269.04517,272.96088,282.8477,286.09088,288.74142,288.69907,289.35907,291.66602,295.92484,307.43866,311.18582,314.44382,308.65982,286.6993,292.6199,298.88647,292.16638,282.09473,281.3099,279.46225,264.2895,256.86597,258.31067,266.0549,267.87894,265.91446,267.87894,267.79745,262.5687,278.61557,277.90707,279.92618,273.90042,272.29056,270.0,266.42374,257.73523,238.57048,221.42357,209.4758,204.90474,205.82094,210.96368,227.60262,256.42953,280.30478,297.8972,312.27362,321.34018,326.88864,330.75128,335.15762,341.56494,347.84506,352.46063,353.9459,353.55847,352.9988,353.41815,353.6599,354.2895,352.09293,349.3804,348.31067,351.87,357.87894,2.2025495,357.5105,348.6901,338.74942,336.0375,334.65387,334.65387,338.74942,345.9637,356.186,7.59456,21.801476,28.30066,38.65983,180.0,188.13002,176.82024,164.05453,155.55606,151.38963,148.24057
2025-11-11 02:10:58+00:00,2025-11-11 00:00:00+00:00,287.56036,285.46127,280.30478,282.17145,274.57382,272.3859,268.75467,268.66782,265.13556,262.40546,268.99493,265.91446,261.41647,261.87,268.56793,264.976,263.79663,267.63867,269.3969,270.0,268.06946,267.8253,264.95764,258.4862,245.65892,232.59457,226.16905,220.23628,217.56866,199.53674,196.69933,198.92474,199.17911,195.01842,198.43504,197.70052,203.35558,204.5377,207.07199,210.96368,229.82083,237.80429,246.54095,252.80138,258.2749,257.692,251.56496,238.24055,231.63248,265.1561,263.4538,257.84506,260.72748,273.0664,275.7105,276.11542,270.924,263.5413,272.12103,266.87793,259.69522,257.34744,268.23764,277.90707,286.63104,293.10635,295.01685,295.64096,302.78427,306.50153,300.06848,289.6539,281.3099,286.6993,279.16226,273.6913,271.84756,271.97488,259.8754,248.96242,246.0375,247.52052,248.83867,260.2725,266.82022,276.78888,280.49142,291.10492,300.6772,302.59256,305.0595,321.89236,334.61212,329.53452,315.0001,317.4896,311.009,318.81418,329.3494,336.8014,343.49554,331.69934,317.4896,313.7812,315.0001,309.8055,316.33215,317.72638,312.27362,316.2188,328.46524,331.63104,336.1398,329.38147,323.13,323.36578,325.1246,326.3099,324.46225,319.39877,311.98712,303.6901,299.0545,290.55612,260.53775,218.65984,198.43504,192.99461,193.24052,190.78426,186.84268,184.08554,183.57626,187.69595,192.09474,197.70052,202.93213,209.40709,215.83774,226.93057,242.56035,255.2564,259.046,258.85715,258.5305,258.9965,259.14365,261.54504,266.906,273.91818,282.09473,291.80145,302.53503,311.56625,316.10162,318.6746,320.65952,323.27582,326.5138,329.03632,330.25522,330.4613,332.6502,339.02643,347.27563,353.4538,356.6336,356.906
2025-11-12 02:13:13+00:00,2025-11-12 00:00:00+00:00,238.24055,241.63104,230.7106,224.9999,201.37068,209.7448,202.24907,204.77512,180.0,173.6599,197.19862,198.00426,200.85454,205.08356,216.09837,227.4896,238.60979,245.95578,248.05124,265.36462,270.89514,274.48453,240.94548,240.94548,258.6901,267.3975,250.9743,239.42085,236.3099,256.86597,253.81071,254.87593,258.9591,255.96373,258.4399,252.47433,252.40749,262.40546,270.0,278.6954,282.5288,287.1028,291.03757,293.28607,290.72565,290.18588,277.5237,276.65433,281.5138,291.16132,293.1986,289.0257,288.43503,286.6993,270.0,266.3087,262.6477,257.27563,260.83774,259.046,262.1468,266.42374,280.08054,289.1791,293.6294,292.3287,290.22495,294.14554,296.02954,276.0541,286.7827,299.13422,306.86996,313.6029,317.41956,325.8855,330.9455,333.43503,328.24057,316.63654,332.52567,331.69934,333.43503,338.9624,332.3541,337.1663,335.85446,330.4613,317.4896,303.17853,293.1986,291.03757,280.49142,275.7105,164.74483,162.3498,168.31065,175.101,175.23645,182.72626,187.94337,198.43504,193.73628,200.40997,203.19861,216.86998,229.51407,245.94266,249.64668,259.9921,257.84506,283.67133,302.47116,304.06094,303.47632,302.94922,299.60434,293.55228,289.9832,290.07162,290.55612,294.62354,305.21768,312.5104,304.28693,283.49576,267.87894,263.88458,266.186,266.3087,264.64426,261.38443,265.23645,276.63242,287.1028,293.31772,295.79596,296.56497,296.56497,297.43964,297.5972,296.56497,291.4478,278.13,259.3804,246.3706,243.43501,242.24155,240.64233,237.52882,230.19447,224.9999,44.999897,63.435013,97.12492,124.992096,124.69522,102.5288,77.735245,62.59251,53.13002,43.91917,35.706783,25.201094,13.240531,360.0,351.38443,342.12122
2025-11-13 02:30:20+00:00,2025-11-13 00:00:00+00:00,244.17906,243.43501,228.36655,249.67677,254.3577,239.42085,235.78424,251.56496,251.56496,250.9064,260.21765,242.52565,226.54811,234.46223,243.43501,268.4725,289.74692,291.92963,292.77042,294.55045,292.56705,293.7204,286.50443,287.176,290.80685,283.34872,281.113,284.34937,283.32455,279.7275,271.90912,270.0,259.21576,255.37909,243.43501,234.16226,229.89915,251.56496,278.91486,284.57425,288.75873,293.1986,291.10492,291.47684,286.38962,280.30478,270.0,285.4222,279.46225,297.75842,310.91428,319.7637,331.9276,338.9624,335.22488,331.69934,331.38962,347.4712,350.53775,270.0,153.43501,156.0375,201.80147,212.90524,214.28693,220.0302,224.9999,223.21011,210.96368,198.43504,181.19347,185.19434,184.08554,188.84174,194.85866,202.89058,213.6901,224.9999,238.27644,237.05078,235.0079,237.99466,243.85321,249.341,264.92047,258.6901,305.53775,298.24963,315.0001,292.21765,298.03375,298.0724,304.06094,302.3666,294.1791,295.90643,303.17853,295.51382,297.8972,266.0549,255.96373,245.69547,242.24155,251.56496,258.05585,263.77426,264.61078,263.41815,256.82745,252.64589,259.54013,273.17978,281.61145,283.85144,285.84314,288.9466,292.83368,294.62354,290.0953,280.0079,270.0,274.23633,284.03625,288.43503,279.86575,258.11136,237.99466,237.09476,242.24155,250.70985,260.53775,281.3099,301.60745,312.70938,320.90613,323.61554,321.34018,316.46872,313.6029,315.0001,318.01288,318.36655,317.1211,315.0001,306.86996,290.55612,282.5288,275.7105,280.30478,291.03757,298.30066,309.28937,326.3099,335.22488,335.22488,329.74365,323.97253,317.72638,312.70938,309.09384,306.86996,306.86996,307.56866,310.0302,315.0001,316.5481,315.0001,306.86996
2025-11-14 02:13:58+00:00,2025-11-14 00:00:00+00:00,274.08554,293.1986,223.36346,242.35411,257.19574,285.06854,276.84268,279.86575,254.47583,229.89915,226.8476,221.42357,226.97493,229.39879,260.53775,270.0,273.90042,272.43658,273.57626,266.98727,260.18076,270.0,257.27563,246.25049,239.0363,244.7989,243.43501,242.24155,255.96373,326.3099,116.56499,139.39879,164.05453,203.9625,235.0079,251.56496,67.61982,66.801384,139.39879,165.96373,170.53775,180.0,174.2895,180.0,173.36758,170.07382,160.34608,185.6175,188.74608,202.47948,194.82652,224.9999,230.4774,232.3737,244.61214,253.92636,261.99536,268.2101,287.81897,285.46127,277.2531,286.62082,302.31958,305.1808,299.659,296.29474,299.35767,299.0545,304.06094,300.96368,303.07068,305.53775,316.73566,310.73203,268.09088,266.00916,265.03033,262.0566,254.24875,249.90468,249.30446,251.56496,252.824,252.824,248.19853,250.27763,265.16968,284.88632,292.30624,295.27768,293.8865,290.64706,284.47034,280.92276,275.31445,265.36462,271.73566,275.7105,278.42688,280.49142,281.76825,274.57382,265.60138,264.80566,256.50424,272.29056,270.0,274.96964,259.69522,256.60748,273.6913,288.43503,292.98874,295.01685,290.77234,298.4428,308.2902,316.9749,317.4896,307.87503,296.56497,293.9625,296.56497,301.60745,309.8055,315.0001,322.43134,326.3099,325.4914,324.78232,323.13,319.7637,317.4896,319.39877,320.52756,321.70978,322.69595,323.97253,322.69595,316.73566,308.65982,299.74478,296.56497,300.96368,302.00534,296.56497,270.0,236.3099,251.56496,281.3099,300.96368,323.13,345.9637,26.564985,68.19853,98.13002,110.55613,123.690094,153.43501,180.0,180.0,174.2895,173.41815,178.0909,181.73567,183.3664,180.0,173.8846
