forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:31:29+00:00,2025-11-05 00:00:00+00:00,23.537357,23.700321,23.651773,23.506144,23.603231,23.617697,23.617697,23.471836,23.423214,23.520456,23.423214,23.471836,23.520456,23.506144,23.603231,23.440422,23.700321,23.84595,23.84595,23.797405,23.84595,24.006655,23.958036,23.860796,23.909418,24.116238,24.067541,24.018847,23.97945,23.970152,23.488892,23.323465,23.323465,23.371851,23.155434,22.811308,22.811308,23.081198,23.177654,23.445286,23.322338,23.019608,22.887829,22.758251,23.244635,23.710558,23.925072,23.758945,23.99157,23.876614,23.77968,23.84595,23.909418,24.116238,24.08367,24.08764,23.839443,23.63805,23.686821,23.839443,23.735594,23.488892,22.59993,22.327936,22.471378,22.66263,23.211859,23.211859,23.437212,23.686817,23.828146,24.311012,24.425577,24.527903,24.478989,24.430069,24.430069,24.230204,24.230204,24.18136,24.332233,24.332233,24.230204,24.17453,23.958036,23.731218,23.758945,23.515244,23.485361,23.223686,23.319643,23.50023,23.629787,23.928343,24.000868,24.282814,24.395597,24.346977,24.298365,24.298365,24.249743,24.457092,24.408398,24.408398,24.408398,24.201126,23.828146,23.445286,23.322338,23.418789,23.73512,24.04925,24.14602,24.02495,23.852814,24.505787,24.346977,24.346977,24.395597,24.234274,24.282814,24.118927,24.118927,23.9041,23.855713,23.758945,23.710558,23.876614,23.828146,23.99157,24.10389,24.213623,24.213623,24.311012,24.298365,24.234274,24.331356,24.215853,24.26431,24.26431,24.215853,24.215853,24.000868,23.611694,23.389069,23.437212,23.659918,23.880035,23.952484,24.185738,24.249743,24.201126,24.201126,24.201126,24.201126,24.201126,24.249743,24.137194,23.807327,23.515244,23.485361,23.67793,23.774216,23.949263,23.852814,23.976645,23.928343,23.880035
2025-11-06 02:20:23+00:00,2025-11-06 00:00:00+00:00,23.876614,23.63851,23.758945,23.662174,23.700321,23.748863,23.300362,22.811308,22.98474,23.603231,23.537357,23.537357,23.468626,23.300362,23.322338,23.292778,23.244635,23.115736,23.115736,23.163797,23.389069,23.467018,23.418789,23.828146,23.68275,23.68275,24.116238,24.018847,24.08367,23.891966,23.881907,23.371851,22.407993,22.683147,22.779282,23.003902,23.052048,23.148342,23.115736,23.031769,23.079744,23.467018,23.590202,24.021997,23.855713,23.876614,24.088657,24.201126,24.055275,24.311012,24.311012,24.164932,24.116238,24.376736,24.018847,24.12576,23.970152,23.25205,23.49359,23.77968,23.758945,23.9041,23.708147,23.976645,23.976645,23.852814,23.67793,23.90104,23.726072,24.121555,24.242786,24.14602,24.26431,24.379894,24.331356,24.282814,24.021997,24.021997,23.807327,23.758945,23.97354,23.925072,23.925072,24.088657,24.137194,24.234274,24.167387,24.04925,23.928343,23.976645,23.976645,23.928343,24.04925,24.167387,24.234274,24.298365,24.201126,24.201126,23.99157,23.99157,23.943031,23.894487,23.84595,23.84595,23.894487,23.894487,23.84595,24.055275,24.055275,24.15251,24.137194,24.070461,23.952484,23.611694,23.437212,23.659918,23.389069,23.340925,23.340925,23.389069,23.611694,23.73512,24.021997,24.137194,23.876614,23.396975,23.129423,23.081198,23.300362,23.517015,23.517015,23.5654,23.613787,23.662174,23.710558,23.807327,23.73512,23.659918,23.533504,23.533504,23.485361,23.659918,23.880035,24.04925,24.215853,24.282814,24.346977,24.201126,23.99157,23.396975,23.177654,23.129423,23.300362,23.25205,23.25205,23.081198,23.129423,23.348665,23.77968,23.99157,24.15251,24.15251,24.10389,24.055275,24.006655,24.006655,24.10389,23.99157
2025-11-07 02:18:15+00:00,2025-11-07 00:00:00+00:00,24.088657,24.040113,24.055275,24.116238,24.223299,23.970152,23.714937,23.97945,23.735594,23.506144,23.468626,22.731215,22.827345,22.887829,23.244635,23.322338,23.943031,24.15251,24.26232,24.213623,24.26232,24.201126,24.201126,24.088657,24.021997,24.359707,24.213623,24.055275,24.055275,24.164932,24.067541,23.894487,23.468626,23.155434,23.323465,23.371851,23.300362,23.177654,23.340925,23.307985,23.452171,23.271666,23.271666,23.581646,23.708147,23.928343,23.831732,24.137194,24.088657,24.137194,24.137194,24.088657,24.249743,24.15251,23.99157,24.055275,23.894487,24.10389,24.15251,24.201126,24.137194,24.234274,24.167387,24.379894,24.379894,24.59006,24.700552,24.492828,24.14602,24.097633,23.928343,24.428436,24.409693,24.409693,24.361237,24.31277,24.379894,24.444208,24.457092,24.467146,24.272068,24.018847,23.797405,23.225885,22.971542,22.743877,22.875414,22.875414,23.06767,23.307985,23.452171,23.67793,24.02495,24.14602,24.097633,24.04925,24.04925,23.880035,23.708147,23.485361,23.659918,23.831732,23.952484,23.63851,23.100197,22.827345,22.827345,23.100197,23.148342,23.292778,23.211859,23.35605,23.452171,23.548292,23.596355,23.831732,23.211859,22.983788,23.163797,23.78343,24.167387,24.331356,24.234274,24.185738,24.088657,24.201126,24.15251,24.10389,23.894487,23.68275,23.517015,23.5654,23.396975,23.49359,23.590202,23.686817,23.515244,23.06767,22.839844,23.019608,23.370562,23.758945,23.710558,23.710558,23.662174,23.5654,23.68275,23.634289,23.468626,23.348665,23.396975,23.300362,23.42024,23.537357,23.748863,23.797405,23.894487,23.5654,22.827345,22.465528,22.561329,23.115736,23.340925,23.515244,23.63851,23.710558,23.731218,23.700321
2025-11-08 02:09:10+00:00,2025-11-08 00:00:00+00:00,24.572107,24.474419,24.425577,24.425577,24.223299,24.279049,24.18136,23.93068,23.666319,23.872765,23.909418,23.84595,23.943031,23.828146,23.807327,23.163797,23.389069,23.56347,23.611694,23.611694,23.708147,23.659918,23.9041,24.185738,24.185738,23.97354,23.876614,23.894487,24.006655,23.958036,24.116238,24.17453,24.32789,24.425577,24.474419,24.425577,24.213623,24.040113,24.201126,24.137194,24.234274,24.167387,24.379894,24.26431,24.242786,24.52551,24.541445,24.65186,24.60317,24.60317,24.60317,24.554476,24.60317,24.554476,24.505787,24.26232,24.359707,24.10389,24.17453,24.17453,23.129423,22.369728,22.609228,21.852251,22.375751,22.567007,22.47158,22.662128,22.662128,23.045118,23.13609,23.319643,23.629787,23.485361,23.389069,23.292778,23.019608,22.79186,22.561329,22.513428,22.232306,22.369728,22.63508,23.058817,23.391958,23.371851,23.49359,23.340925,23.211859,23.259926,23.259926,23.485361,23.437212,23.611694,23.611694,23.659918,23.611694,23.686817,23.925072,23.99157,24.10389,24.006655,23.909418,23.812178,23.763557,23.763557,23.812178,23.700321,23.797405,23.731218,23.876614,23.807327,23.73512,23.611694,23.485361,23.611694,23.78343,23.952484,24.021997,24.088657,24.15251,24.10389,24.10389,24.10389,23.894487,23.894487,23.68275,23.68275,23.68275,23.68275,23.68275,23.894487,23.894487,23.943031,23.828146,23.876614,23.828146,23.943031,24.055275,24.164932,24.272068,24.425577,24.272068,23.909418,23.748863,23.700321,23.860796,23.812178,23.700321,23.585823,23.585823,23.763557,23.833138,23.839443,23.735594,23.409058,23.226686,22.936508,22.811308,22.683147,22.503962,22.32183,22.136671,22.136671,22.136671,22.088858,21.993221,22.130222
2025-11-09 02:30:57+00:00,2025-11-09 00:00:00+00:00,23.73512,23.73512,23.855713,24.10389,24.055275,24.164932,24.223299,24.430069,23.98598,23.714937,24.17453,24.32789,24.230204,24.006655,24.137194,24.298365,24.331356,24.167387,24.215853,24.242786,24.121555,23.976645,24.097633,24.31277,24.097633,24.26431,24.118927,24.021997,24.137194,23.99157,24.10389,24.055275,23.84595,23.812178,24.006655,23.058817,23.058817,22.840052,22.79186,22.949495,23.088192,23.271666,23.437212,23.855713,24.137194,24.185738,24.505787,24.505787,24.298365,24.515911,24.185738,24.298365,24.467146,24.474419,24.425577,24.279049,24.028221,23.860796,23.748863,23.797405,23.731218,23.77968,23.97354,24.070461,23.73512,23.437212,23.533504,23.581646,23.629787,23.629787,23.708147,24.070461,24.137194,24.201126,24.10389,24.164932,24.223299,24.230204,24.332233,24.18136,23.872765,23.763557,23.651773,23.585823,23.68275,23.77968,23.876614,23.925072,23.97354,23.807327,23.855713,23.9041,23.686817,23.686817,23.467018,23.19649,23.148342,23.274107,23.613787,23.943031,24.10389,24.10389,24.10389,24.055275,24.055275,24.006655,24.006655,24.213623,24.213623,24.055275,23.943031,23.99157,23.943031,24.10389,24.26232,24.10389,24.26232,24.213623,24.213623,24.055275,24.055275,24.055275,24.055275,24.055275,23.84595,23.585823,23.323465,23.275078,23.391958,23.55469,23.55469,23.603231,23.651773,23.537357,23.634289,23.468626,23.300362,23.300362,23.300362,23.468626,23.371851,23.537357,23.537357,23.537357,23.488892,23.440422,23.55469,23.617697,23.629282,23.540504,23.546366,23.39982,23.302126,23.253277,23.253277,23.350971,23.296642,23.180101,22.936352,22.840052,23.032967,23.177654,23.396975,23.468626,23.603231,23.569078,23.580584,23.589277
2025-11-10 02:20:33+00:00,2025-11-10 00:00:00+00:00,24.000868,23.9041,23.807327,23.876614,23.828146,23.613787,23.763557,23.812178,23.812178,23.970152,23.921457,23.860796,23.203745,22.587011,23.129423,23.115736,22.712053,23.045118,23.045118,23.404108,23.756369,23.928343,24.234274,24.444208,24.444208,24.346977,24.457092,24.359707,24.62095,24.425577,24.32084,24.006655,22.490877,22.34667,22.98474,22.962194,22.955755,23.003902,22.859459,22.455976,23.129423,22.731215,22.465528,22.609228,22.80082,22.853872,22.997305,23.35605,23.97354,24.201126,24.164932,24.164932,24.116238,24.028221,24.028221,24.08367,24.034826,23.93068,23.700321,23.84595,23.517015,23.613787,23.49359,23.590202,23.686817,23.73512,23.515244,23.515244,23.515244,23.686817,23.807327,24.040113,24.055275,24.164932,24.272068,24.223299,24.223299,24.018847,24.018847,24.018847,23.812178,23.860796,23.909418,23.748863,23.84595,23.99157,23.925072,24.021997,24.070461,24.118927,24.118927,24.118927,24.070461,24.021997,23.541899,23.100197,22.779282,22.859459,23.107126,23.178299,23.12991,22.962194,22.913883,22.98474,23.374592,23.43449,23.43449,23.531887,23.423214,23.409058,23.178299,23.155434,23.081198,22.955755,23.003902,22.811308,22.587011,22.538946,22.490877,22.394741,22.34667,22.34667,22.120075,22.120075,22.072086,22.024101,21.928125,21.832146,21.736166,21.688179,21.640186,21.363737,21.363737,21.50746,21.467209,21.706312,21.709753,21.948414,22.04387,22.369728,22.490877,22.865572,23.052685,23.228725,23.491734,23.595211,23.595211,23.546366,23.497519,23.39982,23.350971,23.302126,23.253277,23.20443,23.106731,23.255999,23.207075,23.255999,23.106731,23.20443,23.350971,23.296642,23.44296,23.491734,23.337095,23.337095,23.491734,23.394188
2025-11-11 02:12:11+00:00,2025-11-11 00:00:00+00:00,23.756369,24.04925,24.185738,24.201126,24.311012,24.116238,24.018847,24.018847,23.970152,23.651773,23.634289,23.517015,23.634289,23.77968,23.925072,23.56347,23.73512,24.040113,23.876614,23.876614,23.925072,23.876614,24.040113,24.055275,24.055275,24.164932,24.116238,24.223299,24.12576,24.12576,24.230204,24.132515,23.824064,24.034826,23.937136,23.833138,23.603231,23.634289,23.731218,23.445286,23.322338,23.19649,23.418789,23.370562,23.758945,23.758945,23.925072,24.088657,23.925072,24.088657,23.99157,23.943031,23.958036,23.909418,24.067541,24.018847,23.970152,24.018847,24.067541,24.067541,24.018847,24.12576,23.860796,23.84595,23.77968,23.68275,23.731218,23.710558,23.807327,24.021997,24.088657,24.088657,24.040113,23.943031,24.055275,23.958036,23.909418,23.651773,23.603231,23.55469,23.24656,23.24656,23.295023,23.12991,23.226686,23.323465,23.155434,23.25205,23.300362,23.129423,23.177654,23.003902,23.052048,23.052048,23.129423,23.371851,23.440422,23.55469,23.457603,23.569078,23.629282,23.43449,23.491734,23.44296,23.394188,23.394188,23.394188,23.394188,23.288399,23.228725,23.263422,23.295023,23.155434,22.779282,22.561329,22.936508,23.19809,23.277346,23.540504,23.692905,23.794128,23.69629,23.549522,23.451687,23.20443,23.20443,22.955217,22.906445,23.009031,22.960186,22.960186,22.960186,22.960186,23.158157,23.403063,23.501053,23.253277,23.093601,22.826504,22.713398,22.76187,22.923597,22.98561,23.350971,23.353842,23.255999,23.255999,23.207075,22.960186,22.911333,22.71134,22.71134,22.71134,22.760117,22.704,22.9475,22.936987,22.875051,23.02069,22.907278,23.004217,22.88796,22.936352,22.98474,23.033133,23.08152,23.12991,23.34349
2025-11-12 02:14:27+00:00,2025-11-12 00:00:00+00:00,24.395597,24.457092,24.457092,24.408398,24.26232,24.213623,24.164932,23.958036,23.958036,23.909418,23.921457,24.018847,23.894487,23.943031,23.49359,23.370562,23.19649,23.244635,23.292778,23.292778,23.389069,23.389069,23.467018,23.370562,23.876614,23.99157,23.828146,23.943031,23.943031,23.894487,24.055275,24.006655,23.958036,23.860796,23.921457,24.028221,24.132515,24.034826,24.18136,24.18136,23.97945,23.824064,23.93068,23.881907,23.824064,23.824064,23.77537,23.881907,23.98598,23.881907,23.677977,23.839443,23.531887,23.423214,23.471836,23.520456,23.520456,23.569078,23.617697,23.617697,23.617697,23.457603,23.55469,23.651773,23.537357,23.300362,23.225885,23.225885,23.177654,23.177654,23.081198,23.155434,23.440422,23.34349,23.506144,23.409058,23.471836,23.531887,23.540504,23.546366,23.350971,23.20443,23.15558,23.20443,23.101542,23.142303,23.02069,23.052685,23.08152,23.010504,23.058817,23.033133,23.02069,23.093601,23.199091,23.350971,23.350971,23.302126,23.302126,23.253277,23.15558,23.106731,23.009031,22.760117,22.71134,22.509192,22.509192,22.353481,22.450733,22.547985,22.486666,22.632313,22.72941,22.826504,22.875051,23.263422,23.117785,23.180101,23.13148,23.13148,23.082857,23.034235,23.191002,23.142303,23.093601,23.044903,22.9962,22.9475,23.101542,23.101542,23.101542,23.150314,23.044903,22.98561,22.972147,22.955748,22.936352,22.865572,22.791817,22.840052,22.840052,23.010504,23.12991,23.149624,23.263422,23.214878,23.214878,23.263422,23.149624,22.817265,22.426107,22.154392,21.832146,21.555367,21.555367,21.832146,22.10632,22.250532,22.394741,22.490877,22.71501,22.840052,23.010504,23.058817,22.936508,22.98474,23.155434,23.107126
2025-11-13 02:31:33+00:00,2025-11-13 00:00:00+00:00,23.418789,23.541899,23.662174,23.5654,23.517015,23.517015,23.371851,23.506144,23.714937,23.666319,23.666319,23.677977,23.833138,23.77537,23.714937,23.812178,23.763557,23.714937,23.77537,23.839443,23.839443,23.888288,23.686821,23.423214,23.360514,23.409058,23.360514,23.506144,23.506144,23.457603,23.409058,23.360514,23.471836,23.374592,23.483189,23.423214,22.791817,22.034416,21.709753,21.56638,21.709316,21.609789,21.05203,20.677422,20.890259,21.257336,21.562231,21.709316,21.17426,20.878305,21.031849,21.134205,21.185196,21.280138,21.323738,21.228092,20.945972,21.132442,21.315828,22.11656,22.52739,22.550661,22.52241,22.57056,22.71501,22.683147,22.59993,22.695894,22.647915,23.12991,23.374592,23.180101,23.117785,22.972147,22.826504,22.888363,22.898802,23.057884,23.06031,22.962461,22.913538,22.913538,22.813637,22.71134,22.704,22.742483,22.777958,22.646004,22.550661,22.264036,22.041042,22.041042,22.130222,21.986515,21.93861,21.706312,21.706312,21.65849,21.794897,21.794897,21.842802,21.75413,21.801949,21.986515,22.072086,22.024101,21.842802,21.518818,21.423439,21.56638,21.948414,22.04387,21.852251,21.899893,21.657343,21.56638,21.372004,21.126793,21.324444,21.518732,21.662016,21.801949,21.986515,21.93861,21.93861,21.986515,21.986515,22.168064,22.072086,22.250532,22.394741,22.360004,22.455976,22.859459,23.107126,23.275078,23.155434,23.177654,23.100197,23.19649,23.19649,23.370562,23.445286,23.585823,23.763557,23.881907,23.790598,23.794128,23.745209,23.794128,23.692905,23.790598,23.63805,23.735594,23.580584,23.423214,23.471836,23.471836,23.629282,23.784367,23.784367,23.784367,23.784367,23.629282,23.471836,23.263422,23.374592,23.589277
2025-11-14 02:15:13+00:00,2025-11-14 00:00:00+00:00,24.028221,24.132515,23.98598,23.937136,23.790598,23.43449,23.43449,23.491734,23.491734,23.44296,23.394188,23.44296,23.16633,22.791817,21.757483,21.75696,22.04387,21.99614,21.514673,21.2692,21.46712,21.852951,22.226025,22.407993,22.360004,22.587011,22.791817,23.101152,22.955748,22.550661,22.154392,22.05825,21.832146,22.010178,22.05825,22.154392,22.377958,22.52241,22.394741,22.490877,22.490877,22.811308,22.683147,22.55195,22.779282,22.913883,23.325968,23.337095,23.082857,22.923597,22.98561,22.839737,22.9962,22.898802,22.857668,22.71134,22.760117,22.655298,22.906445,22.955217,23.052769,22.9962,22.875051,22.624016,22.2986,22.264036,22.273928,21.99614,21.609789,21.364138,21.316668,21.41956,21.614285,21.97611,22.479076,22.616459,22.567987,22.616459,22.452435,22.500824,22.500824,22.59761,22.309496,22.010178,21.746992,21.65849,21.614285,21.757483,21.900679,22.04387,22.139332,21.947536,21.704903,21.657343,21.852251,21.99614,22.184492,22.417631,22.417631,22.369728,22.226025,22.082321,21.93861,21.890705,22.120075,22.120075,22.120075,22.394741,22.442808,22.490877,22.76316,22.811308,22.683147,22.59993,22.465528,22.51919,22.887829,23.244635,23.370562,23.662174,23.731218,23.748863,23.872765,23.881907,23.937136,23.989805,24.088966,24.039974,23.794128,23.794128,23.745209,23.546366,23.546366,23.491734,23.43449,23.374592,23.423214,23.629282,23.580584,23.531887,23.686821,23.63805,23.63805,23.43449,23.483189,23.531887,23.325968,23.374592,23.423214,23.263422,23.263422,23.374592,23.385794,23.491734,23.44296,23.491734,23.540504,23.63805,23.531887,23.629282,23.629282,23.629282,23.629282,23.677977,23.520456,23.520456,23.629282,23.63805
