forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:31:30+00:00,2025-11-05 00:00:00+00:00,26.960001,26.81,26.76,26.76,26.56,26.06,25.86,25.66,25.460001,25.31,25.26,25.460001,26.210001,27.06,27.76,28.51,28.960001,29.01,28.81,28.66,28.460001,27.76,26.91,26.81,26.710001,26.460001,26.36,26.11,26.01,25.86,25.66,25.51,25.460001,25.36,25.26,25.26,26.16,27.210001,28.31,29.210001,29.81,30.01,29.91,29.36,29.06,28.06,27.460001,27.16,26.960001,26.76,26.61,26.51,26.31,26.06,25.91,25.710001,25.56,25.51,25.460001,25.460001,26.36,27.36,28.36,29.41,30.16,30.41,29.81,29.11,28.61,27.56,27.210001,26.91,26.81,26.56,26.26,26.01,25.710001,25.41,25.16,24.960001,24.86,24.91,25.210001,25.66,26.36,27.56,28.960001,29.960001,30.16,29.91,29.61,29.31,28.960001,28.56,28.11,27.66,27.31,27.06,26.91,26.76,26.56,26.41,26.26,26.11,25.91,25.91,26.01,26.26,26.81,27.86,29.210001,30.16,30.460001,30.41,30.36,30.460001,30.11,29.710001,29.11,28.41,27.76,27.31,26.91,26.61,26.36,26.16,26.01,25.86,25.76,25.76,25.81,25.960001,26.41,27.51,28.960001,30.01,30.31,30.26,30.01,29.710001,29.26,28.76,28.210001,27.61,27.16,26.91,26.76,26.61,26.41,26.210001,25.91,25.460001,24.91,24.66,24.86,25.31,26.06,27.26,28.76,29.86,30.26,30.31,30.11,29.710001,29.16,28.56,27.960001,27.36
2025-11-06 02:20:25+00:00,2025-11-06 00:00:00+00:00,26.36,26.36,26.41,26.36,26.210001,26.06,25.81,25.76,25.51,25.31,25.11,25.06,26.210001,27.210001,28.31,29.210001,30.16,29.960001,29.51,29.06,28.710001,27.76,27.210001,26.56,26.26,26.41,26.36,26.36,26.11,25.91,25.76,25.61,25.51,25.41,25.36,25.460001,26.210001,27.210001,28.460001,29.460001,30.31,31.06,30.16,29.61,28.960001,28.86,27.710001,26.81,26.41,25.960001,25.81,25.61,25.61,25.51,25.51,25.51,25.56,25.51,25.51,25.61,26.56,27.66,28.81,29.76,31.11,31.36,30.66,30.26,29.61,28.76,28.16,27.86,27.61,27.31,27.06,26.81,26.56,26.31,26.11,25.960001,25.81,25.81,25.91,26.16,26.710001,27.81,29.210001,30.31,30.81,31.01,30.960001,30.66,30.06,29.460001,28.81,28.11,27.51,27.11,26.86,26.61,26.41,26.210001,26.06,25.81,25.56,25.51,25.66,25.960001,26.56,27.76,29.26,30.36,30.710001,30.710001,30.66,30.56,29.86,29.210001,28.61,28.01,27.460001,27.01,26.61,26.210001,25.81,25.460001,25.26,25.210001,25.31,25.460001,25.66,25.960001,26.51,27.56,28.91,29.960001,30.51,30.81,30.76,30.31,29.56,28.81,28.210001,27.61,27.11,26.76,26.51,26.31,26.210001,26.11,26.06,25.960001,25.81,25.81,25.960001,26.16,26.66,27.56,28.710001,29.56,29.91,29.960001,29.81,29.51,29.01,28.51,28.01,27.51
2025-11-07 02:18:16+00:00,2025-11-07 00:00:00+00:00,26.06,26.06,26.210001,26.41,26.36,26.06,25.76,25.61,25.460001,25.51,25.460001,25.56,26.36,27.41,28.51,29.36,30.11,30.76,30.36,29.66,29.56,29.41,28.710001,27.86,27.01,26.61,26.51,26.460001,26.41,26.16,26.01,25.81,25.710001,25.61,25.56,25.710001,26.66,27.710001,28.710001,29.460001,30.16,30.76,30.51,30.01,29.41,28.81,28.16,27.76,27.460001,27.11,26.81,26.51,26.41,26.210001,26.11,26.01,25.960001,25.960001,25.960001,26.06,26.960001,28.06,29.26,30.61,30.960001,31.11,30.91,30.51,29.86,29.16,28.41,28.01,27.66,27.31,27.01,26.76,26.56,26.36,26.210001,26.06,26.01,26.06,26.26,26.61,27.210001,28.36,29.76,30.81,31.210001,31.26,31.11,30.66,30.01,29.36,28.86,28.41,27.960001,27.56,27.16,26.81,26.460001,26.11,25.76,25.31,24.86,24.61,24.61,24.81,25.460001,26.91,28.76,30.11,30.460001,30.36,30.210001,29.61,29.06,28.51,28.11,27.81,27.51,27.26,27.01,26.81,26.56,26.31,26.11,25.960001,25.86,25.91,26.11,26.41,26.91,27.710001,28.66,29.41,29.76,29.86,29.76,29.36,28.710001,28.16,27.710001,27.36,27.01,26.76,26.56,26.41,26.26,26.11,25.91,25.61,25.26,25.16,25.31,25.710001,26.31,27.41,28.710001,29.66,29.960001,29.91,29.66,29.31,28.76,28.26,27.76,27.210001
2025-11-08 02:09:11+00:00,2025-11-08 00:00:00+00:00,27.01,26.41,26.01,25.91,25.81,25.66,25.61,25.61,25.56,25.51,25.51,25.56,26.51,27.51,28.76,29.76,30.61,30.76,30.26,30.11,29.61,28.86,28.16,27.86,27.51,27.11,26.66,26.56,26.26,26.11,25.960001,25.91,25.81,25.86,25.86,26.01,26.86,27.91,29.01,30.61,31.210001,31.26,30.710001,30.16,29.81,29.460001,28.81,28.31,27.86,27.36,26.960001,26.61,26.31,26.06,26.01,25.91,25.91,25.81,25.66,25.66,26.960001,28.16,29.41,30.86,31.51,31.460001,31.01,30.76,30.51,30.51,29.210001,27.710001,26.81,26.06,25.56,25.11,24.61,24.210001,23.81,23.41,23.06,23.01,23.36,24.01,24.960001,26.460001,28.31,29.66,30.16,30.210001,30.01,29.51,28.76,28.11,27.76,27.51,27.31,27.11,26.91,26.710001,26.51,26.26,26.06,25.86,25.66,25.66,25.81,26.11,26.61,27.56,28.66,29.51,29.76,29.66,29.56,29.210001,28.76,28.31,27.86,27.41,27.06,26.91,26.86,26.76,26.61,26.41,26.26,26.06,25.86,25.81,25.91,26.16,26.61,27.56,28.710001,29.56,29.86,29.86,29.61,28.960001,28.06,27.31,26.81,26.41,26.16,26.06,26.11,26.11,25.960001,25.76,25.56,25.26,24.91,24.76,24.86,25.210001,25.81,27.01,28.56,29.56,29.61,29.11,28.61,28.16,27.66,27.210001,26.86,26.51
2025-11-09 02:30:58+00:00,2025-11-09 00:00:00+00:00,27.66,27.26,27.01,26.76,26.460001,26.31,26.16,26.06,26.06,26.01,26.11,26.11,27.01,28.11,29.460001,30.76,31.66,32.01,32.059998,31.36,30.66,30.36,29.460001,28.86,28.11,27.460001,27.01,26.710001,26.460001,26.36,26.210001,25.960001,25.86,25.960001,25.91,25.960001,27.01,28.16,29.210001,30.01,30.41,30.710001,30.960001,30.81,29.66,29.460001,28.81,28.36,27.960001,27.56,27.210001,27.01,26.81,26.66,26.460001,26.26,26.16,25.960001,25.81,25.86,26.81,27.86,29.11,30.11,30.76,30.86,30.26,29.460001,29.16,28.460001,27.86,27.56,27.56,27.31,27.06,26.81,26.51,26.26,26.01,25.81,25.710001,25.710001,25.86,26.16,26.66,27.56,28.66,29.460001,29.710001,29.66,29.460001,29.06,28.51,28.01,27.710001,27.51,27.31,27.11,26.91,26.710001,26.56,26.460001,26.31,26.11,25.91,25.86,26.01,26.36,26.91,27.86,29.06,29.86,29.960001,29.66,29.41,28.31,27.76,27.210001,26.76,26.36,26.06,25.960001,25.960001,25.960001,25.86,25.76,25.61,25.26,24.86,24.66,24.81,25.16,25.81,26.91,28.26,29.36,30.06,30.460001,30.460001,29.81,28.710001,27.76,27.26,26.91,26.51,25.960001,25.41,24.91,24.56,24.36,24.16,23.960001,23.81,23.86,24.16,24.710001,25.460001,26.710001,28.16,29.210001,29.61,29.56,29.26,28.56,27.56,26.76,26.26,25.91
2025-11-10 02:20:35+00:00,2025-11-10 00:00:00+00:00,27.66,27.31,26.91,26.710001,26.41,26.11,25.710001,25.56,25.61,25.710001,25.81,25.86,26.710001,27.76,28.81,29.86,30.61,30.51,30.51,30.56,30.31,29.61,28.66,28.210001,27.76,27.41,27.26,27.06,26.76,26.56,26.31,26.06,25.86,25.76,25.710001,25.81,26.710001,27.66,28.66,29.31,29.81,29.91,29.76,29.41,28.91,28.51,27.86,27.61,27.41,27.16,26.960001,26.66,26.41,26.36,25.960001,25.81,25.710001,25.710001,25.61,25.710001,26.51,27.51,28.56,29.41,29.91,29.91,29.66,29.31,28.76,28.11,27.36,27.210001,27.01,26.76,26.61,26.460001,26.31,26.16,26.06,25.91,25.81,25.86,26.01,26.31,26.86,27.86,29.06,29.86,29.960001,29.710001,29.31,28.81,28.210001,27.66,27.210001,26.81,26.460001,26.210001,26.06,25.91,25.76,25.66,25.41,24.91,24.31,23.91,23.76,23.86,24.460001,25.960001,27.91,29.41,29.960001,30.06,30.06,29.36,28.86,28.31,27.710001,27.06,26.41,25.81,25.26,24.76,24.41,24.16,23.960001,23.76,23.56,23.66,24.11,24.81,25.66,26.91,28.31,29.210001,29.26,28.86,28.36,27.86,27.26,26.710001,26.210001,25.81,25.460001,25.26,25.16,25.11,25.06,25.01,24.960001,24.81,24.61,24.56,24.710001,25.01,25.36,25.81,26.26,26.710001,27.11,27.460001,27.56,27.210001,26.66,26.16,25.91,25.710001
2025-11-11 02:12:12+00:00,2025-11-11 00:00:00+00:00,27.51,27.31,26.91,26.66,26.36,26.01,25.710001,25.31,25.210001,25.31,25.36,25.41,26.41,27.41,28.460001,29.31,30.16,30.460001,30.210001,29.51,29.01,28.51,27.710001,27.460001,27.31,27.16,26.91,26.56,26.36,26.06,25.81,25.710001,25.51,25.61,25.56,25.61,26.36,27.210001,28.01,28.86,29.36,29.61,29.41,29.06,28.66,28.01,27.26,27.11,26.76,26.61,26.41,26.210001,26.06,25.86,25.710001,25.66,25.61,25.66,25.61,25.61,26.26,27.11,27.61,27.91,28.56,28.91,28.81,28.41,27.960001,27.460001,26.91,26.51,26.41,26.31,26.26,26.210001,26.06,25.91,25.710001,25.460001,25.16,25.06,25.11,25.26,25.76,26.76,28.11,29.11,29.66,29.91,29.81,29.11,28.01,27.01,26.36,25.81,25.36,24.960001,24.66,24.36,24.11,23.91,23.710001,23.460001,23.210001,23.26,23.66,24.36,25.210001,26.41,27.76,28.66,28.76,28.460001,28.210001,28.06,27.31,26.66,26.11,25.66,25.31,25.11,25.01,24.86,24.61,24.36,24.16,24.11,24.11,24.210001,24.36,24.61,24.960001,25.51,26.11,26.61,26.91,27.06,27.06,26.81,26.36,25.960001,25.61,25.26,25.01,24.81,24.710001,24.61,24.56,24.61,24.61,24.56,24.56,24.61,24.76,25.01,25.460001,26.460001,27.66,28.460001,28.460001,28.06,27.66,27.460001,27.26,27.01,26.51,25.960001
2025-11-12 02:14:28+00:00,2025-11-12 00:00:00+00:00,27.41,27.210001,27.06,26.66,26.36,26.16,26.06,25.960001,25.81,25.81,25.710001,25.76,26.36,27.41,28.61,29.460001,29.960001,29.91,29.56,29.210001,28.76,28.06,27.41,27.26,27.11,26.91,26.710001,26.56,26.36,26.16,26.06,25.960001,25.81,25.76,25.76,25.81,26.460001,27.26,28.11,28.710001,28.91,29.11,29.06,28.76,28.36,27.710001,26.960001,26.51,26.26,26.11,25.91,25.86,25.81,25.66,25.51,25.31,25.01,24.710001,24.460001,24.31,25.61,26.91,28.11,29.31,30.31,29.36,27.56,26.960001,26.66,26.16,25.76,25.66,25.66,25.51,25.31,25.11,24.86,24.61,24.36,24.01,23.710001,23.61,23.86,24.31,24.91,25.76,26.710001,27.41,27.56,27.460001,27.26,27.01,26.710001,26.36,25.960001,25.61,25.26,25.06,24.960001,24.81,24.61,24.41,24.26,24.11,24.01,24.01,24.210001,24.56,24.960001,25.460001,26.06,26.56,26.960001,27.31,27.51,27.56,26.960001,26.41,26.11,25.86,25.61,25.26,24.91,24.61,24.41,24.26,24.11,23.86,23.56,23.51,23.66,24.06,24.710001,25.91,27.41,28.51,28.86,28.76,28.460001,27.960001,27.210001,26.61,26.210001,25.960001,25.76,25.61,25.56,25.460001,25.31,25.16,25.01,24.91,24.81,24.86,25.01,25.26,25.66,26.41,27.31,28.01,28.31,28.36,28.26,27.91,27.36,26.86,26.460001,26.11
2025-11-13 02:31:34+00:00,2025-11-13 00:00:00+00:00,27.01,26.66,26.460001,26.36,26.16,26.06,26.01,25.91,25.86,25.710001,25.61,25.56,26.56,27.51,28.51,29.31,29.91,29.61,29.16,28.86,28.41,27.710001,26.86,26.51,26.41,26.210001,26.11,26.01,25.86,25.66,25.36,25.01,24.66,24.26,24.01,23.86,25.51,27.01,28.210001,29.210001,30.210001,29.86,29.01,28.460001,27.41,26.710001,26.06,25.61,25.41,25.06,24.91,24.86,24.710001,24.51,24.26,24.01,23.710001,23.51,23.31,23.31,25.210001,26.76,27.91,28.81,28.91,28.26,28.01,27.36,27.01,26.56,26.210001,25.86,25.710001,25.51,25.31,25.11,24.86,24.56,24.31,24.06,23.86,23.81,23.91,24.11,24.66,25.76,27.11,28.16,28.66,28.86,28.76,28.31,27.61,26.960001,26.41,25.86,25.41,25.06,24.81,24.56,24.210001,23.86,23.51,23.16,22.81,22.76,22.960001,23.460001,24.26,25.710001,27.51,28.86,29.36,29.36,29.36,28.710001,28.16,27.61,27.11,26.66,26.26,26.06,25.960001,25.86,25.66,25.460001,25.16,24.710001,24.210001,23.960001,24.06,24.460001,25.11,26.210001,27.51,28.56,29.11,29.41,29.41,29.01,28.36,27.76,27.31,26.960001,26.66,26.51,26.41,26.31,26.16,25.960001,25.81,25.61,25.460001,25.41,25.56,25.81,26.26,27.06,28.06,28.81,29.11,29.11,28.91,28.460001,27.86,27.31,26.91,26.56
2025-11-14 02:15:14+00:00,2025-11-14 00:00:00+00:00,26.31,26.16,26.06,25.960001,25.91,25.76,25.460001,25.26,25.01,24.710001,24.36,24.16,25.51,26.91,28.26,29.36,29.710001,29.51,28.76,28.36,28.210001,27.51,26.76,26.36,26.11,25.81,25.51,25.31,25.06,24.76,24.41,24.01,23.66,23.460001,23.41,23.56,25.210001,26.81,27.76,28.31,28.460001,28.460001,28.26,27.710001,27.31,26.86,26.41,26.11,26.01,25.86,25.460001,25.06,24.56,24.36,24.31,24.31,24.16,24.06,23.91,23.91,24.81,26.210001,27.36,27.91,28.01,28.11,28.06,27.710001,27.41,27.06,26.460001,25.91,25.86,25.36,24.86,24.460001,24.16,23.960001,23.76,23.56,23.41,23.41,23.56,23.91,24.61,26.01,27.710001,28.91,29.06,28.66,28.210001,27.81,27.41,26.960001,26.51,26.06,25.710001,25.51,25.460001,25.26,24.91,24.460001,24.06,23.66,23.31,23.26,23.76,24.56,25.51,26.66,27.91,28.86,29.36,29.56,29.66,29.06,28.460001,27.86,27.36,26.81,26.41,26.16,25.960001,25.76,25.36,24.960001,24.710001,24.76,25.01,25.31,25.51,25.710001,26.11,26.86,27.86,28.56,28.91,28.960001,28.91,28.66,28.26,27.76,27.210001,26.56,26.06,25.76,25.61,25.460001,25.31,25.210001,25.11,24.86,24.61,24.56,24.710001,25.06,25.61,26.51,27.66,28.460001,28.76,28.81,28.66,28.31,27.76,27.26,26.76,26.31
