forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:31:36+00:00,2025-11-05 00:00:00+00:00,-2.5963466,-3.123378,-3.5603397,-3.8150935,-3.530484,-3.3825564,-3.0199962,-2.6940987,-2.462339,-3.0994046,-3.8569026,-4.4356027,-3.2895336,-0.38040397,1.7937711,2.7317386,4.286477,5.6666594,5.5588365,5.6045594,6.147401,7.8053317,7.853737,7.8002295,7.7932386,7.985932,7.770004,7.770004,6.254925,6.809633,4.024879,1.4876727,0.1554975,-0.33264667,-0.71471375,-1.302132,-1.302132,-0.08242895,-0.19025901,-0.77550364,-1.1705636,-2.4058468,-3.2941651,-3.7948327,-4.3411303,-4.469815,-4.8616796,-4.6466136,-4.499416,-3.3335803,-3.326146,-3.620293,-3.4240932,-3.7216237,-3.7328978,-3.926228,-4.1076922,-3.8778949,-4.155953,-4.397259,-4.23336,-3.0586834,-0.83649594,-0.42029223,1.1557165,2.4574256,3.10483,3.9521358,4.8876047,5.403596,5.828159,6.5781593,7.5193954,8.346488,8.878898,9.745495,10.7778845,12.09873,12.766261,13.311159,13.656289,13.754898,13.828279,13.672263,13.622761,13.606986,13.768225,13.288061,13.045631,12.825164,12.867407,11.626887,10.675819,10.668341,9.437348,8.692801,8.700349,8.954883,8.700349,8.444614,8.246065,8.253056,8.153657,8.103957,8.103957,8.357757,9.536619,10.132245,9.992503,10.883933,11.313016,11.669959,11.73864,11.494081,10.823472,10.946796,11.303066,11.692679,12.571568,13.491732,13.980415,13.800003,13.157405,12.153984,10.7278595,9.070432,7.186739,4.9655075,2.7201803,1.043682,0.31803328,-0.020628404,-0.3444723,-1.0551425,-1.9642094,-3.169068,-4.1052966,-5.387823,-6.079903,-6.571125,-6.7356167,-7.0310645,-7.3646827,-7.540648,-7.6428003,-7.568561,-7.639038,-7.5425205,-8.009433,-8.53272,-8.4861355,-7.495658,-5.9570003,-4.8348427,-4.3792796,-4.2813916,-4.2329535,-3.994031,-3.9826941,-4.052359,-4.197759,-4.768983,-4.816932,-4.5475307,-4.42659,-4.321428,-4.343798,-4.3893166
2025-11-06 02:20:34+00:00,2025-11-06 00:00:00+00:00,7.90192,6.8241277,7.9253216,7.7817707,6.670154,5.7196546,6.0110116,4.605049,1.5295304,0.47915304,-0.18937849,-0.35874093,-0.20563589,0.9828558,1.0595134,0.33002284,-0.35248232,-0.9202123,-2.3760672,-3.2031457,-2.626488,-2.6549392,-4.661437,-5.1698685,-5.1747746,-5.3958955,-5.1141686,-4.938684,-4.8187838,-4.818411,-4.7265663,-4.5409865,-4.5891747,-4.3094225,-4.444612,-5.0103006,-5.4290233,-2.8282058,-1.5214953,0.59326786,-0.25954822,2.2569597,2.5725496,3.482288,3.951557,4.1783805,4.1783805,4.727107,5.38872,8.201281,8.733698,9.024093,10.517378,11.507748,12.167218,12.054273,11.806428,11.880964,11.940406,12.030049,12.189191,12.365746,12.614354,12.453263,12.546156,12.52226,12.109394,11.830672,12.516331,12.445866,11.542346,11.293557,10.35411,10.30429,10.30429,10.40393,10.40393,10.30429,10.254468,10.254468,10.453751,10.702849,10.752667,10.956864,11.505547,12.500388,12.793251,12.54881,12.508078,12.416189,12.370519,12.742106,13.184322,13.3833475,13.700244,14.0493965,14.50578,14.298791,14.389413,14.190143,13.4508505,12.952058,13.251331,13.357167,13.806623,13.193791,12.487733,9.317014,8.841274,9.00504,9.536619,9.247035,8.853629,8.684457,8.166433,7.323478,6.3635964,5.3552313,4.0298905,2.6440165,1.440166,0.7179852,0.37411556,0.19717656,0.11773373,0.111837484,-0.21104375,-1.4052448,-3.020878,-4.4727225,-5.4326177,-6.0554514,-6.151389,-5.692315,-4.804685,-4.4097366,-4.6680427,-5.101445,-5.5710363,-6.0427413,-6.4995794,-6.34342,-5.5946474,-4.638185,-3.9551854,-3.4446807,-3.1679683,-2.9035413,-2.9432387,-3.0822048,-3.4178157,-3.7530665,-4.1405816,-4.284908,-4.1370487,-3.5725062,-3.017659,-2.009896,-0.97671944,-0.3668184,-0.24357365,-0.03697906,-0.26575094,-0.5943149,-0.8553023,-1.1580123,-0.8473626,-0.5578832
2025-11-07 02:18:25+00:00,2025-11-07 00:00:00+00:00,-4.0606766,-5.1597133,-5.602988,-6.603189,-6.0048027,-6.1550117,-6.1349792,-6.9076138,-6.7320194,-6.3710604,-6.323843,-6.496369,-6.2607317,-3.7429187,-2.7971354,-2.0744085,0.510108,-0.8474434,2.070562,3.764336,4.475221,4.274373,3.9607396,4.202265,4.130749,5.164627,6.255985,7.8890457,8.93986,10.097777,11.633711,12.425786,13.050403,12.871317,12.788872,12.392331,12.009389,12.392331,12.045351,10.984798,11.72477,10.362725,9.585338,7.90192,7.7450633,6.2077227,5.0005884,3.6467178,2.2973006,4.282214,4.1873283,3.6554217,3.1234758,2.6882195,2.1969225,1.7208889,1.5274078,1.6640509,1.8469218,1.8469218,2.1000388,2.572237,3.3689494,5.2301583,6.488622,7.671681,8.029632,8.417047,9.024241,9.359637,10.528083,12.097788,12.857768,13.057527,13.556926,13.606866,13.606866,13.257286,13.257286,13.357167,13.307226,12.957647,11.809026,11.001765,10.032974,9.823594,8.429307,8.55812,8.723814,7.6165543,6.199941,5.2423067,3.416629,2.0515974,1.3733777,0.7179852,-0.25427687,-1.2315034,-2.6855593,-3.634481,-3.8822727,-4.2356586,-4.5707803,-5.26356,-4.5805006,-3.9050305,-3.8855655,-4.06391,-4.7055283,-5.627865,-7.566214,-8.3651085,-8.866988,-8.35839,-7.005276,-6.307847,-5.4489737,-4.7363896,-4.6680427,-4.668482,-4.783557,-4.650295,-4.631063,-4.4892907,-4.298444,-4.346303,-3.9707994,-3.331527,-2.4799964,-1.5958488,-1.1405288,-0.67375135,-0.50594085,-0.2976511,-0.40927434,-0.3119003,0.05727162,0.05509006,0.42639858,0.4232702,0.49219212,0.6795476,1.0821545,1.4182382,1.7510157,1.9861599,1.8316423,2.0284045,2.2576,2.254167,2.3025236,2.8854518,3.5531554,3.7873676,3.0597553,1.9062699,0.8612398,0.15349315,-0.37036,-0.97169363,-1.6486592,-2.2997413,-2.4669187,-2.0308313,-1.5332437,-1.1672255,-1.0877452,-1.1208781
2025-11-08 02:09:19+00:00,2025-11-08 00:00:00+00:00,4.262168,5.2263517,6.636958,8.4636755,9.627012,10.165745,10.8824625,11.750328,12.326778,11.831732,11.122246,10.06691,9.456083,10.55825,11.583148,11.513062,11.17169,11.667099,10.518068,8.760126,8.376712,8.38533,5.9191446,5.322343,4.496617,2.7330387,1.4768381,0.45583826,0.27511784,0.45446008,0.6736964,1.8654212,2.599948,2.4610515,2.3622558,2.4610515,3.0183022,5.543808,8.22589,8.549708,9.204109,10.495341,10.666957,9.757636,10.669292,10.430049,9.751975,10.445551,11.185084,10.298389,10.906984,11.709145,12.358367,12.458247,11.509382,11.809026,12.158607,11.958845,12.311499,12.611499,13.4071045,13.606866,13.542516,13.854666,13.868725,13.48286,12.864607,11.381693,10.183357,9.499503,7.541557,4.306366,2.5842826,1.5251818,0.5570231,-0.61445785,-1.4924474,-2.972477,-3.6182194,-3.8049364,-3.592587,-3.1420405,-3.709984,-3.4461007,-2.4674716,-2.7348135,-4.612098,-5.4823728,-5.0600157,-7.230689,-9.557098,-8.777288,-8.938827,-9.697398,-7.8438,-7.275175,-5.815098,-5.0730143,-4.7195015,-4.977744,-4.6665335,-4.3849354,-2.997805,-2.488486,-2.326617,-2.7788768,-2.8146503,-2.8898976,-0.8554781,1.2379887,0.80777043,1.0607325,1.9364638,2.8286226,3.07116,2.626832,1.5335532,0.6874601,0.20741989,-0.029639695,-0.0023321712,0.25923067,0.8219809,1.2789229,1.4316093,1.6808751,1.6809996,1.8176275,1.7609394,1.8333448,1.7496791,1.606867,1.4355439,1.518716,1.4104315,1.1695635,0.85734034,0.66712976,0.5262805,0.48099476,0.24251701,0.1759023,0.16406244,0.27280718,0.23648621,0.27750686,0.22127353,0.29422945,0.67823946,1.2767631,1.2443552,0.6421362,-0.5556233,-1.4672419,-1.9059974,-2.1766453,-2.2472658,-2.4188063,-2.8753276,-3.4286497,-3.9599457,-4.3697906,-4.518128,-4.507439,-3.973274,-3.662217,-3.3417678,-3.263203
2025-11-09 02:31:05+00:00,2025-11-09 00:00:00+00:00,2.7300642,2.213472,1.7422646,0.47252715,0.69875747,0.13974892,0.8907893,1.4796426,1.3830047,0.4631901,0.2712153,0.46740904,2.3819654,6.1109114,10.588211,10.800913,10.95213,11.621749,12.78439,13.200542,12.9653015,12.976343,12.219886,12.130479,12.437551,12.537188,12.748899,12.743561,12.636826,12.528534,13.234642,13.722683,13.274879,13.448057,13.391993,13.334277,13.334277,13.28446,14.2525015,14.7886,15.563606,15.663114,14.771505,14.325424,14.242767,14.297032,14.152499,12.194055,8.634855,5.5170283,5.532385,3.940797,1.8585018,0.50501204,-0.6384881,-1.9325374,-2.6860576,-3.4398437,-3.8315606,-4.2199793,-4.781776,-5.101889,-6.324286,-6.8582425,-7.7738986,-8.668924,-8.687595,-7.0919127,-6.7566876,-7.0889726,-7.2432876,-7.0323687,-7.866012,-7.4990277,-6.79668,-6.299375,-5.9096985,-5.26356,-3.7131753,-3.4671047,-2.949553,-2.8530505,-2.9379961,-2.8417995,-2.7996557,-0.061867103,-0.5985209,-1.3542027,-0.4172797,-0.9017776,1.7984121,3.1833937,3.2793155,3.3291404,3.2828045,2.1758826,1.3247467,1.2379887,1.1401018,1.1890454,1.2756697,1.2421851,1.6121405,1.7599579,1.3896153,1.9265581,1.6301606,1.4741122,1.5868307,2.2890692,2.6593301,2.0154963,1.3277211,1.5151216,0.53957564,0.052877296,-0.20703733,-0.08359075,0.4538801,0.92118293,0.8620406,0.4246952,-0.19104828,-0.6338757,-0.3048735,0.22229436,0.45289257,0.40242013,0.053430073,-0.30960006,-0.9477728,-1.7845297,-2.5153024,-3.3760452,-4.715012,-5.9057055,-6.8558264,-7.1633673,-7.118554,-6.5338283,-5.708404,-5.1313095,-4.877018,-4.9709044,-5.011074,-4.9924884,-4.9584904,-5.048209,-5.194065,-5.2471685,-5.4396386,-5.4877577,-5.674477,-5.674477,-5.824598,-6.026304,-5.9208407,-5.5970325,-5.6715417,-5.699588,-5.6080923,-5.5396786,-5.4138794,-4.950154,-4.764029,-4.283406,-3.9826941,-4.037846
2025-11-10 02:20:44+00:00,2025-11-10 00:00:00+00:00,12.329506,11.364163,10.878104,11.035811,11.334358,11.5408125,11.524151,11.513062,11.822326,12.045247,12.045247,11.995366,12.149617,12.302499,12.199557,12.478778,12.094918,12.012185,11.45487,11.863863,11.661962,11.103529,11.334358,8.57732,8.598508,6.6642323,5.6555715,3.7973669,2.866325,2.327268,1.7576003,0.15374623,1.1196026,-1.6222664,-2.4102736,-2.9969869,-3.1619244,-2.8899195,-3.1029952,-3.2346656,-3.9550478,-4.567457,-4.925005,-4.907581,-4.5200825,-4.593306,-3.6337962,-4.0198593,-3.7218482,-3.9548097,-5.3940935,-5.087891,-3.9644783,-3.2728121,-3.5129342,-3.1832016,-2.936657,-2.9863195,-2.9863195,-3.1535103,-1.8825417,-2.2828863,-2.1544287,-2.5073981,-2.3857265,-1.9737445,-1.4734112,-0.7623544,-1.3443409,-1.5422547,-1.1822412,-0.66737866,0.09147407,-0.006851319,0.08428778,0.08428778,0.37552744,0.8248701,0.8658129,0.9223109,0.93854827,0.82376117,0.47370893,0.4246952,0.29408544,0.8888986,1.042352,0.902435,0.6023815,0.7162143,0.4621088,0.35293806,0.29280898,0.9914791,0.4754353,0.22127353,0.5213195,0.0030662054,-0.45068055,-0.9675535,-1.654931,-1.9561325,-0.4574354,-0.46669295,-1.4672419,-1.9305745,-1.834896,-2.1081288,-2.3935273,-2.6975071,-3.661178,-4.15853,-5.061516,-5.4589267,-4.862098,-4.1052966,-3.26124,-2.4945402,-2.269086,-2.2253604,-2.2740643,-2.2465024,-2.379733,-2.1381235,-1.7032484,-1.1717713,-0.46780464,0.31297582,1.0096705,1.0867532,0.23245208,-1.2094289,-2.375159,-2.653271,-2.7719238,-3.0586834,-4.085238,-5.174974,-6.314986,-6.2174606,-5.677329,-5.3820066,-5.3664985,-5.34707,-5.459129,-5.501752,-5.19209,-5.2471685,-5.362571,-5.569754,-5.780257,-5.8970156,-5.968092,-6.1137857,-6.3566136,-6.502313,-6.585067,-6.5413585,-6.7935333,-7.311547,-7.57363,-7.611555,-7.208182,-6.6694274,-5.8843083,-5.5709853,-5.4811363,-5.247535
2025-11-11 02:12:19+00:00,2025-11-11 00:00:00+00:00,8.872341,6.5398498,4.494305,0.6687209,-0.063743606,-1.0625854,-2.0122766,-2.9871535,-3.1077824,-3.190657,-2.8689668,-3.1824045,-2.34423,-2.9385364,-3.4327655,-3.478359,-3.686826,-4.0813446,-2.813485,-4.0501294,-4.2878404,-3.7218482,-4.128265,-2.378245,-2.6736667,-4.1163797,-3.306255,-3.354803,-3.6449337,-3.174795,-3.1421816,-2.646839,-2.6266122,-2.4324389,-1.1692868,-1.3064932,-1.3645705,0.34816834,0.6736964,0.85197306,1.5098249,0.79654855,0.44099444,0.8757405,1.1830411,0.7078852,-0.06932589,-0.06932589,0.28549424,0.035981108,-0.0042771883,0.17289427,0.75225663,1.0793585,1.1080896,1.2756697,1.1598822,0.6546402,0.6017107,0.93212354,1.3379346,1.7847545,1.8734351,1.1222507,0.11962661,-0.30037564,-0.4593691,0.072961405,0.051358562,-0.3318614,-0.263644,-0.06063094,0.016494146,0.13060808,0.07465703,-0.7248876,-1.2609591,-1.0646217,-1.1030189,-1.2977309,-1.7630577,-2.180992,-2.5368838,-2.027939,-1.6884356,-1.4722085,-2.6944504,-3.2728977,-3.371269,-3.7733946,-3.5377734,-4.910849,-4.5533237,-4.3736477,-4.5560827,-4.2317395,-3.897294,-4.044366,-4.2042136,-4.5420465,-4.831631,-5.0246954,-5.266033,-5.640724,-6.0170856,-6.347119,-6.4912663,-6.822994,-7.157703,-7.3070183,-7.866012,-7.87058,-7.93541,-8.059837,-8.175405,-8.000811,-7.3023305,-6.910803,-6.5948644,-6.0925283,-6.0751624,-6.1687546,-6.297032,-6.3432684,-6.4912663,-6.5945873,-6.738971,-6.835229,-7.0198364,-7.11085,-7.1588273,-7.3482995,-7.0664406,-6.5350146,-5.8263416,-4.77942,-2.7280443,-0.3593207,1.4278536,3.1747446,4.7171793,6.0196376,6.916486,7.412295,7.756057,7.7063565,7.5118184,7.5641346,7.912888,8.510745,9.0046425,9.377436,9.730138,9.520577,8.389948,6.892814,5.418281,4.3321743,3.3023002,2.5957282,2.3432565,2.3290167,2.0560584,1.5347248,1.137672,0.5495424,0.039876983,-0.43767428
2025-11-12 02:14:35+00:00,2025-11-12 00:00:00+00:00,-7.316647,-7.321595,-6.627791,-5.445107,-5.1582937,-4.1939745,-3.1029952,-2.9811893,-2.8207898,-2.9482846,-2.6266122,-2.2560415,-1.2507168,-1.4220439,-0.97492075,0.7558341,0.5111831,1.6210281,1.1148756,0.58373696,0.009239125,-0.47591862,-0.34986955,-0.63834685,0.027286233,0.54102457,0.6863781,1.1443139,1.4755639,1.9842191,2.1011245,1.6594484,1.4929022,1.2468593,1.1198689,0.7656164,0.9627156,1.6901696,1.9401754,2.2950006,1.8143805,1.5931139,1.1764685,0.68790317,-0.40052506,-1.3410723,-1.1672571,-0.8642011,-0.47680175,0.09261412,-0.45068055,-1.1131564,-0.7199033,-1.0537986,-1.4924474,-1.7109925,-2.052254,-2.4174078,-2.8325515,-3.2701106,-3.5618298,-3.5152075,-4.238332,-4.828025,-5.479463,-5.8562183,-5.5390563,-5.0471087,-4.089492,-4.249745,-4.0023746,-3.5725062,-3.274696,-2.7179995,-2.320039,-2.303691,-2.3203955,-2.5655231,-2.4353995,-2.9718952,-5.194065,-5.767813,-5.217765,-5.1024184,-4.9483137,-5.048209,-6.5767493,-7.3646827,-7.4770894,-7.560665,-7.404333,-6.983612,-5.358971,-5.0130653,-4.757486,-4.631063,-4.612098,-4.2792826,-4.05039,-4.283532,-4.406163,-4.6801457,-4.2988443,-3.2548883,1.2065079,3.431215,5.9668145,8.805602,10.20465,10.141597,9.57573,9.958107,10.527261,10.8887005,10.377515,8.139119,4.9013624,2.4940934,1.7717026,1.6618991,1.3626088,0.43999872,-0.38766274,-1.0551425,-0.96813583,-0.33663717,-0.1751365,-0.41920164,-0.8596347,-1.3072978,-1.4227922,-1.5411272,-1.7926717,-2.608217,-3.9358773,-5.2416825,-5.7739515,-5.6296697,-5.493752,-5.289241,-5.149892,-5.0228777,-5.0601816,-5.0264716,-4.8253937,-4.227324,-3.6680791,-3.231379,-3.084981,-2.9298396,-2.988186,-2.9718952,-2.9718952,-3.03708,-3.03708,-3.1531353,-3.0756373,-2.6975071,-2.6471856,-2.6955407,-2.8156755,-3.169068,-2.8156755,-1.917323,-1.0256859,-0.3444723,0.31297582,0.93139714
2025-11-13 02:31:41+00:00,2025-11-13 00:00:00+00:00,-4.9849744,-2.483493,-0.9268378,0.46397468,0.28549424,0.6479703,0.43107247,1.0098844,1.0040262,1.1350515,0.98761904,0.84018487,1.0008125,2.1011245,3.0399296,2.8907912,2.9540033,2.808471,2.9213269,3.7301311,1.9129095,1.8731879,1.8171887,1.5491971,1.4249492,0.17238438,0.35299966,0.03401739,-0.50367874,-1.236944,-1.6588318,-2.1658194,-2.3931887,-2.4421473,-2.5569491,-2.8201416,-2.8411024,-2.0758085,-1.7929137,-1.8434496,-2.4067192,-2.3512158,-2.6761572,-2.3248534,-2.7369337,-2.8838675,-1.8912117,-1.1218928,-1.5911429,-3.201266,-2.8811684,-3.513209,-3.9754512,-4.3650045,-4.6801767,-4.874687,-5.1425476,-5.315132,-5.6060686,-5.7515416,-5.7515416,-5.943598,-6.2508683,-6.682337,-6.991056,-6.8945017,-6.8391147,-6.849694,-5.5467896,-5.1313095,-5.206004,-4.2513866,-2.6485393,-2.0270464,-0.9812633,3.4351249,5.4715567,7.41467,8.361281,9.247035,9.744016,10.489475,10.18188,9.513796,9.437348,10.008887,10.63672,11.112451,11.373097,7.323478,6.5009055,4.380674,1.5347248,0.70871854,0.10574017,-0.014686795,-0.3021962,-1.6444694,-1.4962107,-1.0543411,-0.49230188,-0.19390239,-0.2433691,-1.8965229,-2.9863195,-3.3740115,-3.7736504,-3.4769342,-2.6485393,-2.330211,-2.1435232,-2.3862119,-2.8619716,-3.5440464,-2.8020818,-2.8925703,-3.232361,-3.148391,-3.0586834,-2.760203,-2.793702,-2.9379961,-3.0342622,-3.134689,-3.1780918,-3.178494,-3.1425622,-3.020878,-2.8605971,-2.7582066,-2.7926116,-3.0557926,-3.0208561,-2.8272765,-2.6630862,-2.8214507,-2.9897742,-2.8020818,-2.526285,-2.1213267,-1.4953742,-1.3386842,-1.2792689,-1.5432918,-1.6657742,-1.8897501,-2.1519492,-2.320039,-2.5147777,-2.4422817,-2.5885465,-2.713703,-2.7270918,-2.8739731,-3.03708,-3.006656,-2.9297853,-2.6118004,-2.438059,-2.351058,-2.4011436,-2.4453378,-2.2508092,-2.0434768,-1.636019,-1.433364,-1.5319679,-1.9316903
2025-11-14 02:15:22+00:00,2025-11-14 00:00:00+00:00,-0.5983454,-1.1672571,-0.91266173,-1.2034322,-1.1604584,-1.6745872,-1.6959305,-0.50367874,-0.30814958,-0.5000702,-0.72162604,-1.0083803,-1.3715136,-0.54982066,-0.44634226,-0.27225474,-1.0962497,-1.313688,-1.6624615,-1.6042705,-1.8319918,-1.6312497,-1.2634279,-1.300358,-0.5880273,-1.2578146,-1.2671943,-0.9565962,-1.3651023,-1.4324901,-2.815657,-3.306255,-3.5784678,-3.3761008,-3.3761008,-2.9666183,-2.7525191,-1.5019455,-1.5540466,-1.8133126,-1.2067673,-0.92068535,-1.1762358,-0.6346197,-0.20875017,-0.15740755,-0.21424784,0.6736964,2.2564034,-0.58214664,2.4341006,6.417662,7.912888,9.058778,9.859492,9.651519,9.744016,9.8434105,9.98334,9.933704,9.893108,10.20692,10.478836,6.89111,6.5781593,5.710903,4.1407943,1.089647,-0.41279742,-1.8314222,-2.8819556,-2.808263,-2.681268,-3.0253181,-2.8531978,-2.3124204,-2.411043,-1.7625588,-1.8965229,-1.549981,-3.1301482,-3.561655,-4.0981812,-4.193764,-3.8013957,-3.2380128,-3.119857,-2.9528785,-3.6027958,-4.3239098,-3.2207384,-3.4916825,-3.451721,-4.5606866,-2.853798,-2.2163897,-2.6005213,-3.6917808,-3.804818,-3.7530665,-3.7557287,-3.7216237,-3.4080968,-3.0756373,-2.713703,-2.4674716,-2.4846203,-2.6322842,-2.689851,-2.3578985,-2.4254575,-2.391287,-2.4916272,-2.4317992,-2.4803207,-2.1213267,-1.5422547,-1.2625506,-1.4118798,-1.5582963,-1.7630577,-1.6622417,-1.5159913,-1.4672419,-1.5907965,-1.6500196,-1.718393,-1.7463233,-1.8865787,-1.8811134,-1.9269536,-1.9763621,-1.8447609,-1.5686188,-1.4842823,-1.8297828,-2.028759,-1.6505355,-1.4658602,-1.087685,-0.69463086,-0.59863365,-0.5417982,-0.74638224,-0.97975916,-1.0625688,-0.9202989,-0.9009495,-0.9388035,-1.0348529,-1.0834547,-1.2821972,-1.535694,-1.8447609,-1.9851447,-2.1278455,-1.9924185,-1.6658378,-1.6444694,-1.9341956,-2.0660968,-1.8828657,-1.699059,-1.2085925,-0.6953161,-0.5021602,-0.39210698,-0.49540383
