forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:44+00:00,2025-11-05 00:00:00+00:00,7.7970004,7.2970004,6.097,5.597,5.2970004,4.8970003,4.5470004,4.097,3.597,3.147,2.797,2.497,2.697,5.697,8.547,10.447,11.697,11.197,12.497,13.097,13.047,11.896999,10.847,10.896999,11.396999,12.347,12.896999,12.797,13.146999,11.297,9.097,7.497,5.8970003,5.197,4.847,4.5470004,4.5470004,6.0470004,7.197,7.497,7.7970004,7.847,7.847,7.447,6.8970003,6.0470004,4.5470004,3.447,2.397,2.6445,2.2945,1.5945001,1.2945,0.24450001,-0.10549998,-0.0555,-0.005499989,0.044499993,0.1945,0.24450001,1.3945,3.9945002,5.6945,7.6445003,9.1945,11.3445,12.294499,12.3945,11.994499,11.1945,10.8945,11.0945,11.4445,11.9445,12.3445,12.6445,12.9445,13.294499,14.044499,14.794499,14.994499,15.1445,15.294499,14.9445,14.744499,14.8945,14.994499,14.8945,13.8445,13.8945,13.4445,13.1445,12.794499,12.6945,10.6945,9.994499,9.6945,9.544499,9.494499,9.3945,9.294499,9.0945,8.8445,8.6445,9.744499,9.494499,9.744499,8.6445,8.9445,10.3945,11.0945,11.4445,13.044499,14.3445,14.8945,15.0945,14.8945,14.6945,14.6945,14.6445,14.4445,13.9445,13.294499,12.5945,11.8945,11.1945,10.244499,8.8945,7.3445,5.9945,4.9445,4.1445,3.8945,4.4945,5.6445003,6.5945,7.0945,7.3945003,7.2445,6.3945003,5.0945,3.9445,3.0945,2.3945,1.7444999,1.1945,0.74450004,0.3445,-0.005499989,-0.25550002,-0.4055,-0.30549997,-0.10549998,0.094500005,-0.005499989,-0.1555,0.2945,1.7945001,3.8945,5.5945,6.6945,7.4445,7.7445,7.4445,6.6445003,5.7445,4.6445003,3.3445
2025-11-06 02:37:37+00:00,2025-11-06 00:00:00+00:00,13.297,13.847,13.447,12.997,12.797,11.347,10.697,9.247,7.5470004,6.3970003,5.5470004,4.8970003,4.697,6.2970004,7.697,8.547,9.047,8.797,8.247,7.847,7.197,6.5470004,5.997,5.247,3.697,2.747,1.997,1.147,0.44700003,0.047000006,-0.253,-0.303,-0.303,-0.153,-0.053000003,-0.053000003,0.29700002,2.847,5.247,6.8970003,8.197,9.247,9.947,10.896999,11.347,10.146999,9.297,9.697,9.947,11.744499,12.3945,12.6945,13.044499,11.744499,11.4445,11.494499,11.3445,11.794499,11.794499,12.044499,12.1945,12.3945,12.994499,13.3945,14.3445,14.794499,14.794499,15.994499,15.6945,14.1445,13.3945,11.6945,11.1445,10.9445,10.6445,10.3945,10.6445,10.1945,10.244499,9.8945,9.6945,9.6445,9.6945,9.744499,10.1945,11.8945,13.994499,15.294499,16.1945,16.5945,15.5945,14.8445,14.3445,14.0945,14.044499,13.9445,14.244499,14.3445,14.794499,13.794499,12.8445,12.794499,12.6945,13.0945,12.9445,12.8945,12.6445,12.044499,10.5945,10.3945,10.6445,10.8445,10.8945,12.4445,11.744499,10.8445,9.4445,8.0945,6.9945,5.9945,5.0445,4.1945,3.4445,2.7445002,2.0945,1.4944999,0.9945,0.5945,0.24450001,-0.005499989,-0.2055,-0.30549997,-0.10549998,0.5945,1.5945001,2.5945,3.4945002,4.3945003,4.9445,5.0445,4.7945,4.4945,4.0945,3.5945,3.1445,2.7945,2.5445,2.2445,1.8945,1.5445001,1.2444999,0.9445,0.6445,0.69449997,1.0445,1.6945,2.7945,4.7945,7.2945,9.0945,9.6445,9.544499,9.1945,8.744499,8.044499,7.4445,6.9945,6.6445003
2025-11-07 02:34:12+00:00,2025-11-07 00:00:00+00:00,5.3970003,4.1470003,3.497,2.647,2.297,1.647,0.997,0.44700003,0.24700001,-0.0029999912,-0.102999985,-0.0029999912,0.097,3.347,5.7970004,7.5470004,9.097,10.297,10.797,11.197,11.797,10.597,9.646999,9.797,9.747,9.597,10.047,10.646999,10.997,11.297,11.497,12.247,12.797,12.997,12.646999,12.497,12.047,12.497,12.947,12.747,13.747,14.097,13.997,13.347,12.197,10.247,8.197,6.7970004,5.8970003,8.2445,7.3445,6.8945003,6.4445,6.6445003,5.6945,5.1445003,4.8945003,4.7445,4.5945,4.4445,5.1445003,6.8945003,8.8445,10.544499,11.8945,13.1445,13.6945,13.1945,12.8445,12.0945,10.8945,11.294499,11.4445,11.544499,11.494499,11.5945,11.6445,11.3945,10.6945,10.1945,9.994499,10.244499,10.244499,10.3445,10.044499,10.0945,9.9445,10.244499,10.494499,10.0945,8.3445,9.3945,7.6945,6.6945,5.1945,4.7445,4.3945003,4.0945,3.3445,2.1445,1.3945,0.8445,0.3445,0.044499993,-0.1555,-0.4055,-0.6055,-0.6555,-0.5555,0.69449997,1.8445001,3.0445,4.2945,5.3445,6.0945,6.2445,5.9945,5.5445,4.7445,3.7945,3.0445,2.7945,2.7945,2.8945,3.0445,3.2445002,3.5445,3.9445,4.3945003,4.9445,5.5445,6.1945,6.8445,7.4945,8.1445,8.744499,9.3945,10.044499,10.294499,9.994499,9.294499,8.6945,8.2445,7.8945003,7.6445003,7.5945,7.6445003,7.5445,7.1945,6.7445,6.3445,6.1945,6.1445003,5.9945,5.4945,4.9445,4.7945,5.4445,6.5445,7.4945,8.1945,8.794499,8.8945,8.2445,7.0945,6.0445,5.2445,4.4945
2025-11-08 02:22:29+00:00,2025-11-08 00:00:00+00:00,10.896999,10.347,10.646999,11.396999,11.646999,12.047,12.697,11.896999,11.396999,11.547,11.197,11.097,11.297,11.697,11.997,12.347,13.497,13.997,13.797,13.697,12.997,11.097,9.047,7.947,6.697,5.7970004,5.0470004,4.3970003,4.097,3.597,3.297,2.847,2.497,1.997,1.497,1.047,0.997,3.397,7.347,9.597,11.347,11.646999,12.146999,11.646999,11.146999,10.547,10.396999,10.547,10.547,10.6445,10.6945,10.6945,10.6945,10.744499,10.8445,10.9445,11.0945,10.994499,11.044499,11.0945,11.294499,11.3945,11.1945,11.1945,10.6945,10.8945,11.9445,12.1445,11.044499,11.044499,7.8445,6.2945,3.8945,2.7945,1.9944999,1.2444999,0.4945,-0.10549998,-0.4555,-0.6555,-0.85550004,-0.95549995,-0.95549995,-0.95549995,-0.6055,0.6445,1.4445,1.8945,2.0945,3.3945,4.3945003,4.4445,3.9445,2.8445,1.7945001,1.6945,1.4944999,1.2945,1.2444999,1.0445,0.8445,0.7945,0.74450004,0.6445,0.7945,0.5945,0.8445,1.3945,1.5445001,2.9445,4.4445,5.9445,7.5945,5.4945,4.5445,4.9445,5.6445003,6.0445,5.6945,5.0445,4.5945,4.5945,4.7945,5.0445,5.3445,5.6445003,5.6945,5.2945,4.6445003,4.0945,3.4945002,2.9945002,3.1445,4.4445,6.3945003,7.8945003,8.494499,8.5945,8.4445,7.9445,7.0945,6.3445,5.7445,5.2445,4.7945,4.4945,4.2945,3.9945002,3.5445,2.9945002,2.5445,2.1945,1.8945,1.5945001,1.0945001,0.5945,0.69449997,1.7945001,3.4445,4.8445,5.8445,6.5445,6.8445,6.5445,5.7445,4.7445,3.4445,1.9445
2025-11-09 02:43:17+00:00,2025-11-09 00:00:00+00:00,9.497,8.497,8.297,7.0470004,6.697,6.347,5.847,5.3970003,4.6470003,5.197,5.497,4.3970003,3.897,5.7970004,8.896999,11.547,13.896999,15.297,15.646999,15.697,15.347,14.297,13.747,13.547,13.097,13.047,12.797,12.896999,12.797,12.997,13.146999,13.247,13.247,13.447,13.547,13.646999,13.747,14.047,14.697,15.347,15.297,15.396999,15.896999,15.947,15.947,15.197,14.947,13.497,10.396999,8.8945,7.6945,4.7445,3.4445,2.2445,1.1945,0.3445,-0.30549997,-0.5555,-0.6555,-0.8055,-0.7555,0.39450002,1.3945,2.4445,3.5945,3.8945,3.9945002,4.0445,3.5445,2.2945,1.2444999,0.8945,0.5945,0.4445,0.4945,0.4945,-0.1555,0.1945,0.74450004,1.3945,1.4944999,1.5945001,1.8445001,1.7444999,1.7945001,2.3945,3.1945,4.6945,5.8445,6.6945,5.9945,3.9445,2.6945,2.6445,2.7945,2.7445002,3.1445,2.4945002,2.3445,2.5945,2.9445,3.0445,2.9445,3.2945,4.4945,3.2445002,3.1945,3.7945,3.6945,4.3945003,6.0945,7.3445,7.6945,8.4445,9.0945,8.6445,7.7445,6.7445,5.7445,4.6945,3.7945,3.1945,2.7945,2.4445,2.1945,1.9944999,1.7945001,1.5945001,1.4445,1.2945,0.9445,0.6445,0.7945,1.8445001,3.3945,4.6445003,5.4445,6.0445,6.1445003,5.6445003,4.6445003,3.6945,2.8445,1.9445,1.1945,0.5445,0.044499993,-0.35549998,-0.5055,-0.5055,-0.5055,-0.5055,-0.4555,-0.4555,-0.70549995,-0.95549995,-0.6555,0.69449997,2.6445,4.3945003,5.7445,6.8945003,7.4445,7.2445,6.4445,5.3445,3.6945,1.7444999
2025-11-10 02:36:31+00:00,2025-11-10 00:00:00+00:00,12.747,12.547,12.447,12.597,12.597,12.597,12.547,12.497,12.547,12.547,12.247,12.097,11.697,11.497,11.396999,11.047,10.896999,10.947,11.547,11.447,12.847,12.497,11.947,11.646999,10.747,8.597,6.497,5.3970003,3.697,2.747,2.147,2.0970001,1.947,2.0970001,2.0970001,2.147,1.647,1.447,1.747,1.997,2.397,2.297,2.197,1.5469999,2.0970001,1.2969999,0.847,0.29700002,0.847,1.7444999,1.1945,0.8445,1.7444999,2.0445,1.9445,1.5945001,1.8445001,2.0945,1.9445,1.7444999,1.2444999,2.6945,4.0445,4.9445,6.1445003,6.8445,7.5445,7.6945,7.2945,6.0445,4.2445,3.6445,3.5945,3.3945,3.1445,3.1945,3.0945,2.8945,2.9445,3.9945002,2.6945,1.9445,1.9944999,4.1945,4.8445,5.3445,6.4445,7.4945,6.4945,6.1945,7.5445,7.4445,7.2945,6.0445,4.8445,4.2945,3.7445002,3.1945,2.6445,2.4445,2.0445,1.6445,1.2444999,1.0945001,0.9945,0.74450004,0.4945,0.24450001,0.1445,1.7444999,3.6945,5.2945,6.2945,7.0945,7.5945,7.2945,6.4945,5.5445,4.3945003,3.0445,1.9445,1.2945,0.9445,0.74450004,0.74450004,0.8945,1.0445,1.2444999,1.3945,1.2945,0.4945,-0.6055,-0.9055,0.24450001,2.2445,3.8945,4.9945,5.8445,6.1945,5.8945003,5.1445003,4.1445,2.7945,1.1945,-0.10549998,-0.85550004,-1.2555001,-1.6055,-1.9054999,-2.1055,-2.2554998,-2.4555,-2.6055,-2.7055,-2.8055,-2.8055,-2.2554998,-0.8055,1.1445,2.8945,4.3945003,5.7445,6.3445,5.8445,4.6945,3.5445,2.6445,1.7945001
2025-11-11 02:24:37+00:00,2025-11-11 00:00:00+00:00,9.547,8.447,5.447,4.197,2.947,2.047,1.247,0.397,0.097,0.097,0.097,0.24700001,0.24700001,1.347,1.997,2.397,2.047,1.047,1.247,1.947,1.747,0.397,0.19700001,0.24700001,0.29700002,0.097,0.19700001,0.29700002,0.397,0.597,0.997,0.947,0.54700005,0.947,0.947,0.847,0.947,1.2969999,2.697,4.047,5.2970004,6.097,6.097,6.2970004,5.747,4.697,3.547,3.147,3.047,3.6445,3.9445,4.1945,3.6945,3.6445,3.6445,4.3945003,3.7445002,4.0445,4.3945003,3.7445002,2.5445,4.7945,6.6445003,7.8445,8.044499,8.0945,7.6445003,7.6445003,7.3945003,5.8945003,4.8445,4.1445,3.7445002,3.7445002,3.3945,2.4945002,2.5945,2.2445,1.8445001,1.3945,1.0445,0.7945,0.39450002,0.4445,0.6445,2.2945,3.9945002,5.0445,5.8445,6.2945,6.2445,5.9445,5.0445,3.6445,2.1445,1.3945,0.74450004,0.3445,-0.005499989,-0.25550002,-0.5055,-0.7555,-0.95549995,-1.1554999,-1.3055,-1.4054999,-1.5055001,-1.6055,-1.6055,-0.35549998,1.2444999,2.8945,4.1445,5.2445,5.6445003,5.2945,4.4445,3.4445,2.4445,1.3445001,0.3445,-0.4555,-1.1055,-1.6055,-1.8555,-1.9554999,-1.9554999,-1.9054999,-1.7554998,-1.5055001,-1.2054999,-0.8055,-0.10549998,1.1445,2.6445,3.7445002,4.0445,3.8445,3.7445002,3.7445002,3.7445002,3.9945002,4.7445,5.7445,6.4445,6.4945,6.2445,6.2445,6.7945,7.6445003,8.494499,9.494499,10.4445,10.794499,9.8945,8.3445,7.1445003,6.6945,6.6445003,6.7445,7.0945,7.5945,7.7445,7.1945,6.1945,5.3445,4.7445,4.1945
2025-11-12 02:27:45+00:00,2025-11-12 00:00:00+00:00,0.697,0.54700005,0.097,0.14700001,0.29700002,0.347,0.497,0.54700005,0.697,0.79700005,0.89699996,0.79700005,1.147,1.497,2.047,2.497,3.347,4.597,5.6470003,5.7970004,5.447,4.697,3.747,3.197,2.997,3.347,3.547,3.297,3.047,3.297,3.497,2.997,2.447,1.947,1.847,1.7969999,1.847,4.047,5.997,6.1470003,6.597,6.997,7.1470003,6.847,6.197,4.697,3.247,2.547,2.047,2.7945,2.3945,2.1445,1.5945001,1.3945,1.1945,0.74450004,0.39450002,0.1445,0.044499993,-0.2055,-0.30549997,1.0945001,2.9445,4.3945003,5.3945003,6.0945,6.4445,6.4945,5.8445,4.3945003,2.9445,1.7945001,0.9445,0.5945,-0.10549998,-0.35549998,-0.35549998,-0.005499989,-0.10549998,-0.4555,-0.6555,-0.70549995,-0.9055,-1.0555,-1.0555,0.4445,2.3945,4.1945,5.6945,6.7945,7.3445,7.5945,7.2945,4.7945,2.3445,1.6945,0.7945,0.7945,0.7945,1.0445,1.5945001,1.4944999,2.4945002,2.5945,2.5445,3.1445,4.2945,5.4945,7.0945,9.1445,9.744499,11.0945,10.5945,12.4445,11.6445,10.9445,9.8945,8.794499,7.6945,6.5945,5.6445003,4.9945,4.5445,4.1945,3.9445,3.7445002,3.5445,3.2945,2.9945002,2.6945,2.1945,1.6945,1.5945001,2.2445,3.3445,4.2945,4.9945,5.5445,5.7445,5.3945003,4.7445,3.9945002,3.2445002,2.3945,1.7444999,1.4445,1.2945,1.0945001,0.74450004,0.39450002,0.094500005,-0.005499989,-0.005499989,0.044499993,-0.0555,-0.0555,0.39450002,1.7945001,3.6945,5.2445,6.1945,6.7945,6.9945,6.5445,5.6945,4.8945003,4.3445,3.8445
2025-11-13 02:45:21+00:00,2025-11-13 00:00:00+00:00,4.3970003,4.1470003,3.197,3.597,3.897,3.647,3.347,2.847,2.547,2.297,2.347,2.347,2.197,4.1470003,6.097,6.747,6.847,7.2970004,7.6470003,7.697,7.347,5.947,4.997,4.997,4.7970004,4.097,3.297,3.097,2.147,1.347,0.79700005,0.497,0.44700003,0.347,0.397,0.347,0.44700003,1.997,3.297,3.997,4.5470004,4.947,4.8970003,4.597,3.947,2.847,1.697,1.697,1.347,0.1445,-0.2055,-0.5055,-0.6055,-0.7555,-0.85550004,-1.0555,-1.1554999,-1.1554999,-1.3555,-1.4554999,-1.4054999,0.3445,2.4945002,4.2945,5.6945,6.7445,7.3445,7.1945,6.6445003,4.4445,2.9945002,2.7945,2.5445,2.4945002,3.5945,3.8945,4.3945003,5.8945003,7.2445,8.4445,9.4445,9.9445,10.1945,9.794499,9.6445,10.6445,11.244499,10.794499,10.3945,9.3445,8.494499,9.0945,7.9945,6.3445,5.2445,4.8445,4.3445,3.8445,3.3445,3.2945,2.9445,2.7945,2.1445,2.0945,0.9445,1.6945,1.6445,1.8445001,1.8945,2.6945,4.1945,5.1445003,5.5445,6.3445,6.3445,5.9945,5.2945,4.5945,3.9945002,3.4445,2.9445,2.5445,2.2445,1.9944999,1.7444999,1.4944999,1.2945,1.0445,0.7945,0.5945,0.2945,-0.005499989,0.2945,1.5945001,3.4445,5.0945,6.3445,7.3445,7.7445,7.2945,6.2945,5.1945,4.0445,2.7945,1.7945001,1.0945001,0.6445,0.2945,0.044499993,-0.10549998,-0.2055,-0.30549997,-0.4055,-0.4055,-0.4555,-0.4055,0.1445,1.5445001,3.4445,5.0945,6.2945,7.2445,7.6445003,7.2945,6.3945003,5.2945,3.8945,2.2445
2025-11-14 02:28:56+00:00,2025-11-14 00:00:00+00:00,5.5470004,4.7970004,3.697,2.947,2.597,2.197,1.697,1.5469999,1.447,1.247,0.997,0.54700005,0.597,2.647,4.497,5.3970003,6.0470004,6.347,6.5470004,6.447,5.3970003,4.947,4.497,4.097,2.997,1.847,1.197,0.497,0.397,0.24700001,0.19700001,0.14700001,0.14700001,0.097,0.047000006,-0.0029999912,0.047000006,1.447,2.897,3.397,4.747,5.2970004,5.8970003,5.847,5.497,4.947,4.047,4.247,4.347,3.6945,3.9445,4.3945003,5.4445,7.6945,8.794499,9.294499,9.544499,10.1945,10.294499,10.994499,10.794499,11.494499,10.5945,10.044499,10.8945,10.6445,9.6945,9.044499,8.1945,6.4445,5.1945,4.1945,3.4945002,2.9445,2.6445,2.4445,2.2945,2.0945,1.9944999,1.2945,0.8945,0.9445,1.8445001,0.8445,0.7945,1.9445,3.4445,4.4945,4.9945,5.4945,5.4945,5.5945,5.2445,3.7945,2.4945002,2.2945,1.9944999,1.7444999,1.5945001,1.4944999,1.4445,1.0445,0.5945,0.044499993,-0.1555,-0.10549998,0.5445,0.094500005,-0.4055,1.5945001,3.7945,5.4945,6.3945003,7.1945,7.0945,6.6945,5.8445,4.9945,4.1445,3.1945,2.3945,1.7444999,1.2444999,0.7945,0.39450002,0.094500005,-0.10549998,-0.2055,-0.2055,-0.2055,-0.4055,-0.5555,-0.0555,1.6945,4.1445,6.0945,7.2445,7.9445,8.1445,7.6445003,6.6445003,5.4945,4.1945,2.7445002,1.6445,1.0445,0.74450004,0.5445,0.4445,0.4445,0.4445,0.3445,0.1445,0.044499993,-0.25550002,-0.5055,-0.0555,1.6945,4.1945,6.1945,7.3945003,8.1445,8.3445,7.8945003,6.9445,5.8445,4.6445003,3.3445
