forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:12+00:00,2025-11-05 00:00:00+00:00,14.6305,11.2805,9.830501,8.8805,8.7805,8.8805,8.6305,7.6305003,6.8805003,5.8305,4.9805,4.1305003,3.2805,2.5805,2.8305,5.1305003,7.2805004,9.4805,11.4305,12.830501,13.5305,13.6305,13.2305,10.580501,8.4805,5.8305,4.3805003,3.9805,3.4805,3.2805,2.9805,2.8805,3.3805,3.9305,4.1305003,4.5305004,4.4305,4.7305,5.4805,7.4805,9.9305,11.7805,13.1805,14.4805,15.6305,16.280499,16.0805,13.4305,10.7805,11.928,11.478,10.878,10.328,9.878,10.328,10.278,9.628,9.928,12.428,11.478,11.028,10.628,10.928,12.528,13.778,13.628,10.528,10.228,9.628,8.428,6.928,6.028,4.778,3.828,3.128,2.628,2.2280002,2.028,1.6279999,1.928,2.778,2.178,2.378,2.578,2.128,2.078,2.128,1.3779999,1.3779999,2.328,3.7280002,4.428,5.578,1.7279999,-1.6220001,-2.372,-2.7719998,-2.972,-3.872,-4.172,-4.422,-5.172,-5.8719997,-6.222,-6.322,-6.422,-6.6219997,-6.672,-6.822,-6.922,-6.6219997,-5.222,-3.7719998,-2.322,-1.2720001,-0.37199998,0.278,0.328,-0.672,-2.322,-3.722,-4.6219997,-5.272,-5.722,-5.972,-6.022,-6.072,-6.172,-6.272,-6.322,-6.472,-6.672,-6.422,-5.6219997,-4.472,-3.072,-1.3720001,0.578,2.128,3.2280002,3.9780002,4.028,2.9780002,1.2279999,-0.17199999,-0.722,-0.922,-1.072,-1.2720001,-1.472,-1.572,-1.6220001,-1.572,-1.5220001,-1.5220001,-1.472,-0.97199994,0.028,1.4779999,3.378,6.028,9.128,11.878,14.378,16.578,17.477999,16.227999,13.678
2025-11-06 02:21:28+00:00,2025-11-06 00:00:00+00:00,8.6805,6.3305,5.0805,4.4305,3.9805,3.6805,3.2805,3.0305,2.9805,3.8305,4.2805004,4.3305,4.9805,5.4305,5.9805,7.7805004,9.830501,11.6805,12.9305,14.330501,15.9805,17.2305,17.4805,15.5305,13.9305,12.080501,11.080501,10.0305,8.5305,7.3305,6.8305,6.7805004,6.6305003,7.6305003,7.6805,7.2805004,6.8805003,6.5305004,7.2305,10.4305,11.830501,12.7805,13.580501,14.080501,14.2305,13.9805,13.1305,10.9305,8.5305,3.7280002,3.028,2.678,2.378,1.778,1.328,1.9779999,2.178,2.378,2.578,2.078,0.528,0.578,0.628,0.828,1.2279999,1.328,1.428,1.6279999,1.778,1.828,1.6279999,1.078,-0.322,-1.7720001,-2.172,-2.622,-3.622,-4.222,-4.822,-5.772,-6.222,-6.422,-6.822,-7.1219997,-7.272,-7.172,-6.772,-5.722,-4.6219997,-3.672,-2.622,-1.7720001,-1.222,-0.82199997,-1.1220001,-2.422,-4.022,-4.522,-4.8719997,-5.222,-5.672,-6.172,-6.8719997,-7.772,-8.222,-8.672,-8.772,-8.772,-8.722,-8.672,-7.572,-4.472,-2.2719998,-0.522,0.828,2.378,3.678,4.278,3.528,2.078,0.92800003,0.628,0.628,0.728,0.778,0.828,0.92800003,1.028,1.178,1.428,1.7279999,2.128,2.878,3.9780002,5.3780003,7.178,9.728,12.628,14.828,15.928,16.328,15.928,14.428,12.128,10.278,9.328,8.728,8.278,7.8780003,7.578,7.278,6.928,6.578,6.278,5.928,5.578,5.6280003,6.178,7.078,8.378,10.328,12.678,14.478,15.428,15.878,15.678,14.578,12.878
2025-11-07 02:19:15+00:00,2025-11-07 00:00:00+00:00,11.2805,9.830501,8.5305,7.5805,7.0805,6.4305,5.9305,5.9805,6.6305003,6.1805,6.0305004,5.4305,4.8305,4.6305003,5.5805,9.7805,11.3805,12.1805,12.6305,11.8805,11.2805,10.5305,9.4305,7.6305003,5.7305,4.3805003,3.1805,2.4305,2.1305,2.0805,2.0305,1.9805,2.2805,2.6305,2.8305,3.1805,3.1805,3.2305,3.2805,5.3305,7.2805004,7.9305,7.3805003,6.2805004,5.8805003,6.2305,4.8805003,3.2805,3.0805,-0.722,-1.222,-1.8720001,-2.7719998,-3.472,-4.022,-4.472,-5.022,-5.6219997,-6.072,-6.472,-6.772,-7.072,-6.772,-5.422,-3.822,-2.222,-0.82199997,0.328,1.028,1.1279999,0.578,-1.222,-2.5219998,-3.222,-3.672,-3.922,-4.172,-4.522,-4.822,-5.1219997,-5.522,-5.722,-5.972,-6.172,-6.322,-6.272,-5.272,-2.822,-0.522,1.4779999,3.328,4.778,5.428,5.8780003,5.528,4.1280003,3.378,3.678,3.7280002,3.628,4.3780003,4.6280003,4.928,4.978,5.528,4.728,4.728,5.428,6.828,9.528,9.528,10.628,12.778,14.228,15.828,16.977999,17.727999,17.678,16.227999,13.978,12.078,11.078,10.528,10.078,9.778,9.678,9.528,9.278,8.978,8.678,8.378,8.028,7.8780003,7.778,7.828,8.328,9.678,11.478,12.878,13.728,14.278,14.128,12.928,11.128,9.628,8.878,8.478,8.078,7.478,6.8780003,6.328,5.778,5.228,4.828,4.6280003,4.6280003,4.828,5.228,5.828,6.828,8.628,10.828,12.628,13.878,14.678,14.778,13.628,11.728
2025-11-08 02:09:59+00:00,2025-11-08 00:00:00+00:00,5.2805004,4.8805003,4.0805,2.9805,2.4805,2.3805,2.1305,2.3805,2.2305,1.7804999,1.8805,1.2804999,0.5805,-0.0695,-0.3195,-0.16950001,-0.0695,-0.0195,-0.0195,0.1305,-0.0195,-0.16950001,-0.86950004,-1.1695,-1.3195,-1.7195001,-2.0695,-2.1695,-2.6695,-3.1195,-3.7195,-5.0695,-5.4195,-5.8694997,-5.9694996,-6.1695,-6.3694997,-6.4694996,-5.4195,-5.1194997,-5.1695,-6.1695,-4.4195,-4.2695,-4.1695,-3.8195,-4.0195,-4.9694996,-5.4694996,-5.972,-6.072,-6.422,-6.8719997,-7.3719997,-7.822,-8.372,-8.672,-9.272,-9.572,-10.272,-10.822,-11.122,-10.122,-7.222,-5.1219997,-3.472,-2.372,-1.572,-1.0220001,-0.722,-1.0220001,-2.972,-2.7719998,-1.922,-1.6220001,-0.472,-0.27199998,0.128,0.878,1.078,0.978,1.328,1.528,1.528,1.928,0.92800003,3.128,5.078,6.178,7.178,8.728,9.828,10.878,11.078,9.778,7.428,6.778,6.428,6.228,5.978,5.328,4.528,3.878,3.4780002,3.2280002,3.2280002,3.128,3.2280002,3.628,3.078,3.628,5.928,7.728,8.828,10.278,11.028,11.428,11.228,10.078,8.328,6.8780003,6.1280003,5.678,5.278,4.928,4.6280003,4.328,3.878,3.378,2.9780002,2.628,2.328,2.428,2.9780002,3.928,5.1280003,6.778,8.678,10.228,11.328,12.078,12.128,10.978,9.178,7.678,6.978,6.578,6.278,5.928,5.6280003,5.428,5.228,5.1280003,5.1280003,5.228,5.478,5.928,6.528,7.3780003,8.878,11.528,14.778,17.428,19.227999,20.477999,20.627998,19.078,16.477999
2025-11-09 02:31:40+00:00,2025-11-09 00:00:00+00:00,-1.6195,-0.5695,-0.5195,-0.7695,-1.7195001,-2.3195,-2.4195,-2.7695,-3.1695,-3.3195,-3.6195,-4.1194997,-4.4694996,-4.6695,-4.4195,-4.1695,-4.0195,-3.3195,-2.2195,-1.5195,-1.0195,-0.7695,-1.0695,-2.1695,-4.3195,-4.9195,-5.2695,-5.8195,-6.0195,-6.0695,-6.2194996,-6.2695,-6.7194996,-7.4694996,-7.5195,-7.0195,-7.2695,-6.9694996,-7.2194996,-5.1695,-3.1695,-1.5695,0.2305,1.8305,2.7805,3.3305,3.3305,1.7305,0.1305,-1.822,-1.172,-1.072,-0.37199998,-0.37199998,0.278,0.828,0.92800003,0.878,0.778,0.92800003,1.278,1.4779999,2.578,4.178,6.1280003,8.528,10.478,12.228,13.128,12.678,11.378,8.128,6.578,5.328,4.528,4.228,4.1280003,3.7280002,3.378,3.178,2.9780002,2.828,2.678,2.578,2.4780002,2.328,2.928,5.1280003,7.228,9.178,10.328,11.278,11.978,12.078,10.928,8.278,7.228,6.728,6.328,6.1280003,5.928,5.578,5.228,4.828,4.578,4.478,4.278,4.1280003,3.9780002,3.828,4.328,6.728,9.578,11.928,13.828,15.528,16.778,17.028,15.628,13.278,11.378,10.528,10.078,9.778,9.528,9.378,9.228,9.028,8.878,8.828,8.878,9.028,9.428,10.128,11.028,12.178,13.728,15.478,16.977999,18.078,18.877998,19.178,18.678,17.627998,16.778,16.278,15.978,15.728,15.628,15.578,15.578,15.578,15.578,15.428,15.028,14.478,13.678,12.328,10.728,9.678,9.578,9.978,10.378,10.628,10.828,10.878,10.628,10.228
2025-11-10 02:21:38+00:00,2025-11-10 00:00:00+00:00,-5.5695,-5.6194997,-6.0195,-6.3195,-6.6695,-7.2194996,-7.7695,-8.0195,-8.2695,-8.2195,-8.3195,-8.669499,-8.9695,-9.169499,-8.7195,-6.3195,-4.6695,-2.9695,-1.4195,0.0805,1.0304999,1.5805,1.7305,0.1305,-1.2195001,-2.1195,-2.0195,-1.7195001,-0.46949998,-0.2695,-0.119500004,0.4305,0.63049996,0.7305,0.5805,0.4805,-0.0195,0.1805,0.3305,3.4805,5.4305,9.2305,11.9305,14.0305,14.330501,13.4805,13.2305,10.330501,7.8805003,8.828,8.378,7.978,7.478,7.3780003,7.078,6.6280003,5.828,5.328,5.1280003,4.578,3.778,3.2280002,3.7280002,6.3780003,9.178,11.278,12.728,13.678,14.028,13.828,12.778,9.878,8.928,8.428,7.978,7.478,7.028,6.6280003,6.328,6.078,6.028,6.178,6.328,6.6280003,6.828,6.778,6.828,8.428,10.228,12.678,15.128,17.078,18.528,19.127998,17.877998,14.828,13.328,12.578,11.778,10.978,10.428,9.978,9.678,9.428,9.128,8.778,8.528,8.428,8.328,8.478,8.928,11.028,13.128,15.078,16.428,17.428,18.028,18.178,17.578,16.477999,15.628,15.278,15.178,15.028,14.728,14.478,14.428,14.828,15.428,16.028,16.528,17.028,17.477999,18.028,18.528,18.627998,18.227999,17.428,16.428,15.078,13.478,11.978,10.578,9.228,8.128,7.428,7.028,6.778,6.6280003,6.6280003,6.6280003,6.678,6.728,6.6280003,6.278,5.828,5.3780003,5.078,4.828,4.6280003,4.478,4.3780003,4.278,4.178,4.1280003,4.1280003,4.228,4.3780003
2025-11-11 02:12:55+00:00,2025-11-11 00:00:00+00:00,-1.7195001,-2.1195,-2.0195,-1.5695,-1.1195,-1.1695,-1.0695,-0.9195,-0.46949998,-0.5695,-1.1195,-1.0695,-0.7695,-0.7195,-0.16950001,2.9305,7.6305003,10.1305,12.5305,13.830501,14.7305,15.1305,14.330501,10.9805,8.330501,6.8305,5.5305004,4.6305003,4.0305004,3.3805,3.0805,2.6805,2.3305,1.5304999,1.4805,0.88049996,0.4805,0.28050002,0.0305,2.6805,5.7305,7.9305,9.8805,11.2305,12.080501,12.1805,11.9805,9.2305,7.0305004,9.528,9.278,8.878,8.228,7.978,7.678,7.328,7.1280003,6.728,6.328,5.928,5.728,5.578,6.1280003,8.178,10.978,12.978,14.528,15.728,16.328,16.477999,15.678,12.728,11.428,10.678,10.178,9.778,9.378,9.028,8.778,8.428,8.128,7.978,7.678,7.478,7.278,7.178,7.8780003,10.428,13.178,15.728,18.127998,19.877998,20.977999,21.227999,20.127998,17.877998,16.578,16.428,15.678,14.978,14.978,14.278,14.028,13.378,13.278,12.128,11.878,11.528,11.378,10.978,11.078,12.828,14.528,16.377998,18.227999,19.477999,20.428,20.627998,19.678,17.928,16.377998,15.228,14.278,13.478,13.078,12.878,12.428,11.478,10.278,9.278,8.478,7.828,7.578,7.8780003,8.578,9.628,11.328,13.378,14.978,15.878,16.278,16.028,14.678,12.628,10.878,9.828,9.078,8.528,8.228,8.178,8.178,8.228,8.278,8.278,8.078,7.778,7.478,7.1280003,6.778,6.6280003,6.778,7.1280003,7.3780003,7.528,7.578,7.6280003,7.6280003,7.578
2025-11-12 02:15:16+00:00,2025-11-12 00:00:00+00:00,7.8805003,6.2305,4.5805,4.3305,3.8805,2.9305,2.1805,1.1805,0.4805,0.5305,-0.0195,-0.7695,-1.5695,-1.6195,-1.4695001,1.7804999,5.9805,9.330501,11.6805,13.330501,14.0305,13.8805,12.7805,9.9305,7.7805004,6.4305,5.8805003,4.9305,4.4305,3.1805,2.4805,1.8305,1.0304999,1.0304999,1.0304999,1.5805,1.7804999,1.8305,2.6305,5.5805,8.330501,10.330501,12.1305,13.580501,14.3805,14.6805,14.080501,12.1305,9.9805,11.828,11.378,10.928,10.528,10.178,9.928,9.628,9.428,9.178,8.978,8.728,8.578,8.428,8.928,11.528,14.828,17.828,20.278,22.178,23.977999,24.377998,22.377998,19.178,17.627998,16.328,15.678,15.278,15.128,15.528,15.278,14.678,13.778,12.928,12.378,11.528,11.278,11.278,11.878,13.428,15.228,16.678,17.127998,17.178,17.278,16.977999,16.477999,13.628,12.378,11.578,10.878,10.278,9.728,9.178,8.828,8.428,7.928,7.678,6.778,6.728,6.828,6.978,6.8780003,7.3780003,8.078,9.578,10.628,11.378,11.878,11.828,10.778,9.178,7.8780003,7.328,7.1280003,6.8780003,6.428,5.8780003,5.428,5.1280003,4.8780003,4.578,4.1280003,3.678,3.328,3.378,3.578,3.4780002,2.678,1.578,0.728,0.428,0.37800002,0.528,0.978,1.6279999,1.678,0.67800003,-0.872,-2.222,-3.0219998,-3.572,-4.022,-4.422,-4.772,-5.1219997,-5.572,-5.972,-6.072,-5.672,-4.972,-4.072,-2.7719998,-1.2720001,-0.17199999,0.37800002,0.528,0.328,-0.522,-1.822
2025-11-13 02:32:17+00:00,2025-11-13 00:00:00+00:00,8.1805,6.9805,5.5805,5.1305003,3.6305,2.4805,2.0805,1.4805,1.0805,0.7305,0.38050002,0.63049996,0.88049996,-0.16950001,-0.3195,3.9805,8.5305,10.6305,12.7305,14.2805,15.7805,16.3305,15.7305,12.6305,10.580501,8.330501,7.0305004,6.1305003,5.2305,4.9305,4.6305003,4.8305,4.4305,3.8305,3.5305,3.8805,3.7805,3.2805,3.4305,6.8805003,10.7805,14.1305,17.9805,19.880499,20.630499,21.0805,19.630499,16.5805,13.080501,16.977999,16.078,15.528,14.728,14.528,13.728,13.228,12.728,12.578,12.228,11.728,11.428,10.828,11.528,13.228,14.878,15.878,16.278,15.828,15.478,14.628,13.828,11.778,10.078,8.978,8.178,7.578,6.928,6.228,5.478,4.728,4.178,3.528,2.878,2.178,1.6279999,1.178,1.4779999,3.378,5.178,6.678,7.978,8.928,9.028,8.578,8.078,7.678,7.478,7.278,7.178,7.1280003,7.078,6.728,6.328,5.828,5.3780003,4.278,3.4780002,3.4780002,3.778,4.1280003,4.028,2.928,1.9779999,2.9780002,4.3780003,5.3780003,6.528,6.978,6.178,4.728,3.428,2.628,1.928,1.3779999,0.878,0.428,0.078,-0.122,-0.27199998,-0.422,-0.722,-1.072,-1.1220001,-0.772,-0.122,0.828,2.328,4.1280003,5.528,6.3780003,6.828,6.828,6.1280003,4.978,4.1280003,3.928,4.028,3.928,3.4780002,2.878,2.328,1.8779999,1.4779999,1.1279999,0.728,0.37800002,0.328,0.67800003,1.3779999,2.4780002,4.228,6.328,8.028,9.128,9.828,9.878,8.878,7.228
2025-11-14 02:16:05+00:00,2025-11-14 00:00:00+00:00,11.4805,9.5305,8.4805,7.4805,6.9805,6.6805,6.2805004,5.6805,5.1305003,5.3805003,5.7305,5.8305,5.5305004,5.4805,5.8805003,9.1805,12.580501,15.9305,18.8305,21.3305,22.6805,23.130499,21.130499,18.2305,15.580501,13.6305,12.830501,12.1805,10.8805,11.080501,10.4305,9.9805,9.7805,9.3805,8.6305,9.0305,8.5305,7.7305,7.3305,10.2305,12.0305,12.830501,13.580501,13.6305,14.3805,14.0305,13.2305,10.9305,8.9305,9.428,8.678,7.928,7.328,6.828,6.328,5.778,5.1280003,4.6280003,4.1280003,3.778,3.928,5.028,5.228,5.528,6.178,7.328,8.678,9.378,9.928,10.128,10.028,9.028,8.578,8.028,7.678,7.328,6.928,6.3780003,5.828,4.8780003,4.6280003,4.328,4.028,3.578,3.328,3.028,2.4780002,2.378,2.628,2.678,3.378,4.478,4.428,4.578,4.428,3.128,2.878,2.078,1.2279999,0.47800002,-0.37199998,-1.072,-1.3720001,-1.172,-1.572,-1.822,-2.072,-2.2719998,-2.322,-2.5219998,-2.372,-0.622,0.978,2.428,3.428,4.1280003,4.478,4.3780003,3.628,2.428,1.4779999,1.078,0.878,0.728,0.47800002,0.22800002,0.028,0.028,0.078,0.028,-0.37199998,-0.922,-1.1220001,-0.772,-0.072000004,0.92800003,2.378,4.1280003,5.528,6.428,7.028,7.228,6.778,5.928,5.278,5.078,5.1280003,5.078,4.8780003,4.678,4.478,4.328,4.228,4.178,4.328,4.528,4.678,4.728,4.728,4.678,4.6280003,4.528,4.478,4.578,4.678,4.778,4.778,4.678
