forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:12+00:00,2025-11-05 00:00:00+00:00,968.441,968.2175,968.1222,969.2619,970.3389,971.7938,972.8778,973.4673,975.4827,976.7082,978.1317,979.06696,980.5103,981.8204,982.867,984.3871,985.478,985.8121,985.8416,985.71106,985.9367,985.75806,985.3055,984.49603,984.0256,983.80725,983.13074,982.4779,982.2206,981.4542,980.60626,980.18585,979.85406,978.73206,977.42505,976.214,975.04626,973.84204,973.0154,972.6487,971.9034,970.6383,969.28906,967.73157,967.45233,966.6527,966.10004,965.5901,965.7395,966.153,966.01215,965.76605,965.86365,965.8646,965.66583,965.36395,965.72064,965.72064,965.4523,965.5901,965.9381,965.95404,966.65125,967.21423,967.5454,967.72736,967.8735,967.7544,968.3901,969.40234,970.31805,970.7151,971.4779,971.8166,971.8736,971.93634,972.05646,971.6146,971.47546,971.247,971.46625,970.92847,969.3115,969.56836,969.29486,969.3764,969.043,969.1324,969.8784,970.2833,970.4303,970.3351,970.4277,971.29913,972.7304,975.81714,979.99927,982.3118,983.9344,985.4579,986.9153,987.92365,988.7091,989.4709,990.2634,990.7114,990.8953,991.07904,991.247,991.7106,992.4601,992.7093,992.9481,993.0,992.3326,992.1057,991.83307,991.6488,991.67725,991.87933,992.02747,992.08136,992.07715,991.9919,991.7224,991.46844,991.14166,990.9344,990.7427,990.4552,990.12067,989.6901,989.33026,989.2791,989.3043,989.0776,988.42065,987.61084,986.8258,986.06793,985.347,984.79913,984.3471,983.9695,983.7359,983.61035,983.53644,983.29254,982.86444,982.2591,981.5724,980.8935,980.13354,979.278,978.2888,977.19666,976.0974,975.2123,974.31604,973.36316,972.18054,970.8328,969.6484,968.44366,967.3026,966.669,966.73206,967.2073
2025-11-06 02:21:29+00:00,2025-11-06 00:00:00+00:00,983.3721,982.2319,982.01025,981.5035,981.67377,981.0849,980.259,979.3514,978.931,977.86096,977.0339,975.8228,975.11835,974.4683,973.7834,972.8061,971.75946,970.832,969.7494,968.4807,967.9398,966.94116,966.70306,966.7968,967.4672,968.2444,968.0532,967.6962,967.718,967.3389,966.9676,966.5745,966.4763,966.53015,966.92114,967.2483,967.8033,968.0805,968.11536,968.4725,968.8331,969.1727,969.3192,969.12354,969.1764,968.7654,968.5836,968.98456,969.3236,970.76355,971.1698,971.0943,971.1039,971.0318,970.8923,970.61884,971.1257,969.6573,970.0123,969.40515,968.88947,970.37225,970.655,970.9374,970.9156,971.8082,971.8082,971.5714,972.0512,972.85504,973.9251,975.1362,976.91565,979.4481,981.823,983.4575,984.9238,985.96783,986.92303,987.8048,988.7274,989.19354,989.53784,989.9855,990.0263,990.6659,991.4074,991.8261,992.1235,992.2268,991.8189,991.4678,991.52026,991.96985,992.18225,992.57556,993.0365,993.4159,993.2582,993.3881,993.4867,993.3206,992.9393,992.5887,992.64545,992.2543,991.95074,991.41644,991.48846,991.20105,990.7583,990.43604,989.5246,988.6583,987.49976,986.1757,984.70953,983.4227,982.44415,981.64435,980.69446,979.5511,978.34845,977.0863,975.88306,974.5168,973.22455,971.76337,970.17706,968.8264,967.7257,966.8525,966.21356,965.8011,965.52496,965.51495,965.7459,966.04034,966.2902,966.2457,966.08545,966.0984,966.42926,966.9323,967.5094,968.06,968.5888,969.02106,969.3301,969.54944,969.86444,970.2824,970.70685,971.1453,971.4804,971.9253,972.33044,972.9018,973.63104,974.11975,974.41956,974.56964,974.5454,974.3112,973.908,973.7861,973.98175,974.46027
2025-11-07 02:19:15+00:00,2025-11-07 00:00:00+00:00,965.217,966.1809,965.2685,964.74603,964.9511,965.6579,966.0143,965.84845,965.1132,965.4062,966.11774,966.5056,966.3598,965.9903,966.5837,967.79346,968.1618,968.1178,969.20605,970.11487,970.43286,970.01105,969.93207,970.682,971.3585,971.60675,970.7719,970.5547,970.74207,971.0466,970.8999,970.2951,970.4201,969.5998,970.18286,970.9266,971.6202,971.47125,971.58154,971.63226,971.8596,971.4161,971.4919,971.66907,972.1756,972.0896,972.47797,973.385,974.7944,980.2893,981.9495,983.4537,984.8548,985.74396,986.4855,987.368,988.16156,988.77124,989.0694,989.75836,990.3672,990.99115,991.9163,992.6861,992.7103,992.6364,992.3386,991.80963,991.6185,991.74414,991.9139,992.07336,992.6364,993.11304,993.044,993.05554,992.98627,992.73254,992.4063,992.0877,992.0488,991.5617,990.8519,990.94006,990.2377,990.0307,990.0978,989.373,988.46564,987.44836,986.0651,984.1478,982.6086,981.0404,979.7886,978.319,977.49023,976.3606,974.43164,972.74744,971.3148,969.8079,968.41077,967.056,965.9606,965.0499,963.86273,963.45746,963.6565,964.1268,965.3161,966.12177,966.7067,967.0083,967.1527,967.2767,967.36725,967.4507,967.73627,968.10596,968.4414,968.8206,969.2603,969.61066,969.954,970.20825,970.64075,971.2442,971.83374,972.6359,973.55457,974.494,975.5436,976.593,977.66327,978.50165,978.8745,979.0192,979.01764,978.83075,978.49994,978.3906,978.6468,979.0331,979.53375,980.01337,980.5203,981.02673,981.43695,981.7507,981.9753,982.10345,982.14276,982.17456,982.1847,982.29785,982.3722,982.629,982.8466,982.92834,982.62646,982.0803,981.4745,980.68854,979.7511,978.9956,978.4508,978.0848
2025-11-08 02:09:59+00:00,2025-11-08 00:00:00+00:00,969.9702,971.0136,971.0346,970.52124,971.2694,970.0233,970.2081,969.50745,969.87646,969.9043,970.08875,968.99695,969.2196,970.918,971.3609,972.15045,972.43036,972.37836,972.22296,972.65875,973.8319,974.91,975.98016,977.6329,979.1227,980.93774,982.2281,983.5032,984.447,985.0047,985.2664,986.00665,987.15704,987.8313,988.38586,989.0101,989.8509,990.87994,991.36694,991.989,992.583,992.9248,993.23285,993.2874,993.14734,992.8289,992.77167,993.3652,993.7927,992.67316,992.6417,992.4191,992.65955,992.49286,992.4142,992.4232,992.27155,992.2161,991.6973,991.4657,991.72107,991.68097,991.8009,991.5975,990.8771,990.2739,989.14276,987.3739,986.0756,984.8061,983.40405,981.8527,980.76654,979.55566,978.2281,976.51843,974.7252,973.06415,971.47687,970.1553,968.86285,967.3562,965.8713,965.13947,964.25446,964.29736,964.9481,965.6158,966.11224,966.187,966.43195,966.42114,966.7431,967.09393,967.35077,967.7314,968.5189,969.0535,969.4987,969.95776,970.677,971.30707,971.9906,972.7695,973.67267,974.15967,974.8461,975.7704,976.5022,977.05695,977.7788,978.41516,979.0656,979.417,979.39667,979.3205,978.99725,978.8807,979.0056,979.3202,979.67316,980.1084,980.578,980.8766,980.9899,981.0283,981.0738,981.2224,981.3781,981.5412,981.4905,981.35077,981.3653,981.6518,982.0025,982.09283,981.861,981.3653,980.72144,979.9999,979.13416,978.4614,977.9344,977.51636,977.2197,977.012,976.9281,976.6727,976.2252,975.5035,974.8991,974.22,973.562,972.90405,972.2107,971.62054,970.99084,970.54095,970.24866,969.7346,968.95355,968.0443,967.2332,966.5135,965.81134,965.25256,964.8399,964.5592
2025-11-09 02:31:41+00:00,2025-11-09 00:00:00+00:00,978.5235,980.377,980.5838,981.8307,983.358,984.83276,985.4944,985.8024,987.10693,987.6212,987.8783,988.423,989.5426,990.50916,991.3799,991.97046,992.4728,992.6072,992.7143,992.62164,992.79346,992.7504,992.91974,993.1863,993.60046,994.1293,994.17114,994.6193,994.81104,994.67377,994.18646,993.8988,993.97943,993.58026,993.07764,992.9846,992.9222,992.8417,992.61646,992.8289,992.5341,991.5667,990.3601,989.3004,988.5265,987.4263,985.9419,984.4523,983.42535,980.18176,978.7133,977.1294,975.7584,974.216,972.6811,970.99805,969.70605,968.3323,967.3276,966.5742,965.7923,965.33417,965.4031,965.846,966.1259,965.8803,966.1233,966.1455,966.4863,967.12006,967.5522,967.6403,968.7262,969.91907,970.73303,971.33966,972.02295,972.65234,972.8229,973.2887,973.91046,974.3406,975.0509,975.3844,975.64325,976.30066,977.19855,977.8433,977.9603,978.42914,978.1819,977.7683,977.5812,977.5051,977.5761,977.4682,977.6928,978.09656,978.11566,978.34753,978.19495,978.33057,978.1919,977.8612,977.6337,977.3031,976.69135,976.3747,976.15436,975.9478,976.1366,976.0238,975.7664,975.26764,974.2848,973.54675,972.7347,972.08716,971.7128,971.5002,971.33606,971.2079,971.044,970.8937,970.7364,970.4964,970.26324,969.94073,969.4399,969.0419,968.6439,968.1499,967.89594,967.882,968.0045,967.87823,967.15106,966.1781,965.14905,964.0528,962.9044,961.8843,961.2309,960.8023,960.29535,959.66064,959.0449,958.26263,957.3077,956.1859,955.263,954.56415,953.8712,953.608,953.5571,953.83984,954.5702,956.0035,957.88794,959.4513,960.48126,961.2009,961.80414,962.1618,962.3963,962.7336,963.26953,963.90137
2025-11-10 02:21:38+00:00,2025-11-10 00:00:00+00:00,992.01245,991.68744,991.5364,991.6727,992.39966,993.03064,993.18243,992.55994,992.64734,992.04065,992.4959,991.945,991.8254,991.99286,992.472,992.806,992.31354,991.6598,991.2182,990.2642,989.10114,987.7884,986.0022,984.5165,983.17236,982.3166,980.78204,978.9598,977.46246,975.736,974.1203,972.5857,971.44934,970.30566,969.34644,968.8669,968.1882,967.98175,967.3027,968.6258,969.4528,970.62823,971.49164,971.60065,971.96185,971.857,972.0042,972.555,972.5578,970.9493,971.518,972.21704,973.00464,973.42175,974.1337,975.0659,975.86633,976.5706,977.296,977.9924,978.5781,979.37,979.92914,980.5277,980.90576,981.0918,980.7261,979.8726,979.8568,979.6445,979.5792,979.19775,979.24493,979.33984,979.33795,979.5912,979.2399,979.0055,978.853,978.74274,978.6329,977.6655,976.8832,976.28577,975.7026,975.3398,975.18994,974.956,974.6523,974.0622,972.9305,971.77924,971.0295,970.2728,970.15063,969.89233,970.0441,969.90967,969.8087,969.528,969.37756,968.9455,968.60254,968.3557,968.1431,967.82745,967.5256,967.42255,967.20294,967.0932,967.33344,967.02997,966.7563,966.04034,965.1221,964.2065,963.14246,962.3023,961.6615,961.25073,960.7563,960.1976,959.56195,958.8566,957.9914,957.0624,956.2427,955.4486,954.7695,954.25006,953.96155,953.83984,953.83984,954.0959,954.4736,954.8381,954.9394,955.0333,955.07324,955.0319,955.0271,955.20575,955.78577,956.65784,957.26227,957.58466,957.7423,957.7079,957.57733,957.3509,957.042,956.4727,955.71844,955.23834,955.197,955.32666,955.46326,955.5176,955.48254,955.4476,955.4198,955.3918,955.5696,955.8505,956.3305,957.00244,957.86633,958.83325
2025-11-11 02:12:55+00:00,2025-11-11 00:00:00+00:00,980.44916,979.0013,977.0383,975.8142,974.6287,972.9546,972.20123,970.68933,968.8814,967.4059,966.3214,966.395,966.0411,966.3068,966.79376,969.1895,970.4362,971.2649,971.57336,972.1051,972.637,972.485,972.37134,972.5074,973.047,973.6613,973.6159,973.9148,974.22034,974.33356,974.8304,975.0823,975.2237,975.0406,975.42444,975.98566,976.37787,976.99097,977.5,979.05334,980.0627,980.2848,979.7326,979.5138,980.00104,980.0351,979.4245,978.5996,978.0456,978.15454,978.0714,978.098,978.03534,978.1645,978.2256,978.38245,978.28644,977.96344,977.3588,977.23474,976.9254,977.1036,977.20197,977.26843,976.88495,976.6132,976.0218,975.1683,974.50354,974.24084,974.20667,974.1945,974.4804,974.5576,974.7437,975.03235,975.0527,974.7984,974.65405,974.4204,974.2006,973.9596,973.7257,973.602,973.471,973.5461,974.18506,974.27045,973.89526,973.4656,972.49036,971.54913,970.6059,970.33,970.119,969.73126,969.5641,969.6205,969.35876,969.2494,968.961,968.5397,968.0685,967.63696,967.06036,966.70496,965.972,965.66327,965.0462,964.69037,964.60803,964.08124,963.57794,963.5447,962.4821,961.8533,961.173,960.69836,960.6736,960.9558,961.1784,961.3886,961.5354,961.8871,962.34796,963.0075,963.525,963.9627,964.35846,964.7797,965.3435,966.0299,966.7639,967.5598,968.40375,968.9247,969.06506,969.0636,968.8965,968.71906,968.57227,968.43054,968.52954,968.6358,968.7854,968.8488,968.96606,968.91833,968.72626,968.46515,968.0879,967.65576,967.1963,966.7431,966.0982,965.45276,965.03394,965.048,965.38446,965.5219,965.3503,965.0762,964.89777,964.8084,964.71234,964.80176,965.1652,965.61804
2025-11-12 02:15:16+00:00,2025-11-12 00:00:00+00:00,971.7789,971.5768,971.70276,971.87366,972.8161,974.06714,974.57135,973.91614,974.70764,975.58,976.54767,976.80615,977.1974,977.5737,977.7733,979.0658,980.1694,980.6097,980.79034,980.75574,981.13904,981.242,980.85187,980.4397,980.12085,980.24713,980.13025,980.2006,980.4168,979.96783,979.18555,978.5785,978.47034,978.0213,977.1357,976.47125,975.8881,975.4971,974.91925,974.8994,974.83264,974.5589,974.1098,973.85974,973.8209,973.3666,972.9656,972.75916,972.4592,972.86694,973.0471,972.8697,972.80853,972.36957,972.1364,971.9031,971.86865,971.6355,971.12085,970.8941,970.7634,970.928,971.2784,971.3391,970.9234,970.24603,969.0991,968.0703,967.6686,966.96063,966.53723,965.9763,965.9485,965.89636,965.7317,965.0196,964.83466,964.5656,964.341,964.08264,963.8228,963.6938,963.19037,963.4259,963.661,964.72723,965.4021,967.1941,967.82996,968.54626,968.3105,968.1887,968.1374,967.8552,968.18085,968.39746,968.79474,969.4628,969.8694,970.1861,970.3038,970.3315,970.5581,970.5171,970.867,970.77094,970.8804,971.4557,971.901,972.5925,972.87384,973.32306,973.3029,973.2686,972.6647,972.1903,971.6125,971.1523,971.0238,971.10016,971.2091,971.407,971.74243,971.8994,971.8783,971.7685,971.6442,971.6699,971.6884,971.7206,971.6105,971.4255,971.4255,971.8844,972.42474,973.0325,973.4119,973.762,974.20703,974.85034,975.58875,976.2671,976.92377,977.6248,978.30365,978.9528,979.4761,980.0578,980.6516,981.38947,981.97156,982.53345,983.13434,983.53516,983.57733,983.5144,983.65045,984.4403,985.6118,986.4219,986.66956,986.5388,986.352,985.8889,985.3585,984.849,984.6761,984.5069
2025-11-13 02:32:17+00:00,2025-11-13 00:00:00+00:00,979.44855,979.0954,978.63324,978.99866,979.2527,979.08405,979.0635,978.4662,978.1415,978.0609,977.7289,977.32263,977.1749,976.96075,976.3914,976.6668,976.9179,976.66516,976.29626,975.9326,975.9116,975.5158,975.02655,974.7383,974.5451,974.5721,974.2204,973.61414,973.26306,972.85486,972.4748,971.94507,971.5255,971.07745,970.8496,970.6292,970.12756,969.8038,969.29254,969.43634,969.6525,969.37555,968.7959,968.31726,968.1036,967.98486,967.5847,966.7962,966.75385,965.4741,964.9218,964.63336,964.5656,964.1873,963.9487,963.87054,963.8882,963.707,963.35254,963.6245,963.9825,964.57074,965.9496,967.297,968.4635,969.06445,968.8227,968.79767,969.2009,969.63513,969.51697,970.40594,971.2686,971.9711,972.3905,972.6163,972.9173,973.39575,973.8669,974.0845,974.19165,974.6541,974.8492,975.15405,974.89,975.3338,975.81366,975.9695,976.115,976.1199,975.50464,974.7639,974.0152,973.4251,973.35004,972.9066,973.24384,973.5039,973.8457,974.00977,973.77527,973.9137,973.82477,973.4094,973.4877,973.13556,973.20294,973.8145,973.7044,974.74585,975.62415,976.3073,976.6701,977.0254,976.68256,976.51935,976.30316,976.25745,976.4565,976.7374,977.1671,977.73834,978.4643,979.0122,979.31525,979.5367,979.6694,979.9055,980.0603,980.3106,980.45044,980.6781,980.9584,981.49023,982.17065,982.5995,982.6286,982.4105,982.1389,981.7055,981.2213,980.9332,980.9763,981.21326,981.41614,981.6532,981.8597,982.04425,982.281,982.599,982.8208,982.95374,983.08636,983.2339,983.4698,983.6243,983.9196,984.3776,984.7988,985.0714,985.0452,984.7781,984.44244,984.1023,983.6985,983.39624,983.4279,983.4691
2025-11-14 02:16:05+00:00,2025-11-14 00:00:00+00:00,972.5615,972.7541,971.8053,971.7896,972.125,971.2933,970.5507,970.4125,969.8546,970.0252,970.1,969.52405,969.24316,969.24316,968.8623,969.12415,969.517,969.34015,968.93286,968.6146,968.4483,967.57556,966.71716,966.2459,966.3818,966.51855,965.4111,964.76764,964.7945,964.8057,965.03815,965.03815,965.64825,965.77997,966.7763,967.69696,968.9737,969.7072,970.2492,971.43646,972.805,973.24713,973.6154,973.5589,973.6486,973.35345,973.3632,973.2535,973.07684,972.3214,972.5344,972.7191,972.8212,973.1218,973.3257,973.83185,974.2695,974.30884,974.0673,974.3733,974.83875,975.1871,975.7207,976.36346,976.65594,976.67816,975.7112,974.991,974.51074,974.24994,974.1951,974.20844,974.65405,975.00336,975.26385,975.339,975.31134,975.75665,975.6165,975.6562,975.7632,975.67816,975.5066,975.61237,975.64325,975.65076,976.06323,976.0923,976.9561,977.0629,977.3057,976.766,976.6681,976.6227,976.673,977.20074,978.04254,978.9587,978.9371,979.0052,979.5072,979.60297,980.399,980.6139,980.65063,980.8476,980.9942,981.3326,981.30994,981.7894,982.1376,982.8569,983.16766,983.4108,982.892,982.5353,982.05304,981.69037,981.59717,981.6155,981.66895,981.69135,981.8468,981.9058,982.0608,982.21576,982.3704,982.41455,982.3624,982.2141,981.9698,981.62976,981.4453,981.4244,981.46265,981.4407,981.1951,980.8939,980.45,979.6522,978.71484,977.98096,977.69836,977.626,977.4025,976.887,976.21497,975.54285,975.05566,974.5756,973.9855,973.1821,972.3714,971.5749,970.9989,970.4303,969.97144,969.6159,969.267,968.8152,968.25323,967.4921,966.82007,966.14795,965.483,964.99585,964.79,964.76886
