forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:31:57+00:00,2025-11-05 00:00:00+00:00,1.68949,0.76056284,0.8706476,1.2430433,1.77586,0.69738156,-0.82730085,-1.317199,-2.795034,-2.027528,-2.1985908,-2.199,-2.6865451,-2.567718,-2.2379904,-1.0855762,-0.90539366,-0.46049574,-0.48398837,-0.26621184,-1.4619715,-2.2183554,-3.0897133,-4.9690843,-5.1770916,-4.7373285,-5.4747105,-5.873146,-5.8198247,-6.475644,-6.7664175,-7.4596605,-8.43448,-9.342501,-8.822586,-7.845412,-6.441607,-5.792082,-4.875186,-3.353876,-0.8662054,1.3892974,3.3242917,4.7628455,5.4123073,5.7284493,3.8381839,2.4525523,1.6438173,0.70628357,0.15267925,0.076506875,-0.59684545,-1.3130656,-1.7027669,-2.03259,-2.2837088,-1.688157,0.38283113,0.65898794,3.7825415,2.5532348,3.2932358,0.34857884,-1.4424411,-2.0282,-2.4480557,-3.4139733,-3.843476,-3.85521,-4.2653475,-4.3372097,-4.2639585,-4.2690096,-4.5433364,-4.708666,-5.430765,-6.010605,-6.3391056,-6.43252,-6.296976,-4.2627063,-2.2686412,-1.6391284,-1.2409685,-0.9861207,-0.7432724,-1.2987556,-4.5004077,-5.531006,-5.823303,-6.2371435,-6.8693814,-7.7921133,-8.205256,-9.267711,-9.334915,-9.392467,-9.39906,-9.850011,-10.448127,-10.998198,-11.095525,-11.257468,-11.538603,-11.421297,-11.208872,-11.35466,-11.403256,-11.597645,-11.760994,-11.22811,-10.834611,-10.490201,-9.927712,-9.407407,-8.946418,-8.427406,-8.364092,-8.873932,-9.7246685,-10.452949,-11.386538,-11.97605,-12.467332,-12.811239,-13.056893,-13.155158,-13.106025,-13.202931,-13.251999,-13.39953,-13.259525,-12.877248,-12.302389,-11.553368,-10.348674,-8.752278,-7.516515,-6.4232683,-5.2867823,-4.5910344,-4.4829855,-5.032182,-5.769643,-6.082118,-6.384267,-6.384267,-6.335225,-6.139063,-6.0999665,-6.2726817,-6.6196427,-6.7913218,-6.482561,-5.9843044,-5.297578,-4.7559643,-4.086296,-2.8765624,-0.97203493,0.8912456,2.298212,2.9012184,3.5375426,3.6074047,3.5623925,2.932
2025-11-06 02:21:07+00:00,2025-11-06 00:00:00+00:00,-2.509602,-2.681739,-2.6770089,-2.7450576,-2.8464494,-2.0065987,-1.6177139,-1.8348558,-2.9232452,-3.2006946,-3.1436388,-3.4670832,-4.187617,-4.9016037,-5.0391145,-3.2038708,-1.041672,0.797359,3.1892352,3.7570343,4.37382,4.994295,4.734005,4.1529384,3.16046,2.1029773,1.5816481,0.6600325,-0.226985,-0.7628175,-0.6742189,-0.8010565,-0.88296795,-0.8840291,-0.67646176,-0.4303268,-0.16844673,-0.10106666,0.113184415,1.9698205,2.5426443,1.4311298,1.1500959,0.6678578,0.52317965,0.23521636,0.08739272,-0.29658815,-0.6805947,-4.8635273,-5.1691494,-5.574697,-5.690368,-5.638957,-5.700095,-5.591316,-5.414757,-4.275152,-4.3236594,-4.6385984,-4.578992,-4.5638247,-4.3236594,-2.7883232,-1.9324648,-3.2662702,-4.4492407,-4.8075266,-5.5766234,-6.1123595,-7.4496546,-8.259923,-9.737817,-10.260118,-8.876626,-10.215192,-10.47262,-11.296503,-11.538067,-11.806994,-12.240975,-12.647246,-12.456411,-11.9839115,-11.936049,-12.17118,-12.170174,-11.678704,-10.97177,-9.781671,-9.236341,-8.648865,-8.393498,-8.092314,-7.629653,-7.3425527,-7.2735977,-7.151876,-7.0708656,-7.2563224,-7.6988897,-8.092293,-8.338176,-8.289,-8.534886,-8.829956,-8.829541,-8.929613,-9.077526,-9.126828,-8.878783,-8.513598,-8.392224,-8.648865,-9.041992,-9.685513,-10.343087,-10.791405,-10.645074,-10.103389,-10.20772,-10.105543,-9.946017,-9.623073,-9.65482,-9.747823,-9.251909,-7.719499,-5.4891634,-3.9031782,-2.8251457,-2.0581474,-1.0932745,-0.17760015,0.59183234,0.712975,0.06280997,-1.4337695,-3.5645013,-4.3221273,-4.566434,-4.3221273,-4.3208637,-4.450654,-4.2530847,-3.922452,-3.9518054,-3.7804258,-3.8137612,-4.1922684,-4.043133,-3.584775,-3.2673166,-2.9004598,-2.7090504,-2.6666589,-2.619576,-2.9472623,-3.2906504,-3.6761484,-3.9084046,-4.095623,-4.695774,-4.364203,-4.017516,-3.4303217,-3.2538152,-3.6523726
2025-11-07 02:18:55+00:00,2025-11-07 00:00:00+00:00,2.6832707,2.8261478,0.8512302,0.9430917,1.7260026,1.6777079,1.439684,1.2952547,1.1883191,0.83996516,0.81241214,0.73046905,1.2886413,1.698099,2.7159243,2.1643238,1.4597585,0.84338325,0.69738156,0.61802787,0.2452175,-0.21463962,-0.5049403,-0.48271433,-0.568069,-0.6877693,-0.69090104,-0.14881231,0.39494056,0.2529763,0.5484167,0.84285325,0.55157334,-0.54141974,-0.9882755,-1.4306633,-2.04216,-1.471887,0.78984874,1.4145567,2.104366,2.0113182,-2.7395,-4.2820435,-5.5800757,-6.6039157,-7.3282876,-7.693113,-8.353794,-9.839455,-10.307884,-9.335853,-9.051894,-9.653967,-10.024992,-10.301943,-10.5331335,-10.984152,-11.663937,-12.214493,-12.831481,-13.557152,-13.648997,-13.808594,-14.043673,-14.205587,-13.825279,-13.203673,-13.040459,-12.626833,-12.451979,-12.074065,-12.036727,-12.116848,-12.005938,-11.820804,-11.655133,-11.505748,-11.69622,-11.88395,-12.178053,-12.471881,-12.755327,-13.052539,-13.336836,-13.18384,-12.925395,-12.826219,-13.4864,-14.776676,-16.095055,-15.61332,-13.363353,-11.126536,-9.970706,-9.509723,-8.702149,-8.246095,-7.3482256,-6.6818104,-6.284222,-6.0581956,-4.8231397,-1.7580303,-1.0628166,-0.85361767,-0.62942475,-0.3881154,-0.27105784,-0.2661569,-0.2661569,0.078561336,-0.07672979,0.43914002,0.1339495,-0.06714862,0.062856846,-0.113412894,0.089289844,-0.27717227,-0.46714595,-0.46714595,-0.12242305,-0.36954957,-1.1882882,-1.9228222,-2.5544112,-2.5524526,-2.014379,-1.9909856,-2.1984937,-2.1921904,-2.1958568,-1.7435851,-1.2383268,-1.0719829,-1.5469228,-2.5524526,-3.7540116,-4.7452507,-4.976991,-5.196346,-4.8934674,-4.5077367,-4.3730016,-4.1807647,-3.8157852,-3.6619282,-3.4822822,-3.4230447,-3.2247336,-3.1375172,-2.8954709,-2.6861105,-2.650333,-2.6917355,-2.743838,-2.6917355,-2.8500278,-2.7273076,-2.5681565,-2.748802,-3.0893528,-3.1573145,-3.352277,-3.3970103,-3.276441,-3.231401
2025-11-08 02:09:43+00:00,2025-11-08 00:00:00+00:00,-1.6015539,-2.4915242,-2.4679615,-3.2716324,-3.3977609,-3.2820432,-3.3309388,-3.4776266,-3.5754194,-3.3994837,-3.4370985,-3.3294024,-3.1191907,-2.52749,-2.5771432,-3.1233335,-3.868152,-4.9931827,-5.8325076,-5.990292,-5.9983172,-6.0083838,-7.5799527,-7.3797464,-7.3307652,-8.91685,-9.563603,-10.539476,-10.978652,-10.529191,-10.129598,-10.040577,-9.378955,-9.682047,-12.009952,-11.213292,-11.954671,-12.3861475,-13.212429,-12.993916,-12.421247,-12.511903,-12.360415,-12.684858,-12.887759,-12.861813,-12.99956,-12.635223,-12.619854,-9.1408615,-9.246506,-9.215729,-9.447917,-9.692207,-9.936503,-10.131947,-10.376253,-10.4168005,-10.563586,-10.661445,-10.8025055,-10.900496,-10.710374,-9.819576,-8.875051,-8.151549,-7.8167315,-7.745717,-7.5778966,-7.3518686,-6.8205595,-6.5563154,-5.2119727,-5.387103,-5.6946697,-5.6349416,-5.530102,-5.330219,-4.626706,-3.4864354,-1.3549293,-0.45417362,0.43184987,0.6931694,0.857426,0.3161231,-1.0016431,-1.1662962,-1.059261,-0.9525239,-0.67601705,-0.5129626,-0.42482004,-1.2681032,-2.1063254,-2.7348971,-3.1789014,-2.0711737,-0.8962013,-0.18695512,0.10674914,-0.3647026,-0.51515067,-0.4809851,-0.21091382,-0.509349,-1.1924627,-1.7815652,-2.2100134,-2.3722305,-2.2296607,-2.1921904,-2.3934934,-3.2350028,-4.646211,-5.581875,-6.139596,-6.3145356,-6.418886,-6.297812,-6.399709,-6.258624,-6.1320024,-6.103758,-5.9776645,-5.9701757,-6.160627,-6.1731205,-6.404333,-6.4696183,-6.571162,-6.5997586,-6.6502056,-6.741165,-6.680181,-6.6605673,-6.5864577,-6.7444205,-7.2156825,-7.4443254,-7.6343904,-7.5913267,-7.3093486,-7.0670524,-7.0897765,-7.116059,-6.8591723,-6.5397835,-6.0161967,-5.710751,-4.880975,-3.6663954,-2.4800298,-1.5384587,-1.0085797,-0.62635154,-0.42961624,-0.5481002,-1.0962564,-1.7924397,-1.2595601,-0.47918037,0.25599942,0.8153073,2.0624237,2.6608756,2.722511,2.765021
2025-11-09 02:31:26+00:00,2025-11-09 00:00:00+00:00,-8.980104,-8.128468,-8.4927225,-8.710565,-9.292708,-10.117484,-10.25955,-10.955861,-11.118,-11.109539,-11.409697,-12.325187,-11.470777,-12.223336,-12.271799,-12.899613,-13.044698,-12.870744,-12.135635,-11.569255,-11.273526,-11.169236,-11.30723,-11.2828455,-11.08867,-11.007036,-10.982891,-10.962071,-11.061228,-11.087923,-11.150515,-11.164427,-11.001408,-11.049052,-11.442957,-11.639206,-11.935812,-11.294674,-10.765663,-10.590942,-10.077797,-9.413393,-9.145363,-9.585166,-10.482993,-11.2757845,-13.16493,-14.574097,-13.249269,-5.193439,-5.257885,-5.355146,-5.4596915,-5.1870174,-4.952751,-3.7853508,-2.0203664,-0.05603493,0.5299024,1.053475,0.9644987,0.7663297,0.99161166,1.8636401,2.2530575,1.1922569,0.033177156,-0.6504158,-1.3698089,-1.5971972,-1.996515,-2.8870406,-3.0347776,-2.8625498,-2.9472623,-2.6666589,-2.5166395,-2.2296607,-1.9554259,-1.8367889,-1.6824888,-1.777965,-1.9703264,-2.1176043,-2.643639,-2.884126,-2.8846831,-2.0157409,-1.3959886,-0.5934969,-0.6755798,-0.5909581,-0.94503176,-1.2453855,-0.5832718,-1.0177683,-1.2710679,-1.4276828,-1.6594244,-1.9445333,-1.8970143,-2.0870948,-2.003115,-1.9900651,-1.8741447,-1.8823119,-1.853538,-1.8673985,-2.158205,-2.352082,-2.6155515,-2.2576208,-2.3171499,-1.8313987,-1.0630146,-0.69089943,-0.119245395,0.71991247,1.1998186,1.2916254,1.4117938,1.8943827,2.4100194,2.8594978,3.0299547,3.2628243,3.354743,3.4228182,3.429333,3.379811,3.4339926,3.3844087,3.315619,2.8078353,1.9553154,1.1891669,1.6309819,2.6633976,3.6181822,4.6136627,6.084557,7.095148,7.357879,7.5469365,7.6873927,8.018988,8.124524,8.572772,9.336465,10.279952,10.35771,9.082524,7.262264,5.540147,4.1431403,3.0712252,2.2122796,1.790585,1.7557094,1.4456906,0.039611008,-2.103776,-4.7394423,-5.939625,-6.7764993,-6.683286,-6.578891,-6.1460776
2025-11-10 02:21:16+00:00,2025-11-10 00:00:00+00:00,-8.401624,-8.56861,-8.616616,-8.807587,-9.7037525,-10.048982,-10.149116,-10.441886,-10.588272,-10.893025,-10.929853,-10.912455,-10.606947,-10.754313,-10.707233,-9.2844305,-8.057098,-7.8790174,-8.38411,-8.778589,-10.281897,-10.836326,-11.311061,-12.188997,-12.341134,-11.594253,-10.9594965,-10.624422,-9.074476,-6.4883566,-5.8628707,-5.22269,-2.1386068,-1.4123586,-0.6782542,-0.20025803,0.33027092,-0.35978827,-0.47072038,0.08912699,0.44908285,0.4777436,-0.36669222,-1.7850336,-1.872597,-2.1993454,-2.2797494,-1.974207,-1.6833702,-3.722088,-3.5886292,-4.0880094,-4.028145,-3.4861746,-3.0122209,-3.1309295,-3.2417424,-3.5142448,-3.271636,-3.1375172,-3.0376139,-2.8417726,-2.8500278,-2.6196568,-2.6824915,-2.780021,-2.951365,-3.0323482,-3.0242438,-3.3810594,-2.6838872,-3.1789014,-3.3715346,-3.4468074,-3.3478842,-3.6435454,-3.8475835,-3.9214044,-4.3382397,-4.4771976,-4.554561,-4.350565,-4.1736035,-3.965126,-3.5129457,-3.243187,-3.1477866,-2.619576,-2.2083435,-1.337786,-0.33366263,0.31206346,0.8006368,1.026545,1.6590158,1.3382734,1.4212682,1.6922231,1.6870688,1.8692178,2.0703323,2.2408705,2.2609391,2.271044,2.0270383,2.2226808,2.3612154,2.4917958,2.7134163,2.7228596,2.9282243,3.308121,3.4358819,3.245957,2.8486683,2.8196695,3.7808712,4.6750207,5.9733243,7.4072776,8.318465,8.888644,9.156426,9.413435,9.897184,10.523254,10.903522,11.174179,11.149409,11.247761,11.272666,10.977202,10.851657,10.921154,10.988752,10.328618,8.24868,5.434053,3.1331756,2.265379,1.877162,1.9012609,2.0758395,2.3121426,2.5410006,2.199192,1.775063,1.4431931,1.6839868,2.1734421,2.2139952,1.7048719,1.0021497,0.2841617,-0.08816725,-0.33081385,-0.47640544,-0.752743,-1.214288,-1.4481308,-1.4963716,-1.3592334,-1.3592334,-1.3516501,-1.298776,-1.1542876,-1.1542876,-1.0139775
2025-11-11 02:12:40+00:00,2025-11-11 00:00:00+00:00,-5.073445,-5.1915917,-5.5073624,-6.0212827,-6.2951593,-6.703167,-6.749191,-2.670158,-1.5694747,-0.42204654,-0.29781348,-0.20032698,-0.37773737,-0.7913932,-0.32469913,0.36592782,1.4369441,1.9238791,1.8871377,1.4025055,0.7450521,0.5804607,0.37684783,0.0093200905,-0.19744757,0.13210969,0.043384902,-0.4685034,-1.3214818,-0.5070956,0.3570813,0.16049302,-0.44264197,-0.91012204,-1.2956868,-1.246406,-1.3530717,-1.4515066,-1.246406,-0.099059954,1.0701276,1.8214474,2.6355407,1.8446062,2.0510716,0.13788925,0.3209946,-0.59955096,-0.4602788,-3.1174536,-4.1299634,-4.8199015,-5.238114,-5.202227,-5.340906,-4.9886208,-4.8666987,-4.6446424,-4.627088,-4.8635273,-5.05269,-5.412658,-5.3984213,-5.3110766,-5.314198,-4.963265,-4.0752234,-2.8306513,-2.1198187,-1.391572,-0.3292274,-0.8141567,-0.9426765,-0.794975,-0.3175552,0.4076877,1.053475,1.815197,2.4924092,2.820589,2.9976275,3.0587487,3.0686378,2.9204478,2.8216538,2.7228596,2.871051,3.0746264,2.5502546,1.8531494,1.075768,0.52584803,-0.19590403,0.43053752,0.6492222,-0.24562186,-0.6101476,-0.41174155,-0.5898588,-0.17889193,0.12528135,-0.26801115,-0.6343887,-0.90159726,-0.81252545,-0.6789211,-0.6253748,-0.8487573,-0.76142323,-0.76142323,-0.63872373,0.34993932,1.0715587,1.6521983,1.7451161,2.0887415,2.1531656,2.3088133,2.999182,3.1729362,3.0171764,3.028533,3.3568559,3.4721832,3.4879143,3.8361325,3.893984,3.856904,3.9638507,3.7629273,3.6160645,3.4407833,3.244505,3.1954348,3.0056748,3.0712252,3.0367584,2.6777894,2.1311898,1.8157487,1.7311239,1.822679,1.8621131,2.0858572,1.7130507,1.4293393,1.0480711,0.71443796,0.5412268,0.4117885,0.27855718,0.3376131,0.19411203,0.28330404,0.13031965,0.022574853,-0.025880689,-0.24806333,-0.43160313,-0.36607638,-0.17611544,-0.31120756,-0.64230806,-0.9084363,-0.62697834,-0.671793,-0.5038398,-0.53788435
2025-11-12 02:15:00+00:00,2025-11-12 00:00:00+00:00,0.24409823,-0.9881603,-2.4164038,-2.9065442,-2.9647977,-3.1130238,-3.2160614,-2.8001342,-3.1539874,-2.603275,-2.0815628,-1.8902354,-1.6889237,-1.8842049,-1.760231,-1.0642252,-0.002807641,-0.25417107,-1.7072955,-1.872597,-2.1283932,-2.1283932,-1.5121504,-2.0211887,-2.5846725,-2.5562027,-2.532145,-2.9533474,-3.2777333,-3.6159692,-3.7094,-3.702274,-2.8140311,-3.0181336,-2.6055794,-2.5698164,-2.5152643,-2.4338243,-2.4189363,-1.0316612,-0.45116678,1.2366914,1.8403468,2.54221,3.1786084,2.7370532,2.3148685,0.4777436,0.020832486,1.5685337,1.610139,1.7299949,1.8824961,1.9734901,2.037838,1.7348069,1.5915911,1.5118166,1.3205231,0.97094667,0.8754565,0.45526898,0.30793017,0.5240749,0.5386543,0.46344623,0.34549567,0.4399971,0.85684043,1.5104847,2.197022,1.3886763,1.2072561,1.039225,0.6303077,0.67574644,1.1244198,1.2209427,1.261072,1.7047018,2.4389143,2.2318857,2.0768735,2.5971804,2.8847976,3.7201343,4.1104155,4.4551497,4.703496,3.5524306,2.6016152,1.039225,0.30356386,0.49333844,0.9527733,0.55877995,0.31187552,-0.03153292,-0.8779106,-1.8633155,-3.0960782,-4.4974627,-5.4037437,-6.575854,-8.047951,-9.08749,-9.932391,-10.231337,-10.622108,-10.666719,-11.154721,-11.58164,-12.155329,-13.104732,-13.405994,-13.838596,-13.819592,-13.567633,-13.247559,-13.249717,-13.278071,-13.159363,-13.502099,-13.362938,-13.242972,-13.632026,-13.531601,-13.073727,-13.107247,-12.686698,-12.626833,-12.534046,-12.756612,-13.023723,-13.246344,-13.55874,-14.249313,-14.747612,-15.517346,-15.967781,-15.500224,-15.4577265,-15.174126,-14.581539,-14.478048,-14.181633,-13.845901,-13.499572,-13.413547,-13.219,-13.003737,-13.020169,-12.746548,-12.733328,-12.629159,-12.367052,-12.288034,-12.099967,-12.02868,-11.794574,-11.8909235,-12.200952,-12.712094,-12.620015,-12.533437,-11.966702,-11.936737,-11.537451
2025-11-13 02:32:02+00:00,2025-11-13 00:00:00+00:00,-3.3597882,-2.2695591,-2.0759714,-2.9437172,-3.7163444,-3.3693397,-4.0895762,-4.233433,-3.5702264,-3.348933,-3.8688045,-3.682576,-3.7807682,-3.8789613,-3.6664624,-1.246406,0.82438105,1.9138815,3.5900645,3.5394468,4.060218,4.15966,4.036711,1.9108562,0.9429143,0.66057706,0.6678661,1.0553863,0.4722363,-0.20815611,-0.5173174,-1.2982177,-1.7635437,-2.0552106,-2.7460854,-2.3955014,-2.7461524,-2.833038,-2.4700704,0.43751195,2.9137397,5.134969,5.9472413,4.65302,4.112186,4.1598043,3.7480707,2.9992797,2.1796594,0.03541176,-0.4029233,-0.35734695,-0.089287534,0.2691011,0.26007822,1.0304747,2.1177204,3.5355663,4.039117,5.6388535,6.6392007,6.2707133,2.6777894,0.5144775,-2.6889477,-4.519904,-5.5034857,-7.4621468,-8.978292,-9.233351,-9.828674,-10.654027,-10.582111,-10.733095,-10.89738,-10.934405,-11.015524,-10.910911,-11.052716,-10.664133,-10.561128,-10.74463,-11.065794,-11.393249,-11.239728,-11.682531,-11.853291,-12.129823,-13.073727,-14.131101,-14.091979,-14.458267,-14.124071,-14.040538,-13.331976,-13.844921,-13.578145,-13.492057,-13.661841,-13.773799,-13.722111,-13.640252,-13.381199,-13.300541,-13.036832,-13.186472,-13.077201,-13.141665,-13.126713,-13.306487,-13.351433,-13.958904,-14.345737,-14.625156,-14.826959,-15.112728,-14.6431675,-14.6431675,-14.61157,-14.756013,-15.040419,-14.919154,-14.786809,-14.279162,-13.913873,-13.6025915,-13.300541,-13.052054,-12.812145,-12.535338,-11.868044,-11.476177,-10.563532,-9.746396,-8.724943,-7.636204,-6.0583315,-4.456923,-3.3816211,-2.8724868,-2.6347952,-2.448852,-2.1923878,-1.9299476,-1.7271541,-1.8388544,-1.9088582,-2.0357957,-1.9868387,-1.761591,-1.7008407,-1.6911985,-1.8388544,-1.9792309,-2.4180067,-2.7603836,-3.1066933,-3.256934,-3.3816211,-3.3140528,-3.2255974,-3.4164178,-3.609897,-3.476284,-3.1805036,-2.7092514,-2.2429342,-1.8846408
2025-11-14 02:15:48+00:00,2025-11-14 00:00:00+00:00,2.0206213,1.7447071,1.7260026,1.4697856,1.1186485,0.9096031,0.03549891,-0.4198313,-0.54153407,-0.9566538,-1.3955753,-1.7283003,-1.8823794,-2.1257915,-1.8842049,1.3160099,2.671183,4.483243,6.530755,7.5307827,8.055202,7.2925425,5.7860136,4.734005,4.282427,3.4634056,3.4243314,2.9192767,2.4716847,2.688033,2.4249508,5.9757037,6.5842433,7.13769,6.964165,7.1862445,5.2498393,4.1582756,2.0599744,0.6693545,0.15301502,0.06471165,0.28918555,0.23833013,0.41488403,0.35247234,0.25914907,-0.98019314,-0.7951861,-5.648179,-6.0865617,-7.023553,-8.771016,-10.123899,-10.844211,-10.698075,-10.94734,-11.003793,-11.227038,-11.678726,-11.958653,-12.32113,-12.627572,-12.534046,-13.186432,-13.7163515,-14.303171,-14.197627,-14.416491,-14.374712,-13.249717,-13.1843405,-13.107247,-13.24354,-13.026164,-12.853885,-12.542554,-12.491997,-12.38476,-12.502155,-12.440389,-12.580373,-12.94417,-13.504705,-13.793757,-13.793757,-13.839224,-14.070697,-13.926031,-13.558056,-13.292433,-13.463924,-13.238986,-13.467481,-13.4585705,-12.712097,-12.491997,-12.430199,-11.982492,-11.451969,-11.217624,-10.902002,-10.6781025,-10.112806,-9.735448,-9.5287695,-9.332674,-9.263736,-9.358126,-9.049172,-8.954677,-9.224366,-9.668869,-10.11396,-10.755943,-11.261313,-11.368534,-11.618377,-11.527181,-11.3326435,-11.374724,-11.3173685,-11.324458,-11.415048,-11.143293,-10.910911,-10.504527,-10.056599,-9.705448,-9.158287,-9.053886,-8.726536,-8.59457,-8.329695,-7.9770513,-7.699452,-7.535308,-7.5451293,-6.8596244,-5.694066,-3.9950686,-2.6756067,-1.9077368,-1.3034102,-1.1073322,-1.0587978,-1.1760628,-1.0792857,-1.0587978,-0.85267586,-0.68168247,-0.34000805,-0.04163028,0.22857092,0.3175,0.27851385,0.28793365,0.43758947,0.7279996,0.87782806,1.0276566,1.0362105,1.0860956,1.1774846,1.0775992,1.0174999,0.7175,0.4175
