forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:31:50+00:00,2025-11-05 00:00:00+00:00,897.62103,898.1947,899.02985,900.3301,901.43976,901.56573,901.92206,903.25183,903.85004,904.6726,904.99207,904.84735,904.8503,905.1366,905.05536,906.51373,907.388,907.56616,907.51917,906.9058,906.3375,905.14557,904.0113,902.16473,900.0824,898.6445,897.0093,895.8854,895.17377,894.21936,892.86786,891.6668,890.3678,890.25073,889.78906,889.68756,889.87085,890.49084,890.06067,891.1281,893.0007,894.04,894.1979,894.5493,896.0908,896.00916,896.50903,896.3147,895.9355,892.72107,892.2702,892.96594,894.7112,893.906,893.705,893.8295,893.9913,894.1799,893.8788,893.685,893.81415,894.3252,895.1602,895.8577,896.39545,896.53235,896.4314,895.7907,895.08856,894.3787,894.00543,892.8503,892.20215,892.6907,891.93243,891.4826,890.50165,890.2244,889.5564,890.643,891.5479,893.11554,893.5748,893.577,893.8508,894.1445,894.8659,896.3592,897.0566,898.0755,899.79395,901.1891,902.6807,904.0809,905.65265,906.83496,908.44696,909.62103,910.43256,911.2165,912.0817,912.4137,912.4147,912.4582,912.8312,912.9847,913.0063,913.13763,912.9397,912.6542,913.22736,914.1633,914.6986,914.43463,913.8087,913.185,912.3727,911.5694,910.8206,910.1617,909.6776,909.51624,909.62994,909.6092,909.32367,908.97107,908.6185,908.22424,907.72095,907.23865,906.7144,906.32007,906.1138,906.4616,907.03204,907.4111,907.41,907.24615,906.891,906.1935,905.3368,904.45557,903.5156,902.4703,901.733,901.4488,901.39966,901.2516,900.6803,899.9704,899.2789,898.5672,897.7661,897.0526,896.4267,895.9965,895.7425,895.8556,896.1454,896.5014,896.91046,897.2564,897.3861,897.19,896.78094,896.51465,896.5824,896.6919
2025-11-06 02:20:56+00:00,2025-11-06 00:00:00+00:00,899.7016,898.8425,897.6338,895.8801,894.92316,894.0379,892.34875,891.3507,890.605,889.6496,888.92847,888.9454,890.0246,891.7183,892.1137,892.9735,894.18713,895.4233,896.13745,896.2263,896.75934,896.5961,896.4302,896.42786,896.1314,896.3872,896.064,896.10754,896.40424,896.7777,896.3936,895.6834,895.4017,895.4025,895.6482,895.7757,895.6184,895.1343,894.7304,895.48083,896.1433,896.5826,896.595,895.7993,895.1889,894.2706,893.80853,893.0706,892.2669,891.20514,890.798,890.4709,890.4514,890.0611,890.0848,890.9958,892.3155,893.3982,893.01044,893.21625,893.3805,894.29736,894.6786,895.4172,896.50476,896.6122,897.8048,899.14984,900.6295,902.3998,904.7632,905.6581,906.76495,908.179,909.3955,910.11707,911.0325,911.6331,912.1228,912.5658,912.9848,913.4471,913.7988,914.04016,914.2373,914.28033,914.78595,916.0153,916.61395,916.6302,916.4886,915.5762,915.1122,914.59076,914.1556,912.929,912.0756,912.1932,911.9691,911.9023,911.7476,911.3527,910.62714,909.96533,909.103,908.57117,907.7962,906.8235,906.11475,905.30096,904.7638,904.7711,904.18335,903.6482,902.99585,901.9481,900.7526,899.6251,898.5966,897.6149,896.76215,896.0087,895.37665,894.80084,894.3507,894.11523,893.8036,893.51874,893.2665,893.06506,892.89557,892.8647,893.0419,893.7175,894.68604,895.4545,895.80865,895.89276,895.794,895.39026,894.8058,894.3428,894.01196,893.69507,893.6021,893.7946,894.3008,894.6869,894.98413,895.3195,895.63556,895.9448,896.2344,896.4732,896.70056,896.8776,897.2199,897.7587,898.39294,899.0404,899.69366,900.3604,900.7,900.5787,900.14886,899.8731,900.00977,900.28516
2025-11-07 02:18:45+00:00,2025-11-07 00:00:00+00:00,894.4575,894.4875,893.45154,893.7339,893.5448,894.9686,897.26056,896.89,896.7862,895.84076,896.4926,896.2866,895.7461,894.81323,894.7441,896.0674,896.75354,896.72754,897.1271,897.714,897.13776,896.1651,895.1703,894.3967,893.588,893.17896,892.3761,892.83417,894.0768,895.04803,896.1276,895.8719,896.3512,896.73047,896.93524,896.9116,897.2446,897.9261,898.0825,899.1547,900.4898,901.0702,901.95416,902.44495,903.4243,903.59485,904.1565,904.58673,905.3669,907.28656,908.09894,909.16095,909.878,910.31134,910.62714,911.07745,911.1951,911.5081,911.8623,912.32513,912.34875,912.7881,913.3374,914.67084,915.24817,915.4635,915.56506,914.4867,914.1945,914.03235,913.51495,912.7363,911.75305,911.76215,911.11035,911.3028,911.47253,911.20355,910.8274,910.09875,909.0817,908.7474,907.3136,906.58417,905.25916,904.4159,903.7228,903.6044,902.7052,901.97784,901.1905,899.7396,898.5202,897.55255,896.4643,894.91406,893.8948,893.8304,893.27673,893.3068,892.804,892.3566,892.4121,892.39746,892.27795,892.3903,892.07355,892.3267,892.909,894.3861,894.59265,895.35315,895.63116,895.92926,896.04236,895.7457,895.23236,894.87604,894.63556,894.5562,894.6299,895.1087,895.8631,896.5471,897.1927,897.76807,898.3546,898.9135,899.4999,899.96484,900.3683,900.7414,901.1638,901.8322,902.638,903.2551,903.5633,903.65936,903.67365,903.39386,903.0177,902.66296,902.3941,902.0526,901.95844,902.12225,902.51886,902.72644,902.7264,902.628,902.46094,902.11664,901.7234,901.33044,901.0057,900.70123,900.6232,901.0364,901.6546,902.1307,902.3631,902.3411,902.1821,901.6468,900.9061,900.23065,899.65405,899.12946
2025-11-08 02:09:35+00:00,2025-11-08 00:00:00+00:00,892.0141,892.0915,891.0522,891.0335,890.8096,890.6742,892.1281,893.8508,894.0364,894.507,895.11224,895.4656,895.23413,895.8681,896.8233,898.4684,899.27954,899.87775,900.6963,901.6032,902.6244,904.0279,904.3015,905.06134,906.0178,906.9438,907.4682,908.5051,909.28253,909.79504,909.73254,909.9089,910.74817,911.1007,911.41125,911.9651,912.6278,913.31537,913.6045,914.1964,914.739,915.1547,915.6294,915.76276,915.96576,915.69574,915.2809,914.75104,913.78436,912.8438,912.48126,912.204,911.76935,911.5703,911.5471,911.34576,910.94885,910.5944,909.64557,908.9815,908.40466,907.9157,907.02454,906.96844,905.9549,904.98663,903.88696,902.1039,900.5855,899.2814,898.24524,896.5993,895.52203,894.83856,894.25037,894.0076,893.7572,893.4262,892.9544,892.6917,892.6487,892.49005,892.52783,892.7692,893.2063,893.80743,894.92017,895.66895,895.6709,895.8328,895.6422,895.1848,895.0833,894.7064,894.9319,895.1773,895.6241,896.9058,897.43915,897.70374,897.9013,898.289,898.5569,899.04004,899.5914,900.3387,900.83984,901.429,902.0864,902.5266,903.4194,904.61316,905.0073,905.103,904.8451,904.4954,903.94196,903.4612,902.95184,902.4358,902.15265,902.1947,902.48047,902.67737,902.5689,902.3713,902.1243,901.91705,901.6608,901.3644,900.96796,900.6191,900.4906,900.9079,901.54364,901.93054,902.03925,901.7867,901.448,900.78204,899.94183,899.14417,898.372,897.56537,896.93085,896.688,896.6317,896.52435,896.1644,895.6649,895.22174,894.94727,894.6579,894.45197,894.289,894.2987,894.24274,894.2659,894.43756,894.4373,894.371,894.2381,893.85706,893.29596,892.5239,891.76227,890.88855,889.8278
2025-11-09 02:31:19+00:00,2025-11-09 00:00:00+00:00,905.6003,905.87585,907.1927,907.9069,908.72107,908.9438,908.37317,909.19135,910.03046,910.16455,910.80634,910.923,911.7828,912.51196,913.06464,913.52313,913.9147,914.4572,914.92004,915.1245,915.722,915.69574,915.592,915.4353,914.3796,914.10876,913.71893,913.65674,913.10913,912.3621,911.4841,910.09973,909.53253,908.7657,907.6871,906.7411,905.92395,904.9112,903.65295,903.78784,904.55304,905.04956,905.0234,904.59644,904.46014,903.34045,901.96765,900.0516,898.7414,895.26874,894.5413,894.2943,894.1016,893.7386,893.11304,892.9734,892.6543,893.0595,892.5731,892.4822,892.4787,893.3072,894.3957,896.1085,896.12695,896.0229,896.2245,895.8357,895.6946,895.8174,895.9188,896.0014,895.9525,896.4379,896.63135,896.71204,896.9391,897.3623,897.8548,898.2391,898.26965,898.3582,898.5848,898.8502,899.35095,899.4416,900.10156,901.41547,901.75555,901.70087,901.3883,900.53467,899.8677,899.3534,899.3136,898.51337,898.2176,898.67957,898.4,898.1392,898.07434,897.624,897.1239,896.8541,896.58856,896.4925,895.8462,895.3187,895.2689,895.6383,895.9306,897.0131,897.17004,896.8764,896.4423,895.7668,894.8914,894.108,893.40204,892.6668,892.1331,891.8725,891.6732,891.4589,890.96356,890.2942,889.67615,889.0031,888.2747,887.5987,886.90155,886.21875,885.6462,885.2547,884.9737,884.75415,884.56006,884.22845,883.7408,882.689,881.4297,880.4209,879.7848,879.3421,879.0562,879.00134,879.10706,879.3872,879.9406,880.76184,881.6582,882.6672,883.77094,884.74457,885.5783,886.22644,886.98267,887.8563,888.6613,889.36835,889.8772,890.28503,890.52496,890.4206,890.2196,889.966,889.8207,889.70166
2025-11-10 02:21:06+00:00,2025-11-10 00:00:00+00:00,912.86743,912.8005,911.5768,910.50183,910.15247,910.6833,910.3337,909.8744,909.9149,908.33057,907.3651,906.4474,905.17267,904.53546,903.85046,904.4584,904.6141,904.2966,904.06665,903.79083,903.37964,902.7099,901.4215,899.55756,897.6906,897.07697,896.11487,895.3488,894.309,893.5819,893.07904,892.57605,892.8686,892.9686,893.3305,893.9141,895.0806,896.18933,896.6237,898.1895,899.7819,900.5063,901.2857,900.97595,901.268,900.9866,900.7354,900.3569,900.1015,897.86163,898.3632,898.53516,899.0963,899.5497,899.87524,900.28876,900.4758,900.8005,900.71216,900.7301,900.80566,900.69464,901.6735,902.6942,902.7159,902.27344,902.0981,901.39215,900.78204,899.98926,899.1534,898.24963,898.17096,898.148,897.9832,897.5004,897.5337,897.67993,897.27454,897.0088,896.74927,896.4834,895.9269,895.3195,894.856,894.92554,895.10974,895.94946,896.1085,895.7413,894.87823,894.0214,893.3042,892.857,892.4713,891.2635,890.3426,890.83545,890.69196,890.54803,890.0063,889.46704,888.7867,888.3765,888.17676,887.7664,887.01556,886.80566,886.22784,885.5747,885.65717,885.20636,884.8412,884.51324,883.9377,882.9863,881.8618,880.88556,880.0955,879.42926,878.84424,878.20233,877.63055,876.9681,876.0749,875.26917,874.9174,875.5174,876.74615,877.7938,878.5527,879.17096,879.89636,880.85535,882.0286,883.08734,884.0743,885.0293,885.7524,885.95465,885.9513,886.03973,886.3194,886.599,886.9532,887.5025,888.0615,888.5809,888.9519,889.1942,889.3876,889.53217,889.5402,889.7245,890.0651,890.4933,890.9619,891.5591,892.30536,892.8604,893.25494,893.47076,893.6495,893.6178,893.48615,893.5443,894.01056,894.553
2025-11-11 02:12:33+00:00,2025-11-11 00:00:00+00:00,893.88007,893.3225,893.0487,892.5342,891.7721,892.638,892.92267,893.1034,893.81915,893.2919,893.3855,894.03625,894.507,894.98944,895.50037,898.28296,900.1201,900.6365,901.01953,901.06836,901.46704,901.2159,900.8687,900.18774,899.62573,899.83417,899.535,899.1156,899.0662,898.975,899.0299,899.12665,899.3196,899.0025,898.90967,899.0257,898.8693,898.9501,897.84717,899.26324,901.02856,901.7161,901.1974,900.3731,900.31915,900.05804,899.47034,897.76556,896.27875,898.79987,898.88116,898.8859,898.8476,898.7401,898.2939,898.12305,897.8298,897.9654,897.7388,897.3678,897.02765,897.15594,897.7144,899.14154,899.49335,899.22766,898.7655,897.8655,897.2616,896.70953,896.37244,895.30023,895.0545,895.2645,895.535,895.5305,895.6006,895.1107,894.6437,894.4802,893.938,893.5835,893.4026,893.038,892.7239,892.6594,892.76697,893.29565,893.11456,892.68945,892.27435,891.58167,891.3706,890.8871,890.7597,890.0572,889.82684,890.0917,889.8034,889.4612,889.06995,888.99506,888.8621,888.3972,887.89233,887.8371,887.5959,887.82214,887.6007,887.5268,887.7701,888.7329,888.58954,888.82166,888.87946,888.7582,888.67163,888.67163,888.87946,889.162,889.5623,889.9685,890.4846,890.87823,891.02405,891.02997,891.01624,891.1211,891.22473,891.258,891.24084,891.0657,891.24243,891.79083,892.58234,893.15234,893.43396,893.58936,893.50977,893.1122,892.6187,892.1541,891.8911,891.77435,891.725,891.7199,891.7383,891.7746,891.7406,891.65576,891.46277,891.05316,890.64307,890.25146,890.0753,890.026,890.0947,890.4975,891.10547,891.62274,891.7864,891.9152,891.77435,891.4736,891.0039,890.7009,890.486,890.4281
2025-11-12 02:14:52+00:00,2025-11-12 00:00:00+00:00,898.56995,899.6205,899.59174,898.79425,898.61304,898.2806,898.09296,898.23944,899.01263,899.443,899.35974,899.15894,899.11884,899.5043,899.4238,900.7839,901.8119,902.74756,902.9249,902.8435,903.0719,902.83215,902.26263,900.98224,899.3995,898.70184,898.05225,897.90106,897.5411,897.24744,896.3927,895.7543,895.6762,895.5966,895.3508,895.2991,894.9647,895.06415,894.99713,895.94696,897.2194,898.213,898.8242,899.2223,899.61383,899.2577,898.9916,898.12823,897.255,894.814,894.9665,894.9406,894.91833,894.7367,894.54065,894.30316,894.2987,894.1541,893.72473,893.29034,892.93085,892.52,892.8382,892.8766,892.79517,892.7593,892.19934,891.4605,891.0209,890.7469,890.68805,890.7805,890.73505,891.15967,890.76404,890.5449,890.25354,890.2763,890.39044,890.35455,890.82043,891.759,892.898,893.23663,893.7362,894.21045,894.90155,895.9688,895.8759,896.38434,895.7966,894.8741,894.35187,893.911,893.9631,893.299,893.29865,893.2949,893.453,893.8127,893.91327,893.5712,893.564,893.6643,893.4639,893.3755,893.11005,893.468,893.71014,893.47095,893.41394,893.8511,894.0603,893.9345,893.4473,892.78784,891.8174,891.1594,890.9,890.9293,891.00806,891.2831,891.68115,892.0444,892.148,892.2394,892.3603,892.4512,892.657,892.8704,893.23267,893.67426,894.2611,895.12445,896.12524,897.10046,898.0848,899.0498,899.79626,900.1552,900.22864,900.4456,900.8337,901.2286,901.70374,902.2059,902.6131,902.95917,903.0748,903.0203,902.9862,902.92487,902.687,902.57825,902.3816,902.22534,902.1309,902.18567,902.23285,902.224,902.03125,901.5963,901.0732,900.31836,899.3552,898.64124,898.362,898.2437
2025-11-13 02:31:55+00:00,2025-11-13 00:00:00+00:00,899.7539,898.75653,898.0945,896.83105,897.502,897.1796,896.57086,896.3641,896.4032,896.50183,896.3256,896.13885,895.7163,895.982,896.0608,897.34235,898.6832,899.5225,900.28064,900.41406,900.3789,899.88,899.2407,898.00134,896.70514,896.2493,895.64526,895.1848,894.4251,894.0067,893.5305,893.0227,892.6687,892.41473,892.5802,892.6262,892.107,892.191,892.222,893.0963,894.64404,895.6804,896.21674,896.5163,896.63837,896.2108,895.9648,894.8095,894.2603,891.29694,891.4443,891.1398,891.03186,891.03186,890.4017,890.8475,890.979,891.4064,892.3045,893.3649,894.34503,895.0141,895.82245,896.6339,897.50726,898.09753,897.7616,897.5378,897.4442,896.51904,896.7418,896.6612,896.53503,896.3726,896.8953,897.2901,897.2146,897.32306,897.21454,897.18445,897.45953,897.4687,897.0953,896.7926,896.40924,896.5268,896.41876,896.62335,896.0879,896.0141,895.26733,894.0372,893.0593,892.3529,892.0649,891.4757,891.478,891.7451,892.1941,892.09753,892.375,892.41785,892.7447,892.74805,892.7724,893.1679,893.14764,893.28973,893.4151,894.0755,894.80145,895.55316,896.16797,896.782,896.41205,896.43463,896.34814,896.31,896.4774,896.8018,897.0669,897.3122,897.51807,897.6448,897.6515,897.6851,897.62067,897.5679,897.48724,897.351,897.1793,897.01874,897.0133,897.13245,897.4084,897.61676,897.734,897.66254,897.6229,897.4563,897.13605,896.9774,897.00775,897.1914,897.4622,897.8016,898.2359,898.63916,899.18896,899.70905,900.1207,900.3154,900.3128,900.4181,900.551,900.59454,900.9275,901.6107,902.493,903.09845,903.3941,903.4057,903.166,902.5848,901.8504,901.2807,901.2239,901.32697
2025-11-14 02:15:39+00:00,2025-11-14 00:00:00+00:00,894.9861,894.71234,893.8555,893.2199,892.3628,892.24347,891.2945,891.307,891.6171,891.89526,891.40784,890.9062,890.856,891.1287,890.68616,892.07294,893.4406,894.6689,895.1847,894.87823,895.0503,894.44653,893.5434,892.65906,892.8999,893.40875,893.51807,893.3881,894.06464,894.6778,895.289,894.71844,895.05707,895.5133,896.0579,896.02014,896.70544,896.9996,897.052,898.191,899.3614,899.64746,899.97327,899.526,899.19855,898.52997,898.1768,897.019,895.993,895.19916,895.40125,895.4805,896.0155,896.0267,896.03815,895.9911,895.7862,895.7193,895.5139,895.60345,895.6433,896.12445,896.3205,896.5947,896.60425,896.6793,896.097,895.50275,894.32635,893.94257,893.4764,893.39343,893.38727,893.57965,893.32556,893.24274,893.3915,893.7257,893.63873,893.6199,893.3836,893.35187,893.0536,893.2984,894.40936,895.3607,896.0672,896.56134,896.2339,896.634,896.51117,896.2666,896.41547,896.23895,896.8164,897.17645,897.48883,897.7334,898.3305,898.22205,898.47327,898.50665,898.53375,898.4866,898.63574,898.52045,898.5139,898.45935,898.34375,898.1814,898.19476,898.7099,898.9172,898.9249,898.7226,898.29193,897.6734,897.22076,897.1585,897.2798,897.4998,897.7646,897.9335,898.0822,897.9335,897.5679,897.3989,897.48724,897.6839,897.70404,897.4191,896.93756,896.6527,896.72076,897.00574,897.15436,896.9826,896.6054,896.187,895.6198,894.94366,894.43335,894.22626,894.1356,894.0845,893.9962,893.8595,893.7428,893.62573,893.4204,893.10657,892.5569,891.96735,891.41766,891.1724,890.967,890.9184,890.9184,891.0067,891.06586,891.1747,891.1845,891.22296,890.9862,890.6908,890.6714,890.97723,891.5381
