forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:27+00:00,2025-11-05 00:00:00+00:00,5.9004393,4.5263157,3.634242,3.6502512,3.042181,3.123482,3.6262882,3.461431,2.9389646,2.878445,2.717837,2.7004116,2.6316736,5.001659,7.6431026,8.364756,8.757422,8.687536,8.0989,8.107336,7.4577546,4.657124,4.9006352,5.2443624,5.7581506,5.7752166,5.6098604,5.8047047,5.4217505,5.0866446,4.9215856,4.4783554,4.545097,5.3943424,6.0041323,6.4959702,6.3971934,5.7363267,5.555523,6.429615,5.9057703,5.1377826,3.420519,1.8858128,0.535982,-0.019109745,-0.27244952,-2.0007522,-2.7050657,8.991971,9.378712,9.439099,9.193863,8.850524,8.752824,8.62658,8.331067,8.169169,7.9364758,7.8599615,7.86832,8.514856,9.042969,9.127265,9.138749,9.841577,10.474664,10.474664,10.552423,10.621853,11.008519,10.581583,10.392796,10.29673,10.952943,13.404564,14.413361,14.895411,15.056463,15.37423,15.315816,15.224412,14.774955,14.218487,13.769576,13.960485,14.3041115,14.408021,13.881246,12.728829,11.498232,10.090867,8.959667,9.2864485,9.829442,8.278508,7.68135,7.4036956,7.461261,7.3389397,7.4456673,7.486825,7.650836,7.617886,7.352804,7.231812,7.059093,6.7152267,5.8341417,5.26131,3.12599,2.1822767,1.9501109,1.5840969,1.2575732,0.19978589,-1.484034,-2.6492846,-3.540401,-3.965314,-4.576441,-5.008794,-5.621284,-6.0608535,-6.816345,-7.357835,-8.02033,-8.540935,-8.711345,-8.886095,-8.717314,-8.597494,-8.501209,-8.64857,-9.285775,-10.225455,-10.476239,-10.721212,-10.613997,-10.700644,-11.158023,-10.48399,-9.231102,-8.401355,-8.235057,-8.41475,-8.339378,-8.449399,-8.658445,-8.616507,-8.743579,-8.827116,-8.623392,-8.621648,-8.675602,-8.741926,-8.490955,-7.9360704,-7.3967166,-7.167165,-6.7422023,-6.384199,-6.0650544,-5.8834815,-6.0621815,-5.4856744,-4.6638308,-4.325734
2025-11-06 02:21:51+00:00,2025-11-06 00:00:00+00:00,7.1021132,5.6723275,5.195475,4.642783,4.3657274,4.26786,3.659269,3.7859833,3.4880877,5.5987015,6.81937,6.5964823,6.0470066,5.7035847,5.639954,6.3003983,5.9951644,4.475261,1.520571,-1.0285876,-1.2050006,-1.3318087,-2.0908465,-3.4891777,-3.8085287,-5.08425,-6.022383,-2.74935,4.0094476,4.036062,3.0377817,2.5685565,1.8220315,2.5439067,3.8735087,4.357021,4.270603,5.7581625,8.0198555,9.128895,9.79743,11.10162,11.864003,12.355536,12.686763,12.580886,11.438153,11.258979,11.751213,9.957969,9.817297,12.474091,13.823432,14.3041115,14.209572,14.617516,14.368121,14.12574,14.2755575,14.774955,14.774955,14.907012,15.146707,15.427318,15.53881,15.402969,14.966536,14.332165,14.163802,14.379426,15.003211,14.257869,14.045012,13.988579,13.69157,13.576244,13.377723,13.291787,13.352996,13.203729,13.263039,13.163403,13.320665,12.565585,10.705447,6.9679728,5.3358216,4.8723116,4.451296,3.722955,3.2279468,2.7228973,1.5532106,0.79480004,0.18262027,-0.17837857,-1.4945619,-2.285491,-1.8841842,-2.6445508,-4.1854215,-5.9871073,-7.107019,-7.9522495,-9.071054,-9.42191,-9.327837,-8.909911,-8.718906,-8.601067,-10.213778,-11.719904,-12.343998,-12.700241,-11.866333,-11.837505,-12.129134,-11.734699,-11.190081,-10.850223,-10.765147,-10.851507,-11.077706,-11.216417,-11.13451,-11.022738,-11.043621,-11.0686035,-11.002848,-11.144925,-11.320178,-11.254815,-11.177837,-10.892353,-10.594615,-10.734042,-10.39791,-10.068232,-9.735673,-9.227984,-9.044508,-8.257852,-7.3213897,-6.9378114,-7.070975,-7.198798,-7.291522,-7.38425,-7.2570143,-7.3874903,-7.289662,-7.2474904,-7.225167,-7.2706122,-7.3940263,-7.2555704,-6.924342,-6.056891,-5.0748153,-3.8510683,-1.9557507,0.22537911,2.3232403,4.1686616,5.4691424,6.7871146,7.586154,7.819506
2025-11-07 02:19:35+00:00,2025-11-07 00:00:00+00:00,-0.78876007,-1.3714553,-1.8197896,-1.1706523,4.0317917,6.211324,5.8210897,3.5830157,2.0101442,3.9028037,5.307287,4.967291,4.9416385,6.366757,9.145911,8.710833,9.949603,11.451262,12.410698,12.269756,12.285623,11.736889,11.122849,11.500085,12.054577,12.290687,12.994591,13.248469,13.366066,14.409191,14.062234,13.879978,13.794685,13.446833,12.192532,11.038591,11.434974,11.131946,11.833547,12.892839,13.074916,11.721065,9.005008,7.2825236,7.0138874,7.22447,8.313508,7.4321847,6.6783824,13.033855,13.411931,13.312797,13.328093,13.242096,13.512127,13.462309,13.520182,13.520182,13.570061,13.570061,13.220907,13.570061,13.157128,11.079315,8.909503,8.122633,7.379377,6.7672133,6.486587,5.315184,4.250599,4.339824,3.9594944,3.4182334,2.3731158,1.6998048,1.8037044,0.30341592,-0.32246512,0.11162319,-1.3339351,-1.7810409,-2.711602,-4.079847,-5.6557393,-6.436057,-7.7692857,-8.301861,-8.42273,-8.759799,-9.467577,-9.841207,-10.1559,-9.758879,-9.028904,-9.035325,-8.9610405,-9.073613,-9.067145,-9.211706,-9.50234,-9.76988,-9.886974,-10.123272,-10.150483,-10.1341505,-10.323894,-10.263987,-10.359028,-10.196428,-10.4235935,-10.353487,-10.325154,-9.6533,-8.95313,-8.170963,-6.9151506,-6.3188643,-6.0624886,-6.2463875,-6.606502,-6.609536,-6.549806,-6.418926,-6.500923,-6.4480147,-6.494767,-6.30776,-6.2676544,-6.0344024,-5.980521,-5.9781027,-5.793541,-5.2522345,-4.4545093,-3.6193252,-2.0910778,0.044593144,2.0507782,3.634089,5.040361,6.2118635,7.088309,7.106806,6.9608474,6.78637,6.7604184,6.7196937,6.6769834,6.682023,6.5826216,6.433516,6.486223,6.3369355,6.0888906,5.7886434,5.789544,6.601313,7.744685,8.365367,8.092947,6.833789,5.4778843,4.3544245,3.0119195,2.3407505,1.8194002,1.3208796
2025-11-08 02:10:20+00:00,2025-11-08 00:00:00+00:00,13.825389,13.6331835,14.330867,15.242872,16.044783,15.677496,15.6665945,14.922181,14.97181,13.77663,12.202253,11.650776,11.057479,12.10509,14.028865,14.738589,13.428523,12.023904,12.305095,12.876624,13.626577,13.966827,14.631269,12.976458,11.954223,12.416474,12.436486,12.938858,12.565717,11.651896,12.261927,11.63168,12.194618,13.297753,12.491254,8.471807,5.1759615,5.233933,4.8273787,3.7529075,3.48099,3.1032188,3.0555596,2.6698823,1.850243,1.0683523,0.47755218,0.1868353,-0.020712636,0.2985719,0.20711282,-0.37073687,-1.4816155,-3.9720047,-5.418269,-6.3642874,-7.695037,-8.402247,-8.682929,-8.819086,-8.875496,-9.123632,-10.920867,-11.266938,-11.42765,-11.550393,-12.217402,-11.954094,-11.70228,-12.262279,-12.07698,-12.354208,-11.992898,-12.02419,-11.730386,-11.556726,-11.61715,-11.587898,-11.729199,-11.870507,-11.798625,-11.777744,-11.919587,-11.919587,-11.713282,-11.594612,-11.519221,-11.561959,-10.929737,-10.237154,-9.696957,-9.126994,-8.518547,-7.203822,-6.732362,-6.592686,-6.938677,-7.1104136,-7.0624537,-6.7618213,-6.7862377,-6.8929815,-6.774977,-6.6523085,-6.3719625,-6.464019,-6.194304,-6.021917,-5.4414287,-4.588599,-3.0924993,-1.1441293,1.5607563,4.6860948,6.6004057,7.627173,8.261142,8.596259,9.005185,8.870122,8.416089,8.008688,7.6120806,7.265044,6.7196937,6.1743336,5.6785426,5.027338,4.4253263,3.822908,3.2383351,2.6998727,2.2827282,2.0794384,1.5147876,0.6496725,-0.40273243,-1.8413303,-2.9819562,-2.9874132,-2.0722558,-1.4708437,-1.0537708,-1.3595061,-1.6988624,-1.8052678,-1.8506312,-1.8536197,-2.0496466,-1.9830167,-2.0978026,-2.1217859,-2.101945,-2.0856175,-2.359354,-2.440285,-2.4549048,-2.0024793,-1.501639,-1.534538,-1.7751572,-1.441656,-1.3380833,-0.4346236,0.5055735,0.91934556,0.71743786,0.39506093
2025-11-09 02:31:56+00:00,2025-11-09 00:00:00+00:00,11.521958,9.920174,10.69964,9.186852,8.418781,8.408873,8.214366,8.471807,8.735081,8.484736,8.287726,9.014606,9.508421,11.150243,12.441814,11.946125,9.900061,7.1520095,5.940405,5.1281962,3.8735087,2.8617914,3.2043912,3.2444758,2.1825976,1.8419728,1.501336,1.014689,0.58191526,-0.8633286,-1.9135343,-2.8993924,-4.025881,-4.5299377,-4.5782757,-6.763893,-8.251281,-7.550416,-7.550416,-8.643505,-4.868308,-9.558479,-8.369212,-6.1024017,-5.110891,-4.7895947,-3.3544087,-5.3751698,-5.1931477,-5.7183204,-6.7336407,-7.7363906,-7.856549,-7.8718233,-7.915043,-7.8225484,-8.134821,-8.839103,-9.560433,-9.933115,-10.07735,-9.883836,-10.690914,-11.227894,-11.0627165,-10.41316,-9.915255,-9.747588,-9.73432,-8.387774,-7.8541417,-7.969159,-8.150578,-8.468092,-8.324986,-8.127038,-7.7332253,-7.872022,-7.710693,-7.555995,-7.3796477,-7.094018,-7.167165,-6.92247,-6.655677,-5.808269,-4.2112427,-2.091338,0.8030369,3.3892722,6.072425,7.037166,7.363146,8.26694,8.661572,8.581832,8.366707,8.097287,8.206989,8.084822,7.9716325,7.7087545,7.5607924,7.5607924,7.7740936,7.477781,6.947474,6.611874,6.5128436,6.934532,7.624989,7.9726596,8.041874,7.3005056,6.4935274,6.372718,6.165287,6.2060037,6.180281,5.7126946,5.0960507,4.8332467,4.399472,4.2561655,3.9644163,3.854789,3.6499202,3.5391257,3.4741817,3.4065676,3.2635615,2.9432614,2.9942818,3.5292091,3.8620927,4.101968,3.9857054,3.9907312,3.8703547,4.4923253,5.6573544,6.497271,6.8045683,6.273645,6.011132,5.841804,5.681857,5.827035,5.9112344,6.2307687,6.3817625,6.5221195,6.564182,6.7381325,6.8352094,6.9608474,7.3047066,8.138568,9.073102,9.870358,10.631614,11.345787,11.69188,11.779423,11.877487,11.5980835,11.374718,11.0649395
2025-11-10 02:22:00+00:00,2025-11-10 00:00:00+00:00,1.2696784,0.69439197,-0.66112363,-0.802218,-1.4123086,-1.8164557,-2.9961936,-2.3470356,-2.224382,-3.4182634,-4.1432486,-3.2939343,-6.4303393,-5.9830203,-7.330717,-7.0280313,-7.2654715,-8.643505,-8.219453,-6.58523,-6.763457,-4.7895947,-5.265644,-5.6019316,-5.5113354,-5.0966134,-4.6115947,-5.794105,-6.320459,-5.9830203,-5.890194,-6.270167,-5.890194,-6.0343304,-6.5096273,-6.4627156,-7.038405,-6.270167,-7.251508,-6.8632016,-6.6833014,-6.4584956,-6.4505086,-7.2301416,-8.736543,-9.386151,-9.756167,-9.625715,-9.606702,-8.3018875,-8.37059,-8.070832,-8.075481,-8.210192,-7.914596,-7.7322216,-7.7322216,-7.3853154,-7.1521044,-6.781573,-6.500923,-5.793541,-4.6350937,-2.1404424,0.25631818,2.6563647,5.017778,5.9433403,6.128419,7.299458,7.547005,7.3733053,7.2648664,6.78637,6.3540535,6.017684,5.572033,5.3314843,4.885259,4.538192,4.191119,3.690309,3.3931816,2.8921177,2.3410144,2.7355795,2.9993174,2.234432,0.6355995,-0.4346236,-1.1594638,-1.0831803,-0.95138466,-0.54171634,0.43817577,-0.9460357,-1.5863596,-1.700684,-1.7203164,-1.7668039,-1.6711742,-1.570853,-1.6177349,-1.615739,-1.4770507,-1.5241199,-1.7780807,-2.0616193,-2.2401097,-1.5890661,-1.131458,-1.3694222,-1.5563519,-1.0187503,1.0682986,2.9937382,5.32684,6.7150826,7.037166,6.6691384,6.1340256,5.98274,6.090441,6.043381,6.0372167,5.971412,5.861362,5.7484555,5.730465,5.602104,5.495736,5.462981,5.575583,5.8247037,6.432417,6.798355,7.533841,7.9786167,8.599545,8.821647,9.233615,9.519621,9.803787,9.66614,9.178663,8.897724,8.655348,8.462172,8.358488,8.116454,7.9499044,7.695059,7.050711,6.9078283,6.8081875,6.902316,7.4759216,8.395261,9.58986,10.642622,11.12785,11.516133,11.952025,12.616672,13.473832,13.255603,11.760746,9.333983
2025-11-11 02:13:10+00:00,2025-11-11 00:00:00+00:00,-5.9350524,-6.0307174,-5.743187,-5.222629,-4.4816008,-4.272214,-5.599292,-6.885574,-6.230632,-5.2707458,-5.318863,-4.951813,-4.951813,-5.078281,-5.2392645,-5.4742775,-5.2230783,-4.6762633,-5.3080196,-5.4937563,-6.9503417,-8.165076,-6.6976166,-7.2708745,-7.1507306,-7.7101355,-7.984407,-8.091511,-8.644105,-8.825575,-8.751291,-8.887767,-8.638752,-8.487312,-8.019375,-7.6192613,-6.925478,-5.411507,-2.9047925,0.11187264,2.6985173,4.014339,4.0925617,4.0826745,4.055838,4.055838,3.954316,3.0262945,2.9805694,5.407893,5.030812,4.6859713,4.453332,4.267455,3.872303,3.7823806,3.4361715,3.188876,2.9415781,2.5880039,2.3410144,3.0463245,3.6285374,3.7802982,3.5615242,2.7046626,1.8969895,1.2155558,1.3797946,2.6757236,2.6776116,1.1816467,1.1079562,1.0090271,0.80950546,0.51036465,0.3961753,0.2061874,-0.007718802,-0.29324204,-0.57878184,-0.67396516,-0.7691514,-0.8935088,-0.8935088,-0.105975494,0.72287166,2.0057971,3.7644477,4.724212,6.106077,7.9071474,9.4277935,9.884667,10.503343,10.007547,10.153522,10.026655,9.914347,9.568232,9.533105,9.434086,9.446344,9.407071,9.357435,9.407071,10.09079,10.374755,10.572785,10.853775,11.449857,11.807338,12.261098,12.477635,12.68146,12.704188,12.357749,12.336905,12.301365,12.072629,11.786658,11.626817,11.532182,11.358082,11.131994,11.002105,10.919335,10.883931,10.685647,10.536935,10.3005085,10.0615835,10.041217,10.39908,10.7851,11.080787,11.20655,11.468351,11.551575,11.455341,11.213852,11.227819,11.182866,11.014125,10.73955,10.66359,10.742858,10.6457815,10.470475,10.104068,9.907078,9.660836,9.582824,9.385563,9.206207,9.236047,9.370449,9.733376,10.254898,10.704135,11.209539,11.511954,11.9364805,12.170525,12.405055,12.535835,12.429995,11.92523
2025-11-12 02:15:33+00:00,2025-11-12 00:00:00+00:00,-9.595138,-10.371708,-11.203009,-9.993822,-9.400607,-9.668122,-9.89108,-9.855983,-10.169146,-9.965661,-9.545779,-9.268224,-8.7348385,-7.4988027,-4.791176,-2.3919542,0.32973933,1.5862521,2.0741014,2.3830547,2.201422,1.9797988,1.7598203,0.59550613,0.40379196,0.61002976,0.45632535,0.45511675,0.2118194,0.08936634,-0.43219572,-0.9538168,-1.1917979,-1.4599639,-1.8414509,-2.019206,-2.1530995,-0.9910202,2.7180934,3.2723732,1.1906651,-0.01592116,-0.24336283,-0.5339655,-0.09730411,0.4765802,-0.27102587,-2.013659,-4.2112894,-0.08079484,-0.3006093,-0.35197294,-0.32621992,-0.39046797,-0.4853035,-0.58014005,-0.6749791,-0.81724113,-1.0069312,-1.2440548,-1.4811909,-0.5628665,-0.093666695,0.2710872,0.9011524,2.1617372,3.97355,5.9361706,7.373631,8.690347,8.041874,7.704831,7.966926,8.092947,8.709579,8.897774,9.149706,9.537191,9.446344,9.506343,9.555979,9.456708,9.564608,9.46521,9.415513,10.052333,10.89476,11.542159,11.81064,11.968423,12.123044,12.057554,11.686829,12.233314,12.064033,11.897919,11.80234,11.529058,11.22442,11.078788,10.979838,10.674393,10.487505,10.448192,10.375834,10.277477,10.055295,10.104408,10.080754,10.144687,10.7851,11.157593,11.874157,12.421624,12.756587,13.269121,13.587548,13.908785,14.150449,13.935986,13.65138,13.603374,13.794527,13.794527,13.837168,13.82847,13.866198,13.852552,13.65643,13.50934,13.313211,13.166113,13.131781,13.209576,13.356154,13.387161,13.38981,13.438931,13.179039,13.121687,13.214234,13.3649845,13.438931,13.287447,12.906615,12.75972,12.526837,12.435594,12.338685,12.188194,12.188194,12.290231,12.583888,12.909605,13.149062,13.543066,13.788721,14.198843,14.795898,14.97858,14.569399,13.500401,12.170048,11.398717,10.876121,10.022499,9.053023,7.772524
2025-11-13 02:32:32+00:00,2025-11-13 00:00:00+00:00,-1.2569815,-2.8077037,-2.23667,-2.411981,-1.9262226,-1.5652274,-1.659682,-1.619502,-1.5723404,-1.6779022,-2.0246813,-2.6703458,-3.0484805,-2.3767278,0.63688916,1.275184,0.8616248,0.8269617,0.077671446,0.20689176,1.4015095,2.024128,1.4460355,0.09521462,-0.08277762,-1.338602,-1.2114886,-1.1104592,-1.2100842,-1.5252037,-1.6101013,-1.9389545,-2.362297,-2.8354056,-2.8312423,-3.1595395,-3.1136608,-2.554132,0.17460467,1.6767071,1.1374933,0.54690784,0.94742864,0.8451336,0.3281924,0.7890687,0.38116646,-0.6691144,-1.285102,3.6055183,3.4012978,3.2450626,3.4433856,3.4659681,3.6285052,3.5328968,3.7531521,3.9069579,3.9137404,4.15961,4.4437804,5.2215366,6.3484416,7.803724,9.220525,10.130933,10.925306,11.18141,11.506264,11.859645,11.54186,11.407286,11.41669,11.24017,11.047572,11.01165,10.933702,10.858914,10.928257,10.812334,10.830314,10.712422,10.517095,10.419431,10.38183,10.493706,10.594156,10.854963,11.733938,12.430712,12.9619,12.955454,13.117731,13.356154,13.165315,13.0560665,13.131781,13.019017,12.78544,11.384451,8.506469,6.030849,4.7756763,3.9197397,2.938195,2.1875024,1.5908351,0.85550535,0.61541736,1.3591498,2.2370548,2.8898883,3.7010672,4.3521957,5.666723,7.2057195,8.935106,10.25993,10.935996,10.974722,11.064332,11.49652,12.136944,12.706165,13.21322,13.452508,13.850554,14.099332,14.348106,14.547124,14.534109,14.683185,14.717711,14.849322,15.196266,15.473565,15.772879,15.932108,16.24215,16.389425,16.423714,16.584225,16.588383,16.43533,16.32298,15.975155,15.67701,15.378864,15.094427,14.807377,14.667395,14.817032,14.956826,15.056463,14.558294,14.0189705,13.512127,13.328093,13.353827,13.3454685,13.11208,12.913834,12.500991,12.23943,12.018214,11.970837,11.940006,11.686836
2025-11-14 02:16:23+00:00,2025-11-14 00:00:00+00:00,-0.28738055,-1.3843168,-1.9616098,-2.3649569,-3.0161593,-3.3303082,-3.1971796,-2.9941237,-3.2261455,-3.458184,-3.7830667,-4.6295485,-5.3080196,-5.401866,-2.3283632,-0.7439438,-1.7651913,-2.070523,-1.1739017,-0.901169,-0.47652447,0.542367,0.23223777,-0.6692043,-1.0623839,-2.0580764,-2.3544912,-2.0856643,-1.7159002,-1.4757496,-1.5949072,-1.4869891,-1.2647179,-1.3240716,-1.0876752,-0.24801287,0.077991374,1.4641036,5.5384493,7.9780617,9.435485,11.117798,11.557158,11.7902565,11.975856,11.836655,11.239884,10.839063,10.779945,11.673501,11.510873,11.454516,11.430387,11.310217,11.283061,11.057539,10.959457,10.845858,10.771911,10.931227,11.064464,11.103066,11.334866,11.649542,12.195591,12.496464,12.988805,12.856313,12.065596,11.041822,10.307416,8.976772,7.827735,5.655357,4.0626373,2.8653114,1.8503282,0.356786,-0.7488981,-1.4193429,-1.999252,-2.5820956,-2.9532897,-3.3245282,-3.5565743,-2.4443629,-1.2161782,-0.8089675,-0.35690853,-0.5537801,-0.81959563,4.3681993,5.074219,5.604328,5.607783,5.4054112,4.883734,4.5406327,4.3512444,5.2698817,6.47363,8.532714,9.09933,9.704886,9.903427,10.168518,10.7222805,11.525001,12.173439,12.764857,13.21322,13.391175,13.840076,14.462793,14.7361765,15.056004,15.344957,15.527937,15.542212,15.454991,15.205909,15.006643,14.75756,14.408844,13.910669,13.203729,12.606651,12.117218,11.419752,11.12596,10.976317,11.179278,11.325481,11.711024,12.285839,12.800528,13.106969,13.478302,13.797214,14.289573,14.683445,14.95738,15.028074,14.78257,14.717275,14.675077,14.625137,14.467881,14.408844,14.235956,14.12217,13.874023,13.689336,13.341482,12.993627,12.58363,12.51972,12.711988,13.099959,13.544261,14.088067,14.884472,15.379723,15.475962,15.302814,14.965401,14.82079,14.7243805
