forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:28+00:00,2025-11-05 00:00:00+00:00,5.7105074,3.3664,14.931467,19.983198,352.87506,338.6293,330.01843,333.43503,324.24603,313.66785,298.30066,284.03625,276.3401,280.30478,235.78424,227.60262,212.73521,209.53868,212.90524,219.09384,217.99878,221.18582,236.3099,251.56496,246.25049,254.93146,261.57312,251.56496,234.46223,229.89915,254.74483,206.56499,171.86998,101.3099,90.0,78.6901,82.40546,80.53775,68.68202,68.68202,65.432846,66.19405,66.37061,64.23073,72.25524,77.19574,80.53775,55.0079,52.124958,85.60138,94.39862,105.25517,60.255207,116.56499,123.690094,141.34016,270.0,198.43504,224.9999,206.56499,171.86998,168.69011,196.69933,195.6423,191.30989,195.46127,202.6199,207.07199,202.20352,197.41806,192.99461,180.0,176.186,184.76355,205.64096,216.86998,222.5104,256.373,237.72438,274.39862,270.0,291.03757,302.47116,315.0001,325.0079,318.01288,304.9921,296.56497,283.24054,266.98727,261.87,262.8751,276.11542,289.9832,302.7352,330.25522,341.56494,335.22488,323.97253,315.0001,303.6901,304.9921,299.0545,275.19434,254.74483,255.96373,297.8972,301.26367,307.87503,307.74686,310.46216,308.65982,311.46762,311.18582,308.15726,309.52258,310.97165,315.0001,321.1466,328.13406,333.43503,335.32315,333.43503,331.26028,330.25522,330.75128,331.38962,330.9455,334.98312,333.43503,331.38962,329.74365,328.39255,333.43503,339.44388,338.74942,332.24155,321.70978,316.46872,312.39737,311.49637,311.49637,312.27362,316.8476,322.43134,327.52884,326.3099,327.99466,324.46225,320.1945,315.0001,309.8055,299.74478,299.74478,303.6901,308.65982,296.56497,243.43501,215.53777,212.47118,222.5104,234.78232,242.35411,246.50142,252.25523,255.96373,255.96373,254.05453
2025-11-06 02:21:53+00:00,2025-11-06 00:00:00+00:00,303.6901,279.16226,277.1249,259.21576,251.56496,210.96368,217.87505,310.60123,220.60121,90.0,82.875084,84.805664,113.62939,84.2895,62.17599,66.80139,64.05776,68.74943,68.498505,64.98315,67.83361,70.20104,64.65388,49.899166,49.899166,47.72637,41.63345,41.98714,31.827414,355.23645,305.31128,305.13428,303.17853,312.39737,283.57043,277.8532,292.16638,307.30402,228.17992,208.7397,214.8754,218.08882,215.2725,200.37651,205.40767,198.00426,202.1095,195.7087,193.24052,196.38962,222.5104,221.34767,232.12495,205.2011,258.6901,241.92761,216.86998,215.53777,251.56496,270.0,281.3099,329.03632,279.46225,265.23645,241.69934,243.43501,224.9999,227.4896,239.0363,235.30478,243.43501,315.0001,360.0,360.0,333.43503,201.80147,228.01286,191.30989,209.0545,203.19862,216.86998,243.43501,275.35574,292.4428,306.86996,307.18478,307.18478,308.8534,310.97165,312.5104,309.9575,312.5104,318.69147,317.5638,317.1211,318.12222,314.0907,318.81415,317.91092,316.04153,313.1524,315.9391,311.98712,316.04153,313.87677,305.53775,301.8274,298.49554,304.43906,301.4295,308.65982,308.65982,309.8055,308.65982,308.50067,305.4171,300.96368,297.5972,296.56497,297.8972,297.3498,294.62354,287.52567,277.59454,270.0,264.80566,258.6901,255.96373,254.05453,251.56496,251.56496,243.43501,230.19447,221.18582,216.86998,210.46547,206.56499,203.19862,199.9832,195.52417,190.43742,186.17007,185.7105,188.97255,195.25517,209.7448,224.9999,234.46223,233.13002,232.12495,224.9999,218.65984,208.61037,204.44394,201.80147,196.69933,201.80147,204.77512,212.00534,213.02386,212.00534,211.26367,214.59235,223.87679,236.7251,244.7989,247.52052,249.14546
2025-11-07 02:19:37+00:00,2025-11-07 00:00:00+00:00,77.00539,52.124958,53.972538,50.59937,48.01287,38.92756,349.50858,311.18582,309.28937,312.27362,294.62354,272.12103,276.58185,305.53775,226.63654,202.751,212.15227,217.56866,209.4758,210.96368,218.48022,215.83774,217.87505,202.93213,202.1095,236.82147,228.23979,305.53775,256.50424,210.25635,191.30989,274.08554,306.02747,312.5104,315.0001,320.1945,331.69934,293.9625,292.6199,281.3099,250.55988,236.3099,228.57643,259.50858,253.0724,234.46223,266.186,273.57626,246.0375,341.56494,143.13002,153.43501,221.18582,206.56499,217.87505,235.0079,212.00534,209.7448,194.03627,192.5288,254.74483,286.92758,295.7099,306.57312,310.91428,318.36655,320.0425,320.63068,323.88055,323.13,332.78397,334.72232,326.3099,332.928,330.1012,336.2505,334.98312,336.0375,339.71735,344.3577,339.59003,339.59003,338.8752,330.8026,332.7005,333.43503,343.3007,346.293,342.03076,332.176,326.3099,322.85324,322.3523,321.34018,319.39877,318.01288,317.29062,315.0001,311.18582,302.00534,303.6901,315.0001,318.81415,323.13,319.39877,308.65982,296.56497,243.43501,213.6901,206.56499,210.25635,199.44012,197.6502,199.79897,193.62701,192.20045,189.92618,188.53069,186.70975,182.29056,180.0,192.99461,216.02747,227.72638,227.72638,221.98714,218.65984,221.63345,217.87505,221.18582,216.86998,216.86998,213.6901,210.25635,210.96368,210.0685,212.00534,214.15974,217.47626,226.04153,236.7251,244.1337,246.80138,245.77226,245.22488,246.0375,246.80138,251.56496,248.19853,258.6901,258.6901,270.0,281.3099,291.80148,303.6901,315.0001,318.36655,318.01288,315.0001,315.0001,317.1211,321.70978,322.3057,321.9529,321.9529,322.3057,326.3099,335.77228
2025-11-08 02:10:22+00:00,2025-11-08 00:00:00+00:00,223.02507,209.16751,214.9921,211.75943,235.0079,265.23645,258.6901,201.03758,190.78426,255.06853,343.61038,347.4712,21.801476,30.465475,53.13002,122.00535,164.05453,192.09474,219.80553,234.46223,242.10283,240.2552,180.0,71.564964,360.0,30.963696,47.489597,32.005356,19.653913,333.43503,305.53775,277.59454,243.43501,233.61555,226.12321,271.00507,274.39862,265.91446,259.1145,263.77426,269.06082,274.39862,279.46225,282.26477,283.43103,284.28113,287.2816,288.00424,289.6539,318.12222,313.0251,314.11868,319.84406,317.64258,319.1447,321.91116,325.1246,322.81522,320.1945,318.01288,313.36346,316.3971,313.95847,306.60718,305.39487,303.9965,301.79886,302.3998,305.53775,306.1933,306.38446,305.83774,303.31064,298.3929,299.74478,296.56497,291.03757,284.03625,265.91446,251.56496,241.38963,231.34016,224.9999,224.9999,236.3099,209.0545,217.56866,224.9999,217.30403,212.61923,207.3498,207.25525,202.52061,193.39252,192.99461,194.03627,195.25517,186.3401,203.9625,214.9921,227.72638,219.28938,222.27362,213.6901,221.63345,214.9921,213.6901,213.6901,215.53777,200.55612,210.96368,215.53777,226.90913,248.58696,260.21765,260.21765,257.24246,255.06853,255.96373,260.9098,270.0,282.99463,292.6199,296.56497,300.25635,303.6901,303.6901,306.02747,306.02747,308.65982,315.0001,321.34018,323.97253,318.01288,306.86996,300.96368,302.27563,305.31128,305.13428,302.1957,298.30066,295.5599,299.0545,309.8055,323.97253,333.43503,335.22488,336.8014,335.22488,337.3801,333.43503,330.9455,319.39877,315.0001,320.1945,341.56494,348.6901,270.0,198.43504,191.30989,185.7105,180.0,180.0,188.13002,200.55612,206.56499,206.56499,180.0
2025-11-09 02:31:57+00:00,2025-11-09 00:00:00+00:00,342.64587,312.70938,325.0079,116.56499,101.3099,66.037506,38.65983,26.564985,5.7105074,335.22488,44.999897,257.00537,259.3804,248.19853,238.24055,272.04535,270.98773,280.0079,281.00348,284.2373,274.39862,273.73132,277.59454,296.0033,311.05472,301.5042,319.574,293.1986,305.2725,309.3693,313.31537,305.78906,307.6943,298.9509,301.75943,300.01828,296.56497,295.14474,293.1986,288.43503,276.88162,290.3533,292.5431,268.02512,284.47034,267.5105,289.79895,286.38962,302.00534,307.07315,311.18582,310.71075,315.78473,313.87677,303.6901,282.09473,265.60138,270.0,264.80566,258.6901,263.6599,255.96373,246.80138,245.77226,235.71307,232.76509,222.5104,220.23628,212.34741,200.22495,193.62701,187.76508,190.3048,189.46225,209.7448,233.97253,224.9999,216.86998,221.98714,210.25635,221.98714,218.65984,224.9999,217.87505,217.87505,212.00534,207.89717,219.80553,231.58191,246.80139,256.55136,261.52893,259.21576,253.61038,258.6901,277.59454,289.9832,303.6901,311.18582,319.39877,333.43503,330.9455,330.9455,322.12494,321.34018,323.97253,333.43503,329.74365,335.55606,341.56494,330.25522,309.8055,277.1249,298.61035,304.69522,312.27362,327.52884,341.56494,347.90527,348.6901,349.3804,348.6901,345.9637,348.6901,353.6599,6.3401003,14.036275,23.198618,33.6901,44.999897,56.309914,63.435013,80.53775,111.801476,153.43501,173.6599,185.19434,189.46225,188.74608,180.0,167.00539,155.55606,139.39879,99.46225,59.03632,36.86999,14.036275,341.56494,360.0,26.564985,63.435013,44.999897,360.0,270.0,180.0,146.3099,149.03632,161.56496,180.0,187.12492,185.19434,183.814,183.01273,187.43132,192.99461,195.06854,197.52567,198.43504
2025-11-10 02:22:02+00:00,2025-11-10 00:00:00+00:00,289.29013,307.09293,309.98682,302.57404,306.52896,297.64587,273.17978,322.12494,306.25394,292.30624,289.85532,293.0255,295.01685,297.12122,283.17255,283.0693,284.87573,283.81503,290.97357,285.6796,275.7105,310.71075,310.76352,291.03757,302.00534,302.22873,302.22873,297.69937,292.3802,284.47034,285.94547,291.59537,283.7363,281.5601,281.00348,279.16226,267.6141,275.90604,278.74606,275.0795,263.21112,253.17851,248.42863,241.1893,237.0306,224.9999,206.56499,223.02507,233.74606,189.46225,221.63345,228.01286,224.9999,222.27362,216.86998,216.02747,208.61037,216.86998,209.7448,194.03627,180.0,180.0,211.60745,228.36655,240.80261,251.1752,262.8751,265.42615,260.53775,259.9921,262.5687,276.70975,296.56497,321.34018,329.74365,329.74365,315.0001,315.0001,329.74365,327.52884,331.69934,329.74365,331.69934,329.74365,335.22488,331.38962,323.13,305.53775,336.0375,315.0001,296.56497,309.8055,315.0001,333.43503,330.25522,355.23645,8.746089,14.036275,28.610369,33.6901,66.801384,90.0,98.13002,80.53775,81.86999,108.43504,116.56499,108.43504,135.0001,168.69011,180.0,175.60138,186.70975,194.03627,193.39252,193.39252,188.97255,187.12492,189.46225,195.94547,213.6901,224.9999,224.9999,224.9999,236.3099,233.13002,239.0363,239.0363,243.43501,239.0363,236.3099,180.0,116.56499,146.3099,171.86998,180.0,180.0,183.57626,183.17976,188.97255,192.5288,194.93147,180.0,66.801384,50.194473,52.431335,65.22488,81.25392,85.60138,90.0,94.39862,97.12492,98.530685,112.24908,137.4896,154.98314,163.30067,171.38443,180.0,184.20528,179.1575,169.8458,165.96373,175.15608,195.06854,213.9965,230.7928,250.42677
2025-11-11 02:13:11+00:00,2025-11-11 00:00:00+00:00,295.51382,299.24872,300.61853,302.98853,300.11365,298.3929,297.824,295.1148,291.03757,279.78235,280.49142,267.87894,258.6901,259.046,252.64589,254.98158,249.14546,236.65927,225.8813,216.38445,211.37296,207.1496,207.47435,246.80138,237.26477,244.5367,274.57382,281.76825,276.84268,274.57382,267.5105,267.3975,278.13,287.52567,288.43503,294.77512,251.56496,216.86998,221.82008,216.86998,231.34016,253.0091,255.96373,259.9921,259.3804,255.4655,242.24155,255.2564,287.3541,321.34018,323.97253,329.74365,327.52884,329.03632,326.3099,322.12494,322.12494,322.12494,331.38962,327.52884,329.03632,341.56494,333.43503,315.0001,198.43504,186.3401,199.9832,213.6901,206.56499,153.43501,126.86999,71.564964,315.0001,306.86996,329.03632,345.9637,333.43503,341.56494,333.43503,296.56497,288.43503,270.0,251.56496,270.0,206.56499,180.0,195.94547,209.7448,206.56499,200.55612,203.19862,180.0,180.0,104.03627,14.036275,360.0,9.462248,26.564985,315.0001,270.0,255.96373,288.43503,284.03625,296.56497,260.53775,288.43503,270.0,233.13002,248.19853,239.0363,236.3099,219.80553,208.61037,208.30066,203.6294,202.38017,203.6294,203.19862,199.9832,195.94547,180.0,180.0,213.6901,224.9999,224.9999,218.65984,219.80553,219.80553,220.60121,220.60121,220.60121,212.00534,209.0545,208.61037,206.56499,210.46547,218.991,226.16905,230.01317,233.97253,237.99466,243.43501,248.19853,254.47583,265.23645,270.0,258.6901,251.56496,240.2552,224.9999,201.80147,201.80147,206.56499,206.56499,206.56499,198.43504,189.46225,180.0,180.0,180.0,187.12492,196.69933,197.6502,187.76508,174.2895,161.56496,160.34608,168.69011
2025-11-12 02:15:34+00:00,2025-11-12 00:00:00+00:00,230.90614,235.0079,289.1791,276.11542,272.04535,259.8754,259.1145,272.6025,278.74606,317.29062,311.63345,306.86996,298.4428,274.57382,233.13002,219.28938,252.89719,262.23492,264.80566,266.26868,270.0,270.0,240.5242,226.73567,266.186,299.35767,256.75946,249.44386,239.0363,236.97612,234.46223,239.42085,232.12495,250.70985,270.0,270.0,248.19853,180.0,191.30989,180.0,204.44394,282.5288,295.76926,294.90472,298.30066,295.46332,255.96373,293.6294,317.29062,23.962492,29.744795,26.564985,38.65983,56.309914,68.19853,78.6901,111.801476,104.03627,135.0001,135.0001,165.96373,180.0,180.0,180.0,192.09474,215.53777,195.94547,168.69011,171.86998,146.3099,146.3099,153.43501,236.3099,224.9999,194.03627,161.56496,206.56499,206.56499,216.86998,224.9999,224.9999,191.30989,189.46225,188.13002,188.13002,180.0,185.7105,189.46225,200.55612,206.56499,210.25635,214.69522,211.75943,220.10085,210.96368,219.28938,218.65984,235.0079,228.36655,219.28938,224.9999,210.25635,210.96368,213.6901,198.43504,188.74608,174.2895,169.6952,161.56496,159.44388,185.7105,209.7448,233.97253,246.80139,262.09293,260.78903,258.6901,255.52966,256.50424,263.6599,274.76355,290.55612,309.8055,320.1945,315.0001,288.43503,270.0,261.87,261.87,251.56496,231.34016,206.56499,194.03627,187.12492,172.87508,180.0,194.03627,201.80147,203.6294,202.6199,199.74693,197.52567,196.18927,191.30989,185.19434,171.86998,170.53775,161.56496,153.43501,150.2552,161.56496,180.0,197.10281,205.01686,201.25058,193.39252,197.6502,212.47118,231.34016,248.4985,276.0089,304.01938,317.1211,322.4958,325.954,332.02063,342.072,350.78906
2025-11-13 02:32:33+00:00,2025-11-13 00:00:00+00:00,274.39862,298.61035,311.18582,302.90524,292.3802,278.97253,277.76508,270.0,261.87,272.6025,277.4313,285.25516,297.8972,257.4712,116.56499,144.46223,203.9625,244.98314,301.32864,299.0545,300.37906,306.15826,291.03757,304.69522,335.55606,355.60138,342.8972,352.40543,353.6599,315.0001,135.0001,135.0001,81.86999,53.13002,18.435053,350.53775,347.00537,341.56494,345.9637,255.96373,200.55612,202.6199,215.21768,216.86998,217.30403,218.991,220.23628,251.56496,289.1791,270.0,224.9999,194.03627,191.30989,203.19862,231.34016,206.56499,180.0,198.43504,195.94547,188.13002,180.0,173.6599,197.10281,200.55612,206.56499,207.47435,205.1148,211.21834,214.15974,210.96368,201.80147,212.73521,222.27362,214.69522,213.6901,216.02747,224.9999,208.30066,203.19862,190.6196,188.13002,188.13002,210.96368,229.08571,242.10283,256.60748,267.95465,271.84756,275.35574,278.61557,282.33908,285.25516,287.1028,285.94547,284.74362,312.70938,326.3099,327.99466,326.3099,324.46225,322.43134,325.30478,333.43503,336.8014,335.55606,340.0168,5.7105074,21.801476,80.53775,113.19862,156.80138,120.96369,104.03627,336.0375,35.537766,56.309914,105.945465,125.537766,116.56499,78.6901,44.999897,44.999897,213.6901,224.9999,246.0375,257.00537,261.87,250.0168,224.9999,194.03627,194.03627,200.55612,206.56499,200.55612,200.55612,194.03627,194.03627,203.19862,213.6901,231.34016,251.56496,279.46225,308.65982,333.43503,345.9637,341.56494,336.0375,330.9455,329.03632,331.38962,331.38962,331.38962,333.43503,333.43503,331.38962,329.74365,326.3099,320.7106,312.27362,306.86996,301.60745,296.56497,296.56497,302.7352,310.60123,317.1211,323.74606,331.9276
2025-11-14 02:16:24+00:00,2025-11-14 00:00:00+00:00,315.0001,312.5104,300.25635,296.56497,270.0,9.462248,71.564964,68.19853,11.3098955,348.6901,350.53775,50.194473,57.99466,90.0,90.0,82.875084,146.3099,217.87505,220.60121,218.2902,219.47243,218.65984,233.13002,289.6539,299.35767,298.0724,281.88864,274.76355,296.56497,296.56497,288.43503,290.55612,282.5288,287.1028,280.6196,299.0545,317.4896,308.15726,260.53775,233.61555,217.6943,216.52895,215.70677,215.39488,216.57312,224.09071,220.60121,227.86247,232.69597,216.02747,213.6901,208.30066,203.9625,206.56499,205.01686,209.7448,224.9999,239.74365,253.81071,259.9921,271.63654,268.31534,271.78986,277.59454,283.13403,295.27768,304.8754,317.64258,318.69147,323.47104,327.38077,329.03632,334.65387,332.1028,336.0375,337.6198,333.43503,334.98312,334.98312,336.8014,333.43503,333.43503,333.43503,342.8972,339.44388,360.0,59.03632,128.65984,161.56496,209.0545,246.0375,216.86998,110.55613,199.9832,203.9625,192.5288,194.03627,149.03632,143.13002,128.65984,201.80147,196.69933,198.43504,171.86998,180.0,90.0,270.0,251.56496,276.70975,236.3099,201.80147,203.19862,203.9625,187.12492,180.0,44.999897,9.462248,11.3098955,16.699326,29.744795,44.999897,59.03632,78.6901,90.0,81.86999,73.300674,70.01681,71.564964,90.0,116.56499,108.43504,78.6901,81.86999,90.0,113.19862,123.690094,123.690094,116.56499,120.96369,161.56496,239.0363,246.80138,216.86998,140.19447,122.471176,111.801476,102.5288,95.7105,92.86235,93.17977,101.3099,132.27362,163.30067,173.41815,175.23645,170.53775,168.69011,173.99109,177.87895,178.26433,176.906,174.2895,170.75397,168.23174,165.4655,164.57777,165.06853,165.52966
