forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:27+00:00,2025-11-05 00:00:00+00:00,990.834,990.38763,989.3466,989.2789,989.927,989.00433,988.2634,987.8887,988.5774,988.5393,988.50446,988.88983,989.4818,989.59155,989.91797,989.89075,990.08734,988.928,987.6981,986.90796,986.96204,986.7628,986.1272,986.38934,986.84344,986.9185,986.96985,987.1064,987.5444,987.345,986.73584,986.75793,986.888,986.8186,986.8838,987.24963,987.6507,988.0558,988.96674,989.5022,989.85724,989.1467,988.5844,987.99384,987.86005,987.3488,986.5294,986.0957,986.03546,986.1547,986.0125,985.8418,985.5232,985.2102,984.72644,984.37366,984.0549,983.7931,983.6904,983.6836,983.75146,983.73047,983.61975,983.02545,982.5872,981.4832,980.1433,979.34717,978.8524,978.10016,977.39624,977.1462,976.9061,976.6951,976.19666,976.3294,975.6284,975.9989,975.8604,976.07587,975.9461,976.0374,976.4995,976.75696,977.1801,977.8962,978.1668,978.5614,978.70306,978.45026,977.67944,977.3133,977.2976,977.4592,977.4715,977.628,978.1781,978.2878,978.3228,978.75604,978.8078,978.79083,979.064,979.51385,979.65607,979.6956,979.74677,980.463,981.4461,982.4033,983.5885,984.1234,984.80066,985.0223,985.3175,986.00903,986.8386,987.7061,988.46826,989.1811,989.8816,990.654,991.31647,991.894,992.1997,992.2212,992.3394,992.4505,992.4585,992.6782,993.0909,993.7088,994.22394,994.7828,995.2222,995.35626,994.9613,994.15906,993.5124,993.03406,992.70703,992.6654,992.93256,993.47925,993.9915,994.2588,994.49146,994.6468,994.7116,994.6925,994.67993,994.66077,994.64166,994.7254,994.7774,994.9192,995.0863,995.45557,995.9258,995.94745,995.36646,994.43396,993.5616,992.9607,992.4158,991.97595,991.7639,991.65814
2025-11-06 02:21:52+00:00,2025-11-06 00:00:00+00:00,986.315,985.65295,985.7959,985.945,986.69073,986.5542,986.3318,986.1729,985.94403,986.3077,986.53436,986.95123,987.64233,988.3253,988.6373,988.61194,988.64056,988.23553,988.06995,987.77435,987.14465,986.8274,985.7943,985.76746,985.62305,985.152,984.24194,983.57574,983.3282,983.2146,982.5949,982.27704,982.1409,982.057,981.67096,982.00073,981.9503,981.8819,981.74896,981.7312,981.04803,980.07587,979.6347,979.36584,978.47217,977.5093,976.73535,976.8481,976.9821,976.9974,976.94226,976.9224,977.05286,976.80096,976.8481,977.2683,977.2905,977.0417,977.321,977.3539,977.5423,977.9681,978.65265,978.80963,978.95,978.50385,977.6647,976.9259,976.77966,976.7973,976.837,977.17914,977.55865,977.53125,977.498,977.85205,977.62524,977.3981,977.4727,977.2626,977.17126,977.26807,978.15875,978.8053,979.871,981.0046,981.82983,982.41614,983.0989,983.3777,983.32654,983.48456,983.9607,984.7819,985.3351,986.0924,987.12604,987.35034,987.96686,988.47424,988.0749,988.3992,988.3849,989.052,989.1264,989.4836,990.05164,990.09735,990.85706,992.22723,992.57874,992.4395,992.22736,991.80743,991.1624,991.0357,991.0479,991.1867,991.6863,992.3089,992.8748,993.34686,993.7659,994.1077,994.1657,994.1466,994.1274,994.10803,994.0951,994.18536,994.3397,994.5005,994.7647,995.1043,995.5345,995.54114,994.89026,993.71094,992.6874,991.72974,990.82135,990.2062,990.10834,990.2986,990.44855,990.2473,989.92053,989.6965,989.6593,989.6284,989.7063,989.79694,989.9961,990.11145,990.09906,990.0023,990.01086,990.20807,990.507,990.44867,989.7912,988.7843,987.9295,987.2561,986.6455,986.32745,986.5184,986.9966
2025-11-07 02:19:35+00:00,2025-11-07 00:00:00+00:00,984.50995,984.6752,983.00195,982.2112,982.0177,981.8702,981.4837,982.0411,982.2968,982.3994,981.77374,981.8535,981.50085,981.2897,980.7996,980.71045,980.3555,979.83344,979.4779,979.20337,978.2666,977.1591,976.36926,976.40717,976.7083,975.9178,975.4445,975.3904,975.6756,976.44214,976.6611,977.00385,977.41016,977.8607,977.44586,977.51056,977.88153,978.1998,978.5174,979.30725,980.0691,980.08093,979.74774,979.96295,979.9522,979.8122,979.06824,978.8649,979.36255,977.8875,978.073,978.1369,977.9267,977.71094,977.603,977.78516,977.6718,977.5639,977.95654,978.15564,978.42926,979.37836,980.02246,980.3324,980.93787,981.1314,980.6475,980.8411,981.44727,982.22797,982.9489,983.4074,984.71436,984.66156,985.04504,985.38434,985.6818,985.80365,985.8584,986.15454,986.63776,986.891,987.32996,987.82355,988.6532,989.6783,990.51654,990.68304,990.72705,990.462,989.9781,989.54285,989.74805,990.081,990.6068,991.46655,992.2525,992.61005,993.2171,993.54626,993.695,993.9464,993.9273,994.1077,994.0049,993.7989,993.9854,994.06915,994.44916,994.9493,995.43445,995.15546,994.63007,993.6484,992.5213,991.73285,990.89734,990.3612,990.0707,989.8877,989.8572,989.8441,989.99457,990.1506,990.31335,990.3974,990.4818,990.37274,990.17957,990.0828,990.0582,990.1361,990.13214,990.24426,990.3607,990.2107,989.6265,988.88104,988.1005,987.422,986.90814,986.5955,986.6952,987.18445,987.54474,987.8499,988.0256,988.21344,988.2983,988.2983,988.2983,988.28644,988.1779,988.1664,988.3123,988.5554,988.7843,989.274,989.74536,989.9851,989.6646,989.1098,988.60657,988.1724,987.8873,987.7077,987.9522,988.391
2025-11-08 02:10:21+00:00,2025-11-08 00:00:00+00:00,976.20233,976.4125,976.10077,974.93896,976.1542,976.71344,976.3415,976.6738,977.2327,977.50134,977.1283,977.21106,977.7938,977.7307,978.14026,978.681,979.07,978.4083,977.79425,977.6061,977.61127,977.5849,976.6602,976.4435,976.8182,976.8436,977.1669,977.4208,977.49023,976.7247,975.9866,975.4248,975.57935,975.7041,975.92535,977.04346,978.5302,979.3713,980.0291,980.58026,981.3366,981.4742,981.86096,983.0831,984.0473,984.7874,985.1398,985.83514,986.6689,986.14124,986.287,986.68604,986.52313,986.2328,986.672,986.8203,986.8831,987.35657,987.75134,988.3262,989.0933,989.9741,990.2792,990.08057,989.8608,989.603,988.89703,988.63727,988.81256,989.43414,989.8608,990.5011,991.2284,991.7771,992.2024,992.7499,992.9108,993.0782,993.06537,993.0587,993.0522,992.65967,992.9494,992.85913,993.535,994.2234,994.30634,994.096,993.63947,993.029,991.8013,990.56604,989.77814,989.20386,988.72504,988.5528,988.479,988.3088,988.4403,988.4219,988.35614,988.502,988.4422,988.4836,988.2842,987.8256,987.905,987.6702,987.8635,988.00305,988.12494,987.67664,987.18445,986.3315,985.29285,984.8233,984.49695,984.367,984.5651,985.0567,985.4072,985.6956,985.85425,986.10925,986.3465,986.5896,986.8268,986.9669,987.0102,987.24664,987.64624,988.2389,988.734,989.3913,989.9422,990.2667,990.05286,989.5185,989.03424,988.7092,988.44165,988.374,988.52795,988.97784,989.29926,989.5787,989.8329,990.00214,989.8755,989.7608,989.5494,989.4349,989.41675,989.4954,989.63416,989.9602,990.1174,990.2914,990.47546,990.3037,989.63196,988.61664,987.80164,987.2561,986.71747,986.3829,986.166,986.0455
2025-11-09 02:31:56+00:00,2025-11-09 00:00:00+00:00,976.90393,977.9495,977.8663,977.50354,977.57776,977.37317,976.27527,976.23035,976.52716,976.18024,975.6738,976.1229,976.8574,977.51056,977.7781,978.38654,979.24335,979.50745,979.8102,980.573,981.60724,982.69635,983.177,984.1759,985.0775,985.2174,985.27246,985.708,985.9137,985.497,984.81396,985.1993,985.91693,986.02997,985.9926,986.479,987.0802,987.4479,987.96204,988.5856,989.59845,989.7417,989.43604,989.02496,988.8689,988.8689,988.66034,989.4986,990.7231,991.1045,991.80347,992.3203,992.4978,992.5696,992.6211,992.6919,992.9622,992.94275,993.21954,993.21295,993.8827,994.68085,995.04785,994.73553,994.3579,993.74817,992.55664,991.3277,990.62506,990.0508,989.56537,989.40436,989.4453,989.45575,989.4969,989.678,989.90576,989.60974,989.4929,989.44635,989.3562,989.042,988.7583,988.8727,988.9325,989.5252,989.55194,989.3033,989.0108,988.3235,987.01245,986.2251,986.10364,986.1563,986.03455,986.55206,987.2394,987.38654,987.6046,987.68524,987.60004,987.30975,987.3153,987.4121,987.5944,987.58295,987.63354,987.51215,987.7091,988.1833,988.7105,988.948,988.93866,988.4407,987.69934,987.3395,987.0326,986.8534,986.94366,987.15686,987.4226,987.6088,987.85254,988.0052,987.9526,987.91144,987.7736,987.7381,987.6122,987.6852,987.81915,988.0559,988.30255,988.641,988.98865,989.1075,988.69257,988.05176,987.429,986.89655,986.38,986.0891,986.08093,986.2027,986.2798,986.2802,986.246,986.21765,986.0864,985.9669,985.7505,985.53406,985.3175,985.20374,985.24854,985.2991,985.4477,985.67694,985.90674,985.8018,985.137,984.1468,983.1882,982.4291,981.80023,981.33307,981.10266,981.12866
2025-11-10 02:22:00+00:00,2025-11-10 00:00:00+00:00,985.7641,986.73285,986.92773,986.88654,987.2671,987.1513,986.2205,985.90454,986.2068,986.13477,986.12036,986.6627,986.9869,987.23315,987.56024,988.0744,989.1122,989.52356,989.7259,990.1496,990.45807,990.33386,990.1873,990.7231,991.40814,991.81323,992.4932,992.8609,993.37946,993.34125,993.2384,993.367,993.5601,993.6568,993.5663,993.5726,993.9652,994.30585,994.48175,994.2759,993.95294,993.2294,992.6132,992.2857,991.48676,990.8273,989.59033,988.9158,988.457,989.6553,989.57513,989.8153,989.6941,989.7126,989.8055,989.6244,989.3839,989.0525,988.8727,989.0292,989.0466,989.4525,989.39594,989.06903,988.9819,988.3744,986.9505,986.56213,986.4632,986.31067,986.23474,986.84064,987.419,987.6332,987.96704,988.2216,988.3798,988.34424,988.4959,988.7504,988.902,988.8662,989.02356,989.27155,989.8034,990.50366,991.0588,991.2241,991.06665,990.43994,989.4711,988.8271,988.52545,988.7432,988.29425,988.82544,988.9633,989.08594,989.0448,989.0389,988.78,988.804,988.58075,988.55707,988.64777,988.55707,988.5761,988.6547,988.8727,989.50604,989.8275,989.64355,989.5548,988.6895,987.45996,986.75073,986.1642,985.69543,985.5782,985.67017,985.8247,985.92694,986.00055,985.98315,985.7496,985.4246,985.2023,985.07086,985.036,985.0302,985.15015,985.29315,985.38574,985.5404,985.6363,985.5476,984.9997,984.2655,983.55524,982.84985,982.1663,981.69916,981.3876,981.28076,981.1388,980.833,980.4921,980.1962,979.9397,979.82495,979.40247,978.6675,977.72754,976.86774,976.18475,975.48517,974.8879,974.4894,974.1936,973.62396,972.39935,970.90027,969.6751,969.0031,968.6105,968.6692,969.2805,970.34766
2025-11-11 02:13:10+00:00,2025-11-11 00:00:00+00:00,991.96857,991.11206,991.86993,992.0881,993.2723,993.72394,993.3841,992.8883,993.3713,992.97864,991.91614,992.50195,992.882,993.3189,993.10126,993.63654,994.17053,993.0482,992.4139,991.863,991.07025,989.6258,988.1101,987.79254,988.1187,987.7201,987.46643,987.37524,987.26526,987.27747,987.1628,987.27747,987.25946,987.0602,986.7643,986.9458,987.2118,987.1985,987.7979,988.1786,988.72235,987.5669,986.65405,986.5086,987.16675,987.2636,987.09705,986.4574,986.7349,988.38574,988.81586,988.9794,988.85895,988.7386,989.19196,989.45807,989.7181,989.68805,989.5615,989.63416,990.2746,990.8963,991.46893,991.4926,991.44214,990.8835,989.9997,989.3166,988.8102,989.0398,988.6984,988.9455,989.1539,989.04816,989.3267,989.37604,989.13556,988.8277,988.97345,989.04047,989.0164,988.7264,988.82306,988.89014,989.2768,989.8242,990.2394,990.1327,989.934,989.10614,987.9707,987.41986,987.14246,986.9853,987.0218,987.2297,987.5093,987.6119,987.4809,987.3555,987.236,987.1219,987.014,987.09924,987.19006,987.27527,987.4295,987.42395,987.75415,988.09546,988.2761,988.30536,988.0901,987.4023,986.2129,985.5828,985.08276,984.71204,984.6206,984.5575,984.64307,984.7472,984.8104,984.78217,984.6404,984.40753,984.1802,983.96405,983.8443,983.73047,983.6793,983.73047,983.77057,983.9687,984.2537,984.19977,983.66846,982.9048,982.19946,981.56946,980.90204,980.5531,980.66144,980.98145,981.3525,981.63385,981.96484,982.21027,982.2733,982.34735,982.2281,982.0119,981.6988,981.48267,981.4428,981.4032,981.53955,981.9029,982.42816,982.64905,982.3502,981.6511,981.16595,980.8701,980.69324,980.5916,980.5641,980.61066
2025-11-12 02:15:33+00:00,2025-11-12 00:00:00+00:00,987.1029,985.95593,985.3213,985.94293,986.10516,986.2077,986.2018,986.4562,987.25464,986.4024,986.1842,986.2985,986.67346,986.9561,987.0887,987.2808,987.7948,987.35535,986.70776,986.6354,986.70135,986.69574,986.3949,986.60547,987.1739,987.33704,987.84766,988.10284,988.7327,988.09985,987.77454,987.7272,988.44775,988.8109,989.0832,989.361,990.0748,990.26825,991.1825,991.84155,992.31323,991.64026,991.2458,991.1575,991.094,990.84515,990.5926,990.3846,990.53186,990.31116,990.4456,990.3866,990.2421,990.10986,989.7469,989.83167,989.62646,989.42126,989.4094,989.2827,989.6455,990.1991,990.60315,990.3038,989.9066,989.21747,988.07355,987.3369,986.7972,986.53766,986.25305,986.27734,986.3574,986.4262,986.5006,986.2281,985.79645,985.48895,985.23315,985.2612,985.24976,984.948,984.74304,984.5551,984.64044,984.85175,985.116,984.8281,984.6367,983.76544,982.45245,981.55896,980.5465,980.4073,979.9729,979.8453,979.94525,979.89465,979.66284,980.1556,979.6272,979.44165,979.4379,979.5586,979.4392,979.0463,978.8587,978.7786,978.95544,979.2332,979.6736,979.5047,979.55853,978.97174,977.8028,977.3768,976.9239,976.80084,977.0719,977.4822,977.92847,978.2723,978.55743,978.8423,979.01965,979.0946,979.175,979.347,979.6155,979.88947,980.0608,980.238,980.4592,980.84814,981.17755,981.3177,980.8754,980.136,979.54755,979.1965,978.8953,978.8274,978.9385,979.18225,979.4709,979.6684,979.8178,979.8816,979.7461,979.4336,979.1321,978.7672,978.3166,978.04816,978.22504,978.5736,978.95526,979.27893,979.6297,979.8091,979.7464,979.60724,979.677,980.1127,980.66095,981.56226,982.7822,984.2484
2025-11-13 02:32:32+00:00,2025-11-13 00:00:00+00:00,986.7984,986.4818,986.9887,986.9713,987.78345,987.2706,986.7227,986.7957,987.6542,988.22845,988.30975,988.85986,989.34326,989.5977,990.23865,991.17584,991.5675,991.41724,990.942,991.1216,990.9886,990.82556,990.35254,990.4526,990.8392,990.8653,990.60803,990.39453,990.49963,990.4762,990.31445,990.4842,990.62384,990.75165,990.8065,991.13324,991.31464,991.1754,991.67523,992.22845,992.40735,991.5803,990.7758,990.05524,989.5013,988.81244,988.00354,987.4394,987.53217,987.3042,987.5368,987.20044,987.0689,986.7558,986.5505,986.5449,986.23145,985.9299,985.71893,985.42285,985.6105,985.93134,985.9322,985.39014,984.8732,983.916,982.83997,981.77454,980.8488,980.3328,980.1717,979.8816,979.87604,979.804,979.5304,979.1347,978.9137,978.933,978.8441,978.72516,978.2749,977.82434,977.4539,977.3571,977.47614,977.78265,977.993,978.07,978.14923,977.4819,976.3898,976.0407,976.175,976.5082,976.8939,977.517,978.15045,978.8057,979.07416,979.33124,979.27594,979.32,979.52527,979.89496,980.1398,980.33325,980.43555,980.4411,980.6574,981.13525,981.32324,981.4362,981.593,981.09,980.2711,979.8965,979.6015,979.33264,979.2351,979.2645,979.428,979.67426,979.95337,980.1469,980.1526,980.16364,980.2771,980.5838,981.09,981.49945,981.8009,982.0965,982.4092,982.9427,983.5895,984.03723,984.00616,983.7755,983.61975,983.7221,983.8941,984.1573,984.60876,985.2427,985.6829,985.93475,986.1866,986.34174,986.58234,986.91376,987.1762,987.39764,987.55023,987.8683,988.2221,988.73584,989.1807,989.75586,990.35864,990.69965,990.5148,989.9754,989.5899,989.4457,989.46185,989.5206,989.7874,990.19696
2025-11-14 02:16:23+00:00,2025-11-14 00:00:00+00:00,989.32007,989.029,988.57104,989.1548,989.3922,989.3451,988.33105,988.4655,988.8582,988.7734,988.8027,989.41254,990.13654,990.4606,991.0472,991.3343,991.4756,991.01196,990.1629,989.8186,988.9741,988.2638,987.4391,987.27386,987.594,987.74243,986.91205,986.45154,986.3949,986.37225,986.412,986.0817,985.3589,984.88007,984.44684,984.64026,984.6462,984.5275,984.6384,984.3614,984.094,983.33594,982.8294,981.4453,980.76215,980.1705,979.31714,978.9084,978.9182,978.54877,978.57623,978.3659,978.0952,977.9267,977.5396,977.2548,976.77094,976.1958,975.9165,975.88586,976.26746,976.63245,976.90063,977.0141,976.9724,976.6254,975.8783,975.6412,975.8673,976.09357,976.38257,977.1657,977.8687,978.21643,978.48926,978.9894,979.1077,979.4248,979.65094,979.9908,980.2342,980.2898,980.641,980.9921,981.4579,981.9451,982.4595,982.8827,982.86395,982.4394,982.14636,981.52734,981.73846,981.6761,981.3065,981.6363,982.0915,982.0566,981.90344,981.95496,981.86414,981.59094,981.94385,982.00616,982.54126,982.2907,982.3304,982.3645,982.7964,983.41077,983.8651,984.0013,984.17596,983.89417,983.3907,983.40704,983.4875,983.65906,984.0186,984.56616,985.02246,985.4953,985.8824,986.16724,986.15076,985.9403,985.9012,986.0223,986.2169,986.53613,986.8893,987.2648,987.69165,988.1005,988.3544,988.4768,988.1283,987.63855,987.1546,986.8863,986.72034,986.62354,986.7622,987.07153,987.2154,987.02734,986.57666,986.3084,986.2229,986.12604,986.018,985.69446,985.354,985.12177,985.17926,985.3334,985.53845,985.6277,985.7553,985.5861,985.00696,984.12555,983.30804,982.4422,981.6458,980.9519,980.5591,980.4622
