forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:33+00:00,2025-11-05 00:00:00+00:00,9.7415,8.7415,7.9915004,7.7915,7.6415,7.5915003,7.6915,7.7915,6.7915,6.8415003,7.3415003,7.1915,7.1915,7.9915004,12.591499,16.3415,17.1415,17.8915,18.9415,19.741499,20.1415,19.2915,16.9415,14.091499,12.6915,11.341499,11.1915,11.1915,10.7915,10.3914995,11.4415,11.3914995,11.0415,8.841499,6.6915,4.6915,3.4915,4.9915004,7.8415003,10.341499,12.5415,14.2415,15.4415,16.241499,16.5915,16.241499,14.2915,11.4915,10.1915,8.659,8.559,8.659,8.709001,8.609,8.259001,7.909,7.3589997,7.009,6.759,6.459,6.309,8.359,12.209001,15.659,18.509,20.359001,21.259,20.559,20.859001,19.759,16.409,14.459001,13.359,12.559,11.259001,10.759001,11.009001,12.359,12.209001,11.809,12.859,13.509001,13.909,13.109,12.109,12.509001,14.409,15.809,17.059,18.159,18.909,19.159,19.109001,18.459,15.359,12.809,11.659,10.859,10.309,9.959001,9.609,9.509001,9.359,9.159,8.859,8.509001,8.159,8.009001,8.359,9.409,10.759001,11.459001,11.809,11.259001,10.209001,8.559,6.459,4.709,3.659,2.909,2.159,1.209,0.259,-0.64100003,-1.341,-1.9909999,-2.5410001,-3.091,-3.591,-4.091,-4.8910003,-5.741,-5.791,-4.491,-2.391,-0.44099998,1.059,2.409,3.359,3.959,4.159,3.7089999,2.059,-0.24100001,-2.091,-2.9910002,-3.441,-3.7910001,-4.041,-4.1410003,-4.291,-4.541,-4.841,-5.091,-5.541,-5.941,-5.491,-3.391,-0.44099998,2.109,3.7089999,4.909,5.709,6.309,6.509,6.009,4.259,1.7590001
2025-11-06 02:22:02+00:00,2025-11-06 00:00:00+00:00,14.841499,14.2415,12.9915,12.3914995,11.9415,11.4415,10.9915,10.0415,8.7915,8.091499,6.4415,5.1915,4.1415,5.4415,8.5415,11.4915,13.9415,15.7415,16.7915,17.3415,17.491499,17.241499,15.2415,12.4915,10.9915,10.4415,9.091499,8.841499,9.2415,9.0415,8.7415,8.4415,8.2915,8.3914995,8.6915,9.2915,9.3914995,10.341499,15.8914995,18.1415,20.0915,20.741499,21.0915,21.0415,20.741499,19.8415,18.0415,16.1415,14.5415,13.559,12.509001,13.309,12.959001,12.709001,12.859,12.759001,12.559,12.609,12.709001,12.709001,12.859,13.359,14.709001,16.109001,16.759,17.459,16.809,18.659,19.209,18.709,16.259,13.909,13.159,12.659,12.259001,11.909,11.659,11.509001,11.259001,11.259001,11.109,11.059,11.059,11.459001,12.259001,12.959001,13.309,13.259001,13.109,13.109,12.359,10.809,8.159,6.809,5.909,5.459,4.8589997,4.3589997,3.4589999,3.0089998,2.159,1.6090001,0.509,-0.541,-1.3909999,-2.191,-3.141,-4.191,-5.041,-4.291,-3.191,-2.391,-1.341,0.109,1.059,1.559,1.709,1.5090001,0.709,-0.491,-1.591,-2.2910001,-2.891,-3.5410001,-4.341,-5.191,-5.791,-5.991,-5.941,-5.941,-6.441,-6.941,-6.6410003,-4.791,-2.0410001,0.40899998,2.2589998,3.7589998,4.909,5.659,6.059,5.659,4.009,1.6090001,-0.24100001,-0.94100004,-1.041,-1.041,-1.091,-1.041,-0.89100003,-0.64100003,-0.34100002,-0.141,-0.39100003,-0.64100003,-0.041000005,2.2589998,5.509,8.359,10.509001,12.259001,13.359,13.759001,13.559,12.659,10.659,8.009001
2025-11-07 02:19:44+00:00,2025-11-07 00:00:00+00:00,9.9415,9.2915,8.6915,8.091499,7.8915,7.8915,8.3914995,8.4915,7.7415004,7.2915,7.0415,7.5415,8.4415,9.4415,15.091499,18.0915,20.0915,20.8415,21.2915,21.3915,21.491499,20.741499,18.5415,15.7415,15.3914995,14.6915,14.1414995,14.0415,12.1414995,12.0415,12.3914995,12.4915,12.341499,11.4415,11.091499,11.0415,11.091499,11.6414995,12.7415,13.9415,15.3914995,16.1415,16.6915,16.7915,16.491499,15.7915,13.7415,11.6915,10.6915,12.209001,11.809,11.909,11.859,11.359,11.109,11.459001,10.909,11.109,10.609,10.409,10.259001,12.309,13.809,14.959001,15.259001,15.159,14.709001,13.609,12.509001,11.509001,10.009001,9.259001,8.509001,7.659,7.059,6.059,4.509,3.809,3.0089998,2.809,2.5089998,0.909,0.659,0.35899997,-0.44099998,0.008999996,0.109,0.759,1.309,2.5089998,3.109,3.359,3.309,2.809,1.459,-0.64100003,-1.7409999,-2.441,-3.091,-3.641,-4.091,-4.491,-4.791,-5.041,-5.191,-5.291,-5.441,-5.541,-5.591,-3.691,-0.69100004,1.659,3.409,4.8589997,5.959,6.759,7.1089997,6.759,5.059,2.609,0.659,-0.141,-0.39100003,-0.541,-0.741,-0.791,-0.841,-0.841,-0.841,-0.791,-1.041,-1.291,-0.591,1.7590001,5.059,7.909,9.959001,11.559,12.609,13.009001,12.809,12.009001,10.159,7.759,6.159,6.209,7.1089997,7.659,7.309,6.659,6.059,5.759,5.559,5.409,5.009,4.659,4.909,6.259,8.209001,10.009001,11.459001,12.709001,13.459001,13.659,13.409,12.509001,10.509001,7.8589997
2025-11-08 02:10:28+00:00,2025-11-08 00:00:00+00:00,18.1915,15.591499,15.7415,16.8415,14.2915,13.9415,13.8914995,13.9415,13.6915,12.4915,11.7415,11.2415,10.6915,11.591499,12.341499,14.4415,15.9415,17.0915,17.991499,18.0915,18.0415,17.5415,15.591499,13.7915,12.9415,12.2915,12.0415,12.6915,12.591499,12.5415,12.7415,12.8914995,12.091499,11.5415,11.2915,11.4415,11.6915,12.091499,11.841499,9.841499,9.2915,8.0415,7.8915,7.4415,6.5415,5.3415003,4.0415,3.2914999,3.0414999,4.3589997,3.959,3.409,2.909,2.4589999,0.909,0.60899997,-0.24100001,-0.64100003,-2.141,-3.0410001,-3.841,-3.7910001,-2.591,-1.4909999,-0.39100003,0.459,0.909,0.80899996,0.35899997,0.209,-0.741,-2.141,-2.641,-3.091,-3.4910002,-3.691,-4.1410003,-4.791,-5.841,-6.6410003,-6.541,-6.541,-6.541,-6.6410003,-7.041,-5.6410003,-2.7410002,-0.491,1.3590001,3.059,4.259,5.009,5.059,4.909,3.159,0.509,-0.44099998,-0.64100003,-0.89100003,-1.291,-1.441,-1.091,-1.191,-1.2409999,-1.291,-1.2409999,-0.991,-0.69100004,-0.491,1.709,6.909,9.009001,10.309,11.359,12.009001,12.509001,12.659,12.509001,11.759001,10.609,9.659,9.109,8.659,8.159,7.409,6.559,5.709,4.959,4.259,3.559,2.609,1.659,1.6090001,3.2089999,5.709,7.8589997,9.309,10.459001,11.209001,11.559,11.509001,10.759001,8.909,6.409,4.409,3.409,2.9589999,2.559,2.159,1.809,1.559,1.409,1.3590001,1.2590001,0.80899996,0.40899998,0.85899997,3.0089998,6.059,8.709001,10.609,12.159,13.109,13.359,13.009001,12.409,11.559,10.459001
2025-11-09 02:32:03+00:00,2025-11-09 00:00:00+00:00,12.9415,11.6414995,11.4915,11.341499,11.091499,10.6414995,9.841499,9.591499,9.1915,8.9915,9.1414995,9.0415,8.9415,11.2915,15.4415,16.8915,16.4415,16.0415,13.4915,12.4915,13.2915,11.3914995,8.841499,7.0415,6.2915,5.7415004,5.0415,4.0915003,3.2914999,2.7914999,2.0915,1.6415,0.6915,0.7415,0.4415,-0.3585,-0.9085,-1.2585001,-1.4585,-1.4085001,-1.4585,-2.2085001,-1.3085,-0.95849997,-0.3585,-2.1585,-1.7085,-4.3085,-4.5084996,-4.1410003,-4.541,-4.091,-2.9910002,-4.841,-6.741,-7.241,-7.041,-5.691,-6.341,-7.041,-7.3910003,-5.991,-3.391,-1.3909999,0.509,2.109,3.359,4.1089997,4.209,4.1089997,2.2089999,-0.741,-1.3909999,-1.791,-1.441,-1.841,-1.791,-2.091,-2.0410001,-1.9909999,-2.0410001,-2.0410001,-2.0410001,-2.0410001,-1.791,0.60899997,6.259,8.159,9.759001,10.959001,12.009001,12.359,12.209001,11.559,10.409,8.509001,6.409,5.759,5.659,5.459,5.259,5.009,4.659,4.6089997,4.709,4.659,4.709,4.6089997,4.659,5.8589997,8.059,10.159,11.809,13.009001,13.809,14.359,14.509001,13.859,11.809,8.959001,6.709,5.759,5.409,5.1089997,4.759,4.459,4.209,3.959,3.7089999,3.5089998,3.0089998,2.559,3.059,5.309,8.509001,11.359,13.459001,15.159,16.309,16.859001,16.809,16.059,14.109,11.459001,9.709001,9.909,11.009001,11.609,10.909,9.709001,9.009001,9.459001,10.409,10.959001,10.259001,9.159,9.009001,10.709001,13.359,15.709001,17.359001,18.659,19.359001,19.409,18.859001,17.859001,16.109001,13.859
2025-11-10 02:22:10+00:00,2025-11-10 00:00:00+00:00,6.7415004,5.2415004,4.4415,4.1415,3.5915,2.8915,1.4415,1.3414999,0.49150002,-0.3085,-1.3585,-1.7085,-1.4085001,-1.4585,-1.6085,-1.6585001,-1.0085,-2.6585,-1.4085001,-1.5085001,-0.7585,-2.2585,-4.8085,-6.9585,-5.9585,-5.5585,-4.7085,-3.7085001,-3.8585,-3.8085,-5.6085,-5.9585,-6.2584996,-6.4585,-6.0084996,-6.0585,-6.2584996,-4.8585,-2.7585,-1.1085,0.4415,1.8414999,2.9415,3.7914999,4.0915003,3.8415,2.8915,1.4914999,0.54150003,-2.191,-2.341,-1.9909999,-2.341,-2.191,-2.141,-2.191,-2.341,-2.591,-2.5410001,-2.5410001,-2.2910001,0.659,5.459,7.209,8.809,10.109,11.159,11.659,11.609,11.309,10.359,8.559,6.959,5.709,5.3589997,5.209,4.709,4.309,3.859,3.309,2.809,2.4589999,2.059,1.6090001,1.209,2.4589999,5.509,7.809,9.759001,11.009001,11.609,12.209001,12.309,11.709001,8.359,6.159,5.059,4.459,4.009,3.5089998,3.109,3.2089999,3.2089999,3.2589998,3.0089998,3.4589999,3.559,3.2589998,2.9589999,4.409,7.809,11.009001,13.409,15.109,16.059,16.409,16.059,15.159,13.309,10.909,9.009001,8.159,7.909,7.659,7.309,7.059,6.8589997,6.709,6.6089997,6.559,6.259,5.959,6.559,8.709001,11.709001,14.359,16.259,17.759,18.759,19.259,19.209,18.459,16.509,13.859,11.759001,10.809,10.359,10.109,9.909,9.859,9.809,9.709001,9.559,9.359,8.759001,8.059,8.109,9.759001,12.209001,13.859,13.709001,12.809,12.309,13.059,14.259001,14.859,14.159,12.859
2025-11-11 02:13:17+00:00,2025-11-11 00:00:00+00:00,-4.8085,-4.2584996,-3.5585,-3.6085,-2.6085,-2.9585001,-2.5585,-4.0085,-4.4585,-5.2584996,-5.3585,-5.3585,-5.3085,-3.8585,-1.6585001,-0.3585,0.8915,2.0915,3.1915,3.9415,4.2915,4.0915003,3.3415,1.2915,0.2915,-0.0585,-0.2585,-1.0085,-0.4085,-0.0585,-0.3585,-1.2085,-1.1585001,-0.3585,0.9415,1.9415,2.1915,3.2415,6.0415,7.7915,9.4415,10.841499,12.0415,12.8914995,13.341499,13.1915,11.6414995,9.8914995,9.1414995,4.059,3.609,3.359,3.2089999,3.109,2.909,2.659,2.5089998,2.309,2.059,1.809,1.6090001,2.909,6.209,8.659,10.709001,12.209001,12.459001,12.759001,12.659,11.959001,9.059,7.009,5.909,5.409,4.809,4.509,4.209,4.009,3.7589998,3.5089998,3.309,3.059,2.9589999,2.859,2.7089999,4.3589997,7.909,10.709001,12.859,14.509001,15.459001,13.709001,12.609,12.559,10.409,9.059,10.159,10.359,10.409,10.559,10.659,10.559,10.459001,10.409,10.559,10.659,10.559,10.609,10.259001,11.209001,12.309,12.609,13.509001,14.609,15.759001,16.559,17.159,17.309,16.659,15.559,14.409,13.359,12.359,11.509001,10.959001,10.659,10.409,10.259001,10.159,10.059,9.609,9.159,9.509001,11.259001,13.809,16.009,17.509,18.709,19.409,19.609001,19.309,18.459,16.609001,14.159,12.309,11.609,11.559,11.459001,11.159,10.859,10.609,10.409,10.309,10.259001,10.209001,10.309,10.759001,11.859,13.409,14.959001,16.659,18.459,19.609001,19.909,19.559,18.859001,17.659,16.059
2025-11-12 02:15:40+00:00,2025-11-12 00:00:00+00:00,0.4415,-0.0585,-0.3585,-0.8085,-0.8585,-1.4585,-0.95849997,-1.3085,-1.2585001,-0.9085,-1.1585001,-1.1585001,-0.8085,2.4915,6.5415,8.091499,9.7915,11.1414995,12.4415,13.4915,13.9415,14.1915,12.6915,10.6915,9.841499,9.0415,8.341499,7.9415,7.2415004,6.1415,4.9915004,4.2915,3.9415,3.7415,3.4915,3.1915,2.7914999,4.0415,6.6915,9.1414995,10.8914995,12.1414995,12.841499,13.4915,13.4915,13.1915,11.2915,8.5415,7.2915,4.959,4.459,4.059,3.7589998,3.4589999,3.2089999,3.059,2.909,2.9589999,3.059,2.909,2.609,4.3589997,7.959,11.209001,13.459001,15.159,16.159,13.359,11.859,12.059,11.409,11.009001,10.859,10.709001,10.509001,8.509001,10.259001,10.659,9.009001,10.359,9.509001,8.659,10.309,10.659,10.909,11.509001,12.309,13.409,13.759001,14.209001,16.359001,16.209,17.109001,16.609001,15.709001,13.059,12.459001,11.959001,11.759001,11.459001,11.259001,11.159,11.259001,12.959001,12.909,13.909,14.209001,14.309,14.159,14.259001,14.409,14.759001,16.409,16.759,16.759,16.759,16.459,16.109001,15.759001,15.309,15.009001,14.909,14.959001,14.909,14.709001,14.459001,14.309,14.309,14.359,14.359,14.209001,14.009001,13.959001,14.209001,14.659,15.209001,15.909,16.759,17.559,18.409,19.259,19.359001,18.209,16.359001,14.909,14.309,14.109,13.909,13.609,13.359,13.109,12.909,12.759001,12.709001,12.809,13.059,13.409,13.959001,14.609,15.109,15.509001,15.709001,15.659,15.209001,14.459001,13.309,11.559,9.409
2025-11-13 02:32:39+00:00,2025-11-13 00:00:00+00:00,10.7415,10.091499,9.1915,8.5415,7.4415,6.5415,5.7415004,5.4415,4.9915004,4.6915,4.5915003,4.5415,4.2415004,5.4915004,8.1915,10.4915,12.1915,13.4415,13.9915,14.4915,15.091499,14.4415,12.341499,9.591499,8.091499,7.0415,6.1415,5.3915,5.2415004,5.1415,4.3415003,3.0414999,2.3915,2.1915,2.0915,1.9415,1.7915,2.7415,7.1915,11.4415,13.841499,15.4415,16.6415,17.1915,17.4415,17.0915,14.6414995,11.6414995,10.1414995,11.109,11.409,11.559,11.509001,11.359,11.309,9.509001,8.309,9.409,10.509001,10.659,10.759001,11.109,11.859,13.859,14.109,16.309,18.509,19.359001,19.609001,18.309,16.609001,15.009001,13.759001,13.809,14.109,14.059,14.459001,15.309,15.109,15.059,15.459001,15.609,15.409,14.959001,14.759001,14.409,14.359,14.709001,15.159,15.709001,14.909,16.159,15.109,15.359,14.359,12.459001,11.459001,10.409,9.459001,8.659,8.009001,7.409,6.909,6.3589997,5.809,5.409,5.059,4.759,4.559,6.159,8.759001,10.359,13.059,14.809,15.559,14.159,11.509001,9.559,9.259001,9.709001,9.959001,9.709001,9.309,9.059,9.109,9.309,9.609,10.059,10.559,11.009001,11.209001,11.309,11.459001,11.809,12.209001,12.559,12.759001,12.909,13.009001,13.109,13.159,13.159,13.109,13.009001,12.909,12.859,12.859,12.859,12.859,12.859,12.809,12.709001,12.509001,12.409,12.309,12.309,12.459001,12.959001,13.659,14.409,15.359,16.359001,16.959,16.859001,16.359001,15.759001,15.159,14.459001
2025-11-14 02:16:31+00:00,2025-11-14 00:00:00+00:00,8.2415,7.4915004,6.7915,5.6915,5.3915,5.0915003,4.6415,4.3415003,4.0915003,3.9415,3.6915,3.5414999,3.3415,3.7914999,8.2915,12.841499,15.7415,17.741499,18.8415,19.241499,19.241499,18.5415,16.0415,12.841499,11.341499,10.7415,10.7915,10.341499,9.841499,9.5415,9.091499,8.2915,7.8415003,7.9415,8.0415,7.6915,7.4915004,8.0415,12.8914995,15.841499,16.991499,17.9415,18.6415,19.241499,19.2915,18.8915,17.5415,16.3915,16.3915,13.009001,12.759001,13.709001,14.609,14.809,15.559,15.259001,14.909,14.859,14.609,14.309,14.059,14.109,14.109,13.809,15.109,15.009001,17.309,17.009,16.559,15.559,13.059,9.759001,8.459001,7.659,7.009,6.509,6.009,5.409,4.8589997,4.509,4.1089997,3.7589998,3.309,3.059,2.7589998,4.1089997,7.459,9.809,11.509001,12.659,13.109,13.159,12.959001,11.959001,9.609,8.009001,7.209,6.909,6.659,6.509,6.259,8.409,9.009001,9.159,8.809,8.359,7.759,6.159,6.409,6.3589997,6.459,7.009,7.959,8.609,8.659,8.809,8.809,8.809,8.909,9.009001,9.009001,8.759001,8.359,8.259001,8.659,9.259001,9.759001,9.959001,10.009001,9.909,9.409,8.709001,8.659,9.809,11.609,13.009001,13.559,13.759001,13.959001,14.509001,15.059,15.209001,14.459001,13.259001,12.409,12.209001,12.359,12.459001,12.459001,12.459001,12.409,12.309,12.109,11.909,11.459001,11.009001,11.009001,11.859,13.259001,14.659,16.109001,17.609001,18.609001,19.059,19.009,18.309,16.459,13.959001
