forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:32:34+00:00,2025-11-05 00:00:00+00:00,141.34016,142.43134,159.44388,170.83772,175.101,178.40889,184.5139,187.59456,188.74608,207.40749,210.65059,211.26367,210.37904,204.30453,212.57405,224.9999,231.51978,229.51407,235.43741,244.91644,235.09743,244.5367,246.57129,258.23172,248.6293,286.38962,292.3802,318.01288,360.0,141.34016,206.56499,352.40543,34.9921,46.468742,51.952908,55.78425,61.821507,60.068577,69.14546,79.21575,83.99109,101.003494,114.90474,133.45189,142.3057,142.69597,150.5242,153.43501,141.34016,154.5367,165.37909,168.23174,164.05453,169.3804,172.14677,173.08887,183.17976,182.93561,178.63611,180.0,184.28908,185.31445,187.59456,187.59456,189.0394,189.24603,199.57321,208.8107,198.43504,202.24907,200.95586,208.70586,210.52963,215.09589,223.99501,239.34941,218.65984,240.64233,240.2552,291.03757,323.13004,339.44388,353.6599,360.0,14.743609,23.962492,30.963696,31.607454,24.443953,355.23645,317.4896,305.53775,302.7352,302.7352,302.7352,306.02747,288.43503,251.56496,248.19853,259.9921,261.02747,248.74942,242.24155,277.8532,308.991,315.0001,325.71307,321.63248,328.5705,330.8325,332.928,336.1398,333.92468,335.37646,335.72556,335.2976,335.8209,335.9245,336.16125,337.1663,337.6198,336.5713,335.22488,335.37646,335.37646,335.37646,335.37646,332.3541,328.5705,323.74606,321.8427,324.46225,326.3099,329.9315,333.43503,333.43503,330.25522,323.8417,318.81418,313.7812,308.92755,306.15826,306.02747,306.86996,303.6901,300.96368,291.80148,281.3099,270.0,249.44386,237.99466,232.12495,224.9999,222.5104,217.56866,212.73521,210.96368,214.50858,217.87505,221.82008,227.86247,232.76509,234.86572,233.47105,229.9698,224.9999,212.00534,192.99461
2025-11-06 02:22:02+00:00,2025-11-06 00:00:00+00:00,229.39879,222.5104,231.34016,239.0363,333.43503,51.34017,67.3801,63.435013,61.189304,62.24156,59.03632,52.695976,59.03632,68.5522,78.6901,88.531235,97.69597,105.7087,123.11135,145.40765,151.92761,158.19853,156.2505,130.10085,130.81499,138.81418,151.11351,166.42955,178.02512,181.84756,185.35573,185.52745,187.85323,194.03627,191.6336,189.21095,189.68872,192.80426,204.17911,214.9921,219.80553,221.78442,226.80872,205.27768,212.27562,215.21768,203.9625,201.54105,212.00534,217.18478,220.76352,222.39738,236.3099,256.60748,288.43503,315.0001,343.3007,8.746089,42.27363,61.69934,49.398785,71.564964,96.70974,101.88863,133.1524,163.61038,183.01273,210.96368,223.36346,233.13002,240.94548,241.92761,191.30989,193.24052,216.25392,223.1524,247.3801,260.53775,275.0795,298.21725,306.86996,314.06088,320.01315,323.13,328.2986,328.13406,327.3391,329.03632,330.5242,329.589,330.70874,323.56903,325.30478,325.9806,323.13,322.3523,330.42227,330.64233,326.7251,331.6071,329.74365,324.09018,316.27295,309.17365,312.9546,312.18436,317.8156,320.1945,319.39877,318.36655,325.6196,328.8151,327.42596,322.59457,315.90927,313.2101,310.73203,309.64413,308.65982,306.02747,302.00534,291.03757,274.76355,260.53775,247.3801,236.3099,230.19447,227.29063,222.87889,219.09384,209.0545,194.7436,187.76508,190.88548,195.7087,201.25058,204.77512,209.29126,211.75943,212.73521,211.75943,209.7448,204.34108,197.19862,193.39252,194.34937,198.8248,202.89058,205.51382,208.70586,210.34317,210.34317,208.70586,208.70586,208.21725,208.8107,210.52963,215.39488,220.10085,225.78473,231.84273,237.77127,242.48808,244.44008,245.65892,245.32315,239.62096,228.01286
2025-11-07 02:19:45+00:00,2025-11-07 00:00:00+00:00,145.0079,139.89915,145.84026,162.64589,173.8846,169.6952,178.0909,184.899,191.9761,198.92474,194.03627,190.53912,191.88864,195.37631,198.10385,201.99118,218.65982,207.09547,213.40784,211.37296,224.9999,230.7928,234.86572,216.86998,259.21576,273.27042,266.6336,285.75125,287.52567,303.6901,323.13004,345.9637,56.309914,104.03627,106.699326,101.3099,95.7105,108.43504,11.3098955,360.0,167.4712,171.86998,188.42688,198.43504,212.19571,203.42871,184.57384,175.23645,200.85454,248.19853,223.02507,229.08571,243.43501,239.53453,257.4712,265.03033,287.1028,305.21768,311.7602,325.4914,326.68936,328.8151,336.16125,336.6444,337.3801,332.3541,338.42862,331.9909,334.65387,336.0375,331.6071,332.90454,333.94656,333.94656,335.46228,338.6293,339.71735,338.42862,338.682,337.69376,336.8014,333.43503,328.73633,323.13004,324.6887,327.99466,337.93204,340.70987,337.69376,332.176,327.09476,322.85324,320.90613,318.94528,315.0001,305.83774,302.90524,306.25394,301.60745,288.43503,270.0,224.9999,194.03627,194.03627,184.08554,196.38962,188.97255,190.78426,182.4895,184.76355,189.72751,200.22495,199.23076,205.51382,208.61037,209.0545,208.07239,207.07199,203.9625,201.12479,199.23076,201.57137,207.09547,210.76265,211.37296,212.6609,212.27562,212.9694,211.86594,211.86594,211.86594,211.42952,214.43904,221.30852,228.46832,234.7275,239.98172,245.82089,249.19313,250.49745,251.1752,250.25307,246.3706,236.88864,226.73567,223.1524,226.8476,230.52757,232.59457,236.3099,240.94548,244.7989,249.44386,258.6901,270.0,284.03625,303.6901,330.9455,360.0,14.931467,23.629398,26.564985,29.357658,25.201094,18.435053,18.435053,29.357658,44.999897
2025-11-08 02:10:28+00:00,2025-11-08 00:00:00+00:00,244.5367,264.47256,288.43503,274.08554,274.39862,270.0,270.0,302.47116,325.0079,6.3401003,78.6901,90.0,345.9637,63.435013,85.23644,113.962494,142.3057,165.96373,199.65392,226.12321,230.19447,244.1337,254.05453,245.55606,229.08571,187.12492,177.79745,192.5288,226.33215,228.99101,300.06848,303.6901,302.96942,306.6562,309.8055,314.32605,314.21527,314.29276,319.86456,322.3343,324.1301,318.6746,312.70938,310.33307,314.40942,316.2188,316.93057,318.36655,322.59457,329.65683,336.16125,337.9637,336.8014,335.13632,334.05774,328.78165,326.3099,318.81418,310.60123,306.02747,306.02747,306.46933,314.02905,315.0001,315.855,312.58044,311.2846,310.17917,314.32605,315.0001,315.0001,316.1232,304.3804,297.8972,288.43503,266.186,245.55606,239.0363,231.34016,224.9999,220.60121,224.9999,211.42952,201.80147,200.85454,195.94547,206.56499,210.25635,213.34073,215.2725,218.991,217.07317,213.38853,208.52303,205.60214,202.6199,202.24907,206.56499,207.55272,210.411,210.96368,209.4758,209.0545,210.57915,209.0545,211.53474,213.6901,219.95749,220.73201,225.8813,230.19447,240.5242,248.96242,256.93066,262.8751,266.6982,268.75467,271.46878,273.57626,274.76355,276.3401,273.57626,273.814,273.814,281.3099,293.6294,302.00534,308.15726,317.4896,328.39255,340.3461,352.40543,360.0,360.0,354.2895,346.60748,336.8014,326.3099,321.009,319.39877,321.34018,323.61554,327.99466,341.56494,7.12493,50.194473,73.300674,90.0,108.43504,135.0001,146.3099,148.39255,143.13002,140.19447,144.46223,150.9455,156.80139,158.62932,159.44388,164.93146,182.04536,199.53674,210.1413,211.26367,207.55272,201.80147,199.29015,195.94547
2025-11-09 02:32:03+00:00,2025-11-09 00:00:00+00:00,281.3099,105.945465,121.60746,146.3099,159.14546,182.29056,180.0,201.4478,210.96368,285.46127,305.9422,310.8553,313.26434,315.0001,315.0001,316.70132,314.38403,315.5672,315.0001,319.574,316.88815,319.30457,320.64825,325.30478,327.05078,329.03632,327.05078,323.29706,326.54666,327.05078,325.4914,323.74606,326.82147,325.4914,320.30096,321.49933,310.60123,312.1375,310.3998,316.06082,313.47928,311.93344,309.5361,307.30402,307.47626,306.20953,305.75397,306.1933,297.2995,286.92758,270.0,261.02747,260.53775,266.6336,256.75946,255.06853,251.56496,239.03632,229.08571,219.09384,211.42952,197.6502,213.6901,217.47626,214.43904,213.34073,217.09291,217.50421,213.6901,205.55992,203.6294,201.80147,199.9832,203.19861,207.55272,211.75943,209.29126,208.61037,208.44283,212.22873,213.38853,213.9965,216.86998,221.42357,220.46214,222.18437,226.78989,238.10924,249.82925,252.64589,252.97939,255.42574,260.34018,260.2725,256.50424,233.74606,218.65984,233.74606,248.96242,236.3099,262.8751,293.1986,330.25522,318.81415,338.19852,44.999897,323.13,14.036275,29.054508,59.03632,41.185837,37.875053,36.86999,29.744795,345.9637,333.43503,333.43503,339.44388,15.945477,60.94549,81.86999,100.619606,115.20109,129.09386,138.81418,146.3099,154.65387,160.70985,165.96373,168.69011,168.69011,165.2564,165.2564,171.86998,180.0,188.74608,199.09358,210.96368,218.36752,218.36752,216.46933,211.32863,201.37068,187.43132,175.03035,172.56868,172.56868,172.56868,170.13426,167.73524,168.23174,170.9098,175.76369,180.0,181.9091,183.814,185.52745,188.88058,191.6336,194.03627,196.69933,199.57321,200.95586,202.24907,203.55228,201.25058,192.5288,181.54813
2025-11-10 02:22:11+00:00,2025-11-10 00:00:00+00:00,318.69147,330.1012,335.22488,335.46228,336.1398,337.75092,329.2646,328.78165,323.97253,308.4181,302.15228,306.11945,310.60123,313.0251,313.06943,311.69803,314.4646,313.97705,309.98682,306.57312,310.10083,310.2363,311.009,305.9422,303.2749,295.7099,289.9832,276.84268,277.1249,258.6901,229.76372,205.01686,205.34613,213.6901,210.0685,210.0685,205.34613,205.4633,224.9999,225.90929,225.85501,221.72942,217.87505,213.95909,211.1224,206.1615,200.89784,192.65256,194.03627,201.57137,208.61037,211.67543,213.9766,213.6901,212.47118,213.07068,214.9921,215.39488,217.64769,219.09384,218.23386,220.31403,223.26433,244.98314,258.23172,255.37909,257.98856,265.03033,268.6981,268.26434,267.70944,273.3664,291.03757,292.6199,308.65982,322.12494,341.56494,355.23645,19.983198,41.63345,53.972538,58.392544,57.264786,69.44387,83.659904,69.44387,86.186005,93.814,104.93147,98.74608,90.0,97.12492,102.5288,109.98319,103.24053,113.198616,118.8107,123.02387,126.86999,131.82008,139.89915,141.34016,145.71307,153.43501,155.37645,155.37645,156.2505,162.89719,158.96242,163.81073,169.3804,172.87508,172.87508,178.21013,189.21095,192.5288,195.25517,196.69933,192.5288,184.57384,177.5105,172.56868,167.73524,165.96373,164.3577,165.4655,165.96373,167.90526,171.57312,175.60138,175.60138,175.76369,175.91446,178.15244,181.63654,182.93561,183.90042,185.94676,186.84268,188.65247,189.92618,189.46225,183.01273,174.68555,169.15974,167.09259,165.67725,165.14134,165.96373,166.37299,165.41104,159.95467,153.43501,151.55717,159.60504,171.40417,181.97488,191.73854,204.22774,219.55963,232.206,240.78085,245.62354,248.03938,248.5522,247.21756,243.43501,236.65927
2025-11-11 02:13:17+00:00,2025-11-11 00:00:00+00:00,322.59457,299.0545,275.44025,279.86575,282.5288,304.50858,249.77505,212.27562,206.56499,214.3804,206.56499,190.78426,192.26476,190.3048,209.19739,214.0194,210.96368,206.56499,204.84236,201.29742,201.96062,204.30453,203.57472,199.17911,195.52417,198.08354,203.9625,211.32863,217.05661,220.50276,221.55252,221.4676,219.68541,217.87505,218.15727,219.3693,223.21011,223.99501,238.32457,246.3706,256.2637,258.17853,257.90524,254.62369,251.99574,255.2564,255.4655,257.73523,272.6025,285.25516,310.60123,303.6901,296.56497,333.43503,315.0001,101.3099,83.659904,95.7105,100.30479,104.93147,111.801476,122.73522,132.27362,137.72638,143.13002,151.92761,168.69011,188.74608,197.10281,206.56499,198.43504,172.40544,162.64589,153.43501,160.70985,162.3498,159.14546,166.60748,174.55975,174.80566,177.27374,182.72626,185.44025,191.30989,185.44025,177.39749,174.80566,187.76508,204.44394,219.80553,230.19447,229.39879,233.84172,244.17906,230.52757,201.25058,190.78426,188.13002,188.13002,182.60251,190.3048,191.30989,193.39252,201.80147,203.9625,198.43504,186.00891,183.01273,183.01273,185.44025,190.3048,198.43504,204.77512,208.30066,209.0545,208.1785,208.1785,204.90474,201.03758,194.62091,185.44025,177.39749,170.13426,168.69011,173.41815,180.0,186.3401,192.5288,195.94547,199.65392,199.0257,198.43504,200.13638,208.07239,217.18478,222.95459,226.90913,229.68597,230.52757,228.81418,226.04153,220.426,213.17853,199.79897,189.46225,184.76355,182.4895,182.3859,182.20255,184.08554,183.814,183.57626,185.19434,183.3664,180.0,174.47255,170.83772,173.29025,178.53123,180.0,178.53123,175.101,172.87508,176.72958,182.93561,183.99083,177.33705,167.90526
2025-11-12 02:15:41+00:00,2025-11-12 00:00:00+00:00,190.40765,194.03627,202.78244,208.61037,211.29298,218.36752,219.55963,219.28938,218.33337,220.71075,221.4676,222.7688,223.36346,224.11868,234.6887,242.04912,257.5926,272.54474,272.6025,278.13,282.5288,278.88058,272.3859,270.0,265.23645,252.47433,248.19853,243.43501,224.9999,168.69011,135.0001,135.0001,135.0001,135.0001,135.0001,97.12492,99.46225,98.74608,100.00792,98.13002,102.80426,129.28938,175.23645,199.9832,203.9625,161.56496,142.43134,150.5242,150.5242,135.0001,141.7098,139.89915,142.69597,150.5242,156.50142,160.82089,161.56496,165.96373,168.23174,168.69011,171.25392,177.87895,192.5288,213.6901,216.52895,220.23628,220.426,224.9999,229.39879,222.5104,218.04709,210.96368,182.72626,177.5105,184.96965,192.26476,197.6502,200.85454,199.17911,200.55612,201.37068,200.55612,202.93213,203.7495,199.65392,205.01686,207.97939,216.86998,220.46214,225.85501,225.83023,230.7928,224.9999,220.31403,214.04597,208.49554,207.75845,220.31403,219.47243,223.1524,223.1524,224.09071,226.90913,230.90614,229.08571,230.38934,228.36655,224.9999,223.83095,223.83095,229.574,240.42226,245.77226,246.80139,247.28555,247.47939,246.0375,244.17906,239.0363,230.19447,219.09384,212.90524,210.0685,208.8107,207.64589,204.44394,203.49858,200.55612,198.43504,195.6423,190.88548,188.13002,187.59456,192.33908,199.9832,205.90645,208.92633,210.34317,210.17343,207.5972,203.83875,200.40997,198.03438,197.19862,197.19862,195.59286,194.93147,197.6502,207.1496,221.30852,231.34016,231.14662,226.73567,227.72636,246.0375,274.18484,292.24908,301.15924,307.56866,314.145,321.34018,328.5705,336.61475,344.24875,351.87,358.6361,4.398633,10.007925
2025-11-13 02:32:39+00:00,2025-11-13 00:00:00+00:00,231.34016,216.86998,203.19862,188.13002,187.12492,199.65392,202.6199,187.12492,195.94547,170.53775,140.19447,135.0001,101.3099,97.12492,114.44395,72.89719,77.4712,85.23644,116.56499,285.94547,303.6901,300.96368,303.6901,324.46225,326.3099,140.71062,156.80138,123.6901,128.65984,122.471176,124.21575,130.81499,133.53127,138.99101,140.19447,145.78424,150.01845,154.2901,166.50426,188.13002,203.02553,212.6609,219.80553,223.31535,224.9999,227.81563,224.9999,197.74477,184.23631,182.3859,189.46225,189.46225,187.43132,189.46225,189.86574,189.86574,191.30989,193.49574,194.03627,195.42223,196.18927,199.44012,203.19861,212.6609,217.97166,228.81418,224.9999,226.43204,224.9999,219.0355,216.6342,213.36638,217.11694,222.43619,221.08165,221.98714,225.74397,229.89915,232.22426,230.6307,228.36655,230.19447,230.35587,235.92276,233.42688,231.58191,242.74475,258.9591,271.3639,281.88864,284.03625,288.43503,293.4287,326.3099,5.7105074,25.016869,26.564985,22.380184,41.63345,56.3099,75.96373,90.0,73.300674,79.380394,74.47583,92.72626,92.4895,96.84268,102.26476,79.69521,103.49575,136.54811,150.2552,198.43504,211.42952,211.60745,207.69939,204.77512,203.19861,202.47948,199.09358,194.5345,192.72435,193.24052,201.80147,212.90524,220.15593,223.91916,226.33215,226.63654,219.09384,205.2011,195.52417,198.43504,210.46547,219.09384,226.8476,234.16226,247.1663,276.70975,319.0857,338.6293,345.9637,354.2895,3.3664,14.931467,23.198618,28.30066,26.564985,25.016869,25.016869,31.607454,38.65983,44.999897,41.98713,36.86998,35.537766,40.601215,49.085716,53.13002,53.13002,49.398785,21.801476,360.0,353.29025,357.27374,9.462261,36.027473
2025-11-14 02:16:31+00:00,2025-11-14 00:00:00+00:00,315.0001,102.99462,105.64231,111.801476,119.74479,126.86999,149.03632,131.42357,135.0001,146.3099,150.75127,152.52565,155.22488,164.57777,182.12105,205.2011,211.50421,221.05472,224.11868,224.9999,224.0609,224.02907,221.18582,198.43504,177.79745,177.87895,180.0,186.1154,183.94511,192.5288,192.09474,196.69933,197.24155,202.1095,201.16133,201.5015,208.49554,207.1496,216.46933,226.93057,228.73149,225.61598,226.77144,226.70131,222.75424,218.92755,217.07317,213.38853,217.09291,221.18582,226.54811,224.9999,229.14471,225.80684,229.02835,229.89915,231.14662,232.35231,234.78232,235.1246,239.85869,245.09526,250.34608,264.2895,288.43503,300.37906,315.0001,330.01843,344.57776,356.42374,6.842679,12.804273,35.837746,37.875053,43.152412,44.999897,48.814175,54.782326,52.594578,59.93151,62.354122,66.80139,83.41815,86.98728,92.4895,90.0,122.27562,121.42952,109.025696,101.3099,110.13639,116.56499,128.41809,124.159744,133.66785,132.13753,128.991,139.574,141.1155,148.13406,154.65387,176.72958,172.64772,202.8337,231.84273,216.86998,191.88864,188.97255,189.46225,202.38017,207.89717,209.0545,214.50858,232.43134,251.56496,294.44394,339.44388,360.0,12.26477,26.564985,39.09386,47.12111,53.74608,61.92762,72.64589,83.29026,86.63361,82.875084,72.64589,64.98315,66.37061,68.74943,70.559875,71.564964,68.19853,18.435053,15.255177,23.198618,33.178535,56.768288,80.960594,93.301796,100.619606,107.52566,113.962494,105.945465,360.0,331.69934,350.53775,126.027466,135.0001,146.76828,160.64091,166.9081,166.55138,163.41258,160.49747,158.58696,155.63756,155.94266,158.36905,163.03377,166.18495,166.75948,166.84245,171.02745,192.09474,239.98172
