forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:43+00:00,2025-11-05 00:00:00+00:00,10.086427,10.182337,10.594036,9.6932955,9.793058,13.527572,19.486609,19.161337,20.87379,19.969458,19.878391,19.586119,15.629971,12.261157,14.565548,19.862083,17.884428,12.015589,12.57426,15.034041,14.003029,14.799459,16.42247,15.281989,11.304229,9.227524,9.885262,7.342588,10.829959,8.12197,9.387651,5.991594,7.5170207,9.585739,8.534353,7.42159,7.289444,7.172949,7.8625183,7.729527,7.2359104,6.9899354,6.489992,8.669949,17.49615,20.12461,17.193533,15.844089,9.36,20.617662,25.537172,30.29566,32.90999,34.09373,34.69847,33.651817,32.85678,32.76791,30.886656,26.044699,19.809813,14.973576,18.998316,21.42227,25.683926,27.834309,29.17777,27.757376,26.6327,24.933735,22.461807,16.267857,12.24,10.97262,9.585739,9.107359,10.483357,10.853866,11.013882,11.27553,11.440979,12.313894,11.988594,13.527572,13.358861,13.75558,13.32,18.079027,21.313093,23.110205,22.539564,21.203358,19.61587,17.309975,11.440979,3.096837,7.289444,25.772078,44.4261,41.09838,38.973217,36.44722,31.367548,32.47591,30.566095,29.548521,33.014175,36.890778,33.651817,33.37338,33.161064,37.83941,36.367126,35.647274,32.902103,31.205997,29.275326,26.758923,23.806318,20.771093,17.477621,14.291592,11.681987,10.24578,10.239453,10.853866,10.805999,9.885262,8.854829,8.669949,7.928177,6.989936,6.439876,6.379216,6.519877,7.5685663,9.178235,11.27553,13.441071,14.986553,16.58346,17.22742,16.854767,16.039202,15.84,15.905319,15.5843,15.5843,15.484185,15.941944,16.327497,17.076298,17.917007,18.204042,18.03237,17.22742,17.709658,19.803272,22.38378,24.967497,26.260265,27.238941,27.729347,28.357855,28.82249,28.33957,26.00486,23.241617
2025-11-06 02:24:47+00:00,2025-11-06 00:00:00+00:00,13.039754,10.805999,9.36,6.489992,7.2359104,7.6367526,6.489992,6.9247384,6.4096174,6.8399997,7.968939,7.42159,8.049845,8.427383,7.9036193,10.44,6.9153743,3.219938,6.792466,5.0911684,7.9932966,15.192682,17.477621,11.043261,10.538843,9.826088,10.086427,10.495713,11.659777,20.3774,18.171976,19.228851,21.068459,18.11841,16.08761,13.281023,8.311245,2.9024127,14.003028,16.418526,21.647945,22.805367,24.64094,25.277023,24.490585,22.702845,19.67195,13.783817,8.669949,10.948973,10.787993,10.390226,10.105681,9.007196,8.209263,10.383987,12.475961,11.592894,13.708391,11.570515,11.525623,13.363711,12.783802,13.32,16.434305,18.089775,19.373219,19.376562,15.716793,16.179985,14.512064,14.799459,32.561596,42.136917,38.48129,35.455887,30.85307,28.66694,25.862436,21.758419,19.386593,21.046917,28.385262,34.152596,35.02561,33.97187,34.03476,39.828434,38.85666,37.564407,35.728977,35.230373,34.80848,33.818928,32.48788,28.988384,24.023088,20.774214,17.673029,13.551501,11.988594,9.726664,10.00256,8.373386,6.9899354,5.6920996,5.1919937,3.0547013,2.2768397,3.219938,5.8048253,5.8048253,6.162207,6.87779,9.47012,12.0694,15.509274,17.58481,17.418196,16.09969,15.484185,15.905319,16.75064,17.518356,18.057508,18.733839,20.06334,22.35481,24.821732,26.807312,26.944744,25.809765,25.809765,27.56058,30.121912,32.36398,33.809345,35.261623,36.233242,37.207355,38.161697,37.67637,34.936695,31.106167,28.61264,29.257614,31.006012,32.744175,33.973778,35.309372,35.632725,34.387066,32.23357,30.085318,28.696312,27.322077,26.072052,25.282152,24.490585,23.993399,23.219301,22.59699,21.794127,21.261345,20.799152,19.592731,15.844089,11.113451
2025-11-07 02:23:14+00:00,2025-11-07 00:00:00+00:00,9.885262,10.440001,9.904906,10.365251,16.676977,18.218275,21.413193,22.782625,21.889065,21.437386,18.723461,13.363711,20.674156,13.830749,17.727943,22.7057,23.441502,22.45315,22.702845,21.518847,20.730501,19.523155,17.551615,12.10157,8.209263,8.049845,7.10031,4.5536795,2.16,6.0347,9.178235,9.360001,9.114471,9.779817,9.3876505,9.726665,9.746631,10.495713,10.495713,15.941944,18.430452,19.011953,19.008547,16.135872,13.049689,10.182337,5.6233797,12.245294,13.722565,39.468872,36.16701,33.895485,32.52177,29.947153,29.387999,27.362368,26.161375,26.758923,26.552288,30.124065,28.387545,26.368616,25.984917,34.75445,34.04047,33.626774,32.619255,31.845247,31.012281,30.85307,31.278593,25.068514,20.49156,16.610792,14.003028,13.18308,11.435313,9.693296,8.28,6.6185193,6.519877,11.592895,11.923557,10.028439,8.209263,4.2136917,3.8268526,4.198285,4.39436,6.6185193,7.771331,9.726665,12.849528,15.716793,18.837322,17.58481,14.764389,16.279802,18.448023,21.542923,23.535301,24.130743,25.455843,25.849905,27.553526,28.691795,28.696312,29.714724,30.758411,30.085318,31.193535,35.50155,36.54665,35.598152,36.233242,36.086296,35.770668,34.793587,31.877792,27.890127,25.620771,26.999998,30.124065,32.569557,33.441265,33.3792,32.902103,31.534437,29.714724,27.558228,24.606731,21.461555,19.66536,20.291357,21.900904,22.862123,22.380884,21.2522,19.813087,18.057508,16.179985,13.708391,10.853866,10.296251,11.885453,12.979984,13.276144,13.551501,14.658676,16.808569,18.36353,18.03237,16.62249,15.328561,14.934577,14.84318,14.693999,14.529915,14.618837,14.8257065,14.658676,13.708391,13.237039,13.527572,13.849477,13.281023,10.97262,7.7879906
2025-11-08 02:12:46+00:00,2025-11-08 00:00:00+00:00,6.9527545,8.587338,6.9247384,4.68,4.39436,7.729527,6.8399997,6.725354,9.3876505,7.8625183,9.779817,10.105681,10.105681,9.9571085,7.42159,13.202726,14.386494,15.530151,13.363711,13.392774,18.504139,21.2522,23.042812,24.014996,21.325253,21.407139,21.325253,19.161337,15.459054,13.684735,13.37825,12.43434,10.041354,12.661564,13.009903,13.207634,14.578888,13.896187,18.59845,23.933908,24.014996,25.364037,27.44513,27.51116,25.721743,25.6233,24.905132,21.841648,15.542662,14.84318,13.004922,12.24,12.303366,12.849528,12.245294,11.165805,10.105681,10.464798,9.826088,9.178235,7.5942073,7.2,6.9153743,9.028754,9.085988,8.4963045,9.339208,10.483357,12.287555,14.05845,16.039202,15.328561,14.081478,15.379206,16.746773,20.056877,23.664352,25.959969,24.490587,23.97989,24.64094,26.552288,28.1169,28.1169,29.869154,31.89608,32.688713,35.74711,39.299404,39.606544,39.134167,39.47708,39.081146,38.773186,33.672993,30.45566,26.61323,31.52005,37.212578,38.85666,39.562347,38.141315,35.06629,31.487143,25.952478,16.992609,17.068707,16.595179,13.104198,11.019764,8.435069,5.8048253,4.3498964,7.10031,9.686609,12.979984,15.778518,17.22742,17.174677,16.29174,15.629971,15.021105,14.693999,14.917212,14.145756,12.849528,11.720751,11.090103,10.24578,9.793058,9.726665,10.483357,11.119281,8.942214,6.297428,5.3999996,6.28713,7.628263,9.107359,12.313893,15.815435,17.581125,15.893093,12.641076,10.144082,9.178235,9.107359,9.6932955,12.0694,15.175612,17.25373,17.114204,15.844089,15.256526,15.596767,16.055353,17.31746,19.66536,22.862123,25.11758,26.407907,26.727423,27.047956,27.212759,26.89419,25.759504,22.127556,18.0036
2025-11-09 02:34:12+00:00,2025-11-09 00:00:00+00:00,19.852295,22.104116,24.482647,19.855558,19.008547,15.175612,12.768586,11.013882,12.371645,15.39184,20.966715,16.981165,14.799459,17.208603,16.87398,23.051247,23.936617,24.923338,25.509243,26.478973,24.905132,25.6233,25.651104,22.461807,16.87398,14.118243,10.630672,9.178235,6.618519,5.5887027,6.849467,7.2805495,5.815978,3.7585104,6.439876,7.386582,7.145796,6.696387,3.6179552,3.396233,5.04,6.924738,6.4799995,4.3498964,3.319036,2.4149535,2.0991426,4.510787,8.209263,15.629971,16.854767,19.011953,24.648829,25.562534,25.721743,24.216522,25.764534,27.345785,28.58545,30.282827,31.76375,32.44996,33.24888,36.918873,38.816612,38.403748,38.278683,38.71465,38.71465,39.134167,36.08091,34.298386,29.827904,31.421213,35.455887,39.20696,40.10406,39.279613,37.440002,36.08091,33.35784,29.574827,26.959166,24.363249,18.844202,15.7908325,13.276144,15.542662,13.039754,9.9571085,10.948973,11.177405,10.365251,8.759178,8.12197,7.7879906,8.942214,8.913181,7.145796,9.565437,9.6932955,10.823973,10.805999,10.538843,8.350138,6.9899354,9.114471,8.669949,8.435069,9.0,9.957108,11.435313,15.072783,18.374111,22.415602,24.149532,24.86868,24.590923,22.027763,18.374111,16.954432,18.374111,22.101183,25.38702,27.682571,29.548521,30.21642,29.598919,28.202042,27.466372,27.887802,29.250967,30.659237,31.89608,33.3792,34.964508,36.659946,38.023907,38.82162,39.04797,38.723015,37.1969,32.68871,27.551172,24.850431,27.362366,32.407997,37.095722,40.345707,42.894417,43.973083,42.877792,39.98594,37.44,35.010807,32.908016,31.700449,32.489876,34.488674,34.275703,31.487139,30.817343,33.425762,35.52162,36.77114,36.429436,34.152596,30.513052
2025-11-10 02:24:54+00:00,2025-11-10 00:00:00+00:00,11.525623,12.661564,12.224107,13.207634,11.019764,9.673221,7.386582,6.618519,6.638072,2.0991426,6.12,6.489992,7.2805495,5.8603754,1.8,2.7416782,3.219938,4.8433046,4.3349743,2.9024127,0.5091169,2.16,4.73506,5.8048253,8.587338,10.805999,11.440979,14.345898,14.471821,13.698934,14.04,10.239453,9.531505,11.090103,8.905908,7.928178,14.986553,22.065973,25.992397,29.5551,27.871534,26.66188,27.66384,28.40124,28.185955,26.925497,25.189713,20.799152,17.654686,33.24888,38.141315,39.503334,38.93995,36.115017,32.84494,24.066206,17.429354,14.529915,15.072783,14.291592,12.819235,11.525623,10.182337,11.113451,8.587338,8.049845,5.04,2.968636,1.484318,2.1897945,2.5455842,7.7043357,9.227524,8.287822,6.924738,7.491114,6.638072,4.6938257,5.3517847,8.891344,11.525623,9.983106,10.00256,10.948973,11.720751,12.096214,12.72283,16.434305,20.380579,22.768396,25.759504,26.729847,26.89419,26.434887,24.472057,19.0392,18.486622,18.998314,22.702845,30.05515,31.655441,32.44996,32.217484,31.421213,30.302078,30.147717,30.035742,30.035742,29.250967,29.09103,29.09103,33.532215,36.247547,37.457306,38.19564,39.122574,40.016712,39.875587,37.612675,34.627434,33.1376,34.56,37.10795,39.6801,41.947342,43.893436,44.52663,43.561485,42.150757,41.439106,40.113754,37.71075,34.895866,31.394394,27.757378,27.492311,33.651817,43.644707,50.153828,50.34339,48.009747,45.755417,44.332653,42.340958,38.329437,31.722921,28.296091,28.460497,23.47741,16.489416,13.493999,13.324863,13.324863,13.32,12.979984,12.783802,12.758432,12.303366,12.245293,11.753877,11.609651,11.183201,11.592894,12.819235,14.05845,14.291592,12.229406,8.654987
2025-11-11 02:15:27+00:00,2025-11-11 00:00:00+00:00,9.178235,9.178235,8.287822,10.464798,10.495713,11.367109,14.113653,9.531505,10.483357,15.459054,20.63023,24.33664,25.006397,25.992397,26.368616,28.257132,26.785547,25.1614,25.661207,25.762016,25.567604,25.683926,24.20314,19.64228,15.379206,16.267857,17.22742,21.09305,21.924562,25.567604,27.859905,25.570139,15.856354,3.319036,10.086427,4.802999,5.315336,8.049845,6.4096174,4.510787,6.5693827,6.9899354,3.0758414,1.9386592,6.8777895,12.979984,12.371645,10.495713,10.383987,13.004922,14.565548,15.315873,15.5843,18.0,22.608458,23.110205,21.325253,17.388409,16.645864,16.24394,17.026896,14.372974,15.034041,20.140705,23.828083,27.055143,28.174458,25.809765,25.1614,23.584808,21.461555,16.039202,16.62249,17.106628,18.35647,23.598541,28.48326,30.351225,30.821552,27.416782,24.344624,22.73707,21.273533,21.746502,22.657131,17.068707,12.783802,20.188908,24.48,27.055143,27.748037,26.282463,26.980793,27.345785,25.417631,20.774214,17.106628,20.674158,21.38897,24.522316,27.397867,27.757376,30.602118,32.058193,32.41799,31.319998,30.24214,28.802248,33.87062,32.88635,32.2034,31.259945,29.195534,31.319998,32.49785,32.88635,33.2781,32.59939,29.69727,26.079508,23.084955,21.647945,21.829777,24.023088,28.576382,34.862427,39.47708,42.155373,44.30341,44.676273,42.60338,38.687855,35.589054,34.80848,35.364388,34.509335,31.575506,28.583183,27.504093,29.651413,32.714474,33.29173,29.548521,23.510508,18.532135,15.807239,14.20062,14.336861,17.388409,22.057161,25.44566,26.576681,26.576681,25.772078,24.315327,22.218153,20.929594,21.273533,22.086521,22.35481,21.434364,20.163212,19.523155,19.08,19.35314,18.899143,15.978484,12.24
2025-11-12 02:17:59+00:00,2025-11-12 00:00:00+00:00,17.026896,17.727943,17.87718,19.969458,21.273533,15.937878,15.141414,14.658676,13.905509,8.759178,10.239453,9.220499,6.151683,6.830519,8.4042845,8.089993,7.386582,2.8799999,2.16,6.9153743,11.91812,15.141414,13.556282,10.703569,9.957108,9.1641035,9.422101,9.673221,11.592894,12.0694,9.605998,8.64,10.08,9.746631,10.823973,10.538843,9.885262,10.823973,11.928989,18.35647,21.09305,20.799152,20.268991,20.780453,22.101183,22.101183,20.898611,14.84318,10.105681,18.844202,22.101183,27.792374,30.396025,32.789658,32.35997,31.018547,28.883131,25.537172,22.862123,20.63023,17.414474,15.807239,14.654254,22.065973,24.122686,24.29133,24.985659,25.189713,25.759504,25.12016,24.675106,20.696085,18.416384,19.959719,23.143827,23.933908,26.758923,27.210379,26.525429,26.867676,26.980793,25.729298,24.248613,23.006226,22.26477,20.945072,21.734581,25.762016,26.562046,27.06472,28.185955,27.86921,26.89419,26.564486,26.474077,24.18707,18.888851,17.654688,18.532133,22.086521,23.4,23.469128,26.339111,26.089447,25.133053,23.1774,21.203358,21.028437,20.969807,20.26899,20.972897,23.233252,23.667091,25.671307,27.288855,27.908709,27.645092,26.124195,22.427162,18.39878,16.039202,15.696165,16.179987,16.79314,17.0763,17.10284,17.309975,16.800856,16.039202,15.021105,14.689588,15.137133,16.071491,16.700275,17.643673,19.45333,22.33161,25.562534,28.082308,29.539747,30.293522,29.239891,24.50381,18.36353,13.363711,11.525623,11.542478,11.609651,12.7279215,13.797912,12.24,6.8777895,12.879752,21.252197,23.277834,21.599998,20.46941,21.068459,21.868332,22.065973,21.175837,19.228851,17.884428,17.10284,16.595179,15.7908325,14.565548,13.584932
2025-11-13 02:34:50+00:00,2025-11-13 00:00:00+00:00,10.009036,7.928177,8.209263,8.714677,10.086427,10.636766,9.449572,9.346143,10.440001,10.08,12.783802,10.594036,9.422101,10.163227,9.0,15.281989,16.1198,17.447933,18.0,20.431387,21.398056,19.917469,19.13426,13.493999,10.703569,14.003029,16.75064,17.643673,17.339897,16.203999,12.964998,10.086427,8.825508,9.659814,8.707237,8.557102,8.427383,10.00256,8.0899935,19.272614,19.881649,19.770523,19.164717,18.837322,19.008547,18.057508,18.057508,13.1041975,10.086427,19.201874,23.587555,26.525429,28.006058,27.210379,27.210379,27.322077,26.867676,25.516865,23.906818,23.469128,23.598541,22.406927,23.03156,28.04305,29.07989,29.07989,29.308508,29.46947,30.274265,30.432245,29.462873,24.821732,19.839235,17.81909,18.161278,20.150354,24.86868,27.70831,28.533264,27.381308,26.044699,25.812277,26.250393,24.458813,20.620804,15.072783,13.217443,17.283749,18.775301,17.373497,18.391735,19.881649,18.709612,18.0,14.618837,9.504273,11.435313,14.512064,16.199999,14.255272,14.255272,15.281989,15.124284,16.575644,16.08761,17.654688,17.566378,16.323528,15.782622,14.081477,13.779114,28.1169,36.04497,36.028786,34.518726,34.743263,34.245445,31.956972,26.999998,20.948164,16.311613,14.707222,14.799459,14.689589,13.570615,12.904882,10.990322,8.049845,7.491114,10.144082,11.177405,11.252519,11.165805,10.948973,10.365251,9.511088,8.209263,6.638072,6.151683,7.92,11.013882,13.202726,14.799459,17.114204,18.39878,16.1198,11.841756,9.007196,9.511088,12.229406,15.277749,17.283749,19.174856,19.914215,19.8,19.33639,18.11841,16.09969,14.417988,13.627795,13.138765,12.964998,12.783802,11.304229,9.746631,8.669949,9.565437,12.181624
2025-11-14 02:18:54+00:00,2025-11-14 00:00:00+00:00,10.163227,10.587917,11.726277,10.446206,11.542478,14.578888,19.64228,18.847641,21.897945,20.456745,14.145756,11.91812,8.654987,3.9763298,0.35999998,18.0,18.35647,16.992609,15.986593,16.418526,18.218275,18.218275,15.856354,9.511088,10.823973,10.308831,14.587776,21.862406,23.210928,22.553934,21.897945,22.238562,21.485697,22.288042,23.710857,23.966375,23.269482,21.599998,20.466246,22.691423,20.421871,18.335276,17.884428,20.380579,20.172853,20.808498,19.803272,14.512064,9.726665,17.208603,19.483284,24.482647,27.70831,27.729347,26.434887,25.133053,21.817902,16.179987,13.551501,10.948973,9.826088,9.114471,10.805999,18.1041,16.485485,15.580141,12.979984,11.753877,11.269782,10.383987,7.928177,8.311245,10.24578,14.039999,16.055355,15.141414,14.578888,12.4811535,10.948973,11.525623,12.55879,14.186923,15.580141,15.1884165,14.007655,14.186923,14.480773,24.74329,31.32207,31.731092,31.70658,33.353954,34.17157,33.893574,30.141266,21.897945,14.917212,14.4,14.76439,14.336861,13.708391,12.181625,11.013882,10.390226,9.3876505,12.287555,12.24,12.682018,10.296251,11.709688,11.298495,14.33234,12.10157,13.004921,14.759999,13.979872,14.8257065,14.578888,8.161764,11.525623,19.228851,19.61587,17.782688,18.03237,18.014393,16.954432,15.905319,15.273505,14.618837,13.627795,11.525623,8.654986,7.729527,10.514218,15.021105,18.289274,20.620806,24.905132,28.241077,27.532352,24.75638,21.470612,17.651016,16.179985,16.29174,10.966713,7.127636,10.182337,8.049845,3.396233,5.0911684,6.489992,7.92,9.779817,11.525623,13.627795,15.596767,17.193533,19.011953,20.380579,22.104116,23.491207,24.535524,25.671307,26.019806,24.36591,19.164719,13.009903
