forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:46+00:00,2025-11-05 00:00:00+00:00,1021.94385,1022.3418,1021.3408,1021.93945,1021.93774,1021.4374,1021.1372,1020.9371,1020.03766,1020.03827,1020.0369,1020.3341,1021.2323,1021.8309,1022.2407,1022.15137,1021.45776,1020.9614,1020.4632,1020.16406,1019.2649,1019.0647,1018.56335,1018.55945,1018.75323,1019.0508,1019.4479,1019.54675,1019.546,1019.4459,1019.24536,1019.1446,1019.0437,1018.74365,1018.5438,1018.74426,1018.7427,1018.8439,1019.34875,1019.7517,1019.45575,1018.75793,1017.75867,1016.9635,1016.36694,1016.0662,1015.6653,1015.3605,1015.25903,1013.8581,1013.7592,1013.4607,1013.06165,1012.55994,1012.06006,1011.6617,1011.1622,1010.5624,1010.2621,1009.9608,1010.158,1010.45746,1010.56213,1010.76666,1010.3702,1009.774,1009.0787,1007.881,1006.78107,1006.5787,1006.37573,1006.5702,1006.86676,1007.4666,1007.96484,1008.26337,1008.5617,1008.6604,1008.9592,1008.95825,1008.858,1008.5576,1008.55707,1008.856,1009.4545,1009.9541,1010.6601,1010.66614,1010.5709,1010.17474,1009.47833,1008.5813,1007.9832,1007.88196,1008.0771,1008.4717,1008.9645,1009.7616,1010.36066,1011.2592,1011.95764,1012.45593,1013.05347,1013.65094,1014.2492,1014.6455,1015.34174,1016.5402,1018.33923,1020.0379,1021.5375,1022.7405,1023.2435,1023.4475,1023.2503,1023.1517,1022.9519,1023.04956,1023.7438,1024.6355,1025.7278,1026.9218,1028.1171,1029.1123,1029.8083,1030.2047,1030.6016,1030.898,1031.0945,1031.3914,1031.7871,1032.2831,1032.6813,1033.184,1033.689,1033.8954,1033.5022,1032.7101,1031.9167,1031.0221,1029.9264,1029.2277,1028.9242,1028.8177,1028.9119,1029.208,1029.6051,1029.803,1029.8016,1029.6011,1029.4008,1029.1,1028.8993,1028.5985,1028.3972,1028.1959,1028.1973,1028.5026,1028.9102,1029.0176,1028.5245,1027.8313,1026.9363,1025.9391,1024.9408,1024.1401,1023.7363,1023.53046
2025-11-06 02:23:21+00:00,2025-11-06 00:00:00+00:00,1018.6546,1019.25024,1018.74774,1019.34753,1018.8474,1018.7468,1017.94635,1017.6468,1017.8466,1017.74493,1017.9434,1018.24194,1018.24036,1018.5397,1018.94446,1018.54675,1018.5512,1018.2582,1017.8636,1016.86707,1015.96857,1015.1683,1014.66656,1014.56256,1014.9564,1014.95386,1014.7528,1014.0531,1013.7532,1013.3518,1012.95105,1012.15137,1011.55194,1011.0528,1011.1546,1011.55194,1011.8491,1011.94653,1012.055,1011.8643,1011.56976,1011.074,1010.6768,1009.97906,1009.07965,1008.27905,1007.8769,1007.87317,1008.46783,1007.36475,1007.7638,1007.86334,1008.16266,1008.16205,1008.16174,1008.1609,1008.1599,1008.0597,1007.8589,1008.2583,1008.5576,1009.05756,1009.46344,1009.7682,1009.9721,1009.7755,1008.8798,1007.88226,1007.18195,1006.8788,1006.8757,1007.1709,1007.766,1008.5643,1009.66223,1010.56085,1011.1603,1011.5593,1011.958,1012.5555,1012.9526,1013.85077,1014.4483,1015.7468,1017.0446,1018.9403,1020.3392,1021.34216,1022.0454,1022.34827,1022.2506,1021.9489,1021.9467,1022.2478,1022.9446,1024.0361,1025.3295,1026.9233,1028.018,1028.7133,1029.6089,1030.0049,1030.3011,1030.5972,1031.1934,1031.3901,1031.8864,1032.2831,1032.9797,1033.5774,1034.0839,1034.1921,1034.1,1033.5074,1032.3141,1031.4194,1030.4233,1029.6246,1029.3212,1029.2144,1029.2089,1029.4053,1029.7024,1029.8004,1029.6995,1029.3994,1029.0994,1028.6995,1028.2996,1027.8997,1027.699,1027.4984,1027.4001,1027.5054,1027.713,1027.6205,1027.1277,1026.2346,1025.3397,1024.1425,1022.8437,1021.84326,1021.2413,1021.03735,1020.8346,1020.7345,1020.8356,1020.737,1020.4383,1020.0395,1019.7415,1019.5435,1019.34595,1019.2477,1019.1483,1019.04846,1019.0491,1019.3501,1019.751,1019.9525,1019.85474,1019.45734,1019.0594,1018.4596,1017.6593,1017.1588,1017.0577,1017.25653
2025-11-07 02:21:02+00:00,2025-11-07 00:00:00+00:00,1013.65924,1013.0572,1013.7559,1012.7582,1012.7584,1011.1583,1011.15674,1011.1558,1011.85767,1011.85706,1011.65314,1010.75116,1009.75055,1009.4508,1009.5598,1010.0667,1010.3721,1010.17633,1009.4793,1008.98157,1008.0827,1007.1823,1006.77985,1006.9752,1007.4697,1007.7675,1008.0657,1008.2639,1008.66125,1008.9595,1008.8577,1008.857,1008.8564,1008.65656,1008.6556,1008.8539,1009.55035,1010.0464,1010.5501,1010.75366,1011.0607,1011.1694,1010.976,1010.78125,1010.18304,1009.8824,1009.4809,1009.5753,1010.06635,1008.06604,1008.8643,1009.5633,1010.36066,1010.75934,1011.2586,1011.65784,1011.9574,1012.45557,1013.05347,1014.15045,1015.8469,1017.3412,1019.0402,1020.2436,1021.0472,1021.84485,1021.74146,1020.8481,1020.64923,1020.64886,1021.24835,1022.44055,1023.5346,1025.1285,1026.1232,1027.1188,1027.8146,1028.2106,1029.1064,1029.3029,1029.6989,1030.2948,1030.4916,1030.9882,1031.5847,1032.6813,1033.1853,1033.3923,1033.299,1032.9058,1032.0117,1030.7175,1029.6215,1029.0231,1028.6224,1028.8154,1029.2067,1029.3025,1029.3998,1029.5979,1029.3975,1028.9972,1028.6964,1028.5963,1028.1963,1027.5969,1027.1973,1027.0974,1027.1979,1027.299,1027.4084,1027.3204,1026.8315,1026.1377,1025.1398,1023.94293,1022.744,1021.7438,1021.3408,1021.2366,1021.2333,1021.23303,1021.3341,1021.3351,1021.2362,1021.037,1020.83813,1020.54,1020.24225,1020.04376,1019.9429,1019.941,1020.04083,1020.24445,1020.5496,1020.75354,1020.65533,1020.4558,1020.156,1019.5566,1018.7573,1018.2572,1018.15594,1018.3542,1018.5528,1018.9517,1019.45123,1019.751,1019.8508,1019.65137,1019.5515,1019.3517,1019.0516,1018.9517,1018.9515,1019.051,1019.3511,1019.8518,1020.5531,1021.05426,1021.1557,1021.1567,1020.858,1020.2589,1019.4593,1018.9591,1018.8576,1019.0555
2025-11-08 02:11:42+00:00,2025-11-08 00:00:00+00:00,1006.1703,1007.1674,1007.066,1007.66315,1008.5617,1007.96136,1007.8602,1007.95917,1007.9569,1008.3553,1008.0546,1008.2541,1008.4533,1009.5519,1010.0609,1010.3676,1010.1732,1009.97815,1009.4809,1009.2822,1008.7821,1008.5803,1008.0786,1008.3739,1008.9668,1009.7631,1010.96014,1012.0565,1012.6538,1012.9516,1012.9513,1013.4508,1014.35187,1015.64844,1016.54474,1018.04016,1019.8359,1021.3319,1022.6352,1023.038,1023.34033,1023.5433,1023.34546,1023.24585,1023.2461,1023.3451,1023.941,1024.7347,1026.3275,1025.231,1026.2263,1027.0214,1027.9163,1028.5126,1028.7097,1029.207,1029.4039,1029.6005,1029.7965,1030.3927,1031.2886,1032.0851,1032.9895,1033.1957,1033.1029,1032.509,1031.9148,1030.5203,1029.724,1029.1255,1028.825,1029.0176,1029.3096,1029.6053,1029.9025,1029.801,1029.6995,1029.1984,1028.898,1028.5981,1028.2983,1027.7982,1027.1986,1026.8997,1026.9998,1027.1006,1027.1102,1026.6244,1025.8364,1024.9408,1023.64386,1022.1465,1020.8477,1020.04785,1019.54736,1019.3444,1019.44006,1019.54034,1019.6418,1019.444,1019.2483,1018.94855,1018.6488,1018.2492,1017.9499,1017.75006,1017.4509,1017.4509,1017.65106,1017.9518,1018.3532,1018.7548,1018.95624,1018.85785,1018.26013,1017.8607,1017.2613,1016.96094,1017.05927,1017.3567,1017.65485,1017.95435,1018.35394,1018.554,1018.6539,1018.65424,1018.65424,1018.5544,1018.3542,1018.35394,1018.55304,1018.8521,1019.2518,1019.95154,1020.8516,1021.3527,1021.3559,1020.96045,1020.56335,1020.0645,1019.3648,1018.9636,1018.8598,1019.0545,1019.25024,1019.548,1020.04694,1020.24615,1020.1458,1019.9457,1019.7456,1019.5454,1019.3452,1019.24536,1019.2445,1019.2438,1019.4446,1019.94763,1020.45264,1020.75684,1020.4599,1019.86237,1019.16437,1018.46564,1017.6663,1017.16547,1016.96155,1017.05615
2025-11-09 02:33:15+00:00,2025-11-09 00:00:00+00:00,1007.77234,1008.96893,1010.767,1010.66516,1011.26306,1011.6617,1012.1593,1011.95764,1012.055,1012.9516,1013.64996,1015.04865,1016.74396,1018.7395,1020.3409,1021.04364,1021.74786,1021.85095,1021.65344,1021.85425,1022.05176,1022.2494,1022.8453,1023.83826,1025.2307,1026.5254,1028.2202,1029.1151,1030.0101,1030.7062,1030.8026,1031.2986,1031.7946,1032.191,1032.6868,1033.4838,1034.2804,1034.9768,1035.6823,1035.8876,1035.793,1035.2988,1034.4043,1033.7089,1033.1117,1032.7126,1032.3129,1032.4092,1032.9016,1030.9019,1030.8995,1030.8973,1030.7961,1030.3959,1029.9956,1029.9952,1029.6945,1029.1947,1028.3956,1028.0961,1028.097,1028.0984,1028.3076,1027.9196,1027.2318,1026.2395,1024.9418,1023.44415,1022.34534,1021.5459,1021.14526,1021.0424,1020.8395,1020.94,1020.74176,1020.44403,1020.2452,1019.8461,1019.4491,1019.25055,1018.9511,1018.8512,1018.5512,1018.3514,1018.6511,1019.1509,1019.5521,1020.05457,1019.9572,1019.5599,1018.86017,1017.8611,1017.36115,1017.1604,1017.2591,1017.35706,1017.7555,1017.95496,1018.1551,1018.25525,1018.15533,1017.9553,1017.95557,1017.75635,1017.85596,1017.855,1017.75256,1017.7516,1018.05133,1018.352,1019.0568,1019.45807,1019.6588,1019.3597,1018.7622,1018.06287,1017.3631,1016.7627,1016.6612,1016.8588,1016.9571,1017.05676,1017.05695,1017.05676,1016.9549,1016.6526,1016.45087,1016.1509,1015.95135,1015.7519,1015.7513,1015.75055,1015.9511,1016.3539,1016.7576,1016.96063,1016.76245,1016.2632,1015.6643,1014.8664,1013.9688,1013.2691,1012.96625,1012.96155,1013.0572,1013.1555,1013.45404,1013.4537,1013.25385,1012.85455,1012.35565,1011.8567,1011.258,1010.75934,1010.361,1010.06323,1009.8649,1010.066,1010.467,1010.5682,1010.171,1009.57416,1008.87634,1008.07733,1007.1772,1006.4763,1006.1744,1005.97174
2025-11-10 02:23:29+00:00,2025-11-10 00:00:00+00:00,1023.13654,1026.4316,1026.527,1027.4236,1028.0201,1029.0146,1029.1125,1029.8091,1030.2053,1031.0013,1031.6975,1031.9943,1032.4908,1033.0876,1033.9927,1033.8989,1034.004,1034.0082,1033.113,1032.5175,1032.3209,1032.1213,1031.8201,1032.0156,1032.2083,1032.7042,1033.0018,1032.4998,1032.3965,1032.1941,1031.5934,1031.593,1031.4941,1031.4963,1031.3981,1031.3998,1031.3009,1031.2012,1031.3115,1031.0188,1030.5248,1029.732,1028.8358,1028.0385,1026.9404,1025.9414,1025.1415,1024.5382,1024.1348,1021.23975,1021.24164,1021.14233,1020.7437,1020.34503,1020.2452,1020.1445,1019.7456,1019.3469,1019.1483,1019.2483,1019.44946,1019.9502,1020.8509,1021.15314,1021.3553,1020.9563,1020.35913,1019.15924,1018.75964,1018.459,1018.35803,1018.4557,1018.6539,1019.25275,1019.353,1019.45294,1019.45355,1019.2541,1019.25433,1019.25433,1019.2508,1019.0498,1018.75006,1019.051,1019.3546,1019.8541,1020.3546,1020.55566,1020.5563,1019.9598,1019.2627,1018.064,1017.86304,1017.36115,1017.06024,1017.0577,1017.35583,1017.6536,1017.65204,1017.65204,1017.4523,1017.2527,1016.7529,1016.35254,1015.8524,1015.652,1015.5527,1015.55304,1015.65295,1015.8518,1016.25714,1016.2626,1016.1658,1015.66754,1014.7694,1013.9704,1012.9707,1012.27,1012.0676,1012.06415,1012.0616,1012.16125,1012.16187,1012.0623,1011.56244,1010.7628,1010.06323,1009.4644,1008.9658,1008.5668,1008.1675,1007.96735,1007.7679,1007.86835,1007.9693,1007.8703,1007.37195,1006.57404,1005.6754,1004.57526,1003.37445,1002.47375,1002.27295,1002.3725,1002.5717,1002.671,1002.96985,1003.36884,1004.268,1005.36694,1006.2642,1006.75775,1006.9497,1007.3429,1007.8389,1008.43665,1009.23584,1010.33655,1011.53894,1012.3424,1012.3477,1011.75433,1011.15967,1010.46313,1009.56525,1009.06476,1009.1596,1009.452
2025-11-11 02:14:30+00:00,2025-11-11 00:00:00+00:00,1030.7094,1031.1058,1030.4043,1031.3015,1031.1986,1030.7975,1030.3969,1030.298,1029.9012,1029.7032,1029.3047,1028.905,1029.0049,1028.7056,1029.017,1029.0237,1029.0292,1028.3367,1027.2411,1026.4435,1025.4457,1024.5465,1023.7456,1023.34155,1023.33716,1023.2356,1023.13495,1022.6348,1022.43726,1022.1357,1021.93616,1021.83466,1021.3347,1021.0342,1021.13367,1021.4335,1021.6336,1022.0332,1022.64056,1023.35315,1023.5568,1023.16,1022.0617,1021.3636,1020.8638,1020.7622,1020.2608,1019.8567,1019.75195,1019.3469,1019.7456,1019.94543,1019.9457,1019.74585,1019.6463,1019.9464,1019.7472,1019.54956,1019.34875,1019.547,1019.6488,1019.85156,1020.65436,1021.0556,1021.05585,1020.75806,1019.96173,1018.9613,1018.36255,1018.0625,1018.0615,1018.056,1018.2518,1018.35394,1018.5544,1018.6504,1018.7487,1018.4484,1018.1481,1017.84796,1017.54767,1017.34686,1017.3465,1017.5467,1017.94635,1018.44586,1018.9527,1019.2608,1019.1634,1018.765,1017.96674,1016.96704,1016.46686,1016.0653,1015.8639,1015.959,1016.2524,1016.6491,1016.74805,1016.8476,1016.7477,1016.348,1015.84827,1015.548,1015.34814,1015.0506,1014.7534,1014.754,1014.85394,1015.3542,1015.35767,1015.6637,1015.96576,1015.6643,1014.96594,1014.2676,1013.36896,1012.7693,1012.4673,1012.4638,1012.46063,1012.55835,1012.65594,1012.6544,1012.5535,1012.35345,1012.0538,1011.5545,1011.05566,1010.5573,1010.2598,1010.06226,1010.0644,1010.465,1011.06506,1011.3655,1011.2675,1010.8697,1010.3717,1009.6727,1008.77295,1008.17285,1007.97217,1008.0705,1008.1694,1008.4688,1008.8684,1009.0679,1009.06726,1008.86646,1008.56616,1008.16614,1007.7669,1007.4672,1007.267,1007.1665,1007.2664,1007.5667,1008.06726,1008.3685,1008.2711,1008.0742,1007.67645,1007.1766,1006.4761,1006.1749,1006.3736,1006.77167
2025-11-12 02:16:55+00:00,2025-11-12 00:00:00+00:00,1021.83875,1022.6364,1021.3364,1021.6358,1020.93744,1020.9368,1020.3357,1020.0357,1019.736,1020.1376,1020.2365,1020.6345,1020.93335,1021.3347,1021.74243,1022.2532,1022.0546,1021.8593,1021.3604,1020.8634,1020.3633,1020.1621,1019.9604,1019.9566,1020.2512,1020.64825,1021.2458,1021.64343,1021.74146,1021.6428,1021.0444,1020.9432,1021.04205,1021.3412,1021.1404,1021.1404,1021.3396,1021.8401,1022.4469,1022.85095,1022.9551,1022.75977,1022.26337,1021.6652,1021.1651,1020.66394,1020.3613,1020.157,1020.0514,1019.4459,1019.7449,1019.7446,1019.6457,1019.44556,1019.0453,1018.74524,1018.4455,1018.24567,1018.14575,1018.24567,1018.54517,1018.94507,1019.4516,1019.7587,1019.8614,1019.36383,1018.36536,1017.2667,1016.4671,1016.1664,1016.1638,1016.358,1016.65063,1016.8483,1016.9475,1017.1473,1016.94727,1016.5476,1016.04834,1015.7484,1015.5482,1015.14856,1015.0484,1014.84827,1015.24756,1015.74744,1016.05414,1016.06213,1016.0653,1015.56696,1014.56885,1013.271,1012.57227,1012.1714,1011.8695,1011.86346,1012.0569,1012.5535,1012.5535,1012.5545,1012.35443,1012.0544,1011.7541,1011.5533,1011.35345,1011.0538,1010.8536,1010.85394,1011.1539,1011.65375,1012.06006,1012.36615,1012.369,1011.8713,1010.87354,1010.1732,1009.372,1008.87054,1008.6692,1008.76794,1008.9662,1009.2646,1009.7626,1010.0613,1010.0613,1009.9614,1009.76196,1009.56177,1009.3616,1009.16113,1009.1605,1009.1596,1009.36,1009.8628,1010.56647,1010.97,1010.8729,1010.5754,1010.17706,1009.6766,1008.97534,1008.6733,1008.87054,1009.3674,1009.8649,1010.3635,1010.96265,1011.46216,1011.76166,1011.9615,1012.0608,1012.15967,1012.1587,1012.3576,1012.7563,1013.1555,1013.7557,1014.5575,1015.3602,1015.96344,1016.0678,1015.97266,1015.67615,1015.1778,1014.6777,1014.3764,1014.5733,1015.1683
2025-11-13 02:33:52+00:00,2025-11-13 00:00:00+00:00,1019.2537,1019.64764,1020.2471,1019.8455,1020.2432,1020.54254,1020.24225,1020.54156,1020.241,1020.1407,1020.64026,1020.53937,1021.0386,1021.5404,1022.1461,1022.55286,1022.354,1022.15967,1021.66364,1021.1651,1020.9656,1020.5641,1020.2618,1020.3572,1020.6518,1020.94867,1021.2464,1020.9461,1020.9451,1020.8442,1020.8442,1020.94257,1020.84204,1020.84045,1020.93964,1021.13916,1021.23914,1021.23914,1021.7465,1021.8529,1021.85736,1021.56085,1020.76355,1020.1653,1019.6641,1019.2633,1019.0606,1018.95715,1018.95245,1017.8476,1017.9466,1017.847,1017.64716,1017.2476,1016.9475,1016.84674,1016.64655,1016.2466,1015.94666,1015.9463,1016.04614,1016.54535,1016.8524,1016.86066,1016.6641,1016.1664,1015.2676,1013.9694,1013.16986,1012.5697,1012.2678,1012.2631,1012.55585,1012.85364,1012.85364,1012.95355,1012.854,1012.4544,1012.055,1011.75464,1011.5545,1011.0547,1010.7543,1010.85394,1011.1536,1011.6534,1012.05945,1012.2656,1012.0686,1011.2713,1010.47394,1009.176,1008.378,1007.97876,1007.87476,1007.9693,1008.4634,1009.06067,1009.45996,1009.5598,1009.5602,1009.4606,1009.3606,1009.26074,1009.2605,1009.0609,1008.961,1008.96136,1009.26074,1009.86053,1010.4648,1010.9694,1011.27185,1010.87415,1009.9763,1009.47705,1008.87695,1008.476,1008.47327,1008.7695,1009.1662,1009.76447,1010.3639,1010.963,1011.2624,1011.46216,1011.5618,1011.66113,1011.7607,1011.9599,1012.2593,1012.6585,1013.0589,1013.6608,1014.3637,1014.86676,1014.96985,1014.87305,1014.57526,1014.0769,1013.57733,1013.2764,1013.4724,1013.9666,1014.462,1014.95966,1015.45886,1015.8581,1016.1578,1016.3576,1016.45734,1016.5568,1016.6565,1016.75604,1016.75543,1016.7547,1016.95526,1017.45795,1018.16174,1018.56555,1018.56903,1018.3724,1018.07495,1017.47614,1016.6762,1016.17474,1016.07196,1016.26764
2025-11-14 02:17:46+00:00,2025-11-14 00:00:00+00:00,1019.25275,1019.8508,1019.44946,1020.24634,1019.8465,1019.5454,1018.94543,1018.64465,1018.8439,1019.2428,1019.14264,1019.54193,1019.8416,1020.24164,1020.7492,1020.856,1020.8602,1020.662,1020.1653,1019.5666,1018.86646,1018.3657,1017.96356,1018.1592,1018.6539,1018.5518,1018.5505,1018.1496,1018.2486,1018.24725,1018.14636,1017.74615,1017.3453,1016.74493,1016.5445,1016.74396,1017.24286,1017.34204,1017.74945,1017.5591,1017.46344,1017.0679,1016.27057,1015.4723,1014.6726,1014.1711,1013.86884,1013.86414,1013.9593,1012.45557,1012.35504,1012.356,1011.9574,1011.7566,1011.7556,1011.35596,1010.95544,1010.5552,1010.25476,1010.1548,1010.55444,1011.05396,1011.5599,1011.66583,1011.7686,1011.0711,1009.87384,1008.5759,1007.67706,1007.27747,1007.07355,1007.26855,1007.76404,1008.4628,1008.8618,1009.1605,1009.16016,1009.2605,1009.0603,1008.8605,1008.56055,1008.16113,1008.1615,1008.1609,1008.5602,1009.2599,1010.0642,1010.3692,1010.47296,1010.0749,1009.2772,1008.079,1007.3814,1007.0799,1007.17694,1007.67163,1008.3673,1009.1662,1009.56586,1010.06537,1010.3645,1010.4638,1010.56274,1010.6617,1010.56177,1010.7616,1010.86115,1011.2608,1011.7603,1012.2599,1012.86414,1013.3693,1013.57263,1013.4749,1012.7773,1012.17834,1011.4787,1010.97797,1011.07434,1011.46954,1011.7654,1011.9636,1012.26276,1012.363,1012.3642,1012.1663,1012.0674,1011.9669,1011.8653,1011.8641,1011.9631,1012.0623,1012.2624,1012.564,1012.8663,1012.96875,1012.7705,1012.37244,1011.8742,1011.0753,1010.07623,1009.276,1008.97375,1008.9709,1008.9687,1008.9683,1008.96893,1008.86975,1008.57,1008.0701,1007.6701,1007.2699,1006.77,1006.3701,1005.97015,1005.6704,1005.47064,1005.6707,1006.0706,1006.37134,1006.47473,1006.5784,1006.6799,1006.6761,1006.7698,1006.9642,1007.4609,1008.25793
