forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:46+00:00,2025-11-05 00:00:00+00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,299.75,467.5,599.5,670.25,679.0,609.0,480.0,303.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,305.0,469.0,587.0,661.0,649.0,605.0,463.0,296.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,279.0,450.0,577.0,647.0,651.0,591.0,471.0,306.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,289.0,462.0,590.0,659.0,663.0,601.0,478.0,310.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,286.0,463.0,594.0,667.0,681.0,625.0,507.0,338.0,149.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,111.0,270.0,426.0,570.0,664.0,682.0,628.0,509.0,336.0,146.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,105.0,259.0,411.0,551.0,643.0,661.0,610.0,494.0,325.0,139.0
2025-11-06 02:24:52+00:00,2025-11-06 00:00:00+00:00,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25,274.0,446.0,582.75,656.75,660.0,594.0,468.0,291.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,298.0,471.0,594.0,656.0,653.0,574.0,470.0,286.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,279.0,451.0,579.0,648.0,654.0,593.0,471.0,305.0,118.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,286.0,461.0,588.0,649.0,663.0,605.0,488.0,320.0,126.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,296.0,475.0,607.0,678.0,689.0,631.0,510.0,337.0,146.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,105.0,259.0,411.0,553.0,646.0,665.0,613.0,496.0,327.0,140.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,200.0,341.0,494.0,603.0,627.0,576.0,464.0,304.0,129.0
2025-11-07 02:23:19+00:00,2025-11-07 00:00:00+00:00,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,276.5,429.25,567.5,645.75,656.0,578.0,456.0,287.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,313.0,481.0,597.0,670.0,670.0,602.0,474.0,295.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,89.0,455.0,555.0,652.0,667.0,607.0,486.0,316.0,122.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,297.0,477.0,611.0,683.0,687.0,623.0,496.0,322.0,123.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,282.0,457.0,588.0,659.0,672.0,616.0,497.0,328.0,141.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,196.0,315.0,431.0,516.0,556.0,541.0,455.0,303.0,129.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0,229.0,358.0,470.0,540.0,560.0,524.0,419.0,257.0,96.0
2025-11-08 02:12:50+00:00,2025-11-08 00:00:00+00:00,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25,287.75,467.75,596.25,663.75,667.0,601.0,475.0,297.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,307.0,479.0,604.0,683.0,692.0,623.0,494.0,312.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,298.0,478.0,610.0,681.0,685.0,621.0,495.0,320.0,122.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,281.0,457.0,587.0,658.0,663.0,602.0,478.0,306.0,114.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,253.0,419.0,521.0,581.0,600.0,560.0,455.0,295.0,122.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,98.0,223.0,408.0,559.0,605.0,562.0,454.0,299.0,126.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,229.0,370.0,504.0,591.0,601.0,544.0,431.0,275.0,111.0
2025-11-09 02:34:15+00:00,2025-11-09 00:00:00+00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,291.5,468.25,589.0,665.75,683.5,617.0,492.0,308.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,323.0,502.0,632.0,701.0,701.0,634.0,503.0,318.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,281.0,457.0,587.0,658.0,664.0,601.0,478.0,307.0,115.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,256.0,424.0,548.0,611.0,619.0,559.0,441.0,280.0,101.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,245.0,410.0,534.0,583.0,511.0,361.0,221.0,120.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,87.0,225.0,364.0,498.0,587.0,607.0,560.0,453.0,296.0,124.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,218.0,342.0,445.0,482.0,415.0,288.0,173.0,95.0,36.0
2025-11-10 02:24:59+00:00,2025-11-10 00:00:00+00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,304.75,487.5,622.25,694.75,698.0,631.0,499.0,314.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,306.0,479.0,606.0,673.0,675.0,609.0,480.0,300.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,203.0,418.0,551.0,622.0,626.0,566.0,447.0,284.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,248.0,413.0,535.0,599.0,550.0,321.0,73.0,47.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,248.0,414.0,538.0,591.0,607.0,562.0,455.0,297.0,124.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,108.0,136.0,124.0,108.0,127.0,153.0,137.0,73.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,250.0,403.0,543.0,636.0,656.0,606.0,491.0,322.0,134.0
2025-11-11 02:15:30+00:00,2025-11-11 00:00:00+00:00,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.75,284.25,461.75,594.5,668.0,674.0,607.0,479.0,298.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,290.0,461.0,583.0,650.0,650.0,582.0,456.0,276.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,252.0,418.0,542.0,610.0,614.0,494.0,362.0,218.0,98.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,248.0,414.0,539.0,608.0,613.0,555.0,439.0,279.0,101.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,229.0,415.0,539.0,574.0,581.0,524.0,419.0,278.0,119.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,49.0,72.0,91.0,102.0,102.0,88.0,62.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,74.0,196.0,386.0,548.0,602.0,565.0,460.0,302.0,124.0
2025-11-12 02:18:02+00:00,2025-11-12 00:00:00+00:00,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.75,269.25,427.75,555.5,643.25,648.0,582.0,455.0,279.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,281.0,447.0,552.0,592.0,582.0,550.0,392.0,273.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,248.0,393.0,487.0,607.0,613.0,556.0,440.0,280.0,101.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,199.0,322.0,448.0,505.0,517.0,445.0,325.0,189.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,236.0,400.0,524.0,592.0,605.0,553.0,443.0,287.0,118.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,63.0,100.0,132.0,161.0,193.0,213.0,191.0,126.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,233.0,379.0,515.0,605.0,625.0,576.0,465.0,303.0,124.0
2025-11-13 02:34:53+00:00,2025-11-13 00:00:00+00:00,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,241.75,411.75,474.0,533.25,534.75,488.0,402.0,273.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,278.0,439.0,560.0,603.0,598.0,575.0,382.0,269.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,249.0,417.0,543.0,611.0,617.0,559.0,443.0,282.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,238.0,402.0,526.0,594.0,600.0,542.0,427.0,268.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,233.0,395.0,520.0,587.0,600.0,549.0,439.0,283.0,115.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,211.0,350.0,488.0,581.0,601.0,552.0,442.0,284.0,114.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,44.0,70.0,93.0,110.0,114.0,109.0,102.0,90.0,52.0
2025-11-14 02:18:57+00:00,2025-11-14 00:00:00+00:00,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,254.75,411.0,539.5,603.25,619.0,555.0,436.0,267.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,239.0,406.0,537.0,620.0,626.0,572.0,446.0,274.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,240.0,404.0,528.0,582.0,602.0,538.0,409.0,269.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,236.0,400.0,526.0,595.0,600.0,542.0,427.0,268.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,214.0,259.0,366.0,461.0,457.0,407.0,319.0,203.0,82.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,28.0,37.0,45.0,49.0,50.0,49.0,44.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,129.0,233.0,346.0,427.0,408.0,280.0,113.0
