forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:47+00:00,2025-11-05 00:00:00+00:00,980.1296,979.8628,979.35956,979.1074,978.6683,978.9282,979.4125,979.12964,978.8468,978.4909,978.9059,978.62744,978.73004,979.19995,980.2036,981.0263,980.9913,981.2101,981.3979,981.8007,981.2142,981.25867,981.2252,981.23315,981.4472,982.0512,982.65356,982.8012,982.73553,982.5553,981.9947,981.16266,980.68604,980.19653,979.87524,979.7646,979.57526,979.3916,979.93286,980.2747,980.60126,980.3367,979.3497,978.6933,977.7841,976.9879,975.9253,975.091,974.1569,972.3141,971.87445,971.9162,971.6666,971.1724,970.8598,970.5354,970.26196,969.9996,969.43567,969.3598,969.6171,969.9537,971.44946,972.86896,973.68756,974.4396,974.50696,974.3183,974.26624,974.36865,974.6713,974.8712,975.447,976.0972,976.6172,977.0633,977.2616,977.07355,977.0122,976.66766,976.43787,976.1954,975.5798,975.7289,975.8972,976.5534,977.2834,977.5276,977.1177,976.7444,975.9225,974.8307,974.5451,974.7718,975.1472,975.5985,976.80176,979.48376,981.17017,982.47314,983.975,984.87823,986.0284,987.67456,989.38367,990.7873,991.8877,993.3751,994.74536,996.14014,997.6815,998.77893,998.9644,999.0522,998.424,997.8717,997.1903,996.80475,996.84344,997.08514,997.43964,997.86505,998.3091,998.68274,998.78705,998.719,998.5613,998.4101,998.2586,998.12805,997.9832,997.942,997.894,998.1622,998.50354,998.49646,997.946,996.94,995.876,994.5584,993.19415,991.99493,991.28094,990.82733,990.498,990.25507,990.1464,989.9663,989.72205,989.50323,989.1948,988.8992,988.61,988.30774,987.9537,987.50305,987.24023,987.2351,987.4263,987.34894,986.9228,986.1394,985.2772,984.1471,982.85376,981.7178,980.85785,980.2538
2025-11-06 02:23:22+00:00,2025-11-06 00:00:00+00:00,981.6325,982.10956,981.7571,982.0122,982.28424,981.6809,981.1137,980.28094,979.6351,979.6823,979.21655,979.0586,979.0026,979.51306,980.1072,980.17926,979.7316,979.1929,978.79474,978.2387,977.0902,975.5038,974.8275,974.5511,974.5836,974.205,973.7338,972.7038,972.27637,971.98096,971.583,970.8661,970.2158,969.8616,970.35016,970.8848,971.6298,972.64734,973.6774,974.5629,975.48645,976.14594,976.6026,976.44305,976.1466,975.62286,975.36255,975.4094,975.48346,974.5352,974.7051,975.0855,975.4713,975.49493,975.33716,974.6254,974.38354,974.0512,973.62854,973.5914,973.85004,974.4941,975.0478,975.30115,975.3887,975.3085,974.5868,973.78314,973.7425,974.4077,975.29126,976.7426,978.4712,980.4161,981.6166,982.774,983.65314,984.2344,984.9935,986.2908,987.8774,989.11865,990.4537,991.7724,993.0565,994.5381,995.79095,997.10944,997.4656,997.3447,997.11316,996.5792,996.2962,996.48285,996.6118,996.83057,997.7448,998.5796,998.3428,998.7369,998.75183,998.9866,999.1178,999.0702,998.73334,998.39636,997.9768,998.2243,998.1966,998.45776,999.0899,998.9448,998.5879,997.8586,996.7212,995.41284,993.7929,992.5289,991.7237,991.1777,990.6601,990.3264,990.024,989.6703,989.1752,988.5263,987.97394,987.4087,986.74677,986.25824,985.8149,985.4545,985.1784,985.0244,984.9589,984.6451,983.9243,982.8588,981.72534,980.4138,979.0472,977.9338,977.3927,977.20544,977.06067,977.03827,977.1594,977.29846,977.3531,977.5279,977.58215,977.60583,977.7075,977.8086,977.981,978.24274,978.6035,979.29395,980.0763,980.5191,980.55334,980.24176,979.7517,979.06976,978.3185,977.73883,977.6554,977.8411
2025-11-07 02:21:03+00:00,2025-11-07 00:00:00+00:00,972.42017,972.3091,971.6076,969.87866,970.1537,969.0335,969.93427,970.1825,969.9778,968.924,969.9818,969.1258,969.23914,969.9506,972.0684,973.8187,974.85736,975.6803,976.6764,977.40906,977.18677,976.80585,976.5397,976.72156,976.8175,976.61786,976.63257,976.67584,977.00085,976.75793,976.202,975.65796,975.444,975.0864,974.7848,974.7286,975.2129,975.4264,976.0531,976.8747,977.6065,977.8436,977.6135,977.20996,976.8397,976.7082,976.72064,977.1535,978.13385,979.53577,980.7241,982.09863,983.3467,984.02075,984.66693,985.54047,986.9807,988.1627,988.789,990.1653,991.26465,992.89703,994.25226,995.1845,995.4872,995.76324,995.4396,994.8594,994.41473,994.4736,994.7458,995.1464,996.3154,996.87744,997.46295,997.51575,997.7802,997.9677,998.1547,998.1622,998.3068,998.3276,998.06573,998.32715,998.4917,998.5671,999.2489,999.176,998.2106,997.70276,996.477,995.1582,993.81104,992.6633,991.62726,990.9448,990.5961,990.28143,989.6191,989.0213,988.50104,988.0125,987.62067,986.85583,986.4125,985.7249,984.928,984.92175,984.61957,984.4268,984.47797,984.1877,983.39453,982.8709,981.70776,980.4871,979.2116,978.29156,977.9377,978.0275,978.0691,978.1306,978.24554,978.37225,978.5167,978.5827,978.7271,978.82227,978.9887,979.17267,979.34985,979.5453,979.92474,980.6348,981.43713,981.99005,982.0261,981.7108,981.2225,980.6385,979.8936,979.4161,979.43945,979.7263,980.0548,980.38995,980.7714,981.16425,981.3754,981.59863,981.7248,981.7544,981.59076,981.6259,981.751,981.88226,982.19025,982.79584,983.4736,983.90826,983.92816,983.69904,983.2921,982.5978,981.73254,981.0505,980.8764,980.8822
2025-11-08 02:11:43+00:00,2025-11-08 00:00:00+00:00,974.9832,974.29517,975.30536,975.1618,975.24036,975.11914,974.72,974.0494,973.9096,974.0472,973.671,973.15784,973.2696,973.70374,974.9214,976.16296,976.87787,976.8143,976.5967,976.7956,977.1418,977.8241,978.4245,979.1521,980.287,981.35565,982.78424,984.00684,985.15625,985.8532,986.1119,986.87994,987.73755,988.9609,989.7265,990.7679,992.09735,993.60693,994.7709,995.3565,996.07007,996.6417,996.85913,996.47784,996.35443,996.24554,996.1823,996.62805,997.4326,995.86475,996.45886,997.00134,997.1973,997.31635,997.256,997.20215,997.3681,997.1278,997.2935,997.33563,997.65967,997.79767,998.50354,998.98486,998.5353,998.17926,997.02344,995.74304,994.42303,993.5905,993.0366,992.37274,991.9396,991.7208,991.1548,990.3124,989.8433,988.99554,988.5329,987.87134,987.0166,986.3546,985.49365,985.0117,984.6519,984.549,984.2204,983.4348,982.3395,981.49554,980.2302,978.42474,976.9444,976.27466,975.7238,975.8076,975.8475,975.7658,976.158,976.2673,976.6172,976.5871,976.4411,976.46423,977.0597,977.39,977.8041,978.5133,978.9642,979.9498,981.1325,981.8509,982.0507,982.38934,982.0439,981.72266,981.33136,981.1268,981.33484,981.72534,982.15234,982.5818,983.04596,983.3408,983.4481,983.3805,983.42175,983.67395,984.0352,984.306,984.2626,984.2252,984.2501,984.66956,985.246,985.5733,985.36615,984.9057,984.29114,983.434,982.33606,981.5055,981.06964,981.0018,980.96405,981.21045,981.58167,981.8793,981.8081,981.6639,981.41113,981.1343,980.8508,980.6697,980.5784,980.4989,980.7042,981.23645,982.0507,982.40936,982.1345,981.4908,980.7787,979.88306,978.81757,977.9422,977.3787,976.8996
2025-11-09 02:33:16+00:00,2025-11-09 00:00:00+00:00,978.62476,980.5227,981.2409,981.37933,982.84296,983.43207,983.8622,985.0133,985.9993,987.0497,987.91925,989.0517,990.5491,991.89233,993.3577,994.2446,995.09265,995.32245,995.2892,995.1657,995.2345,995.3246,995.6354,996.0749,996.6809,997.59906,998.4062,998.8398,998.98956,999.0417,998.92065,998.9152,999.09546,999.2884,999.2127,999.41864,999.84467,1000.04987,1000.50305,1001.1767,1001.47833,1001.11804,1000.04785,999.14246,998.2037,997.21313,995.88196,995.16266,994.54004,992.35016,991.6811,991.0312,990.3697,989.72754,989.3679,988.7064,988.064,987.4022,986.4383,985.6606,985.21094,984.8316,984.7926,984.3868,983.491,982.56335,981.1285,979.2435,977.7571,976.78625,976.519,976.427,976.5063,976.4462,976.7965,976.84393,977.0981,977.34076,977.4074,977.3216,977.5069,977.61365,977.55786,978.1709,978.8615,979.757,980.71576,981.34503,981.38605,981.28375,980.8406,979.9677,979.3146,979.0868,979.0248,978.9265,979.06006,979.5823,979.8005,980.1151,980.12103,979.8071,979.4936,979.46326,979.2095,979.1957,978.8985,978.7402,978.8179,979.26306,979.82184,980.16925,980.44684,980.26117,979.4565,978.6084,977.6053,976.7689,976.21,975.91113,975.6822,975.7094,975.9084,975.9084,975.68054,975.25366,975.02,974.99084,974.9617,975.0231,974.9527,974.77374,974.8349,975.25055,975.7191,975.9563,975.7167,975.155,974.43536,973.3506,972.0266,971.00134,970.619,970.63684,970.66943,970.76196,970.9675,971.07623,971.06476,971.05286,970.9552,970.97644,970.9186,970.86035,970.5972,970.33954,970.129,970.2666,970.64404,970.6638,970.2574,969.4911,968.59766,967.4867,966.34656,965.3748,964.76715,964.32745
2025-11-10 02:23:31+00:00,2025-11-10 00:00:00+00:00,995.90955,996.02405,996.16986,996.2379,996.8263,996.2452,996.743,996.6559,997.24255,997.72577,997.7675,997.66486,997.8852,998.29767,999.15063,999.78986,1000.1148,999.7261,999.04596,998.40955,997.64325,996.72955,995.6624,995.0269,994.30896,993.8451,993.7406,992.898,992.1073,991.31665,990.1406,989.2471,988.63586,988.0381,987.254,986.9409,986.5816,986.3824,986.4168,986.02045,985.3512,984.5099,983.19745,982.1887,981.39087,980.71576,980.04553,979.49646,979.4839,976.59375,976.98315,977.5415,977.81494,977.9676,978.0164,978.07623,978.1164,978.7588,979.0578,979.6454,980.3104,981.04376,982.1311,983.01483,983.3414,983.4277,982.9686,982.1653,981.59265,981.43384,981.3029,981.36554,981.4588,981.75555,982.0142,982.1341,982.194,982.1633,982.0179,981.8064,981.51086,981.2094,980.7085,980.27344,980.1153,980.5168,981.0204,981.35126,981.298,981.0683,979.87714,978.4096,977.4009,976.8129,976.0398,975.4832,975.63727,975.64575,975.6841,975.4776,975.12427,974.79987,974.79407,974.7593,974.61633,974.36487,974.19214,974.1101,974.12366,974.64343,975.1066,975.09906,974.9278,974.62054,973.4057,972.29846,970.9417,969.9807,969.47394,969.36664,969.2906,969.31415,969.46796,969.50244,969.3831,969.0528,968.84686,968.6865,968.45856,968.2481,967.87354,967.41986,967.0685,966.8078,966.45605,966.1159,965.61664,965.0317,964.42926,963.71326,962.97974,962.55963,962.6062,962.86646,963.6795,965.1344,967.0414,968.7326,969.9714,970.9047,971.6696,972.0866,972.24506,972.444,972.7958,973.1796,973.7721,974.6447,975.62305,976.2388,976.2909,976.0681,975.59503,974.9527,974.1542,973.6482,973.4717,973.57794
2025-11-11 02:14:31+00:00,2025-11-11 00:00:00+00:00,991.7767,991.55176,991.0758,989.88666,989.5653,989.10846,988.2538,987.4188,986.5255,985.485,984.9769,984.2635,983.7555,983.0487,983.7887,984.2045,983.95416,983.2122,982.06604,981.26544,980.5683,979.79565,979.0229,978.94775,978.79443,979.1536,979.3052,979.06366,979.365,979.75586,979.9412,980.1935,979.9362,979.8426,980.2956,980.59924,981.11426,981.49445,982.3167,983.7223,984.6061,984.57434,983.7277,983.1754,983.02295,983.1992,983.1085,982.4358,981.4716,981.4709,981.61053,981.7072,981.6466,981.5135,981.3085,981.10944,980.7775,980.61365,980.3719,980.105,980.382,980.6838,981.4943,981.7186,981.7108,981.4386,980.6154,979.2273,978.23474,977.69934,977.3706,976.92126,977.15955,977.2579,977.4131,977.28735,977.252,977.23474,977.4103,977.48926,977.5565,977.3484,977.2242,977.1767,977.515,978.1306,978.884,979.2153,979.183,979.0756,978.2036,976.984,976.2082,975.65015,975.5151,975.2249,975.4226,975.797,975.9107,976.0408,975.89246,975.6707,975.6302,975.663,975.82135,975.86786,975.8188,975.87085,976.16833,976.6763,977.1946,977.39557,977.422,977.37994,976.60876,975.89935,974.96216,974.1951,973.7747,973.51855,973.44977,973.5622,973.8556,973.888,973.5926,973.1332,972.6563,972.3318,972.08624,971.86957,971.8025,971.76416,971.81647,971.93054,972.1351,972.01733,971.54205,970.8362,969.9743,968.9196,967.80914,967.2077,967.4731,968.14276,968.6164,968.6042,968.29456,968.1137,968.1658,968.3483,968.4699,968.265,967.9994,967.8182,967.58344,967.5297,967.6201,968.25885,969.13837,969.8596,970.1556,970.29065,970.19,969.8601,969.4893,969.2108,969.2411,969.4562
2025-11-12 02:16:56+00:00,2025-11-12 00:00:00+00:00,978.32935,978.502,978.47284,977.514,978.28546,977.73,978.4527,978.49426,977.91095,978.4023,978.8158,979.0548,979.51196,980.30383,981.396,982.70966,983.28485,983.1339,982.9131,982.6025,982.6596,982.5284,982.51166,982.4257,982.17676,982.446,983.0262,983.3935,983.3207,983.00525,982.2562,981.827,981.7716,981.91455,981.5819,981.55066,981.89276,982.3687,983.0378,983.50867,983.84143,983.8729,983.3243,982.8182,982.0781,981.43524,980.84424,980.42633,980.0101,978.4223,978.4077,978.5687,978.5655,978.26434,978.3492,978.30255,978.2616,978.26434,978.02997,978.06134,978.05707,978.6489,979.30585,979.48145,979.4266,979.2404,978.49915,977.4149,976.49994,975.86707,975.539,975.28613,975.5475,975.6834,975.75104,975.7855,975.74554,975.60864,975.5798,975.73254,975.73645,975.813,975.5991,975.60706,975.6264,975.94684,976.5544,976.81604,976.5644,976.33575,975.3028,973.916,972.84894,972.10266,971.76385,971.5507,971.91565,972.24084,972.35394,972.2862,971.97345,971.9505,971.83124,971.65985,971.78955,971.68506,971.2904,971.12366,971.29315,971.51776,971.73224,972.0461,972.0077,971.73553,970.7485,969.88007,968.95013,968.1929,967.73157,967.5357,967.5778,967.8361,968.3314,968.83215,969.1219,969.4171,969.62054,969.7272,969.6461,969.7694,969.98285,970.3951,970.76917,971.3283,971.9456,972.40936,972.4453,972.32446,972.13293,971.7602,971.3211,971.1804,971.47577,972.05896,972.8474,973.8822,975.0338,976.303,977.60034,978.9201,980.1297,981.1015,981.9558,982.83905,983.6557,984.4074,985.2098,986.26337,987.2791,987.96765,988.08325,987.8674,987.5197,986.83093,986.01276,985.38605,985.1798,985.26666
2025-11-13 02:33:53+00:00,2025-11-13 00:00:00+00:00,982.11786,982.41693,982.23566,981.9868,981.70197,982.05084,982.188,982.0048,981.6285,980.916,980.76324,981.10504,981.38165,981.5683,982.4062,983.4118,983.4575,983.4752,982.98895,982.4937,982.04846,981.51324,980.9688,980.7275,980.6455,980.79016,981.083,980.83105,980.73083,980.8587,980.7875,980.60724,980.3903,980.31836,980.4631,980.6619,980.53546,980.6195,981.12036,981.702,981.89905,981.85175,980.9833,980.4647,980.00806,979.49493,978.99506,978.4077,977.9487,976.7616,976.6633,976.7961,976.71674,976.4836,976.4257,976.36816,976.37164,976.2898,976.1052,976.1075,976.18756,976.58044,977.08606,977.34296,976.9959,976.4954,975.5539,974.09283,972.9673,972.15686,971.7432,971.6276,971.70013,971.8205,971.70087,971.6386,971.7352,971.6215,971.94495,972.0345,971.6523,971.3047,971.00665,971.0587,971.2301,971.70795,972.0928,972.37,972.6178,972.6151,972.1102,971.144,970.5351,970.41473,970.20465,970.1672,970.29504,970.35443,970.3984,970.29596,970.1407,970.49744,970.32446,969.9145,969.72144,969.3709,969.4006,969.93835,969.9994,970.5665,971.16724,971.59216,971.9222,971.96985,971.14764,970.6884,970.1685,969.8404,969.94946,970.2511,970.8602,971.8355,973.1215,974.29114,975.1093,975.7121,976.26337,976.8024,977.28754,977.8808,978.54504,979.1185,979.85767,980.6798,981.662,982.22394,982.3955,982.13525,981.8272,981.25684,980.54047,980.11615,980.0169,980.2086,980.42224,980.79645,981.2006,981.52594,981.6883,981.8753,981.97174,982.0803,982.19507,982.2072,982.2072,982.2013,982.2013,982.38806,982.58105,982.8044,982.9796,983.09436,982.91864,982.3738,981.544,980.94434,980.7162,980.7246
2025-11-14 02:17:47+00:00,2025-11-14 00:00:00+00:00,979.2386,979.4521,979.035,978.7718,979.11096,978.38837,978.03394,977.17914,977.4153,978.1399,978.2972,978.06213,977.532,977.94806,978.6292,979.02026,979.3454,979.5343,979.3783,978.98157,978.426,977.4813,977.0562,976.97925,977.0512,977.005,977.077,976.33734,976.2174,976.48956,976.4781,976.13873,975.8632,975.485,975.6365,976.0655,976.4763,976.5127,976.8613,977.01874,977.33527,977.24286,976.4938,975.8911,975.13525,974.486,973.97015,973.5313,973.2148,971.24054,971.46814,971.6784,971.8711,971.8919,971.7525,971.6823,971.5392,971.4448,971.30884,971.23804,971.4916,972.01587,972.993,973.3752,973.46356,973.2289,972.5477,971.4901,970.9775,970.8923,970.65985,970.67285,970.79297,970.9717,971.17883,970.54095,970.47,970.04846,970.3079,970.57385,970.16406,969.5731,969.36816,969.778,970.10913,970.4296,971.1397,971.4999,971.57056,971.4942,970.4849,969.4357,969.1786,969.15656,969.2315,969.57306,970.0814,970.97644,971.8931,972.62665,973.53424,974.16284,974.64386,975.2147,975.74774,976.41327,976.9187,977.647,978.4697,979.00366,979.8897,980.3918,980.44354,980.18744,979.3892,978.6126,977.7816,977.04407,976.752,976.649,976.5558,976.3821,976.3091,976.2898,976.34937,976.5669,976.70624,976.6768,976.66534,976.5448,976.3882,976.30365,976.32153,976.6292,977.1295,977.2501,976.7188,975.9101,974.98645,974.1415,973.2787,972.68207,972.43567,972.3645,972.4977,972.7632,973.1434,973.3364,973.13727,972.8478,972.45593,972.052,971.5517,971.1535,970.87024,970.68915,970.71295,971.1348,971.8519,972.4059,972.615,972.5511,972.4632,972.2548,971.9208,971.89746,972.21765,972.84534
