forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:13+00:00,2025-11-05 00:00:00+00:00,1021.7969,1022.0823,1021.1717,1021.1656,1021.5608,1020.9609,1020.4606,1019.8603,1019.2604,1019.2541,1019.5513,1019.957,1020.75964,1021.3592,1021.7774,1021.51636,1020.83386,1020.2435,1019.7514,1019.35754,1018.3602,1018.1618,1017.5593,1017.64935,1017.9325,1018.42084,1018.91095,1018.90295,1018.9967,1018.79193,1018.5873,1018.58374,1018.47943,1018.2759,1018.27246,1018.37646,1018.3777,1018.5767,1018.98517,1019.40247,1019.0303,1018.1462,1016.9556,1016.06165,1015.36536,1014.9663,1014.46497,1014.2589,1014.2484,1013.5348,1013.33417,1013.2334,1012.7364,1012.03955,1011.6399,1011.2388,1010.53925,1009.84045,1009.5394,1009.33435,1009.3341,1009.6352,1009.94476,1009.95233,1009.56445,1008.97845,1008.1864,1007.09174,1006.19495,1005.8947,1005.88873,1006.0727,1006.5582,1006.9484,1007.5414,1007.7379,1007.73596,1007.9328,1007.9316,1008.13025,1007.9291,1007.7275,1007.7259,1008.0237,1008.62085,1009.0211,1009.63367,1009.6482,1009.5615,1009.1737,1008.38293,1007.48987,1006.894,1006.894,1007.0886,1007.5679,1008.1562,1009.2441,1010.03485,1010.8308,1011.528,1012.0256,1012.5225,1013.213,1013.70935,1013.90704,1014.50757,1015.70386,1017.5013,1019.09247,1020.69275,1021.8001,1022.2058,1022.31335,1022.1179,1021.9192,1021.7176,1021.8129,1022.50275,1023.589,1024.676,1025.766,1026.8577,1027.8494,1028.5417,1029.034,1029.4276,1029.7214,1030.0165,1030.3107,1030.8022,1031.2941,1031.7902,1032.2952,1032.7053,1032.8168,1032.3306,1031.6461,1030.759,1029.8684,1028.8756,1028.1769,1027.9686,1027.9539,1028.1409,1028.4332,1028.7281,1029.0234,1029.1204,1029.0183,1028.9163,1028.7146,1028.5134,1028.3121,1028.109,1028.0063,1028.0083,1028.2185,1028.5334,1028.5488,1028.065,1027.1813,1026.2944,1025.3042,1024.1108,1023.3109,1023.0009,1022.98364
2025-11-06 02:24:01+00:00,2025-11-06 00:00:00+00:00,1018.1249,1018.9151,1018.30725,1018.8019,1018.2973,1018.3927,1017.2911,1017.1872,1017.18274,1017.28314,1017.58673,1017.88715,1017.98926,1018.09033,1018.4913,1018.1956,1018.1229,1017.64294,1017.2528,1016.0597,1015.16534,1014.26495,1013.66406,1013.55566,1014.04016,1014.1299,1013.9217,1013.21844,1013.0242,1012.62683,1012.2316,1011.5325,1010.72784,1010.1208,1010.11725,1010.5121,1011.10913,1011.3068,1011.4187,1011.23553,1010.7552,1010.3669,1009.9746,1009.1816,1008.08655,1007.28925,1006.98785,1006.979,1007.4618,1007.0451,1007.33856,1007.5357,1007.63367,1007.53156,1007.52936,1007.6292,1007.529,1007.32935,1007.42896,1007.6283,1007.9271,1008.327,1008.7406,1009.15625,1009.16925,1008.8801,1007.989,1006.8955,1006.2991,1006.0992,1006.29443,1006.7768,1007.5609,1008.25,1009.04004,1009.9359,1010.533,1011.0312,1011.22925,1011.7267,1012.22235,1012.91833,1013.7179,1014.7119,1016.0071,1017.9975,1019.396,1020.20166,1020.9098,1021.1164,1020.81976,1020.6103,1020.4176,1020.71545,1021.4095,1022.5933,1023.8819,1025.2721,1026.758,1027.6476,1028.4397,1028.434,1028.9272,1029.4199,1029.713,1030.0074,1030.3016,1031.0961,1031.5919,1032.1888,1032.9973,1033.3114,1033.1254,1032.3391,1031.0514,1030.1611,1029.1685,1028.4703,1028.2626,1028.249,1028.3369,1028.5295,1028.8237,1029.0197,1028.9172,1028.7158,1028.5146,1028.2133,1028.0115,1027.7097,1027.5068,1027.3036,1027.2068,1027.3184,1027.5355,1027.4531,1026.7714,1025.8894,1024.8031,1023.6104,1022.4134,1021.4117,1021.00336,1020.88983,1020.7792,1020.77313,1020.8697,1020.76825,1020.4688,1019.97125,1019.6734,1019.47375,1019.47375,1019.3766,1019.1839,1018.99316,1019.0016,1019.3077,1019.8125,1020.01764,1019.92365,1019.6299,1019.13464,1018.43744,1017.53894,1016.93866,1016.93494,1017.22894
2025-11-07 02:21:39+00:00,2025-11-07 00:00:00+00:00,1013.13104,1012.53107,1013.2301,1011.5309,1012.12604,1010.5282,1010.43286,1010.4344,1010.7364,1010.83594,1010.7371,1009.9359,1009.0318,1008.8296,1009.0359,1009.74164,1009.5619,1009.0729,1008.4822,1008.0885,1007.1916,1006.39264,1005.9902,1006.0818,1006.76636,1006.95825,1007.3496,1007.5423,1007.83673,1008.0314,1008.0279,1008.1249,1008.2228,1008.2202,1008.2158,1008.41327,1009.01184,1009.4147,1009.9198,1010.0288,1010.1423,1010.25665,1009.8718,1009.58246,1008.99084,1008.6935,1008.292,1008.4812,1009.16296,1007.8516,1008.5443,1009.1402,1009.93506,1010.33264,1010.4319,1010.9304,1011.3281,1011.52454,1012.0236,1013.11896,1014.61285,1016.20325,1017.90216,1019.1087,1020.00867,1020.697,1020.69855,1019.8109,1019.3128,1019.3169,1019.71344,1020.99963,1022.1879,1023.4782,1024.5696,1025.7616,1026.1531,1026.6469,1027.4393,1027.9325,1028.126,1028.5192,1028.913,1029.6063,1030.3993,1031.1945,1031.8002,1031.7123,1031.4265,1031.1389,1030.3505,1029.1603,1028.2665,1027.7683,1027.465,1027.6478,1028.2333,1028.4271,1028.7213,1028.9165,1028.7142,1028.5118,1028.3088,1028.007,1027.7054,1027.4043,1027.2036,1027.1034,1027.2029,1027.3043,1027.5242,1027.3484,1026.8701,1026.0875,1024.5038,1023.4107,1022.3126,1021.5105,1021.2022,1021.1891,1021.17847,1021.17206,1021.26794,1021.26575,1021.1656,1020.8675,1020.66907,1020.3696,1020.17,1019.9722,1019.87695,1019.8836,1019.99084,1020.20044,1020.51105,1020.719,1020.7238,1020.52576,1020.2275,1019.6295,1018.8306,1018.23035,1018.12744,1018.3229,1018.51904,1018.81757,1019.2171,1019.51654,1019.516,1019.4152,1019.31433,1019.1138,1018.81305,1018.7117,1018.7082,1018.9033,1019.2034,1019.7127,1020.3261,1020.73694,1020.7417,1020.6429,1020.2439,1019.5451,1018.7451,1018.24225,1018.2345,1018.52374
2025-11-08 02:12:13+00:00,2025-11-08 00:00:00+00:00,1006.05884,1006.6521,1006.5456,1007.0401,1007.9341,1007.2318,1007.1288,1007.22546,1007.12354,1007.42163,1007.32086,1007.7192,1008.12103,1008.8214,1009.32587,1009.542,1009.65826,1009.47217,1008.7813,1008.2891,1007.79346,1007.59534,1007.0936,1007.3852,1008.26605,1009.1547,1010.4433,1011.3357,1012.0287,1012.3229,1012.3209,1013.1186,1014.01953,1015.2095,1016.002,1017.3941,1018.88635,1020.27875,1021.4888,1021.8932,1022.29926,1022.6029,1022.50275,1022.3089,1022.2083,1022.40515,1022.89844,1023.8868,1025.4722,1024.0814,1024.9724,1026.0624,1026.455,1027.0483,1027.3425,1027.8365,1028.1301,1028.2229,1028.5162,1029.1104,1030.0032,1030.7979,1031.8044,1032.1166,1031.829,1031.4424,1030.5537,1029.3639,1028.4694,1028.0701,1027.8666,1028.1505,1028.4358,1028.9288,1029.1216,1029.1177,1028.9159,1028.8141,1028.5125,1028.2101,1028.0085,1027.4084,1027.0082,1027.0072,1027.0062,1027.2074,1027.1276,1026.6532,1025.7776,1024.6979,1023.4091,1021.81604,1020.6192,1019.8174,1019.51306,1019.4011,1019.48914,1019.48016,1019.5775,1019.3782,1019.1795,1018.8963,1018.50305,1018.1102,1017.91113,1017.6107,1017.5105,1017.4111,1017.6113,1018.01,1018.51105,1018.918,1019.0268,1018.9307,1018.33466,1017.83844,1017.2414,1016.8414,1016.9375,1017.2305,1017.5249,1017.82184,1018.2196,1018.4183,1018.5177,1018.4183,1018.4183,1018.31805,1018.21765,1018.2173,1018.41693,1018.8166,1019.21686,1019.818,1020.51935,1020.9222,1020.8262,1020.43164,1019.937,1019.24365,1018.35065,1017.85345,1017.84955,1018.2419,1018.63324,1019.0245,1019.4152,1019.7084,1019.60565,1019.30475,1019.1042,1019.00275,1018.90137,1018.8003,1018.7984,1018.79645,1018.9983,1019.40656,1019.9188,1020.1304,1019.7418,1019.053,1018.2597,1017.4608,1016.55725,1015.9523,1015.94525,1016.2364
2025-11-09 02:33:42+00:00,2025-11-09 00:00:00+00:00,1007.753,1007.9496,1010.04016,1009.837,1010.83405,1010.6304,1011.22504,1011.3223,1011.42255,1012.21765,1013.2165,1014.7119,1016.4023,1018.19305,1019.5992,1020.1073,1021.11224,1020.91705,1020.8223,1020.92255,1021.1167,1021.4123,1022.0039,1022.991,1024.377,1025.7638,1027.253,1028.1444,1028.9369,1029.5287,1029.6213,1030.1146,1030.4084,1030.901,1031.1938,1031.8881,1032.6824,1033.28,1034.0914,1034.3997,1034.41,1034.0203,1033.23,1032.6378,1032.0443,1031.4471,1031.1461,1031.3385,1031.7205,1029.8245,1030.0194,1029.9154,1029.9119,1029.81,1029.5077,1029.8048,1029.4039,1028.8027,1028.3025,1028.2013,1028.101,1028.2029,1028.2236,1027.7484,1027.171,1025.9918,1024.6051,1023.0128,1022.0145,1021.3134,1020.9088,1020.8969,1020.7853,1020.6768,1020.4752,1020.27496,1020.07697,1019.7787,1019.67957,1019.3817,1018.98846,1018.70746,1018.3104,1018.3081,1018.60956,1019.1087,1019.7115,1020.02057,1020.026,1019.73065,1018.93427,1017.8387,1017.3389,1017.2366,1017.3319,1017.42633,1017.72205,1017.9194,1018.01825,1018.018,1017.9194,1017.7201,1017.72205,1017.62317,1017.6213,1017.42194,1017.3221,1017.4212,1017.6193,1018.2151,1018.92114,1019.23724,1019.24426,1019.2337,1018.5382,1017.84155,1017.04553,1016.5464,1016.54126,1016.73334,1016.92694,1017.0254,1017.02576,1016.92535,1016.7209,1016.51514,1016.3108,1016.1089,1015.8088,1015.7086,1015.6069,1015.70544,1015.80743,1016.2167,1016.63,1016.8404,1016.54736,1016.0517,1015.45435,1014.6563,1013.757,1013.1548,1013.0483,1013.13983,1013.33185,1013.42664,1013.5227,1013.51886,1013.31604,1012.9139,1012.51263,1012.01196,1011.3119,1010.81445,1010.3231,1009.9343,1009.7429,1010.04553,1010.64514,1010.84607,1010.5485,1009.85223,1009.15625,1008.26196,1007.2681,1006.4707,1006.1674,1006.1612
2025-11-10 02:24:09+00:00,2025-11-10 00:00:00+00:00,1023.17944,1025.4716,1025.5642,1026.2574,1027.2505,1028.1444,1028.4391,1028.6318,1029.1252,1029.917,1030.5084,1030.7023,1031.1929,1031.6871,1032.3092,1032.4214,1032.7313,1032.5433,1031.4528,1031.1583,1031.2605,1030.961,1030.659,1031.0502,1031.3318,1031.5215,1031.913,1031.6058,1031.599,1031.3942,1030.79,1030.7839,1030.7792,1030.7758,1030.5734,1030.7706,1030.7681,1030.4697,1030.7045,1030.4365,1030.0583,1029.2743,1028.1896,1027.2006,1026.0072,1025.009,1024.1063,1023.5951,1023.48114,1020.975,1021.07227,1020.77313,1020.3748,1020.1758,1020.0766,1019.8779,1019.37976,1019.0835,1018.98773,1018.99225,1019.2946,1019.8965,1020.7135,1020.9196,1021.0249,1020.73114,1019.93604,1018.8418,1018.3391,1018.23645,1018.03455,1018.2266,1018.52185,1018.9193,1019.21783,1019.21747,1019.1173,1018.8181,1018.91486,1018.9123,1018.71735,1018.61755,1018.3161,1018.51733,1018.9174,1019.4171,1019.92017,1020.224,1020.22943,1019.73285,1019.0391,1017.9446,1017.44385,1017.0474,1016.7416,1016.8347,1017.1304,1017.2276,1017.3249,1017.2251,1017.1247,1016.92346,1016.52374,1016.2243,1015.91656,1015.7115,1015.51025,1015.5093,1015.6086,1015.9096,1016.127,1016.3422,1016.2498,1015.7532,1014.7498,1013.8529,1012.8556,1012.1555,1011.94965,1012.0405,1012.13434,1012.134,1012.1359,1012.0376,1011.6381,1011.03815,1010.43884,1009.8412,1009.3439,1008.84607,1008.5472,1008.34753,1008.1485,1008.14984,1008.2512,1008.054,1007.5584,1006.86365,1006.06696,1004.8684,1003.56757,1002.5664,1002.1646,1002.06226,1002.06036,1002.25946,1002.5589,1002.9575,1003.25543,1003.65283,1004.0471,1004.5358,1005.12164,1005.7098,1006.3037,1006.90015,1007.5989,1008.69885,1009.9008,1010.7054,1010.616,1010.1295,1009.5398,1008.84607,1007.9502,1007.54834,1007.7379,1008.32196
2025-11-11 02:14:57+00:00,2025-11-11 00:00:00+00:00,1029.532,1029.5239,1029.8152,1030.5065,1030.103,1030.1976,1029.3934,1029.6882,1029.0862,1028.9828,1028.6804,1028.2793,1028.5771,1027.9785,1028.5125,1028.648,1028.5704,1027.6873,1026.403,1025.4133,1024.3191,1023.6191,1022.7155,1022.2052,1022.4874,1022.478,1022.27325,1021.76904,1021.6641,1021.4623,1021.3586,1021.3566,1020.85535,1020.65375,1020.7551,1020.9532,1021.35,1021.64746,1022.26715,1022.9074,1023.0317,1022.5412,1021.2482,1020.3529,1019.7585,1019.75653,1019.25287,1019.0444,1019.02704,1019.3061,1019.6025,1019.7003,1019.59894,1019.5982,1019.3983,1019.59796,1019.39795,1019.2971,1019.2959,1019.3945,1019.59314,1019.8926,1020.60864,1020.82996,1020.744,1020.2515,1019.0583,1017.8623,1017.7437,1017.8361,1017.5427,1017.43567,1017.7217,1017.91235,1018.2087,1018.3063,1018.40485,1018.2045,1017.9045,1017.7031,1017.5026,1017.30164,1017.1011,1017.30005,1017.7986,1018.39874,1018.81464,1019.0344,1019.0452,1018.3538,1017.36035,1016.2648,1015.5662,1015.26263,1015.3545,1015.6413,1015.9281,1016.32153,1016.61597,1016.7113,1016.5081,1016.1079,1015.8072,1015.60724,1015.406,1015.2044,1015.0038,1015.00354,1015.0032,1015.40186,1015.61615,1015.7347,1015.8444,1015.54944,1014.75586,1014.0567,1013.3541,1012.751,1012.4478,1012.34406,1012.33997,1012.43475,1012.7288,1012.82416,1012.7209,1012.5187,1012.2173,1011.7176,1011.21844,1010.7193,1010.41864,1010.3175,1010.3194,1010.62616,1011.0359,1011.3439,1011.24915,1010.9531,1010.5567,1009.8614,1008.8662,1008.268,1008.06415,1008.1578,1008.35254,1008.6515,1008.9523,1009.1528,1009.1528,1009.0523,1008.75226,1008.3523,1007.7527,1007.35175,1007.1477,1007.0426,1007.04065,1007.3439,1007.85065,1008.1578,1007.966,1007.5748,1007.0807,1006.5819,1006.08026,1005.8765,1006.07043,1006.56335
2025-11-12 02:17:25+00:00,2025-11-12 00:00:00+00:00,1021.98474,1022.274,1021.1695,1021.0642,1020.3617,1020.4586,1019.4588,1019.4573,1019.1561,1019.95465,1020.15173,1020.553,1020.55005,1021.0486,1021.5694,1021.90607,1021.63214,1021.44086,1020.64636,1020.15076,1019.5563,1019.4478,1019.24817,1019.2392,1019.6312,1020.12006,1020.8064,1021.19867,1021.29297,1021.1887,1020.5878,1020.58435,1020.68097,1020.97784,1020.7759,1020.7734,1021.0703,1021.56665,1022.1838,1022.5108,1022.63116,1022.3399,1021.6478,1020.95325,1020.25214,1019.84906,1019.44904,1019.44116,1019.43494,1019.1091,1019.2053,1019.2028,1019.30164,1019.10144,1018.60034,1018.49854,1018.39813,1018.0983,1018.0977,1018.1969,1018.3966,1018.89667,1019.41205,1019.531,1019.44336,1018.8514,1017.75836,1016.5629,1015.8638,1015.56116,1015.45435,1015.7386,1016.1268,1016.4179,1016.5113,1016.7078,1016.40643,1016.00525,1015.8046,1015.6043,1015.30457,1015.0038,1014.80316,1014.8022,1015.0012,1015.501,1015.9172,1015.8364,1015.6505,1015.0591,1013.7674,1012.57263,1011.77405,1011.37085,1011.2648,1011.2495,1011.6374,1012.13025,1012.12384,1012.12,1011.7197,1011.51825,1011.317,1011.21497,1011.1142,1010.7146,1010.5146,1010.51404,1010.8131,1011.31354,1011.8288,1012.0469,1011.95935,1011.2681,1010.2737,1009.5745,1008.87103,1008.36743,1008.26416,1008.3605,1008.55664,1008.85364,1009.15027,1009.44696,1009.5423,1009.53754,1009.43365,1009.2324,1009.0318,1008.93164,1008.9304,1009.0296,1009.2318,1009.7389,1010.3491,1010.75867,1010.5662,1010.1735,1009.6782,1009.1797,1008.5791,1008.27673,1008.4721,1009.0653,1009.5594,1009.9537,1010.3479,1010.74335,1011.04065,1011.33856,1011.5373,1011.7362,1011.836,1012.03546,1012.23376,1012.5323,1012.93256,1013.6364,1014.6417,1015.2461,1015.44635,1015.44476,1015.24646,1014.85535,1014.26654,1013.97125,1014.263,1014.7479
2025-11-13 02:34:19+00:00,2025-11-13 00:00:00+00:00,1019.2267,1019.51184,1019.8027,1019.699,1019.8961,1020.39307,1020.3927,1019.99084,1019.78766,1019.98413,1020.1813,1020.2826,1020.87805,1021.4747,1021.98785,1022.21796,1022.0366,1021.64526,1021.1532,1020.35803,1020.05914,1019.6581,1019.4488,1019.6373,1019.93286,1020.328,1020.6217,1020.41284,1020.4064,1020.4007,1020.3962,1020.4925,1020.4899,1020.48676,1020.5834,1020.87964,1020.87744,1020.8748,1021.39386,1021.5199,1021.43604,1021.04626,1020.0531,1019.3607,1018.76465,1018.35596,1018.05273,1018.0451,1018.1309,1017.61365,1017.50867,1017.405,1017.0035,1016.7027,1016.7012,1016.60004,1016.30023,1015.99945,1015.79944,1015.7982,1015.9973,1016.3976,1016.7136,1016.63293,1016.44635,1015.75574,1014.6633,1013.26855,1012.46936,1012.06616,1011.7607,1011.94574,1012.2326,1012.42523,1012.4202,1012.41766,1012.31647,1011.9153,1011.7137,1011.5134,1011.21375,1010.6148,1010.41516,1010.6148,1010.71484,1011.31476,1011.62885,1011.84686,1011.6599,1010.8695,1009.67786,1008.48413,1007.7865,1007.28577,1007.18,1007.5644,1008.2515,1008.842,1009.1367,1009.23303,1009.23145,1009.13104,1009.1307,1008.82996,1008.8292,1008.6294,1008.629,1008.629,1009.0287,1009.529,1010.2417,1010.6589,1010.86975,1010.2768,1009.47723,1008.97845,1008.4771,1008.17444,1008.16974,1008.4628,1008.8571,1009.4523,1010.04803,1010.6449,1010.9421,1011.1408,1011.3392,1011.4381,1011.5373,1011.6368,1011.9353,1012.23376,1012.6351,1013.24,1013.9474,1014.3556,1014.3655,1014.0761,1013.7827,1013.382,1012.8772,1012.6718,1012.9679,1013.46356,1014.0583,1014.5514,1015.0433,1015.53735,1015.8343,1016.13306,1016.3324,1016.4316,1016.4316,1016.53076,1016.629,1016.7269,1016.92816,1017.4341,1018.04224,1018.45074,1018.35986,1017.9692,1017.47546,1016.8761,1016.2734,1015.86896,1016.06165,1016.45264
2025-11-14 02:18:18+00:00,2025-11-14 00:00:00+00:00,1019.0264,1019.1161,1019.20984,1019.50287,1019.19965,1018.9967,1018.5933,1018.39014,1018.38727,1018.9842,1018.7824,1019.17914,1019.57556,1019.97284,1020.4919,1020.4256,1020.3427,1019.9542,1019.2603,1018.56464,1017.86774,1017.36414,1017.0576,1017.4474,1017.73413,1017.8244,1018.0157,1017.60974,1017.60504,1017.5026,1017.4988,1017.19617,1016.6945,1016.1915,1015.98956,1016.1864,1016.78204,1016.87915,1017.09753,1016.9314,1016.84937,1016.25836,1015.36536,1014.57043,1013.57544,1013.07556,1012.87274,1012.76184,1012.946,1012.0281,1011.9238,1011.72205,1011.7189,1011.5167,1011.1161,1010.8166,1010.51556,1010.11536,1009.81586,1009.6166,1009.9161,1010.617,1011.13007,1011.34735,1011.06067,1010.2702,1009.0792,1007.6857,1006.98724,1006.68524,1006.68024,1006.96545,1007.55396,1008.145,1008.539,1008.73486,1008.9333,1008.7314,1008.7298,1008.4294,1008.32916,1007.83,1007.73,1008.0295,1008.429,1008.92883,1009.64124,1009.9581,1010.171,1009.5809,1008.58765,1007.58716,1006.88354,1006.78876,1006.8845,1007.4713,1008.35736,1009.0504,1009.446,1009.8437,1010.1429,1010.3412,1010.339,1010.33746,1010.23706,1010.5365,1010.6366,1010.93604,1011.535,1012.13495,1012.6449,1013.0584,1013.2711,1012.88007,1012.187,1011.491,1010.692,1010.2888,1010.5795,1011.1662,1011.755,1012.0491,1012.34564,1012.44366,1012.44336,1012.44366,1012.34406,1012.14386,1011.94385,1011.84375,1011.94324,1012.043,1012.24426,1012.54785,1012.85333,1012.9586,1012.76495,1012.37164,1011.7762,1010.9776,1010.0769,1009.37463,1009.169,1009.1617,1009.2558,1009.2529,1009.2518,1009.15155,1008.8524,1008.4547,1007.95654,1007.45856,1006.8609,1006.36237,1006.0623,1005.8617,1005.76184,1005.76495,1005.86884,1006.0673,1006.6546,1007.3363,1007.7234,1007.5224,1007.0277,1006.83057,1007.22894,1007.92487
