forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:45+00:00,2025-11-05 00:00:00+00:00,24.838999,22.189,20.289,18.889,18.239,17.139,15.889,15.438999,14.389,13.188999,13.389,12.688999,11.589,10.738999,12.188999,14.488999,15.839,17.239,18.289,19.139,19.489,19.489,18.838999,17.588999,14.789,12.839,11.339,10.139,9.139,8.238999,7.389,6.589,5.989,5.339,4.839,4.839,4.489,4.139,5.439,10.188999,14.139,18.189,21.189,23.739,25.439,26.338999,26.539,24.889,20.338999,19.2,18.05,16.85,15.95,14.85,13.95,13.0,12.4,12.05,12.35,11.6,11.25,10.75,11.4,13.8,15.9,18.15,19.55,20.25,20.55,20.45,19.9,18.6,14.5,13.65,13.3,12.8,12.15,11.45,10.8,10.35,9.95,9.8,9.9,9.95,10.1,9.85,10.0,13.85,17.3,18.3,18.75,18.85,18.5,17.45,15.9,14.45,12.65,11.85,11.0,10.2,10.3,10.35,8.8,7.75,6.2,4.65,3.0,2.25,1.45,0.95,1.2,2.6,4.4,6.0,7.45,8.6,9.4,9.6,8.75,7.25,5.85,4.85,3.9,3.1,2.35,1.65,1.15,0.8,0.6,0.5,0.4,0.45,0.95,2.05,3.65,5.75,8.75,12.25,15.2,17.45,19.15,19.75,18.55,16.25,14.25,13.15,12.4,11.65,10.85,10.1,9.5,9.15,8.9,8.75,8.45,8.15,8.45,9.45,11.05,13.15,16.2,19.8,22.8,25.0,26.6,26.9,25.05,21.85
2025-11-06 02:23:19+00:00,2025-11-06 00:00:00+00:00,14.389,12.488999,11.089,9.938999,8.988999,8.188999,7.489,6.789,6.289,5.639,5.389,5.139,4.939,5.039,5.889,10.738999,14.589,18.588999,20.989,22.939,24.939,26.139,26.389,24.588999,20.489,19.088999,17.939,13.938999,13.089,12.938999,13.089,13.839,13.589,12.889,12.089,10.738999,9.639,8.839,9.938999,13.039,15.289,17.739,19.489,20.389,21.039,21.439,21.439,20.539,16.739,14.35,13.55,13.0,12.5,11.7,11.15,10.75,10.55,10.8,10.65,10.2,9.75,9.55,10.95,14.85,17.0,17.5,18.55,18.25,17.55,17.1,16.15,14.85,12.95,11.4,10.85,10.55,10.75,10.2,8.25,6.95,6.05,5.15,4.3,3.3,2.35,1.6,1.7,3.1,4.5,5.8,7.0,7.8,8.4,8.65,8.35,7.45,5.05,3.9,3.2,2.4,1.4,0.95,0.8,1.3,1.45,1.1,1.0,0.75,0.6,0.45,1.4,4.7,7.55,10.25,13.15,15.3,17.05,17.7,16.7,14.6,12.7,11.35,10.2,9.3,8.8,8.6,8.45,8.3,8.2,8.15,7.95,7.75,8.0,8.65,9.75,11.6,14.9,19.0,22.3,24.45,25.85,26.0,24.2,21.2,18.75,17.6,16.95,16.4,15.7,15.0,14.45,14.05,13.75,13.45,13.0,12.6,12.65,13.35,14.55,16.05,18.2,20.65,22.6,23.9,24.6,24.3,22.25,19.1
2025-11-07 02:21:01+00:00,2025-11-07 00:00:00+00:00,21.639,18.088999,16.039,14.839,14.238999,13.738999,13.238999,13.889,13.789,12.738999,12.139,11.188999,10.589,10.238999,10.738999,13.789,15.789,17.439,18.889,19.939,20.439,20.588999,20.338999,19.639,16.489,14.789,13.139,11.738999,11.188999,10.639,9.938999,9.889,9.789,10.139,10.839,10.688999,9.389,8.289,9.438999,13.389,14.238999,15.188999,16.039,16.838999,17.289,16.989,16.189,14.738999,12.539,10.95,10.05,9.7,9.6,8.95,7.85,7.3,6.75,5.9,5.2,4.75,4.3,3.55,3.45,4.75,6.4,7.65,8.7,9.85,10.5,10.65,10.3,9.35,6.75,5.6,4.9,4.15,3.3,2.45,2.05,1.65,1.35,1.0,0.65,0.45,0.25,0.15,1.0,4.15,6.8,9.8,12.75,14.7,16.1,17.25,17.65,16.45,12.6,11.15,10.3,9.45,8.85,8.6,8.35,8.2,8.15,8.15,8.1,8.15,8.1,7.65,8.3,12.1,16.2,19.6,22.15,24.15,25.4,25.55,24.0,21.3,18.95,17.5,16.35,15.45,14.75,14.25,13.9,13.75,13.75,13.5,12.65,11.6,11.25,12.0,13.4,15.2,17.6,20.3,22.4,23.55,24.05,23.65,21.85,19.1,16.75,15.3,14.2,13.3,12.55,11.95,11.5,11.25,11.1,10.85,10.1,9.3,9.2,10.4,12.4,14.45,16.55,18.7,20.45,21.75,22.65,22.65,21.25,18.95
2025-11-08 02:11:41+00:00,2025-11-08 00:00:00+00:00,16.838999,15.039,13.839,12.889,11.988999,11.438999,11.039,10.839,11.238999,11.589,11.238999,9.688999,7.889,8.738999,9.488999,13.039,13.688999,14.889,15.938999,16.689,16.889,16.439,15.688999,14.539,12.238999,10.139,8.488999,7.389,6.939,6.639,6.139,5.689,4.539,3.889,3.389,2.589,2.339,1.889,2.4390001,4.689,6.789,8.139,9.238999,9.988999,10.639,10.589,10.289,9.339,6.789,6.95,6.4,5.9,5.25,4.8,4.05,2.95,2.3,1.9,1.5,1.2,1.05,0.85,1.65,4.5,7.2,9.45,12.15,14.15,15.55,16.4,16.55,15.5,11.95,10.7,10.1,9.3,8.5,8.35,8.35,8.35,7.95,7.75,7.4,7.2,7.05,7.1,7.9,11.9,16.45,19.3,21.3,22.7,23.25,23.4,22.55,19.8,16.65,15.55,15.1,14.65,14.25,13.85,13.45,13.0,12.5,11.9,11.4,11.15,10.85,10.4,10.95,14.45,17.7,19.7,21.2,22.3,22.8,22.45,20.75,18.2,15.95,14.5,13.35,12.45,11.8,11.35,10.95,10.6,10.35,10.1,9.7,9.3,9.35,10.05,11.15,12.75,15.1,17.85,20.2,22.05,23.5,23.8,22.2,19.45,17.15,15.85,15.0,14.35,14.0,13.85,13.65,13.15,12.55,12.05,11.55,11.2,11.35,12.2,13.55,15.4,18.15,21.35,23.95,25.65,26.65,26.55,24.55,21.45
2025-11-09 02:33:14+00:00,2025-11-09 00:00:00+00:00,12.389,10.488999,9.488999,8.539,7.489,6.639,6.839,5.939,4.539,4.189,3.489,3.139,2.6890001,1.4890001,2.139,4.589,7.239,8.089,9.089,9.789,10.488999,11.039,10.789,10.039,7.489,5.489,4.089,2.889,1.789,0.789,0.23900001,-0.261,-0.911,-1.561,-2.111,-2.611,-2.761,-2.861,-2.0609999,2.089,4.739,7.389,9.539,11.389,13.289,14.238999,14.889,14.089,10.688999,10.3,9.75,8.7,8.05,8.1,8.3,8.15,7.9,7.65,7.35,7.3,7.1,6.95,8.15,12.6,16.85,20.25,22.65,24.3,25.25,25.35,24.35,21.5,17.6,16.35,15.55,14.8,14.25,13.6,13.15,12.8,12.3,11.75,11.05,10.7,10.2,9.9,10.5,14.1,16.8,18.95,20.25,21.35,22.1,22.05,21.15,19.1,15.35,14.1,13.15,12.6,12.1,12.0,11.55,11.05,10.8,10.65,10.45,10.3,10.1,9.85,10.5,13.9,17.3,20.05,23.1,24.95,26.15,26.25,24.75,22.15,19.85,18.15,16.7,15.7,15.5,15.8,15.9,15.6,15.1,14.7,14.3,14.0,14.2,15.1,16.55,18.25,20.35,22.7,24.75,26.5,27.95,28.4,27.4,25.4,23.4,21.5,19.55,18.05,17.3,16.95,16.65,16.2,15.75,15.5,15.5,15.65,15.9,16.2,16.6,17.25,18.4,19.8,20.65,20.7,20.25,19.1,17.0,14.25
2025-11-10 02:23:28+00:00,2025-11-10 00:00:00+00:00,7.089,5.189,3.889,3.089,2.339,1.639,0.539,0.289,-0.211,-0.711,-0.961,-0.861,-0.861,-0.76100004,0.039,4.139,6.839,8.789,10.889,12.438999,14.488999,15.589,15.938999,14.988999,11.339,9.589,8.139,7.689,7.239,6.889,6.639,6.739,6.839,7.139,7.339,7.289,7.039,6.639,7.439,11.789,15.789,18.939,21.439,23.088999,24.338999,25.039,24.889,22.588999,18.239,16.5,16.2,15.8,15.05,14.15,13.45,13.3,12.5,11.7,11.15,10.7,10.25,9.95,10.8,14.1,16.7,18.55,19.95,20.8,21.25,21.3,20.6,18.75,15.5,14.55,13.55,12.5,11.9,11.25,10.6,10.2,9.9,9.65,9.5,9.45,9.6,9.75,10.3,13.9,17.4,20.8,24.1,25.9,27.15,27.4,27.25,23.75,19.7,18.1,16.95,17.5,16.65,15.8,15.0,14.5,14.15,13.75,13.6,13.6,13.65,13.8,14.15,17.4,20.55,23.65,25.75,27.3,28.25,28.25,26.9,24.7,22.55,20.75,19.1,17.85,17.3,17.15,17.05,17.05,17.1,16.65,15.15,13.1,11.65,11.2,11.35,11.75,12.65,13.85,14.3,13.45,11.9,10.4,9.2,8.05,7.1,6.4,5.85,5.45,5.25,5.25,5.15,4.9,4.55,4.2,3.65,3.05,3.0,3.8,5.2,6.8,8.75,10.95,12.75,14.1,15.1,15.25,14.05,12.1
2025-11-11 02:14:29+00:00,2025-11-11 00:00:00+00:00,13.839,12.389,11.488999,10.488999,9.339,8.789,8.738999,9.089,8.839,8.889,8.639,8.738999,8.339,7.639,8.389,13.389,17.939,22.189,25.389,26.289,26.139,25.939,25.439,23.338999,19.439,16.689,15.539,13.139,11.938999,10.789,10.139,9.089,8.089,7.039,6.439,5.939,5.689,5.439,5.539,9.839,15.438999,17.939,18.989,19.838999,20.739,21.289,21.039,19.338999,15.488999,13.95,13.0,12.3,12.0,11.7,11.55,11.05,10.75,11.6,11.9,10.8,10.6,10.8,11.6,14.1,17.25,20.35,22.25,23.9,24.4,24.85,24.5,21.5,18.2,17.0,16.5,16.15,15.75,15.3,14.6,14.6,14.5,14.0,13.5,12.4,12.15,11.8,12.85,15.15,18.5,22.0,24.8,27.05,28.1,28.1,27.5,24.4,20.7,19.6,18.75,18.5,18.1,18.35,16.75,16.1,16.1,15.55,14.7,14.05,13.5,12.75,13.05,16.0,18.2,20.15,22.25,23.3,23.8,23.75,23.0,21.7,20.35,19.1,17.85,16.65,15.6,14.6,13.85,13.35,13.05,12.95,13.0,13.2,13.5,13.9,14.4,15.2,16.6,18.35,19.55,20.0,19.95,19.45,18.25,16.55,15.25,14.75,14.65,14.3,13.4,12.3,11.35,10.8,10.4,10.05,9.6,9.2,9.25,9.9,10.95,12.3,14.1,16.15,17.8,19.05,19.85,19.9,18.6,16.5
2025-11-12 02:16:54+00:00,2025-11-12 00:00:00+00:00,19.039,16.588999,15.238999,14.639,14.188999,13.389,10.639,9.639,9.289,8.789,8.089,7.439,6.739,6.189,6.639,11.938999,16.889,18.739,20.939,22.439,23.088999,23.239,22.588999,20.789,17.088999,15.339,14.339,13.238999,12.289,11.438999,10.839,10.339,10.289,10.089,9.639,8.938999,8.539,8.188999,8.839,14.688999,18.838999,22.189,24.739,26.338999,27.088999,27.588999,27.439,24.689,20.939,17.9,17.1,16.5,16.0,15.15,14.8,14.6,14.65,14.65,14.65,13.4,12.5,11.6,11.75,15.1,18.3,21.35,24.55,26.95,28.45,29.05,28.55,25.3,21.4,20.5,19.25,18.35,17.8,17.6,17.65,16.55,15.75,15.35,15.0,14.85,14.6,14.3,14.7,18.4,22.0,24.7,26.65,27.95,28.9,29.3,28.8,26.3,21.65,19.9,18.6,17.55,16.9,16.25,16.0,16.35,16.4,15.5,15.2,14.75,13.95,13.55,14.05,17.9,21.6,25.1,26.9,27.8,27.8,27.15,25.9,24.05,22.2,20.4,18.6,17.05,15.75,14.7,14.0,13.95,14.3,14.45,14.0,13.3,12.9,12.85,13.05,13.75,15.35,17.4,19.0,19.85,20.25,20.0,18.85,17.05,15.4,14.3,13.4,12.25,10.55,8.6,6.95,5.95,5.25,4.6,3.8,3.05,2.65,2.65,3.0,3.95,5.85,8.3,10.5,12.3,13.75,14.35,13.45,11.65
2025-11-13 02:33:51+00:00,2025-11-13 00:00:00+00:00,17.489,14.988999,13.589,12.589,11.789,11.089,10.789,10.389,10.438999,10.139,9.589,9.488999,8.488999,8.289,8.389,13.339,17.789,21.088999,23.789,25.588999,26.439,26.989,25.789,23.489,20.588999,18.039,15.339,13.988999,13.839,11.688999,11.039,10.139,9.839,9.188999,8.988999,8.339,8.139,8.339,8.289,12.188999,17.539,22.239,25.739,26.939,27.539,27.539,26.939,24.139,19.838999,20.65,19.75,18.75,18.35,17.8,17.4,16.55,16.1,15.65,15.1,14.75,14.45,14.4,15.25,19.15,22.4,25.1,26.75,28.0,29.05,29.2,28.6,25.25,20.35,18.7,17.6,16.1,15.3,14.4,14.05,13.6,13.25,12.95,12.05,11.3,10.45,9.7,10.05,12.85,15.3,17.2,18.9,20.35,21.75,22.8,22.65,20.9,17.0,14.85,14.0,13.65,13.5,13.45,13.8,15.15,15.25,14.1,14.1,14.55,13.9,13.45,13.6,15.85,17.65,19.6,20.85,21.8,22.35,22.05,20.4,17.95,15.7,14.05,12.6,11.3,10.1,9.1,8.25,7.65,7.2,6.8,6.3,5.9,5.75,5.9,6.4,7.5,9.8,12.7,15.05,16.5,17.35,17.5,16.55,14.9,13.45,12.55,11.8,11.25,10.85,10.6,10.45,10.35,10.25,10.2,10.0,9.75,9.8,10.2,10.85,11.95,13.8,16.15,18.0,19.25,20.05,20.1,18.95,17.0
2025-11-14 02:17:45+00:00,2025-11-14 00:00:00+00:00,20.239,17.539,15.789,14.188999,13.039,12.139,11.089,10.188999,9.539,8.938999,8.589,7.989,7.689,7.539,7.939,12.738999,18.588999,22.989,25.939,27.689,28.039,27.739,26.689,24.139,19.939,18.389,17.389,16.939,16.489,16.088999,15.289,15.488999,15.289,14.938999,15.139,14.089,13.188999,13.039,13.089,17.139,21.239,24.389,26.689,27.588999,27.789,27.639,27.139,24.838999,20.338999,17.5,16.8,16.2,15.75,15.25,14.55,13.8,13.25,12.65,11.8,11.05,10.45,10.45,11.25,13.45,15.9,18.05,19.7,20.9,21.9,22.25,22.0,20.15,16.45,15.0,14.15,13.6,13.35,13.25,12.85,12.9,12.65,13.5,13.6,12.8,12.2,12.2,12.65,14.15,16.25,18.65,20.25,21.1,21.65,21.75,21.5,19.25,16.35,13.8,12.65,11.4,10.0,8.9,8.3,7.55,6.9,6.35,6.0,5.65,5.3,5.0,5.2,6.7,8.8,10.85,12.1,13.1,13.65,13.75,13.15,12.05,11.1,10.5,10.0,9.55,9.25,9.0,8.65,8.1,7.5,7.0,6.65,6.45,6.65,7.55,8.85,10.0,10.75,11.3,12.05,13.35,14.75,15.4,14.6,12.95,11.7,11.3,11.2,11.0,10.4,9.7,9.2,9.25,9.55,9.6,9.05,8.3,7.8,7.7,7.9,8.55,10.0,11.95,13.55,14.75,15.65,15.7,14.35,12.2
