forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:40+00:00,2025-11-05 00:00:00+00:00,8.331329,9.065881,8.29395,8.549473,8.327626,9.184771,10.455118,10.802066,11.6913395,12.209628,12.407867,12.062106,11.865408,11.1208,13.516259,14.82762,15.550056,15.602757,14.74233,13.597826,13.348208,13.440087,13.376171,11.305812,10.130851,10.0808525,10.0977545,9.676091,9.806406,10.359901,10.949937,12.4843645,11.703163,11.837486,11.542843,11.248197,10.9044285,10.783527,12.715876,15.569093,16.533972,16.447805,15.810764,14.959503,14.673794,14.673794,14.308052,13.006564,11.5650625,10.992056,10.841849,10.562101,10.063675,10.567876,12.680642,13.888119,14.069004,14.1070795,13.911245,13.930746,13.940984,13.793274,13.696021,13.359666,12.285585,11.08125,10.217903,7.9723663,5.3104153,4.2886815,3.4422185,3.704391,3.101543,4.868106,6.765885,7.501803,7.767548,8.070034,8.1044035,8.279792,7.3689184,5.929262,4.8278213,3.7496812,3.2998629,3.0695076,3.807809,4.4251966,4.868106,5.5489793,5.2807016,4.9438853,4.5755286,3.7950933,3.9185543,5.8010097,5.272537,5.3163347,5.4228215,5.0490336,5.3848248,5.201554,5.2102985,5.682916,6.4898367,5.266446,3.0460303,3.0670764,0.40340444,-2.3539076,-3.0648022,-3.6403544,-4.778588,-5.759597,-7.9500365,-8.972996,-9.456926,-10.429275,-10.518355,-11.110593,-11.671958,-12.02949,-12.947174,-13.181811,-13.323956,-12.886284,-12.494254,-12.629766,-12.306827,-12.4093685,-12.265802,-12.086095,-12.130449,-12.133658,-12.481811,-12.380368,-12.226963,-12.086353,-12.620915,-12.983387,-12.903888,-12.6264515,-12.543507,-11.621702,-11.630527,-11.904407,-12.048965,-12.058278,-11.884693,-11.053757,-10.774747,-10.514184,-10.686774,-10.859384,-10.790779,-10.739625,-10.478571,-10.039661,-9.607949,-8.689153,-7.825371,-6.3393373,-4.649542,-2.8906226,-0.40564874,1.6898249,3.257547,3.9498887
2025-11-06 02:23:11+00:00,2025-11-06 00:00:00+00:00,9.744735,11.928352,12.504983,10.880849,9.443426,8.853774,10.251914,12.013556,11.96612,12.142596,12.297718,12.101572,11.95446,11.75831,13.982777,16.286829,17.051395,16.444036,16.176947,15.369142,14.40458,14.129044,13.698505,12.751275,11.22725,11.359339,11.503447,11.13089,10.989529,12.103539,13.564937,13.719682,12.630831,11.962501,11.670411,11.091158,10.848097,10.556418,12.4843645,13.466463,13.120127,13.905348,14.140058,13.073704,11.803411,10.360022,8.949522,6.3635535,5.631577,3.783101,3.3013735,3.6989377,4.3947644,5.4364314,5.956459,6.7724123,7.3221474,7.83657,8.074975,8.166337,9.464254,9.271287,9.769368,8.374218,8.122807,7.217522,6.4579144,5.1935825,4.4584966,3.9259949,3.7244473,5.715484,6.330615,7.498019,7.8773055,7.7626114,7.597119,7.810698,8.579816,7.012033,4.135268,2.3449626,-1.7458254,-2.8981464,-3.8359668,-2.3980305,-1.96125,-3.5127423,-3.742848,-3.5836623,-3.574657,-3.7580636,-4.2177396,-5.5385265,-6.3779454,-7.0194097,-7.8066206,-8.745821,-9.429265,-10.241279,-11.735854,-11.76322,-11.614388,-12.178157,-12.059583,-12.9602785,-13.526814,-13.274556,-13.411469,-13.2974205,-12.628021,-12.236201,-11.927077,-11.987796,-11.93382,-12.133489,-11.926309,-11.644331,-11.686881,-11.09205,-11.25239,-11.552352,-11.097139,-11.139306,-11.032547,-10.400802,-10.174064,-9.962411,-10.093407,-10.268083,-10.661173,-10.6416645,-10.83591,-10.444129,-9.942063,-9.04799,-8.154741,-7.3708982,-5.679614,-3.8428323,-1.2463503,0.6091739,1.3548188,1.7667592,2.5079603,3.581524,4.64911,6.1484838,8.071322,9.910211,11.071254,11.626727,11.577485,11.699306,11.690328,11.623517,11.608461,11.922182,12.18193,12.391806,12.295642,11.960891,11.022699,10.511168,9.777548,9.86554,9.899687,10.027015
2025-11-07 02:20:53+00:00,2025-11-07 00:00:00+00:00,14.318678,13.305979,12.549549,12.1740885,10.8337345,11.715189,13.228738,13.607239,13.265505,12.972586,12.777299,12.199966,11.528651,10.996316,12.4981,13.118332,13.087472,13.026631,12.532204,10.537268,7.766878,10.371607,11.946159,9.699335,9.415991,8.520861,7.396379,6.956034,6.882044,6.1376576,4.711916,3.784204,3.107899,2.427224,2.288467,2.6022525,2.3728442,1.8672282,3.3169188,7.479756,8.056599,11.072774,11.80934,11.808554,10.908254,12.091936,12.306085,9.249286,6.724608,6.3229465,5.7026515,5.092114,2.6953094,5.7077603,8.273767,7.2612405,4.228733,3.493552,-0.6461,-2.0534997,-3.072756,-2.9518921,-2.3612275,-3.1213388,-3.7554646,-3.531905,-3.4131346,-2.8205695,-3.308307,-4.2384996,-5.1609645,-5.837486,-6.184906,-6.808228,-7.241226,-7.2574725,-7.0715823,-7.2361636,-7.3166714,-7.508015,-7.755559,-8.160252,-8.520044,-8.871163,-9.097567,-9.731143,-10.167998,-11.935194,-12.76212,-13.749807,-13.983095,-13.8237095,-13.063388,-12.623468,-12.70344,-10.493564,-12.07119,-12.488247,-12.342569,-12.971951,-13.475682,-13.281748,-13.02954,-12.801033,-12.551632,-12.193196,-12.322214,-12.808569,-13.227335,-12.979885,-12.13902,-11.630527,-10.559199,-8.68192,-6.6754713,-5.4465737,-3.8261347,-2.273549,-1.3825364,-0.8980933,-0.4998191,0.33014733,1.2568748,3.0670764,5.855085,8.587583,10.38564,10.937313,10.888068,10.789578,10.733026,10.667839,10.652048,10.710327,10.636065,10.56789,10.220661,9.556688,8.593294,7.8982816,7.0228195,7.152468,7.7227573,8.391941,8.552273,8.945841,9.256329,10.116972,11.7493105,13.617481,14.845358,15.140201,15.140201,14.877977,14.692409,14.294372,14.231979,14.45884,14.78017,15.006012,14.978259,14.319309,13.342375,12.436024,12.054013,11.669982,11.628284,11.700491
2025-11-08 02:11:35+00:00,2025-11-08 00:00:00+00:00,8.80977,8.752712,8.9809475,8.121883,7.7528243,7.337574,7.967342,8.954745,8.383124,8.339919,9.184731,9.424214,9.074888,8.9996805,10.753602,13.363214,13.920442,14.204293,13.58225,12.001737,10.22723,9.749829,13.575491,9.738328,5.805984,6.0149045,6.072386,6.267058,6.793778,6.5109897,4.3642974,2.0589833,-0.78758425,-1.4046377,-0.34409323,-1.2039223,-2.0223312,-1.721433,-0.2805188,-0.59950435,0.19316617,0.6093474,0.80723834,0.5629333,-0.119664975,-0.15366891,-0.8684161,-1.4227775,-1.2198521,-3.9477425,-3.8126488,-3.954262,-4.0577602,-4.341169,-4.7693634,-6.2086005,-6.9254203,-7.508015,-7.8005204,-7.9690185,-8.057072,-8.418929,-8.879217,-9.347833,-9.471991,-8.794249,-8.656542,-8.199405,-8.196802,-7.9489684,-8.072878,-7.0918794,-8.318835,-8.671082,-9.856583,-10.841736,-11.13971,-11.43775,-11.353206,-10.600475,-10.400802,-10.988853,-11.204662,-11.677239,-11.849204,-11.463673,-10.4978,-5.743456,-2.2871592,-0.73143977,1.2000118,2.5928886,3.462859,4.3504586,5.131795,5.6726837,6.2298136,6.8129015,6.91114,7.623764,8.976074,11.587443,12.562316,12.78408,12.685467,12.658666,12.846069,13.17523,13.17523,13.337505,13.71731,14.035667,13.672362,13.219117,12.980649,12.2128935,11.848204,11.499266,11.398493,11.7462225,11.590534,11.408325,11.308043,11.931269,13.478402,15.428897,16.549946,16.957794,16.957794,16.895668,16.831818,16.865597,16.877415,16.88101,16.845657,16.855272,16.956478,16.51317,15.777674,14.76275,13.426613,12.679615,12.661478,12.792463,13.125621,13.666661,14.244542,14.446053,14.321179,14.181226,14.0865755,13.940181,13.839375,13.735629,13.799601,14.066004,14.337281,14.846582,15.108195,15.375876,14.990011,13.980576,12.877223,12.188086,12.115514,12.232773,11.85315,11.838072
2025-11-09 02:33:09+00:00,2025-11-09 00:00:00+00:00,9.620621,10.929773,9.613033,8.789148,8.4063635,10.551043,10.563011,9.988784,4.79977,3.6747422,0.6903863,-0.8383074,-0.38778278,0.07773314,0.919111,-0.025917256,0.2836797,0.6895778,0.69477874,1.1411918,1.0519171,1.1451062,0.38377273,-1.7675953,-1.5699937,-1.1479812,-0.88046545,-1.2498051,-1.896171,-1.5289363,-1.9851239,-2.6402483,-3.2486866,-3.864032,-4.1381288,-4.75178,-5.321217,-6.1896343,-5.4704657,-6.641155,-6.7744193,-6.642788,-7.077481,-7.3981886,-7.668819,-7.7481546,-6.5335774,-4.2923937,-10.27278,-8.703169,-9.615214,-11.267434,-11.778445,-12.161827,-12.037898,-11.677239,-11.76322,-11.806211,-12.064189,-12.365221,-12.365221,-12.193196,-10.130449,-5.427595,-2.7735026,-1.2384816,0.274785,1.9585055,3.2454073,3.6367996,4.3967285,4.9329214,5.4364314,6.093436,6.6793103,7.4367766,8.947296,11.11688,12.0343895,12.212164,11.966636,11.819317,12.069908,12.214303,12.499546,12.400538,12.759276,12.936734,12.28625,11.784017,11.398656,11.135224,10.639973,10.0033245,9.740326,10.243661,10.007954,10.041671,9.870251,10.105748,14.181226,16.183556,16.418388,16.433796,16.433796,16.433796,16.33429,16.085524,15.998985,16.059996,16.35144,16.481688,16.859493,15.826211,14.8324,13.871763,12.783637,12.431787,12.429677,12.240108,12.4109745,13.009223,13.672362,14.292421,14.542624,14.621103,14.802298,15.141569,15.374003,15.737499,15.92149,16.248066,16.497143,16.549946,16.706854,16.659765,16.409927,15.395117,13.935248,12.967502,12.026107,12.387391,13.810595,15.268244,15.856145,15.920128,15.877339,15.976245,16.078611,16.468945,16.608128,16.756517,16.877415,17.026094,17.251469,17.496649,17.633278,17.697893,17.525373,17.445114,17.24609,16.950037,16.627737,16.844484,17.580685,17.777008,17.515831,17.226389
2025-11-10 02:23:20+00:00,2025-11-10 00:00:00+00:00,2.1893048,0.88683176,0.8729812,-0.9455056,-2.2995017,-2.5424137,-2.7483552,-3.1600373,-2.4601505,-2.8470314,-2.896869,-2.8742511,-2.9646873,-2.8041065,-1.8944695,-3.4211233,-3.8325522,-2.9803808,-4.1474504,-3.9876075,-3.3300798,-2.979498,-1.7840389,-0.4395317,-4.808645,-4.8063307,-5.6030836,-6.0576534,-6.8192253,-6.6899548,-7.050561,-7.939689,-8.996061,-8.76897,-8.432882,-7.9523325,-8.413449,-8.791641,-7.791657,-6.0216503,-4.500501,-4.0186586,-4.2550945,-3.5248218,-3.6015916,-2.0445535,-2.993659,-3.0182855,-3.4177349,3.8345702,4.7138014,5.8008204,6.7801323,9.261907,11.0864525,11.135354,11.120225,11.004575,11.060398,11.107583,11.294798,11.294798,11.691129,11.825429,11.435486,10.8345,10.366838,10.210813,10.022021,10.154456,10.166546,10.277111,9.949467,10.012687,10.17393,10.426809,12.054807,14.781598,15.458163,15.458163,15.474273,15.474273,15.424581,15.275507,15.076743,15.090446,15.58881,15.789471,15.239867,14.33733,13.57481,12.886912,12.411522,11.765742,11.759097,11.673261,11.516543,11.58773,11.201896,12.867114,14.3494835,14.911693,14.900067,14.890398,15.141569,15.6946745,16.21963,16.657488,16.29991,16.317623,16.325026,16.113335,16.44043,16.889395,16.616835,15.917527,13.91696,12.917237,14.573196,16.183825,16.91552,17.050383,16.957098,16.986183,16.99334,17.177584,17.201979,17.151117,17.023663,16.855272,16.855272,16.946358,17.133234,17.28029,17.386879,17.395136,17.19717,16.096565,14.573196,12.56497,10.363372,7.923512,5.869323,4.228349,2.029396,-2.7068498,-9.341978,-12.986484,-10.267302,-6.0840874,-3.8359668,-2.751049,-2.4525468,-2.069022,-2.2200298,-2.5361829,-2.5361829,-2.3838918,-2.4039633,-2.3307936,-2.6820078,-3.3504193,-4.091359,-4.6280494,-4.774485,-4.8963814,-5.405634,-5.3566895
2025-11-11 02:14:23+00:00,2025-11-11 00:00:00+00:00,-2.1260576,-3.8724835,-3.1157691,-4.4211745,-6.236821,-7.1214366,-7.0432715,-9.617249,-9.128162,-7.2893543,-7.185803,-8.149199,-8.417397,-10.224396,-10.15797,-5.826458,-3.840369,-3.9065917,-3.2524028,-1.4102557,-0.39579523,0.12884974,0.07147203,0.39092728,-0.15366891,-0.6915107,0.29212272,0.51943415,0.8766039,1.559077,4.5993066,5.458606,5.477759,5.6982946,5.5894895,5.3976817,5.5637007,5.7628717,7.1208262,11.034838,12.155135,12.45498,12.153446,12.122936,11.372249,11.326281,10.728624,9.415991,7.809596,9.367223,9.613097,10.211401,13.114621,14.285632,14.826122,14.894923,15.011513,14.961885,14.813,14.664115,14.465603,14.316714,14.608329,15.151554,14.765127,13.775652,13.023632,12.392742,11.588097,11.362174,11.007988,11.263955,10.895523,10.852814,10.524486,11.113465,14.862951,15.584042,15.892404,15.793539,15.935747,16.120249,16.135279,16.248066,16.152939,16.25219,16.436142,16.630949,16.888197,15.877828,14.740343,13.967754,13.381674,12.967502,12.32215,12.2105465,12.470064,12.509807,13.130442,14.465327,15.047777,16.10723,16.88157,16.946949,16.608128,16.39795,16.44697,16.953669,16.88157,16.633863,16.728168,16.615473,16.411774,16.11262,15.398348,15.963483,16.910812,17.758114,17.964178,17.842491,17.68705,17.591515,17.347513,17.344017,17.759972,18.206985,18.512121,18.686779,18.686779,18.736267,18.958887,19.180008,19.548729,19.74747,20.095272,20.220974,20.220991,19.969269,19.377075,18.8633,18.676916,18.48881,18.70807,18.961243,19.004944,18.757278,18.545322,18.371637,18.363842,18.215523,18.256872,18.523382,18.98788,19.187136,19.087507,18.604685,17.436375,14.368001,9.261357,3.9140456,1.4046657,2.0335677,3.492682,5.004191,7.287084,10.64944,14.422209,17.052011
2025-11-12 02:16:47+00:00,2025-11-12 00:00:00+00:00,-1.8447062,-0.5852914,0.15044497,1.9398665,5.8213344,7.8899794,8.620931,8.330066,7.7985554,7.1120214,6.6302137,6.6353216,6.9756117,6.878788,8.229234,10.421131,10.799969,11.201022,10.8114805,10.97563,11.2143345,10.805755,10.212557,9.117002,7.8384523,8.900424,9.268465,10.108931,12.209663,13.572586,13.1142,12.166687,11.725981,11.432163,11.0067425,10.580088,10.152163,10.005874,11.312541,14.639545,15.743796,15.92037,15.102006,14.383396,13.653685,13.135106,12.150989,10.996274,9.702487,11.036209,11.015016,12.298687,13.383316,13.6429615,13.936862,14.117892,14.421732,14.657629,14.826122,14.845358,14.74623,14.813,15.150636,15.435268,15.429964,14.755994,13.983805,13.329336,12.877873,12.20461,11.848204,12.030153,11.672064,11.501347,11.38877,11.711365,14.272738,15.467231,15.645241,15.618096,15.8055525,15.971181,15.92149,16.085524,16.18503,16.202564,16.432394,16.554777,16.425499,15.689983,14.60225,14.071965,13.427868,13.291787,13.022111,13.331382,13.311988,13.529149,13.861805,16.420254,16.99334,17.373014,17.461863,17.52835,17.792337,17.597933,17.337925,17.121841,17.28029,17.329306,17.533712,17.689436,17.614565,18.066586,17.617653,17.452332,17.456108,17.3165,17.407034,17.595234,17.469297,17.445805,17.582659,17.894514,18.512121,19.180008,19.717392,20.065641,20.122814,20.122,19.964558,19.932117,19.664003,19.428795,19.191822,19.054472,18.886282,18.714956,18.61438,18.565588,18.464108,18.470596,18.552223,18.615934,18.51774,18.414694,18.250824,18.04198,18.108398,18.314417,17.940893,16.741089,15.054523,13.312721,11.398471,9.63835,7.836192,6.2224197,5.2693815,4.353558,4.488773,4.9560065,4.9407897,4.8491516,3.8455908,3.7179706,3.4881709,3.3902059
2025-11-13 02:33:45+00:00,2025-11-13 00:00:00+00:00,10.488063,7.887315,8.444778,11.963543,13.024611,13.034641,13.179434,13.439754,12.815936,12.705309,12.819585,12.62317,12.199643,11.856386,13.1439,16.35457,17.121561,16.859032,15.725966,14.851167,14.117408,13.644095,12.950003,11.792848,10.960386,10.802383,10.692389,11.490924,12.665262,13.327001,14.076236,14.127279,13.457914,13.163301,12.739033,12.5919285,12.574066,12.475859,14.057673,16.367065,16.324978,15.8560915,15.432775,14.851167,14.447467,13.875428,13.181382,11.487508,10.012626,11.622347,11.743239,11.967049,13.239157,13.453406,13.775673,14.078044,14.460423,15.1603985,15.37489,15.538232,15.700089,15.749904,15.985309,16.29991,15.728652,14.844204,14.249826,13.329336,12.833056,12.634937,12.277463,12.515475,12.192344,12.494418,12.354297,12.229471,13.224767,14.962199,15.600023,15.840823,16.113071,16.25219,16.3687,16.468082,16.533302,16.546959,16.996572,17.239473,17.149553,16.676064,15.724109,14.959921,14.208274,14.118149,13.807605,14.239077,14.517553,14.797602,14.835889,15.045635,15.144814,15.55171,17.48477,18.760658,19.031145,19.200928,19.319393,19.269642,19.436203,19.369144,18.946348,18.561518,18.858784,18.913065,18.485565,18.109875,17.362925,16.914236,17.002804,17.57052,17.606094,17.85312,18.158865,18.469875,18.64349,18.82936,18.90933,19.00218,19.020893,19.137323,19.25213,19.415285,19.40176,19.300299,19.37965,19.356066,19.485878,19.73849,19.807587,19.771154,19.41211,18.882156,18.379107,17.582884,17.312956,17.163244,17.473597,17.946709,18.805958,19.816492,20.364138,20.343699,19.915207,19.576036,19.295609,19.10334,19.10334,19.10334,19.295609,19.442423,19.44575,19.381872,19.389301,19.483116,19.424591,19.459503,19.325445,19.134449
2025-11-14 02:17:38+00:00,2025-11-14 00:00:00+00:00,12.588129,11.379021,11.247843,12.539092,13.468631,13.195652,13.224863,13.940425,14.292604,14.599254,14.823775,14.873075,14.725173,14.8986,16.82433,17.126196,17.70421,17.680902,17.406666,16.96446,15.973586,15.47172,14.540407,13.14351,11.890618,11.693801,11.30484,11.07863,12.418949,12.879491,14.504148,15.042358,14.77447,14.078112,14.028944,13.881441,13.131301,12.4604845,13.850714,15.806991,16.867306,17.408747,17.015245,16.409454,15.833303,14.772749,13.79281,12.533471,11.098358,12.354007,12.260295,12.429881,12.182373,14.045632,14.911693,15.452742,15.966394,16.450693,16.61715,16.433796,16.248066,16.098618,16.608032,16.94637,16.662394,15.954518,15.1654415,14.401076,14.029425,13.506511,13.485996,14.284135,14.4711895,14.703657,14.903593,14.9547,14.764584,14.61949,15.202076,16.810686,17.763351,17.94439,17.939438,17.84019,17.740942,17.443197,17.595371,16.78167,15.777674,14.807587,13.896715,13.206157,12.961392,12.18149,12.008421,12.713119,14.28001,15.146384,15.148519,15.226286,15.571554,15.8487,17.103218,18.413267,19.349985,19.735083,19.685272,19.601263,19.5651,19.55139,19.428118,19.477877,19.018658,18.441782,17.834658,16.874916,16.301071,15.760357,15.852171,16.258482,16.771692,17.689264,18.731087,19.381872,19.73604,19.909748,20.129265,20.227839,19.968668,19.97596,19.97596,19.877943,20.017742,20.008045,20.227839,20.253788,20.256023,19.662468,19.081518,18.902529,19.26881,19.408354,19.377014,19.298456,19.195112,19.632904,20.178549,20.616882,20.867115,20.767876,20.619019,20.370916,19.8509,19.305782,18.215523,17.095825,16.183556,15.9912615,15.977338,15.64275,14.022381,11.547857,8.940358,7.9832745,8.207137,8.347036,8.1031885,8.004252
