forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:39+00:00,2025-11-05 00:00:00+00:00,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,276.0,466.25,609.75,697.0,717.25,658.0,538.0,363.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,271.0,470.0,617.0,690.0,706.0,648.0,528.0,355.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,270.0,453.0,592.0,674.0,691.0,642.0,530.0,367.0,171.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,274.0,459.0,600.0,683.0,698.0,646.0,532.0,365.0,168.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,266.0,451.0,595.0,681.0,707.0,661.0,550.0,383.0,192.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,260.0,424.0,576.0,680.0,709.0,666.0,554.0,384.0,191.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,248.0,408.0,560.0,665.0,695.0,653.0,543.0,376.0,186.0
2025-11-06 02:23:10+00:00,2025-11-06 00:00:00+00:00,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,270.75,456.0,595.75,683.0,698.0,645.0,525.0,353.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,294.0,477.0,615.0,695.0,704.0,646.0,527.0,355.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,270.0,453.0,594.0,677.0,692.0,640.0,526.0,361.0,166.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,242.0,455.0,597.0,681.0,700.0,651.0,537.0,371.0,172.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,281.0,471.0,615.0,699.0,722.0,673.0,558.0,387.0,193.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,250.0,411.0,564.0,668.0,698.0,655.0,545.0,376.0,185.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,231.0,384.0,530.0,632.0,663.0,624.0,518.0,355.0,172.0
2025-11-07 02:20:52+00:00,2025-11-07 00:00:00+00:00,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.25,280.0,466.25,608.25,694.25,704.0,644.0,517.0,338.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,296.0,476.0,610.0,690.0,699.0,640.0,517.0,340.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,161.0,418.0,598.0,681.0,697.0,646.0,534.0,370.0,171.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,279.0,468.0,612.0,695.0,711.0,657.0,540.0,370.0,169.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,269.0,457.0,600.0,683.0,707.0,659.0,545.0,376.0,186.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,227.0,368.0,497.0,587.0,626.0,606.0,515.0,359.0,176.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,223.0,374.0,519.0,621.0,652.0,613.0,510.0,351.0,171.0
2025-11-08 02:11:34+00:00,2025-11-08 00:00:00+00:00,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,275.5,460.0,596.75,677.75,700.0,646.0,525.0,350.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,291.0,474.0,615.0,698.0,711.0,658.0,539.0,366.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,271.0,457.0,600.0,682.0,699.0,647.0,532.0,365.0,167.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,267.0,452.0,593.0,675.0,690.0,638.0,523.0,356.0,160.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,212.0,351.0,473.0,565.0,589.0,551.0,457.0,315.0,155.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,214.0,363.0,509.0,592.0,567.0,462.0,322.0,172.0,54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,218.0,367.0,511.0,613.0,645.0,607.0,505.0,347.0,168.0
2025-11-09 02:33:08+00:00,2025-11-09 00:00:00+00:00,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.75,267.0,467.0,610.75,695.0,712.25,653.0,534.0,359.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,308.0,499.0,641.0,722.0,734.0,674.0,549.0,368.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,267.0,454.0,595.0,677.0,693.0,641.0,525.0,358.0,161.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,248.0,428.0,567.0,649.0,667.0,617.0,505.0,343.0,152.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,238.0,418.0,556.0,637.0,656.0,605.0,497.0,343.0,169.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,218.0,360.0,491.0,585.0,623.0,600.0,508.0,351.0,169.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,75.0,81.0,96.0,155.0,219.0,217.0,134.0,46.0
2025-11-10 02:23:18+00:00,2025-11-10 00:00:00+00:00,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,282.5,473.25,618.5,702.5,717.0,658.0,533.0,355.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,291.0,476.0,617.0,697.0,711.0,656.0,536.0,360.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,250.0,431.0,570.0,651.0,667.0,617.0,506.0,336.0,153.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,241.0,420.0,556.0,637.0,655.0,607.0,497.0,337.0,150.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,43.0,94.0,120.0,130.0,250.0,380.0,408.0,309.0,156.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,69.0,168.0,288.0,416.0,511.0,496.0,356.0,170.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,234.0,394.0,547.0,653.0,684.0,642.0,534.0,367.0,178.0
2025-11-11 02:14:23+00:00,2025-11-11 00:00:00+00:00,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,274.75,465.25,612.25,698.25,714.0,659.0,534.0,356.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,278.0,442.0,594.0,675.0,686.0,631.0,519.0,340.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,244.0,423.0,562.0,642.0,660.0,611.0,500.0,340.0,151.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,236.0,413.0,551.0,632.0,650.0,602.0,493.0,254.0,108.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,198.0,399.0,531.0,486.0,538.0,547.0,462.0,284.0,107.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,34.0,62.0,96.0,130.0,157.0,175.0,177.0,123.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,219.0,371.0,517.0,619.0,649.0,611.0,507.0,349.0,168.0
2025-11-12 02:16:47+00:00,2025-11-12 00:00:00+00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.25,262.75,445.0,586.5,671.5,687.0,632.0,513.0,340.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,271.0,450.0,585.0,663.0,677.0,623.0,508.0,334.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,239.0,416.0,554.0,635.0,653.0,605.0,495.0,335.0,147.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,223.0,350.0,503.0,565.0,646.0,588.0,489.0,326.0,133.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,234.0,533.0,616.0,666.0,609.0,493.0,337.0,162.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,94.0,211.0,380.0,526.0,588.0,571.0,483.0,333.0,158.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,215.0,366.0,513.0,616.0,648.0,611.0,505.0,342.0,160.0
2025-11-13 02:33:44+00:00,2025-11-13 00:00:00+00:00,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.25,252.0,435.25,576.25,656.0,673.75,614.0,500.0,330.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,262.0,442.0,577.0,657.0,670.0,617.0,483.0,311.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,235.0,413.0,551.0,632.0,650.0,602.0,492.0,333.0,146.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,228.0,404.0,540.0,622.0,639.0,591.0,483.0,325.0,141.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,222.0,399.0,534.0,614.0,640.0,596.0,488.0,326.0,150.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,199.0,331.0,448.0,515.0,501.0,427.0,330.0,226.0,113.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,65.0,96.0,123.0,131.0,128.0,130.0,138.0,100.0
2025-11-14 02:17:37+00:00,2025-11-14 00:00:00+00:00,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,234.5,362.5,509.25,603.25,662.0,613.0,498.0,327.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,263.0,434.0,544.0,652.0,669.0,534.0,498.0,329.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,215.0,404.0,539.0,619.0,621.0,507.0,474.0,325.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,226.0,401.0,537.0,618.0,638.0,592.0,485.0,327.0,142.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,215.0,377.0,513.0,570.0,563.0,486.0,371.0,233.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,85.0,150.0,220.0,282.0,341.0,372.0,320.0,184.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,193.0,328.0,456.0,549.0,593.0,579.0,494.0,342.0,163.0
