forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:46+00:00,2025-11-05 00:00:00+00:00,6.6375294,6.3441257,6.3431587,6.1589036,4.830761,3.843775,3.889618,4.6168957,5.30587,5.9041576,6.7787127,7.6053343,8.287726,8.602413,11.7587,12.925928,13.871062,14.48996,14.7339,14.811314,14.304933,13.670912,13.113165,12.121179,10.880589,10.790743,10.645743,10.598017,10.7313175,10.412958,10.452189,10.402309,10.1926365,10.020368,9.709784,9.366943,9.248797,9.226246,12.905475,15.311343,16.224344,16.66901,15.9341755,15.083141,14.130394,13.443015,13.123925,12.723563,11.923326,10.7515335,10.604083,10.4876175,10.292697,10.99733,14.413077,16.349953,17.08441,17.38216,17.581621,17.616413,16.264872,15.823349,16.247488,15.51321,13.8315,13.074839,12.579978,12.104435,12.281443,12.643544,12.684322,13.102716,11.955904,9.505362,8.842751,9.152313,10.530115,11.113378,10.502963,9.462768,8.724662,8.358636,8.335655,8.046629,8.058446,8.0101185,8.311161,8.2325945,8.718517,9.324395,9.261227,8.229803,7.081295,6.2526174,6.4759526,6.731127,5.4160337,4.9285097,3.9595647,3.3728921,3.209014,2.416381,2.4139273,3.0809848,2.1991098,-0.7766094,-2.2834122,-1.8995137,-2.1062543,-1.0950885,-0.81599855,-1.4196947,-2.5471509,-4.2622824,-5.954554,-7.620465,-9.293703,-10.289052,-10.633505,-10.877611,-10.612786,-10.62741,-10.125653,-10.125757,-10.22268,-10.029832,-10.100022,-10.115776,-9.741809,-9.647635,-9.716906,-9.470682,-9.43934,-9.187087,-9.311951,-9.64354,-9.796813,-9.311509,-9.623036,-10.132963,-10.527749,-10.174073,-9.754098,-9.823675,-9.79264,-9.818838,-9.766867,-9.684276,-9.569891,-9.063144,-8.891297,-8.818552,-8.755289,-8.655969,-8.482156,-8.588897,-8.225024,-7.8558245,-7.6989384,-7.510623,-7.2807937,-7.419466,-7.0948315,-6.6951127,-6.003411,-5.4150505,-4.331974,-3.6664896
2025-11-06 02:23:20+00:00,2025-11-06 00:00:00+00:00,12.392126,13.009093,13.995352,14.087862,13.088693,12.354227,11.799011,11.365295,10.725989,10.110301,9.717395,9.398115,9.1742525,8.878749,12.277826,15.056496,16.111633,16.839102,16.448584,15.314909,14.887634,13.185008,13.022234,12.81568,11.1732025,11.538261,12.021385,11.921451,12.410794,12.705284,12.968015,13.123442,13.541002,14.223769,14.4400215,14.390521,14.954399,14.954399,16.047874,16.381208,16.444044,16.484894,16.403742,16.11212,15.789267,15.269145,15.039598,13.845672,12.757017,13.945566,13.595532,13.118349,12.462869,11.938806,11.620977,11.851156,11.923657,12.179984,12.170714,12.297657,12.446397,12.674126,13.050446,13.378226,13.9465685,13.790016,13.590169,12.7586975,11.556398,10.694401,11.44053,11.964344,11.163184,10.699877,9.628542,7.9024,5.284857,4.7265277,4.068913,1.0251334,-0.50257915,-0.49433646,-0.48164943,-0.43657118,-0.25626665,0.7437811,-0.27898535,-0.9187817,0.6739282,1.5825251,1.6571639,1.7187878,0.037713826,-2.7879953,-5.436209,-7.5538692,-9.154822,-10.150833,-10.190785,-10.1188,-10.012873,-9.74102,-9.784056,-9.6808405,-9.844475,-9.645632,-9.693606,-9.923475,-9.670717,-9.670717,-9.513264,-9.19877,-8.879676,-8.595149,-8.888551,-9.1263275,-8.582516,-8.19421,-7.4801936,-7.4538283,-7.6903043,-7.7737813,-8.086623,-8.011417,-8.035688,-7.660452,-7.620423,-7.58838,-7.5184054,-7.455546,-7.3500633,-7.5371494,-7.2608857,-6.880255,-6.5324826,-6.470892,-6.3877873,-6.681529,-6.802601,-7.0614843,-6.41024,-5.0709376,-2.9595103,-1.6240878,-1.3459041,-1.1900976,-1.2311325,-0.35272816,1.8428422,4.5784664,6.663498,7.866322,8.4763365,9.100989,9.47533,9.666166,9.891809,10.423347,11.01573,11.690191,12.334114,12.63917,12.749817,12.694008,12.324175,12.14327,12.447702,12.416175
2025-11-07 02:21:01+00:00,2025-11-07 00:00:00+00:00,13.288648,13.823175,15.068139,14.42775,14.142408,14.331186,15.803421,15.974476,15.924983,15.94566,16.044783,16.776155,16.52771,16.41099,16.667362,16.86925,17.126986,17.55695,17.421864,17.217505,16.530128,15.623994,15.163792,14.3301735,13.5801,13.5871105,13.631637,14.533639,14.518764,14.312702,14.492418,14.000066,12.427241,11.228728,10.582725,9.741612,8.924743,8.117111,9.547548,8.218343,8.112221,10.099062,10.229818,9.038273,9.7218,7.0314612,7.2507486,7.3210025,6.5276732,10.653353,9.905831,8.6312895,6.719383,4.816744,3.824192,1.3667783,-0.8332155,-1.4043657,-1.305421,-0.9033782,-0.7304218,-1.1665982,-0.14409216,1.2005248,1.1258799,1.7600663,2.1539528,1.2929486,0.56583494,-0.18046767,-0.8588434,-1.9231157,-2.8441334,-5.5003314,-6.523983,-8.536927,-9.507713,-10.346538,-10.721863,-10.713117,-11.128171,-10.957875,-11.069246,-10.939848,-11.0230055,-10.929983,-11.172934,-11.370282,-10.739848,-10.596167,-9.819233,-10.005295,-9.41925,-9.335549,-9.1194935,-7.672673,-8.639969,-8.617441,-8.801873,-8.818552,-8.800272,-8.791308,-8.700766,-8.97223,-8.845083,-8.475935,-8.612756,-8.703973,-8.703973,-8.567148,-8.131319,-8.010669,-7.7903323,-7.9180374,-8.324377,-7.80653,-7.834452,-6.2068067,-4.8657966,-3.9371703,-3.1628845,-2.4627976,-1.6745974,-0.19875556,2.1214495,4.5784664,6.4717255,7.575885,8.184143,8.562207,8.795843,8.654627,8.9133005,9.5672655,10.341669,10.948466,11.472968,11.994027,12.135407,11.918618,11.509982,11.117589,11.278368,11.687913,11.384725,11.113726,11.072549,11.2252445,11.549623,11.808691,12.157066,12.321679,12.617873,12.790254,12.80641,12.507133,12.6409855,13.019269,13.395039,13.658933,13.74014,13.815405,13.734061,13.275467,13.002466,12.821609,12.785194,12.769741
2025-11-08 02:11:41+00:00,2025-11-08 00:00:00+00:00,15.790587,15.355306,15.209816,14.802273,14.029893,13.452482,13.400462,12.779732,12.867603,11.927512,11.799011,11.878558,10.725989,10.086657,12.689009,14.095924,15.891179,16.275179,15.882839,13.704133,13.0762615,10.8694515,8.068376,6.122215,5.514001,5.878584,5.4764476,4.269576,3.419888,1.430394,1.4302412,0.8282071,-0.17598495,-1.4569259,-2.3062463,-1.6681422,-1.3643882,-0.51911795,1.3519733,1.9092474,1.8801419,0.9004535,0.050016627,-0.7110929,-1.4569259,-2.9264956,-4.5520005,-6.3203034,-9.208718,-5.3223596,-6.301405,-7.191867,-8.311983,-9.860854,-10.744011,-10.978595,-10.870508,-10.978423,-10.894197,-10.977238,-11.1603155,-11.297631,-11.645826,-12.164517,-12.360746,-11.890868,-11.971551,-11.142986,-11.408119,-10.687527,-10.497255,-9.359629,-10.147118,-10.52021,-10.258222,-10.278712,-10.588907,-10.489439,-10.578367,-10.445459,-10.623894,-10.501599,-10.680599,-10.859615,-11.203913,-11.423391,-11.054249,-10.66587,-9.872747,-9.670353,-8.737124,-7.6447725,-6.084765,-4.882959,-2.0972576,-0.51323265,-0.027039753,0.759993,1.8550389,2.3701198,6.1857862,8.1054,9.142206,9.802295,10.317954,10.5803,10.750197,10.507556,10.507556,10.661573,11.267837,12.218888,13.32993,13.934284,13.893931,13.82592,13.427195,13.4692955,13.616333,13.372814,13.324891,13.422617,13.772392,13.973254,14.161713,14.227377,14.543368,14.649124,14.998657,15.241649,15.504273,15.856309,16.122597,16.299675,16.646135,16.865108,17.239689,17.408377,17.316116,17.01068,16.541466,16.179325,16.20762,16.131351,15.965088,15.920965,16.04353,16.01519,15.800523,15.505141,15.385796,15.263915,15.260224,15.131342,14.866547,14.592665,14.581457,14.5697155,14.552244,14.415735,14.479361,14.223381,13.754843,13.091632,12.937403,12.714021,12.831457,12.648413
2025-11-09 02:33:15+00:00,2025-11-09 00:00:00+00:00,12.551696,11.502715,11.9592905,12.239557,12.586766,4.093423,0.41521975,-1.5804328,-1.6392673,-1.6415029,-1.6803974,-1.2287267,-1.0302427,0.35475403,1.7812958,2.5253954,3.3948426,2.4713037,1.2359694,0.5743025,-1.3741971,-3.407893,-4.740558,-5.652786,-6.7182703,-7.2716727,-8.115245,-8.914758,-8.664723,-9.005857,-9.268224,-9.495794,-9.993677,-10.187046,-10.3895035,-10.418117,-10.313875,-10.097107,-9.596715,-9.68078,-10.038126,-10.3030205,-10.462411,-10.035975,-9.306157,-9.420719,-10.605316,-11.003485,-11.498212,-10.390697,-10.54459,-10.489439,-10.400853,-10.27787,-10.412104,-10.25422,-10.10519,-9.964603,-10.1451645,-10.235451,-10.013142,-9.877344,-9.392728,-9.014768,-8.909143,-8.578152,-7.5869493,-7.3058004,-6.6137123,-5.3741097,-2.7706301,-0.56774896,0.20976104,0.7125947,1.7155051,2.497521,5.3274493,7.5799656,8.5506735,9.266543,9.706724,10.034556,10.285629,10.434024,10.208635,10.212649,11.122964,12.188162,13.135794,13.441039,13.182835,13.195495,12.821609,13.002466,13.230003,13.494793,13.225049,13.349661,13.473136,14.406647,14.836584,15.207479,15.38296,15.437644,15.48169,15.524302,15.524302,15.485334,15.334449,15.340321,15.437644,16.013107,16.459507,16.653488,16.095602,15.882693,15.631049,15.308129,14.957838,14.838423,14.713745,14.683546,14.89624,14.871688,14.813692,14.724657,14.703763,14.561679,14.6444,14.523757,14.449084,14.503816,14.66778,14.892793,15.047247,14.9194765,14.90236,14.3391695,13.911848,13.046818,12.332781,12.199584,13.101955,14.431462,14.994988,15.318822,15.27286,15.334682,15.076375,14.788622,14.35697,13.948874,13.69707,13.631819,13.773221,13.851941,14.054662,14.36134,14.512741,14.717606,15.0862875,15.113498,15.07745,15.05195,15.235325,15.443786,15.416816,15.650221
2025-11-10 02:23:28+00:00,2025-11-10 00:00:00+00:00,-2.8875577,-5.5245676,-5.3874803,-4.655306,-4.856126,-6.2409496,-7.4149156,-8.009069,-8.29643,-8.365117,-8.624487,-9.368595,-10.007382,-9.996624,-9.358474,-9.905218,-10.259349,-10.332985,-10.318232,-10.4782915,-10.364199,-11.270841,-11.395861,-11.872836,-13.231097,-13.17617,-13.001894,-12.6030245,-11.948672,-11.545073,-11.899824,-12.160642,-12.255968,-12.1387005,-11.706282,-10.783272,-10.591445,-10.981352,-9.892393,-8.179189,-5.991348,-5.853041,-6.873459,-6.737172,-6.454827,-5.9599533,-6.8312273,-6.7257013,-7.135182,-0.46031815,0.46344212,1.5833127,5.3274493,7.172169,8.262613,8.633015,9.268209,9.830329,10.404792,10.622912,10.650681,10.358093,11.073723,11.984483,12.7487,13.045254,12.631228,12.513002,12.2585945,12.349301,12.741578,12.972138,12.768498,12.678028,12.71771,12.696453,12.759742,13.166723,13.456009,13.769517,14.0245075,14.221003,14.315596,14.456639,14.407827,14.497743,14.464343,14.398278,14.498601,14.712319,14.89624,14.599615,14.158334,13.646872,13.9083605,13.806514,13.800252,13.960899,13.676789,13.487883,13.614043,13.903785,13.970935,14.067824,14.318338,14.595516,14.835275,15.210728,15.477036,15.539185,15.441449,15.172289,14.573118,14.246871,13.879191,13.101668,12.461625,12.283454,12.022686,11.918618,12.002303,12.744481,13.85091,14.549771,14.472928,14.117148,13.756675,13.648859,13.72871,13.735226,13.968486,14.09582,14.376675,14.505454,14.503806,14.594852,14.836584,14.9194765,15.349576,15.909116,16.494942,17.25124,17.96812,18.6259,18.710945,18.378437,17.669289,15.8351,11.766633,6.3454103,2.3977382,2.0039499,3.5747643,4.25129,3.8268526,3.2605135,2.6012306,1.9894115,1.1173507,0.2649306,-0.87825245,-2.8039374,-4.329099,-4.907498,-3.996672,-3.697069,-3.37074,-3.3922677
2025-11-11 02:14:29+00:00,2025-11-11 00:00:00+00:00,-6.0124803,-5.3347363,-6.0143633,-6.7395153,-7.550569,-7.782314,-7.726751,-7.149008,-6.7760105,-6.0216575,-7.4038367,-7.3113194,-7.054153,-7.2188034,-5.7507806,-4.721984,-4.287912,-4.7351193,-5.0697966,-4.9729705,-5.3416524,-6.3520546,-5.929782,-5.2364674,-4.649159,-4.9541755,-4.258141,-4.9421782,-4.023861,-1.3404928,1.5109042,4.6386194,6.870936,8.142434,8.799683,8.718313,8.273865,7.6812506,10.93945,12.298096,12.388071,12.389439,11.866045,11.345455,10.640648,10.512627,10.242629,9.427977,8.944272,11.330281,11.495615,11.526489,11.478984,11.592635,11.5856695,11.759793,12.476899,12.8164015,13.197776,13.347229,13.347229,13.347229,13.919454,14.477385,14.47873,14.41416,13.747089,13.273731,12.787017,12.56224,12.893473,12.839195,12.603782,12.3793335,12.510508,12.211587,11.710772,12.00351,12.599856,13.29625,13.285035,13.47755,13.782857,14.007526,14.094494,14.053388,14.36134,14.250372,14.151198,14.264026,14.066952,13.590169,13.326394,12.912378,12.742063,12.954423,12.81347,12.714147,12.653423,12.481641,12.224664,12.281451,12.843658,13.152043,13.851941,13.980338,13.953115,13.908268,13.745771,13.654355,13.999444,13.996921,13.97601,13.231419,12.6844015,12.157584,11.730865,11.373246,11.329016,11.413785,11.331307,11.606321,12.050908,12.462869,12.653251,12.555313,12.74475,12.856643,13.006242,13.236215,13.585003,13.922395,14.243947,14.720876,15.095837,15.268202,15.4451475,15.492933,15.76551,16.004848,16.196312,16.562878,16.735086,16.808239,16.926502,16.808239,16.735086,16.856348,17.37173,18.004253,18.373775,18.6259,19.118973,19.218218,19.218218,19.218218,19.09616,19.09616,19.367085,19.291552,19.137537,18.347553,17.135448,14.615197,10.290167,5.8175974,5.238881,5.8752856
2025-11-12 02:16:54+00:00,2025-11-12 00:00:00+00:00,-1.754905,-2.0007522,-1.1960126,0.10312876,2.3793125,4.17793,5.2605896,5.809544,6.2664757,6.627119,6.925048,6.992421,6.747139,6.4754972,9.705942,11.90925,12.470748,12.342535,12.673212,12.375558,12.3040695,11.885344,11.325489,9.792177,8.506684,8.400311,8.663985,8.516528,8.876857,9.099387,9.725997,9.948823,9.422501,9.5462675,10.257639,10.381737,10.602446,10.553199,13.780719,15.453869,16.20348,16.626356,16.193232,15.368861,14.749545,13.716486,12.776939,10.1442,9.866999,12.095623,11.811974,11.782018,11.76641,11.642123,11.814394,12.236307,12.811833,12.982173,13.2895775,13.495696,13.337571,13.446865,13.61776,13.606099,13.666453,13.716926,13.457304,13.454556,13.282272,13.011772,13.101955,13.16433,12.954453,12.66302,12.566767,12.224664,12.317987,12.054305,12.222195,12.555313,12.850466,12.859944,12.901978,12.969712,13.216493,13.411968,13.715541,14.185648,14.270067,14.228694,14.101489,13.69689,13.273731,13.056875,13.138104,12.907181,12.830866,12.714147,12.4299135,12.23748,12.12938,12.116131,12.211587,12.843658,13.680266,13.929611,13.925651,14.144779,14.37278,14.567235,15.172869,15.845988,16.556639,16.740381,16.853508,16.766415,16.410433,16.020218,15.802694,15.665783,15.679178,15.934258,16.505436,16.850548,16.687054,16.56769,16.655758,16.94205,17.563116,17.998482,18.275059,18.491398,18.754095,19.062891,19.278568,19.483025,19.475779,19.443264,19.335552,19.115335,18.548014,18.537138,19.032446,19.744453,19.968075,19.761065,19.3904,19.13981,19.275307,19.539919,18.926609,16.618212,13.585003,10.830697,9.14761,7.9893403,7.040448,5.7362533,4.049703,2.8654537,2.5603342,2.2292764,2.234768,2.2947223,2.2754407,2.988639,3.3190546,3.7518232
2025-11-13 02:33:51+00:00,2025-11-13 00:00:00+00:00,10.724844,10.555259,10.672736,10.605258,10.398591,10.454135,10.753923,11.094896,10.848673,10.40546,10.545389,10.821578,10.42708,10.848673,13.856524,16.100769,16.622875,17.117573,17.05475,16.948606,15.972771,15.235698,14.703518,13.251269,12.73779,12.285986,12.578632,12.746635,12.506752,12.572325,12.392955,12.489693,12.632626,12.594653,12.94186,13.162265,12.646023,12.103639,15.28151,16.188574,16.61165,16.275179,15.461777,14.451042,13.457026,12.895931,12.445042,11.892799,11.599794,12.193037,11.901005,11.557634,11.38188,11.594059,12.705341,13.540834,13.633183,13.666649,13.821254,13.9067545,14.0904875,14.233173,14.242696,13.834109,13.479694,13.228772,13.029499,12.374542,12.060717,11.971618,12.150406,12.284408,12.275464,12.23748,12.09123,12.068401,12.116131,11.75832,12.138789,12.529449,12.958399,13.587814,14.066119,14.410439,14.5697155,15.090112,15.466588,15.894103,16.265614,16.142153,16.415146,15.929249,15.793773,15.657896,16.167976,16.37491,16.274399,16.387772,16.206757,16.173029,15.65184,15.4157,15.507978,15.673463,16.261911,16.555443,16.690365,16.778837,16.827852,17.110548,17.337145,18.058958,18.500605,18.60996,18.489754,17.841234,17.248861,17.068314,17.63585,18.516506,18.832428,18.7941,18.828281,18.924704,19.176434,19.554398,19.690838,19.7557,19.606451,19.574184,19.290537,18.954353,18.904415,19.076052,19.515947,19.787722,19.426514,18.026617,16.304945,15.01768,14.094852,13.78536,13.405286,12.833003,12.788739,13.947648,15.897425,17.179834,18.028261,18.551027,19.009447,19.290537,19.403801,19.353863,19.204048,19.05423,19.00429,19.140907,19.539919,19.574184,19.108948,18.561687,17.997004,17.897629,17.897629,17.84794,17.865171,17.715916
2025-11-14 02:17:45+00:00,2025-11-14 00:00:00+00:00,14.043466,13.493538,13.823175,13.910642,13.441643,13.458863,13.706558,13.883227,13.858436,14.118918,14.223769,14.001568,13.677756,13.4305725,15.348057,16.379965,17.091915,17.530708,17.322361,17.139809,16.503584,15.728184,14.817565,13.70788,13.367896,13.256612,12.804026,12.683349,12.76918,12.789059,13.344874,14.775223,15.266182,15.482606,15.259668,15.1608,15.061933,15.182512,16.26476,16.574297,16.973251,17.102352,17.202858,16.8604,16.388859,15.957677,15.366974,14.70022,14.525151,12.284764,12.281451,12.116131,12.1264,11.4808655,11.906915,12.869929,13.035886,13.469167,13.534927,13.686629,13.779417,14.22959,14.707111,15.334682,15.971402,16.095602,16.11035,16.030998,15.910911,15.97479,16.34039,16.549412,16.410057,16.419039,16.519577,16.607483,16.547176,16.456242,16.15912,16.062107,16.16762,16.521477,16.744862,16.794632,16.836283,16.903854,17.110548,17.408377,17.647255,17.726074,17.041002,16.345984,16.25554,16.391136,16.682869,17.130829,16.97981,17.088312,17.414661,17.41148,17.674149,17.359413,17.700272,18.43587,19.01973,19.28887,19.325119,18.791773,18.604784,18.45497,19.28887,19.711985,19.699457,19.366114,19.16194,19.023928,18.89032,19.27739,19.791994,20.059462,19.836939,19.7147,19.443056,19.218218,18.941065,18.593254,18.462189,18.478283,18.642141,18.542387,18.342882,17.930325,17.581621,17.033659,16.273092,15.725806,15.278018,14.979492,14.7307205,14.680964,14.891567,14.9912,15.0410185,15.090833,15.190466,15.190466,15.400109,15.799133,17.056679,18.45497,19.353863,19.026237,18.027273,17.042109,16.370405,15.496372,15.079003,14.941381,15.05096,15.100836,14.841748,14.631212,14.536571,14.705019,14.794443,14.717606,14.930267,14.977047
