forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:52+00:00,2025-11-05 00:00:00+00:00,40.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.75,231.0,424.75,578.5,675.25,706.75,667.0,562.0,400.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,235.0,426.0,577.0,670.0,700.0,665.0,563.0,401.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,212.0,403.0,556.0,653.0,685.0,651.0,553.0,399.0,208.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,204.0,392.0,543.0,639.0,673.0,640.0,544.0,391.0,202.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,204.0,395.0,547.0,645.0,686.0,654.0,557.0,404.0,221.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,181.0,339.0,501.0,623.0,671.0,646.0,553.0,401.0,218.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,177.0,334.0,496.0,619.0,668.0,643.0,550.0,398.0,216.0
2025-11-06 02:23:29+00:00,2025-11-06 00:00:00+00:00,38.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,218.75,412.75,568.75,667.25,698.0,662.0,559.0,397.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,231.0,420.0,570.0,665.0,694.0,656.0,552.0,391.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,208.0,400.0,553.0,649.0,682.0,648.0,550.0,396.0,204.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,206.0,397.0,549.0,647.0,680.0,645.0,547.0,394.0,203.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,202.0,392.0,544.0,641.0,682.0,650.0,553.0,400.0,218.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,177.0,334.0,496.0,619.0,667.0,642.0,549.0,397.0,215.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,166.0,301.0,423.0,513.0,557.0,547.0,469.0,324.0,162.0
2025-11-07 02:21:10+00:00,2025-11-07 00:00:00+00:00,37.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,215.5,410.75,566.25,665.5,698.0,659.0,556.0,394.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,223.0,410.0,557.0,540.0,686.0,649.0,532.0,386.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,204.0,394.0,547.0,644.0,678.0,644.0,546.0,393.0,202.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,198.0,386.0,538.0,634.0,667.0,634.0,537.0,386.0,198.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,196.0,361.0,462.0,617.0,662.0,640.0,549.0,397.0,215.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,173.0,329.0,490.0,612.0,659.0,633.0,540.0,389.0,209.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,166.0,304.0,430.0,525.0,576.0,574.0,505.0,371.0,203.0
2025-11-08 02:11:49+00:00,2025-11-08 00:00:00+00:00,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,213.25,408.5,562.5,660.5,695.0,656.0,552.0,392.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,228.0,418.0,569.0,665.0,694.0,656.0,552.0,391.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,197.0,384.0,535.0,631.0,664.0,631.0,535.0,384.0,196.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,196.0,384.0,537.0,634.0,667.0,633.0,536.0,385.0,195.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,192.0,380.0,530.0,626.0,666.0,635.0,539.0,388.0,209.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,162.0,312.0,472.0,594.0,643.0,619.0,529.0,381.0,204.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,164.0,318.0,477.0,600.0,650.0,628.0,538.0,388.0,207.0
2025-11-09 02:33:21+00:00,2025-11-09 00:00:00+00:00,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,208.25,400.75,556.0,654.75,689.75,651.0,548.0,386.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,221.0,409.0,558.0,653.0,682.0,644.0,542.0,382.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,197.0,386.0,539.0,638.0,672.0,638.0,539.0,388.0,197.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,194.0,382.0,533.0,625.0,644.0,525.0,449.0,370.0,158.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,179.0,371.0,525.0,623.0,665.0,631.0,534.0,383.0,205.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,145.0,283.0,428.0,545.0,606.0,603.0,527.0,381.0,203.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,62.0,176.0,353.0,495.0,502.0,413.0,312.0,229.0,133.0
2025-11-10 02:23:37+00:00,2025-11-10 00:00:00+00:00,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,201.25,392.0,545.5,643.5,676.0,639.0,535.0,376.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,220.0,409.0,560.0,654.0,686.0,649.0,545.0,383.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,193.0,381.0,532.0,629.0,663.0,629.0,528.0,314.0,166.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,158.0,354.0,512.0,625.0,660.0,628.0,531.0,380.0,191.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,183.0,366.0,512.0,606.0,645.0,614.0,520.0,372.0,198.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,184.0,381.0,562.0,644.0,632.0,544.0,393.0,208.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,163.0,320.0,484.0,610.0,659.0,634.0,541.0,388.0,206.0
2025-11-11 02:14:36+00:00,2025-11-11 00:00:00+00:00,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25,204.75,398.25,553.25,652.5,687.0,648.0,546.0,377.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,215.0,379.0,495.0,591.0,591.0,615.0,493.0,333.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,180.0,343.0,463.0,558.0,616.0,624.0,527.0,373.0,160.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,185.0,380.0,533.0,628.0,661.0,623.0,521.0,368.0,183.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,103.0,78.0,151.0,530.0,596.0,587.0,509.0,366.0,193.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,125.0,216.0,279.0,319.0,339.0,336.0,311.0,265.0,173.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,149.0,298.0,458.0,583.0,635.0,615.0,526.0,377.0,199.0
2025-11-12 02:17:01+00:00,2025-11-12 00:00:00+00:00,30.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,198.75,390.25,543.5,642.25,675.0,638.0,536.0,376.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,133.0,281.0,540.0,644.0,624.0,638.0,532.0,375.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,153.0,348.0,531.0,627.0,657.0,620.0,522.0,373.0,187.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,158.0,355.0,503.0,598.0,632.0,601.0,508.0,361.0,180.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,171.0,352.0,495.0,589.0,630.0,601.0,510.0,365.0,193.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,154.0,305.0,463.0,585.0,633.0,609.0,519.0,372.0,196.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,142.0,284.0,432.0,548.0,605.0,596.0,504.0,335.0,154.0
2025-11-13 02:33:58+00:00,2025-11-13 00:00:00+00:00,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,194.5,385.5,538.5,626.5,669.0,629.0,529.0,331.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,198.0,366.0,504.0,596.0,568.0,595.0,428.0,306.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,174.0,356.0,503.0,597.0,630.0,598.0,504.0,358.0,178.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,173.0,355.0,501.0,592.0,627.0,594.0,500.0,354.0,174.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,171.0,355.0,505.0,603.0,645.0,614.0,520.0,371.0,196.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,130.0,265.0,413.0,521.0,546.0,499.0,404.0,276.0,137.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,97.0,192.0,290.0,368.0,411.0,412.0,356.0,245.0,119.0
2025-11-14 02:17:53+00:00,2025-11-14 00:00:00+00:00,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,193.75,380.25,537.0,635.75,672.0,634.0,467.0,329.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,197.0,378.0,522.0,614.0,643.0,609.0,510.0,355.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,131.0,280.0,428.0,570.0,639.0,602.0,505.0,355.0,173.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,172.0,357.0,507.0,603.0,637.0,604.0,510.0,362.0,178.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,123.0,248.0,400.0,486.0,500.0,445.0,356.0,248.0,129.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,48.0,99.0,158.0,229.0,330.0,419.0,419.0,311.0,159.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,146.0,299.0,466.0,596.0,646.0,620.0,527.0,377.0,197.0
