forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:11+00:00,2025-11-05 00:00:00+00:00,6.911076,7.0200157,5.017316,8.283186,8.949131,9.915141,10.088773,10.621238,9.858351,9.686813,9.463347,8.752333,8.555593,8.941223,12.294462,14.122596,15.444783,16.09661,15.866034,15.480413,15.033629,14.394128,14.211863,13.166678,11.96413,12.56244,12.065119,13.309787,13.846245,14.0125885,14.365269,14.04452,13.523022,12.880336,12.453507,12.122678,12.714542,13.230499,14.880499,16.241875,16.358875,16.758186,15.712064,15.316361,14.743562,14.034965,13.289102,11.637166,12.24351,11.503494,16.606003,17.807716,18.534575,18.648624,18.711153,18.877316,18.304708,18.108654,18.086245,17.25207,16.70342,16.503908,16.998095,17.160831,15.483975,13.826858,13.121898,12.40008,12.057823,11.605111,12.311893,13.57024,12.797015,12.473281,12.302521,11.503494,8.223149,6.2178497,5.1207533,4.8482666,5.6080475,7.514662,9.036982,9.7118,9.998796,9.901562,10.499304,11.384098,11.65019,11.573379,11.048608,10.099151,8.799646,8.049251,9.275901,10.656154,9.695321,9.264794,8.61761,8.250784,8.45864,8.299483,7.8786545,7.338777,5.450382,3.442687,2.8125799,1.1648475,0.015139037,-1.0805563,-1.7502203,-1.2919909,-1.5935178,-2.2813022,-3.0726595,-4.0602427,-5.8364573,-6.905288,-8.075307,-8.502507,-9.357072,-9.732649,-9.920039,-9.668771,-9.661159,-9.32543,-9.461284,-9.556287,-9.326886,-9.383682,-9.564776,-9.9646,-9.873102,-9.735669,-9.683493,-9.57385,-9.319034,-9.282328,-9.523592,-9.828311,-9.946915,-9.338601,-8.158921,-7.329101,-7.1238837,-7.395043,-7.640135,-7.7205467,-7.6785975,-7.857351,-7.6917906,-7.580214,-7.4775043,-7.338051,-7.7450166,-8.106824,-8.344638,-7.765092,-7.4043736,-6.8986144,-6.7702746,-7.0448265,-6.811928,-6.507907,-5.062994,-3.7890973,-2.2324839,-0.8542837
2025-11-06 02:23:57+00:00,2025-11-06 00:00:00+00:00,12.731703,11.934557,11.780846,12.356577,13.361017,13.583534,13.872241,13.402703,13.078087,12.849535,12.618359,12.943435,14.674578,15.323789,16.030499,16.869072,17.053783,17.091997,15.959554,15.2297,14.302997,13.558526,12.935152,14.168415,13.4804325,12.733573,12.677203,14.203524,15.44752,15.882456,16.265022,16.33571,16.652668,16.106783,15.560887,14.947955,14.384088,13.9385805,15.716831,16.767015,17.037651,16.98978,16.801155,16.42898,15.80629,15.399703,14.914244,14.485257,13.408403,12.23559,12.208911,12.067581,11.962311,11.954743,12.540336,13.886643,14.59584,14.776661,14.989096,15.1849785,15.097309,14.748594,13.6929455,10.050477,9.193846,9.408951,9.692106,9.275901,9.221181,9.622582,10.696845,11.605459,10.835966,10.892003,10.823452,10.827253,11.292461,11.298963,11.014067,8.6075945,6.3092575,5.3950715,3.8601828,-0.5942682,-1.4865395,-1.6524992,0.2272821,1.0611223,-0.24006858,-0.5054473,-0.822626,-0.30162272,0.41445768,0.81577736,1.3880144,-0.0953536,-3.0488389,-5.718955,-7.05429,-9.365664,-10.275163,-10.656954,-10.558355,-10.095722,-9.993649,-9.7842865,-9.674926,-9.690118,-9.457783,-9.54972,-9.709895,-9.550202,-9.138478,-9.306009,-9.079049,-9.316828,-8.696754,-8.161997,-7.2328196,-6.179393,-6.117575,-6.0971065,-6.395653,-6.524337,-6.526479,-6.7077847,-6.582368,-6.509749,-6.4442973,-6.6270514,-6.9925976,-7.6492467,-7.7959185,-7.4228573,-7.2117295,-6.59711,-5.332857,-3.108724,-1.4001408,-0.7440336,-0.0647417,0.91495883,2.7528412,3.8032832,4.5465627,5.4346023,6.00659,6.8880777,7.823086,9.03442,9.852942,10.331767,10.362972,10.47844,10.706907,11.01722,11.5030365,12.163467,12.81449,13.000893,12.972134,12.742049,12.601397,12.335544,12.228305,12.882405,14.068266,14.709457
2025-11-07 02:21:35+00:00,2025-11-07 00:00:00+00:00,15.422751,15.260465,16.523363,15.790639,15.792873,16.241657,16.611496,17.266584,17.415651,17.780592,17.614405,16.385271,16.00753,15.2949,17.15457,18.264027,18.598713,17.803713,17.180386,16.456535,15.879114,15.411157,14.872976,14.425388,13.253936,13.867204,11.398161,11.318554,11.981562,12.395816,12.273632,12.843671,13.262178,13.241302,13.571676,13.600187,13.20522,12.958359,15.046681,15.619836,15.735205,15.137426,12.296817,11.189432,9.370564,8.397414,8.592929,6.922764,5.036596,9.643416,9.669723,9.872449,10.044516,10.240681,10.57032,10.159469,8.340852,5.4068303,3.3787608,-0.06537589,-1.6371348,-1.3872333,-0.8542837,-0.6824323,-0.85933965,-0.41698396,-0.08458706,0.5229655,0.14081204,0.7165938,0.66541904,-0.7708582,-2.7626355,-4.0030065,-5.3610444,-6.2893343,-6.340132,-7.439285,-10.010441,-11.309736,-11.260031,-11.180006,-11.195197,-11.011482,-10.8817,-10.751319,-10.885774,-11.358589,-11.271692,-11.172759,-10.971962,-10.621055,-10.045401,-9.922084,-9.56495,-7.1158395,-8.586435,-8.969555,-8.811305,-8.705964,-8.567083,-8.483109,-8.409117,-7.7450166,-6.9654856,-6.1960373,-6.333778,-7.627938,-8.28775,-8.604993,-7.2306128,-5.9545674,-4.3612294,-4.281472,-3.9433367,-2.7771637,-0.872174,0.6475414,2.119245,2.601192,3.245519,4.2800126,5.429531,6.5402207,7.386144,8.391705,9.039077,9.559332,9.784432,10.052637,10.264932,10.368774,10.806423,11.474073,12.087694,12.516704,12.583345,12.499631,12.103917,11.602576,11.272736,11.309035,11.856269,11.863677,12.036369,12.611979,13.378512,13.977233,13.980734,13.892758,13.788352,13.666644,13.568037,13.469428,13.465179,13.567311,13.799536,14.171333,14.59802,14.569705,14.501747,14.321443,13.7607355,12.85386,12.154442,11.933167,12.792235,13.468233
2025-11-08 02:12:10+00:00,2025-11-08 00:00:00+00:00,15.371345,15.429983,15.452617,15.83411,15.987306,15.970797,16.02994,16.041466,15.648701,15.394025,15.16387,14.866103,14.402746,14.270558,16.586536,17.65089,18.979332,19.684935,19.692945,18.82128,17.274158,15.591831,14.53856,15.452599,16.705809,11.542325,9.462003,9.013151,8.430939,5.924049,4.353183,2.580938,0.82858855,0.33325607,-0.17754266,-1.3532943,-1.397697,-1.8255196,-1.4420987,-0.21173224,0.57918644,0.65177226,0.8232609,1.0434825,0.15946798,-1.6680773,-1.3283241,-2.218457,-3.8074152,0.30763108,0.56699926,-1.6364813,-3.4682884,-4.929316,-4.8104773,-4.783147,-5.667739,-7.428481,-8.332983,-8.719449,-9.232711,-9.975438,-10.483659,-11.681538,-12.262871,-12.514555,-12.706237,-12.575156,-12.867399,-12.787415,-12.333303,-9.306009,-11.356846,-11.2087345,-11.338479,-11.271888,-11.135635,-11.309736,-11.146114,-10.953012,-9.9185095,-8.344638,-7.7902393,-7.8806877,-8.947272,-9.28794,-8.398068,-5.964698,-3.8027163,-2.0406272,-0.91391,0.6475414,1.8139391,3.3841388,4.951611,6.3557224,6.8900824,7.504657,7.987067,9.037871,10.356073,10.927342,11.25367,11.410329,11.519763,11.6662445,12.159994,12.742115,12.822853,12.984682,13.673004,14.84282,15.694065,15.494299,14.919857,15.175724,15.215546,15.5444,15.7578745,15.636598,15.777355,16.07373,16.491087,16.857304,16.906462,17.05394,16.969667,16.920576,16.95562,16.857304,16.758986,16.47877,16.393047,16.403032,16.415375,16.504974,16.406998,16.21957,15.30128,14.440558,13.964198,13.738864,13.872306,14.045211,14.053838,14.221066,14.831172,14.946205,14.855261,14.570612,14.469547,14.6011095,14.760599,14.711402,14.613211,14.738631,14.858079,15.09819,15.39054,15.594717,15.426195,14.551614,13.73165,12.779187,12.464185,12.198696,12.24589,12.015941
2025-11-09 02:33:39+00:00,2025-11-09 00:00:00+00:00,16.749552,17.252584,17.390594,17.12598,16.780914,16.534435,15.992168,14.087581,6.68313,2.9057114,0.6390738,-0.2563971,-0.042776614,-0.1525985,0.59428537,1.4848634,2.4218652,2.3286211,2.7274516,1.6820965,-0.42447847,-1.7565787,-2.4038012,-2.1383398,-3.1451855,-4.1607,-4.57163,-5.5027094,-8.7797165,-9.304529,-9.357829,-9.231545,-9.718508,-9.896877,-10.085483,-10.240756,-10.316751,-9.621681,-8.596713,-8.341403,-9.016995,-9.303581,-10.145124,-10.411501,-10.443119,-11.51925,-11.766244,-12.000562,-12.35054,-9.189405,-9.413701,-9.431258,-9.32797,-9.461284,-9.280238,-9.064344,-8.56952,-7.7505693,-7.2389665,-7.2845507,-8.559882,-9.171544,-8.354742,-7.7747164,-6.432539,-3.5867214,-0.93062514,0.615181,1.8082297,2.9076204,4.424143,5.7696486,6.340317,7.085172,8.299483,9.5002985,10.308326,10.716921,10.906507,11.022038,11.323331,11.537061,11.8664055,12.078378,12.227272,12.326538,12.859568,13.666508,14.672964,14.668185,14.054107,13.874066,13.679921,13.724719,14.963852,15.262605,15.268811,15.472739,15.738069,15.658072,15.648268,15.853809,15.959633,15.999096,15.966213,15.817139,15.618377,15.732274,15.632767,15.632767,15.921703,16.130096,15.904845,15.637047,14.895307,14.508547,14.048029,13.867245,14.067409,14.299019,14.735636,15.135598,15.484522,15.710286,15.878505,15.775776,15.739161,15.682981,15.651708,15.668067,15.595473,15.564997,15.595473,15.961455,16.368515,16.393993,15.873132,14.528906,13.422119,12.649315,12.960031,13.434571,14.523081,15.170457,15.419662,15.271542,14.910046,14.8898535,15.243729,15.677302,15.972423,15.9837885,15.961455,15.862728,15.986319,16.25661,16.579489,17.05394,17.58711,17.751938,17.610857,16.939232,16.46726,16.767069,17.312386,17.590485,17.454987,17.322315
2025-11-10 02:24:05+00:00,2025-11-10 00:00:00+00:00,-1.2057753,-2.4390645,-2.3602853,-2.714489,-3.2160535,-5.5027094,-6.301137,-6.966747,-6.49385,-6.6070504,-7.0173984,-7.322386,-7.5232353,-8.553466,-6.756446,-6.911329,-8.53588,-9.222298,-9.825265,-8.820926,-9.028093,-8.9865,-9.888826,-10.840708,-11.170086,-11.349608,-11.244403,-11.134475,-11.432924,-11.824749,-11.925371,-11.954533,-11.702722,-11.279775,-10.869167,-9.920589,-8.133027,-7.2256308,-8.876106,-8.743246,-7.777592,-6.9629216,-5.9379215,-4.7698946,-6.5608068,-8.590713,-8.749999,-6.5014386,-1.3911839,6.2028594,7.680718,9.073402,10.288119,10.735057,11.108749,11.4092865,11.744893,11.833337,11.965545,12.040486,12.19964,12.299154,13.01019,13.713041,14.123659,14.188353,13.707338,13.460433,13.197403,12.963021,13.378289,14.002876,14.40819,14.654488,14.686733,14.859201,15.06845,15.023498,14.875399,14.776661,14.504796,14.529819,14.623171,14.642145,14.823314,14.823314,15.146365,15.557743,15.212904,14.827801,14.112977,13.415228,13.107818,12.783759,13.505641,14.13126,13.782218,15.300339,15.455156,15.468505,15.687281,15.7750635,16.000877,16.021584,16.184046,15.94947,15.695107,15.334241,15.085471,14.886453,15.097549,15.282638,14.797375,14.301339,14.048029,13.34524,12.419942,12.154442,12.972665,14.183332,14.642084,14.890778,14.7598295,15.005793,15.39054,15.874376,16.173958,16.024923,15.921703,15.780887,15.979245,16.253782,16.61376,16.718277,16.88541,16.952665,17.192375,17.605766,18.15828,18.805191,19.301924,19.770508,20.17842,20.494045,20.408913,19.927187,19.044317,16.856781,12.767679,8.057887,4.2043066,2.8368318,2.3512783,2.1929924,1.4605576,1.0773158,0.66313064,0.63633317,0.81614643,0.8032298,0.19901283,-1.6136055,-3.1935294,-3.8714087,-4.3867006,-3.47428,-2.0610902,-0.651804
2025-11-11 02:14:55+00:00,2025-11-11 00:00:00+00:00,-6.808995,-6.0182843,-6.4294443,-6.853364,-7.257888,-7.2894936,-7.2440815,-6.836,-6.786697,-7.062914,-6.2964706,-4.8679338,-4.7867484,-5.0470753,-4.352355,-5.218116,-5.2565703,-3.528915,-3.4738238,-2.2950292,-3.905572,-5.733864,-5.9760714,-2.6060398,0.6437769,1.3498399,5.1984625,7.520755,8.6431875,9.139611,9.329314,9.318091,9.3155985,9.187806,8.576837,8.711893,8.514361,8.020524,11.303503,13.020081,13.107727,14.069177,14.010756,12.935641,12.518638,12.394084,11.811326,11.470025,10.945547,14.065398,14.363208,14.474679,14.677214,15.056182,15.035714,14.836698,14.786943,14.687435,14.687435,14.848227,14.587926,14.637681,15.382472,15.732668,15.59136,14.428923,13.641246,12.9432125,12.56053,12.021679,12.2446995,12.2355585,13.353916,13.951748,14.603018,15.09137,15.297981,15.286246,15.244306,15.023498,14.920167,14.691708,14.609523,14.574856,14.587926,14.637681,15.041832,15.6425,15.166233,14.345691,13.423363,12.898534,12.427346,12.294155,12.066508,12.564666,12.558004,13.44913,13.898057,14.504857,14.984914,14.8556185,15.04874,15.234982,15.453199,15.346392,15.19694,15.047495,14.898044,14.798411,15.0059805,14.651391,13.668617,12.672643,12.290719,11.716893,11.761302,12.094235,12.672643,13.098928,13.285312,13.709208,14.269721,14.74548,15.151993,15.382472,15.541435,15.714628,16.070747,16.117222,16.076565,16.16543,16.193834,16.483944,16.931784,17.426537,17.91153,18.541975,19.026907,19.2075,19.287802,19.21995,18.834768,18.518103,18.401907,18.891336,19.462486,19.796389,19.990932,20.189678,20.338732,20.388416,20.388416,20.338732,20.259665,20.17842,20.078796,20.090303,20.117048,20.206398,20.22291,20.272194,20.335518,20.412113,20.41283,20.396852,20.510252,20.465164
2025-11-12 02:17:22+00:00,2025-11-12 00:00:00+00:00,2.3586183,5.341291,5.9688864,5.8753138,6.478248,6.871653,7.9279613,8.6119795,8.949071,9.118599,9.286439,8.506407,9.106951,8.974384,12.122678,13.699414,14.144281,14.775275,14.428068,14.161191,13.380022,13.315126,12.952416,11.742968,10.828508,11.855969,12.94178,13.277615,13.894915,13.592592,13.639582,13.30435,12.886144,12.514003,12.217761,12.03987,11.661434,11.949544,14.2805,16.683474,17.181894,16.422375,15.827376,15.644885,14.857292,11.98498,10.132561,12.707682,12.574175,13.510389,13.922007,14.051215,14.248082,14.421876,14.416824,14.307589,14.134869,13.88802,13.739908,13.712362,13.68266,13.964347,14.273189,14.188574,13.807416,13.798731,13.197978,13.097457,12.987882,12.511958,12.649306,12.787879,12.328797,13.260785,13.476344,13.3154335,13.618773,13.638116,13.535478,13.74567,13.936059,14.058415,14.42578,14.42578,14.488414,14.388908,14.787591,15.033031,14.699514,14.245231,13.670078,12.783759,12.378332,12.027746,12.559663,13.283586,12.655004,13.078856,14.5082655,14.447767,14.649233,14.392939,14.370673,14.432077,14.674583,14.776661,14.989096,15.334241,15.545662,15.645293,16.446909,17.12552,17.70586,17.872702,17.68413,17.68413,17.76556,17.80147,17.583597,17.313017,17.421244,17.824707,18.120033,18.304708,18.528608,18.957382,19.237156,19.424198,19.494076,19.680292,19.841875,19.891056,19.990993,20.187868,20.420053,20.6172,20.740343,20.951164,20.997362,20.835007,20.460264,20.110296,20.11825,20.246382,20.299728,20.412113,20.484127,20.607912,20.54392,20.344416,20.294542,20.394293,20.758627,20.65875,20.322002,19.522003,18.349363,15.838025,12.851995,10.428962,9.305781,7.827608,5.785493,4.5076747,4.5642967,4.849391,5.1971273,4.8456697
2025-11-13 02:34:17+00:00,2025-11-13 00:00:00+00:00,15.053082,14.964919,14.90585,14.475731,14.568911,15.076818,14.834418,14.19263,13.720766,13.542572,13.097051,12.435388,12.057474,11.973973,15.530499,17.40342,17.80601,17.338139,16.713919,15.829396,13.611314,12.296817,13.603726,12.788981,12.473301,12.45089,13.7696705,14.561162,15.304768,15.57918,15.470677,15.426824,14.883786,14.340734,14.334586,13.839578,13.659267,13.361867,15.939215,16.956623,16.81057,15.874133,15.203829,13.025254,12.296817,11.542341,10.731326,9.549412,8.796262,12.516076,13.421768,14.392939,14.76202,14.836545,14.939528,14.7584095,14.17767,14.146497,13.997799,13.914718,13.87916,13.730084,13.834501,14.189434,14.099278,13.658526,12.837317,12.541104,12.467418,12.422877,12.559663,12.821266,12.365025,12.460244,13.374138,13.396191,14.027454,14.522889,15.146703,15.150511,15.342905,15.701334,15.732274,15.844556,15.844556,16.00513,16.62465,17.241262,17.171045,17.079168,16.974504,16.721743,16.252531,15.990612,16.189295,16.274275,16.119278,15.947955,16.521168,17.087027,17.239841,17.038527,16.990019,16.893013,17.05111,17.22637,17.51196,18.061888,18.400965,18.73383,19.51542,20.04517,20.451496,20.11825,19.96243,19.72203,19.219397,18.976807,19.036564,19.252913,19.360754,19.529463,19.78256,19.892555,19.910269,20.088749,20.216026,20.388416,20.494045,20.558872,20.62674,20.762917,20.699938,20.642046,20.755148,20.758154,20.882446,20.812166,20.870365,20.513975,20.063194,19.941715,20.270351,20.812166,20.855722,20.838634,20.650585,20.589273,20.63684,20.825987,20.94293,21.058254,21.008318,20.95838,20.822,20.472,20.40906,20.587154,20.996056,21.248074,21.172573,20.704239,20.003515,19.5039,18.986822,18.989845,19.189074,19.360754
2025-11-14 02:18:15+00:00,2025-11-14 00:00:00+00:00,14.753917,15.620428,14.953834,15.836903,16.815746,16.42367,15.930013,15.568004,15.499184,15.253241,14.97808,14.947955,14.700135,14.452312,16.637318,17.83101,17.991562,15.966732,15.446801,14.9252,14.197169,13.174161,13.836659,13.088439,12.461487,14.615258,15.858031,16.105347,16.37365,16.418798,16.40605,16.340738,15.918546,15.522566,15.394025,15.096645,14.532588,14.518703,16.533957,17.692526,17.694286,17.338139,17.04045,16.521214,15.725062,14.901376,14.191286,13.088439,12.783594,11.070292,13.426563,13.836731,13.205934,12.963307,13.594613,13.931986,14.711402,15.930789,16.396107,16.442347,16.404152,16.304398,16.899366,17.35422,17.51585,17.531359,17.183056,16.863894,16.416344,16.50715,16.390526,16.79929,16.467955,16.36856,16.597244,17.29475,17.373423,16.981281,16.892519,16.856194,16.854612,17.047457,17.169819,17.258139,17.438652,17.605957,18.116148,18.811893,19.038645,19.0484,18.615482,18.045225,17.474892,17.029043,16.976967,17.432558,17.120083,17.61162,19.497972,19.267609,19.267609,19.58724,19.841635,19.84595,19.968987,20.17842,20.144915,20.045164,20.159369,20.109432,20.91177,21.394934,21.15834,20.766413,20.813705,20.200441,19.192385,18.914577,19.733429,20.449696,20.613207,20.592905,20.666477,20.650585,20.859373,20.93615,20.96139,20.906403,20.743423,20.608814,20.65875,20.908442,21.092554,21.055647,21.110249,21.09476,21.199142,21.192179,20.978542,20.75443,20.656672,20.75443,20.882715,20.908651,20.882446,21.101282,21.122969,21.225435,21.242819,21.231796,21.337883,21.418259,21.472534,21.431684,21.530788,21.42311,20.89735,19.396826,17.296019,15.980354,15.811138,16.431198,16.791504,16.708202,16.629002,16.261038,16.324127,16.320152
