forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:25+00:00,2025-11-05 00:00:00+00:00,23.152,20.152,18.552,17.552,16.602,15.652,15.052,14.552,14.052,13.252,12.602,12.202,11.802,11.352,13.452,18.552,21.802,25.502,28.002,29.752,30.852,31.252,31.102,29.752,25.652,22.302,20.452,19.102,18.202,17.452,17.252,16.802,15.652,14.502,13.802,13.252,12.652,11.952,13.052,16.852,20.152,22.852,25.002,26.952,28.002,28.602,28.202,27.152,23.802,21.667,20.917,20.267,19.867,19.667,19.317001,19.167,18.717001,18.267,17.967001,17.517,17.217001,16.867,18.117,21.467001,24.367,25.867,26.667,26.967001,27.167,27.067001,26.367,24.967001,21.167,19.567001,18.467001,17.567001,16.667,15.816999,15.316999,14.967,14.367,13.816999,13.566999,13.316999,13.117,13.016999,14.867,18.817001,21.717001,24.167,26.317001,28.017,29.017,29.467001,29.267,26.817001,22.717001,21.817001,21.067001,20.117,17.967001,17.517,15.967,15.167,14.516999,13.467,13.066999,12.617,11.367,10.167,9.316999,9.117,9.967,11.066999,12.117,12.967,13.617,13.667,12.717,11.117,9.617,8.417,7.267,6.267,5.4170003,4.717,4.067,3.5170002,3.0670002,2.617,1.867,1.117,1.067,2.0670002,3.7670002,5.767,8.117,10.766999,13.066999,14.967,16.467001,17.067001,16.167,14.266999,12.516999,11.167,9.967,9.016999,8.516999,8.266999,8.066999,7.867,7.767,7.617,7.267,6.9170003,7.1670003,8.266999,9.917,12.016999,14.867,18.167,20.767,22.417,23.417,23.417,21.967001,19.517
2025-11-06 02:24:20+00:00,2025-11-06 00:00:00+00:00,26.402,24.602,22.302,20.652,19.002,18.202,18.152,17.302,16.052,15.002,14.052,13.102,12.402,11.602,13.102,17.302,20.752,23.402,26.002,28.752,30.352,30.752,30.502,29.152,24.902,22.802,21.752,20.302,19.502,19.052,18.802,18.002,17.402,17.152,16.552,16.352,16.152,15.452,17.552,21.702,23.502,24.102,25.202,25.852,26.802,27.352,26.502,25.202,22.052,19.867,18.917,17.967001,17.117,16.417,15.917,15.367,14.417,14.717,14.617,14.717,14.467,13.667,16.317001,20.217001,23.367,26.267,28.467001,29.967001,30.817001,31.167,30.967001,28.217001,23.967001,22.467001,21.317001,20.217001,17.017,15.516999,15.016999,14.266999,13.566999,12.967,12.667,12.367,11.316999,10.667,10.516999,10.867,11.667,12.617,13.467,14.167,14.566999,14.367,13.667,12.417,10.217,9.117,7.967,6.967,5.6670003,4.767,4.017,3.367,2.867,2.2670002,1.717,1.367,0.717,0.417,2.717,5.067,7.467,9.766999,11.717,13.467,14.867,15.417,14.516999,12.766999,11.117,9.917,8.816999,8.017,7.617,7.517,7.467,7.367,7.367,7.317,7.067,6.817,7.067,7.967,9.367,11.266999,14.016999,17.217001,19.767,21.267,22.067001,22.117,21.017,19.067001,17.467001,16.467001,15.766999,15.316999,15.217,15.367,15.367,15.066999,14.617,14.117,13.316999,12.467,12.266999,12.967,14.316999,16.267,19.167,22.667,25.417,27.117,28.067001,28.017,26.467001,23.967001
2025-11-07 02:21:55+00:00,2025-11-07 00:00:00+00:00,27.852,25.352,23.502,22.552,21.452,20.352,19.652,18.952,18.552,17.802,17.652,18.002,18.002,17.002,18.402,20.902,21.352,23.402,25.402,26.502,27.002,27.002,26.402,25.152,21.552,19.702,18.852,17.802,17.102,16.602,15.802,14.752,13.852,12.802,11.852,11.252,10.602,9.652,10.952,16.452,21.002,23.902,26.152,27.552,28.352,28.802,28.752,27.602,23.752,21.967001,20.817001,20.017,17.017,15.467,14.766999,14.117,13.417,13.016999,12.717,12.467,11.566999,10.417,10.316999,11.316999,12.667,13.967,15.066999,15.717,15.816999,15.566999,15.016999,13.667,11.467,9.967,8.766999,7.717,6.767,5.9170003,5.217,4.517,3.917,3.617,2.867,2.3170002,1.767,1.367,3.467,5.6670003,7.467,9.467,11.266999,13.016999,14.217,15.117,15.516999,14.766999,11.617,10.266999,9.417,8.617,8.066999,8.117,8.017,8.217,8.017,7.717,7.517,7.317,7.1670003,7.1670003,8.316999,11.266999,14.467,17.517,19.867,21.517,22.567001,22.667,21.417,19.267,17.417,16.267,15.367,14.766999,14.516999,14.516999,14.467,14.217,13.816999,13.417,12.717,11.967,11.816999,12.417,13.617,15.467,18.467001,22.117,25.067001,26.967001,28.167,28.267,26.667,24.017,21.617,20.017,18.667,17.667,17.117,16.867,16.517,15.867,15.066999,14.367,13.516999,12.667,12.617,13.717,15.617,17.717001,20.167,22.917,25.117,26.717001,27.817001,27.967001,26.667,24.467001
2025-11-08 02:12:27+00:00,2025-11-08 00:00:00+00:00,21.302,21.052,20.002,19.102,18.152,17.552,16.602,15.502,14.402,13.802,13.302,12.302,11.452,10.252,11.802,17.652,22.252,25.102,27.102,28.502,29.302,29.452,28.602,27.402,23.702,21.752,19.702,17.902,16.652,15.402,14.302,13.552,12.702,11.902,11.252,10.652,9.852,9.052,9.452,10.452,11.752,12.852,14.102,15.052,15.652,15.752,15.352,13.902,11.802,11.016999,9.816999,8.617,7.767,7.217,6.567,5.967,5.267,4.617,4.1670003,3.7670002,3.417,2.917,4.617,6.9170003,9.016999,10.867,12.667,14.117,15.217,16.017,16.167,15.417,12.167,10.766999,9.766999,9.266999,8.516999,8.017,8.017,8.117,8.117,7.867,7.717,7.567,7.567,7.567,8.667,11.566999,14.867,17.817001,20.067001,21.717001,22.617,22.967001,22.567001,21.067001,18.717001,17.367,16.567001,16.067,15.917,15.917,16.117,16.117,15.816999,15.266999,14.467,13.766999,13.516999,13.117,14.016999,17.117,20.667,23.117,24.667,26.317001,27.367,27.367,25.567001,22.667,20.167,18.667,17.617,16.867,16.517,16.517,16.417,16.017,15.566999,15.066999,14.417,13.717,13.717,14.667,16.217001,18.117,20.517,23.267,25.417,26.867,27.767,27.767,26.367,24.067001,22.117,20.917,20.067001,19.317001,18.667,18.117,17.617,17.167,16.817001,16.467001,15.967,15.467,15.467,16.167,17.417,19.017,21.317001,24.017,26.167,27.517,28.317001,28.217001,26.817001,24.567001
2025-11-09 02:33:54+00:00,2025-11-09 00:00:00+00:00,24.202,22.352,21.302,20.302,18.702,17.202,15.952,15.052,14.152,13.202,12.552,12.002,11.052,10.202,10.552,11.552,12.952,14.102,15.202,16.001999,16.352,16.752,16.202,14.852,12.652,11.202,10.302,9.352,8.152,7.202,6.152,5.002,4.202,3.602,3.052,2.552,2.002,1.452,3.352,5.952,7.352,8.802,10.152,11.252,12.152,12.752,12.852,12.452,10.402,10.217,9.217,8.717,8.316999,7.767,7.567,7.817,7.867,7.767,7.467,7.567,7.467,7.4170003,8.516999,11.417,14.566999,17.617,19.917,21.517,22.317001,22.517,22.067001,20.517,18.217001,16.967001,16.317001,15.967,15.917,15.917,15.917,15.667,15.316999,14.816999,13.967,13.217,12.816999,12.566999,13.717,17.067001,20.517,23.267,25.517,26.967001,27.867,28.417,28.367,25.267,20.167,18.967001,18.367,18.367,17.517,16.567001,16.367,16.217001,16.117,15.617,15.367,15.016999,15.016999,14.467,15.367,19.317001,22.617,25.317001,27.467001,29.017,29.867,29.767,28.067001,25.367,23.117,21.867,21.067001,20.367,19.717001,19.167,18.667,18.117,17.517,17.017,16.417,15.917,15.867,16.417,17.467001,19.017,21.417,24.267,26.567001,27.917,28.667,28.667,27.617,25.767,24.067001,22.717001,21.467001,20.417,19.517,18.817001,18.217001,17.717001,17.367,17.117,17.017,17.017,17.217001,17.667,18.317001,19.067001,19.967001,21.067001,22.167,23.617,25.067001,25.767,24.967001,23.417
2025-11-10 02:24:27+00:00,2025-11-10 00:00:00+00:00,14.052,12.202,11.052,10.102,9.502,8.902,7.552,6.302,5.402,4.552,4.052,3.602,3.2020001,2.752,4.252,7.152,8.652,10.402,11.802,13.102,14.002,14.452,14.702,14.352,11.902,10.152,8.902,8.052,7.502,7.152,6.752,6.202,6.052,5.752,5.402,4.952,4.602,4.402,6.052,11.052,13.802,16.802,18.852,20.252,21.102,21.202,20.702,19.102,15.752,16.717001,16.067,15.917,15.516999,15.667,15.617,15.266999,14.717,14.316999,13.816999,13.167,12.516999,11.266999,12.617,16.567001,19.967001,22.717001,24.767,26.317001,27.317001,27.717001,27.467001,25.167,21.417,20.217001,19.167,18.267,17.167,16.667,16.417,15.967,15.617,15.066999,14.617,14.167,13.766999,13.467,15.016999,18.417,21.717001,24.417,26.567001,27.917,28.617,28.767,28.167,26.417,22.567001,20.917,19.917,19.417,19.267,18.917,18.067001,17.617,17.617,17.067001,16.817001,16.417,16.017,15.667,16.367,19.017,21.717001,24.017,25.667,26.867,27.567001,27.667,26.917,25.517,24.017,22.417,20.767,19.467001,18.817001,18.567001,18.517,18.617,18.917,19.117,19.017,18.817001,18.767,18.867,19.167,19.967001,21.867,24.267,25.867,26.167,25.667,24.667,23.167,21.217001,19.217001,17.167,15.066999,13.266999,11.967,10.917,10.167,9.667,9.417,9.167,8.617,8.017,7.967,8.816999,10.266999,11.867,13.717,15.717,17.317001,18.517,19.317001,19.317001,18.017,15.867
2025-11-11 02:15:09+00:00,2025-11-11 00:00:00+00:00,13.302,11.152,9.802,8.902,8.402,7.902,7.252,6.652,6.352,6.002,5.752,5.602,5.352,5.002,6.902,12.402,15.452,18.202,20.502,21.952,22.802,22.902,22.402,20.652,17.152,15.402,13.852,12.802,12.052,11.502,10.952,10.602,10.152,10.002,9.802,9.552,9.302,9.102,9.502,13.502,17.702,20.702,23.052,24.802,26.002,26.502,26.602,25.202,21.252,19.717001,18.367,17.517,17.367,17.267,16.617,15.766999,15.217,14.867,14.566999,14.117,13.867,13.717,14.917,18.217001,21.417,24.167,26.367,27.817001,28.767,29.017,28.517,26.717001,22.767,21.267,20.217001,19.867,19.217001,19.167,18.767,17.817001,17.167,16.567001,16.217001,15.766999,15.516999,15.367,16.117,18.567001,21.517,24.267,26.167,27.617,28.467001,28.117,27.567001,26.267,23.267,21.967001,20.867,20.117,19.917,18.867,18.217001,17.467001,17.117,18.567001,18.917,19.017,18.917,19.017,18.817001,19.117,19.917,20.867,21.867,22.917,23.917,24.417,24.217001,23.517,22.617,21.467001,20.117,19.217001,19.017,19.267,19.517,19.717001,19.917,20.067001,20.117,20.167,20.317001,20.617,21.017,21.767,23.167,24.917,26.367,27.367,28.067001,28.017,26.767,24.767,22.967001,21.667,20.517,19.567001,18.817001,18.267,17.617,16.717001,15.766999,15.117,14.967,15.117,15.566999,16.217001,17.167,18.567001,20.717001,23.267,25.367,27.017,28.217001,28.317001,26.517,23.567001
2025-11-12 02:17:39+00:00,2025-11-12 00:00:00+00:00,20.302,17.902,16.252,15.002,14.502,14.002,13.352,12.652,11.952,11.352,10.802,10.202,9.952,9.402,10.452,16.602,19.952,22.602,24.952,26.602,27.602,28.052,27.802,26.402,22.552,19.802,18.302,17.352,16.302,15.152,14.152,13.402,12.552,12.152,12.152,12.102,11.902,11.452,12.452,17.252,19.852,22.202,23.952,25.402,26.102,26.352,26.152,24.902,21.702,20.767,19.617,18.917,18.517,18.667,18.167,17.517,17.167,16.617,16.167,15.816999,15.417,15.066999,16.217001,19.017,22.067001,24.567001,26.517,27.817001,28.667,28.867,28.267,26.767,23.017,21.317001,20.217001,20.117,19.967001,19.717001,19.267,18.517,17.667,17.217001,16.817001,16.567001,16.267,16.117,16.617,18.367,20.667,23.017,24.667,25.867,26.167,26.367,26.267,24.967001,21.867,20.917,20.217001,19.667,19.167,18.817001,18.867,18.117,17.717001,17.317001,17.217001,16.917,16.667,16.617,17.567001,20.717001,24.017,27.017,29.267,30.717001,31.517,31.367,29.917,27.617,25.517,24.017,22.717001,21.667,20.917,20.467001,19.967001,19.367,18.767,18.267,17.867,17.567001,17.717001,18.517,19.817001,21.217001,22.817001,24.517,26.067001,27.517,28.817001,29.067001,27.617,25.117,23.067001,21.967001,21.217001,20.617,20.017,19.567001,19.067001,18.617,18.217001,17.567001,16.417,15.066999,13.967,13.217,12.766999,13.016999,14.516999,16.767,18.717001,20.167,21.267,21.567001,20.617,18.917
2025-11-13 02:34:32+00:00,2025-11-13 00:00:00+00:00,23.352,21.052,19.052,17.702,16.302,15.352,14.602,13.752,13.152,12.452,11.952,11.702,11.502,11.102,12.102,17.452,20.452,23.102,25.102,26.502,27.152,27.302,26.952,25.752,22.452,20.352,18.952,17.652,16.652,16.152,15.502,15.202,14.602,14.052,13.752,13.552,13.452,13.352,14.752,18.102,19.952,22.452,24.602,26.052,27.052,27.352,27.002,25.852,22.652,20.967001,20.367,19.867,19.367,18.867,18.267,17.417,16.967001,16.467001,16.017,15.816999,15.717,15.516999,16.217001,18.867,21.617,24.267,26.117,27.317001,28.017,28.067001,27.467001,26.167,22.767,21.367,20.517,20.267,19.817001,19.417,19.117,18.867,18.017,17.367,17.117,17.317001,17.067001,16.767,17.817001,21.467001,25.367,28.267,30.017,31.067001,31.767,31.867,31.467001,28.767,25.367,23.767,22.817001,22.167,21.017,20.267,20.117,20.417,20.567001,20.317001,19.917,18.867,18.517,18.617,19.517,22.567001,25.067001,26.867,28.367,29.517,30.167,29.967001,28.267,25.717001,23.567001,22.417,21.667,20.917,19.967001,19.017,18.217001,17.517,16.967001,16.617,16.417,16.367,16.817001,17.867,19.367,20.967001,22.717001,24.517,26.117,27.567001,28.717001,29.017,27.867,25.817001,24.017,22.817001,21.917,21.167,20.717001,20.417,20.167,19.667,19.217001,19.067001,19.617,20.467001,21.217001,21.517,21.617,21.867,22.417,23.117,23.567001,23.717001,23.617,23.417,22.967001,22.417
2025-11-14 02:18:32+00:00,2025-11-14 00:00:00+00:00,25.302,22.902,21.552,20.052,18.652,17.852,17.052,16.402,15.602,14.702,14.302,13.902,13.452,13.352,14.052,19.202,21.952,24.852,27.002,28.602,29.452,29.502,28.902,27.252,23.902,21.402,19.552,18.202,17.602,17.102,16.452,15.702,14.902,14.302,13.852,13.702,13.352,13.002,14.002,18.802,21.402,24.052,26.152,27.852,28.452,28.452,28.002,26.802,23.502,21.567001,20.667,19.967001,19.417,19.267,19.067001,19.167,19.167,19.017,18.367,17.917,17.717001,17.267,18.467001,22.167,25.267,27.817001,29.417,30.667,31.517,31.367,31.067001,28.467001,24.417,23.867,23.217001,22.617,22.017,20.917,20.417,20.217001,19.817001,19.417,19.167,18.367,18.667,18.417,18.917,22.217001,24.667,26.217001,27.617,28.617,29.067001,29.217001,28.867,27.317001,23.167,21.417,20.467001,19.867,19.367,19.167,18.817001,17.767,16.917,16.267,16.517,17.217001,17.217001,16.317001,17.267,20.467001,22.817001,25.067001,26.917,28.267,29.167,29.467001,28.917,27.767,26.317001,24.467001,22.367,20.817001,20.317001,20.417,20.567001,20.567001,20.617,20.567001,20.317001,20.067001,20.017,20.367,20.917,21.867,23.467001,25.367,26.767,27.417,27.517,27.117,25.867,24.117,22.467001,21.217001,20.117,19.217001,18.617,18.267,18.017,17.867,17.767,17.517,16.817001,15.917,15.367,15.316999,15.566999,16.167,17.317001,18.817001,20.067001,20.967001,21.617,21.617,20.467001,18.667
