forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:28+00:00,2025-11-05 00:00:00+00:00,7.653356,8.50542,8.869156,9.364434,10.719246,8.530695,7.1664143,7.738811,8.020807,7.7615376,7.883948,7.987915,8.172385,8.388599,9.07529,8.937381,9.060574,9.011875,8.943679,8.204316,7.880466,8.935201,9.8172865,8.86076,10.508591,11.360551,11.62672,11.632545,11.433492,11.217318,11.52232,11.504097,11.604965,12.145633,12.336003,12.040962,12.116197,11.718157,12.561015,12.302362,13.254693,13.215584,12.421003,12.514717,11.310735,9.202877,8.463016,7.8956513,6.6941776,9.492799,10.915255,11.206759,11.229459,10.672944,10.260138,9.801393,9.388459,8.929578,8.56242,7.983337,7.662777,7.296382,6.219488,1.602732,4.612952,9.097943,8.535141,2.9413319,1.1337153,0.22056454,0.19076073,1.352776,1.4512488,2.3452792,3.254277,3.813212,4.170187,4.273954,4.064422,3.8956954,3.457126,3.0619347,2.9686856,2.570129,2.214313,2.075016,2.528842,2.8638341,2.6377857,2.4903047,2.3047292,1.6067777,1.1075058,1.5199102,1.2724823,2.5165417,2.0606818,2.2292764,3.4901142,2.593467,-0.2914574,-4.491491,-2.5238483,-2.4584248,-3.4002044,-4.4831314,-5.367996,-6.626854,-7.979391,-9.67086,-11.076458,-13.287922,-14.185131,-14.115289,-14.377698,-14.906859,-15.030075,-14.989354,-15.152936,-14.7106495,-14.980905,-14.986361,-14.498675,-14.40883,-14.163192,-13.749956,-13.38171,-13.391672,-13.367499,-13.263339,-13.2582445,-13.17176,-13.12302,-12.900333,-13.021183,-12.898958,-12.996877,-13.422945,-13.890499,-13.3063135,-13.112588,-11.935576,-10.626401,-10.465953,-10.298308,-10.550395,-11.02082,-11.320263,-11.405829,-10.870556,-10.827592,-10.437819,-10.064198,-9.79264,-9.885126,-9.634909,-9.50296,-9.099406,-8.540715,-8.002697,-7.453808,-6.3075776,-5.8407226,-5.261723,-4.3745093,-3.4438694,-3.1361578,-2.6022544
2025-11-06 02:24:23+00:00,2025-11-06 00:00:00+00:00,11.917126,10.885673,10.547587,10.491841,10.775595,10.577302,11.66676,12.471514,12.599338,12.3796835,12.140263,11.552482,11.3619175,11.197793,12.521809,13.0699835,12.933054,13.1235695,13.020896,12.5698805,11.890085,11.226706,10.214819,8.729182,7.717841,6.905737,8.001513,9.359084,11.802744,13.233146,12.86015,12.33709,11.718857,11.107943,10.612686,10.409964,9.547993,10.713202,12.047695,13.030272,13.527435,10.831762,7.882149,6.1818967,4.4291024,3.242739,2.1561973,2.2695594,2.8635902,2.8545303,2.8967543,3.1717706,3.16362,3.463247,3.4776921,3.5141237,3.2820528,3.361035,3.2214777,2.9571266,2.9571266,2.7250159,3.354576,3.6242926,4.154638,4.7569885,5.3562765,4.5488415,3.5247622,2.949179,3.544875,3.349461,2.326825,3.1221144,-0.3786161,-1.3852358,-0.7766094,-0.7165134,-0.66197175,-0.6405225,-3.1372507,-4.320848,-4.2548623,-3.7691708,-3.4420345,-3.385322,-4.0872316,-5.8525934,-7.843262,-11.234651,-13.591556,-13.964073,-12.468971,-13.179265,-13.7565155,-14.294645,-14.389345,-13.881207,-13.362498,-13.065092,-12.495516,-12.185874,-11.825608,-11.454678,-11.41686,-11.477994,-11.547386,-11.442055,-11.6247015,-11.80736,-11.799711,-11.704427,-11.988081,-11.894441,-12.331,-12.940229,-13.265972,-12.822314,-12.162747,-11.2201185,-11.0217905,-10.870556,-10.540748,-10.445072,-10.358066,-10.454093,-10.237473,-9.836127,-9.5358715,-9.292998,-9.599718,-9.906493,-10.147118,-10.107513,-10.165617,-10.087543,-9.082168,-7.9151444,-6.6137123,-5.9881806,-4.979346,-4.697045,-3.9830637,-3.5321367,-3.1265569,-2.7724018,-2.734806,-2.2003639,-1.773662,-0.9526747,-0.23542148,0.78020567,1.7147057,2.7821908,3.6907136,4.6656165,5.62108,6.5978146,7.7710376,8.591059,8.919081,8.264304,7.408157,7.100293,6.5806327,7.101912,8.024261,8.499334
2025-11-07 02:21:59+00:00,2025-11-07 00:00:00+00:00,10.691495,11.022605,13.592259,14.987233,13.947433,12.6804695,12.662993,12.285479,11.505374,11.441612,11.2524395,10.957848,10.314141,10.472526,11.849074,12.479746,12.611756,7.415696,5.72316,5.064635,3.5360577,2.7816734,1.6294658,0.69557244,0.61689436,0.43792173,0.4477052,0.20391303,-0.005251123,-0.12821077,-0.09355666,-0.09733451,-0.045460027,-0.3166108,0.54656935,1.5450327,1.6369921,1.9265666,3.5416653,4.0294256,3.4740458,3.5532534,2.3299549,1.6294658,-0.3168092,-1.8665587,-1.2683294,-1.607109,-0.99660695,3.849858,2.058353,-0.07937305,-0.39000878,-0.8650915,-0.81430614,-1.0226601,-1.4735988,-3.6768758,-3.3641202,-2.2504802,-1.691035,-0.94453675,-1.7347264,-3.828517,-4.8004484,-5.9800677,-9.150028,-10.872116,-9.540296,-8.5549965,-8.542133,-8.669987,-9.890943,-10.974103,-12.014644,-12.055463,-12.423191,-12.446808,-12.292316,-12.454494,-12.582202,-12.897663,-12.945751,-13.216964,-13.138723,-13.365379,-13.292652,-13.406082,-13.632362,-13.544731,-13.92098,-14.046023,-13.931175,-12.955338,-12.040038,-10.171754,-11.404963,-11.21432,-11.644137,-11.730115,-12.00494,-11.705353,-12.08642,-11.748147,-11.748147,-11.51518,-11.790943,-11.576978,-11.83374,-11.83374,-11.447542,-10.045438,-8.666278,-7.008921,-5.9883533,-5.3121476,-4.2963805,-4.052737,-3.6298387,-3.5776656,-3.973346,-4.1083417,-4.406338,-4.6618114,-4.439807,-3.7096286,-3.0878558,-2.6552718,-1.9271655,-1.0321301,0.3783286,1.639412,2.8853188,4.200251,5.334318,6.469458,6.8823757,6.5847545,5.9125366,5.4562693,5.8300824,6.3212337,6.703049,7.07903,7.1258183,7.356035,7.6844544,8.106376,8.534632,8.831125,9.065161,9.141905,9.108362,9.270761,9.560327,10.097147,10.5803,11.434654,12.27405,13.0702915,13.0931,12.400353,11.033181,10.377824,9.861747,9.774078,10.067255,10.353007
2025-11-08 02:12:29+00:00,2025-11-08 00:00:00+00:00,0.051464632,0.1885364,-0.20325303,0.40380767,1.0629016,1.3497244,1.20927,1.7265077,1.8590705,1.1788856,0.6257703,0.29222155,0.39982384,1.1359909,3.1338427,3.6962795,3.3858712,4.5448856,5.837402,4.9911013,5.1186085,3.1728857,0.30129713,1.8099467,-3.4448678,-2.8506007,-3.3285694,-4.187639,-5.958137,-6.7263646,-7.190873,-5.77441,-4.563446,-3.9712248,-3.1730165,-2.4319808,-2.1097558,-1.7712976,-1.5873647,-2.239026,-2.036297,-2.4942112,-3.6693172,-3.94563,-4.255344,-4.563446,-5.1357737,-5.375435,-6.427381,-7.4590845,-7.720937,-8.022245,-8.655524,-9.468133,-9.651032,-10.058409,-10.420584,-10.601691,-10.705975,-11.160073,-11.137533,-11.659682,-11.918019,-12.898958,-13.840284,-14.585354,-14.003997,-12.344598,-11.598624,-10.497255,-10.37233,-8.294886,-9.96332,-9.49222,-9.063207,-9.415001,-9.775012,-9.885126,-10.912465,-11.876537,-11.876537,-11.51518,-11.257755,-10.584079,-10.454093,-10.869309,-10.226216,-9.226906,-7.82993,-6.1324368,-5.15334,-4.514732,-3.5333836,-2.9613247,-1.3285551,-1.442837,-1.0754118,-1.1630782,-0.42194435,1.3844,2.5036995,3.71642,4.336719,5.112797,5.703331,6.207283,6.4859524,6.608467,6.9776983,7.5048895,8.339335,8.685883,8.326469,7.9024,7.7528725,7.4968653,7.935876,8.3394165,9.176742,9.959071,10.098701,10.413954,10.728807,10.963645,11.2030525,11.417506,11.611592,11.664644,11.638654,11.61045,11.547568,11.364268,11.448558,11.910856,12.503892,13.082821,13.834109,14.667014,15.023658,14.614556,14.162761,13.552721,13.651312,13.6722355,13.51834,13.324891,13.422617,13.404665,13.637481,13.776675,13.903785,13.9146185,14.01938,13.830424,13.57795,13.338814,13.11788,13.128852,12.843658,12.607782,12.651819,13.152967,12.876922,12.0601845,11.395289,10.813992,10.673957,10.401385
2025-11-09 02:33:56+00:00,2025-11-09 00:00:00+00:00,0.26552448,0.3077456,-1.06806,-1.9766062,-2.3848813,-2.9444172,-2.7156198,-2.4066198,-3.8152888,-3.823989,-3.8820179,-3.1277583,-1.917331,-1.0532062,0.27128077,1.0644413,0.9355857,0.27176264,-0.8346431,-1.6026267,-3.2873642,-5.77441,-5.604396,-5.4440265,-6.2625384,-6.9616446,-7.6296763,-8.565301,-9.241429,-10.22552,-10.830111,-10.9953575,-11.016114,-10.932087,-10.570012,-10.020801,-10.34636,-10.962879,-10.923691,-12.371468,-13.443421,-13.959793,-14.412166,-14.735866,-14.039057,-13.7113,-14.575317,-15.186047,-16.541437,-12.954459,-12.304588,-12.11708,-12.246092,-12.725591,-13.124141,-13.58695,-12.996877,-12.261777,-11.041941,-10.540748,-10.010088,-9.923105,-9.371293,-8.328655,-7.3115983,-6.3399286,-5.15334,-4.4329205,-4.174553,-3.5250328,-1.98504,-1.9502592,-1.6841178,-1.252544,0.32129952,1.6060898,2.416381,3.2995427,3.9715261,4.4942517,5.081522,5.336724,5.6844807,6.279945,6.8981533,7.8052516,9.119007,9.508363,9.16433,8.952714,8.152069,7.891683,7.8004284,8.359037,8.5103035,9.156368,9.536106,10.287184,10.577599,10.8272915,11.024643,11.072549,11.353722,11.488921,11.884607,12.446397,12.66775,12.454783,11.597075,10.721667,9.943859,6.7442594,3.8468328,3.220618,3.448398,2.3688912,2.6327014,2.7150886,3.277523,3.262736,4.4304557,6.898122,10.3060055,12.37424,12.695545,12.467236,12.188241,12.032007,12.077343,12.191716,12.701146,13.479302,13.978208,14.269774,14.349914,14.404932,14.459301,14.125247,13.482866,12.848049,11.953363,11.658331,11.37994,11.686168,11.613833,11.623556,11.736362,12.126027,13.20809,14.1647,14.931419,14.980458,14.52543,14.372001,14.707111,14.977047,15.277753,15.259151,15.097004,14.869506,15.053896,15.206214,15.27646,15.215416,14.76062,14.460062,14.273346,13.981068
2025-11-10 02:24:31+00:00,2025-11-10 00:00:00+00:00,-7.3150954,-6.5164146,-7.185321,-8.431613,-8.660146,-8.467859,-8.148966,-8.169155,-8.063575,-8.503688,-8.87476,-9.847627,-10.662206,-10.725408,-8.87476,-9.528636,-10.0743685,-10.473628,-12.219248,-13.131035,-13.219849,-13.720889,-13.883585,-14.453211,-15.802433,-16.309412,-15.326943,-15.185053,-14.772429,-14.040227,-12.884002,-12.4163475,-11.833799,-11.660349,-10.42507,-9.759389,-8.942364,-8.20882,-7.172079,-6.310069,-5.545182,-4.7856097,-4.7153816,-4.630506,-5.174178,-4.7708397,-4.7305126,-5.4271927,-4.9421077,-1.832652,-1.6620716,-0.74142617,0.13293743,0.67482746,0.9391257,1.4313172,1.9004555,2.966589,3.5005863,4.0629063,4.2583723,4.4915433,4.986301,4.7710195,4.657092,4.2201405,4.165868,4.3744273,4.5806594,4.796147,5.4521174,6.3061123,6.771848,7.6127076,7.910915,8.02484,8.448818,8.666047,9.038192,9.526874,10.087935,10.770318,11.136758,11.434654,11.590028,12.339647,12.770196,10.389394,6.629325,4.4609995,3.7024236,4.6334543,6.1735187,6.6830683,7.020487,8.414677,9.563886,10.546475,11.3677025,11.770301,11.676685,11.583669,11.3062525,11.437169,11.172933,11.182358,11.948562,12.747546,13.395039,13.851022,14.071883,14.042002,13.776123,13.532738,12.957252,12.579978,12.377181,12.377181,12.921872,13.058735,13.5700655,14.039939,14.761155,15.323471,15.717645,15.76986,15.916581,15.924259,15.8752165,15.826482,15.729616,15.577007,15.462217,15.655646,16.053762,15.962649,15.0862875,13.384985,10.853229,8.195326,5.452399,2.187519,-4.092371,-10.726198,-12.549188,-5.04576,0.6450403,2.7562423,2.7829986,1.7748417,0.98775804,-0.07747069,-1.3383996,-2.3661652,-2.554273,-2.4306812,-2.7984035,-4.000504,-5.63689,-8.338905,-9.96853,-11.593642,-13.442708,-15.087381,-16.056978,-14.783384,-13.520449,-11.573044
2025-11-11 02:15:12+00:00,2025-11-11 00:00:00+00:00,-10.886853,-9.970203,-9.790384,-7.5851345,-7.993569,-8.485314,-7.727156,-8.352977,-9.1979265,-9.154116,-8.747972,-8.057012,-6.838492,-5.988293,-4.823149,-4.4728837,-4.475313,-4.28293,-4.3637547,-4.330088,-4.9827304,-4.42271,-3.6826024,-4.4113193,-4.233383,-3.7967467,-2.770434,-3.1568112,-2.582591,-3.0588784,-2.8134682,-2.5837047,-2.6654363,-2.6280153,-2.4552207,-2.5938349,-2.503426,-2.1825886,-0.7727874,-0.07183088,-0.25647667,0.009652994,0.980194,1.1130614,1.947638,2.4462652,1.9429864,2.8842869,3.8197026,7.814345,8.333504,8.299401,8.500512,8.642429,9.057935,9.141905,9.189491,9.460697,9.251624,9.558774,10.4822035,11.660701,12.382137,12.24258,10.88535,9.683184,9.225932,8.897159,8.829203,9.010209,9.264397,9.889463,9.820061,10.183102,10.445948,10.645157,10.563638,10.229307,10.123266,10.236983,10.303376,10.29497,10.251099,10.676753,11.690191,13.243214,14.114935,14.042002,13.071651,12.648413,12.6961975,12.62466,12.148689,12.237191,12.506166,13.029499,13.026165,12.769741,13.025163,12.978672,12.63917,12.530458,12.36927,12.124445,12.1554785,13.137349,14.412657,15.179428,15.626973,15.661605,15.633872,15.622064,15.435956,15.412927,15.27286,15.228602,15.129439,15.026401,14.551928,14.214985,13.713139,13.537172,13.272682,13.276157,14.096941,15.327257,16.310492,16.362188,16.118887,15.969772,15.964229,16.239613,16.472387,16.61966,16.865108,17.179834,17.622139,17.98368,18.079693,17.651117,17.020998,15.834282,14.331108,12.749817,11.672479,11.577009,12.014468,12.28779,12.081735,11.791102,10.976735,9.746692,8.169871,6.399216,4.5795965,2.6724029,1.5159963,1.2483174,1.9623407,2.612061,3.4214852,4.474256,5.1045866,5.140866,4.715703,4.0910096,4.3651433,4.1676354
2025-11-12 02:17:41+00:00,2025-11-12 00:00:00+00:00,-4.108353,-3.8390934,-2.8078692,-4.532676,-8.11334,-7.9927473,-5.966604,-4.3595104,-3.7952425,-3.337321,-3.5680757,-4.994819,-5.4737535,-4.5194283,-2.7165792,-0.386526,0.66108865,0.7007753,1.0198106,1.9429864,3.4132545,5.0307503,5.4636216,5.524623,5.681274,5.899737,6.445807,6.658061,8.129901,9.189847,9.116201,9.566934,9.98143,10.441977,10.535513,10.24735,10.5590925,10.860737,12.209218,13.41599,13.860817,14.1293745,13.604072,13.082549,12.345083,11.917251,11.132549,11.035024,11.375537,9.459363,9.663755,9.965295,10.136889,10.169366,9.873313,10.090681,10.189599,10.389394,10.771537,11.256938,11.913012,12.226759,12.648157,12.57143,11.846186,11.555225,11.392369,10.91099,10.901282,10.353408,10.569328,10.9535265,11.319898,11.644177,11.758353,12.089119,11.9847355,11.672479,11.677498,11.397627,11.45384,11.262322,11.1971035,11.004918,11.065988,11.768339,12.621433,13.32993,13.675963,13.423412,13.236507,12.732326,12.570711,12.052133,11.658057,12.016168,11.956754,11.874552,11.770301,11.584692,11.583669,11.670236,11.623622,11.734728,12.088686,12.145662,12.529449,12.605359,13.006536,13.275998,13.889915,14.324481,13.762969,12.688296,11.032208,9.57724,7.6844945,6.4578204,5.763883,5.94433,5.62394,5.6292973,6.400391,7.184447,9.097943,11.13155,12.234286,11.816208,10.468559,9.201137,8.263183,7.756963,7.1131635,6.8557377,7.0259194,6.953701,6.1721864,4.5488415,2.7562828,2.052194,1.5764483,2.011525,1.2976322,1.1477065,0.9056627,0.98563933,1.9759811,2.3897452,3.4353342,4.290751,4.256639,2.5493639,-0.087587394,-1.9983443,-2.5226073,-2.31811,-2.3190138,-2.57161,-2.7193832,-2.6605022,-2.2813044,-1.5846593,-0.9924575,-0.5111963,-0.35007447,0.28140676,0.84656876,0.8540329
2025-11-13 02:34:34+00:00,2025-11-13 00:00:00+00:00,5.856196,4.8593807,4.8501053,4.7581882,5.474113,7.120557,8.0209675,9.65432,10.716325,11.177968,11.344914,11.696741,11.476044,11.548419,12.631042,13.271348,13.671011,13.3584795,13.206446,13.127886,12.704752,11.533631,11.310815,10.58846,11.191209,11.712971,13.097887,13.050341,12.955246,12.579501,12.613884,12.394146,12.011638,11.9429455,11.870535,12.003777,12.520063,12.959014,13.879152,14.55159,14.852409,14.737507,14.415354,14.297074,13.513798,13.558735,12.964812,11.895423,12.639076,11.598099,11.707628,11.909507,11.707628,11.631094,11.116878,10.56118,10.420735,10.350105,10.510038,10.8150015,11.09495,11.514135,12.170828,12.66302,12.930145,12.967555,12.553835,11.953363,11.177965,10.596152,10.337383,10.387674,10.210584,10.876538,11.0014105,11.049673,11.0856905,11.3677025,11.1995325,11.352661,11.518173,11.794737,11.906478,12.224664,12.150265,12.165167,12.438143,12.043108,8.850746,5.366619,4.8988647,5.996574,6.7385116,6.6099477,6.796769,6.7733536,6.123119,5.5019183,5.015865,4.7916813,4.236672,3.6344042,3.5680091,3.1667078,2.581226,1.9989467,2.9357011,4.952059,6.2427235,6.6982183,7.158971,7.0872355,6.711317,7.0384517,6.409187,6.124091,5.2262683,4.895315,4.6178427,4.5448375,4.071386,3.6267967,3.1049204,3.494996,4.8832755,6.259174,6.619336,6.7856197,6.994974,6.414023,4.5646577,2.0598502,0.13852696,-0.8219297,-0.8224652,-0.6895893,0.078549825,1.1183387,1.9759811,2.5828815,2.769428,3.0714421,3.5111384,4.1921,4.09493,4.2637644,4.1218123,4.409324,4.3176236,4.409324,5.371307,7.977693,10.755542,12.626963,13.016054,12.994148,12.994148,13.4137125,14.150858,14.814734,15.458219,16.20068,16.893623,17.487558,17.982492,18.22996,18.424257,18.362686
2025-11-14 02:18:35+00:00,2025-11-14 00:00:00+00:00,12.06667,11.541457,13.764243,13.027232,13.134839,12.509223,11.928448,12.769345,13.379752,13.117954,12.298523,12.3712435,12.608069,12.868195,13.3324995,12.6804695,11.424828,10.553072,9.6426,9.395544,8.732712,8.641915,9.314825,9.01758,10.453877,12.5734005,13.44896,13.643432,13.100004,12.940044,12.133363,11.9932375,11.881443,12.1509495,12.470967,12.394146,12.06246,11.95563,12.394146,12.77242,12.606383,12.023537,11.402069,10.92373,10.298502,10.13787,9.320136,8.264039,8.506718,10.152402,10.819402,11.177404,11.068843,11.137291,11.0742035,11.126116,11.135248,11.292802,11.509984,11.88245,11.68214,11.450874,11.142592,10.651102,10.839044,10.819402,10.673258,10.634657,10.2449465,10.422116,10.1120615,10.605011,10.353758,10.537022,10.899691,11.099873,11.209201,10.711925,10.011683,8.573932,7.1322885,6.2838264,5.1708603,4.114165,3.4180276,3.2826216,4.4107494,5.766327,6.2593637,6.224192,5.8175235,5.496696,4.5228834,3.0173466,3.2504768,2.9841466,2.6621742,2.4242013,2.3386512,2.2009463,2.0967636,1.0553385,2.625375,5.1284175,6.242267,6.8949895,4.957466,2.2020211,1.3152813,0.5291244,-0.08309302,0.14989524,1.0505135,2.1229339,2.7911234,3.0614214,3.811589,4.2445583,4.471325,4.7071247,5.6521406,8.22216,10.237821,11.412948,12.034025,12.48128,13.027914,13.524849,14.071473,14.518702,14.816854,15.17851,15.377529,15.526791,15.676051,15.825312,16.024328,16.059132,16.257889,16.456652,16.770622,16.720871,16.322847,15.937712,15.489364,15.290102,15.190466,15.140649,15.090833,15.250473,15.250473,15.090833,15.140649,14.979492,15.090833,15.200597,15.190466,15.049727,14.695591,14.3021965,14.011353,13.367946,12.322367,10.538135,8.3864355,6.1721,4.504077,3.4012296
