forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:28+00:00,2025-11-05 00:00:00+00:00,15.111424,13.493999,21.38897,25.006397,28.521906,31.698402,29.539747,26.27753,23.863409,22.734219,21.2522,17.309973,22.553936,24.087738,24.798223,25.318008,22.657131,14.654254,8.39657,2.3051248,5.154415,12.661564,15.509274,11.525623,11.090103,11.966953,10.390226,9.085988,9.290511,13.104198,11.440979,11.91812,11.043261,12.6462,10.086427,10.30883,12.682018,15.379206,15.484185,18.218275,17.782686,20.140705,19.66536,19.164717,19.734436,19.881649,18.79255,16.516901,11.177405,25.699057,32.789658,34.711544,36.748222,36.44722,34.62369,33.190357,30.563978,30.563978,29.28418,28.146843,26.282465,24.063513,22.963936,20.94507,26.208395,32.76198,32.88635,32.561596,31.212229,29.784426,26.836306,22.065973,16.93531,15.546833,14.471821,13.493999,13.276144,12.641076,11.298495,9.422101,9.19939,9.107359,8.557102,8.766573,9.449572,8.78872,8.891344,12.783802,14.044615,15.39184,16.055353,15.463246,12.682018,11.113451,9.114471,10.440001,16.434305,17.782686,36.08091,31.581665,28.820242,28.883131,21.659918,24.482647,34.404022,36.997772,36.40275,35.63818,34.162083,32.686733,33.449017,38.70628,35.80688,34.268143,33.857227,31.722921,29.723444,26.903828,23.313995,19.211996,15.629971,13.207634,11.631956,10.464797,9.983106,9.83268,9.360001,7.24486,4.8433046,3.219938,2.7416782,2.5455842,1.9386592,1.4399999,4.6938257,7.42159,8.913181,9.686609,10.587918,11.609651,13.049689,14.003029,14.618837,15.124284,15.905319,16.75064,17.518356,18.584509,20.598795,23.042812,24.50381,24.216522,23.319553,22.027763,20.617662,18.782204,18.161278,19.592731,22.862123,25.318008,26.61323,27.238941,27.532352,28.36471,29.035288,28.639803,25.764534,22.7057
2025-11-06 02:24:23+00:00,2025-11-06 00:00:00+00:00,8.714677,9.220499,9.605998,10.464798,11.212135,11.966954,10.799999,11.013882,11.4862,15.124284,16.75064,15.978484,12.181625,6.9527545,4.0249224,11.525623,9.1641035,7.6367526,12.9249525,16.870138,17.388409,18.504139,19.008545,14.480773,12.496719,11.165805,12.10157,19.469976,22.691425,25.922499,26.478973,21.479666,19.9954,18.214718,14.145756,10.948973,5.692099,11.440978,8.161764,17.373497,24.651457,26.932714,26.87491,25.02971,22.97522,21.068459,20.240198,13.896187,11.246759,13.627795,12.522619,11.440979,11.503113,11.525623,11.966954,9.220499,7.729527,6.638072,6.849467,8.557102,9.178235,5.8048253,8.647496,11.090103,11.753877,13.276144,13.896187,13.854155,13.797912,18.899143,26.111792,28.910038,35.09769,35.936943,36.290424,31.079071,26.208395,17.902534,13.684735,17.227419,30.962095,31.682047,33.549606,32.85678,34.651752,33.908863,33.549606,37.8,38.175278,37.45557,36.735878,37.44,34.56,33.487743,32.048088,26.642431,19.443333,14.404499,12.959999,12.599999,10.805999,10.086427,9.746631,9.826088,9.3669195,8.287822,6.519877,6.489992,6.28713,4.5820518,4.8965297,4.8433046,3.4152596,5.2416787,7.42159,8.714677,10.009036,11.113451,12.015589,13.849476,15.827721,16.73516,17.309973,18.430452,21.03152,24.850431,27.36947,28.137634,28.227306,27.595823,26.168804,24.74329,24.087738,25.849905,29.275326,31.99142,33.497414,34.56187,35.031162,35.69813,36.367126,35.406506,31.786186,27.77838,25.982424,28.162956,32.048088,34.567497,33.528355,31.093666,28.66694,26.478973,24.57511,23.084955,21.9718,21.24,21.24305,22.3229,23.803596,24.933735,24.609364,23.177402,22.461807,22.81957,23.499481,23.0653,20.211363,16.418526
2025-11-07 02:21:59+00:00,2025-11-07 00:00:00+00:00,10.30883,13.551501,25.537172,26.693459,31.845251,33.603645,31.68818,30.77105,25.323128,20.545246,22.734219,15.778516,8.587338,8.707238,15.137133,27.210379,29.957972,27.438046,26.282465,24.64094,22.45315,23.266697,21.485697,14.869351,10.464798,10.805999,10.495713,10.390226,8.557102,6.638072,3.2599385,2.2768397,5.904439,12.144331,12.758432,14.081477,12.7279215,10.990322,4.1046314,18.448023,19.813087,19.559633,19.0392,18.359999,18.171976,15.716793,18.556595,12.10157,14.869351,33.75756,35.1862,31.559088,28.551426,25.417631,19.35314,16.946787,26.649727,27.059933,28.082308,27.729347,25.2924,33.91269,35.821354,37.45557,34.247337,33.839996,33.887836,35.369884,35.66908,34.2,32.76198,27.729347,25.922499,22.366402,20.418695,15.745627,12.849528,11.874544,11.792404,11.620809,10.587917,10.636766,7.628263,6.162207,5.8048253,4.8433046,4.8965297,7.289445,4.829907,3.96,0.35999998,4.6800003,8.209263,8.4963045,9.449572,10.1376915,14.417988,16.343367,17.651016,21.915693,24.336637,26.795223,28.082308,28.1169,29.339449,29.339449,30.302078,28.467329,28.241076,27.757376,28.112288,35.309372,36.26006,36.26006,36.55906,37.038036,36.73588,34.895866,29.275326,22.42427,19.523155,22.42427,27.729347,31.328272,31.035257,29.024128,26.987997,26.220753,25.364037,24.546085,23.051247,21.602999,20.532627,20.883104,22.104116,22.668568,22.027763,20.617662,19.48661,19.416653,19.245697,18.751125,16.65754,14.707222,14.480773,14.84318,15.349684,15.696165,15.379206,15.2947035,15.175612,14.986553,14.973577,14.512064,13.53236,12.57426,12.181625,13.358861,14.973576,16.65754,17.654688,18.733839,19.134262,19.469976,19.08,18.416384,17.026896,15.617529
2025-11-08 02:12:29+00:00,2025-11-08 00:00:00+00:00,8.311245,10.805999,9.826088,10.464797,10.44,10.990322,10.931203,12.371645,12.57426,13.979871,14.118243,15.315873,14.578888,16.263872,13.551501,19.930477,22.3229,20.63023,21.413193,21.611998,24.472057,26.562046,35.85932,29.957968,27.059933,22.033648,19.959719,19.523155,24.648829,24.693481,30.633865,28.357857,25.325686,22.505037,23.219301,19.770523,15.629971,16.808569,28.551426,34.98674,33.933697,33.857227,37.827415,36.23861,37.84283,36.813408,34.162083,32.760002,26.042212,19.469975,14.84318,11.770403,9.826088,7.42159,6.489992,5.937272,5.8048253,5.5887027,7.9932976,8.350138,9.36,9.531505,8.225035,10.966713,8.891344,8.311245,7.2805495,6.5693827,4.6938257,3.5455887,3.5455887,3.8268526,8.942214,14.168641,15.379206,17.25373,19.0392,22.45315,24.693481,27.009598,28.496904,28.521906,29.339449,29.784426,29.533169,28.948118,30.222849,35.97479,38.383495,37.39324,37.363766,37.038036,37.064266,35.785156,30.29566,23.749088,18.175545,23.143827,30.599998,30.633865,29.179993,26.437336,22.782625,23.084955,21.647945,18.175545,18.289274,16.039202,16.23596,15.496736,10.799999,9.793058,6.28713,3.671294,8.825508,11.792404,13.441071,14.799459,14.799459,14.081478,13.722565,13.75558,14.154915,14.154915,13.722565,13.32,12.620554,11.879999,11.570515,11.304229,11.304229,11.928989,11.879999,12.015589,12.303366,12.4811535,12.096214,12.9249525,14.764389,16.394829,17.651016,18.079027,17.106628,15.484185,14.618837,14.84318,15.629971,16.24394,17.414476,19.08,20.598795,21.707731,22.42427,22.104116,20.418695,17.727943,16.394829,17.555307,20.08916,22.45315,23.933908,25.20257,25.711662,26.230639,25.772078,24.408424,20.63023,16.418526
2025-11-09 02:33:56+00:00,2025-11-09 00:00:00+00:00,27.117346,19.469976,17.581125,22.81957,16.09969,14.77755,13.684735,21.26744,26.052162,23.893261,20.957443,18.733839,19.852295,16.65754,23.828083,31.328272,31.035257,30.903435,33.26252,33.46645,32.839024,33.50128,31.845251,29.162226,21.24305,14.417988,17.935081,13.661038,11.841756,9.793058,8.759178,9.449572,9.904906,9.19939,8.14587,9.360001,8.557102,8.891344,8.049845,11.928989,14.264361,16.62249,16.267857,14.81259,13.363711,11.792404,9.387651,4.5820518,2.1897945,12.181625,15.042659,16.981165,19.829433,24.087738,25.683926,28.082308,29.339449,29.381382,29.888672,29.947151,30.147717,30.652895,30.563978,34.76377,35.902668,36.233242,36.386723,36.55906,36.26006,37.038036,31.450073,29.250967,24.546085,26.727423,32.138947,32.76198,32.112724,29.660152,26.079508,20.172853,17.414476,19.35314,21.605999,21.897945,17.651016,15.281989,15.893093,17.643673,15.856356,14.512064,14.145756,14.05845,14.05845,15.596767,15.459054,12.181624,14.84318,15.509274,15.646544,14.48972,14.4,14.336861,15.408671,16.375053,15.856354,16.75064,15.937878,15.463244,13.75558,14.417988,13.324863,17.727943,17.25373,18.193361,18.847641,19.966211,21.407139,21.749481,19.083395,16.62249,17.10284,19.813087,23.83896,28.001427,30.735231,32.47192,33.510952,33.127823,32.04202,30.978832,30.652895,30.317043,30.735231,32.24161,34.518726,36.102455,36.997772,37.564407,37.99322,38.6208,38.70628,38.491394,37.16553,35.281837,34.292713,34.353127,34.746994,35.397354,36.388508,37.08699,37.50225,36.47388,34.38895,32.59939,31.093666,29.914679,29.179993,29.239891,30.141266,31.072817,31.70658,31.956972,32.142982,32.396,32.219494,32.26572,32.831135,33.933697
2025-11-10 02:24:31+00:00,2025-11-10 00:00:00+00:00,19.110542,14.044615,11.542478,9.114471,11.885453,10.1376915,8.905908,9.339208,8.707237,8.891344,9.114471,8.825508,6.519877,6.297428,5.3999996,11.720751,14.764389,15.226764,15.745627,15.905319,13.75558,10.948973,7.208994,2.6208394,4.896529,10.1887,10.739832,11.119281,13.281023,16.418526,18.175545,19.469976,22.725668,25.509243,25.346148,26.200977,25.582806,25.323128,27.553526,33.043606,33.092598,33.092598,34.45672,34.177254,34.94968,33.493546,29.949316,22.33161,20.06334,31.810638,33.481937,32.91983,30.36403,26.6327,22.26477,22.505037,23.177402,21.647945,18.057508,15.484185,12.605142,11.212135,8.209263,7.289445,8.766573,11.525623,12.641076,12.55879,12.24,11.681987,11.4862,12.015589,14.764389,15.745627,15.111424,14.934577,15.2947035,15.141414,14.386494,14.529915,14.529915,14.904173,15.379206,15.94601,17.782688,18.35647,21.288757,25.417631,24.472057,23.710857,23.532547,24.640942,24.675106,26.183659,24.923338,22.366402,21.129883,24.717085,29.09103,32.283787,33.549606,36.016193,35.50155,34.569374,33.145424,33.55733,33.27031,31.427404,30.413074,29.301878,30.018473,33.818928,35.900864,36.691753,36.94168,37.99322,38.592266,39.04631,37.84283,36.0,35.296524,36.388508,38.894997,40.694332,42.158443,43.6551,44.039345,42.53488,39.966484,37.806854,36.04497,34.679794,34.03095,35.397354,37.123665,37.254345,34.83639,34.131718,35.864746,37.249126,38.69623,40.192837,41.305977,41.251034,40.186382,38.202427,36.457886,35.98559,35.770668,35.496075,34.20568,30.817343,26.576681,23.452555,20.774214,18.72,18.014393,19.602652,23.806318,28.357855,31.853388,35.08292,37.25261,38.23803,37.72965,35.188046,29.03752,20.87379
2025-11-11 02:15:12+00:00,2025-11-11 00:00:00+00:00,5.692099,11.269782,12.413477,15.463246,16.73516,18.64369,22.782625,27.0,28.58545,27.908709,27.343414,27.288855,25.346148,24.975283,27.09822,32.59939,31.950888,31.452133,32.36398,33.75948,34.322937,34.322937,31.559086,23.18579,16.327497,18.089775,23.0653,25.630886,23.491207,20.730501,17.917007,15.941944,16.610792,16.299694,14.693999,11.4862,12.768586,11.013882,9.9571085,7.42159,5.4477882,2.1897945,7.072878,8.534353,11.200571,12.261157,11.753877,10.182337,12.4811535,15.484185,15.7908325,15.7908325,15.9134655,15.941944,16.394829,17.992796,19.809813,22.702845,21.707731,23.042812,21.96,22.33161,21.707731,25.671307,26.944744,25.925,25.294964,25.294964,26.299719,26.309572,24.448214,21.24,17.555305,18.919704,24.72495,27.343414,29.627363,31.328272,30.293522,27.77838,25.942488,26.700743,28.137634,27.51116,28.162956,28.943642,29.122198,31.89608,31.293089,30.121912,29.827904,29.714724,29.620802,29.871325,27.834309,24.57511,24.288662,24.884306,29.175552,30.903435,29.986076,30.317043,30.811037,31.845251,31.682047,28.820242,26.28,25.006397,24.693481,24.648829,24.967499,29.528778,28.47643,30.54701,30.855171,29.381382,26.758923,24.50381,22.3229,20.598795,18.94024,17.026896,15.256526,15.256526,19.06301,25.60053,30.239998,31.32207,30.239998,28.802248,27.009598,24.881702,23.14103,22.668568,23.143827,24.379204,27.402597,32.431984,35.64727,36.36,35.346058,32.44996,25.922499,20.808498,20.188908,17.0763,13.891522,13.910169,14.561099,15.629971,17.193533,19.130875,21.194187,22.881958,23.966375,25.72174,27.438046,28.467327,28.657898,29.07989,29.869154,30.54701,30.652895,29.522196,27.0024,23.40277,17.28,10.105681
2025-11-12 02:17:41+00:00,2025-11-12 00:00:00+00:00,9.107359,15.937878,23.97989,26.28986,25.60053,25.984917,22.79684,19.930477,20.056877,18.58451,14.332341,15.517629,16.62249,15.546833,14.154915,14.145756,8.587338,3.2399998,8.891343,12.599998,14.021525,13.830749,14.4,10.799999,12.229406,12.229406,12.313894,11.988594,12.682018,13.37825,12.522619,16.327497,16.766108,17.114204,19.245697,18.72346,17.731598,15.986595,17.373497,20.724247,20.858265,20.150354,21.479666,24.149532,26.042212,27.475807,27.117346,20.598795,19.416653,19.011953,24.18707,27.757376,29.301878,31.682047,31.780067,29.070974,26.700743,26.727423,26.27753,26.576681,26.836306,28.001427,28.467329,31.550869,31.404713,29.47826,28.533264,27.698954,27.70831,27.748037,26.64,23.623243,19.09358,21.077686,28.266306,31.338614,32.85678,31.012281,30.222849,27.345785,23.34455,21.566975,20.617662,20.774214,21.03152,22.19773,22.253124,26.141552,26.674032,26.758923,27.971327,28.185955,28.174458,28.84047,28.019936,24.884306,20.240196,18.03237,18.057508,21.03152,23.933907,26.121714,26.200977,24.280659,20.730501,18.692286,17.902534,21.485697,23.675303,24.149532,24.014996,27.416782,27.887802,27.103003,26.596178,26.250393,25.741888,24.248611,21.26744,18.11841,17.106628,17.698677,18.416384,19.602652,20.969805,22.427162,23.068108,21.900904,19.803272,18.043148,16.981165,16.279802,16.055355,16.992609,19.486609,21.9718,24.18707,25.849905,27.25559,28.387545,29.601109,28.551426,25.233406,20.431387,14.264361,7.289444,9.422101,16.267857,20.61766,22.930048,24.36325,24.248613,23.34455,22.104116,21.046917,19.652176,19.164719,20.211363,21.647945,22.366402,21.647945,20.188908,18.751125,18.391735,18.03237,17.339897,16.09969,14.458382
2025-11-13 02:34:34+00:00,2025-11-13 00:00:00+00:00,7.9932966,8.669949,11.726277,14.4,14.20062,15.379206,13.513193,13.584932,12.783802,12.904882,16.73516,17.163355,16.595179,15.84409,18.72,20.617662,19.386591,19.602652,19.523155,20.532627,23.97989,25.364037,25.006397,19.914217,14.372974,16.73516,20.037485,23.087763,24.442911,26.168804,25.764534,24.50381,24.122683,24.522316,24.923338,24.288662,23.510508,22.963936,25.099514,28.385262,28.277763,27.748037,27.66384,28.291512,29.337238,29.655787,27.820337,21.38897,18.014393,22.380884,27.551172,30.96837,32.809414,32.32992,30.735231,27.44749,25.071096,24.1388,22.450264,21.398056,21.188072,22.314192,23.157824,27.416782,28.58545,29.07989,29.69727,29.651413,29.47826,29.62518,27.438046,23.441502,20.532627,24.122683,28.08923,30.018473,32.6411,30.652895,27.44749,22.73707,20.140705,20.49156,20.724247,18.899143,16.62249,14.118243,13.32,18.328207,19.08,19.353138,18.448023,18.0036,17.581125,16.923828,16.263872,11.27553,9.826088,8.287822,4.1046314,1.1384199,8.209263,10.495713,11.304229,11.620809,12.313893,13.584932,16.418526,16.039202,14.291592,14.618837,14.336861,20.188908,22.206486,24.18707,25.071096,27.345785,29.723444,29.830078,25.277023,18.556595,13.207634,12.0694,12.864649,11.792404,7.172949,8.311245,13.1041975,14.458382,14.003029,13.5515,13.450708,13.708391,13.708391,13.896187,14.24163,14.33234,13.217443,11.592894,10.195057,9.178235,8.209263,7.42159,7.2,8.209263,9.779817,11.212135,12.7279215,13.493999,13.039754,11.525623,10.823973,11.367109,12.522619,12.72283,10.97262,9.659814,9.47012,7.771331,5.991594,6.489992,8.891343,12.096214,14.84318,16.08761,16.563911,17.10284,17.873556,18.837322
2025-11-14 02:18:35+00:00,2025-11-14 00:00:00+00:00,15.175612,16.42247,19.592731,22.61419,26.82906,28.410364,27.804028,29.88,28.856194,26.121714,25.567604,25.068514,25.630886,27.238941,28.054604,29.882166,29.957968,28.296091,26.785547,25.1614,24.881702,24.315327,24.014996,17.654688,19.164719,25.006397,27.397867,27.009598,27.117346,26.476522,23.795427,24.162947,22.104116,20.188908,18.043148,17.10284,15.876775,16.179987,16.992609,25.305208,25.77962,25.1614,25.305208,24.442913,23.166216,22.86496,23.540806,16.055353,17.015474,20.188908,26.302181,26.758923,25.050413,24.216522,20.275385,16.73516,16.854767,15.844089,14.182355,12.10157,9.686609,7.386582,5.991594,7.5599995,9.178235,11.367109,9.0645685,8.669949,7.628263,6.9153743,7.491114,9.178235,9.983106,8.287822,7.2,5.00128,3.6179552,1.8,7.072878,11.440978,12.864649,12.371645,14.118243,15.124284,15.03835,14.386494,14.20062,17.31746,21.046917,22.805367,23.933907,28.337282,31.404713,31.104082,25.630886,17.81909,13.570615,15.546833,15.856354,13.527572,12.979984,12.661564,13.358861,13.276144,13.849476,14.05845,14.408997,14.241629,12.9249525,12.43434,12.979984,15.876775,14.982228,13.608762,11.966954,10.315115,9.779817,10.495713,11.183201,11.659777,12.904882,15.782622,21.434364,23.993399,21.38897,21.188072,24.717085,23.540806,19.969458,18.089775,18.35647,19.296135,20.26899,20.969807,21.67786,22.97522,25.376808,28.337282,30.121912,28.84047,26.250393,24.490585,24.94413,26.901417,28.036118,28.241076,28.241076,26.052162,20.345573,12.522619,7.729527,7.5685663,9.793058,10.931203,10.1887,9.793059,10.739833,11.879999,13.276144,14.84318,17.595861,20.523157,21.897945,22.065973,23.319553,24.162945,21.38897,16.299694
