forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:56+00:00,2025-11-05 00:00:00+00:00,55.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.75,233.0,434.25,595.25,698.75,737.25,707.0,602.0,440.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,244.0,442.0,603.0,693.0,725.0,690.0,589.0,428.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,215.0,411.0,567.0,668.0,707.0,678.0,582.0,428.0,234.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,210.0,405.0,563.0,665.0,703.0,672.0,576.0,422.0,229.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,204.0,398.0,557.0,660.0,706.0,678.0,584.0,431.0,247.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,186.0,350.0,519.0,649.0,701.0,677.0,585.0,431.0,245.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,180.0,341.0,509.0,639.0,691.0,669.0,577.0,425.0,241.0
2025-11-06 02:23:36+00:00,2025-11-06 00:00:00+00:00,54.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,225.75,427.0,588.0,692.0,732.0,698.0,595.0,435.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,235.0,426.0,582.0,684.0,717.0,680.0,579.0,417.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,210.0,405.0,562.0,664.0,701.0,670.0,573.0,420.0,228.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,208.0,403.0,562.0,666.0,704.0,674.0,577.0,423.0,229.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,206.0,403.0,562.0,666.0,712.0,683.0,586.0,432.0,246.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,182.0,344.0,512.0,640.0,692.0,669.0,577.0,425.0,240.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,178.0,335.0,494.0,608.0,638.0,592.0,497.0,366.0,210.0
2025-11-07 02:21:16+00:00,2025-11-07 00:00:00+00:00,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,219.25,415.75,573.25,675.0,708.0,675.0,574.0,411.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,235.0,429.0,584.0,682.0,716.0,681.0,578.0,416.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,208.0,404.0,562.0,664.0,702.0,671.0,574.0,421.0,228.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,203.0,398.0,556.0,659.0,697.0,666.0,570.0,418.0,225.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,202.0,397.0,554.0,658.0,704.0,675.0,580.0,426.0,241.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,178.0,338.0,505.0,633.0,687.0,666.0,573.0,416.0,230.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,169.0,323.0,484.0,609.0,665.0,650.0,565.0,416.0,234.0
2025-11-08 02:11:53+00:00,2025-11-08 00:00:00+00:00,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,215.5,414.5,574.0,675.0,707.0,671.0,567.0,405.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,233.0,428.0,586.0,688.0,723.0,688.0,587.0,424.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,203.0,398.0,555.0,657.0,695.0,664.0,567.0,415.0,223.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,200.0,393.0,550.0,653.0,691.0,660.0,564.0,412.0,221.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,198.0,392.0,549.0,651.0,696.0,668.0,573.0,420.0,237.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,171.0,329.0,494.0,622.0,675.0,654.0,564.0,415.0,233.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,167.0,324.0,491.0,620.0,675.0,654.0,565.0,416.0,234.0
2025-11-09 02:33:25+00:00,2025-11-09 00:00:00+00:00,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,216.0,415.0,576.0,680.5,719.25,685.0,583.0,421.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,229.0,423.0,579.0,680.0,714.0,679.0,578.0,417.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,201.0,396.0,554.0,657.0,694.0,664.0,567.0,414.0,222.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,198.0,394.0,552.0,654.0,692.0,660.0,564.0,411.0,218.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,160.0,351.0,528.0,586.0,650.0,647.0,570.0,421.0,237.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,152.0,305.0,477.0,613.0,667.0,643.0,552.0,403.0,224.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,103.0,233.0,405.0,533.0,524.0,424.0,330.0,275.0,191.0
2025-11-10 02:23:44+00:00,2025-11-10 00:00:00+00:00,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,210.5,408.75,568.75,673.25,712.0,677.0,575.0,414.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,226.0,420.0,576.0,678.0,714.0,680.0,577.0,416.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,199.0,394.0,552.0,654.0,692.0,661.0,543.0,333.0,162.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,195.0,390.0,549.0,652.0,692.0,661.0,563.0,409.0,217.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,182.0,371.0,526.0,626.0,671.0,643.0,550.0,401.0,224.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,143.0,295.0,472.0,616.0,675.0,652.0,563.0,417.0,236.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,165.0,325.0,493.0,623.0,676.0,654.0,563.0,412.0,229.0
2025-11-11 02:14:40+00:00,2025-11-11 00:00:00+00:00,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,210.25,409.0,569.75,674.0,713.0,677.0,576.0,414.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,223.0,417.0,575.0,673.0,688.0,652.0,456.0,339.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,177.0,357.0,491.0,583.0,656.0,665.0,569.0,363.0,180.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,185.0,373.0,526.0,625.0,662.0,632.0,538.0,391.0,205.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,176.0,362.0,515.0,617.0,665.0,640.0,546.0,391.0,211.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,151.0,211.0,180.0,145.0,195.0,285.0,327.0,294.0,199.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,159.0,314.0,479.0,608.0,662.0,642.0,554.0,406.0,226.0
2025-11-12 02:17:06+00:00,2025-11-12 00:00:00+00:00,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,208.25,407.25,568.25,672.0,710.0,675.0,573.0,412.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,223.0,417.0,575.0,676.0,708.0,671.0,571.0,410.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,184.0,373.0,526.0,625.0,661.0,624.0,471.0,386.0,205.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,177.0,364.0,517.0,617.0,654.0,625.0,532.0,385.0,201.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,174.0,359.0,511.0,609.0,655.0,629.0,537.0,387.0,211.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,154.0,307.0,472.0,602.0,657.0,639.0,551.0,404.0,224.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,149.0,295.0,446.0,560.0,601.0,572.0,479.0,333.0,171.0
2025-11-13 02:34:02+00:00,2025-11-13 00:00:00+00:00,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,204.0,402.75,564.75,670.5,708.75,676.0,576.0,413.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,211.0,401.0,554.0,652.0,684.0,619.0,552.0,395.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,178.0,364.0,517.0,616.0,653.0,624.0,531.0,385.0,201.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,163.0,347.0,514.0,614.0,651.0,623.0,531.0,384.0,199.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,173.0,364.0,521.0,622.0,669.0,641.0,548.0,398.0,220.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,113.0,229.0,355.0,454.0,492.0,474.0,412.0,315.0,186.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,99.0,212.0,345.0,446.0,475.0,436.0,338.0,193.0,65.0
2025-11-14 02:17:58+00:00,2025-11-14 00:00:00+00:00,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,198.0,394.0,552.75,655.25,692.0,657.0,556.0,398.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,204.0,391.0,542.0,640.0,669.0,631.0,471.0,386.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,147.0,363.0,520.0,619.0,654.0,625.0,533.0,385.0,201.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,176.0,367.0,523.0,624.0,661.0,631.0,538.0,390.0,203.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,155.0,353.0,485.0,568.0,587.0,529.0,422.0,283.0,141.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,145.0,292.0,449.0,568.0,608.0,574.0,479.0,332.0,171.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,148.0,302.0,467.0,598.0,656.0,638.0,548.0,392.0,210.0
