forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:52+00:00,2025-11-05 00:00:00+00:00,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,232.5,426.25,579.0,675.0,706.25,666.0,560.0,398.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,237.0,426.0,577.0,671.0,699.0,662.0,560.0,397.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,214.0,405.0,557.0,653.0,685.0,651.0,552.0,398.0,207.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,206.0,393.0,543.0,639.0,672.0,640.0,542.0,390.0,201.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,205.0,396.0,548.0,645.0,686.0,654.0,556.0,402.0,219.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,184.0,342.0,503.0,624.0,671.0,645.0,552.0,399.0,217.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,179.0,337.0,498.0,620.0,668.0,642.0,549.0,396.0,214.0
2025-11-06 02:23:29+00:00,2025-11-06 00:00:00+00:00,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,220.25,414.0,568.75,667.75,700.0,661.0,557.0,395.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,233.0,422.0,571.0,664.0,692.0,654.0,549.0,388.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,209.0,401.0,554.0,649.0,681.0,647.0,548.0,394.0,203.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,207.0,398.0,550.0,648.0,680.0,645.0,546.0,392.0,202.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,203.0,393.0,545.0,641.0,681.0,649.0,552.0,398.0,217.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,179.0,337.0,498.0,620.0,668.0,642.0,549.0,396.0,214.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,170.0,304.0,422.0,509.0,559.0,559.0,483.0,331.0,161.0
2025-11-07 02:21:09+00:00,2025-11-07 00:00:00+00:00,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,217.0,411.25,566.75,666.0,698.0,659.0,553.0,392.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,224.0,411.0,557.0,649.0,685.0,646.0,520.0,383.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,205.0,395.0,548.0,644.0,678.0,643.0,545.0,391.0,201.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,200.0,388.0,539.0,635.0,667.0,633.0,536.0,384.0,196.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,198.0,367.0,462.0,613.0,658.0,637.0,548.0,396.0,214.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,175.0,331.0,491.0,612.0,657.0,629.0,535.0,386.0,208.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,168.0,307.0,434.0,528.0,576.0,570.0,500.0,367.0,201.0
2025-11-08 02:11:48+00:00,2025-11-08 00:00:00+00:00,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,215.25,410.25,563.5,661.0,694.0,655.0,550.0,389.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,230.0,419.0,570.0,664.0,693.0,654.0,551.0,389.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,198.0,385.0,535.0,631.0,664.0,630.0,533.0,382.0,195.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,197.0,386.0,538.0,634.0,667.0,632.0,534.0,383.0,194.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,194.0,381.0,530.0,626.0,666.0,634.0,538.0,386.0,207.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,164.0,315.0,473.0,594.0,642.0,618.0,527.0,379.0,202.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,164.0,317.0,476.0,598.0,647.0,624.0,534.0,385.0,205.0
2025-11-09 02:33:21+00:00,2025-11-09 00:00:00+00:00,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,210.5,402.5,556.25,654.75,689.0,649.0,545.0,384.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,223.0,411.0,559.0,652.0,681.0,643.0,540.0,380.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,198.0,387.0,540.0,638.0,671.0,637.0,538.0,386.0,196.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,195.0,383.0,534.0,625.0,624.0,526.0,449.0,377.0,151.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,182.0,366.0,525.0,622.0,663.0,630.0,533.0,382.0,204.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,157.0,293.0,423.0,527.0,588.0,595.0,526.0,380.0,201.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,60.0,168.0,336.0,466.0,453.0,346.0,251.0,203.0,135.0
2025-11-10 02:23:37+00:00,2025-11-10 00:00:00+00:00,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,203.25,393.5,546.25,643.5,675.0,637.0,533.0,374.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,222.0,411.0,561.0,655.0,685.0,648.0,543.0,379.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,194.0,382.0,533.0,630.0,663.0,628.0,530.0,335.0,172.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,148.0,346.0,519.0,618.0,659.0,627.0,530.0,378.0,190.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,185.0,367.0,513.0,606.0,644.0,613.0,519.0,371.0,197.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,184.0,376.0,552.0,635.0,628.0,544.0,392.0,207.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,165.0,322.0,486.0,610.0,659.0,634.0,540.0,387.0,205.0
2025-11-11 02:14:35+00:00,2025-11-11 00:00:00+00:00,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,206.5,399.75,554.0,652.5,686.0,647.0,543.0,356.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,218.0,377.0,535.0,621.0,637.0,578.0,535.0,323.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,184.0,338.0,436.0,553.0,610.0,624.0,526.0,376.0,158.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,185.0,381.0,534.0,629.0,660.0,625.0,520.0,367.0,181.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,102.0,83.0,147.0,389.0,481.0,540.0,507.0,371.0,193.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,148.0,246.0,299.0,333.0,378.0,410.0,391.0,311.0,183.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,151.0,300.0,459.0,582.0,634.0,613.0,525.0,376.0,198.0
2025-11-12 02:17:01+00:00,2025-11-12 00:00:00+00:00,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,200.5,391.5,544.25,642.25,674.0,636.0,533.0,373.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,213.0,335.0,546.0,644.0,678.0,643.0,529.0,373.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,154.0,346.0,531.0,628.0,657.0,620.0,521.0,371.0,185.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,163.0,351.0,503.0,598.0,631.0,600.0,506.0,359.0,178.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,173.0,354.0,497.0,589.0,629.0,600.0,509.0,363.0,192.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,156.0,307.0,465.0,586.0,634.0,609.0,519.0,371.0,195.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,140.0,282.0,436.0,557.0,612.0,597.0,502.0,332.0,152.0
2025-11-13 02:33:57+00:00,2025-11-13 00:00:00+00:00,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,196.25,386.75,539.0,629.25,665.25,630.0,526.0,367.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,184.0,321.0,533.0,628.0,664.0,598.0,459.0,335.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,176.0,357.0,504.0,598.0,630.0,597.0,503.0,356.0,176.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,173.0,357.0,502.0,593.0,626.0,594.0,498.0,353.0,172.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,173.0,356.0,505.0,603.0,644.0,613.0,519.0,370.0,194.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,130.0,264.0,411.0,520.0,547.0,503.0,409.0,279.0,138.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,99.0,198.0,300.0,380.0,415.0,404.0,344.0,238.0,118.0
2025-11-14 02:17:52+00:00,2025-11-14 00:00:00+00:00,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,196.5,380.25,542.0,644.75,618.0,638.0,533.0,257.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,200.0,380.0,524.0,614.0,642.0,607.0,507.0,352.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,135.0,278.0,415.0,563.0,640.0,602.0,504.0,355.0,172.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,173.0,359.0,508.0,604.0,637.0,604.0,509.0,360.0,176.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,124.0,253.0,400.0,473.0,492.0,448.0,363.0,251.0,128.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,78.0,108.0,158.0,264.0,376.0,401.0,311.0,168.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,148.0,302.0,468.0,597.0,647.0,620.0,527.0,375.0,195.0
