forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:43:23+00:00,2025-11-05 00:00:00+00:00,5.0142193,6.519877,9.107359,9.0,9.72,11.966953,11.525623,10.1376915,8.089993,6.792466,5.8603754,4.802999,4.2136917,5.0911684,3.9763298,9.107359,11.753877,12.287555,10.990322,8.39657,9.255571,8.707238,7.928178,4.802999,7.172949,7.24486,6.989936,7.628263,8.350138,7.42159,6.9899354,6.379216,5.4119864,4.1046314,2.2768397,1.1384199,2.52,3.2599385,2.2768397,1.609969,2.9024127,2.9024127,5.315336,6.6087217,6.763786,7.8625183,9.255571,6.151683,7.42159,11.928989,10.446206,11.183201,12.6462,11.212135,10.538843,11.090103,11.525623,10.182337,8.905908,6.849467,6.9899354,9.0645685,10.931203,13.281023,14.277983,14.081477,15.379206,16.800856,15.530151,15.192682,11.435313,7.729527,6.28713,5.6002855,7.072878,7.342588,7.2359104,7.145796,6.830519,6.830519,6.12,4.6102495,3.2399998,1.9386592,3.0758414,3.396233,2.8116899,2.0991426,2.52,1.2979984,3.671294,4.829907,4.829907,4.8433046,4.072935,4.198285,6.130579,6.6185193,6.489992,7.289444,7.2805495,7.9932976,8.12197,7.968939,10.028439,11.966953,15.463244,17.057314,17.462784,17.414476,18.03237,20.633371,22.007162,21.611998,21.602999,21.626984,21.647945,21.288757,20.211363,18.391735,16.923828,16.215992,15.683776,14.759999,13.276144,11.367109,9.826088,9.47012,9.826088,9.826088,9.47012,8.825508,8.557102,8.891344,9.659814,10.00256,9.659814,9.107359,8.825508,8.669949,8.28,7.928178,7.2,5.8603754,4.6800003,3.319036,2.9024127,3.6,3.8268526,3.219938,2.968636,3.2599385,3.6179552,3.9763298,4.32,4.379589,4.802999,5.4477882,6.130579,7.2805495,8.209263,9.449572,10.365251,11.165805,11.841756,11.726277,10.661107,9.0
2025-11-06 02:37:04+00:00,2025-11-06 00:00:00+00:00,4.452954,4.0249224,5.5887027,4.198285,4.73506,5.506941,5.771239,5.5887027,3.96,4.39436,2.5455842,4.8965297,4.6102495,3.396233,3.0758414,2.1897945,2.0364676,2.0991426,2.4149535,4.379589,2.2768397,3.7064266,8.557102,7.2359104,6.725354,6.6185193,7.9526596,12.245294,10.182337,10.8955765,9.826088,9.422101,7.9932976,6.9247384,5.991594,6.439876,6.8777895,5.8048253,9.885262,11.609651,11.988594,11.200571,11.019764,10.195057,9.885262,9.659814,9.83268,6.162207,7.968939,8.287822,8.287822,7.5599995,7.6367526,8.28,7.5685663,7.072878,6.638072,6.638072,6.379216,7.072878,7.69592,6.924738,8.854829,11.246759,12.261157,14.291592,15.281989,15.192682,14.707222,14.154915,10.853866,6.87779,5.937272,6.618519,7.4128532,6.28713,4.3498964,5.8048253,6.849467,11.928989,13.627795,14.081478,15.546833,16.65754,17.414476,16.75064,15.273505,20.633371,21.611998,19.829433,20.06334,20.545246,23.087763,21.841648,19.35314,18.861387,22.346113,18.391735,16.56,14.77755,15.876775,15.517629,14.044615,12.964998,12.605142,11.879999,10.799999,6.28713,6.489992,6.151683,9.3876505,9.779817,10.446206,9.746631,10.086427,9.826088,9.6932955,9.107359,7.8625183,6.162207,4.73506,3.396233,3.0758414,3.319036,3.6,3.7064266,4.452954,5.0911684,5.8048253,6.162207,6.5693827,6.9899354,7.342588,7.9932976,9.028754,10.446206,12.074766,14.345898,16.179985,17.114204,17.58481,17.447933,15.937878,13.556282,12.261158,12.24,12.605142,12.620554,11.542478,10.086427,9.007196,8.311245,7.9932976,8.049845,8.209263,8.311245,8.654986,9.422101,10.853866,12.57426,14.689589,17.193533,17.992796,16.279802,13.276144,10.464798,8.707238,7.8954163
2025-11-07 02:33:43+00:00,2025-11-07 00:00:00+00:00,5.0911684,5.3517847,6.12,7.208994,7.5685663,7.2359104,8.557102,9.114471,8.707238,6.12,8.647496,8.557102,10.365251,8.891344,11.592895,13.089354,15.778518,16.263872,14.689588,14.689588,13.830749,13.246826,12.218805,6.9247384,5.95906,5.991594,8.647496,8.654986,7.289445,7.8954163,4.452954,5.0528407,4.6800003,2.5455842,5.8048253,9.178235,10.028439,9.387651,11.592894,10.948973,8.39657,7.5942073,7.2359104,6.151683,6.763786,7.10031,6.1094027,4.829907,5.95906,5.00128,2.968636,4.68,2.2768397,2.4149535,8.12197,8.287822,11.165805,14.471821,17.015474,17.339897,17.462784,17.057314,18.014393,17.698677,18.129137,18.175545,15.188415,19.602652,20.774214,20.523157,18.792551,18.556595,18.0,19.08,15.745627,13.039754,12.682018,11.159999,13.084402,14.404499,13.684735,12.287555,11.885453,10.464798,9.422101,9.72,12.7279215,13.207634,13.5515,12.496719,12.6462,11.525623,11.212135,10.495713,9.0645685,5.771239,4.6938257,4.198285,4.1046314,3.7585104,4.198285,4.8433046,5.315336,5.8048253,5.4833565,6.28713,7.342588,7.771331,7.5170207,7.5170207,9.531505,10.799999,13.441071,15.192682,15.034041,15.937878,16.73516,16.62249,15.192682,13.441071,11.885453,11.525623,11.542478,11.212135,10.495713,9.3876505,8.647496,7.9526596,7.2805495,6.9899354,7.072878,7.5170207,7.8625183,8.4042845,9.0,10.1376915,11.090103,12.522619,13.441071,14.587776,15.328561,15.876775,15.119999,13.75558,12.429127,11.090103,9.6932955,8.557102,8.12197,7.9932976,7.5942073,7.208994,6.489992,5.771239,5.0528407,4.802999,4.6800003,5.0142193,5.1544156,5.8048253,6.8399997,7.9526596,8.350138,7.342588,5.5887027,4.896529,5.937272,8.049845
2025-11-08 02:22:05+00:00,2025-11-08 00:00:00+00:00,4.6938257,5.815978,7.754637,7.69592,6.489992,6.130579,7.968939,8.209263,8.654986,6.87779,2.968636,6.193674,3.7585104,5.1544156,4.3349743,4.3349743,4.6800003,6.162207,5.4833565,8.049845,7.4128532,5.3517847,4.5820518,4.73506,3.6179552,2.1897945,1.4399999,3.219938,6.849467,2.16,21.24305,24.288662,22.26477,23.83896,23.936617,23.441502,23.0653,25.562534,30.413074,27.551172,25.567604,27.698952,26.82906,26.208395,26.980793,28.236486,27.09822,28.137632,27.684914,18.64369,14.618837,12.57426,13.363711,13.849476,13.849476,13.75558,11.659777,11.609651,10.853866,9.422101,9.007196,8.28,12.429127,12.57426,12.371645,12.245294,11.901798,11.090103,11.525623,12.144331,11.304229,6.8399997,5.6920996,5.1919937,4.072935,2.7416782,1.609969,2.4149535,3.2599385,3.5455887,4.829907,5.8603754,6.5693827,7.072878,7.42159,8.049845,10.495713,11.879999,13.797912,15.978486,17.309973,17.811815,18.214718,18.792551,17.811815,16.454008,15.119999,15.5843,15.158522,13.684735,11.165805,10.105681,10.182337,10.538843,10.853866,10.538843,8.557102,8.4042845,7.628263,7.9036193,9.565437,13.004921,15.281989,17.208603,17.208603,16.24394,14.799459,13.339445,12.429127,11.27553,10.495713,9.983106,9.504273,9.028754,7.628263,5.937272,5.0911684,5.4477882,6.28713,6.725354,6.28713,5.8603754,5.8048253,6.489992,7.208994,7.9526596,7.9526596,7.208994,7.208994,7.5685663,8.669949,9.028754,8.669949,8.311245,7.9526596,8.350138,9.178235,9.605998,8.825508,7.6367526,6.849467,6.4799995,6.130579,6.130579,5.7599998,5.8603754,6.0347,6.9527545,8.225035,9.028754,9.360001,9.227524,9.227524,9.227524,9.693296,10.24578,12.074766,14.77755
2025-11-09 02:42:56+00:00,2025-11-09 00:00:00+00:00,3.096837,5.0528407,5.1919937,6.830519,5.3999996,5.3999996,4.8433046,6.5693827,5.8048253,22.065973,22.61419,25.212852,24.64094,26.042212,25.006397,25.241108,25.922499,24.967499,26.758923,27.766712,27.103,27.210379,26.999998,27.943514,28.1169,28.817993,28.623962,29.784426,29.070974,29.239891,27.834309,28.449112,27.36947,25.241108,23.469128,22.461807,22.461807,21.841648,22.963936,22.065973,19.416653,18.947083,18.448023,17.072504,17.388409,17.551615,16.595179,14.24163,12.758432,5.0911684,4.6800003,2.0364676,1.8,2.5455842,3.319036,4.73506,5.1544156,5.6920996,6.638072,7.342588,7.6367526,7.6367526,10.182337,11.879999,14.618837,16.171976,18.1041,17.873554,18.58451,18.671474,17.902534,17.518356,16.981165,17.643673,16.23596,13.324863,10.805999,9.3669195,9.422101,9.746631,10.105681,11.183201,10.086427,8.28,7.771331,8.699793,9.793058,13.004921,17.208603,18.556595,18.1041,15.629971,10.948973,12.015589,12.303366,13.5515,13.441071,12.904882,12.43434,11.384199,10.390226,10.739833,9.47012,9.114471,9.255571,8.287822,6.9899354,5.5887027,6.4799995,5.8603754,6.130579,10.538843,12.682018,12.964998,14.561099,13.397612,11.525623,10.1376915,10.440001,11.252519,12.224107,12.661564,12.9249525,12.9249525,11.874544,10.24578,8.891344,8.089993,7.754637,7.289444,6.9527545,7.0911775,7.754637,9.0,11.013882,12.682018,14.404499,15.876775,17.057314,17.462784,17.873556,17.414476,16.923828,16.299694,15.893093,15.034041,14.003029,12.979984,12.43434,11.91812,11.753877,11.609651,11.4862,11.384198,11.592894,12.096214,12.387348,11.792404,11.440979,11.384199,12.313893,14.145756,15.629971,16.766108,17.462782,18.25026,18.947083,19.64558
2025-11-10 02:36:00+00:00,2025-11-10 00:00:00+00:00,16.87398,25.346148,22.55106,22.79684,27.959742,25.959969,25.922499,23.40277,22.7057,20.883104,20.523155,20.883104,18.416384,19.8,20.5484,19.201874,19.245697,20.06334,18.861387,18.792551,17.31746,16.311613,16.279802,14.458382,12.641076,12.57426,12.261158,11.252519,8.39657,7.42159,6.924738,6.6185193,7.289444,6.4799995,7.10031,6.763786,7.5685663,9.114471,11.440978,11.570515,14.05845,14.618837,15.827721,16.516901,16.516901,17.114204,16.676977,13.75558,15.226764,16.919998,15.496736,14.081478,10.805999,9.007196,9.36,9.72,8.287822,7.5942073,7.6367526,7.6367526,7.6367526,7.5942073,7.928178,12.57426,16.42247,15.778518,15.459054,17.31746,18.998314,18.72346,15.876775,13.1041975,11.043261,8.311245,8.12197,7.9932976,8.049845,7.2805495,7.342588,6.2145634,5.4119864,5.4119864,5.771239,5.0528407,5.0528407,5.4119864,5.4477882,8.707238,11.620809,12.661564,13.910169,14.764389,13.039754,15.856356,14.05845,13.1041975,13.5515,14.587776,15.281989,14.154915,12.979984,12.24,10.446206,9.3876505,7.771331,7.968939,9.793058,10.483357,10.390226,9.9571085,11.013882,14.764389,17.414476,16.75064,16.75064,17.654688,18.486622,19.211996,18.448023,16.854767,15.509274,14.512064,13.37825,12.904882,12.904882,13.570615,13.570615,12.72283,11.753877,11.298495,12.10157,13.684735,15.137133,15.7908325,16.45007,16.78156,16.981165,16.854767,17.418196,19.137648,21.659918,22.963936,22.668568,21.707731,20.883104,21.9718,23.110207,21.542923,15.94601,12.758432,15.978486,17.447933,16.981165,15.844089,14.512064,12.397806,11.609651,12.387348,14.291592,15.7908325,17.072504,18.391737,19.228851,19.8,19.878391,18.472595,14.8257065,9.565437
2025-11-11 02:24:16+00:00,2025-11-11 00:00:00+00:00,2.9024127,7.491114,3.6,2.7416782,7.5942073,6.151683,4.829907,6.162207,6.9899354,5.2416787,5.8048253,6.4799995,9.007196,8.669949,11.720751,11.966953,14.404499,15.815435,16.965895,17.654688,17.992796,17.076298,15.725037,13.039754,14.471821,15.905319,16.343367,15.986595,13.979871,11.177405,9.605998,7.342588,6.725354,8.647496,9.007196,8.209263,8.350138,7.8625183,5.4833565,10.787993,11.983188,15.124284,14.255272,12.819235,12.387348,11.808878,8.669949,6.12,5.4119864,12.015589,10.823973,9.0645685,9.0645685,8.311245,7.2,7.2805495,7.2359104,6.849467,6.849467,6.9899354,6.924738,5.8048253,7.208994,10.086427,12.015589,12.522619,12.313893,11.090103,11.570515,11.901798,13.698934,16.75064,12.261158,10.823973,11.165805,10.440001,10.440001,9.746631,9.007196,7.92,7.2359104,6.725354,6.830519,6.638072,7.072878,7.42159,8.707238,11.525623,13.849476,12.783802,11.966953,11.183201,10.799999,10.805999,10.182337,8.427383,11.27553,12.605142,12.620554,11.885453,11.304229,11.013882,10.308831,8.905908,7.42159,7.10031,7.10031,7.42159,7.386582,7.653705,9.686609,12.4811535,14.707222,15.39184,14.799459,15.84409,16.981165,16.981165,14.77755,12.181625,10.883676,10.587918,10.948973,10.829958,10.365251,9.793058,9.107359,8.557102,8.049845,8.0899935,8.209263,8.161764,8.404285,8.942214,9.885262,10.948973,11.966953,13.009903,13.979871,14.05845,13.896187,13.661038,14.003029,14.345898,14.689589,15.379206,16.171976,16.418526,16.520823,16.263872,15.84409,15.496736,15.188415,14.154915,12.287555,9.726665,8.759178,10.182337,12.287555,14.154915,14.458382,15.277749,16.548256,16.800856,16.563911,15.408671,12.904882,9.904906
2025-11-12 02:27:21+00:00,2025-11-12 00:00:00+00:00,9.793058,12.144331,14.799459,15.876775,13.698934,13.679999,11.928989,10.495713,9.422101,10.853866,12.849528,10.182337,8.350138,9.028754,8.707238,11.503113,12.24,14.386494,14.081477,12.313894,10.636766,12.496719,10.464798,8.669949,7.9526596,8.12197,8.669949,8.647496,7.9932976,8.669949,7.5942073,5.771239,9.47012,9.178235,5.937272,4.5536795,4.68,2.9024127,2.8799999,7.5599995,7.5599995,6.87779,5.1544156,5.4119864,6.849467,8.311245,7.928178,5.771239,8.161764,13.084402,11.570515,10.823973,10.464798,9.422101,7.5942073,7.208994,6.849467,7.2805495,7.2805495,7.342588,7.342588,7.172949,9.028754,11.252519,13.276144,13.1041975,11.966954,11.525623,11.440978,11.367109,10.182337,6.9899354,9.6932955,12.7279215,13.679999,12.261158,10.823973,9.422101,8.311245,7.5599995,7.208994,6.87779,6.8399997,6.489992,7.208994,7.208994,8.287822,11.013882,13.237039,13.202726,13.202726,13.1041975,12.768586,11.726277,9.9571085,7.5942073,9.0645685,11.367109,12.964998,12.261158,11.570515,9.0645685,7.9932976,7.9526596,8.311245,7.6367526,7.6367526,7.2359104,6.5693827,6.519877,8.311245,11.113451,12.7279215,12.783802,12.287555,13.584932,14.88242,15.0038395,12.72283,9.255571,7.928178,9.422101,11.901798,13.684735,13.679999,12.6462,11.609651,11.252519,10.8955765,10.538843,10.1376915,10.105681,10.1376915,11.013882,12.758432,13.570615,13.363711,12.88981,12.261157,11.212135,9.449572,8.4963045,8.699793,9.6932955,10.8955765,11.212135,11.212135,11.252519,12.015589,12.9249525,13.009903,12.313893,11.177405,9.565437,8.161764,8.427383,9.3876505,9.021574,9.085988,10.390226,10.853866,10.799999,10.464798,10.464798,10.805999,10.446206,9.779817,8.905908
2025-11-13 02:44:59+00:00,2025-11-13 00:00:00+00:00,2.5455842,4.2136917,7.42159,6.12,8.089993,9.255571,9.47012,8.707238,7.072878,8.64,7.69592,6.12,3.8939953,3.9763298,1.609969,7.2359104,7.9932976,9.178235,6.792466,4.2136917,1.609969,3.96,5.991594,7.7043357,7.729527,8.39657,8.049845,9.0,7.5685663,7.5942073,7.92,7.6367526,7.42159,6.5693827,7.208994,6.489992,4.0249224,4.896529,5.5887027,8.287822,9.726665,9.3876505,9.114471,8.759178,8.473393,7.9932976,8.557102,5.8603754,7.5170207,13.75558,13.679999,12.245294,10.823973,8.669949,7.5942073,7.5685663,7.2,6.849467,6.8399997,6.8399997,6.849467,6.924738,8.287822,11.440978,14.24163,14.658676,14.182355,13.570615,13.779114,13.5515,12.57426,12.429127,11.570515,12.620554,12.6462,11.525623,11.542478,11.252519,10.182337,8.350138,7.5942073,7.6367526,7.2805495,7.771331,7.42159,6.5693827,9.0,12.55879,14.512064,13.684735,13.217443,12.879752,13.237039,12.522619,11.177405,8.647496,9.255571,11.966953,13.493999,13.324863,12.959999,12.245294,11.879999,10.823973,9.746631,9.3669195,9.028754,9.3876505,8.669949,9.726665,11.304229,14.986553,17.238699,17.10284,16.87398,15.459054,13.450708,12.261158,11.885453,11.901798,12.287555,13.397612,14.471821,15.158522,14.417988,13.358861,12.904882,12.72283,12.43434,11.966953,11.165805,10.365251,9.693296,9.693296,10.163227,10.30883,9.693296,8.913181,8.669949,9.449572,11.298495,11.770403,9.904906,7.42159,5.4477882,5.771239,6.849467,7.5685663,7.208994,6.489992,5.7599998,5.0911684,5.154415,5.1919937,5.1165614,4.8965297,5.495161,6.763786,8.891344,10.483357,11.720751,12.287555,12.605142,11.885453,10.853866,9.531505,8.311245,7.24486
2025-11-14 02:28:31+00:00,2025-11-14 00:00:00+00:00,8.891344,11.966953,13.276144,13.004921,11.542478,9.36,9.007196,9.028754,9.826088,9.114471,7.2359104,7.2,8.311245,7.928178,7.5599995,11.252519,12.9249525,14.24163,14.118243,13.358861,12.758432,12.074766,11.966953,8.647496,8.089993,10.594036,12.605142,11.885453,12.620554,12.287555,11.570515,12.287555,11.183201,9.746631,9.826088,9.422101,9.0645685,7.9932976,9.605998,11.770403,13.53236,15.546833,13.783817,12.599998,12.10157,11.503113,10.931203,7.9526596,9.007196,13.397612,13.138765,12.261158,11.901798,11.609651,11.304229,10.182337,9.255571,8.654986,8.766573,7.072878,7.072878,7.072878,9.178235,12.287555,13.392774,13.281023,13.217443,12.904882,12.7279215,11.91812,11.298495,7.5685663,8.707238,9.72,11.901798,12.6462,12.245294,12.620554,12.24,11.885453,10.853866,8.311245,7.2359104,7.6367526,8.825508,9.3669195,10.661107,13.37825,15.137133,14.88242,14.8257065,15.141414,16.075521,16.595179,16.700275,14.77755,10.390226,14.759999,15.484185,16.203999,14.4,14.440443,14.404499,12.783802,10.8955765,8.311245,7.208994,6.489992,6.849467,6.8399997,7.9932976,9.565437,10.829958,11.966954,12.015589,10.948973,9.178235,7.6367526,7.2359104,7.754637,8.707237,9.659814,10.703569,11.620809,11.966954,11.620809,11.384199,11.165805,10.787993,10.630672,10.948973,11.113451,11.298495,10.829958,10.365251,10.483357,11.720751,13.363711,15.137133,16.23596,17.414476,17.935081,17.377226,16.171976,15.256526,15.256526,15.937878,16.62249,17.208603,18.25026,18.782204,19.296133,19.881649,20.532627,20.519999,20.16,20.519999,23.411074,26.727423,25.40743,13.896187,5.904439,15.256526,13.661038,6.489992,2.2768397,2.9024127,3.5455887
