forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:33:55+00:00,2025-11-05 00:00:00+00:00,13.132091,13.485446,13.848422,13.578887,13.501012,13.543773,13.817518,13.227487,12.784949,12.215603,11.498405,11.008007,10.566632,10.223332,13.501299,14.620503,15.430875,14.999015,14.334504,13.789256,13.710131,13.100726,12.471705,12.035291,11.410328,12.965698,15.234933,14.868274,15.194174,14.604194,14.387547,13.698248,13.156633,13.127525,13.129076,13.875542,13.5305,13.030499,14.258891,16.365257,15.993235,15.414232,14.47083,14.197169,13.620811,13.056341,13.232052,12.72742,11.319587,14.98084,15.739169,16.105469,16.288002,16.299341,16.33122,16.36091,16.166744,15.9423065,15.863882,15.566503,15.368254,15.170003,15.324519,15.266005,15.573226,13.810828,11.776829,10.589375,8.955416,8.671703,8.671703,9.823314,9.494539,15.724777,18.10634,17.86235,17.520752,17.034058,15.486536,15.113067,15.718293,16.130783,16.004374,15.856892,15.577931,15.346418,15.470067,15.315596,14.903747,14.308918,13.731417,12.7759285,12.181891,11.482615,10.955466,12.1187525,12.585449,17.214182,18.255808,18.838278,18.8757,18.80632,18.609705,18.447933,18.332676,18.214842,18.116121,18.362919,18.664505,18.936583,11.788176,7.421547,4.330822,3.4259057,1.9761915,1.0132945,0.28510085,-0.2133322,-1.3355333,-3.4887736,-4.855893,-5.851136,-7.3894725,-8.256701,-9.165913,-9.465743,-10.298212,-11.006259,-11.061706,-11.648518,-11.739943,-11.861382,-11.584663,-11.286593,-10.605529,-10.209465,-10.014506,-9.703506,-9.801779,-9.5154085,-9.570176,-9.369225,-10.133057,-10.731369,-9.827601,-7.2711253,-4.856797,-2.8804734,-1.6545011,-0.937257,0.26861343,1.7444315,3.0846612,4.176973,4.8539453,5.2271457,5.672065,6.4943376,7.4954853,8.100854,8.231548,7.968758,7.566993,7.2202168,7.6154237,8.481431,10.114863,11.203224
2025-11-06 02:23:34+00:00,2025-11-06 00:00:00+00:00,8.51557,14.084506,15.331124,16.36992,16.275743,16.041466,15.499184,14.6337185,14.636948,14.1680565,13.724329,13.698933,12.886144,12.245152,15.245335,17.327412,16.977613,16.173967,15.152354,14.508091,14.245971,13.899828,13.588226,12.742217,12.29731,15.565848,15.427362,15.450531,14.991733,15.229358,15.055507,14.709471,13.945782,13.967948,13.720766,13.889079,13.839578,13.17696,15.72302,16.830614,17.119316,16.630209,15.254968,14.219051,11.799754,11.019808,10.388058,8.996932,10.28997,17.175594,18.203934,18.050072,17.658524,16.396973,15.258144,15.3766775,15.709075,16.33122,16.611616,16.635256,16.536263,16.288782,16.83753,17.15467,16.597418,15.330852,14.085131,12.81088,11.652698,10.426417,9.789713,11.051231,13.36145,18.769844,19.221863,19.56184,19.81136,19.333918,17.957365,17.707466,18.004923,18.48988,17.945423,18.588728,18.466537,19.207298,9.744302,5.4027104,1.2772297,-1.1692178,-0.8004646,0.011010919,0.4156222,-0.79508686,-1.5856587,-1.7514184,-2.4010766,-2.5861294,-2.6584,-3.8177483,-4.323209,-5.622941,-7.484446,-9.193912,-10.475806,-11.732371,-12.361445,-11.819001,-11.840206,-11.524636,-10.9019165,-11.065582,-10.797966,-10.758843,-10.9747305,-10.736492,-10.803926,-10.644306,-10.696251,-10.740979,-10.779432,-9.802103,-8.850453,-7.542465,-5.6144695,-3.328084,-1.6108292,-0.5402647,0.51875407,1.3683156,2.230256,2.879598,3.842077,4.9468803,6.0851526,6.9143667,7.2535973,6.880806,6.555677,6.5657673,6.8599133,7.790772,9.082216,10.507004,11.115811,11.423167,11.914712,12.09173,12.273858,12.225713,12.444338,12.606731,12.943993,13.008425,13.021808,13.053636,13.336092,13.841123,14.304946,14.670006,14.776461,14.275081,13.406389,12.714152,11.764342,11.807968,12.360202,12.731367
2025-11-07 02:21:14+00:00,2025-11-07 00:00:00+00:00,13.482666,16.572563,14.768443,15.863574,15.792873,16.583733,16.957964,16.562,15.96804,15.126577,14.483088,14.05579,14.32019,14.006225,16.980001,18.131714,18.19079,17.04419,14.417559,13.092844,11.400727,10.532036,9.8114,9.882356,7.4173613,10.956703,14.049259,16.056992,15.777698,15.547707,14.91605,15.308895,15.473066,15.428059,15.464951,14.880499,14.774457,15.165679,17.230501,18.096329,18.90752,18.617714,18.296917,16.765863,15.850573,13.966818,13.136092,11.816145,9.843034,18.865274,19.472273,19.82611,19.663498,18.490555,17.520752,17.688795,18.341599,18.58968,18.214846,18.58968,18.094465,18.219074,13.130047,4.9129376,1.1482141,-0.80281454,-1.0029228,-0.17178603,-0.67989707,-1.378233,-3.087636,-3.3788989,-2.999905,-1.6509724,-1.5857219,-1.9513413,-3.6459382,-4.677095,-6.1613493,-6.9324603,-7.575361,-8.304321,-8.904913,-9.067353,-9.207637,-9.4108715,-9.8491955,-11.313164,-12.580882,-13.561532,-13.1596,-13.199839,-13.64563,-13.334661,-13.529002,-12.248084,-13.759066,-13.696079,-13.317711,-12.353716,-11.732371,-11.613473,-9.978006,-8.0325165,-6.2221737,-4.879696,-3.355444,-1.6649952,0.0032153872,1.5107722,2.96703,4.5761304,5.9359417,4.9129376,4.095482,3.941145,3.741369,4.885311,6.9399123,8.331172,9.392983,10.153867,10.619117,11.1183,11.34944,11.228012,11.420148,11.683228,11.963285,12.071588,12.13074,12.259533,12.378262,12.649788,12.927311,12.9881315,13.058061,12.492503,11.872708,11.166655,10.198491,10.690341,12.674525,13.999533,14.729491,14.692887,14.833837,14.76559,14.921134,15.074415,15.230928,15.21105,15.217775,15.177752,15.128667,15.001845,15.227533,15.542511,15.838428,15.881332,15.383237,14.370433,13.374273,12.64919,12.6593075,13.244962,13.76589,14.275081
2025-11-08 02:11:52+00:00,2025-11-08 00:00:00+00:00,7.4173613,16.301014,19.726707,19.639837,18.094574,16.940592,16.388931,16.356821,15.893571,15.574922,15.302671,14.808338,14.340734,13.9185095,16.720003,19.14624,19.04228,18.717432,17.92408,16.977402,15.491672,14.576687,13.065383,12.530602,11.437287,12.111606,17.952858,19.689127,19.0796,18.437943,18.343792,17.898355,17.574722,17.929846,19.618534,10.2951145,5.957658,2.9667337,0.20122746,-0.7487045,-0.8642207,-1.6812615,-1.6050113,-2.4659066,-2.3014855,-2.3084915,-2.5980763,-2.5203388,-2.3371098,-3.654402,-3.7912557,-3.3693736,-2.9688683,-2.4254286,-2.0013793,-2.029324,-2.0254376,-2.3090527,-2.6954768,-3.820022,-4.9049935,-5.9511185,-7.2385116,-8.351894,-8.591714,-8.421959,-8.618717,-8.543657,-8.7264385,-8.485503,-8.68628,-8.584126,-9.124571,-8.71719,-8.66602,-8.096997,-6.413782,-4.8020844,-3.899412,-2.6112618,-1.1854632,0.23180628,1.5775882,2.4980562,3.6298032,4.8423223,6.370819,8.071279,8.368722,7.8328233,7.52837,8.26129,8.536626,9.317735,10.013721,10.843327,12.546561,12.845755,12.219879,12.746507,13.387076,13.89316,14.304946,14.453636,14.486988,14.5861435,14.733198,14.872618,15.021311,15.286946,16.019766,16.36466,15.47657,14.780498,13.654112,12.5057745,11.452489,11.879925,14.188245,16.149925,16.823189,17.190855,17.374939,17.417435,17.350658,17.319988,17.277697,17.126528,17.099747,16.971184,16.832727,16.611616,16.558098,16.691116,16.456434,16.021482,15.54885,14.992438,14.380921,13.920733,13.775636,13.832006,13.945626,14.192237,14.409017,15.157767,16.042183,16.866407,17.179146,17.577461,17.62252,17.45191,17.328192,17.130207,17.172745,17.257204,17.38981,17.62252,18.006239,18.093128,17.82647,16.658443,15.582986,15.600431,15.943786,16.223133,16.444958,16.688477
2025-11-09 02:33:24+00:00,2025-11-09 00:00:00+00:00,7.20908,22.331472,21.647518,20.364721,19.753267,19.294823,18.999084,18.555473,18.289864,17.947851,17.744415,18.191027,19.489502,12.60953,5.3879604,-0.32603297,-1.6394311,-0.6776722,-2.0138047,-1.6029562,-3.1476765,-5.569245,-2.985413,-2.589237,-2.7580018,-2.2927482,-1.7273914,-0.9078929,-0.40016335,-0.22253104,-0.8068397,-0.53956515,0.10987768,-0.29436326,-1.4008614,-2.183935,-3.243727,-3.7241213,-6.3898716,-8.527786,-9.425729,-11.148858,-11.602858,-11.520688,-12.663308,-12.425563,-12.623679,-13.297593,-13.512268,-11.762765,-11.622981,-10.964598,-8.347213,-6.413384,-5.038,-3.3490238,-1.642621,-0.009527305,1.063371,1.9797593,3.154278,4.207373,5.3554425,7.2075634,8.1150055,7.0674434,7.3983965,7.6888037,8.305322,8.657525,9.349129,9.987704,10.620183,11.53405,11.628068,12.135237,12.500026,12.93007,13.04408,13.282028,13.476221,13.85955,14.361944,14.387158,14.438236,14.457348,15.052265,15.324149,14.967887,14.461564,13.933021,13.090017,12.418565,12.124404,12.200517,12.625673,12.911937,14.890928,16.358978,16.676489,17.319988,17.810755,17.934225,17.790462,17.402485,17.130207,16.783741,16.755991,16.656868,16.607307,16.924332,17.106895,16.456402,15.236052,14.425706,13.098554,11.945678,12.254726,13.9101925,15.840971,16.302534,16.533606,16.696165,16.845766,16.886488,17.167059,17.227287,17.370897,17.541534,17.69188,17.773632,18.003483,18.202484,18.664505,18.931013,19.077545,19.022552,18.415297,17.802101,17.350323,17.096687,17.057215,16.829607,16.79579,16.811348,17.071661,17.621552,17.85597,18.076984,18.005707,18.103977,18.336569,18.757164,19.038591,19.137033,19.052078,19.071743,19.22862,19.602842,19.899193,20.143839,20.051386,20.070559,20.022276,19.482185,19.24601,19.378227,19.435019
2025-11-10 02:23:42+00:00,2025-11-10 00:00:00+00:00,-4.0116878,-4.005612,-4.6448145,-3.5848715,-0.36638576,-0.08850069,-1.2500256,-2.3508189,-3.5455885,-3.8074152,-3.519427,-3.2806175,-3.0321689,-3.5417554,-4.837606,-5.4245467,-5.9249563,-6.214323,-8.066968,-9.428702,-10.683937,-9.666395,-9.945471,-9.830671,-9.723361,-9.696027,-10.356784,-10.881319,-11.007989,-11.2646475,-11.2014265,-11.588254,-11.590172,-11.524637,-11.828162,-11.650594,-11.911835,-11.706809,-9.518697,-5.9249563,-0.060215257,5.1131144,4.136969,2.9757848,1.5763584,1.8716034,0.4922045,-0.46868768,0.9903342,9.810644,10.413443,11.186696,11.96244,12.496678,12.743074,12.847471,12.975733,13.080801,13.368324,13.53436,13.6334915,13.683059,14.047003,14.262386,13.898133,13.01952,12.451828,12.000249,11.764342,11.429182,11.081462,11.961936,12.771838,14.259731,15.350247,15.052331,15.20986,15.704078,16.300678,16.51068,16.183533,16.015827,15.944175,15.919588,15.870152,15.771292,16.154263,16.121395,15.331138,14.538083,13.933021,13.200737,12.878943,12.113294,12.173844,13.6310835,15.5749235,16.018015,15.970323,16.216698,17.302235,18.336569,18.727003,18.398708,18.054144,17.98763,18.268564,18.413342,18.532635,18.600494,19.022747,19.077545,18.822,18.132368,17.096687,17.050583,17.574776,18.01629,18.02062,17.708746,17.589407,17.591717,17.733023,17.80355,17.675705,17.68962,17.797562,18.103003,18.592674,19.071743,19.553946,19.94658,20.247948,20.590982,20.839497,20.816887,19.968853,17.763042,14.415687,12.161919,10.468329,9.003646,7.5922914,6.649152,5.9942856,5.731094,5.346879,4.3368134,1.926626,-0.71783954,-3.818081,-5.795217,-6.378502,-7.5591364,-9.312888,-10.0826845,-10.366435,-7.6784787,-4.718521,-2.331892,-2.0795703,-2.5283914,-3.5774646,-4.439405,-4.7520304,-4.7913265,-4.95497,-4.224096
2025-11-11 02:14:39+00:00,2025-11-11 00:00:00+00:00,-13.575226,-13.778439,-14.366528,-13.950369,-13.737353,-13.067769,-12.499717,-12.591455,-9.290865,-6.9720645,-6.9720645,-7.392747,-7.5945215,-7.3477936,-4.996392,-3.6163173,4.830274,6.6788983,6.26789,6.2770905,5.812601,4.1731386,4.0022135,4.1194196,4.0476365,5.0477314,9.984971,10.981378,10.032886,9.937054,10.14297,10.5763855,10.424522,9.808089,9.463347,8.703147,8.06373,7.739532,11.402895,13.499923,13.548189,13.07241,12.101832,11.100047,11.189432,11.671513,11.834281,11.724439,15.43419,15.707114,16.000242,15.614665,14.899201,14.89165,14.935662,15.17809,15.332459,15.297382,15.276349,15.3517885,15.30242,15.253057,15.718293,15.978842,15.284782,14.401758,13.1643715,12.439645,11.64647,11.296482,11.429182,14.826054,16.214231,16.438053,17.127832,17.506563,17.519197,17.32555,17.160194,17.34682,17.303627,17.2292,17.251593,17.152475,17.27199,17.222364,17.786966,18.117168,18.067753,17.80011,17.305492,16.753883,17.280745,17.708746,17.784967,17.928099,18.165186,18.319077,18.28253,17.975985,17.724052,17.369167,17.182516,17.34885,17.444895,17.39687,17.519253,17.465698,17.859756,18.687578,19.297832,18.116184,17.109396,16.710573,16.471506,16.990675,17.972614,18.59968,19.094435,19.065207,19.276777,19.270882,19.543325,19.699974,20.1035,20.547243,20.79057,20.839497,20.839497,20.79057,20.68899,20.67399,20.810455,21.116304,21.377737,21.507814,21.396074,20.775969,20.395351,20.184053,20.184053,20.221653,20.494284,20.92836,21.093552,20.866306,20.624104,20.671213,21.084156,21.620358,22.035633,22.134869,22.128698,22.196512,22.277157,22.382957,22.43257,22.425611,22.28686,22.15576,21.680407,20.701866,19.443329,18.434416,18.326584,18.58686,19.912544,20.78453
2025-11-12 02:17:05+00:00,2025-11-12 00:00:00+00:00,5.646463,8.673871,10.678624,11.300581,11.079727,10.721782,10.981755,11.236578,11.679417,11.30828,10.20207,9.6110935,9.217099,8.872345,12.514003,13.477495,13.913886,13.712129,13.205641,12.831286,12.319387,12.781398,12.187098,12.519527,15.270584,15.382369,14.966058,14.705536,14.1074295,13.82169,13.550314,13.508846,13.197674,12.804852,12.461128,11.988786,11.449368,11.368505,14.425165,16.176222,16.294054,15.315232,14.733523,14.269852,13.455747,13.411375,13.588226,15.131363,13.861546,15.503629,15.929002,16.004063,16.027864,15.838428,15.864494,15.896394,15.774306,15.838922,15.867936,16.117311,16.239288,16.189789,16.540016,16.263945,15.710318,14.871616,14.022612,12.913701,12.113294,12.069675,12.714152,14.331036,15.2190275,16.935884,17.9029,18.392668,18.099018,17.615263,17.356264,17.396116,17.526161,17.598513,17.449833,17.350714,17.080715,16.981728,17.511692,18.554144,18.727198,17.846533,16.829874,16.146206,15.740278,17.057487,18.412766,18.62135,18.741364,19.47258,19.56721,19.56184,19.504866,19.712786,19.774916,19.927708,19.973543,19.894007,19.862106,19.812294,20.022028,20.304228,20.388275,20.791538,21.093552,20.517746,19.355156,18.49986,17.74716,17.791735,19.551514,21.060808,21.38569,21.524399,21.524527,21.571041,21.558598,21.719055,21.732815,21.662102,21.861551,21.762182,21.712502,21.539452,21.562998,21.633844,21.719055,21.767042,21.880447,21.459148,20.657425,19.48634,18.720966,18.415716,19.559963,20.792543,21.26152,21.63886,21.808342,21.963043,22.090012,22.029163,22.09768,22.058521,22.0106,21.834208,21.55574,21.274597,21.207048,21.237951,21.375036,21.320438,21.213787,20.464909,19.815865,18.805937,17.941069,17.46902,17.821121,18.64551
2025-11-13 02:34:01+00:00,2025-11-13 00:00:00+00:00,17.143871,15.71176,16.097784,17.009314,16.940592,16.928802,15.6676,15.224517,13.835982,13.571676,13.1291485,12.362918,12.019179,11.773649,15.426824,16.673151,17.03399,16.884506,16.227327,15.54666,15.548598,14.166883,13.1795025,14.493576,13.568399,15.889538,16.504166,16.842558,16.83074,15.996202,16.110672,15.64708,15.525556,14.933156,13.550537,12.615005,12.404004,12.057474,14.6805,17.327412,17.497166,15.676316,14.643159,13.543708,12.760287,12.242808,12.825634,15.077523,15.55238,16.797655,17.11855,17.375153,17.468645,17.443361,17.396116,17.178263,17.2292,17.102911,17.073492,16.974241,16.924618,16.974241,17.258228,17.15467,16.50306,15.518653,14.709329,14.009461,13.405964,13.180488,13.618879,15.472984,15.852145,16.547812,17.3209,18.203934,18.152855,18.050072,17.944456,18.054144,18.143894,18.314096,18.234512,18.301987,18.35174,18.35174,18.727003,19.6403,19.688635,18.877506,17.983625,16.954071,16.501282,16.315023,15.764414,17.490004,20.195137,20.736761,20.88926,20.838648,20.594719,20.91972,21.287441,21.414398,21.386475,21.505924,21.623722,21.474102,21.424223,21.374348,21.405813,21.230946,21.337212,20.797152,19.815865,18.637754,17.422562,17.422562,19.260904,20.797152,21.155659,21.272566,21.475548,21.718046,21.942377,22.015163,22.079212,22.085249,22.132696,22.172352,21.939657,21.804504,21.623722,21.662102,21.762362,21.725027,21.404852,20.93537,19.821106,18.85549,17.96788,17.790161,19.059652,20.362381,20.865952,21.191774,21.67131,22.078444,22.405378,22.557114,22.679916,22.606792,22.504482,22.524576,22.475094,22.504482,22.475094,22.336067,22.009422,21.783813,21.26191,20.37129,19.56931,19.227268,19.089375,19.45396,19.987097,20.688648
2025-11-14 02:17:57+00:00,2025-11-14 00:00:00+00:00,15.772381,15.749346,15.841754,17.15094,17.34744,17.406391,17.076687,16.090763,14.78142,14.141373,14.069452,13.325828,13.30435,12.9104395,16.58789,18.001034,18.314764,18.113136,16.443796,15.728729,15.049484,13.553659,14.077866,14.9252,14.387051,16.03288,16.504166,16.646479,16.602959,16.28795,15.844274,15.426824,14.686317,13.872241,13.47781,12.93545,12.760868,12.552516,14.930501,18.320232,18.19079,17.034927,15.51576,13.899828,13.157017,12.32794,11.147537,11.407781,9.9212885,17.39687,17.883303,18.203476,18.392668,18.474155,18.38197,18.44101,18.48295,18.401491,18.25224,17.936384,18.003483,17.953728,18.510992,19.360012,19.06663,18.1715,17.330597,16.415525,15.92326,15.499354,15.190081,16.065542,19.06963,19.228607,19.367546,19.708282,20.009272,20.100925,20.189123,20.149218,20.050865,20.142754,20.210798,20.326962,20.47659,20.641272,21.215662,21.718046,21.105505,20.047981,18.713572,17.46902,16.26106,15.76026,15.585475,16.677052,21.237528,21.719826,21.521616,21.077732,20.35238,20.486504,20.737999,21.158714,21.291357,21.336725,21.474102,21.324476,21.274597,21.107428,21.504654,21.155277,20.174738,19.04722,18.135817,17.201097,16.877062,17.790161,19.546785,20.683071,21.18122,21.570396,22.09917,22.311262,22.554035,22.531807,22.557114,22.630169,22.530672,22.48093,22.452347,22.421726,22.281937,22.245932,21.964098,21.711853,20.954586,19.981436,18.786715,18.682863,18.900469,19.540247,20.101559,20.41975,20.859823,21.414545,22.15576,22.443155,22.257036,21.78801,21.374184,21.39726,21.593794,21.765524,21.914042,21.853458,21.27703,19.560879,17.154482,14.559747,12.866622,10.772385,8.913055,7.7091355,7.1953945,6.7332034,6.5463576,6.700809
