forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:14+00:00,2025-11-05 00:00:00+00:00,9.484648,9.141067,11.493569,13.366965,13.045974,14.271767,15.09142,14.432351,13.743053,12.780522,12.063868,11.720122,11.297836,10.954552,14.136941,15.440476,15.57114,15.258363,14.487739,14.006446,13.920013,13.348812,12.827279,12.544677,10.856343,10.940576,12.672947,14.956526,14.996856,15.042258,14.67852,13.911431,13.193254,12.670875,12.147591,11.984373,11.818336,11.523693,15.191309,15.832579,16.566597,16.469683,15.12132,14.648496,14.148052,13.638704,13.549104,13.200998,11.602406,9.75654,14.536596,15.664174,15.921182,15.87188,15.602568,15.257007,15.182059,14.763332,14.565856,14.467119,14.368383,14.44055,15.133184,15.459134,14.01486,11.520544,9.911855,7.969355,7.3962016,6.9736943,6.1061726,7.998675,6.618428,7.0066977,7.845456,8.21978,8.59632,10.162912,14.395608,15.429777,15.137349,15.18609,15.133184,15.1264,15.028629,14.979751,15.056153,14.831292,14.156414,13.027347,11.819321,10.720413,9.717083,8.799511,7.4372363,8.332691,6.642116,6.906967,9.766923,11.797882,14.885267,17.086681,17.262152,17.467388,17.350763,17.379662,17.231577,17.455864,17.652037,17.623331,18.134491,16.123182,8.772509,5.7066345,4.325249,2.0558205,1.1836046,0.7243806,-0.58396053,-1.498542,-2.5802724,-4.037926,-6.34574,-7.716092,-9.162604,-10.385411,-11.043526,-11.355873,-11.836448,-12.232251,-12.069923,-12.43324,-12.182154,-12.092385,-12.56785,-12.433315,-12.168473,-12.758224,-13.157431,-13.137252,-12.321684,-12.205238,-12.058578,-11.79896,-11.661309,-11.372725,-10.513701,-8.158993,-4.609623,-0.91467357,1.8290408,3.645107,5.1712627,6.106046,6.468021,6.7001286,6.959934,7.398094,7.7114267,8.018238,8.238268,8.121664,7.8180757,7.92969,7.9259257,8.440926,8.68274,9.104747
2025-11-06 02:24:03+00:00,2025-11-06 00:00:00+00:00,10.743172,11.973946,12.835775,15.60385,15.642509,15.296697,15.255383,14.813523,14.77699,14.383117,13.665591,13.173893,12.604018,12.131485,15.663169,16.30209,16.035875,15.686863,14.277602,13.183519,12.0630865,12.238856,12.0630865,11.140057,10.862674,11.049463,11.267856,14.746975,14.571539,14.4102335,14.530818,14.212923,14.188187,13.842598,13.004487,12.758291,12.180519,12.211184,15.288079,16.285265,15.590926,15.102833,13.89545,13.00411,11.454164,9.605956,9.48014,9.501031,9.120182,8.17675,8.244537,8.638229,10.577772,14.53999,15.085091,15.187514,15.18609,15.508692,15.7291355,15.630956,15.615013,15.565852,15.939009,15.331041,14.156414,12.531027,11.327172,9.717083,8.566479,8.298596,7.4221535,8.135429,8.605159,9.497276,10.182573,12.16555,14.252435,16.80934,17.899364,18.139456,18.169428,17.646528,17.577106,17.30758,17.851284,17.701595,18.318718,11.698492,5.7898183,1.7106413,-0.37917656,-0.5706645,-0.043051034,0.33395,-0.7796646,-1.7064956,-3.0714881,-3.6212816,-3.787221,-3.5049725,-3.8019516,-4.268409,-5.269536,-6.0970087,-7.452142,-8.641472,-9.753724,-11.091416,-11.609169,-12.084183,-11.794204,-12.682096,-13.08296,-13.038186,-12.839279,-12.80408,-13.176109,-13.098397,-12.921846,-13.513347,-13.190941,-13.530159,-13.805931,-12.022545,-8.145691,-3.9599771,-1.4623215,-0.13346621,1.0397012,1.9335938,3.0238526,3.9984446,4.881207,5.4819655,5.6302977,5.493688,5.839859,6.173972,6.5146313,6.5651746,7.0066977,7.1379037,7.031555,6.8804812,7.156762,8.410647,9.876034,11.038235,11.759694,12.3516035,12.707572,12.992649,13.305598,13.421576,13.331922,13.110979,13.0091715,12.948714,12.694441,12.336905,12.09846,11.878155,11.064923,10.519756,10.331345,10.331345,10.084875,10.194452
2025-11-07 02:21:40+00:00,2025-11-07 00:00:00+00:00,11.829645,11.451615,12.283993,12.982023,15.133863,15.345509,15.206285,15.001748,14.780609,14.484399,13.867804,13.374762,13.102031,12.65768,16.168943,17.371479,16.429815,15.13606,13.600489,11.942945,11.058332,9.640833,8.980001,8.180309,6.671554,7.194818,7.768375,8.75024,8.657115,8.416151,11.532241,12.460247,14.861975,15.143507,14.710957,14.386969,13.700561,13.124723,15.484729,16.327986,16.06472,15.8605385,15.671686,14.258995,13.61951,12.803122,12.544693,11.834461,10.659785,8.624271,8.749089,9.722046,14.263633,17.57346,17.876324,18.21879,18.444403,17.99957,17.851284,17.381641,17.65358,16.281769,16.25826,13.561396,6.076502,2.6359398,0.89972574,0.9648202,0.5375671,-0.13633564,-1.1692586,-3.2121768,-4.065259,-4.4216833,-3.3057666,-2.4219806,-3.1118128,-4.1039824,-4.675419,-5.313077,-5.753918,-6.794149,-7.9298735,-8.668464,-8.904857,-9.157306,-9.0743,-9.782839,-9.9202,-9.72768,-9.998382,-10.760828,-11.136445,-11.784079,-11.980142,-12.80408,-14.038711,-14.442207,-14.465831,-14.297644,-14.174789,-12.326919,-9.593855,-7.6610174,-6.0012174,-3.8081517,-1.9534853,-0.22757317,1.2777883,2.6906128,3.7762542,3.7786465,0.7087578,2.1851542,3.7511537,3.5581658,3.8124623,4.416735,4.3683653,4.783228,5.1889176,6.662504,8.632656,9.866014,10.407285,10.562179,10.655973,10.688839,10.660924,10.5723505,10.359889,9.828795,9.7798195,10.087688,10.324697,10.404969,10.224421,9.483152,8.353825,7.6114836,7.290309,7.822975,8.104978,8.276929,9.093675,10.87851,12.712898,14.226824,14.939544,15.3013115,15.45447,15.302791,15.173965,14.975709,14.745008,14.773512,14.794638,15.1536255,15.429156,15.390674,15.08217,14.333321,13.264592,12.344083,11.680589,11.593337,11.388442,11.207869
2025-11-08 02:12:14+00:00,2025-11-08 00:00:00+00:00,4.8638453,5.5304756,6.276061,6.37316,11.825975,16.129114,16.531784,15.857731,15.2321005,15.206285,14.71533,14.288913,13.628025,13.867804,16.281687,18.063559,17.704624,17.094784,15.3146305,13.966721,12.649948,11.7777405,11.016149,11.539605,9.699337,10.109427,11.112288,15.758977,16.61762,16.85897,17.043274,17.545021,17.547447,17.471142,17.173782,17.88882,12.060856,5.8197165,3.1314774,0.17929065,-0.4953744,-1.2078406,-2.4671514,-1.9622061,-3.0236375,-3.3881648,-3.1397824,-2.8987434,-2.3137054,-2.4131155,-3.3441327,-4.021626,-4.106337,-3.633231,-2.9856951,-2.5299795,-2.634987,-2.616486,-2.6447277,-2.7604456,-3.1417873,-3.470753,-4.438965,-6.886183,-8.044788,-8.495463,-8.823751,-8.642906,-8.926833,-8.767522,-9.126014,-9.084742,-9.768778,-9.670478,-9.293688,-8.676214,-4.4311547,-2.7344744,-2.2112527,-0.91467357,1.0398865,2.5873919,3.6835997,4.5240965,5.190989,6.1167645,6.9114385,8.38691,8.779628,8.561277,8.727752,8.687863,9.034216,9.475852,9.43169,9.7812395,9.996235,10.498225,12.742031,13.317482,13.703862,13.964154,14.4087515,14.554866,14.698702,14.645062,14.303364,14.148692,14.059877,14.047761,14.260029,13.844282,13.3172865,12.780058,11.991295,10.76261,10.209798,9.815462,9.686556,9.934755,10.830449,13.111824,15.648871,17.099434,17.907156,18.366867,18.566181,18.45522,17.89067,17.592545,17.31093,16.962666,16.87896,17.073574,17.377134,17.371195,17.081709,16.17809,15.029898,14.102794,13.014229,12.483775,11.959819,12.054478,12.569702,13.948332,15.170965,15.853254,16.291916,16.611336,16.688715,16.730083,16.630833,16.531586,16.400003,16.26613,16.400003,16.787312,16.891768,16.920464,16.00133,14.517435,12.415361,11.287919,10.867013,12.002225,13.906963,15.713623
2025-11-09 02:33:43+00:00,2025-11-09 00:00:00+00:00,5.316079,3.9917367,14.625732,15.495183,14.316114,11.687241,17.152466,17.083237,16.602743,16.406948,17.29333,17.113045,16.963978,18.253601,12.913573,6.2240934,2.3848684,0.26722795,0.49033943,0.0953816,-0.9108494,-1.9831269,-3.333194,-2.7673075,-2.9824913,-2.865518,-2.4499984,-1.8953692,-1.0327708,-0.52973473,-0.9007929,-1.485281,-2.2498412,-1.3739332,-0.7342648,-1.7883378,-2.7661934,-3.6811354,-3.3085675,-5.018935,-5.8639684,-7.0394964,-7.020253,-6.630718,-8.563201,-8.357951,-9.984199,-11.403502,-11.481794,-10.900329,-12.443285,-11.519396,-6.9161463,-4.582244,-3.460622,-1.8356718,0.66634953,2.0642,2.95251,3.7993727,4.3294864,5.2199063,5.968888,7.3720994,7.9346094,7.117667,7.1357946,7.472094,7.7942824,8.276929,8.101438,8.554875,8.984648,9.443019,11.468521,12.037019,12.283699,12.855386,13.375791,13.581019,13.675101,13.708692,13.145239,12.756095,12.756429,12.68197,12.677801,12.759893,12.186561,11.341567,10.994938,10.417603,9.699005,9.476506,9.613861,10.217405,9.870433,10.631007,15.456645,16.359364,16.928247,17.455864,17.552916,17.453796,17.424837,17.226334,17.09566,17.045965,16.928589,16.896896,17.301472,17.304665,16.042526,14.8597765,13.702191,12.658855,11.819321,11.689492,11.462453,11.704901,12.136937,13.6098585,15.114294,16.36851,17.232864,17.91041,18.34586,18.387548,18.020327,17.871452,17.80845,17.6875,17.72409,17.80186,17.67141,17.371195,16.9192,15.839722,14.668,13.734957,13.497301,13.7546015,15.078389,16.400776,17.158268,17.481821,17.594372,17.801441,17.817581,17.524654,17.613497,18.122099,18.63237,19.185781,19.284632,19.30467,19.105158,18.744589,18.308018,17.690893,17.378183,16.389856,15.297628,13.971422,12.788044,12.185326,11.36619,10.633288
2025-11-10 02:24:10+00:00,2025-11-10 00:00:00+00:00,-6.1412077,-4.7966213,-4.15168,-3.618265,-3.4417493,-2.3832324,-0.7071297,-0.3369511,-1.3503852,-2.9883695,-2.9509053,-3.149663,-2.809348,-2.7426815,-2.5467396,-3.7230768,-4.313494,-4.4735994,-5.0369062,-5.357526,-5.969023,-6.471383,-6.71728,-8.275056,-8.615965,-8.984445,-9.952393,-10.360594,-11.080493,-10.927715,-11.481184,-10.31502,-10.218431,-10.748311,-11.008343,-10.8710375,-11.00159,-11.441827,-9.131341,-3.9032605,3.6711345,4.6665745,2.5920172,1.2476515,0.097674936,0.30768958,1.4234761,2.8677588,4.128407,9.118709,10.8548765,11.4556675,11.784398,12.147377,12.505066,12.804627,12.900036,12.789993,12.270393,11.926476,11.869137,11.672986,11.954482,11.893642,11.454909,11.24736,10.553037,10.000814,9.781322,9.387125,9.480569,10.109412,10.126971,10.895833,13.465391,15.191289,15.965863,16.38439,16.688715,16.589724,16.363468,16.035324,15.836817,15.687938,15.638306,15.588683,16.12188,16.011858,15.433638,14.563115,13.488619,12.476361,11.680589,11.302274,11.287919,11.168635,11.322679,12.499225,14.263489,14.889589,16.069721,16.93494,17.646528,18.238487,18.256218,18.37168,18.272055,18.18627,18.072792,17.691921,17.76274,17.227371,16.180214,14.920812,14.115777,13.96865,14.177086,15.208372,16.287165,17.113216,17.503021,17.562944,17.710884,17.801441,17.815,17.86631,17.96385,17.96385,17.915035,18.061205,18.354227,18.549412,18.645874,18.274532,17.736864,17.166466,16.41077,14.853158,12.552873,10.805501,9.250818,7.7824206,7.163254,7.032451,6.357964,6.1843038,5.9101806,5.1795044,2.2655268,-1.4156566,-4.8639956,-6.9576864,-8.321696,-9.446382,-10.371171,-11.095506,-11.216276,-11.359616,-11.017757,-10.686909,-10.460446,-10.240639,-9.169809,-8.405792,-7.9095664,-8.062217,-8.062332,-8.809181
2025-11-11 02:14:58+00:00,2025-11-11 00:00:00+00:00,-8.72743,-8.490089,-9.194806,-10.457155,-10.668297,-8.712881,-6.9049125,-5.985541,-5.072906,-5.6169357,-5.215626,-3.662683,-2.107426,-0.3003769,3.6138756,6.464855,7.787126,5.6952305,4.798663,3.7773798,1.3616343,2.1864963,3.1006863,3.474227,4.201458,4.633434,4.943857,7.4218144,9.777375,10.042157,10.001455,10.297834,10.6942625,10.464134,10.370916,10.148391,10.120352,10.120352,12.162078,12.439858,12.191417,12.110795,12.119448,11.66909,11.124491,10.920219,9.8626995,9.756239,9.152422,11.156697,12.944362,14.446178,14.988062,15.361829,15.744404,15.676386,15.620034,15.588683,15.489428,15.4398,15.555265,15.505577,16.106632,16.189613,15.433638,14.517435,13.443818,12.761935,12.002225,11.171875,11.244288,10.992768,11.1417,11.271963,12.644114,15.425721,16.93494,17.172981,16.907322,16.808523,16.7877,16.928589,16.94659,16.962666,17.076498,17.288479,18.218817,18.933895,18.645706,17.7181,16.040796,14.583482,14.279168,14.018961,14.456585,17.393074,17.545792,18.129274,17.984015,17.790337,17.67141,17.57346,17.525232,17.997389,18.254978,18.072947,17.876324,17.873272,17.530123,17.404238,17.605268,17.802631,17.503725,17.309229,16.970083,17.2634,17.757399,18.283295,18.625135,19.07394,19.395678,19.68945,20.15954,20.29405,20.481339,20.447886,20.500887,20.54982,20.79092,20.932037,21.021946,21.195301,21.195301,21.1589,21.26767,21.23486,20.966448,20.377424,19.963284,19.335539,17.68951,16.805956,17.734497,19.133585,19.807758,20.198973,20.710852,21.08807,21.47625,21.865524,22.008032,21.89075,21.737417,21.569998,21.638853,21.642658,21.639198,21.439857,21.182943,20.9371,20.548695,20.09725,19.036509,17.989511,17.48268,17.11605,16.992786,17.236353
2025-11-12 02:17:26+00:00,2025-11-12 00:00:00+00:00,4.3958516,6.249425,6.938081,8.484213,9.484973,10.464924,11.266645,11.916757,11.261961,10.488845,9.986856,9.569451,9.385147,8.992765,10.571999,11.301623,11.8264475,12.156842,12.288445,11.802756,11.345086,10.878846,10.61597,10.153569,9.818295,9.948655,12.381746,13.49562,14.300225,14.6205635,14.448807,14.284647,13.644582,13.152204,12.610573,12.118166,12.043483,11.649009,14.902029,15.904207,16.32289,16.10323,15.337751,14.512179,12.738209,12.113729,11.521545,11.357161,11.928219,12.782214,15.35807,15.165298,15.43083,15.624718,15.566343,15.84286,15.701299,15.725816,15.847273,15.96697,16.134575,16.350315,17.15359,17.594372,16.872158,15.873847,14.84919,13.880246,13.558079,12.926382,12.662825,13.169961,14.631254,15.501568,15.836936,16.206522,16.526869,16.563694,16.760056,16.984766,16.958197,16.928589,16.87896,16.829336,16.611273,16.561708,17.152767,17.979836,17.69448,16.731497,16.131624,15.6559725,15.297628,14.722688,14.770299,14.181679,14.060556,14.733587,15.838595,16.164913,17.196121,18.674408,19.185781,19.260893,19.350735,19.499987,19.810802,19.566252,20.158354,19.815113,19.64418,19.398895,19.334745,18.624245,17.629795,16.591417,15.692411,15.340649,15.237795,15.566172,16.393843,18.254715,20.120214,21.137455,21.540285,21.765171,21.865524,21.666065,21.574955,21.226484,20.990206,20.696194,20.539026,20.404652,20.606161,20.44803,20.309267,19.735426,18.673464,17.964518,17.136856,16.34935,15.868482,15.877699,16.449488,17.896679,19.497816,20.579643,21.283794,21.624302,21.91521,21.858591,21.827219,21.627714,21.444273,21.308502,21.228714,21.4183,21.47696,21.469507,21.0719,20.423475,19.555182,18.945293,18.959188,18.851982,19.14991,19.532408
2025-11-13 02:34:20+00:00,2025-11-13 00:00:00+00:00,8.74047,10.271758,13.24627,13.8542385,13.716871,14.05879,14.703549,14.77699,14.533767,14.161243,13.716318,13.370262,13.043093,12.746075,15.659974,16.37626,16.135826,15.661216,16.074001,15.812279,15.04571,14.459129,14.328291,13.855015,13.35821,13.034925,15.488349,15.845238,15.983135,14.5416565,15.10567,15.304476,15.373015,14.780609,14.138819,13.891969,13.325457,12.805797,15.659974,16.71416,16.276985,14.662186,14.330412,13.235467,12.871812,12.519687,11.848193,11.874341,11.08864,16.657173,16.664295,16.352272,16.355724,16.37981,16.512745,16.441233,16.243246,16.094755,16.165218,16.066093,16.016535,16.184202,16.794872,17.20862,16.406565,15.615598,14.533245,13.879918,13.622404,13.321655,13.014229,13.303096,13.6036005,16.306322,16.537428,17.160698,18.298698,18.318718,18.592682,18.764673,18.853231,18.969448,18.670567,18.435654,18.385773,18.385773,19.112022,19.25627,17.738422,16.668472,15.593391,14.635664,14.034783,13.376492,13.073818,13.490251,14.126209,15.091534,19.544693,20.140932,20.850313,21.146471,21.390455,21.50991,21.493805,21.310928,21.4183,21.161224,20.84502,21.094711,21.192427,20.453064,19.695621,18.759817,17.738993,16.673046,15.763756,15.384879,15.296781,15.996211,16.469297,17.571692,18.920593,19.687431,20.140932,20.500887,20.948881,21.22009,21.50991,21.59409,21.558502,21.458498,21.428213,21.467857,21.28095,20.966238,20.589872,19.79956,18.628101,17.52783,17.00442,16.616602,16.495813,17.10714,17.491611,18.416506,19.311832,19.9307,20.746593,21.656864,22.136675,22.27609,22.057844,21.937681,21.937681,22.037178,21.989986,21.82171,21.623962,21.40346,21.157244,20.352102,19.59655,18.729927,18.315662,18.086943,17.812458,18.03569
2025-11-14 02:18:19+00:00,2025-11-14 00:00:00+00:00,12.114988,11.738872,13.710172,15.092398,14.690554,15.072774,16.347946,16.952679,17.003004,16.607042,16.380812,15.666606,15.221118,14.874627,17.62686,19.337868,18.886175,17.909822,16.672071,15.576817,15.139195,14.152658,13.584218,12.678721,12.330152,12.548573,15.235242,15.352217,15.15339,14.734793,14.16661,14.133884,14.019135,14.027961,13.7639265,13.419744,13.299919,13.177541,16.09762,17.468327,17.472141,17.207197,16.424828,14.897294,14.279437,13.75077,13.183519,12.159168,11.338517,14.314933,16.355688,16.967945,17.815,18.220407,18.618967,18.665424,18.685675,18.504974,18.321867,18.172422,18.236145,18.18627,18.913538,18.59805,17.930138,16.665783,15.75395,14.76703,14.199744,13.686206,13.46831,14.132873,14.201735,14.999481,15.576949,18.076202,19.717937,20.061739,20.352552,20.126572,20.146734,20.48058,20.545387,20.944891,20.97122,20.66846,20.863605,20.482992,19.552914,18.317211,17.239515,16.68266,16.088547,15.545272,15.414166,15.252165,15.120253,15.248284,15.96869,19.144701,19.849552,20.392204,20.223793,20.575891,20.892971,20.912165,20.879581,20.944891,20.994835,20.779829,21.043964,20.750898,20.403662,19.735426,18.58273,17.651487,16.894562,16.761652,16.935844,17.516296,18.114832,18.919756,19.993412,20.58767,21.030188,21.45919,21.666065,21.607449,21.464249,21.47696,21.520927,21.737417,21.772356,21.786697,21.668142,21.56871,21.157244,19.724373,18.380901,17.38315,16.983162,16.783678,17.438663,18.491993,19.34208,20.611778,21.614698,21.868965,21.770962,21.317183,20.985502,20.904776,21.184036,21.133945,21.229492,21.390455,20.699892,18.334904,13.99481,9.131095,6.685156,6.294978,5.979913,5.226047,4.724012,4.9763684,5.4311175,5.6087017
