forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:34:44+00:00,2025-11-05 00:00:00+00:00,200.55612,196.4601,203.38524,203.02553,209.8988,223.21011,238.62704,253.17851,253.61038,254.29129,273.57626,266.6336,268.31534,262.30405,285.6423,312.4362,332.9495,13.069325,27.149609,36.86999,47.045418,48.69148,57.030594,59.264584,55.491425,56.309914,60.524208,60.832493,62.10283,56.82148,40.10085,50.52757,21.25058,36.027473,349.50858,318.57642,316.63654,316.73566,305.53775,275.44025,241.55717,226.78989,232.65057,240.5242,243.85321,245.34412,259.33026,254.53873,239.03632,240.83249,244.91644,263.92764,263.01904,271.1691,271.14572,271.1233,275.38922,281.94415,290.55612,318.62158,339.64667,340.49747,350.70676,9.752367,21.801476,26.952108,36.469334,39.03552,46.169064,59.743652,79.69521,102.80426,121.26367,125.537766,136.08084,155.43285,165.2564,169.82455,172.30405,184.63538,196.55714,207.21602,212.57405,212.57405,213.6901,224.9999,234.16226,232.54935,238.39255,252.52513,281.84204,289.53674,313.5057,340.44165,18.01986,32.6375,37.600483,43.58564,42.479134,44.581837,45.47345,46.576496,46.701324,43.754726,43.02507,40.502766,36.30459,34.460888,39.805527,35.537766,44.999897,48.301968,42.954597,44.396984,52.549347,54.46224,56.3099,60.64234,69.44387,79.99209,91.63654,103.24053,115.8663,126.25393,135.0001,141.84273,150.46132,158.83867,169.04597,180.0,189.46225,200.77234,206.56499,208.61037,208.92633,208.14151,208.00908,207.89719,207.40749,208.23735,209.5114,209.62366,207.51192,204.44394,201.31798,200.55612,199.29015,200.55612,202.30626,205.94225,209.7448,214.50858,219.80553,224.9999,230.38934,233.74606,236.7251,236.3099,235.56094,233.13002,229.14471,224.9999,222.20723,221.85495,222.10866,222.16582,221.18582,217.97166
2025-11-06 02:24:48+00:00,2025-11-06 00:00:00+00:00,51.34017,53.74608,55.0079,61.113514,51.34017,51.34017,49.899166,57.528828,8.97255,2.8623457,344.3577,342.25522,316.73566,304.28693,289.29013,292.3802,251.56496,234.63745,240.57263,245.46228,249.44388,247.3801,252.52513,249.77505,238.49579,242.02061,246.3706,249.44386,277.1249,279.92618,282.80426,294.62354,292.6199,308.33337,342.31552,16.607063,18.060568,9.926182,360.0,21.194136,37.073162,47.353336,53.74608,64.5367,66.037506,140.19447,180.0,190.00792,182.29056,135.0001,159.44388,170.75397,177.13765,182.93561,196.9909,203.19861,214.50858,217.99878,224.9999,238.57048,234.60512,248.68202,262.50424,287.2816,306.86996,312.4208,317.67548,325.2039,340.70987,15.945477,46.771442,56.469505,59.56585,57.99466,55.26507,55.26507,53.26709,54.865723,61.049107,47.419548,28.009092,25.06744,34.592358,26.250183,27.979382,26.175228,25.016869,30.159973,32.73523,37.99879,39.23735,41.63345,41.922462,41.09941,43.53127,46.507374,52.853233,66.19405,68.74943,96.70974,99.72751,119.05451,135.0001,140.71062,166.42955,173.6599,175.23645,197.87878,204.30453,209.0545,209.7448,207.69939,207.05052,206.9521,206.56499,207.27667,207.64589,207.68097,206.56499,204.62355,202.71445,199.65392,198.03438,198.03438,200.85454,204.86368,209.42737,214.04597,217.87505,222.35739,225.8813,229.39879,232.88306,235.30478,235.9806,236.3099,233.74606,231.48305,230.30096,234.19656,238.06935,239.99516,235.2039,224.9999,215.9422,216.6342,224.19316,232.90707,244.98314,259.3804,273.57626,289.6539,307.40543,322.3523,328.39255,330.1012,331.1893,333.9967,337.9637,342.40747,349.82455,1.5911111,10.61961,13.495748,10.007925,12.528798,75.96373,135.0001
2025-11-07 02:23:15+00:00,2025-11-07 00:00:00+00:00,244.7223,236.3099,241.69934,244.98314,264.68555,277.49576,282.5288,296.56497,304.69522,322.4958,1.8778423,8.365798,6.0089183,11.3098955,355.60138,19.592375,31.607454,34.019398,41.63345,63.435013,79.69521,113.962494,147.99466,169.3804,167.00539,172.14677,174.95764,177.95464,164.05453,180.0,186.91113,202.47948,217.23491,235.30478,235.17543,217.23491,217.56866,221.18582,250.9064,251.11382,252.58194,283.24054,326.0234,7.326311,12.7243595,23.428713,31.551338,40.601215,44.19317,50.906155,53.84173,60.64234,63.435013,61.113514,57.45001,52.124958,44.309803,36.38445,30.068504,17.281584,20.409975,15.5928755,4.398633,28.354864,33.6901,37.806587,39.90783,43.02507,39.143982,38.088825,34.69522,38.65983,55.885483,66.80139,81.02746,98.13002,113.42871,123.17853,136.27295,131.18582,138.99101,146.3099,152.59251,156.57129,175.101,184.76355,188.61557,190.00792,196.18927,197.68448,200.11267,202.21765,202.50357,203.58704,204.1932,202.13554,191.07016,188.65247,189.46225,193.24052,196.38962,201.19412,206.0753,208.14151,214.04597,220.31403,221.30852,226.8476,227.72636,226.78989,227.81563,230.19447,233.31018,230.82635,226.66829,227.67548,229.72021,230.38934,228.01286,222.82524,218.2902,221.53168,228.27058,233.8067,235.66972,236.97612,240.57263,249.44386,263.21112,276.78888,291.54105,309.09384,324.9041,337.79648,346.18494,353.29025,0.8813861,9.950565,19.133741,24.443953,27.149609,34.50859,51.842735,74.054535,87.064384,91.46877,90.0,86.531845,77.90526,62.354122,46.8476,39.09386,36.86999,34.50859,32.005356,32.005356,33.6901,44.999897,65.55606,90.0,122.00535,156.0375,175.60138,187.12492,188.97255,184.96965,170.21767,156.0375
2025-11-08 02:12:47+00:00,2025-11-08 00:00:00+00:00,198.43504,189.0902,207.64589,198.43504,184.899,203.9625,203.80595,226.27295,245.37645,243.43501,237.38077,272.3859,278.42688,293.9625,289.79895,292.47946,353.6599,27.718414,48.54486,54.37201,56.768288,56.546673,56.793423,59.88635,60.94549,62.878777,69.44387,73.17851,71.22187,60.94549,54.90411,55.560955,44.999897,36.86998,32.005356,21.037588,19.025702,12.094739,8.426887,36.552567,40.695446,41.922462,41.268513,39.55964,31.75944,29.744795,20.095322,26.564985,38.65983,88.4926,110.37652,120.141304,122.34742,123.6901,130.23628,136.16905,149.62096,150.2552,150.9455,167.27565,170.53775,176.53185,184.76355,186.3401,187.23683,182.60251,184.08554,185.55287,189.46225,190.23474,192.26476,191.12915,183.73132,185.82625,186.84268,187.12492,187.96953,192.90741,200.40997,201.80147,202.03629,211.86594,219.47243,219.64413,220.60121,219.80553,222.35739,226.24529,227.08257,230.90614,237.22513,241.13293,255.19157,261.15826,261.57312,277.3523,264.2895,235.17543,245.82089,299.29126,352.40543,327.87503,330.25522,340.8209,345.06854,344.05453,348.4399,348.92984,356.49652,358.78116,1.3638979,16.113499,31.534754,46.5911,57.619343,68.40463,77.24247,83.77426,87.79745,91.21885,94.08554,94.28908,94.39862,93.012726,91.63654,91.84757,90.0,87.79745,87.614105,87.27374,90.0,98.74608,113.962494,140.19447,180.0,195.25517,199.65392,198.43504,197.6502,200.32323,202.1095,202.6199,199.74693,196.69933,195.01842,194.67644,195.94547,198.85326,204.10223,211.70139,217.74687,222.87889,227.12111,230.38934,233.74606,235.88548,239.30035,243.43501,247.249,248.19853,242.5925,233.53067,223.66785,218.15727,214.07724,210.96368,205.01686,199.13374
2025-11-09 02:34:13+00:00,2025-11-09 00:00:00+00:00,43.315353,33.6901,37.875053,48.468323,39.957497,46.041542,46.080845,39.805527,37.146767,32.96941,29.475794,28.495539,18.435053,14.470333,16.189287,30.113651,40.29208,42.27363,40.71076,35.272507,23.552286,18.435053,18.853252,21.124796,38.92756,43.53127,51.709793,44.999897,72.89719,103.24053,105.945465,91.84757,100.491425,98.74608,114.44395,198.43504,48.814175,117.64589,212.90524,190.88548,188.74608,203.70265,212.12497,215.78906,219.80553,225.74397,228.91835,226.78989,209.7448,187.12492,192.17145,190.3048,192.8477,195.80258,201.12479,206.0033,208.8107,211.60745,216.60716,221.42357,224.9999,220.73201,224.16977,228.07755,229.89915,232.43134,233.78107,234.75233,239.56584,252.57005,254.33177,257.90524,254.98158,249.44388,249.56708,253.30067,266.6336,291.3707,310.97165,328.62704,333.97046,336.8014,336.16125,341.56494,345.14133,352.5687,2.7926505,18.03438,22.89059,29.577742,30.1413,36.027473,42.878906,55.304783,75.96373,102.80426,118.1785,125.537766,127.18479,125.13428,129.80553,149.34941,163.30067,185.52745,197.87878,198.43504,209.24873,226.73567,226.63654,218.04709,230.44037,244.98314,250.25307,257.00537,270.0,270.90936,270.0,268.3865,266.42374,263.41815,258.17853,251.14674,244.5367,241.85849,243.97047,251.1752,254.74483,254.74483,251.96562,249.14546,246.29735,242.87877,239.0363,234.60512,229.39879,223.36346,218.81139,215.90982,214.65138,215.09589,216.02747,215.89276,213.11134,207.71841,203.19861,206.0033,214.43904,219.09384,214.43904,206.0033,202.89058,207.09547,215.39488,221.42357,222.27362,220.31403,218.85338,216.02747,214.641,218.19873,227.68384,237.65257,246.73679,258.59348,273.9451,285.0864,290.72565,293.658
2025-11-10 02:24:56+00:00,2025-11-10 00:00:00+00:00,49.635548,84.2895,109.440125,6.70975,90.0,107.818985,109.653915,104.62092,104.03627,180.0,203.19861,230.71062,248.74942,300.96368,273.814,199.53674,199.88525,208.00908,213.6901,212.79953,215.2725,216.6342,218.08882,214.07724,200.77234,201.16133,196.18927,204.44394,202.8337,201.25058,214.21576,219.55963,220.60121,232.3057,236.88864,238.67136,245.22488,242.52565,252.3498,241.29414,226.8476,229.39879,230.77434,232.95744,240.4613,247.1263,257.4712,283.627,270.0,238.24055,250.86626,281.76825,313.2101,1.2453395,356.186,336.29733,341.99573,1.397161,5.8559217,8.325568,10.437421,9.462261,17.447285,32.347424,46.97493,61.60708,71.075264,83.08887,97.12492,113.42871,117.34979,115.76928,118.495544,129.61066,135.0001,136.2188,140.71062,156.2505,164.93146,180.0,192.72435,196.85847,210.96368,217.18478,224.9999,238.78166,232.25313,231.54626,235.66972,236.61147,244.85524,247.61981,251.24126,251.89613,253.9091,246.29735,242.87877,258.9591,252.47433,239.47037,242.35411,242.90453,242.87877,250.70985,252.55272,212.27562,224.11868,231.14662,227.72636,224.0609,220.15593,211.53474,211.32863,195.81926,196.85847,203.0089,210.43416,213.36638,210.62993,202.24907,193.79951,190.40765,190.78426,193.32454,196.69933,201.80147,208.9509,221.37842,235.0079,244.5367,245.61363,244.23071,246.72707,257.94922,278.53067,292.6714,290.22495,283.80753,280.34158,281.38382,283.69006,286.55716,293.1986,309.34048,331.0491,326.68936,296.56497,280.6196,287.47485,300.37906,306.7143,306.70294,304.24908,302.38065,303.34073,307.64767,310.31403,313.09085,315.0001,316.04153,313.83093,306.86996,299.24872,297.3498,296.56497,294.77512,285.12405,266.3087
2025-11-11 02:15:28+00:00,2025-11-11 00:00:00+00:00,186.3401,192.20045,197.44728,199.44012,201.12479,204.22774,216.52895,215.3113,243.43501,223.53127,230.44037,241.69934,246.0375,242.5925,233.97253,247.96371,234.46223,236.6336,233.13002,238.67136,239.589,244.65387,236.88864,229.76372,240.2552,255.17348,228.65231,240.2552,232.12495,284.03625,90.0,163.14153,221.42357,281.88864,332.24155,2.4894993,348.23172,347.00537,14.620926,62.447273,83.51703,97.76508,110.854546,127.11694,134.09071,142.35231,152.8504,156.3706,135.0001,109.85531,118.1785,139.63554,163.0724,175.91446,191.68935,206.56499,210.1413,209.35765,230.38934,246.80139,232.85323,226.90913,246.80139,243.43501,249.71735,254.3577,254.47583,253.73972,252.29948,252.64589,260.13425,274.28906,290.85452,275.31445,262.23492,253.68607,255.61856,257.3196,274.5139,281.68933,239.53453,236.97612,272.72626,257.90524,217.56866,217.40543,223.26433,226.63654,233.13002,228.36655,233.84172,223.22856,218.25447,214.59235,205.01686,191.68935,182.2457,182.29056,177.79745,177.95464,180.93916,183.06642,185.94676,188.13002,189.24603,183.99083,191.59215,183.01273,168.69011,169.82455,172.03047,183.66771,186.93425,185.47728,186.3401,185.4037,182.97366,183.01273,187.76508,196.09088,199.23076,182.4895,162.824,155.69547,159.73422,170.39487,180.90936,189.78233,202.20352,214.0194,228.01286,247.8905,260.78903,257.82855,252.3155,247.13545,240.39565,232.71559,230.07219,234.26013,240.94548,245.17067,245.4099,243.68741,241.55716,240.2552,239.9315,240.64233,244.02565,249.52763,254.47583,255.5792,254.60439,254.74483,255.96373,259.31512,263.01904,266.56644,268.9584,271.97488,274.8439,278.6731,279.95056,279.81924,276.3401,270.0,258.40784,246.97447
2025-11-12 02:17:59+00:00,2025-11-12 00:00:00+00:00,217.74687,216.32692,210.25635,218.8845,202.98874,203.19861,228.23979,234.29321,251.56496,289.0936,340.9743,345.9637,3.6521478,12.652561,16.313938,31.138918,54.46224,60.852028,68.62931,74.407135,83.51703,98.13002,112.61991,125.13428,122.1957,136.46873,142.59457,122.73522,19.983198,17.650223,40.364468,351.02744,343.61038,319.0857,296.56497,274.08554,288.43503,272.86234,301.75943,296.56497,287.1028,236.3099,241.8215,253.49556,261.57312,263.41815,255.37909,196.26028,199.9832,258.6901,271.46878,263.4803,255.5792,247.8905,214.50858,221.30852,236.68936,250.64091,249.62347,253.0091,259.82455,273.094,271.68463,255.17348,243.43501,245.29759,245.77226,244.50249,245.34412,243.8385,239.19862,228.09415,210.76265,209.60435,202.89058,193.7608,197.02061,202.71445,211.42952,217.99878,220.60121,228.50363,244.17906,238.78166,230.7106,231.54626,231.76613,234.60512,242.87877,241.1893,236.6336,233.8067,231.49931,228.73149,233.13002,236.3099,245.65892,241.1893,246.64441,247.5572,245.77226,250.34608,240.57263,237.42595,244.02565,245.22488,252.40749,262.8751,268.53122,267.0644,259.28693,255.4655,259.50858,260.2725,256.2091,254.3204,252.18102,251.25015,253.55132,258.0239,262.208,266.3087,269.38394,270.0,265.23645,255.78412,249.25385,251.25856,261.15826,271.54813,271.68463,264.95764,261.87,266.98727,272.66293,274.8644,271.1233,266.82022,263.9911,265.23645,267.22986,270.0,274.31595,281.0409,290.55612,299.74478,305.13428,306.52896,300.96368,290.37653,290.55612,320.52756,26.564985,46.8476,54.90411,61.504463,71.075264,77.619255,82.875084,86.76037,93.301796,101.768265,109.98319,117.64589,124.33028,127.77575,128.2902,124.77791
2025-11-13 02:34:50+00:00,2025-11-13 00:00:00+00:00,120.256355,119.74479,123.11135,122.27562,109.17911,90.0,68.19853,49.398785,318.81415,289.9832,286.6993,302.47116,282.26477,266.6336,282.80426,303.6901,270.0,255.06853,251.56496,258.6901,281.3099,239.74365,227.12111,201.25058,169.6952,178.26433,205.7099,260.21765,248.5522,270.0,273.814,252.75845,276.91113,263.08887,270.0,278.13,285.4222,277.59454,305.31128,291.80148,307.99878,308.15726,300.69965,294.67685,270.0,257.4712,254.98158,242.24155,203.7495,210.17343,202.89058,190.88548,197.47487,202.20352,208.70586,211.18492,215.21768,223.91916,240.64233,238.78166,225.97093,224.0609,227.9109,227.56381,228.36655,229.26797,231.009,233.90163,232.59456,233.97253,241.1893,250.6651,255.06853,234.0578,247.79646,263.23392,273.31772,272.68372,280.30478,286.09088,280.40765,281.82147,271.3019,276.20334,285.25516,280.6196,282.4074,286.29413,283.4652,272.41946,267.10147,257.70474,254.24875,257.0926,250.26723,248.68202,255.37909,252.64589,257.19574,256.29303,239.53453,243.9967,255.49979,255.12427,251.0295,253.16245,254.93146,259.47928,258.5305,267.03912,268.6361,272.08252,275.35574,276.61337,259.54013,262.09293,266.42374,267.17294,260.13425,243.88614,229.02835,228.17992,233.3438,241.0491,252.29948,268.75467,282.80426,288.85324,292.06796,292.98874,292.47946,290.55612,284.74362,280.30478,251.56496,146.3099,151.92761,161.56496,163.44286,164.21918,164.19742,163.11313,157.61983,149.23735,139.68597,131.76021,123.690094,117.40749,115.11481,116.56499,118.8107,120.963684,123.690094,130.36446,141.009,152.59251,160.9743,177.6141,209.35765,239.53453,243.43501,236.3099,228.36655,216.25392,180.0,139.76372,133.66785,132.3574
2025-11-14 02:18:55+00:00,2025-11-14 00:00:00+00:00,224.9999,247.8905,243.43501,248.83867,254.74483,252.07199,258.3664,244.05775,287.928,261.11942,270.0,273.814,276.3401,295.7099,298.88647,294.44394,298.3929,289.85532,281.0409,262.7251,255.37909,250.34608,245.32315,236.3099,233.84172,238.73633,210.37904,235.30478,246.0375,231.34016,235.17543,241.69934,233.84172,237.80429,249.67677,260.21765,270.0,281.76825,270.0,265.42615,247.8905,243.43501,244.98314,246.57129,237.99466,238.57048,237.84773,218.991,205.82094,268.6981,265.71094,260.75397,253.8865,253.5399,274.57382,284.93146,290.40997,288.8248,292.0363,302.27563,291.54105,297.21603,301.8274,294.30453,290.89783,294.7174,283.82867,275.8773,260.2725,257.70474,254.80469,251.7605,245.29759,256.60748,249.59003,261.34753,264.92047,252.97939,263.01904,266.26868,261.67444,252.47433,254.87593,267.33704,267.45526,270.0,255.61856,272.16104,279.86575,269.10486,272.45398,269.19308,273.27042,277.76508,282.926,286.26028,290.22495,301.5042,278.13,253.14151,252.18102,262.6477,285.94547,320.7106,351.02744,40.601215,71.564964,136.54811,183.01273,135.0001,108.43504,126.46933,144.09018,154.59233,154.85526,156.0375,155.55606,153.86906,148.46526,137.91092,123.6901,112.38018,102.99462,96.78888,90.0,81.6342,75.068535,70.974304,70.974304,68.19853,60.255207,350.53775,291.03757,292.3802,301.4295,299.74478,287.81897,274.63538,266.34784,261.60715,258.11136,257.10626,258.26144,260.98074,266.6336,277.4313,289.9832,297.12122,293.38525,280.6196,268.09088,268.15244,275.04236,281.88864,287.2816,290.6745,292.9638,293.87527,295.01685,295.42682,296.56497,297.8972,296.88684,291.1399,282.8356,276.58185,274.2678,272.20255
