forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:02+00:00,2025-11-05 00:00:00+00:00,14.615,10.115,7.915,6.465,5.515,4.715,3.9650002,4.215,4.315,4.1150002,3.865,3.7150002,4.015,3.015,2.315,2.815,8.214999,12.665,14.165,15.615,16.265001,16.665,16.265001,15.865,13.714999,11.315,9.665,9.115,8.565,8.014999,7.415,7.1150002,6.665,6.515,6.465,6.065,6.015,4.665,3.315,4.1150002,7.515,9.365,10.714999,12.264999,13.464999,13.714999,13.665,13.714999,11.565,6.6075,5.3075004,4.3075,3.3575,2.8575,2.3075,2.1575,2.2575002,1.8575001,1.2575,1.0075,0.9075,0.75750005,0.70750004,3.9575,7.1075,9.8075,12.3575,14.4574995,15.157499,15.1075,14.157499,13.0575,10.5075,7.7075,6.3575,5.8575,5.0575004,4.2575,4.0075,4.0575,3.4575,2.9575,2.4575,2.3075,2.1075,1.7575,1.2075001,3.9575,7.0575004,9.657499,11.8575,13.3575,14.3075,14.7575,14.6075,13.6075,10.657499,7.7075,6.3575,5.4575,4.7575,4.0075,3.5575,3.2075,2.9575,2.2575002,1.8575001,1.6075001,1.4075,1.2075001,1.2075001,4.2075,7.2075,9.907499,12.5575,14.4574995,15.8075,16.2575,15.407499,13.657499,11.8575,10.1075,8.2575,6.8075004,5.9575,5.4575,5.0575004,4.6575003,4.2575,3.9575,3.5075002,3.1075,3.1075,3.4575,4.2075,5.6575003,8.3575,11.7575,14.5575,16.3075,17.4575,17.7075,16.7075,14.7575,12.8075,10.9574995,9.0075,7.5075,6.6575003,6.2575,5.9075003,5.5575004,5.2575,4.9575,4.5575,4.1075,4.0575,4.3575,5.0075,6.3575,8.9574995,12.2575,14.907499,16.6075,17.6575,17.7575,16.4075,14.157499
2025-11-06 02:26:15+00:00,2025-11-06 00:00:00+00:00,13.365,10.464999,8.365,7.765,7.1150002,6.765,5.965,4.715,4.6150002,4.315,4.265,4.065,3.765,3.415,3.115,2.165,6.665,9.665,11.514999,13.165,15.214999,16.865,16.315,15.115,12.464999,9.115,7.065,6.015,5.515,4.965,4.715,4.3650002,3.865,3.115,2.565,2.265,1.7650001,1.065,0.465,0.815,5.665,9.665,13.214999,16.465,16.615,16.315,15.615,14.714999,12.665,7.7075,6.3575,5.4575,4.7075,4.2075,3.9075003,4.0075,3.7575002,3.3575,2.5075002,2.5075002,2.4575,1.6075001,1.8575001,4.1575003,7.1575003,9.8075,11.7575,13.157499,14.157499,14.7575,14.657499,13.7575,10.5575,7.5075,6.2575,5.5075,4.8075,4.0575,3.4075003,3.1075,2.4075,1.7575,1.5075,1.2575,0.95750004,0.75750005,0.6575,3.6575003,7.1575003,9.9574995,12.4574995,14.3575,15.5075,16.0575,16.1075,15.657499,11.657499,8.6575,7.3575,6.3075004,5.6575003,5.1575003,4.7575,4.3075,3.9075003,3.5075002,3.2075,2.9075,2.6075,2.3575,2.1075,5.0575004,8.8075,11.4574995,13.8075,15.7575,17.1075,17.5075,16.3575,14.2575,12.157499,10.3575,8.5575,7.1575003,6.3575,5.9075003,5.5575004,5.1575003,4.7575,4.4575,4.1075,3.8575,3.8575,4.1575003,4.7075,5.9075003,8.1575,10.9574995,13.407499,15.3575,16.9075,17.4075,16.2075,13.907499,11.7575,10.0575,8.5075,7.4575,7.2075,7.4075003,7.5575004,7.4075003,7.2075,6.9075003,6.4575,5.9075003,5.7575,6.0075,6.5575004,7.7575,10.0575,12.9574995,15.2074995,16.4075,17.0075,16.8075,15.5575,13.5075
2025-11-07 02:24:40+00:00,2025-11-07 00:00:00+00:00,13.165,9.615,7.565,6.315,5.515,4.965,4.3650002,3.7150002,3.265,2.915,2.4650002,2.165,0.615,0.114999995,0.465,0.865,5.465,9.464999,12.915,14.764999,16.415,16.715,15.964999,14.865,12.665,9.464999,7.665,6.665,5.465,4.6150002,3.9650002,3.615,3.2150002,2.815,2.415,1.7149999,0.965,0.665,0.265,0.315,5.015,7.915,11.014999,12.714999,14.115,15.115,15.415,14.714999,12.264999,6.7075,5.6075,4.7575,4.1075,3.7575002,2.8575,1.9575,1.9075,0.9075,0.80750006,0.75750005,0.55750006,-0.2924999,-0.4425,2.6075,6.1575003,9.157499,11.7575,13.657499,14.9574995,15.7575,16.0575,15.7575,11.6075,8.0075,6.5575004,5.6075,5.0075,4.7575,4.1575003,3.7075,3.3575,2.9575,2.6075,2.3575,1.9575,1.7575,1.5575001,4.5075,8.2575,11.0075,13.657499,15.657499,17.057499,17.7575,17.9575,17.307499,12.5575,9.3575,7.6075,6.9575,6.2575,5.8575,5.3075004,4.7075,4.3575,3.9075003,3.6575003,3.3075,3.1575003,3.2075,2.8575,5.3575,9.2575,11.5575,13.5575,15.7575,17.557499,18.2075,17.0075,14.6075,12.3075,10.3075,8.3575,6.9075003,6.2575,6.1075,6.0075,5.8575,5.7575,5.6075,5.2575,4.9075003,4.9575,5.4575,6.3575,7.7575,10.1075,13.0075,15.3575,16.8575,17.807499,17.807499,16.4575,14.2074995,12.0575,10.3075,8.7074995,7.4575,6.7075,6.3075004,6.0575004,6.0075,6.1075,5.9575,5.2575,4.4075003,3.9575,4.1075,4.7075,6.1075,8.9075,12.4574995,15.3075,17.0075,18.057499,18.1075,16.7575,14.5075
2025-11-08 02:14:07+00:00,2025-11-08 00:00:00+00:00,13.415,9.815,7.915,7.065,6.265,5.065,3.4650002,3.265,3.015,2.315,1.365,0.315,0.065,-0.335,-0.535,-0.185,4.415,7.3650002,10.615,12.514999,13.915,14.565,14.315,13.615,11.464999,7.8650002,5.915,4.465,3.665,3.115,2.315,1.415,0.965,0.615,-0.23500001,-1.135,-1.7850001,-2.635,-2.7849998,-1.685,2.915,6.8650002,10.865,13.615,15.315,16.665,16.615,15.714999,12.714999,8.7575,7.3075004,6.7075,6.2575,5.3075004,4.9075003,4.5075,4.0575,3.7075,3.3075,2.8575,2.5075002,2.3075,2.1075,5.0075,8.5575,11.2074995,13.7074995,15.5575,16.8075,17.4575,17.6575,17.2075,12.5575,9.5075,8.1575,7.3575,7.1075,6.8575,6.1075,5.3575,4.9575,4.4575,3.8575,3.6575003,3.4575,3.2075,3.3075,5.5575004,8.8575,11.0075,13.2074995,15.0575,16.6075,17.4575,17.307499,16.1575,12.0075,8.8575,7.6075,6.5575004,6.1075,5.8075004,5.3075004,4.9075003,4.5075,4.2075,3.8575,3.5575,3.3075,3.1075,2.9075,5.6575003,10.0575,12.7575,14.907499,16.6075,17.6075,17.7075,16.5075,14.4574995,12.4574995,10.8075,9.2575,7.9075003,6.9075003,6.1075,5.4575,4.9075003,4.5075,4.1075,3.6075,3.1075,3.0075002,3.2075,3.7575002,5.1075,7.8575,11.407499,14.2575,16.0075,17.057499,17.1575,15.9574995,13.8575,11.7575,9.907499,8.1075,6.7575,6.1575003,6.0075,5.8575,5.5575004,5.2075,4.9075003,4.4575,4.0075,3.9575,4.2575,4.9575,6.3575,9.1075,12.5575,15.407499,17.307499,18.557499,18.7575,17.307499,14.7575
2025-11-09 02:35:31+00:00,2025-11-09 00:00:00+00:00,12.014999,8.365,6.465,4.815,3.865,3.2150002,2.615,1.815,1.015,0.765,0.815,-0.135,-0.935,-1.4849999,-1.835,-1.335,2.915,6.765,10.365,13.565,15.615,16.765001,17.065,16.115,12.915,9.615,7.3650002,7.3650002,6.515,4.965,4.465,4.3650002,4.015,3.865,2.865,2.315,1.865,1.4649999,1.2650001,1.115,5.265,9.714999,13.514999,16.015,17.365,18.115,17.565,16.465,13.464999,9.4574995,8.3575,7.3075004,6.8575,6.4075003,6.0575004,5.4075003,5.1075,4.4575,4.1075,4.1075,4.1075,4.1575003,3.3575,5.8575,9.3575,11.657499,13.8075,15.6075,17.2575,18.1575,17.4575,16.1075,12.1075,8.9075,7.2075,6.7575,6.7075,7.6075,8.1575,7.5075,6.6575003,7.3575,7.0575004,7.1075,6.8575,5.9075003,6.1075,7.6075,10.1075,12.5575,14.1075,15.3575,15.3075,14.7074995,13.9574995,13.2575,11.3075,9.8075,9.5075,8.7074995,7.5075,6.8075004,6.0575004,6.0075,5.9075003,5.9075003,5.7575,5.7575,5.6575003,5.4075003,4.6075,6.0075,9.2575,12.2074995,13.2074995,14.157499,14.407499,14.2575,13.657499,12.7074995,11.657499,10.6075,9.4574995,8.6575,8.4574995,8.5575,8.2575,7.1075,5.6075,4.5075,4.1575003,4.1575003,4.2575,4.3575,4.4575,4.4075003,3.9575,3.3575,2.9075,2.8575,3.0075002,2.9575,2.5575,1.9075,1.0575,-0.14249992,-1.4925,-2.5924997,-3.0924997,-3.2925,-3.4924998,-3.8925,-4.2925,-4.6924996,-5.1425,-5.5924997,-5.7925,-5.7925,-5.5924997,-4.7925,-2.9924998,-0.5925,1.4575,2.9075,3.9575,4.3075,3.6575003,2.3575
2025-11-10 02:26:22+00:00,2025-11-10 00:00:00+00:00,13.815,9.865,8.915,6.8650002,6.515,5.3650002,4.315,3.765,3.165,2.7150002,2.4650002,1.9649999,1.565,1.565,1.5150001,1.2149999,5.515,10.115,13.915,16.865,18.665,18.965,18.465,17.465,14.365,10.615,8.615,7.8650002,7.765,7.315,6.665,5.665,5.265,5.515,5.315,4.465,3.815,3.2150002,2.615,2.765,6.165,10.214999,12.764999,15.714999,17.765001,18.715,18.965,18.365,14.915,8.8075,7.4075003,6.7075,6.8575,6.5575004,6.9075003,6.5075,6.5075,6.3075004,5.8575,5.6075,5.7075,5.1575003,5.2575,6.9575,10.2074995,12.7575,14.0075,15.0575,15.3075,15.407499,15.0575,14.0075,11.2575,10.2074995,9.907499,9.407499,8.7575,7.9575,6.7075,6.1075,5.7075,5.3075004,5.0575004,4.8075,4.6075,4.4575,4.3575,5.7075,10.2074995,11.8575,13.0575,13.9574995,14.3075,13.9574995,14.157499,13.5075,11.6075,10.157499,9.907499,8.7575,8.5575,8.2575,6.2575,5.6075,5.4075003,5.0575004,5.3575,5.1075,4.5575,5.1575003,4.6575003,2.7075,2.6575,2.9575,0.50750005,0.30750006,0.30750006,0.057500064,-0.5925,-1.4925,-2.3424997,-3.0924997,-3.7925,-4.4925,-5.1425,-5.7925,-6.4925,-7.2925,-8.1425,-8.7925005,-9.2425,-9.5425005,-9.5425005,-9.2925005,-8.7925005,-7.4925,-4.7925,-1.3925,1.2075001,2.3575,2.7075,2.5575,1.8075001,0.45750004,-0.8425,-2.1425,-3.4924998,-4.4424996,-4.6924996,-4.4925,-4.3925,-4.4925,-4.5924997,-4.7425,-4.9424996,-5.1425,-5.0425,-4.7425,-4.1425,-2.8424997,-0.1925,3.2075,6.0075,7.8075004,8.9574995,9.2575,8.2575,6.3575
2025-11-11 02:16:46+00:00,2025-11-11 00:00:00+00:00,15.165,10.915,8.565,6.8650002,6.915,7.415,7.065,6.965,6.515,6.1150002,5.665,4.565,3.615,3.365,3.065,2.815,6.915,11.115,14.415,16.665,18.315,19.215,19.265001,18.565,14.764999,11.214999,9.915,8.665,7.465,6.965,7.065,6.415,6.065,5.765,5.965,5.565,4.715,5.1150002,4.6150002,5.015,9.365,13.264999,15.065,16.265001,16.765001,16.715,16.065,15.065,13.214999,10.407499,9.4574995,8.1575,7.3075004,7.2575,6.6575003,6.2075,6.0575004,6.0575004,6.1075,5.9575,5.9075003,5.4575,5.0075,6.4575,10.407499,13.1075,14.2575,14.9574995,15.3075,15.2575,14.7575,14.2074995,11.8075,8.9075,8.7074995,8.5575,8.3075,7.5075,8.3575,8.3575,9.2074995,9.157499,6.6575003,7.0075,5.8575,5.0575004,5.0575004,5.7575,4.9575,2.9575,2.7575002,2.7075,2.3575,2.5575,2.2075,1.7075,1.4575,1.7075,2.1075,2.1075,2.1075,2.2075,2.3075,2.3075,2.4075,2.5075002,2.5075002,2.4075,2.2575002,2.0575,1.7575,2.1075,1.7575,1.9075,1.7075,1.7575,1.8575001,1.9075,1.8575001,1.8075001,1.7575,1.7075,1.6575,1.6575,1.7575,1.9575,2.0575,2.1075,2.0575,2.0575,2.1075,2.1075,2.1575,2.1075,2.0075002,2.1075,2.4575,3.0075002,3.6075,4.3575,5.1575003,5.4575,5.0575004,4.1575003,3.0075002,1.5075,-0.24249995,-1.6425,-2.4924998,-2.9924998,-3.2925,-3.3925,-3.2925,-3.2424998,-3.3925,-3.5425,-3.5425,-3.3925,-3.1425,-2.3424997,-0.6424999,1.5575001,3.2575002,4.1075,4.4075003,4.3075,3.7075,2.6575
2025-11-12 02:19:21+00:00,2025-11-12 00:00:00+00:00,15.115,10.915,9.315,8.764999,7.515,6.765,6.315,5.415,5.915,5.665,5.415,4.465,4.315,4.1150002,3.365,3.865,7.665,11.714999,14.915,15.714999,16.715,17.265001,16.765001,15.714999,13.214999,10.514999,10.065,9.464999,9.065,8.915,7.465,6.665,6.315,6.665,6.265,5.8650002,5.8650002,5.915,5.915,6.215,7.915,10.815,14.565,15.714999,16.115,16.365,16.065,14.764999,12.615,9.0575,8.0075,7.1575003,7.4075003,7.2575,7.3075004,6.4575,6.2575,5.9075003,5.7075,5.8575,5.5575004,6.1075,5.8075004,7.4575,9.657499,11.4574995,13.0075,13.8075,13.9574995,13.3075,12.4574995,11.7074995,10.7575,9.8075,7.8075004,7.2075,7.4075003,7.5575004,7.5575004,7.4575,6.7075,5.8075004,6.3575,5.8075004,5.8575,6.6075,6.3575,6.8575,7.6575003,6.8575,6.6575003,6.5075,7.0075,7.1075,7.6075,7.6575003,7.5075,7.3075004,6.6575003,5.7075,4.9075003,5.1075,5.9575,5.3575,2.7575002,2.7575002,2.7075,2.5075002,2.3575,2.2075,1.7575,1.9075,2.9075,3.6075,3.1575003,4.2575,5.5575004,6.2075,5.6575003,4.4575,3.3575,2.6075,2.0075002,1.6075001,1.5075,1.6075001,1.7575,1.8575001,1.9575,2.0075002,1.9075,1.7575,1.7075,1.8575001,2.1575,2.6075,3.4075003,4.4075003,5.2075,5.6575003,5.8575,5.8075004,5.4075003,4.7075,4.0075,3.2575002,2.4575,1.9575,1.9075,2.1575,2.3575,2.3575,2.3075,2.2575002,2.2075,2.2075,2.2075,2.2575002,2.3075,2.4075,2.5075002,2.6575,2.7575002,2.8575,2.9575,3.0575,3.0575,3.0575
2025-11-13 02:36:09+00:00,2025-11-13 00:00:00+00:00,12.014999,9.464999,8.365,7.3650002,5.3650002,5.815,5.415,5.165,5.165,4.965,4.415,4.015,4.165,4.065,4.165,4.6150002,5.915,7.6150002,10.065,14.264999,16.165,16.465,16.465,15.764999,12.964999,9.665,8.415,7.665,6.815,5.915,5.515,4.815,4.315,3.815,3.615,3.315,2.7150002,2.415,2.815,2.565,3.615,8.514999,14.065,14.464999,15.065,15.214999,15.264999,14.214999,11.865,8.7074995,8.8075,9.0575,9.2074995,8.0075,7.6575003,7.4575,7.1575003,6.3575,5.4075003,5.2075,4.7575,5.0075,6.7575,7.8075004,8.6575,9.0575,9.0075,9.5075,9.5575,8.5075,7.5575004,8.1575,7.1075,6.7075,7.0575004,5.9575,4.7575,3.9575,3.7575002,3.5075002,3.3575,1.9575,1.7075,1.9075,2.6575,3.2575002,3.5075002,3.8075,4.5075,4.4075003,4.9575,4.3575,5.5075,6.9075003,6.8075004,6.3575,4.6075,3.0575,2.4575,1.6575,1.4075,1.3575001,0.80750006,1.0575,1.4075,2.6575,2.7075,2.8075,2.5575,2.5575,1.8575001,2.3075,3.2075,4.3075,4.0575,4.0075,3.7575002,3.4575,3.2575002,3.1075,2.9575,2.8075,2.6075,2.5575,2.6575,2.8575,2.9575,2.8075,2.6075,2.3575,2.1075,1.9075,1.7575,1.8575001,2.0575,2.1575,2.0075002,1.8075001,1.7075,2.0075002,2.4075,2.6575,2.5575,2.2575002,1.8075001,1.0575,0.10750008,-0.6925,-1.2425,-1.5924999,-1.7425,-1.4425,-0.9425,-0.6925,-1.0924999,-1.7425,-2.0425,-1.6925,-0.9425,-0.09249997,0.9075,2.0575,2.9575,3.5575,3.9575,3.9575,3.3575,2.3075
2025-11-14 02:20:16+00:00,2025-11-14 00:00:00+00:00,13.815,10.264999,8.415,7.415,7.1150002,6.1150002,6.1150002,5.265,5.165,4.8650002,4.8650002,4.265,4.6150002,4.465,4.465,4.715,7.515,11.865,13.665,14.464999,14.565,14.714999,13.915,13.165,11.815,9.915,9.014999,8.714999,8.464999,7.965,6.515,5.715,5.415,4.815,4.3650002,3.865,3.565,3.615,3.615,4.015,7.065,10.415,13.815,15.214999,15.165,15.014999,14.264999,13.764999,11.514999,7.2575,8.4574995,7.9575,8.5575,7.6075,7.1575003,6.9075003,6.7575,6.6075,6.2575,6.1075,5.5075,5.3575,4.9075003,4.2575,3.9075003,4.3075,3.6575003,5.5075,6.1075,6.6075,6.2575,4.5075,3.5575,2.6075,1.9575,1.4075,1.8075001,2.2575002,2.1075,2.0075002,1.8575001,1.3075001,1.5575001,1.9575,2.1575,1.7075,0.95750004,1.7075,2.1075,2.7575002,3.0575,3.9575,4.1075,4.3075,4.0075,3.7075,2.8575,2.5575,2.7575002,2.6075,2.5075002,1.8075001,1.3075001,0.80750006,-0.2924999,1.4575,0.25750005,-2.2424998,-0.8425,-2.2925,-4.2425,-4.3925,-2.1425,-0.7924999,0.057500064,0.6075001,0.75750005,0.55750006,0.0075000525,-0.8425,-1.7924999,-2.8925,-4.0924997,-4.8424997,-4.6425,-3.9924998,-3.6425,-3.8925,-4.3925,-4.9424996,-5.4424996,-5.9925,-6.2925,-6.4424996,-6.3424997,-5.6924996,-3.8925,-1.4425,0.25750005,0.70750004,0.45750004,0.0075000525,-0.4425,-1.0424999,-1.7924999,-2.7925,-3.8925,-4.7425,-5.0924997,-5.1425,-5.1924996,-5.3925,-5.5924997,-5.7425,-5.9424996,-6.0924997,-6.0924997,-5.8925,-5.4925,-4.6425,-2.8925,-0.74249995,0.8575001,1.4075,1.3075001,0.95750004,0.20750004,-0.8425
