forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:35:58+00:00,2025-11-05 00:00:00+00:00,15.537001,12.337001,11.037001,9.837001,8.037001,7.537,7.237,6.887,6.237,5.437,5.637,4.737,4.187,4.637,4.237,3.987,7.537,10.937,14.237,16.786999,18.887,20.487,18.786999,17.036999,12.937,11.887,10.087001,9.637,9.437,8.387,8.637,8.487,7.637,7.437,5.537,3.687,2.087,3.287,2.737,3.537,6.337,7.287,7.987,7.037,8.537001,9.037001,8.887,8.087001,5.837,5.506,4.4560003,3.406,2.656,2.156,1.406,0.95600003,1.056,0.106000006,0.156,0.056,0.45600003,0.256,-0.49399996,1.806,3.856,6.006,7.306,9.0060005,10.806,10.806,10.156,9.356,7.856,6.7060003,5.756,5.306,5.056,4.506,4.256,3.7559998,3.606,3.0059998,2.306,2.7059999,2.806,2.906,2.5059998,2.906,4.356,4.756,5.606,6.606,7.606,8.556,8.806,8.206,5.506,3.556,2.556,2.2059999,1.506,1.3560001,0.106000006,0.0059999973,-0.244,-0.29399997,-0.394,-0.944,-1.044,-1.3939999,-1.344,0.95600003,3.4559999,5.156,6.7060003,8.006,8.906,9.156,8.306,6.856,5.606,5.006,4.7060003,4.406,4.056,3.7059999,3.356,2.9559999,2.556,2.2559998,2.156,2.156,2.406,2.806,3.4559999,4.656,6.906,9.7560005,11.956,13.106,13.656,13.556,12.456,10.7560005,9.306,8.556,8.106,7.7060003,7.156,6.656,6.256,6.056,5.9560003,5.756,5.356,4.856,4.606,4.656,4.9560003,5.856,7.906,10.556,12.706,14.156,15.106,15.206,14.0060005,11.956
2025-11-06 02:26:10+00:00,2025-11-06 00:00:00+00:00,14.387,11.387,9.587001,8.937,8.037001,8.537001,9.287001,8.737,8.587001,8.487,6.537,4.737,3.987,2.587,3.337,3.487,7.237,8.887,8.837001,9.837001,10.037001,9.937,9.687,9.037001,6.687,4.937,3.737,2.637,1.937,0.487,0.63699996,-0.963,-0.913,-0.913,-1.513,-1.663,-1.213,-1.663,-1.563,-0.713,1.737,4.537,5.337,5.937,6.337,6.537,6.537,6.087,5.487,6.406,5.7060003,5.7060003,5.256,4.7060003,5.4560003,5.306,5.2060003,5.106,4.9560003,4.2060003,2.806,1.906,0.40600002,1.156,3.106,4.556,5.856,7.106,8.006,8.5060005,8.606,8.106,5.256,3.406,2.106,1.656,1.406,0.606,-0.34399998,-1.044,-1.244,-1.444,-1.844,-2.144,-2.344,-2.2940001,-2.4940002,0.056,2.306,3.906,5.4560003,6.856,7.756,8.206,8.456,8.106,4.406,4.056,3.906,3.656,3.2059999,2.856,2.556,2.4559999,2.306,2.2059999,1.906,2.056,1.656,1.756,1.906,4.406,8.006,10.106,11.706,12.806,13.2560005,13.156,12.306,10.856,9.606,8.806,8.206,7.606,6.9560003,6.356,5.906,5.7060003,5.606,5.556,5.406,5.256,5.306,5.406,5.7060003,6.906,9.906,13.7560005,16.656,17.756,17.806,17.306,16.105999,14.356,12.5060005,10.606,8.656,7.256,6.856,7.106,7.2060003,7.056,6.756,6.4560003,5.9560003,5.356,5.056,5.006,5.256,6.156,8.2560005,10.956,13.156,14.456,15.2560005,15.306,14.2560005,12.406
2025-11-07 02:24:35+00:00,2025-11-07 00:00:00+00:00,7.887,5.687,4.237,3.387,2.537,1.637,0.63699996,-0.013,-0.61300004,-0.763,-0.61300004,-0.913,-0.913,-0.513,-0.41300002,0.587,3.287,5.837,8.637,10.837001,12.037001,11.387,10.537001,9.887,7.487,5.187,3.087,2.387,2.387,3.487,2.637,2.487,2.337,1.337,1.137,0.88699996,-0.113000005,-0.41300002,-0.963,-0.86300004,2.337,7.487,9.087001,9.987,10.437,10.487,10.337001,9.887,6.737,3.156,2.106,1.156,0.556,-0.19399999,-1.1439999,-1.444,-1.694,-1.9439999,-2.194,-2.394,-2.5440001,-2.7440002,-2.944,-0.094,2.2559998,3.906,5.256,6.4560003,7.256,8.056,8.656,8.006,4.806,4.006,3.906,3.306,2.7559998,2.856,2.556,2.2059999,2.006,1.956,1.406,1.556,1.406,1.306,1.206,4.006,7.556,9.656,11.0060005,11.7560005,12.206,12.5060005,12.7560005,11.156,7.906,7.506,7.156,6.656,5.856,5.256,4.756,4.306,3.806,3.906,4.356,3.4559999,3.106,3.306,3.2559998,5.256,8.856,11.106,12.706,14.856,16.706,17.356,15.956,13.306,10.956,9.5060005,8.356,7.4560003,6.906,6.556,6.256,5.856,5.506,5.106,4.606,4.156,4.006,4.156,4.656,5.806,8.156,11.106,13.5060005,14.956,15.856,15.856,14.5060005,12.2560005,10.356,9.206,8.406,7.756,7.256,6.856,6.4560003,5.856,5.2060003,4.7060003,4.406,4.256,4.306,4.356,4.556,5.506,7.756,10.706,13.156,14.906,16.206,16.456,14.906,12.356
2025-11-08 02:14:04+00:00,2025-11-08 00:00:00+00:00,8.737,6.787,5.387,4.137,3.137,3.237,2.187,0.737,-0.563,-1.763,-2.063,-1.513,-1.863,-2.063,-1.863,-1.513,1.687,3.537,6.387,8.237,9.137,9.887,10.137,9.287001,6.237,3.987,2.787,2.487,1.537,0.63699996,0.237,-0.913,-2.263,-2.263,-1.963,-2.663,-3.063,-3.163,-3.013,-3.013,0.937,3.787,6.537,8.787001,10.687,11.837001,12.087001,11.637,8.087001,6.606,5.856,5.506,5.056,4.856,4.506,4.056,3.856,3.556,3.156,3.0059998,2.2559998,2.5059998,2.7559998,4.9560003,7.9560003,9.706,11.656,13.056,13.306,13.456,13.5060005,11.906,9.0060005,8.656,8.106,7.756,7.006,6.7060003,5.806,5.4560003,5.156,5.506,5.4560003,5.606,5.156,4.856,5.006,6.506,9.406,11.656,15.856,16.105999,16.156,15.906,15.806,14.606,12.056,9.7560005,8.306,7.156,6.106,5.506,5.306,5.256,4.9560003,4.606,4.406,4.106,3.806,3.306,3.2559998,5.056,8.406,10.5060005,12.656,14.2560005,15.356,15.606,14.456,12.406,10.656,9.706,9.056,8.456,7.856,7.256,6.756,6.306,5.906,5.506,5.056,4.606,4.4560003,4.506,4.806,5.806,7.9560003,10.806,13.106,14.556,15.5060005,15.606,14.456,12.456,10.856,10.106,9.706,9.2560005,8.5060005,7.656,6.906,6.406,6.006,5.656,5.306,5.056,4.906,4.756,4.756,5.506,7.656,10.5060005,12.906,14.456,15.556,15.856,15.0060005,13.406
2025-11-09 02:35:27+00:00,2025-11-09 00:00:00+00:00,6.837,4.087,3.037,2.337,1.787,0.88699996,0.037,-0.963,-1.563,-1.963,-3.063,-2.413,-2.863,-3.213,-2.863,-2.813,0.587,3.287,5.787,8.087001,10.287001,11.637,11.937,11.287001,7.837,6.137,5.587,5.337,5.037,4.587,4.687,3.937,2.987,2.687,2.737,2.637,2.487,2.087,1.837,2.037,4.487,8.137,10.887,13.437,15.187,16.087,16.237,15.187,11.787001,8.956,8.556,7.856,7.006,6.7060003,6.156,5.756,5.7060003,5.556,5.806,5.856,5.556,5.356,5.256,6.4560003,8.956,11.356,15.206,16.256,16.356,16.206,15.656,14.356,11.606,9.306,7.4560003,6.9560003,7.4560003,6.906,6.156,6.656,6.9560003,6.256,5.556,6.056,5.306,5.256,5.006,5.806,8.656,11.2560005,13.406,15.056,16.006,16.256,15.956,14.2560005,11.356,9.606,8.5060005,7.806,7.106,6.556,6.106,5.806,5.406,5.056,4.4560003,4.006,3.606,3.106,2.7559998,4.156,7.406,11.0060005,14.5060005,15.7560005,16.006,15.606,14.356,12.456,10.706,9.2560005,7.9560003,7.2060003,7.4560003,8.356,8.956,9.0060005,8.856,8.556,8.106,7.556,7.106,7.156,7.306,6.7060003,4.506,1.556,-0.594,-1.244,-1.094,-0.89399993,-0.844,-0.694,-0.844,-1.294,-1.9940001,-2.944,-4.344,-5.944,-7.144,-7.394,-7.194,-7.5439997,-9.194,-11.394,-12.844,-13.194,-12.794,-11.594,-9.144,-5.894,-3.144,-1.244,0.106000006,0.606,-0.244,-1.9940001
2025-11-10 02:26:17+00:00,2025-11-10 00:00:00+00:00,9.537001,7.587,6.987,6.587,6.187,5.887,5.487,4.787,4.837,3.687,3.137,2.637,2.737,2.387,2.287,2.187,5.037,8.587001,11.487,14.087001,15.987,16.887,17.137,15.837001,12.837001,10.787001,10.187,8.837001,8.287001,7.287,6.637,6.587,6.187,5.737,6.637,6.987,6.187,6.237,6.287,7.187,10.387,14.037001,15.387,16.286999,16.887,17.036999,16.837,15.637,12.487,8.456,6.9560003,6.306,5.856,5.9560003,5.4560003,5.356,4.9560003,5.006,4.656,4.906,4.256,4.2060003,3.606,4.9560003,8.156,10.456,12.406,14.206,15.406,15.606,15.206,13.2560005,10.206,9.056,8.656,7.306,6.556,5.756,5.306,5.2060003,4.9560003,4.606,4.006,3.606,3.5059998,3.156,3.0059998,4.256,7.606,10.856,13.7560005,15.156,16.706,16.506,15.156,13.806,10.606,8.806,7.656,7.306,8.306,9.606,8.156,9.5060005,9.0060005,8.656,6.506,5.4560003,5.006,5.656,5.2060003,4.606,0.156,0.256,0.0059999973,-0.34399998,-0.244,-0.29399997,-0.79399997,-1.444,-2.0440001,-2.444,-2.7940001,-3.394,-4.494,-5.7939997,-6.744,-6.744,-6.394,-6.694,-8.594,-11.144,-12.394,-11.394,-9.094,-6.694,-4.244,-1.694,0.156,0.806,0.656,0.306,-0.094,-0.694,-1.694,-3.4940002,-5.644,-7.194,-7.594,-7.394,-7.194,-7.444,-7.744,-7.494,-6.194,-4.344,-2.694,-1.544,-0.594,0.156,0.75600004,1.256,1.6060001,1.956,2.2059999,2.056,1.3560001,0.306
2025-11-11 02:16:43+00:00,2025-11-11 00:00:00+00:00,13.187,12.137,11.987,9.437,6.837,7.037,6.237,5.587,5.137,4.937,4.337,4.787,4.637,4.187,4.587,4.637,6.287,9.387,12.487,15.937,17.337,17.587,17.187,15.837001,11.837001,9.987,9.437,8.587001,7.037,6.637,6.437,6.287,5.737,5.237,5.037,5.237,5.187,4.287,3.737,3.887,6.387,9.987,12.687,14.837001,16.987,17.237,17.187,15.237,12.787001,10.5060005,10.0060005,9.2560005,8.406,7.556,6.806,6.056,5.806,5.556,5.006,4.4560003,4.156,3.7559998,3.406,4.856,7.906,10.406,12.7560005,14.706,15.956,16.606,16.606,14.7560005,10.956,9.306,7.906,7.256,6.906,6.7060003,6.656,6.4560003,6.256,6.106,5.9560003,5.906,5.606,5.806,5.806,6.806,8.456,11.106,12.2560005,12.906,11.0060005,10.406,10.306,9.156,7.606,7.056,7.056,6.356,5.556,5.406,5.406,5.4560003,5.356,4.056,3.356,2.856,2.556,2.156,2.156,3.406,5.4560003,7.006,8.456,9.556,10.306,10.556,10.0060005,8.906,7.806,6.856,5.856,5.056,4.4560003,3.9559999,3.556,3.306,3.2059999,2.906,2.2559998,1.506,1.006,0.906,1.156,1.8560001,3.356,5.306,7.056,8.456,9.606,10.0060005,9.306,7.856,6.4560003,5.306,4.2060003,3.2559998,2.606,2.156,1.756,1.3560001,1.006,0.656,0.256,-0.044,-0.14400001,0.106000006,0.606,1.456,2.9559999,4.856,6.4560003,7.656,8.606,8.806,7.806,6.106
2025-11-12 02:19:17+00:00,2025-11-12 00:00:00+00:00,13.137,10.487,9.487,8.937,7.887,6.687,6.237,5.537,5.237,4.637,4.137,3.887,3.987,4.037,3.987,3.937,5.987,8.837001,11.637,13.837001,15.187,16.137,15.937,14.837001,12.337001,10.587001,10.087001,9.437,9.437,8.687,8.137,8.337001,8.437,7.887,7.587,7.137,6.487,6.587,6.037,5.387,8.187,11.337001,13.937,16.286999,17.286999,18.237,17.887,16.337,12.887,10.406,8.456,7.756,7.156,6.806,6.406,6.156,5.906,5.7060003,5.656,5.406,4.806,4.356,4.056,5.356,8.556,11.5060005,14.206,15.656,15.7560005,15.906,15.856,14.306,11.5060005,9.906,8.456,7.856,7.2060003,6.556,6.056,5.606,5.2060003,5.506,4.9560003,4.306,3.906,3.656,3.356,5.256,8.006,10.206,12.356,13.806,14.906,15.056,14.656,13.056,9.656,9.106,8.206,7.2060003,6.356,5.906,5.556,5.106,5.2060003,5.656,5.356,4.856,4.606,4.306,4.406,5.256,6.256,6.906,6.406,6.306,5.906,5.356,4.506,3.406,2.556,2.056,1.756,1.6060001,1.506,1.556,1.656,1.8560001,2.156,2.306,2.2059999,1.956,1.806,1.756,1.806,2.156,3.0059998,4.106,5.106,6.006,6.856,7.106,6.4560003,5.306,4.2060003,3.356,2.556,2.006,1.756,1.756,1.806,1.956,2.156,2.156,1.756,1.156,0.75600004,0.606,0.656,1.406,3.356,6.006,8.056,9.206,9.806,9.7560005,8.706,7.006
2025-11-13 02:36:05+00:00,2025-11-13 00:00:00+00:00,12.037001,10.287001,9.787001,9.037001,8.537001,7.787,6.937,5.937,5.837,5.487,5.337,4.787,4.437,4.137,3.487,3.287,6.387,9.687,12.237,14.587001,16.337,16.987,17.087,16.187,13.037001,11.337001,9.637,8.687,7.837,6.837,5.787,5.887,5.537,5.187,4.887,5.237,5.187,4.637,4.187,3.887,6.687,10.937,13.937,15.837001,16.887,17.137,17.187,16.286999,13.387,10.806,9.206,8.556,8.2560005,8.006,7.9560003,7.406,7.006,6.106,5.606,5.056,4.856,4.4560003,4.506,6.006,8.706,10.5060005,12.156,13.306,14.106,14.556,14.656,13.406,11.656,10.306,10.206,8.7560005,7.306,6.606,7.756,7.606,6.806,6.056,5.756,5.106,4.756,4.506,4.906,5.006,7.906,10.806,11.456,11.406,11.2560005,9.656,9.2560005,8.406,6.856,6.056,5.156,4.556,4.256,3.5059998,3.906,3.7559998,3.5059998,3.656,2.806,2.5059998,2.5059998,2.7559998,2.906,3.656,5.056,6.556,7.906,8.306,8.206,7.806,7.056,6.006,5.056,4.306,3.656,3.106,2.7559998,2.556,2.356,2.156,2.056,1.956,1.956,2.006,2.056,2.106,2.156,2.4559999,3.106,3.9559999,4.856,6.006,7.156,7.7060003,7.056,5.756,4.656,4.106,3.7559998,3.556,3.5059998,3.606,3.606,3.4559999,3.2059999,2.9559999,2.7059999,2.406,2.306,2.356,2.5059998,3.056,4.2060003,5.7060003,6.9560003,7.906,8.606,8.656,7.7060003,6.156
2025-11-14 02:20:12+00:00,2025-11-14 00:00:00+00:00,14.137,12.187,10.087001,8.337001,7.737,7.887,6.787,6.537,6.337,5.837,5.087,5.637,5.387,5.287,5.637,5.287,7.187,10.537001,12.737,15.137,14.987,15.637,13.587001,12.837001,11.587001,10.237,8.387,7.187,7.287,7.037,6.937,6.687,5.537,5.337,4.887,4.187,4.037,4.087,3.387,3.387,6.587,9.487,11.937,13.587001,14.487,15.087001,15.237,14.487,12.237,9.106,8.706,8.2560005,7.906,7.756,8.156,8.606,7.306,6.806,6.856,6.7060003,7.156,6.306,5.406,6.156,8.906,11.056,11.906,11.7560005,11.906,11.806,11.656,8.456,6.406,7.006,6.656,5.056,3.306,3.556,3.156,3.306,3.2559998,3.656,2.7059999,1.806,1.106,1.6060001,1.6060001,2.356,3.606,5.306,7.006,8.306,8.856,8.906,8.556,7.806,5.606,4.406,3.156,2.406,1.906,1.656,1.306,1.206,1.106,1.056,0.906,0.206,0.75600004,1.706,1.956,2.056,3.156,5.006,6.806,7.306,7.306,6.9560003,6.156,5.006,3.906,3.056,2.306,1.6060001,0.906,0.256,-0.34399998,-0.944,-1.544,-2.0440001,-2.394,-2.594,-2.694,-2.694,-2.5440001,-2.094,-1.044,0.306,1.456,2.2059999,2.7559998,2.906,2.556,1.756,0.906,-0.094,-1.244,-2.094,-2.444,-2.444,-2.444,-2.444,-2.394,-2.394,-2.594,-2.7940001,-2.844,-2.594,-2.144,-1.494,-0.644,0.40600002,1.3560001,2.2559998,3.106,3.406,2.906,1.906
