forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:35:58+00:00,2025-11-05 00:00:00+00:00,9.904906,11.183201,14.618837,14.021525,12.261157,13.783817,13.104198,12.096214,7.491114,6.989936,8.891344,11.298495,6.792466,7.42159,11.592895,10.24578,2.9024127,5.1165614,10.233123,11.609651,11.043261,11.440978,11.91812,8.759178,11.659777,15.484185,14.578888,11.435313,13.854155,14.20062,13.891522,13.089354,14.20062,14.658676,15.328561,10.8955765,6.87779,25.620771,16.808569,17.399586,25.570139,19.995398,18.03237,22.288042,21.479664,19.61587,20.111729,21.897945,14.241629,16.516901,15.986595,15.546833,14.205182,14.440443,13.896187,12.768586,12.72283,12.303366,9.904906,9.826088,6.725354,6.151683,6.28713,5.6920996,1.8,2.9024127,9.983106,14.081477,13.281023,10.182337,8.78872,8.942214,7.7879906,2.16,8.350138,7.69592,6.725354,6.9247384,7.754637,8.654986,10.661107,12.864649,13.854155,13.049689,13.661038,13.441071,14.458382,13.570615,13.207634,11.720751,12.0694,9.255571,12.397806,15.077082,19.022177,20.570463,20.674156,18.25026,16.179985,14.759999,14.003029,14.345898,12.0694,9.9571085,10.661107,11.212135,10.390226,9.0,6.87779,7.208994,7.5942073,5.4477882,1.835647,1.609969,2.8116899,4.510787,5.4833565,5.815978,5.4833565,4.39436,3.319036,2.9024127,3.8939953,4.8433046,4.8965297,3.8939953,3.396233,2.9024127,2.5959969,2.5959969,2.9024127,3.219938,3.219938,3.096837,3.0547013,2.9024127,2.16,2.5455842,3.5455887,4.5536795,5.5887027,6.0347,5.634891,4.8433046,4.6800003,4.379589,3.96,3.319036,2.9024127,3.096837,3.219938,3.219938,2.5959969,2.3051248,2.5455842,3.0547013,3.0547013,2.8116899,2.2768397,1.835647,0.5091169,2.0991426,3.5455887,4.510787,5.495161,5.3999996,4.6102495,3.7585104
2025-11-06 02:26:09+00:00,2025-11-06 00:00:00+00:00,12.496719,13.849476,12.979984,12.229406,13.53236,13.324863,15.496736,12.594856,15.192682,11.165805,15.778518,12.661564,10.990322,11.4862,16.520823,13.441071,3.8773184,4.3349743,6.297428,23.34455,24.482647,22.104116,19.8,17.581125,9.904906,21.9718,19.083395,16.203999,14.799459,14.05845,10.086427,3.0758414,2.3051248,4.39436,5.771239,4.1046314,5.3517847,5.8048253,7.145796,7.42159,3.219938,2.8799999,5.692099,4.8965297,3.8268526,4.5536795,24.1388,20.316889,4.8965297,16.870138,18.472595,17.447933,15.937878,15.937878,15.815435,14.689589,14.003029,13.5515,12.758432,12.429127,12.849528,13.450708,13.779114,12.57426,13.004921,11.720751,11.966954,10.594036,11.841756,16.363178,22.406927,20.390114,17.566378,18.278645,18.720001,18.25026,16.055353,15.188415,14.003029,13.009903,10.948973,10.308831,11.212135,10.446206,10.086427,10.105681,10.105681,8.350138,4.68,1.2979984,4.896529,4.896529,7.127636,6.792466,5.815978,3.7064266,2.968636,4.379589,3.4152596,3.6,3.319036,3.319036,4.3349743,3.8773184,4.829907,4.6800003,3.671294,3.671294,4.2136917,4.1046314,3.8773184,4.198285,2.0364676,2.4149535,4.6800003,5.6920996,5.815978,5.634891,5.3517847,5.315336,5.506941,5.4119864,4.6938252,4.1046314,3.7064266,3.319036,3.096837,3.219938,3.0758414,2.968636,2.6208394,1.9386592,1.5273507,1.9386592,2.5455842,2.9024127,2.9024127,3.219938,4.2136917,5.8048253,7.7043357,8.913181,8.891343,8.427383,7.9526596,6.924738,5.634891,5.0911684,4.6102495,3.319036,2.5455842,1.5273507,0.5091169,0.0,0.35999998,1.2979984,2.0991426,2.8116899,3.319036,3.6,3.7585104,3.9763298,4.6800003,5.3517847,6.297428,6.763786,6.6087217,5.8603754
2025-11-07 02:24:35+00:00,2025-11-07 00:00:00+00:00,14.480773,15.042659,18.161278,19.245697,16.981165,15.042659,15.256526,15.496736,14.241629,14.84318,5.904439,1.2979984,4.1046314,8.534353,9.19939,2.8116899,2.16,4.0249224,5.315336,5.8048253,5.0142193,3.6,22.79684,20.87379,17.309975,9.983106,12.287555,9.826088,8.473393,8.942214,11.183201,12.287555,13.75558,13.75558,13.627795,13.797912,15.328561,14.561099,14.764389,14.04,11.659777,10.144082,19.995398,23.210928,24.819122,26.576681,25.11758,22.553936,17.906157,22.89611,19.33639,18.59845,18.345877,17.654688,16.862455,14.494192,13.854155,11.928989,11.570515,10.464798,11.570515,9.114471,9.0645685,7.69592,2.8799999,0.71999997,4.39436,5.634891,5.6920996,6.297428,4.5536795,4.2136917,2.7416782,4.802999,5.506941,5.2416787,3.8939953,3.0547013,3.7064266,3.671294,3.671294,4.896529,4.0249224,4.379589,4.39436,4.0249224,3.7585104,4.5536795,2.0991426,3.319036,4.829907,4.829907,4.8965297,3.563818,4.6102495,4.198285,5.8048253,5.5887027,4.0249224,2.5455842,1.0182338,1.609969,2.8799999,2.1897945,2.5455842,3.396233,3.2599385,4.452954,4.896529,5.8603754,4.6938252,3.563818,2.0991426,3.396233,5.5887027,6.725354,7.0911775,7.10031,6.3690495,5.815978,5.4119864,4.379589,3.096837,2.7416782,2.968636,3.319036,3.671294,4.0249224,4.452954,4.452954,3.5455887,2.5959969,2.0991426,2.3051248,2.8116899,2.8116899,1.835647,2.8116899,4.6800003,6.151683,7.172949,7.42159,6.638072,6.28713,6.4799995,5.937272,5.315336,4.5820518,3.8939953,2.6208394,2.52,3.2599385,4.73506,5.4477882,5.4477882,4.6938252,3.96,3.6179552,2.968636,2.4149535,1.835647,2.9024127,4.5820518,5.3999996,6.297428,6.297428,5.8603754,5.815978
2025-11-08 02:14:03+00:00,2025-11-08 00:00:00+00:00,5.4119864,10.594036,17.015474,10.661107,14.241629,13.450708,6.28713,2.6208394,8.473393,14.494192,12.7279215,14.113653,12.287555,14.408997,16.299694,18.057508,18.775303,19.576189,21.261345,22.870626,23.683512,24.821732,24.535526,23.34455,22.427162,21.288757,18.359999,19.64228,16.263872,11.457958,5.4119864,9.255571,4.73506,11.542478,17.076298,6.5693827,9.178235,7.928178,8.404285,9.47012,2.6208394,4.8965297,7.42159,6.489992,6.439876,6.12,6.1094027,5.991594,3.396233,4.73506,4.3498964,4.198285,6.162207,7.5942073,9.0,8.669949,9.028754,8.311245,7.928178,8.28,7.5685663,7.9526596,7.5685663,6.638072,3.219938,4.198285,5.1919937,5.315336,5.495161,5.495161,5.00128,4.3349743,6.2145634,6.8399997,5.8048253,3.5455887,2.5455842,2.7416782,3.4152596,4.802999,4.6938252,5.4119864,5.8048253,6.2145634,6.5693827,5.8048253,5.506941,6.12,2.968636,3.5455887,6.28713,9.339208,12.819235,12.979984,13.684735,12.72283,11.480557,7.928178,5.692099,8.12197,8.647496,10.163227,11.298495,11.298495,10.163227,9.693296,7.172949,5.506941,4.802999,3.0758414,3.219938,3.319036,2.5455842,2.8116899,3.8939953,5.634891,7.24486,7.9036193,7.386582,7.289444,7.5599995,6.638072,4.829907,3.8268526,4.0249224,4.2136917,4.452954,4.0249224,3.6179552,3.2599385,3.319036,3.4152596,3.5455887,4.2136917,5.1544156,4.802999,2.5959969,2.5959969,5.1919937,6.792466,7.491114,7.7043357,7.127636,6.12,5.506941,5.4477882,5.95906,6.193674,5.3517847,3.8939953,3.319036,3.6179552,4.379589,4.73506,5.0911684,5.0911684,5.0911684,5.4477882,5.8048253,5.0911684,2.9024127,2.2768397,4.3349743,5.692099,6.696387,6.638072,5.991594,6.130579
2025-11-09 02:35:27+00:00,2025-11-09 00:00:00+00:00,20.380579,18.998316,20.393293,18.875126,20.929594,18.998316,11.808878,7.5685663,11.298495,20.06334,18.486622,17.49615,12.768586,9.107359,9.1641035,4.452954,4.452954,2.2768397,7.653705,7.24486,6.792466,6.9153743,5.6233797,4.3349743,4.198285,5.3517847,12.738099,12.594856,6.6185193,3.6179552,6.638072,8.404285,4.73506,4.896529,5.506941,4.32,3.9763298,2.9024127,4.5536795,6.9527545,2.0991426,4.3349743,5.1919937,7.0911775,6.28713,5.4119864,4.0249224,5.0911684,7.6367526,6.725354,5.634891,4.8965297,4.072935,3.096837,3.5455887,3.096837,3.396233,3.5455887,4.198285,3.4152596,3.4152596,4.198285,3.8939953,3.6,2.5959969,1.5273507,4.3349743,5.6920996,6.696387,6.489992,5.6002855,6.1094027,5.6920996,3.0758414,4.39436,4.8433046,4.1046314,3.8268526,3.7064266,3.563818,4.829907,3.9763298,4.510787,2.3051248,3.0758414,3.8773184,4.3349743,4.198285,2.4149535,2.7416782,4.8433046,6.489992,7.2,7.386582,6.297428,4.3498964,7.9932976,8.669949,7.42159,5.3999996,4.1046314,6.130579,5.4477882,7.771331,6.924738,5.7599998,5.506941,5.4119864,5.0911684,5.937272,6.2145634,5.7599998,4.0249224,2.9024127,5.6233797,10.931203,17.462784,20.418695,17.727943,15.277749,15.328561,12.24,6.924738,3.219938,3.0758414,4.68,6.151683,8.435069,12.43434,15.815435,16.203999,16.24394,17.873554,21.96,27.729347,32.76198,38.23634,44.398376,43.791447,29.179993,14.799459,21.9718,26.867676,27.757376,27.579382,24.850431,20.371038,17.0763,16.485485,16.79314,16.485485,15.077082,13.392774,11.808878,10.883676,10.464797,10.028439,10.495713,11.113451,10.144082,5.154415,1.5273507,5.1919937,3.5455887,1.835647,6.1305785,9.178235,11.885453
2025-11-10 02:26:17+00:00,2025-11-10 00:00:00+00:00,6.28713,4.6938252,5.8603754,3.8939953,2.9024127,5.04,4.73506,4.896529,6.193674,4.3498964,5.8048253,5.8048253,5.771239,1.484318,2.8116899,3.671294,0.8049845,4.0249224,6.4096174,6.4096174,5.815978,4.379589,4.452954,4.5820518,4.73506,5.6002855,8.714677,5.815978,7.5685663,5.8048253,5.771239,5.1919937,6.193674,6.4096174,5.8603754,3.6,3.7064266,2.968636,4.198285,4.3498964,2.0991426,1.9386592,4.1046314,5.0528407,4.802999,5.0528407,5.4477882,4.452954,7.2359104,7.4128532,6.4096174,4.452954,3.5455887,4.8965297,3.671294,4.829907,4.2136917,4.5536795,2.5455842,3.9763298,5.00128,3.8773184,4.73506,4.5536795,3.671294,2.9024127,5.0911684,5.634891,6.638072,7.386582,7.386582,6.989936,8.669949,9.793058,5.8603754,4.1046314,6.439876,1.835647,7.2,5.506941,5.771239,7.5942073,6.924738,6.2145634,6.849467,7.208994,6.849467,6.162207,3.671294,4.1046314,6.1094027,8.311245,9.511088,16.575644,14.512064,12.313894,14.408997,12.599999,6.830519,7.0911775,4.68,2.7416782,4.2136917,7.9526596,7.771331,5.1165614,0.8049845,3.219938,9.826088,24.64094,31.338614,31.52005,34.83639,36.896046,29.268686,15.484185,19.08,33.233284,35.309376,30.563978,26.250393,24.248611,22.183128,20.929594,20.240198,19.878391,20.570463,23.4,26.749235,27.729347,23.86341,17.826363,13.479583,12.074766,11.440979,11.113451,10.495713,10.691453,12.599998,18.374111,25.277023,29.74306,29.01966,26.758923,23.871555,19.586117,14.264361,10.464798,9.3876505,9.826088,9.9571085,9.178235,8.4042845,7.6367526,7.2805495,7.2359104,7.2359104,7.2359104,7.208994,6.12,3.671294,1.835647,3.8268526,5.6233797,6.989936,7.7043357,8.435069,9.178235
2025-11-11 02:16:42+00:00,2025-11-11 00:00:00+00:00,4.896529,3.5455887,8.78872,8.089993,4.379589,4.510787,6.849467,7.208994,8.049845,4.0249224,3.2399998,3.8939953,6.489992,2.8116899,2.9024127,4.73506,5.6920996,2.4149535,2.6208394,4.5536795,6.763786,6.6185193,5.95906,4.198285,2.7416782,8.647496,9.021574,4.6938257,6.5693827,6.849467,5.8048253,7.491114,7.653705,4.198285,3.4152596,4.1046314,5.771239,5.771239,6.489992,5.3999996,6.1094027,3.0758414,6.9153743,9.021574,9.290511,7.172949,6.28713,5.3517847,9.3876505,7.4128532,6.6185193,5.6233797,6.489992,5.8048253,7.208994,6.8399997,5.771239,6.5693827,6.849467,6.130579,5.3999996,6.519877,6.130579,6.9899354,4.379589,2.8799999,5.0911684,7.2,9.19939,8.209263,8.4963045,13.202726,13.722565,10.587918,6.28713,5.4477882,6.162207,4.2136917,5.0142193,6.12,7.24486,6.6185193,7.072878,5.5887027,5.692099,5.1165614,5.1919937,4.6938257,2.4149535,2.968636,6.28713,19.602652,22.932877,17.654688,15.256526,4.829907,5.8603754,2.3051248,10.829958,13.551501,9.0,7.8625183,7.342588,6.489992,5.0142193,8.669949,9.178235,9.726665,11.525623,10.24578,9.021574,7.386582,5.1165614,5.6002855,6.439876,5.692099,5.3517847,5.154415,5.506941,6.489992,6.849467,6.5693827,6.489992,7.7043357,9.693296,11.435313,13.0447235,13.53236,13.70839,13.891522,15.379206,16.87398,17.373497,15.575981,13.089354,12.287555,15.484185,20.523157,24.798225,27.295977,29.03752,29.28418,27.757376,25.233404,22.218153,19.228851,15.778516,13.397612,12.594856,12.181624,11.885453,11.183201,10.1887,9.339208,9.028754,8.311245,7.771331,6.5693827,5.4119864,3.6179552,1.8,3.396233,6.1094027,7.928177,9.220499,10.464797,12.496718,14.57889
2025-11-12 02:19:16+00:00,2025-11-12 00:00:00+00:00,9.565437,10.041354,3.8268526,6.2145634,8.825508,6.379216,5.5887027,10.948973,6.9899354,3.396233,4.198285,7.5685663,5.4477882,4.73506,2.5455842,2.968636,2.8116899,1.609969,6.3690495,7.5942082,8.225035,8.427383,6.5693827,4.896529,8.0899935,10.829959,11.792404,5.0142193,9.826088,8.473393,8.654987,8.942214,10.514218,9.686609,9.686609,11.609651,9.793059,10.97262,8.14587,10.587917,3.9763298,3.8773184,7.8954163,7.7043357,8.209263,6.28713,6.9247384,8.287822,12.57426,9.360001,5.2416787,6.379216,6.849467,5.6920996,5.6920996,5.8048253,7.172949,6.379216,5.3517847,6.379216,6.28713,5.771239,6.763786,5.2416787,2.7416782,2.8116899,4.6800003,5.495161,7.24486,6.618519,5.815978,7.5599995,11.159999,9.3669195,7.7879906,9.686609,5.692099,5.04,5.4477882,3.96,3.319036,5.937272,5.154415,6.379216,7.92,7.9526596,7.208994,6.162207,2.6208394,3.9763298,6.9527545,8.4963045,12.413476,12.979984,21.897945,13.797912,8.891344,7.69592,5.815978,6.830519,5.8603754,2.5959969,8.707237,7.289444,10.009036,8.0899935,8.14587,6.792466,14.440443,6.0347,1.9386592,14.77755,18.58451,9.0,11.983188,10.30883,5.8048253,5.8048253,7.5685663,8.891343,9.387651,8.373386,6.9899354,6.519877,7.754637,9.693296,10.883676,10.1887,8.699793,7.5170207,6.379216,4.896529,4.1046314,4.6938252,6.130579,6.28713,3.8268526,5.315336,8.404285,8.4963045,6.9247384,5.315336,5.3999996,6.924738,8.311245,6.9527545,5.692099,5.8048253,5.3999996,4.68,4.32,6.130579,8.669949,10.105681,9.36,7.2805495,5.6920996,4.3498964,3.0758414,1.484318,3.319036,7.42159,10.464797,11.923557,12.10157,11.792404,10.948973,10.028439
2025-11-13 02:36:05+00:00,2025-11-13 00:00:00+00:00,5.506941,10.464798,12.074766,12.496718,12.984975,10.195057,13.044722,11.212135,7.928177,3.8939953,4.3498964,6.763786,4.072935,3.319036,7.0911775,8.161764,3.396233,2.0991426,6.8777895,9.0,9.028754,7.771331,7.072878,6.3690495,10.8955765,12.605142,11.525623,9.565437,13.493999,13.493999,12.218805,10.296251,9.957108,8.654987,9.220499,9.793059,9.290511,10.97262,9.793059,6.1305785,3.7585104,1.8,6.638072,7.8954163,7.754637,6.519877,5.2416787,5.6233797,3.2399998,8.287822,6.830519,6.130579,4.452954,3.6179552,4.3349743,4.379589,4.3349743,6.489992,7.928178,8.647496,8.350138,7.928178,7.5599995,6.489992,3.2399998,1.08,5.5887027,8.404285,10.495713,11.966954,15.782622,14.386494,13.779114,7.4128532,5.0142193,3.7585104,3.563818,2.7416782,2.0364676,4.0249224,3.671294,6.12,9.387651,2.5455842,7.5685663,5.3517847,8.12197,7.69592,3.219938,8.161764,9.659814,10.365251,9.346143,13.830749,20.523157,21.533897,12.979984,8.373386,8.14587,10.948973,12.096214,10.685391,9.290511,7.9932966,9.021574,8.427383,9.028754,10.163227,9.686609,10.44,11.988594,13.276144,11.212135,11.753877,14.973577,15.315873,15.509274,15.978484,18.043148,21.385939,22.322903,19.08,14.241629,11.159999,9.746631,9.360001,9.178235,8.0899935,7.2805495,7.6367526,8.825508,9.9571085,11.212135,13.084402,15.379206,16.746773,14.578888,11.252519,9.726665,12.413477,19.134262,21.889065,14.512064,5.937272,10.028439,9.793059,10.390226,12.324414,10.182337,6.130579,3.8268526,5.0142193,7.42159,8.825508,8.905908,8.427383,7.5685663,6.489992,5.8603754,4.3498964,2.4149535,4.32,6.2145634,5.4119864,4.8433046,6.151683,7.289444,8.225035
2025-11-14 02:20:12+00:00,2025-11-14 00:00:00+00:00,9.779817,9.0645685,12.074766,10.383987,6.297428,7.2,9.449572,12.313894,11.457958,10.144082,8.913181,9.449572,10.787993,8.373386,5.0911684,6.489992,3.219938,9.957108,5.3517847,5.315336,6.28713,6.792466,5.3517847,2.2768397,5.815978,7.491114,12.522619,14.386494,9.422101,7.8625183,8.891343,4.73506,7.5685663,6.151683,6.162207,11.298495,8.427383,10.829959,4.6938252,2.5959969,3.4152596,1.9386592,3.563818,7.5942082,7.7879906,7.10031,7.491114,6.1094027,6.2145634,9.028754,5.8603754,7.072878,3.6179552,1.8,5.2416787,5.04,2.9024127,3.396233,10.446206,9.028754,8.654987,6.638072,2.16,3.8939953,5.95906,6.489992,7.24486,11.043261,14.693999,14.689588,12.0694,18.792551,13.039754,9.021574,11.525623,9.83268,9.504272,4.829907,5.937272,6.0347,5.5887027,8.759178,8.049845,5.495161,3.7064266,3.8939953,5.506941,9.360001,11.681987,13.004922,13.755579,15.03835,16.489416,15.7908325,13.1041975,9.504272,7.491114,7.7879906,7.754637,9.826088,8.654986,9.19939,10.041354,7.5170207,5.0911684,13.441071,12.015589,14.113653,14.336861,17.373497,19.586119,15.281989,17.414476,16.78156,4.1046314,12.964998,26.368616,34.428497,32.24161,25.325686,17.698677,11.183201,4.68,1.0182338,4.829907,7.5942082,9.693296,10.948973,11.113451,10.829958,9.227524,7.0911775,5.634891,5.991594,7.7043357,7.653705,4.8433046,0.8049845,2.8116899,5.95906,9.0,9.605998,6.379216,1.484318,4.1046314,5.937272,6.725354,6.9899354,7.5599995,8.654986,9.504273,9.659814,9.178235,9.178235,9.504273,10.30883,10.636766,10.30883,9.360001,7.754637,4.802999,2.0364676,3.4152596,5.00128,5.991594,5.692099,4.072935,2.2768397
