forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:14+00:00,2025-11-05 00:00:00+00:00,863.4689,862.1246,862.3332,862.05426,862.285,861.5479,862.56586,862.19,861.62067,862.0328,862.166,862.1782,861.9222,862.3114,862.663,863.53314,864.5132,864.44086,864.67645,864.80865,863.6064,862.45276,862.0404,860.6199,859.1254,859.56244,859.889,859.87915,859.84576,859.9106,860.25354,860.5613,860.8925,861.4376,862.04456,862.376,862.8239,863.89905,864.4815,865.47125,866.83185,867.78613,868.15656,868.26855,867.72046,866.9868,866.9269,866.4849,865.82117,863.4262,864.0978,864.1167,863.99115,863.71436,863.2927,863.17456,863.04785,862.8363,862.5654,862.51465,862.51465,862.2436,862.5992,862.8871,862.69196,862.26434,861.6981,861.17786,860.95636,860.6563,860.5847,860.86365,860.66797,861.07434,861.372,861.4529,861.64307,861.8724,861.71295,861.8027,862.1106,862.38367,862.5119,862.6994,862.9961,863.30133,863.52124,864.5695,864.9218,864.9802,864.9582,864.86884,864.31506,864.42584,864.36536,864.78796,865.0955,865.96625,866.3541,866.93396,867.4348,867.73157,868.0872,868.22217,867.9005,868.3822,868.3393,868.46497,868.3114,868.5724,868.9104,869.5637,869.7105,869.59143,869.55237,869.13446,868.5414,868.1708,868.07434,868.2312,868.4344,868.7081,868.99,869.23456,869.26373,869.223,869.1571,869.0911,868.9649,868.92334,868.8817,868.7803,868.789,868.9666,869.19507,869.37244,869.345,869.09015,868.77875,868.1576,867.39746,866.88806,866.68164,866.68225,866.71857,866.7903,866.8722,866.83203,866.7198,866.547,866.2892,865.9212,865.57794,865.2592,865.07465,865.02484,864.9748,864.9845,865.019,864.99963,864.8798,864.6501,864.2201,863.4938,862.54535,861.7663,861.3416,860.98035
2025-11-06 02:26:32+00:00,2025-11-06 00:00:00+00:00,859.69763,859.87915,859.3359,860.4305,859.9377,860.85077,859.9225,860.7228,861.2086,860.58704,860.9371,860.9473,861.674,862.80566,863.3491,864.3878,865.4229,866.09644,867.26587,867.3542,866.82404,866.3179,865.85846,865.7084,864.7816,864.34436,863.51825,862.4958,861.25946,860.8605,860.5854,860.0675,859.41797,859.14636,859.696,859.4427,859.266,859.15594,858.6826,858.7592,860.0422,861.57947,862.41077,862.122,862.0126,861.6934,861.6294,861.62415,861.2439,860.34753,860.5849,860.4225,860.6123,861.0808,861.43933,861.3243,861.7413,862.1576,862.49774,862.57446,862.90424,863.20807,863.7055,864.8391,865.23676,865.2885,865.35315,865.32825,865.04236,864.77673,864.7521,864.6658,864.93695,866.35004,867.08484,867.38434,867.5798,868.1546,868.5688,868.39044,868.296,868.53937,868.4954,868.56146,868.88104,869.11566,869.7137,870.22534,870.47003,870.30286,870.0882,869.72284,869.14246,868.9075,868.78894,868.9831,869.4001,869.8475,870.0065,869.9757,869.93494,869.92816,869.7265,869.4652,869.4234,869.3811,869.2796,869.11865,869.27045,869.27875,869.3456,869.5161,869.45624,868.7747,868.4566,867.7646,866.90985,866.2451,865.9057,865.82007,865.79443,865.7924,865.8259,865.79834,865.57587,865.293,864.92505,864.6067,864.3376,864.1531,863.96875,863.89386,863.8187,863.8877,863.89716,863.9379,863.8695,863.7396,863.4683,862.8754,862.23,861.6203,861.25665,861.1262,861.0316,861.1908,861.4091,861.5656,861.5399,861.45374,861.2819,861.1101,860.99774,860.8497,860.70135,860.57745,860.5876,860.7669,860.9714,861.20496,861.33655,861.4064,861.2516,860.82513,860.2376,859.7351,859.4803,859.29004
2025-11-07 02:24:55+00:00,2025-11-07 00:00:00+00:00,865.01666,863.56635,862.8243,862.9723,861.9621,862.6482,862.7403,861.9582,860.23315,860.2991,860.40497,860.2174,859.029,859.0147,860.09265,861.10944,861.4587,862.4188,863.39954,863.5916,863.6896,863.5446,863.2414,862.79095,862.15674,861.66223,861.67163,861.8408,861.6399,861.9116,862.0814,861.9634,861.86993,862.0724,862.2319,862.1343,862.3764,862.1389,862.08624,862.66425,864.2489,865.6319,866.434,866.6639,866.40015,866.2632,866.2169,866.1995,865.59216,866.36365,867.2062,867.6728,868.4842,869.0666,869.328,869.5126,869.07935,869.79565,869.66705,869.5965,869.55194,869.8961,870.6041,871.09076,871.4049,871.15625,870.78467,870.56836,869.88245,869.6758,869.71747,870.1907,870.4098,870.90344,871.1954,871.16345,871.0969,871.19916,871.02203,870.6752,870.4379,870.2851,870.1832,869.99646,870.08875,869.92737,869.9351,870.1909,870.14233,869.5143,868.97504,868.1777,867.24225,866.4954,866.06,865.8302,865.8013,866.0031,866.0596,865.86145,865.7969,865.4435,865.08435,864.84973,864.6399,864.45514,864.1853,863.91583,863.9752,864.069,863.943,864.2884,864.482,864.1604,863.94965,863.32385,862.5835,861.93823,861.5747,861.3345,861.23883,861.42126,861.7721,862.03735,862.01135,861.86426,861.71686,861.6784,861.6648,861.6506,861.5871,861.5234,861.59344,861.8926,862.21594,862.5348,862.706,862.77734,862.6568,862.3608,861.85583,861.5219,861.3283,861.2848,861.33905,861.68353,862.25665,862.6574,862.8747,862.97003,863.08875,863.2311,863.3377,863.35913,863.2954,863.2313,863.3016,863.5409,863.8894,864.1484,864.2697,864.2921,864.063,863.45184,862.5694,862.0276,861.85754,861.9232
2025-11-08 02:14:20+00:00,2025-11-08 00:00:00+00:00,861.5785,861.0951,861.02936,861.8108,861.8195,861.6168,861.27844,861.2182,860.92303,861.3074,861.44464,860.87195,860.3003,860.67395,861.922,862.94904,865.53046,866.61163,867.2218,867.19385,867.1872,867.49097,867.4952,866.8835,865.83295,865.81744,865.3567,865.5592,865.62805,865.5699,864.8021,865.4011,865.28723,864.4156,864.5526,864.46844,864.53076,865.3329,865.2865,865.1596,867.80493,869.3238,870.0378,870.2914,870.46906,870.79456,870.85803,870.50415,869.09576,870.18036,870.3309,870.4951,870.3203,870.3144,870.1135,869.82745,869.76074,869.80365,869.5925,869.2878,869.1611,869.1695,869.0933,869.33026,869.2693,868.5364,868.2231,867.3625,866.36334,865.4446,865.0086,864.8633,864.8858,865.14996,865.28156,865.0001,864.9476,864.7498,864.46674,864.37756,864.2777,864.01874,863.72455,863.23584,863.24536,863.12006,863.46765,863.6684,863.9088,863.2422,863.092,862.62085,862.08417,861.7158,861.46106,860.99115,860.8986,861.53015,861.94226,862.1837,862.25415,862.1541,861.9928,861.7601,861.7813,861.767,861.78766,861.6634,861.70807,861.8027,862.3205,862.85846,863.28827,863.27325,863.2636,862.7634,861.93054,861.3896,861.281,861.49207,861.7158,861.99927,862.31726,862.59686,862.66907,862.704,862.73834,862.82104,862.8185,862.92474,863.03076,863.2211,863.46075,863.8695,864.41254,864.7311,864.88745,864.9217,864.7302,864.29004,863.65045,863.109,862.9153,862.82434,862.79346,862.9073,863.0804,863.1906,863.1422,863.0326,862.8621,862.77594,862.6895,862.5177,862.3454,862.1129,862.09894,862.2296,862.5786,862.7273,862.7363,862.6815,862.29205,861.49835,860.43506,859.56696,859.14197,858.8916
2025-11-09 02:35:42+00:00,2025-11-09 00:00:00+00:00,865.8806,865.17554,864.5993,865.03784,865.03314,865.2064,864.4126,864.24945,863.93854,864.08624,864.59204,864.22327,863.8811,864.69196,865.1065,865.0569,867.4805,868.7067,869.3784,869.9218,870.1405,870.5626,870.6739,869.9556,868.667,868.07544,867.8138,867.5413,867.4134,867.24896,866.88153,866.4802,865.8511,865.9612,865.9937,865.13367,865.1073,865.4274,865.25287,864.50226,866.1472,867.6614,868.5923,868.8923,869.1238,869.51434,869.43195,868.7319,867.07587,865.2837,865.28156,865.145,864.83826,864.68976,864.2375,863.9192,863.7698,863.755,863.5207,863.3109,863.2609,862.9413,863.12006,863.57434,863.9834,863.44995,862.8493,862.34235,861.5875,861.42395,861.08093,860.73096,860.69055,860.80206,860.9364,860.9727,860.57153,860.4855,860.267,859.96173,859.74335,859.69415,859.5468,859.45905,859.61444,859.7099,860.14374,860.6203,860.95807,860.79095,860.7274,860.2109,859.61896,859.0806,858.8777,858.5796,858.73267,859.502,859.9408,860.184,860.45123,860.3789,860.2094,860.2213,860.16016,859.9408,859.66064,859.1991,859.1255,859.0052,858.80884,858.79767,858.46423,857.3,856.5197,855.27435,853.9156,852.83777,852.38293,852.21295,852.0577,851.70056,851.33386,850.91907,850.3705,849.905,849.46155,849.22156,849.0291,848.9451,848.92096,848.83624,848.6785,848.11676,847.32794,846.89343,847.2508,847.9821,848.5697,848.5806,848.3379,848.2457,848.5066,848.9179,849.387,849.9724,850.5303,851.1649,851.6501,852.21356,852.6667,853.15155,853.5257,853.9572,854.22473,854.54913,854.86755,855.4073,855.9159,856.3859,856.6699,856.8833,856.90204,856.45624,855.8467,855.4961,855.6251,856.03973
2025-11-10 02:26:39+00:00,2025-11-10 00:00:00+00:00,867.7354,865.99567,865.1667,865.8923,865.5341,865.4202,865.2534,864.8255,864.39075,864.4875,864.36914,863.9911,863.7546,864.2439,864.4592,863.8914,864.88055,866.0795,867.08795,867.7994,868.2515,868.7865,868.47675,867.5964,865.71735,865.44763,864.80853,864.6355,864.4764,864.5789,864.307,864.19775,864.52954,864.86847,865.03796,864.7202,863.95917,863.52563,863.2986,863.18036,864.62225,866.43207,867.4957,867.47406,867.1258,866.696,866.1479,865.33984,863.424,861.4453,861.6636,861.6991,861.6247,861.4405,861.12366,860.9761,860.7683,860.6097,860.705,860.5601,860.4824,860.4677,860.9262,861.4529,861.7438,861.2272,860.9718,860.24194,859.5416,859.25507,859.2034,858.8819,859.0114,859.35614,859.73425,859.90393,860.0508,860.0516,860.0277,859.79724,859.68756,859.5772,859.0184,858.60583,858.60583,858.5211,858.36285,858.3516,858.0404,857.03284,855.9496,854.66583,853.29736,852.84875,851.9904,851.35583,850.6071,850.84186,850.65,849.98694,849.33496,849.1278,849.1143,848.5845,847.8153,848.1331,848.8241,848.2959,848.2509,846.0118,848.0638,848.6649,848.642,849.10474,848.844,848.4067,847.9097,847.7076,848.14575,848.8773,849.69135,850.4712,851.3601,852.10504,852.62286,853.0558,853.5147,853.94666,854.2939,854.72,855.1092,855.383,855.7991,856.33545,857.01416,857.4351,857.67773,857.6358,857.5351,857.1548,856.5791,856.3397,856.6641,857.241,857.9091,858.4995,859.23267,859.7972,860.2447,860.6339,860.9131,861.0297,860.9258,860.84784,860.8216,860.7635,860.65295,860.43823,860.1975,859.9705,859.82947,859.6394,859.2245,858.41656,857.41016,856.5628,856.03033,855.5758
2025-11-11 02:16:57+00:00,2025-11-11 00:00:00+00:00,863.44946,862.44104,863.84094,864.7163,863.1475,863.257,863.72064,863.8994,863.0973,863.1164,862.85596,862.6709,862.15765,862.1994,862.34314,862.92633,863.32916,865.4965,866.76965,867.11017,866.833,866.5116,865.81647,865.0091,863.2542,863.1476,862.6141,861.6061,861.28973,861.2877,860.9048,860.6644,859.8248,859.1248,859.25305,859.3694,859.0874,859.5413,860.0252,860.8037,861.27985,862.4293,863.36035,863.2965,863.0279,862.71844,862.277,860.771,859.44836,859.9152,860.5943,860.7656,860.8151,861.0818,861.19025,861.16504,861.0299,861.0277,860.8202,860.4677,860.6234,860.6203,860.8107,861.2132,861.31006,860.41534,859.5178,858.4092,857.8814,856.9321,856.4312,856.6662,856.11554,856.5957,857.0579,857.1936,856.9072,856.7301,855.94476,855.47156,855.14294,855.0812,854.7291,854.2322,853.688,853.0331,852.7057,852.8259,853.20026,853.80865,853.7655,853.30347,852.7741,852.3341,851.85114,851.6574,851.8147,852.2366,852.8192,852.9143,852.9462,853.3173,853.5222,853.8179,853.55994,853.57996,853.321,853.11176,852.74835,852.90216,853.2342,853.3846,854.7838,854.78455,854.6102,854.2731,853.5948,852.97705,852.6622,852.4046,852.38617,852.757,853.4794,853.94775,854.1372,854.1322,854.1513,854.28,854.32367,854.45184,854.44476,854.5217,854.6233,854.978,855.38324,855.713,855.92413,856.05554,855.96356,855.4301,854.7352,854.14526,853.9268,853.81464,853.8714,854.1214,854.5999,854.8488,854.84326,854.6932,854.543,854.2828,853.93774,853.6174,853.20386,852.81537,852.5115,852.3261,852.1995,852.10645,852.14703,852.19116,852.0122,851.4766,850.6957,850.2382,850.3718,850.8065
2025-11-12 02:19:34+00:00,2025-11-12 00:00:00+00:00,862.7113,861.389,860.525,860.39905,860.7564,860.4241,860.00104,859.0396,858.8147,858.3533,858.0997,858.05817,857.7288,858.14276,858.6409,858.92676,859.74713,861.6081,862.6688,863.52527,863.4602,863.2284,863.19635,862.1643,861.2938,861.03375,861.11865,861.61694,861.57043,861.68054,862.0557,861.9709,862.06824,862.3112,862.2024,861.6199,861.65594,862.2266,862.5054,862.37134,862.5296,863.6354,864.258,864.1495,863.1047,862.87317,862.31586,861.163,859.1047,858.7907,859.1202,859.4493,859.52594,859.54065,859.4453,859.16736,858.9002,858.7901,858.78864,858.5211,858.2913,858.2181,858.4343,858.84686,858.73065,858.3905,858.28705,857.6825,857.35187,857.00635,857.21704,857.2054,857.2953,857.9922,858.5523,858.6419,859.25055,859.2277,859.40894,859.2626,859.18945,858.8601,858.80884,858.5658,858.2979,857.72656,857.77277,857.93146,857.7944,857.6159,857.1437,856.12354,855.0699,854.68097,854.65216,854.49304,853.3949,853.5683,853.1821,852.4322,851.91156,851.1971,850.7612,850.4948,850.05884,849.7067,849.5979,848.4857,849.63965,849.0077,849.6571,849.68243,850.13007,850.02905,850.3669,850.2065,849.9956,849.8606,849.9956,850.3248,850.7132,851.279,851.87854,852.41876,852.7312,853.00977,853.26306,853.5419,853.7361,853.98944,854.1328,854.27625,854.50415,854.81647,855.2131,855.4583,855.5776,855.7132,855.6782,855.5827,855.3162,855.22705,855.2666,855.40106,855.62994,856.01337,856.4308,856.7634,857.0014,857.0701,857.24835,857.4263,857.62964,857.78235,857.859,857.90967,858.0107,858.3311,858.6434,858.9651,859.1937,859.42584,859.3234,858.86304,858.24054,857.72253,857.4683,857.2726
2025-11-13 02:36:21+00:00,2025-11-13 00:00:00+00:00,860.7228,860.42096,860.0814,861.3904,861.42676,861.448,861.6268,861.5328,861.448,861.73596,861.81805,861.74414,861.4268,861.47284,861.8222,862.29504,863.4613,864.69214,864.8342,864.8663,863.61487,863.28467,863.5108,862.9387,861.2728,861.16846,861.2036,860.9877,860.88,861.6071,861.95935,861.7294,861.30566,861.08734,860.7954,860.45624,860.2992,860.3111,860.4045,860.90173,862.34595,863.5397,864.258,864.3702,864.26166,864.5344,863.6337,862.6563,861.5171,859.2211,859.6085,859.7936,859.92944,859.8457,859.6519,859.6276,859.5665,859.65063,859.2612,858.9807,858.7597,858.3335,858.21027,858.4287,858.59467,858.404,858.0977,857.19635,856.18475,855.4639,854.7648,854.3638,853.6881,853.46375,853.09,852.77905,852.3327,851.82623,851.75433,852.56555,852.88336,852.729,852.73865,852.4146,852.3402,851.75385,851.73895,852.0721,851.4627,851.1765,850.5485,849.61945,849.1265,848.8241,848.8847,848.84845,849.22186,850.07324,850.1121,850.0849,850.354,850.692,850.9299,851.13306,851.28595,851.57355,851.4387,851.45496,851.8684,851.70074,851.8026,851.7687,852.3093,852.3679,852.8271,852.4753,851.9029,851.48376,851.33936,851.4095,851.51483,851.82355,852.14124,852.4734,852.6174,852.583,852.4985,852.2886,851.9439,851.8431,852.0374,852.4509,852.8392,853.1521,853.49896,853.7107,853.7197,853.56616,853.5227,853.6688,853.8944,854.1264,854.13885,854.10834,854.2747,854.78864,855.4819,856.14954,856.7993,857.3647,857.81976,857.9372,857.9702,858.0033,858.1205,858.29645,858.524,858.8357,859.1146,859.47064,859.7867,860.12,860.2578,859.946,859.464,859.04895,858.95526,859.0148
2025-11-14 02:20:30+00:00,2025-11-14 00:00:00+00:00,859.98755,859.4722,859.4994,859.9644,860.2956,860.75684,860.80646,860.1403,859.8008,860.3581,860.4798,859.8741,859.7892,860.1529,860.74695,861.9087,863.8663,863.60675,862.97546,863.3192,862.94025,862.14606,861.8795,861.27234,861.0252,861.4931,861.6629,861.56714,861.0505,861.36615,861.2926,861.425,861.0845,861.205,860.9865,860.9375,860.5797,860.08936,859.1993,859.2094,860.34424,861.2086,861.6282,861.6025,861.10223,860.46313,859.61255,858.2019,856.36346,854.57,854.55896,854.23267,853.9429,854.02924,853.1464,853.31604,852.7956,852.6371,852.2982,851.63086,851.3882,851.3017,852.20306,852.59814,852.09705,852.0025,851.724,850.85345,850.3112,850.0078,850.18695,850.0159,850.1756,850.6138,851.26495,851.3614,850.98346,851.25366,851.853,851.70074,851.8447,852.26697,852.2246,852.1402,852.24994,852.46124,852.65546,852.86633,852.6975,852.45294,852.5204,851.7929,851.33044,851.18646,851.25476,851.30035,851.05237,851.53503,851.21124,850.7766,850.1716,850.04565,849.61536,849.4299,848.991,848.7209,848.34076,848.40796,848.9907,848.7711,849.29346,849.8586,849.67456,849.59015,849.616,849.5318,849.37646,849.42175,849.78467,850.23865,850.8026,851.36633,851.98865,852.58466,853.04407,853.5032,853.8516,854.0308,854.2097,854.22,854.0612,853.9025,853.82294,854.1284,854.48676,854.76105,854.70306,854.5614,854.3041,853.978,853.7037,853.54346,853.7582,854.1472,854.56854,854.9961,855.37103,855.66125,855.80927,855.9306,855.9622,855.98846,855.87274,855.8409,855.8409,855.8409,855.89874,856.0727,856.22003,856.24634,856.1143,855.8589,855.49023,854.76276,853.9236,853.3181,853.03955,853.02124
