forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:06+00:00,2025-11-05 00:00:00+00:00,180.0,181.24533,188.13002,181.21884,175.81517,191.5138,163.0724,161.56496,162.71841,162.89719,165.61858,164.24876,170.53775,170.72748,168.17854,183.65215,194.79681,205.64096,199.65392,195.46127,204.85156,202.20352,205.7099,201.52266,188.13002,177.33705,148.39255,165.2564,174.4279,174.4279,161.07526,174.55975,193.44862,213.6901,345.06854,344.93146,349.69522,30.529623,73.07241,49.398785,35.837746,7.523731,350.36252,350.18076,347.61926,335.37646,331.38962,351.4693,11.3098955,351.87,353.29025,15.42223,33.6901,48.99101,47.489597,44.999897,44.999897,72.47434,107.10281,118.61037,147.26479,158.74942,153.43501,116.56499,122.00535,164.05453,183.814,221.98714,232.43134,287.1028,319.0857,340.3461,8.130019,19.798973,16.26028,357.79745,350.8377,354.80566,355.91446,350.21765,350.53775,354.09393,8.426887,18.435053,32.471172,30.579157,34.286938,23.749514,31.328646,24.623547,19.179106,360.0,351.87,353.4803,341.56494,334.1337,316.04153,315.88132,327.72437,344.40714,358.60284,19.855309,24.145542,28.072395,51.709793,25.201094,21.801476,44.999897,38.65983,29.054508,8.130019,28.810698,33.6901,40.236294,10.304792,345.9637,327.26477,323.13,328.5705,337.1663,344.05453,347.73523,349.11453,349.50858,351.2539,350.53775,352.23492,354.2895,353.29025,356.186,360.0,8.746089,15.255177,33.6901,101.3099,141.34016,153.43501,243.43501,291.80148,299.74478,311.18582,318.36655,323.97253,331.69934,336.8014,341.56494,353.6599,9.462248,44.999897,123.690094,149.03632,156.80138,156.0375,158.19853,161.56496,160.34608,160.34608,157.3801,150.9455,144.46223,140.19447,150.2552,165.96373,190.3048,203.6294,210.46547,211.60745,210.96368
2025-11-06 02:26:22+00:00,2025-11-06 00:00:00+00:00,191.5138,176.6336,187.96953,178.40889,175.60138,176.00917,187.98924,196.44046,198.43504,201.25058,211.37296,336.5014,57.264786,52.124958,50.440376,95.19434,333.92468,354.92047,360.0,347.98853,341.14676,349.21573,10.124612,16.699326,22.93213,21.801476,26.564985,34.82457,10.304792,340.0168,337.75092,349.21573,3.5762644,29.054508,100.619606,152.24155,151.1893,154.7989,133.1524,140.19447,233.13002,262.8751,288.43503,296.56497,349.99207,18.886187,16.990906,15.945477,30.256361,42.397392,33.6901,20.772345,19.093594,15.068549,19.093594,18.435053,20.854538,15.068549,11.976112,8.365798,3.46817,360.0,7.907082,10.954029,17.354122,11.003508,12.339083,8.426887,350.2725,343.8556,336.19403,335.55606,315.90927,323.88055,333.43503,340.3461,354.2895,360.0,16.389616,15.945477,22.166399,22.249071,28.442837,31.75944,27.552727,27.474344,26.564985,33.023872,16.389616,8.97255,353.29025,345.25638,334.79892,343.0724,343.73972,347.73523,333.43503,339.44388,343.3007,352.40543,357.70944,352.23492,341.56494,333.43503,353.9911,7.12493,22.61991,11.3098955,308.65982,53.13002,104.03627,153.43501,180.0,224.9999,255.96373,260.53775,262.8751,270.0,296.56497,329.03632,341.56494,353.6599,26.564985,116.56499,147.99466,158.96242,162.64589,156.80138,141.34016,127.875046,123.6901,127.875046,135.0001,151.38963,168.69011,176.6336,176.186,169.6952,173.6599,194.03627,207.89717,214.3804,224.9999,243.43501,270.0,303.6901,68.19853,84.2895,90.0,135.0001,206.56499,180.0,160.0168,153.43501,157.61983,165.96373,169.6952,169.21574,167.4712,169.99208,176.82024,186.00891,190.78426,191.76826,190.1246,192.5288,214.50858,270.0
2025-11-07 02:24:46+00:00,2025-11-07 00:00:00+00:00,40.236294,51.009003,43.36347,34.82457,29.357658,349.11453,3.9451082,4.398633,352.23492,334.79892,356.186,34.9921,82.875084,109.653915,135.0001,150.9455,183.3664,209.7448,250.0168,247.3801,328.39255,344.05453,360.0,18.435053,21.801476,28.30066,26.564985,12.528798,357.70944,355.42615,2.385899,14.036275,29.475794,16.699326,70.8209,82.875084,23.498587,29.357658,353.88458,10.784258,16.189287,13.134034,7.4313188,348.11136,342.8972,343.8107,342.64587,352.14676,351.4693,322.88306,329.47037,351.15826,357.20734,355.71094,358.45187,15.708701,17.241547,29.475794,30.256361,32.905247,24.443953,37.405437,44.999897,36.86999,3.8140097,4.085537,11.3098955,353.29025,343.3007,340.0168,341.56494,340.70987,336.8014,329.53452,345.4655,354.09393,360.0,345.25638,343.0724,353.9911,344.05453,315.0001,339.44388,15.945477,44.999897,33.6901,44.999897,104.03627,194.03627,255.96373,198.43504,224.9999,270.0,306.86996,360.0,348.6901,336.0375,337.3801,349.69522,20.556128,71.564964,90.0,149.74365,184.39862,165.96373,140.19447,135.0001,149.03632,128.65984,111.801476,143.13002,159.44388,90.0,218.65984,189.46225,213.6901,224.9999,236.3099,258.6901,293.9625,318.81415,345.9637,44.999897,74.74483,94.76356,112.61991,126.027466,126.86998,126.86998,126.86998,137.72638,150.2552,160.55988,159.77505,158.19853,158.19853,167.4712,188.13002,210.25635,212.73521,209.0545,207.75845,222.70937,252.89719,288.43503,335.55606,16.389616,33.6901,51.842735,98.13002,135.0001,150.2552,157.8336,163.81073,172.64772,184.08554,196.26028,201.80147,206.56499,211.60745,213.6901,211.60745,208.07239,199.29015,192.09474,188.88058,187.35228,186.58185
2025-11-08 02:14:12+00:00,2025-11-08 00:00:00+00:00,51.952908,55.0079,38.65983,354.55975,8.746089,26.564985,19.653913,360.0,33.023872,340.8209,360.0,2.2025495,2.385899,355.23645,353.6599,7.7650824,3.5762644,2.1210518,2.6025116,355.91446,347.66092,351.2539,351.87,358.40887,332.24155,333.43503,355.23645,347.27563,4.8990126,20.556128,10.954029,3.2704222,3.9451082,358.0251,70.346085,165.2564,143.13002,31.607454,30.963696,46.8476,158.19853,354.2895,340.55988,324.46225,334.35904,344.05453,344.93146,348.23172,8.97255,336.3706,344.7448,340.9743,342.25522,352.87506,341.56494,333.43503,332.1028,335.22488,348.6901,321.34018,360.0,99.46225,126.86999,180.0,218.65984,255.96373,213.6901,194.03627,231.34016,243.43501,257.4712,294.44394,311.63345,306.86996,320.1945,104.03627,153.43501,161.56496,163.61038,172.40544,151.69934,140.71062,109.98319,160.0168,174.2895,123.690094,142.12495,113.19862,75.96373,180.0,195.94547,234.46223,243.43501,299.74478,320.1945,329.03632,318.81415,303.6901,350.53775,26.564985,52.124958,70.01681,84.2895,105.25517,122.00535,143.13002,172.87508,143.97253,147.52882,159.44388,132.70937,136.97493,163.61038,193.24052,191.88864,200.85454,205.55992,210.96368,236.3099,308.65982,343.3007,360.0,17.102825,33.6901,61.92762,128.15727,155.22488,164.74483,172.09293,176.906,180.0,181.78987,186.3401,195.94547,212.73521,227.72638,219.80553,201.25058,195.94547,201.80147,211.42952,224.9999,255.06853,292.3802,311.18582,331.9276,17.102825,56.309914,94.08554,132.70937,152.35411,163.49556,170.83772,176.53185,181.9091,186.84268,191.30989,187.12492,171.25392,160.0168,164.74483,180.0,192.99461,202.38017,208.8107,214.3804,245.22488,320.1945
2025-11-09 02:35:35+00:00,2025-11-09 00:00:00+00:00,15.255177,347.00537,331.69934,347.00537,30.379045,338.5522,354.64426,2.1210518,347.4712,11.3098955,41.185837,77.735245,57.528828,16.699326,25.463305,110.854546,156.0375,329.74365,346.75946,335.77228,345.9637,346.50424,344.05453,351.87,360.0,342.8972,315.0001,9.462261,15.524177,25.640957,36.469334,13.5704565,360.0,203.19862,130.60121,139.76372,194.03627,116.56499,125.837746,136.63654,135.0001,68.19853,180.0,224.9999,251.56496,299.74478,315.0001,347.90527,352.5687,350.53775,82.875084,105.25517,138.81418,140.19447,131.98714,143.97253,164.05453,160.34608,156.0375,158.96242,146.3099,135.0001,212.00534,159.44388,146.3099,174.2895,203.9625,210.0685,213.02386,227.4896,245.22488,257.4712,335.55606,11.3098955,58.392544,76.75947,107.52566,113.19862,149.53453,150.2552,142.3057,170.27249,169.04597,197.81898,174.80566,188.13002,167.4712,195.52417,208.30066,200.55612,204.10223,215.41714,225.78473,201.63095,198.90466,189.18877,194.78278,191.73854,192.44998,177.27374,179.13197,182.45398,169.07724,159.30447,158.96242,159.77505,168.9965,172.09293,159.44388,159.22766,165.96373,168.69011,177.39749,194.34937,193.82867,198.85326,202.29367,204.44394,205.22762,205.78728,206.28134,206.30095,206.1048,205.72556,204.96275,204.00716,203.02551,201.46295,199.04132,198.43504,200.15184,203.57472,208.36896,220.31403,249.10216,284.85864,305.83774,326.3099,354.2895,78.6901,140.44037,150.1012,159.14546,175.23645,191.68935,190.78426,169.6952,123.690094,318.81415,308.0471,305.7068,305.9098,304.9921,296.56497,243.43501,180.0,167.19574,162.25523,160.90642,163.49556,171.11942,181.54813,188.32556,197.59251,206.56499,210.73541,206.56499,194.93147
2025-11-10 02:26:29+00:00,2025-11-10 00:00:00+00:00,351.87,334.53668,328.24057,345.06854,29.744795,56.309914,38.65983,343.3007,245.55606,236.3099,63.435013,104.03627,127.40543,175.60138,174.55975,157.61983,161.56496,360.0,315.0001,281.3099,224.9999,233.13002,236.3099,333.43503,350.13425,348.23172,349.69522,15.945477,38.290207,44.999897,63.435013,203.19862,150.2552,139.76372,144.46223,20.556128,59.743652,34.69522,111.801476,216.86998,161.56496,187.12492,219.80553,248.96242,270.0,275.7105,286.6993,310.60123,345.25638,326.3099,90.0,95.19434,99.46225,130.23628,135.0001,144.46223,149.03632,147.72438,162.25523,164.3577,193.49574,196.26028,185.7105,194.93147,215.53777,209.7448,210.96368,207.55272,213.46541,203.58704,203.55228,187.92683,172.69434,186.04399,192.68037,192.77124,185.1281,188.63705,190.06062,166.55138,165.96373,173.51703,168.17854,160.42679,167.98854,166.29301,157.93205,166.37299,181.5074,194.03627,199.11307,205.76927,206.16849,206.19415,207.17018,207.7341,205.55992,199.50253,194.79681,196.02036,197.74477,192.7071,190.9886,189.30199,190.96783,196.65793,204.71078,203.28609,203.12088,340.55988,346.92087,353.08887,9.462261,341.56494,340.78723,336.69507,334.44006,332.176,329.99518,327.47513,325.92276,326.3099,327.3391,328.06158,326.94415,323.34378,318.50363,316.73566,320.7106,323.13,156.80138,153.43501,156.0375,163.30067,174.2895,185.7105,191.9761,195.12405,198.43504,204.67685,210.46547,211.50421,201.80147,181.97488,164.05453,149.03632,135.0001,125.311295,119.4758,115.34614,107.35411,93.814,74.054535,65.22488,65.55606,77.4712,104.03627,123.6901,135.0001,137.29063,126.027466,90.0,63.435013,90.0,161.56496,176.42374,180.0,180.0
2025-11-11 02:16:50+00:00,2025-11-11 00:00:00+00:00,351.87,337.06787,353.6599,25.559923,69.14546,85.60138,44.999897,123.690094,135.0001,141.34016,110.55613,99.46225,56.309914,140.19447,172.87508,163.30067,150.2552,198.43504,261.87,260.53775,216.86998,237.99466,290.55612,333.43503,335.77228,9.865748,30.579157,10.007925,15.524177,49.398785,56.309914,180.0,153.43501,186.84268,239.0363,40.236294,79.380394,122.00535,135.0001,26.564985,68.19853,188.97255,214.50858,234.46223,250.9064,243.43501,230.59937,237.38077,176.53185,159.77505,177.6141,188.84174,187.43132,176.26868,169.6952,184.28908,187.69595,181.78987,165.96373,148.57048,149.03632,164.05453,156.0375,163.61038,176.186,182.04536,193.39252,199.60417,213.36638,217.77574,206.56499,210.76265,212.47118,213.49521,209.35765,182.4366,162.89719,176.09958,180.0,175.23645,185.52745,167.27565,135.0001,109.798965,93.57626,224.9999,226.04153,237.99466,232.3057,195.81926,157.30617,167.96942,139.60017,177.20735,177.79745,214.13599,171.46931,119.05451,103.627014,133.7812,165.5792,149.03632,149.42085,124.992096,130.60121,190.3048,167.90526,333.43503,333.43503,293.1986,324.46225,342.8972,355.07297,4.085537,360.0,351.46933,342.0505,336.44772,334.02567,332.81897,331.4487,330.15417,329.1986,328.10925,327.99466,329.2646,330.8026,331.9276,331.69934,331.38962,333.43503,334.65387,334.79892,335.22488,330.9455,324.46225,315.0001,317.4896,316.8476,319.39877,322.12497,324.09018,325.30478,325.6196,326.3099,326.3099,180.0,150.2552,153.43501,157.75093,157.06787,154.35904,149.03632,144.78232,138.81418,133.26433,135.0001,143.13002,154.44008,170.83772,183.65215,189.32352,193.04564,195.09163,196.9276,198.62167,201.68913,205.13292
2025-11-12 02:19:26+00:00,2025-11-12 00:00:00+00:00,7.12493,357.70944,345.4655,10.784258,30.068504,21.037588,37.875053,15.255177,157.61983,158.96242,193.39252,213.6901,104.93147,110.22495,135.0001,164.05453,135.0001,143.13002,198.43504,197.74477,214.69522,250.82089,245.22488,278.13,72.89719,270.0,265.23645,191.9761,188.74608,194.03627,178.40889,172.09293,170.27249,165.96373,164.74483,168.31065,173.41815,172.87508,168.69011,167.66092,181.68465,195.37631,200.85454,211.15924,212.61923,216.20955,209.7448,207.3498,199.8553,207.824,209.0545,199.83221,178.89832,171.70294,169.91946,175.91446,169.82455,163.30067,156.44772,155.43285,163.61038,161.56496,177.27374,184.39862,195.94547,224.9999,198.43504,209.7448,213.38853,213.6901,217.66568,213.20659,216.86998,227.35333,217.87505,196.50444,163.44286,152.8504,151.1893,157.96371,156.97447,164.05453,165.4655,149.03632,114.44395,198.43504,90.0,348.6901,326.3099,360.0,329.03632,218.65984,198.43504,231.84273,218.15727,198.43504,243.43501,347.90527,12.094739,3.0127327,7.59456,285.94547,230.19447,238.24055,256.60748,204.20097,211.23915,168.54128,187.21417,182.72626,190.88548,186.46973,195.36168,197.22353,206.33302,211.4051,215.41714,217.73311,217.10432,213.13562,207.55272,199.8553,191.73854,185.64046,183.53223,182.93561,183.05283,182.41946,181.76236,180.0,175.91446,169.31514,162.64589,154.02567,141.84273,136.27295,152.6502,172.87508,184.66678,189.63747,193.53587,194.79681,194.85866,192.80426,188.97255,180.0,164.3577,152.35411,161.56496,180.0,188.74608,182.29056,165.96373,158.62932,170.53775,189.0902,200.55612,199.44012,180.0,104.03627,101.3099,135.0001,164.05453,180.0,206.56499,220.60121,217.56866,213.6901
2025-11-13 02:36:13+00:00,2025-11-13 00:00:00+00:00,315.0001,296.56497,165.06853,152.70052,171.38443,177.33705,162.47433,162.64589,162.75845,173.6599,351.02744,19.653913,336.0375,288.43503,183.01273,288.43503,236.3099,197.35411,204.44394,216.02747,228.50363,217.87505,210.37904,216.86998,196.55714,181.43207,181.54813,177.20735,169.21574,183.3018,183.50346,174.68555,171.46931,154.65387,74.74483,90.0,128.36752,138.99101,110.22495,93.814,105.25517,139.39879,208.44283,237.99466,219.47243,208.44283,207.21602,194.03627,169.99208,192.875,171.46931,163.8865,165.06853,163.17851,163.5399,162.40749,165.5792,180.0,173.8846,162.25523,171.25392,251.56496,270.0,40.601215,21.801476,17.52567,6.3401003,21.801476,294.77512,332.1028,319.7637,293.1986,329.03632,348.6901,73.300674,185.7105,203.49858,208.07239,199.89552,175.28532,187.21417,202.05112,208.49554,206.56499,185.82625,182.60251,182.93561,186.3401,201.41304,202.6806,198.00426,200.40997,204.39372,213.6901,222.43619,217.13101,224.13205,203.28609,200.09532,196.42226,196.48453,194.7746,188.38316,189.27252,191.43364,190.81383,189.06642,191.05637,187.28886,185.64815,181.97488,182.26045,189.57416,190.43742,192.93806,200.88588,209.42737,214.69522,216.4914,216.59119,217.33327,219.69904,223.72705,227.23119,232.52374,246.3706,288.43503,270.0,206.56499,194.03627,188.13002,182.3859,180.0,177.6141,176.98727,173.29025,168.69011,169.11452,174.47255,191.6336,209.57774,216.11943,204.44394,171.25392,139.39879,138.01286,149.03632,161.56496,160.82089,157.06787,156.0375,163.49556,177.70944,182.60251,159.44388,113.962494,101.3099,116.56499,146.97614,168.69011,182.86235,221.63345,264.80566,286.6993,309.8055,330.25522,330.9455,325.0079
2025-11-14 02:20:22+00:00,2025-11-14 00:00:00+00:00,189.29323,191.07016,189.0394,185.5721,186.3401,176.26868,172.87508,174.55975,173.21112,177.20735,160.0168,159.62349,165.2564,176.98727,71.564964,102.09474,135.0001,202.6199,236.3099,211.60745,204.04422,203.10635,207.21602,208.8107,202.03629,201.80147,202.30626,183.57626,157.3801,177.13765,170.07382,162.64589,141.34016,94.39862,18.435053,2.385899,32.275623,58.392544,355.91446,343.61038,5.7105074,4.398633,345.9637,333.43503,337.75092,353.6599,351.87,355.76367,324.16226,326.3099,229.39879,233.13002,262.40546,235.88548,231.34016,192.09474,154.7989,102.5288,135.0001,245.55606,226.73567,162.25523,159.20581,159.6558,154.7595,165.12427,171.54506,168.46541,174.19337,168.9591,163.11313,211.20045,220.07932,200.87909,187.05775,181.30193,181.93054,191.5601,196.03241,189.972,190.20392,191.76826,187.27492,189.56662,196.20909,190.91109,187.8001,187.85323,176.6982,182.52606,186.80896,185.96439,197.9495,214.26115,208.4741,216.46933,236.3099,94.76356,70.90642,73.73973,92.60251,111.44781,112.93214,124.3804,226.08084,247.52052,228.36655,187.76508,203.31773,210.78407,178.69807,163.30067,164.38895,181.02301,195.7087,194.87573,191.12915,186.88162,184.0141,182.04536,179.029,176.6336,174.2895,174.1606,176.09958,180.0,182.20255,180.0,174.88278,170.83772,170.38034,170.8699,172.7469,175.84044,178.99493,182.91078,187.23683,191.6336,195.03787,199.90384,208.14151,219.17365,244.7989,325.30478,353.15732,360.0,16.699326,90.0,108.43504,105.945465,107.35411,118.30067,145.0079,164.05453,160.70985,155.22488,151.11351,148.39255,144.46223,144.16226,153.43501,163.0724,167.90526,167.125,164.05453,161.56496,157.69374,150.46132
